actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
391,PT07M06.00S,2025-01-07T04:27:03.8Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612748,58,53,2025-01-07T04:27:25Z,3670000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,390.0,,,,,,,,,,,,,,,
393,PT06M45.00S,2025-01-07T04:27:36.0Z,3,REGULAR,3pt,Jump Shot,[],1626179,25.18068331143233,13.480392156862745,1610612748,58,53,2025-01-07T04:29:49Z,3680000,False,183.0,184.0,1,left,MISS T. Rozier 25' pullup 3PT,[1626179],1610612748.0,MIA,pullup,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,25.94,Missed,,,,,,,,,,,,,,,,
394,PT06M41.00S,2025-01-07T04:27:40.0Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612748,58,53,2025-01-07T04:27:46Z,3690000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,393.0,,,,,,,,,,,,,,,
395,PT06M41.00S,2025-01-07T04:27:51.7Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,58,53,2025-01-07T04:27:51Z,3700000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,PT06M41.00S,2025-01-07T04:28:08.3Z,3,REGULAR,substitution,out,[],201942,,,1610612748,58,53,2025-01-07T04:30:41Z,3710000,False,,,0,,SUB out: D. DeRozan,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
397,PT06M41.00S,2025-01-07T04:28:08.3Z,3,REGULAR,substitution,out,[],1631099,,,1610612748,58,53,2025-01-07T04:30:41Z,3720000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
398,PT06M41.00S,2025-01-07T04:28:08.3Z,3,REGULAR,substitution,in,[],1628989,,,1610612748,58,53,2025-01-07T04:30:41Z,3730000,False,,,0,,SUB in: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
399,PT06M41.00S,2025-01-07T04:28:08.3Z,3,REGULAR,substitution,in,[],1626168,,,1610612748,58,53,2025-01-07T04:30:41Z,3740000,False,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
400,PT06M31.00S,2025-01-07T04:30:59.0Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1629312,12.171484888304862,96.81372549019608,1610612748,58,56,2025-01-07T04:31:04Z,3750000,False,-234.0,62.0,1,left,H. Highsmith 24' 3PT  (5 PTS) (J. Jaquez Jr. 7 AST),"[1629312, 1631170]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Left Corner 3,24+ Left,,,24.21,Made,,,,,,,,,,,5.0,J. Jaquez Jr.,1631170.0,7.0,,
402,PT06M09.00S,2025-01-07T04:31:22.4Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,87.20433639947439,44.11764705882353,1610612758,58,56,2025-01-07T05:41:47Z,3770000,False,-29.0,68.0,1,right,MISS K. Huerter 7' driving floating Shot - blocked,"[1628989, 1629312]",1610612758.0,SAC,driving floating,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,,7.39,Missed,,,,,,,,,,,,,,,Highsmith,1629312.0
403,PT06M09.00S,2025-01-07T04:31:22.4Z,3,REGULAR,block,,[],1629312,,,1610612758,58,56,2025-01-07T04:31:25Z,3780000,False,,,0,,H. Highsmith BLOCK (1 BLK),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
404,PT06M07.00S,2025-01-07T04:31:24.4Z,3,REGULAR,rebound,offensive,[],1627734,,,1610612758,58,56,2025-01-07T04:31:44Z,3790000,False,,,0,,D. Sabonis REBOUND (Off:3 Def:11),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,402.0,14.0,11.0,3.0,,,,,,,,,,,,
405,PT06M05.00S,2025-01-07T04:31:27.4Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627734,81.42247043363994,42.40196078431372,1610612758,58,56,2025-01-07T04:31:58Z,3800000,False,-38.0,122.0,1,right,MISS D. Sabonis 12' turnaround Shot,[1627734],1610612758.0,SAC,turnaround,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,12.79,Missed,,,,,,,,,,,,,,,,
406,PT06M03.00S,2025-01-07T04:31:29.4Z,3,REGULAR,rebound,defensive,[],1628389,,,1610612748,58,56,2025-01-07T04:31:58Z,3810000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:7),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,,405.0,7.0,7.0,0.0,,,,,,,,,,,,
407,PT05M55.00S,2025-01-07T04:31:35.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,7.835085413929041,58.57843137254902,1610612748,58,58,2025-01-07T04:32:11Z,3820000,False,-43.0,21.0,1,left,T. Herro driving finger roll Layup (19 PTS) (B. Adebayo 2 AST),"[1629639, 1628389]",1610612748.0,MIA,driving finger roll,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,4.78,Made,,,,,,,,,,,19.0,B. Adebayo,1628389.0,2.0,,
408,PT05M37.00S,2025-01-07T04:31:53.2Z,3,REGULAR,turnover,lost ball,[],1627734,,,1610612758,58,58,2025-01-07T04:31:57Z,3830000,False,,,0,,D. Sabonis lost ball TURNOVER (5 TO),"[1627734, 1631170]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,5.0,,,,,,,Jaquez Jr.,1631170.0,,,,,,,,,,
409,PT05M37.00S,2025-01-07T04:31:53.2Z,3,REGULAR,steal,,[],1631170,,,1610612748,58,58,2025-01-07T04:35:27Z,3840000,False,,,0,,J. Jaquez Jr. STEAL (2 STL),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
410,PT05M32.00S,2025-01-07T04:31:58.4Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629639,7.046649145860711,41.66666666666667,1610612748,58,60,2025-01-07T04:33:01Z,3850000,False,42.0,14.0,1,left,T. Herro running finger roll Layup (21 PTS),[1629639],1610612748.0,MIA,running finger roll,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,4.39,Made,,,,,,,,,,,21.0,,,,,
412,PT05M18.00S,2025-01-07T04:32:21.1Z,3,REGULAR,3pt,Jump Shot,[],1628370,72.48685939553219,14.215686274509803,1610612758,58,60,2025-01-07T04:32:25Z,3860000,False,-179.0,206.0,1,right,MISS M. Monk 27' 3PT,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Left Center,,,27.29,Missed,,,,,,,,,,,,,,,,
413,PT05M17.00S,2025-01-07T04:32:22.1Z,3,REGULAR,rebound,offensive,[],1626168,,,1610612758,58,60,2025-01-07T04:35:40Z,3870000,False,,,0,,T. Lyles REBOUND (Off:2 Def:2),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Left Center,,,,,412.0,4.0,2.0,2.0,,,,,,,,,,,,
414,PT05M16.00S,2025-01-07T04:32:25.3Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626168,92.64126149802891,43.65042892156863,1610612758,58,60,2025-01-07T04:33:58Z,3880000,False,-32.0,17.0,1,right,MISS T. Lyles putback Layup - blocked,"[1626168, 1631170]",1610612758.0,SAC,putback,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,,,3.58,Missed,,,,,,,,,,,,,,,Jaquez Jr.,1631170.0
415,PT05M16.00S,2025-01-07T04:32:25.3Z,3,REGULAR,block,,[],1631170,,,1610612758,58,60,2025-01-07T04:32:29Z,3890000,False,,,0,,J. Jaquez Jr. BLOCK (1 BLK),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
416,PT05M15.00S,2025-01-07T04:32:26.3Z,3,REGULAR,rebound,defensive,[],1629639,,,1610612748,58,60,2025-01-07T04:33:58Z,3900000,False,,,0,,T. Herro REBOUND (Off:0 Def:6),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,414.0,6.0,6.0,0.0,,,,,,,,,,,,
417,PT05M03.00S,2025-01-07T04:32:37.0Z,3,REGULAR,turnover,bad pass,[],1628389,,,1610612748,58,60,2025-01-07T04:33:44Z,3910000,False,,,0,,B. Adebayo bad pass TURNOVER (2 TO),"[1628389, 1628370]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,2.0,,,,,,,Monk,1628370.0,,,,,,,,,,
418,PT05M03.00S,2025-01-07T04:32:37.0Z,3,REGULAR,steal,,[],1628370,,,1610612758,58,60,2025-01-07T04:32:39Z,3920000,False,,,0,,M. Monk STEAL (2 STL),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
419,PT04M56.00S,2025-01-07T04:32:43.1Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627734,91.67214191852825,48.03921568627451,1610612758,60,60,2025-01-07T04:32:48Z,3930000,False,-10.0,26.0,1,right,D. Sabonis running DUNK (10 PTS) (M. Monk 3 AST),"[1627734, 1628370]",1610612758.0,SAC,running,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,2.76,Made,,,,,,,,,,,10.0,M. Monk,1628370.0,3.0,,
421,PT04M30.00S,2025-01-07T04:33:09.8Z,3,REGULAR,3pt,Jump Shot,[],1629312,18.2161629434954,6.61764705882353,1610612748,60,60,2025-01-07T04:33:18Z,3950000,False,217.0,119.0,1,left,MISS H. Highsmith 24' 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Right Center,,,24.73,Missed,,,,,,,,,,,,,,,,
422,PT04M26.00S,2025-01-07T04:33:13.8Z,3,REGULAR,rebound,offensive,[],1631170,,,1610612748,60,60,2025-01-07T04:33:18Z,3960000,False,,,0,,J. Jaquez Jr. REBOUND (Off:3 Def:6),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Right Center,,,,,421.0,9.0,6.0,3.0,,,,,,,,,,,,
423,PT04M25.00S,2025-01-07T04:33:15.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629312,9.543363994743759,42.40196078431372,1610612748,60,62,2025-01-07T04:35:28Z,3970000,False,38.0,37.0,1,left,H. Highsmith driving finger roll Layup (7 PTS) (J. Jaquez Jr. 8 AST),"[1629312, 1631170]",1610612748.0,MIA,driving finger roll,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,,,5.32,Made,,,,,,,,,,,7.0,J. Jaquez Jr.,1631170.0,8.0,,
425,PT04M25.00S,2025-01-07T04:33:28.4Z,3,REGULAR,foul,personal,['1freethrow'],1628370,,,1610612748,60,62,2025-01-07T04:33:46Z,3990000,False,,,0,,M. Monk shooting personal FOUL (2 PF) (Highsmith 1 FT),"[1628370, 1629312]",1610612758.0,SAC,shooting,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,202007.0,,,,,,,,,,2.0,0.0,Highsmith,1629312.0,,,,,,
427,PT04M25.00S,2025-01-07T04:33:38.9Z,3,REGULAR,substitution,out,[],1631170,,,1610612748,60,62,2025-01-07T04:33:45Z,4010000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
428,PT04M25.00S,2025-01-07T04:33:38.9Z,3,REGULAR,substitution,out,[],1629639,,,1610612748,60,62,2025-01-07T04:33:45Z,4020000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
429,PT04M25.00S,2025-01-07T04:33:38.9Z,3,REGULAR,substitution,in,[],1629130,,,1610612748,60,62,2025-01-07T04:33:45Z,4030000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
430,PT04M25.00S,2025-01-07T04:33:38.9Z,3,REGULAR,substitution,in,[],1631107,,,1610612748,60,62,2025-01-07T04:33:45Z,4040000,False,,,0,,SUB in: N. Jović,[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,,,,,,,,,,,,,,,,,,,
431,PT04M25.00S,2025-01-07T04:34:05.4Z,3,REGULAR,freethrow,1 of 1,['2ndchance'],1629312,,,1610612748,60,63,2025-01-07T04:34:05Z,4050000,False,,,0,,H. Highsmith Free Throw 1 of 1 (8 PTS),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,Made,,,,,,,,,,,8.0,,,,,
432,PT04M05.00S,2025-01-07T04:34:20.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627734,80.50262812089356,50.73529411764706,1610612758,62,63,2025-01-07T04:36:01Z,4060000,False,4.0,131.0,1,right,D. Sabonis 13' pullup Jump Shot (12 PTS) (K. Huerter 1 AST),"[1627734, 1628989]",1610612758.0,SAC,pullup,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,13.09,Made,,,,,,,,,,,12.0,K. Huerter,1628989.0,1.0,,
434,PT03M43.00S,2025-01-07T04:34:42.2Z,3,REGULAR,2pt,Jump Shot,[],1626179,10.33180026281209,27.696078431372552,1610612748,62,65,2025-01-07T04:34:46Z,4080000,False,112.0,45.0,1,left,T. Rozier 12' step back Jump Shot (10 PTS),[1626179],1610612748.0,MIA,step back,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Right,,,12.01,Made,,,,,,,,,,,10.0,,,,,
435,PT03M26.00S,2025-01-07T04:34:59.7Z,3,REGULAR,2pt,Jump Shot,[],1627734,77.21747700394218,32.35294117647059,1610612758,62,65,2025-01-07T04:35:05Z,4090000,False,-88.0,162.0,1,right,MISS D. Sabonis 18' Jump Shot,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Left Center,,,18.42,Missed,,,,,,,,,,,,,,,,
436,PT03M22.00S,2025-01-07T04:35:03.7Z,3,REGULAR,rebound,defensive,[],1629312,,,1610612748,62,65,2025-01-07T04:35:05Z,4100000,False,,,0,,H. Highsmith REBOUND (Off:1 Def:3),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Mid-Range,16-24 Left Center,,,,,435.0,4.0,3.0,1.0,,,,,,,,,,,,
437,PT03M17.00S,2025-01-07T04:35:07.8Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1626179,26.757555847568987,18.38235294117647,1610612748,62,68,2025-01-07T04:35:17Z,4110000,False,158.0,199.0,1,left,T. Rozier 25' 3PT running pullup (13 PTS),[1626179],1610612748.0,MIA,running pullup,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,25.42,Made,,,,,,,,,,,13.0,,,,,
457,PT02M56.00S,2025-01-07T04:35:18.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627734,80.6833114323259,48.82046568627451,1610612758,62,68,2025-01-07T04:40:16Z,4120000,False,-6.0,129.0,1,right,MISS D. Sabonis 12' Jump Shot - blocked,"[1627734, 1628389]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,12.92,Missed,,,,,,,,,,,,,,,Adebayo,1628389.0
458,PT02M56.00S,2025-01-07T04:35:18.5Z,3,REGULAR,block,,[],1628389,,,1610612758,62,68,2025-01-07T04:40:03Z,4125000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
459,PT02M56.00S,2025-01-07T04:35:18.5Z,3,REGULAR,rebound,defensive,[],1629312,,,1610612748,62,68,2025-01-07T04:40:03Z,4127500,False,,,0,,H. Highsmith REBOUND (Off:1 Def:4),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Restricted Area,0-8 Center,,,,,457.0,5.0,4.0,1.0,,,,,,,,,,,,
441,PT02M48.00S,2025-01-07T04:35:38.7Z,3,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612748,62,68,2025-01-07T04:35:56Z,4150000,False,,,0,,D. Sabonis shooting personal FOUL (4 PF) (Adebayo 2 FT),"[1627734, 1628389]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1830.0,,,,,,,,,,4.0,0.0,Adebayo,1628389.0,,,,,,
444,PT02M48.00S,2025-01-07T04:36:13.9Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,62,68,2025-01-07T04:36:13Z,4180000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,PT02M48.00S,2025-01-07T04:38:08.0Z,3,REGULAR,substitution,out,[],1628370,,,1610612748,62,68,2025-01-07T04:38:36Z,4190000,False,,,0,,SUB out: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
446,PT02M48.00S,2025-01-07T04:38:08.0Z,3,REGULAR,substitution,out,[],1627734,,,1610612748,62,68,2025-01-07T04:38:36Z,4200000,False,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
447,PT02M48.00S,2025-01-07T04:38:08.0Z,3,REGULAR,substitution,out,[],1631165,,,1610612748,62,68,2025-01-07T04:38:36Z,4210000,False,,,0,,SUB out: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
448,PT02M48.00S,2025-01-07T04:38:08.0Z,3,REGULAR,substitution,in,[],201942,,,1610612748,62,68,2025-01-07T04:38:36Z,4220000,False,,,0,,SUB in: D. DeRozan,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
449,PT02M48.00S,2025-01-07T04:38:08.0Z,3,REGULAR,substitution,in,[],1631099,,,1610612748,62,68,2025-01-07T04:38:36Z,4230000,False,,,0,,SUB in: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
450,PT02M48.00S,2025-01-07T04:38:08.0Z,3,REGULAR,substitution,in,[],1642269,,,1610612748,62,68,2025-01-07T04:38:36Z,4240000,False,,,0,,SUB in: D. Carter,[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
451,PT02M48.00S,2025-01-07T04:38:53.3Z,3,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,62,69,2025-01-07T04:40:19Z,4250000,False,,,0,,B. Adebayo Free Throw 1 of 2 (10 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,Made,,,,,,,,,,,10.0,,,,,
452,PT02M48.00S,2025-01-07T04:39:09.1Z,3,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,62,70,2025-01-07T04:40:19Z,4260000,False,,,0,,B. Adebayo Free Throw 2 of 2 (11 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,Made,,,,,,,,,,,11.0,,,,,
453,PT02M30.00S,2025-01-07T04:39:31.1Z,3,REGULAR,3pt,Jump Shot,[],1628989,92.9862023653088,1.9607843137254901,1610612758,62,70,2025-01-07T04:39:37Z,4270000,False,-240.0,13.0,1,right,MISS K. Huerter 24' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Left Corner 3,24+ Left,,,24.06,Missed,,,,,,,,,,,,,,,,
454,PT02M25.00S,2025-01-07T04:39:36.1Z,3,REGULAR,rebound,defensive,[],1626179,,,1610612748,62,70,2025-01-07T04:39:37Z,4280000,False,,,0,,T. Rozier REBOUND (Off:0 Def:4),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,,,,,453.0,4.0,4.0,0.0,,,,,,,,,,,,
455,PT02M15.00S,2025-01-07T04:39:50.9Z,3,REGULAR,foul,personal,[],1642269,,,1610612748,62,70,2025-01-07T04:39:55Z,4290000,False,,,0,,D. Carter personal FOUL (1 PF),"[1642269, 1626179]",1610612758.0,SAC,,,,Carter,D. Carter,,,,,Above the Break 3,24+ Center,1830.0,,,,,,,,,,1.0,0.0,Rozier,1626179.0,,,,,,
460,PT02M00.00S,2025-01-07T04:40:25.3Z,3,REGULAR,3pt,Jump Shot,[],1631107,29.517082785808146,20.34313725490196,1610612748,62,70,2025-01-07T04:40:29Z,4310000,False,148.0,225.0,1,left,MISS N. Jović 26' 3PT,[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,Above the Break 3,24+ Right Center,,,26.95,Missed,,,,,,,,,,,,,,,,
461,PT01M56.00S,2025-01-07T04:40:29.0Z,3,REGULAR,rebound,defensive,[],1642269,,,1610612758,62,70,2025-01-07T04:40:29Z,4320000,False,,,0,,D. Carter REBOUND (Off:1 Def:2),[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,Above the Break 3,24+ Right Center,,,,,460.0,3.0,2.0,1.0,,,,,,,,,,,,
462,PT01M51.00S,2025-01-07T04:40:35.8Z,3,REGULAR,foul,personal,['2freethrow'],1626179,,,1610612758,62,70,2025-01-07T04:41:01Z,4330000,False,,,0,,T. Rozier shooting personal FOUL (3 PF) (Carter 2 FT),"[1626179, 1642269]",1610612748.0,MIA,shooting,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,1830.0,,,,,,,,,,3.0,0.0,Carter,1642269.0,,,,,,
464,PT01M51.00S,2025-01-07T04:41:03.2Z,3,REGULAR,freethrow,1 of 2,[],1642269,,,1610612758,62,70,2025-01-07T04:41:03Z,4350000,False,,,0,,MISS D. Carter Free Throw 1 of 2,[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
465,PT01M51.00S,2025-01-07T04:41:03.2Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,62,70,2025-01-07T04:41:03Z,4360000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,464.0,,,,,,,,,,,,,,,
466,PT01M51.00S,2025-01-07T04:41:04.0Z,3,REGULAR,substitution,out,[],1628389,,,1610612758,62,70,2025-01-07T04:41:09Z,4370000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
467,PT01M51.00S,2025-01-07T04:41:04.0Z,3,REGULAR,substitution,in,[],1642276,,,1610612758,62,70,2025-01-07T04:41:09Z,4380000,False,,,0,,SUB in: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
468,PT01M51.00S,2025-01-07T04:41:19.9Z,3,REGULAR,freethrow,2 of 2,[],1642269,,,1610612758,63,70,2025-01-07T04:41:19Z,4390000,False,,,0,,D. Carter Free Throw 2 of 2 (3 PTS),[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,,,,,,Made,,,,,,,,,,,3.0,,,,,
469,PT01M39.00S,2025-01-07T04:41:32.7Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1642276,7.178055190538765,57.59803921568627,1610612748,63,72,2025-01-07T04:42:05Z,4400000,False,-38.0,15.0,1,left,K. Ware alley-oop DUNK (2 PTS) (D. Robinson 3 AST),"[1642276, 1629130]",1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,4.09,Made,,,,,,,,,,,2.0,D. Robinson,1629130.0,3.0,,
471,PT01M21.00S,2025-01-07T04:41:50.5Z,3,REGULAR,3pt,Jump Shot,[],1631099,68.80749014454665,18.137254901960784,1610612758,66,72,2025-01-07T04:41:55Z,4420000,False,-159.0,241.0,1,right,K. Murray 28' 3PT  (9 PTS) (D. Carter 3 AST),"[1631099, 1642269]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,28.86,Made,,,,,,,,,,,9.0,D. Carter,1642269.0,3.0,,
473,PT01M06.00S,2025-01-07T04:42:08.3Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631099,,,1610612748,66,72,2025-01-07T04:42:15Z,4440000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (Jović 2 FT),"[1631099, 1631107]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,1830.0,,,,,,,,,,1.0,0.0,Jović,1631107.0,,,,,,
475,PT01M06.00S,2025-01-07T04:42:41.5Z,3,REGULAR,freethrow,1 of 2,[],1631107,,,1610612748,66,73,2025-01-07T04:42:41Z,4460000,False,,,0,,N. Jović Free Throw 1 of 2 (7 PTS),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,,,Made,,,,,,,,,,,7.0,,,,,
476,PT01M06.00S,2025-01-07T04:42:42.5Z,3,REGULAR,substitution,out,[],1628989,,,1610612748,66,73,2025-01-07T04:42:55Z,4470000,False,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
477,PT01M06.00S,2025-01-07T04:42:42.5Z,3,REGULAR,substitution,in,[],203926,,,1610612748,66,73,2025-01-07T04:42:55Z,4480000,False,,,0,,SUB in: D. McDermott,[203926],1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
