actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
177,PT10M56.00S,2025-02-09T03:36:56.2Z,2,REGULAR,freethrow,1 of 2,[],1630527,,,1610612740,26,35,2025-02-09T03:36:56Z,1740000,False,,,0,,B. Boston Free Throw 1 of 2 (4 PTS),[1630527],1610612740.0,NOP,,,,Boston,B. Boston,,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,
178,PT10M56.00S,2025-02-09T03:36:56.2Z,2,REGULAR,freethrow,2 of 2,[],1630527,,,1610612740,26,35,2025-02-09T03:37:26Z,1750000,False,,,0,,MISS B. Boston Free Throw 2 of 2,[1630527],1610612740.0,NOP,,,,Boston,B. Boston,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
179,PT10M54.00S,2025-02-09T03:36:58.2Z,2,REGULAR,rebound,defensive,[],202685,,,1610612758,26,35,2025-02-09T03:37:26Z,1760000,False,,,0,,J. Valančiūnas REBOUND (Off:0 Def:2),[202685],1610612758.0,SAC,,,,Valančiūnas,J. Valančiūnas,,,,,,,,,,178.0,2.0,2.0,0.0,,,,,,,,,,,,,
180,PT10M38.00S,2025-02-09T03:37:41.2Z,2,REGULAR,turnover,out-of-bounds,[],202685,,,1610612758,26,35,2025-02-09T03:37:49Z,1770000,False,,,0,,J. Valančiūnas lost ball out-of-bounds TURNOVER (1 TO),[202685],1610612758.0,SAC,lost ball,,,Valančiūnas,J. Valančiūnas,,,,,1627524.0,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,,,,,,,,,
181,PT10M27.00S,2025-02-09T03:37:59.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'defensivegoaltending']",1629627,6.258212877792378,54.90196078431373,1610612740,26,37,2025-02-09T03:38:58Z,1780000,False,-25.0,6.0,1,left,Z. Williamson driving Layup (13 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,2.53,Made,,,,,13.0,,,,,,,,,,,,
182,PT10M27.00S,2025-02-09T03:38:13.7Z,2,REGULAR,violation,defensive goaltending,[],1626168,,,1610612740,26,37,2025-02-09T03:38:22Z,1790000,False,,,0,,T. Lyles defensive goaltending VIOLATION,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,1627524.0,,,,,,,,,,,,,,,,,,,,,
183,PT10M16.00S,2025-02-09T03:38:27.4Z,2,REGULAR,3pt,Jump Shot,[],1626168,87.99277266754271,1.9607843137254901,1610612758,26,37,2025-02-09T03:38:42Z,1800000,False,-240.0,60.0,1,right,MISS T. Lyles 24' 3PT,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,Left Corner 3,24+ Left,24.77,Missed,,,,,,,,,,,,,,,,,
184,PT10M14.00S,2025-02-09T03:38:29.4Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612740,26,37,2025-02-09T03:38:42Z,1810000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,Left Corner 3,24+ Left,,,183.0,,,,,,,,,,,,,,,,
185,PT10M06.00S,2025-02-09T03:38:49.6Z,2,REGULAR,3pt,Jump Shot,[],1630527,26.757555847568987,17.15686274509804,1610612740,26,40,2025-02-09T03:38:56Z,1820000,False,164.0,199.0,1,left,B. Boston 25' 3PT  (7 PTS) (Z. Williamson 2 AST),"[1630527, 1629627]",1610612740.0,NOP,,,,Boston,B. Boston,,,,,,Above the Break 3,24+ Right Center,25.8,Made,,,,,7.0,,,,Z. Williamson,1629627.0,2.0,,,,,,
187,PT09M54.00S,2025-02-09T03:39:01.6Z,2,REGULAR,turnover,bad pass,[],1628370,,,1610612758,26,40,2025-02-09T03:39:05Z,1840000,False,,,0,,M. Monk bad pass TURNOVER (2 TO),"[1628370, 1629627]",1610612758.0,SAC,,,,Monk,M. Monk,,,,,,Mid-Range,16-24 Left Center,,,,,,,,2.0,Williamson,1629627.0,,,,,,,,,
188,PT09M54.00S,2025-02-09T03:39:01.6Z,2,REGULAR,steal,,[],1629627,,,1610612740,26,40,2025-02-09T03:39:03Z,1850000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,
189,PT09M50.00S,2025-02-09T03:39:05.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629627,6.1268068331143235,51.9607843137255,1610612740,26,42,2025-02-09T03:39:11Z,1860000,False,-10.0,5.0,1,left,Z. Williamson running Layup (15 PTS),[1629627],1610612740.0,NOP,running,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,1.1,Made,,,,,15.0,,,,,,,,,,,,
190,PT09M50.00S,2025-02-09T03:39:09.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,26,42,2025-02-09T03:39:09Z,1870000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT09M50.00S,2025-02-09T03:39:54.3Z,2,REGULAR,substitution,out,[],1628370,,,1610612758,26,42,2025-02-09T03:41:48Z,1880000,False,,,0,,SUB out: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT09M50.00S,2025-02-09T03:39:54.3Z,2,REGULAR,substitution,out,[],202685,,,1610612758,26,42,2025-02-09T03:41:48Z,1890000,False,,,0,,SUB out: J. Valančiūnas,[202685],1610612758.0,SAC,,,,Valančiūnas,J. Valančiūnas,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT09M50.00S,2025-02-09T03:39:54.3Z,2,REGULAR,substitution,in,[],1627734,,,1610612758,26,42,2025-02-09T03:41:48Z,1900000,False,,,0,,SUB in: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT09M50.00S,2025-02-09T03:39:54.3Z,2,REGULAR,substitution,in,[],203897,,,1610612758,26,42,2025-02-09T03:41:48Z,1910000,False,,,0,,SUB in: Z. LaVine,[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT09M32.00S,2025-02-09T03:42:20.0Z,2,REGULAR,turnover,bad pass,[],1631222,,,1610612758,26,42,2025-02-09T03:42:25Z,1920000,False,,,0,,J. LaRavia bad pass TURNOVER (1 TO),"[1631222, 1631255]",1610612758.0,SAC,,,,LaRavia,J. LaRavia,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Matković,1631255.0,,,,,,,,,
197,PT09M32.00S,2025-02-09T03:42:20.0Z,2,REGULAR,steal,,[],1631255,,,1610612740,26,42,2025-02-09T03:44:25Z,1930000,False,,,0,,K. Matković STEAL (1 STL),[1631255],1610612740.0,NOP,,,,Matković,K. Matković,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
198,PT09M29.00S,2025-02-09T03:42:25.0Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629627,6.1268068331143235,54.41176470588235,1610612740,26,44,2025-02-09T03:44:04Z,1940000,False,-22.0,5.0,1,left,Z. Williamson running Layup (17 PTS),[1629627],1610612740.0,NOP,running,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,2.27,Made,,,,,17.0,,,,,,,,,,,,
199,PT09M29.00S,2025-02-09T03:42:29.2Z,2,REGULAR,foul,personal,['1freethrow'],1631165,,,1610612740,26,44,2025-02-09T03:42:36Z,1950000,False,,,0,,K. Ellis shooting personal FOUL (2 PF) (Williamson 1 FT),"[1631165, 1629627]",1610612758.0,SAC,shooting,,,Ellis,K. Ellis,,,,,202053.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2.0,0.0,Williamson,1629627.0
201,PT09M29.00S,2025-02-09T03:42:51.1Z,2,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1629627,,,1610612740,26,44,2025-02-09T03:42:53Z,1970000,False,,,0,,MISS Z. Williamson Free Throw 1 of 1,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
202,PT09M27.00S,2025-02-09T03:42:53.1Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612758,26,44,2025-02-09T03:42:53Z,1980000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,201.0,4.0,3.0,1.0,,,,,,,,,,,,,
203,PT09M08.00S,2025-02-09T03:43:12.4Z,2,REGULAR,foul,personal,['2freethrow'],1641722,,,1610612758,26,44,2025-02-09T03:43:20Z,1990000,False,,,0,,J. Hawkins shooting personal FOUL (1 PF) (Ellis 2 FT),"[1641722, 1631165]",1610612740.0,NOP,shooting,,,Hawkins,J. Hawkins,,,,,202053.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Ellis,1631165.0
205,PT09M08.00S,2025-02-09T03:43:37.5Z,2,REGULAR,freethrow,1 of 2,[],1631165,,,1610612758,26,44,2025-02-09T03:43:37Z,2010000,False,,,0,,MISS K. Ellis Free Throw 1 of 2,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
206,PT09M08.00S,2025-02-09T03:43:37.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,26,44,2025-02-09T03:43:37Z,2020000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,
207,PT09M08.00S,2025-02-09T03:44:00.2Z,2,REGULAR,freethrow,2 of 2,[],1631165,,,1610612758,26,44,2025-02-09T03:44:00Z,2030000,False,,,0,,MISS K. Ellis Free Throw 2 of 2,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
208,PT09M05.00S,2025-02-09T03:44:02.1Z,2,REGULAR,rebound,defensive,[],1629627,,,1610612740,26,44,2025-02-09T03:44:02Z,2040000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,207.0,3.0,2.0,1.0,,,,,,,,,,,,,
209,PT08M57.00S,2025-02-09T03:44:10.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630527,17.69053876478318,46.81372549019608,1610612740,26,44,2025-02-09T03:44:57Z,2050000,False,16.0,114.0,1,left,MISS B. Boston 11' pullup Shot,[1630527],1610612740.0,NOP,pullup,,,Boston,B. Boston,,,,,,In The Paint (Non-RA),8-16 Center,11.49,Missed,,,,,,,,,,,,,,,,,
210,PT08M55.00S,2025-02-09T03:44:12.9Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612758,26,44,2025-02-09T03:44:12Z,2060000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:4),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,In The Paint (Non-RA),8-16 Center,,,209.0,5.0,4.0,1.0,,,,,,,,,,,,,
211,PT08M51.00S,2025-02-09T03:44:18.4Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'defensivegoaltending']",203897,91.93495400788436,46.32352941176471,1610612758,28,44,2025-02-09T03:45:35Z,2070000,False,-18.0,23.0,1,right,Z. LaVine running Layup (2 PTS),[203897],1610612758.0,SAC,running,,,LaVine,Z. LaVine,,,,,,Restricted Area,0-8 Center,2.97,Made,,,,,2.0,,,,,,,,,,,,
213,PT08M51.00S,2025-02-09T03:44:23.1Z,2,REGULAR,violation,defensive goaltending,[],1631255,,,1610612758,28,44,2025-02-09T03:44:42Z,2090000,False,,,0,,K. Matković defensive goaltending VIOLATION,[1631255],1610612740.0,NOP,,,,Matković,K. Matković,,,,,1627524.0,,,,,,,,,,,,,,,,,,,,,
214,PT08M34.00S,2025-02-09T03:44:48.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,7.440867279894875,51.9607843137255,1610612740,28,44,2025-02-09T03:44:54Z,2100000,False,-10.0,17.0,1,left,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,2.0,Missed,,,,,,,,,,,,,,,,,
215,PT08M33.00S,2025-02-09T03:44:50.5Z,2,REGULAR,rebound,offensive,[],1631255,,,1610612740,28,44,2025-02-09T03:44:50Z,2110000,False,,,0,,K. Matković REBOUND (Off:1 Def:0),[1631255],1610612740.0,NOP,,,,Matković,K. Matković,,,,,,Restricted Area,0-8 Center,,,214.0,1.0,0.0,1.0,,,,,,,,,,,,,
216,PT08M26.00S,2025-02-09T03:45:01.2Z,2,REGULAR,turnover,offensive-kicked-ball,[],1630527,,,1610612740,28,44,2025-02-09T03:45:23Z,2120000,False,,,0,,B. Boston offensive-kicked-ball TURNOVER (1 TO),[1630527],1610612740.0,NOP,,,,Boston,B. Boston,,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,,,,,,,,,,,
217,PT08M26.00S,2025-02-09T03:45:11.0Z,2,REGULAR,substitution,out,[],1631222,,,1610612758,28,44,2025-02-09T03:45:19Z,2130000,False,,,0,,SUB out: J. LaRavia,[1631222],1610612758.0,SAC,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT08M26.00S,2025-02-09T03:45:11.0Z,2,REGULAR,substitution,out,[],1626168,,,1610612758,28,44,2025-02-09T03:45:19Z,2140000,False,,,0,,SUB out: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT08M26.00S,2025-02-09T03:45:11.0Z,2,REGULAR,substitution,in,[],201942,,,1610612758,28,44,2025-02-09T03:45:19Z,2150000,False,,,0,,SUB in: D. DeRozan,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT08M26.00S,2025-02-09T03:45:11.0Z,2,REGULAR,substitution,in,[],1631099,,,1610612758,28,44,2025-02-09T03:45:19Z,2160000,False,,,0,,SUB in: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT08M13.00S,2025-02-09T03:45:34.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627734,92.72339027595268,47.549019607843135,1610612758,30,44,2025-02-09T03:45:40Z,2170000,False,-12.0,16.0,1,right,D. Sabonis cutting Layup (9 PTS) (Z. LaVine 1 AST),"[1627734, 203897]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,,Restricted Area,0-8 Center,2.01,Made,,,,,9.0,,,,Z. LaVine,203897.0,1.0,,,,,,
223,PT08M03.00S,2025-02-09T03:45:45.4Z,2,REGULAR,3pt,Jump Shot,[],1630527,24.129434954007884,12.745098039215685,1610612740,30,47,2025-02-09T03:45:50Z,2190000,False,186.0,174.0,1,left,B. Boston 25' 3PT  (10 PTS) (Z. Williamson 3 AST),"[1630527, 1629627]",1610612740.0,NOP,,,,Boston,B. Boston,,,,,,Above the Break 3,24+ Right Center,25.51,Made,,,,,10.0,,,,Z. Williamson,1629627.0,3.0,,,,,,
225,PT07M51.00S,2025-02-09T03:45:58.7Z,2,REGULAR,foul,personal,[],1630527,,,1610612758,30,47,2025-02-09T03:46:11Z,2210000,False,,,0,,B. Boston personal FOUL (2 PF),"[1630527, 201942]",1610612740.0,NOP,,,,Boston,B. Boston,,,,,1627524.0,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,2.0,0.0,DeRozan,201942.0
227,PT07M51.00S,2025-02-09T03:46:07.8Z,2,REGULAR,substitution,out,[],1629627,,,1610612758,30,47,2025-02-09T03:46:12Z,2230000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT07M51.00S,2025-02-09T03:46:07.8Z,2,REGULAR,substitution,in,[],1630530,,,1610612758,30,47,2025-02-09T03:46:12Z,2240000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT07M36.00S,2025-02-09T03:46:36.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,93.11760840998686,46.568627450980394,1610612758,32,47,2025-02-09T03:46:47Z,2250000,False,-17.0,12.0,1,right,D. Sabonis Layup (11 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,Restricted Area,0-8 Center,2.11,Made,,,,,11.0,,,,,,,,,,,,
231,PT07M19.00S,2025-02-09T03:46:54.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631255,6.389618922470433,52.20588235294118,1610612740,32,49,2025-02-09T03:47:30Z,2270000,False,-11.0,8.0,1,left,K. Matković Layup (2 PTS) (A. Reeves 1 AST),"[1631255, 1641810]",1610612740.0,NOP,,,,Matković,K. Matković,,,,,,Restricted Area,0-8 Center,1.34,Made,,,,,2.0,,,,A. Reeves,1641810.0,1.0,,,,,,
233,PT07M09.00S,2025-02-09T03:47:02.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203897,92.85479632063075,45.588235294117645,1610612758,34,49,2025-02-09T03:47:10Z,2290000,False,-22.0,15.0,1,right,Z. LaVine driving Layup (4 PTS),[203897],1610612758.0,SAC,driving,,,LaVine,Z. LaVine,,,,,,Restricted Area,0-8 Center,2.65,Made,,,,,4.0,,,,,,,,,,,,
234,PT06M58.00S,2025-02-09T03:47:15.2Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1631255,6.389618922470433,50.49019607843137,1610612740,34,51,2025-02-09T03:47:20Z,2300000,False,-2.0,8.0,1,left,K. Matković cutting DUNK (4 PTS) (T. Murphy III 2 AST),"[1631255, 1630530]",1610612740.0,NOP,cutting,,,Matković,K. Matković,,,,,,Restricted Area,0-8 Center,0.8,Made,,,,,4.0,,,,T. Murphy III,1630530.0,2.0,,,,,,
236,PT06M50.00S,2025-02-09T03:47:22.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203897,92.32917214191852,48.28431372549019,1610612758,36,51,2025-02-09T03:47:45Z,2320000,False,-9.0,20.0,1,right,Z. LaVine driving Layup (6 PTS),[203897],1610612758.0,SAC,driving,,,LaVine,Z. LaVine,,,,,,Restricted Area,0-8 Center,2.14,Made,,,,,6.0,,,,,,,,,,,,
237,PT06M31.00S,2025-02-09T03:47:41.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641722,13.748357424441524,50.245098039215684,1610612740,36,51,2025-02-09T03:47:48Z,2330000,False,-1.0,77.0,1,left,MISS J. Hawkins 7' fadeaway Shot,[1641722],1610612740.0,NOP,fadeaway,,,Hawkins,J. Hawkins,,,,,,In The Paint (Non-RA),0-8 Center,7.67,Missed,,,,,,,,,,,,,,,,,
238,PT06M31.00S,2025-02-09T03:47:41.7Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612758,36,51,2025-02-09T03:47:48Z,2340000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:5),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,In The Paint (Non-RA),0-8 Center,,,237.0,6.0,5.0,1.0,,,,,,,,,,,,,
239,PT06M24.00S,2025-02-09T03:47:50.2Z,2,REGULAR,foul,personal,['2freethrow'],1631255,,,1610612758,36,51,2025-02-09T03:47:58Z,2350000,False,,,0,,K. Matković shooting personal FOUL (2 PF) (Sabonis 2 FT),"[1631255, 1627734]",1610612740.0,NOP,shooting,,,Matković,K. Matković,,,,,101284.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2.0,0.0,Sabonis,1627734.0
241,PT06M24.00S,2025-02-09T03:48:18.0Z,2,REGULAR,freethrow,1 of 2,[],1627734,,,1610612758,37,51,2025-02-09T03:48:45Z,2370000,False,,,0,,D. Sabonis Free Throw 1 of 2 (12 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,
242,PT06M24.00S,2025-02-09T03:48:18.7Z,2,REGULAR,substitution,out,[],1641810,,,1610612758,37,51,2025-02-09T03:48:32Z,2380000,False,,,0,,SUB out: A. Reeves,[1641810],1610612740.0,NOP,,,,Reeves,A. Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT06M24.00S,2025-02-09T03:48:18.7Z,2,REGULAR,substitution,out,[],1631255,,,1610612758,37,51,2025-02-09T03:48:32Z,2390000,False,,,0,,SUB out: K. Matković,[1631255],1610612740.0,NOP,,,,Matković,K. Matković,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT06M24.00S,2025-02-09T03:48:18.7Z,2,REGULAR,substitution,in,[],1642274,,,1610612758,37,51,2025-02-09T03:48:32Z,2400000,False,,,0,,SUB in: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT06M24.00S,2025-02-09T03:48:18.7Z,2,REGULAR,substitution,in,[],1629750,,,1610612758,37,51,2025-02-09T03:48:32Z,2410000,False,,,0,,SUB in: J. Green,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT06M24.00S,2025-02-09T03:48:18.0Z,2,REGULAR,freethrow,2 of 2,[],1627734,,,1610612758,37,51,2025-02-09T03:48:45Z,2420000,False,,,0,,MISS D. Sabonis Free Throw 2 of 2,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
247,PT06M21.00S,2025-02-09T03:48:21.0Z,2,REGULAR,rebound,defensive,[],1630530,,,1610612740,37,51,2025-02-09T03:48:45Z,2430000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:4),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,246.0,4.0,4.0,0.0,,,,,,,,,,,,,
248,PT06M07.00S,2025-02-09T03:49:01.3Z,2,REGULAR,turnover,traveling,[],1629750,,,1610612740,37,51,2025-02-09T03:49:42Z,2440000,False,,,0,,J. Green traveling TURNOVER (1 TO),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,101284.0,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,,,,,,,,,
249,PT06M07.00S,2025-02-09T03:49:07.5Z,2,REGULAR,substitution,out,[],1641722,,,1610612758,37,51,2025-02-09T03:49:19Z,2450000,False,,,0,,SUB out: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT06M07.00S,2025-02-09T03:49:07.5Z,2,REGULAR,substitution,in,[],203468,,,1610612758,37,51,2025-02-09T03:49:19Z,2460000,False,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT05M55.00S,2025-02-09T03:49:36.8Z,2,REGULAR,turnover,out-of-bounds,[],1631099,,,1610612758,37,51,2025-02-09T03:50:01Z,2470000,False,,,0,,K. Murray step out-of-bounds TURNOVER (2 TO),[1631099],1610612758.0,SAC,step,,,Murray,K. Murray,,,,,202053.0,Left Corner 3,24+ Left,,,,,,,,2.0,,,,,,,,,,,
252,PT05M55.00S,2025-02-09T03:49:39.7Z,2,REGULAR,substitution,out,[],1630527,,,1610612740,37,51,2025-02-09T03:49:52Z,2480000,False,,,0,,SUB out: B. Boston,[1630527],1610612740.0,NOP,,,,Boston,B. Boston,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT05M55.00S,2025-02-09T03:49:39.7Z,2,REGULAR,substitution,in,[],1630631,,,1610612740,37,51,2025-02-09T03:49:52Z,2490000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT05M42.00S,2025-02-09T03:50:06.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630530,7.046649145860711,48.77450980392157,1610612740,37,53,2025-02-09T03:50:11Z,2500000,False,6.0,14.0,1,left,T. Murphy III driving Layup (10 PTS) (J. Alvarado 5 AST),"[1630530, 1630631]",1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,,Restricted Area,0-8 Center,1.5,Made,,,,,10.0,,,,J. Alvarado,1630631.0,5.0,,,,,,
256,PT05M26.00S,2025-02-09T03:50:20.6Z,2,REGULAR,3pt,Jump Shot,[],1631165,75.3777923784494,14.215686274509803,1610612758,40,53,2025-02-09T03:51:04Z,2520000,False,-179.0,179.0,1,right,K. Ellis 25' 3PT  (6 PTS) (D. Sabonis 1 AST),"[1631165, 1627734]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,Above the Break 3,24+ Left Center,25.3,Made,,,,,6.0,,,,D. Sabonis,1627734.0,1.0,,,,,,
259,PT05M03.00S,2025-02-09T03:51:10.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630530,12.565703022339028,48.529411764705884,1610612740,40,53,2025-02-09T03:52:29Z,2550000,False,7.0,66.0,1,left,MISS T. Murphy III 6' driving floating Shot - blocked,"[1630530, 201942]",1610612740.0,NOP,driving floating,,,Murphy III,T. Murphy III,,,,,,In The Paint (Non-RA),0-8 Center,6.6,Missed,,,,,,,,,,,,DeRozan,201942.0,,,,
260,PT05M03.00S,2025-02-09T03:51:10.3Z,2,REGULAR,block,,[],201942,,,1610612740,40,53,2025-02-09T03:51:13Z,2560000,False,,,0,,D. DeRozan BLOCK (1 BLK),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
261,PT05M01.00S,2025-02-09T03:51:12.3Z,2,REGULAR,rebound,defensive,[],203897,,,1610612758,40,53,2025-02-09T03:52:19Z,2570000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:3),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,,In The Paint (Non-RA),0-8 Center,,,259.0,3.0,3.0,0.0,,,,,,,,,,,,,
262,PT04M58.00S,2025-02-09T03:51:15.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203468,,,1610612758,40,53,2025-02-09T03:51:27Z,2580000,False,,,0,,C. McCollum shooting personal FOUL (1 PF) (Ellis 2 FT),"[203468, 1631165]",1610612740.0,NOP,shooting,,,McCollum,C. McCollum,,,,,202053.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Ellis,1631165.0
