actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
175,PT11M41.00S,2024-11-19T03:37:20.0Z,2,REGULAR,rebound,defensive,[],1641732,,,1610612758,31,32,2024-11-19T03:41:40Z,1730000,False,,,0,,C. Jones REBOUND (Off:0 Def:1),[1641732],1610612758.0,SAC,,,,Jones,C. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,174.0,1.0,1.0,0.0,,,,,,,,,,
176,PT11M34.00S,2024-11-19T03:37:29.5Z,2,REGULAR,foul,offensive,[],203926,,,1610612758,31,32,2024-11-19T03:37:56Z,1740000,False,,,0,,D. McDermott offensive FOUL (1 PF),"[203926, 1630700]",1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Center,2002.0,,,,,,,,,,,,,,1.0,0.0,Daniels,1630700.0,,
178,PT11M34.00S,2024-11-19T03:37:29.5Z,2,REGULAR,turnover,offensive foul,[],203926,,,1610612758,31,32,2024-11-19T03:37:29Z,1760000,False,,,0,,D. McDermott offensive foul TURNOVER (1 TO),[203926],1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Center,2002.0,1.0,,,,,,,,,,,,,,,,,,
179,PT11M29.00S,2024-11-19T03:37:47.2Z,2,REGULAR,foul,offensive,[],1630700,,,1610612737,31,32,2024-11-19T03:37:53Z,1770000,False,,,0,,D. Daniels offensive FOUL (1 PF),"[1630700, 1641732]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,1626302.0,,,,,,,,,,,,,,1.0,0.0,Jones,1641732.0,,
181,PT11M29.00S,2024-11-19T03:37:47.2Z,2,REGULAR,turnover,offensive foul,[],1630700,,,1610612737,31,32,2024-11-19T03:37:47Z,1790000,False,,,0,,D. Daniels offensive foul TURNOVER (2 TO),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,1626302.0,2.0,,,,,,,,,,,,,,,,,,
182,PT11M15.00S,2024-11-19T03:38:15.4Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1628368,22.026938239159,68.38235294117648,1610612758,31,32,2024-11-19T03:38:22Z,1800000,False,-92.0,155.0,1,left,MISS D. Fox 17' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Mid-Range,16-24 Left Center,,,,,17.99,Missed,,,,,,,,,,,,,,
183,PT11M12.00S,2024-11-19T03:38:18.4Z,2,REGULAR,rebound,defensive,[],1641723,,,1610612737,31,32,2024-11-19T03:38:22Z,1810000,False,,,0,,K. Bufkin REBOUND (Off:0 Def:1),[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,Mid-Range,16-24 Left Center,,,,,,,182.0,1.0,1.0,0.0,,,,,,,,,,
184,PT10M53.00S,2024-11-19T03:38:37.7Z,2,REGULAR,2pt,Jump Shot,[],1641723,88.78120893561103,67.64705882352942,1610612737,31,32,2024-11-19T03:42:52Z,1820000,False,88.0,53.0,1,right,MISS K. Bufkin 10' driving floating Shot,[1641723],1610612737.0,ATL,driving floating,,,Bufkin,K. Bufkin,,,,,Mid-Range,8-16 Right,,,,,10.29,Missed,,,,,,,,,,,,,,
185,PT10M51.00S,2024-11-19T03:38:39.7Z,2,REGULAR,rebound,defensive,[],1641732,,,1610612758,31,32,2024-11-19T03:38:44Z,1830000,False,,,0,,C. Jones REBOUND (Off:0 Def:2),[1641732],1610612758.0,SAC,,,,Jones,C. Jones,,,,,Mid-Range,8-16 Right,,,,,,,184.0,2.0,2.0,0.0,,,,,,,,,,
186,PT10M43.00S,2024-11-19T03:38:47.2Z,2,REGULAR,3pt,Jump Shot,[],1631165,4.418528252299605,95.58823529411765,1610612758,34,32,2024-11-19T03:38:55Z,1840000,False,-228.0,-11.0,1,left,K. Ellis 3PT  (9 PTS) (D. Fox 3 AST),"[1631165, 1628368]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Left Corner 3,24+ Left,,,,,22.82,Made,,,,,9.0,D. Fox,1628368.0,3.0,,,,,,
193,PT10M25.00S,2024-11-19T03:39:24.9Z,2,REGULAR,3pt,Jump Shot,[],1630700,69.85873850197109,20.833333333333336,1610612737,34,32,2024-11-19T03:46:09Z,1900000,False,-146.0,231.0,1,right,MISS D. Daniels 27' 3PT,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,,,27.3,Missed,,,,,,,,,,,,,,
194,PT10M20.00S,2024-11-19T03:39:29.9Z,2,REGULAR,rebound,defensive,[],1626168,,,1610612758,34,32,2024-11-19T03:39:33Z,1910000,False,,,0,,T. Lyles REBOUND (Off:1 Def:2),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Left Center,,,,,,,193.0,3.0,2.0,1.0,,,,,,,,,,
195,PT10M14.00S,2024-11-19T03:39:38.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641732,12.040078843626807,44.6078431372549,1610612758,34,32,2024-11-19T03:45:13Z,1920000,False,27.0,61.0,1,left,MISS C. Jones 6' driving floating Shot - blocked,"[1641732, 1642258]",1610612758.0,SAC,driving floating,,,Jones,C. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,6.64,Missed,,,,,,,,,,,,,Risacher,1642258.0
196,PT10M14.00S,2024-11-19T03:39:38.0Z,2,REGULAR,block,,[],1642258,,,1610612758,34,32,2024-11-19T03:39:40Z,1930000,False,,,0,,Z. Risacher BLOCK (1 BLK),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
197,PT10M11.00S,2024-11-19T03:39:41.0Z,2,REGULAR,rebound,offensive,[],1641732,,,1610612758,34,32,2024-11-19T03:45:13Z,1940000,False,,,0,,C. Jones REBOUND (Off:1 Def:2),[1641732],1610612758.0,SAC,,,,Jones,C. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,195.0,3.0,2.0,1.0,,,,,,,,,,
198,PT10M09.00S,2024-11-19T03:39:43.9Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1631165,29.517082785808146,24.509803921568626,1610612758,37,32,2024-11-19T03:45:38Z,1950000,False,127.0,225.0,1,left,K. Ellis 25' 3PT  (12 PTS) (C. Jones 1 AST),"[1631165, 1641732]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Right Center,,,,,25.86,Made,,,,,12.0,C. Jones,1641732.0,1.0,,,,,,
199,PT09M50.00S,2024-11-19T03:39:59.7Z,2,REGULAR,3pt,Jump Shot,[],1641723,75.3777923784494,14.215686274509803,1610612737,37,35,2024-11-19T03:40:05Z,1960000,False,-179.0,179.0,1,right,K. Bufkin 25' 3PT  (5 PTS) (B. Bogdanović 2 AST),"[1641723, 203992]",1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,Above the Break 3,24+ Left Center,,,,,25.3,Made,,,,,5.0,B. Bogdanović,203992.0,2.0,,,,,,
203,PT09M36.00S,2024-11-19T03:40:15.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,11.514454664914586,42.64705882352941,1610612758,39,35,2024-11-19T03:40:30Z,1980000,False,37.0,56.0,1,left,D. Fox 6' turnaround Jump Shot (11 PTS),[1628368],1610612758.0,SAC,turnaround,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,,6.68,Made,,,,,11.0,,,,,,,,,
204,PT09M36.00S,2024-11-19T03:40:18.3Z,2,REGULAR,foul,personal,['1freethrow'],203992,,,1610612758,39,35,2024-11-19T03:40:24Z,1990000,False,,,0,,B. Bogdanović shooting personal FOUL (1 PF) (Fox 1 FT),"[203992, 1628368]",1610612737.0,ATL,shooting,,,Bogdanović,B. Bogdanović,,,,,In The Paint (Non-RA),0-8 Center,2003.0,,,,,,,,,,,,,,1.0,0.0,Fox,1628368.0,,
206,PT09M36.00S,2024-11-19T03:40:33.7Z,2,REGULAR,substitution,out,[],1641723,,,1610612758,39,35,2024-11-19T03:41:12Z,2010000,False,,,0,,SUB out: K. Bufkin,[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT09M36.00S,2024-11-19T03:40:33.7Z,2,REGULAR,substitution,in,[],1629027,,,1610612758,39,35,2024-11-19T03:41:12Z,2020000,False,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT09M36.00S,2024-11-19T03:40:57.8Z,2,REGULAR,freethrow,1 of 1,[],1628368,,,1610612758,40,35,2024-11-19T03:40:57Z,2030000,False,,,0,,D. Fox Free Throw 1 of 1 (12 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,Made,,,,,12.0,,,,,,,,,
209,PT09M27.00S,2024-11-19T03:41:08.3Z,2,REGULAR,3pt,Jump Shot,[],203992,80.23981603153744,7.598039215686274,1610612737,40,35,2024-11-19T03:41:14Z,2040000,False,-212.0,133.0,1,right,MISS B. Bogdanović 25' 3PT,[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,Above the Break 3,24+ Left Center,,,,,25.04,Missed,,,,,,,,,,,,,,
210,PT09M23.00S,2024-11-19T03:41:12.3Z,2,REGULAR,rebound,defensive,[],1628368,,,1610612758,40,35,2024-11-19T03:41:14Z,2050000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,,,,,,,209.0,1.0,1.0,0.0,,,,,,,,,,
211,PT09M13.00S,2024-11-19T03:41:22.9Z,2,REGULAR,3pt,Jump Shot,[],1631165,5.995400788436268,3.6764705882352944,1610612758,43,35,2024-11-19T03:41:28Z,2060000,False,232.0,4.0,1,left,K. Ellis 3PT  (15 PTS) (D. Fox 4 AST),"[1631165, 1628368]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Right Corner 3,24+ Right,,,,,23.16,Made,,,,,15.0,D. Fox,1628368.0,4.0,,,,,,
213,PT09M05.00S,2024-11-19T03:41:34.3Z,2,REGULAR,foul,personal,['2freethrow'],203926,,,1610612737,43,35,2024-11-19T03:41:43Z,2080000,False,,,0,,D. McDermott shooting personal FOUL (2 PF) (Risacher 2 FT),"[203926, 1642258]",1610612758.0,SAC,shooting,,,McDermott,D. McDermott,,,,,Restricted Area,0-8 Center,2002.0,,,,,,,,,,,,,,2.0,0.0,Risacher,1642258.0,,
215,PT09M05.00S,2024-11-19T03:42:00.6Z,2,REGULAR,freethrow,1 of 2,[],1642258,,,1610612737,43,36,2024-11-19T03:42:00Z,2100000,False,,,0,,Z. Risacher Free Throw 1 of 2 (10 PTS),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,Made,,,,,10.0,,,,,,,,,
216,PT09M05.00S,2024-11-19T03:42:01.2Z,2,REGULAR,substitution,out,[],1628368,,,1610612737,43,36,2024-11-19T03:42:14Z,2110000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT09M05.00S,2024-11-19T03:42:01.2Z,2,REGULAR,substitution,out,[],203926,,,1610612737,43,36,2024-11-19T03:42:14Z,2120000,False,,,0,,SUB out: D. McDermott,[203926],1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT09M05.00S,2024-11-19T03:42:01.2Z,2,REGULAR,substitution,out,[],1641732,,,1610612737,43,36,2024-11-19T03:42:14Z,2130000,False,,,0,,SUB out: C. Jones,[1641732],1610612758.0,SAC,,,,Jones,C. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT09M05.00S,2024-11-19T03:42:01.2Z,2,REGULAR,substitution,out,[],203992,,,1610612737,43,36,2024-11-19T03:42:14Z,2140000,False,,,0,,SUB out: B. Bogdanović,[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT09M05.00S,2024-11-19T03:42:01.2Z,2,REGULAR,substitution,in,[],1629162,,,1610612737,43,36,2024-11-19T03:42:14Z,2150000,False,,,0,,SUB in: J. McLaughlin,[1629162],1610612758.0,SAC,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT09M05.00S,2024-11-19T03:42:01.2Z,2,REGULAR,substitution,in,[],1628989,,,1610612737,43,36,2024-11-19T03:42:14Z,2160000,False,,,0,,SUB in: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT09M05.00S,2024-11-19T03:42:01.2Z,2,REGULAR,substitution,in,[],1631099,,,1610612737,43,36,2024-11-19T03:42:14Z,2170000,False,,,0,,SUB in: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT09M05.00S,2024-11-19T03:42:01.2Z,2,REGULAR,substitution,in,[],1631223,,,1610612737,43,36,2024-11-19T03:42:14Z,2180000,False,,,0,,SUB in: D. Roddy,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT09M05.00S,2024-11-19T03:42:28.4Z,2,REGULAR,freethrow,2 of 2,[],1642258,,,1610612737,43,37,2024-11-19T03:42:28Z,2190000,False,,,0,,Z. Risacher Free Throw 2 of 2 (11 PTS),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,Made,,,,,11.0,,,,,,,,,
225,PT08M46.00S,2024-11-19T03:42:48.8Z,2,REGULAR,3pt,Jump Shot,[],1631165,29.911300919842315,29.65686274509804,1610612758,46,37,2024-11-19T03:47:53Z,2200000,False,102.0,229.0,1,left,K. Ellis 25' 3PT step back (18 PTS) (T. Lyles 3 AST),"[1631165, 1626168]",1610612758.0,SAC,step back,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Right Center,,,,,25.03,Made,,,,,18.0,T. Lyles,1626168.0,3.0,,,,,,
226,PT08M36.00S,2024-11-19T03:43:01.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630168,91.67214191852825,48.77450980392157,1610612737,46,39,2024-11-19T03:43:08Z,2210000,False,-6.0,26.0,1,right,O. Okongwu cutting DUNK (4 PTS) (T. Young 7 AST),"[1630168, 1629027]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,2.65,Made,,,,,4.0,T. Young,1629027.0,7.0,,,,,,
228,PT08M36.00S,2024-11-19T03:43:03.8Z,2,REGULAR,foul,personal,['1freethrow'],1628989,,,1610612737,46,39,2024-11-19T03:43:30Z,2230000,False,,,0,,K. Huerter shooting personal FOUL (2 PF) (Okongwu 1 FT),"[1628989, 1630168]",1610612758.0,SAC,shooting,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,2003.0,,,,,,,,,,,,,,2.0,0.0,Okongwu,1630168.0,,
230,PT08M36.00S,2024-11-19T03:43:11.1Z,2,REGULAR,substitution,out,[],1626168,,,1610612737,46,39,2024-11-19T03:43:29Z,2250000,False,,,0,,SUB out: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT08M36.00S,2024-11-19T03:43:11.1Z,2,REGULAR,substitution,out,[],1630700,,,1610612737,46,39,2024-11-19T03:43:29Z,2260000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT08M36.00S,2024-11-19T03:43:11.1Z,2,REGULAR,substitution,in,[],1642403,,,1610612737,46,39,2024-11-19T03:43:29Z,2270000,False,,,0,,SUB in: I. Jones,[1642403],1610612758.0,SAC,,,,Jones,I. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT08M36.00S,2024-11-19T03:43:11.1Z,2,REGULAR,substitution,in,[],1629726,,,1610612737,46,39,2024-11-19T03:43:29Z,2280000,False,,,0,,SUB in: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT08M36.00S,2024-11-19T03:43:40.3Z,2,REGULAR,freethrow,1 of 1,[],1630168,,,1610612737,46,40,2024-11-19T03:43:40Z,2290000,False,,,0,,O. Okongwu Free Throw 1 of 1 (5 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,Made,,,,,5.0,,,,,,,,,
236,PT08M18.00S,2024-11-19T03:44:00.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631099,8.886333771353483,48.77450980392157,1610612758,48,40,2024-11-19T03:48:35Z,2300000,False,6.0,31.0,1,left,K. Murray driving finger roll Layup (5 PTS),[1631099],1610612758.0,SAC,driving finger roll,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,3.16,Made,,,,,5.0,,,,,,,,,
237,PT08M09.00S,2024-11-19T03:44:11.6Z,2,REGULAR,foul,personal,[],1631099,,,1610612737,48,40,2024-11-19T03:44:27Z,2310000,False,,,0,,K. Murray personal FOUL (1 PF),"[1631099, 1631223]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,1626302.0,,,,,,,,,,,,,,1.0,0.0,Roddy,1631223.0,,
239,PT08M04.00S,2024-11-19T03:44:37.8Z,2,REGULAR,3pt,Jump Shot,[],1629726,93.51182654402102,96.07843137254902,1610612737,48,40,2024-11-19T03:44:44Z,2330000,False,230.0,8.0,1,right,MISS G. Mathews 3PT,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,Right Corner 3,24+ Right,,,,,23.06,Missed,,,,,,,,,,,,,,
240,PT08M01.00S,2024-11-19T03:44:40.8Z,2,REGULAR,rebound,defensive,[],1628989,,,1610612758,48,40,2024-11-19T03:50:19Z,2340000,False,,,0,,K. Huerter REBOUND (Off:0 Def:2),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Right Corner 3,24+ Right,,,,,,,239.0,2.0,2.0,0.0,,,,,,,,,,
241,PT07M54.00S,2024-11-19T03:44:48.2Z,2,REGULAR,3pt,Jump Shot,[],1631165,24.655059132720105,83.33333333333334,1610612758,48,40,2024-11-19T03:50:06Z,2350000,False,-167.0,179.0,1,left,MISS K. Ellis 24' pullup 3PT,[1631165],1610612758.0,SAC,pullup,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Left Center,,,,,24.48,Missed,,,,,,,,,,,,,,
242,PT07M52.00S,2024-11-19T03:44:50.2Z,2,REGULAR,rebound,offensive,[],1631099,,,1610612758,48,40,2024-11-19T03:50:06Z,2360000,False,,,0,,K. Murray REBOUND (Off:1 Def:3),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,241.0,4.0,3.0,1.0,,,,,,,,,,
243,PT07M47.00S,2024-11-19T03:44:54.0Z,2,REGULAR,turnover,lost ball,[],1631099,,,1610612758,48,40,2024-11-19T03:45:00Z,2370000,False,,,0,,K. Murray lost ball TURNOVER (3 TO),"[1631099, 1629726]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Right,,3.0,Mathews,1629726.0,,,,,,,,,,,,,,,,
244,PT07M47.00S,2024-11-19T03:44:54.0Z,2,REGULAR,steal,,[],1629726,,,1610612737,48,40,2024-11-19T03:44:55Z,2380000,False,,,0,,G. Mathews STEAL (1 STL),[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
245,PT07M46.00S,2024-11-19T03:44:58.7Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642258,92.59198423127464,55.392156862745104,1610612737,48,40,2024-11-19T03:50:46Z,2390000,False,27.0,17.0,1,right,MISS Z. Risacher running alley-oop Layup,[1642258],1610612737.0,ATL,running alley-oop,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,3.2,Missed,,,,,,,,,,,,,,
246,PT07M44.00S,2024-11-19T03:45:00.7Z,2,REGULAR,rebound,defensive,[],1631165,,,1610612758,48,40,2024-11-19T03:50:46Z,2400000,False,,,0,,K. Ellis REBOUND (Off:1 Def:2),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Restricted Area,0-8 Center,,,,,,,245.0,3.0,2.0,1.0,,,,,,,,,,
247,PT07M26.00S,2024-11-19T03:45:15.5Z,2,REGULAR,3pt,Jump Shot,[],1628989,18.74178712220762,92.64705882352942,1610612758,51,40,2024-11-19T03:45:22Z,2410000,False,-213.0,124.0,1,left,K. Huerter 24' 3PT  (5 PTS) (J. McLaughlin 3 AST),"[1628989, 1629162]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,,,,24.65,Made,,,,,5.0,J. McLaughlin,1629162.0,3.0,,,,,,
249,PT07M24.00S,2024-11-19T03:45:32.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,51,40,2024-11-19T03:45:32Z,2430000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT07M13.00S,2024-11-19T03:48:30.6Z,2,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612737,51,40,2024-11-19T03:48:42Z,2440000,False,,,0,,K. Murray shooting personal FOUL (2 PF) (Young 2 FT),"[1631099, 1629027]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,Mid-Range,16-24 Center,2002.0,,,,,,,,,,,,,,2.0,0.0,Young,1629027.0,,
252,PT07M13.00S,2024-11-19T03:48:51.2Z,2,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,51,41,2024-11-19T03:48:51Z,2460000,False,,,0,,T. Young Free Throw 1 of 2 (1 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,
253,PT07M13.00S,2024-11-19T03:49:05.6Z,2,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,51,42,2024-11-19T03:49:05Z,2470000,False,,,0,,T. Young Free Throw 2 of 2 (2 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,Made,,,,,2.0,,,,,,,,,
254,PT06M56.00S,2024-11-19T03:49:24.9Z,2,REGULAR,turnover,bad pass,[],1642403,,,1610612758,51,42,2024-11-19T03:49:30Z,2480000,False,,,0,,I. Jones bad pass TURNOVER (1 TO),"[1642403, 1629027]",1610612758.0,SAC,,,,Jones,I. Jones,,,,,In The Paint (Non-RA),0-8 Center,,1.0,Young,1629027.0,,,,,,,,,,,,,,,,
255,PT06M56.00S,2024-11-19T03:49:24.9Z,2,REGULAR,steal,,[],1629027,,,1610612737,51,42,2024-11-19T03:49:27Z,2490000,False,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
256,PT06M51.00S,2024-11-19T03:49:29.2Z,2,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1642258,74.45795006570303,86.02941176470588,1610612737,51,42,2024-11-19T03:52:09Z,2500000,False,180.0,188.0,1,right,MISS Z. Risacher 26' running pullup 3PT,[1642258],1610612737.0,ATL,running pullup,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,,,,,26.01,Missed,,,,,,,,,,,,,,
257,PT06M48.00S,2024-11-19T03:49:32.2Z,2,REGULAR,rebound,defensive,[],1631165,,,1610612758,51,42,2024-11-19T03:49:38Z,2510000,False,,,0,,K. Ellis REBOUND (Off:1 Def:3),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Right Center,,,,,,,256.0,4.0,3.0,1.0,,,,,,,,,,
258,PT06M40.00S,2024-11-19T03:49:41.0Z,2,REGULAR,turnover,lost ball,[],1642403,,,1610612758,51,42,2024-11-19T03:49:51Z,2520000,False,,,0,,I. Jones lost ball TURNOVER (2 TO),"[1642403, 1629027]",1610612758.0,SAC,,,,Jones,I. Jones,,,,,Restricted Area,0-8 Center,,2.0,Young,1629027.0,,,,,,,,,,,,,,,,
259,PT06M40.00S,2024-11-19T03:49:41.0Z,2,REGULAR,steal,,[],1629027,,,1610612737,51,42,2024-11-19T03:49:42Z,2530000,False,,,0,,T. Young STEAL (2 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
260,PT06M36.00S,2024-11-19T03:49:46.2Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642258,93.24901445466492,49.50980392156863,1610612737,51,42,2024-11-19T04:18:31Z,2540000,False,-2.0,11.0,1,right,MISS Z. Risacher running alley-oop Layup,[1642258],1610612737.0,ATL,running alley-oop,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,1.13,Missed,,,,,,,,,,,,,,
261,PT06M34.00S,2024-11-19T03:49:48.2Z,2,REGULAR,rebound,defensive,[],1631099,,,1610612758,51,42,2024-11-19T03:53:45Z,2550000,False,,,0,,K. Murray REBOUND (Off:1 Def:4),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,,260.0,5.0,4.0,1.0,,,,,,,,,,
262,PT06M12.00S,2024-11-19T03:50:09.9Z,2,REGULAR,3pt,Jump Shot,[],1628989,31.35676741130092,46.81372549019608,1610612758,51,42,2024-11-19T03:54:22Z,2560000,False,16.0,242.0,1,left,MISS K. Huerter 24' pullup 3PT,[1628989],1610612758.0,SAC,pullup,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,,,,,24.28,Missed,,,,,,,,,,,,,,
263,PT06M10.00S,2024-11-19T03:50:11.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612758,51,42,2024-11-19T03:54:22Z,2570000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,262.0,,,,,,,,,,,,,
264,PT06M10.00S,2024-11-19T03:50:18.2Z,2,REGULAR,foul,personal,[],1630168,,,1610612758,51,42,2024-11-19T03:50:38Z,2580000,False,,,0,,O. Okongwu loose ball personal FOUL (1 PF),"[1630168, 1642403]",1610612737.0,ATL,loose ball,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,2002.0,,,,,,,,,,,,,,1.0,0.0,Jones,1642403.0,,
