actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
63,PT05M37.00S,2022-03-25T01:22:11.1Z,1,REGULAR,steal,,[],203109,,,1610612756,17,15,2022-03-25T01:23:02Z,630000,,,0,,J. Crowder STEAL (1 STL),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M32.00S,2022-03-25T01:22:17.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626164,86.81011826544021,21.07843137254902,1610612756,17,17,2022-03-25T01:23:05Z,640000,-145.0,71.0,1,right,D. Booker 16' fadeaway Jump Shot (13 PTS),[1626164],1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,16.13,Made,13.0,,,,,,,,,,,,,,,,,,
65,PT05M32.00S,2022-03-25T01:22:21.5Z,1,REGULAR,foul,personal,['1freethrow'],203115,,,1610612756,17,17,2022-03-25T01:22:33Z,650000,,,0,,W. Barton shooting personal FOUL (1 PF) (Booker 1 FT),"[203115, 1626164]",1610612743.0,DEN,shooting,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,2004.0,1.0,0.0,Booker,1626164.0,,,
67,PT05M32.00S,2022-03-25T01:22:34.5Z,1,REGULAR,substitution,out,[],203115,,,1610612756,17,17,2022-03-25T01:23:01Z,670000,,,0,,SUB out: W. Barton,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M32.00S,2022-03-25T01:22:34.5Z,1,REGULAR,substitution,out,[],201145,,,1610612756,17,17,2022-03-25T01:23:01Z,680000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M32.00S,2022-03-25T01:22:34.5Z,1,REGULAR,substitution,out,[],203109,,,1610612756,17,17,2022-03-25T01:23:01Z,690000,,,0,,SUB out: J. Crowder,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M32.00S,2022-03-25T01:22:34.5Z,1,REGULAR,substitution,out,[],101108,,,1610612756,17,17,2022-03-25T01:23:01Z,700000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M32.00S,2022-03-25T01:22:34.5Z,1,REGULAR,substitution,in,[],203085,,,1610612756,17,17,2022-03-25T01:23:01Z,710000,,,0,,SUB in: A. Rivers,[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M32.00S,2022-03-25T01:22:34.5Z,1,REGULAR,substitution,in,[],203210,,,1610612756,17,17,2022-03-25T01:23:01Z,720000,,,0,,SUB in: J. Green,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M32.00S,2022-03-25T01:22:34.5Z,1,REGULAR,substitution,in,[],1628470,,,1610612756,17,17,2022-03-25T01:23:01Z,730000,,,0,,SUB in: T. Craig,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M32.00S,2022-03-25T01:22:34.5Z,1,REGULAR,substitution,in,[],1626166,,,1610612756,17,17,2022-03-25T01:23:01Z,740000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M32.00S,2022-03-25T01:23:07.6Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1626164,,,1610612756,17,18,2022-03-25T01:23:07Z,750000,,,0,,D. Booker Free Throw 1 of 1 (14 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Made,14.0,,,,,,,,,,,,,,,,,,
76,PT05M08.00S,2022-03-25T01:23:33.0Z,1,REGULAR,3pt,Jump Shot,[],203932,6.783837056504599,97.30392156862744,1610612743,17,18,2022-03-25T01:23:39Z,760000,-237.0,11.0,1,left,MISS A. Gordon 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,23.68,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M08.00S,2022-03-25T01:23:33.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,17,18,2022-03-25T01:23:39Z,770000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,
78,PT05M08.00S,2022-03-25T01:23:36.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612743,17,18,2022-03-25T01:23:43Z,780000,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,203593.0,,,,,,,
79,PT04M52.00S,2022-03-25T01:24:08.7Z,1,REGULAR,foul,personal,['2freethrow'],203085,,,1610612756,17,18,2022-03-25T01:24:27Z,790000,,,0,,A. Rivers shooting personal FOUL (1 PF) (Booker 2 FT),"[203085, 1626164]",1610612743.0,DEN,shooting,,,Rivers,A. Rivers,,,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Booker,1626164.0,,,
81,PT04M52.00S,2022-03-25T01:24:38.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626164,,,1610612756,17,18,2022-03-25T01:24:38Z,810000,,,0,,MISS D. Booker Free Throw 1 of 2,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Missed,,,,,,,,,,,,,,,,,,,
82,PT04M52.00S,2022-03-25T01:24:38.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,17,18,2022-03-25T01:24:38Z,820000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,
83,PT04M52.00S,2022-03-25T01:24:52.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1626164,,,1610612756,17,19,2022-03-25T01:24:52Z,830000,,,0,,D. Booker Free Throw 2 of 2 (15 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Made,15.0,,,,,,,,,,,,,,,,,,
84,PT04M37.00S,2022-03-25T01:25:08.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,17,19,2022-03-25T01:25:08Z,840000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M36.00S,2022-03-25T01:25:11.1Z,1,REGULAR,substitution,out,[],1628420,,,1610612743,17,19,2022-03-25T01:25:17Z,850000,,,0,,SUB out: M. Morris,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,
