actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
180,PT00M18.20S,2024-10-26T23:43:29.7Z,1,REGULAR,substitution,in,[],1626179,,,1610612766,22,23,2024-10-26T23:43:50Z,1780000,False,,,0,,SUB in: T. Rozier,[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT00M18.20S,2024-10-26T23:44:02.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1631217,,,1610612766,23,23,2024-10-26T23:44:02Z,1790000,False,,,0,,M. Diabaté Free Throw 2 of 2 (5 PTS),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,Made,,,,,,,,,,,,,5.0,,,,,
182,PT00M07.20S,2024-10-26T23:44:18.6Z,1,REGULAR,turnover,traveling,[],1631170,,,1610612748,23,23,2024-10-26T23:44:26Z,1800000,False,,,0,,J. Jaquez Jr. traveling TURNOVER (2 TO),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,2.0,202026.0,,,,,,,,,,,,
184,PT00M07.20S,2024-10-26T23:44:23.5Z,1,REGULAR,substitution,out,[],1631217,,,1610612766,23,23,2024-10-26T23:44:31Z,1820000,False,,,0,,SUB out: M. Diabaté,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT00M07.20S,2024-10-26T23:44:23.5Z,1,REGULAR,substitution,in,[],1629684,,,1610612766,23,23,2024-10-26T23:44:31Z,1830000,False,,,0,,SUB in: G. Williams,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT00M07.20S,2024-10-26T23:44:23.5Z,1,REGULAR,substitution,in,[],1630163,,,1610612766,23,23,2024-10-26T23:44:31Z,1840000,False,,,0,,SUB in: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT00M07.20S,2024-10-26T23:44:23.5Z,1,REGULAR,substitution,out,[],1630208,,,1610612766,23,23,2024-10-26T23:45:57Z,1847500,False,,,0,,SUB out: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT00M00.00S,2024-10-26T23:44:50.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628970,92.19776609724047,54.65686274509803,1610612766,23,23,2024-10-26T23:45:08Z,1850000,False,23.0,21.0,1,right,MISS M. Bridges DUNK - blocked,"[1628970, 1628418]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,3.12,Missed,,,,,,,,,,,Bryant,1628418.0,,,,,,
190,PT00M00.00S,2024-10-26T23:44:50.1Z,1,REGULAR,block,,[],1628418,,,1610612766,23,23,2024-10-26T23:45:46Z,1855000,False,,,0,,T. Bryant BLOCK (1 BLK),[1628418],1610612748.0,MIA,,,,Bryant,T. Bryant,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
188,PT00M00.00S,2024-10-26T23:44:50.1Z,1,REGULAR,rebound,defensive,[],1631170,,,1610612748,23,23,2024-10-26T23:49:40Z,1860000,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:1),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,187.0,2.0,1.0,1.0,,,,,,,,,,,,,,
192,PT00M00.00S,2024-10-26T23:46:00.9Z,1,REGULAR,period,end,[],0,,,1610612748,23,23,2024-10-26T23:49:40Z,1870000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT12M00.00S,2024-10-26T23:46:24.7Z,2,REGULAR,substitution,out,['startperiod'],1629684,,,1610612748,23,23,2024-10-26T23:49:40Z,1880000,False,,,0,,SUB out: G. Williams,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT12M00.00S,2024-10-26T23:46:24.7Z,2,REGULAR,substitution,out,['startperiod'],1626179,,,1610612748,23,23,2024-10-26T23:49:40Z,1890000,False,,,0,,SUB out: T. Rozier,[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT12M00.00S,2024-10-26T23:46:24.7Z,2,REGULAR,substitution,in,['startperiod'],1630208,,,1610612748,23,23,2024-10-26T23:49:40Z,1900000,False,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT12M00.00S,2024-10-26T23:46:24.7Z,2,REGULAR,substitution,in,['startperiod'],202692,,,1610612748,23,23,2024-10-26T23:49:40Z,1910000,False,,,0,,SUB in: A. Burks,[202692],1610612748.0,MIA,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT12M00.00S,2024-10-26T23:47:41.5Z,2,REGULAR,period,start,[],0,,,1610612748,23,23,2024-10-26T23:47:41Z,1920000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT11M43.00S,2024-10-26T23:47:56.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202710,6.521024967148489,51.225490196078425,1610612748,23,25,2024-10-26T23:48:01Z,1930000,False,-6.0,9.0,1,left,J. Butler driving Layup (2 PTS) (T. Bryant 1 AST),"[202710, 1628418]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,,,,,,,,,2.0,T. Bryant,1628418.0,1.0,,
200,PT11M26.00S,2024-10-26T23:48:19.3Z,2,REGULAR,turnover,offensive goaltending,[],1630208,,,1610612766,23,25,2024-10-26T23:48:33Z,1950000,False,,,0,,N. Richards offensive goaltending TURNOVER (1 TO),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,1.0,1629178.0,,,,,,,,,,,,
201,PT11M13.00S,2024-10-26T23:48:41.2Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],202710,25.18068331143233,54.41176470588235,1610612748,23,27,2024-10-26T23:48:45Z,1960000,False,-22.0,184.0,1,left,J. Butler 18' Jump Shot (4 PTS) (T. Bryant 2 AST),"[202710, 1628418]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,16-24 Center,18.55,Made,,,,,,,,,,,,,4.0,T. Bryant,1628418.0,2.0,,
203,PT10M49.00S,2024-10-26T23:49:04.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,92.32917214191852,50.98039215686274,1610612766,25,27,2024-10-26T23:49:09Z,1980000,False,5.0,20.0,1,right,M. Bridges driving Layup (6 PTS) (S. Curry 1 AST),"[1628970, 203552]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.02,Made,,,,,,,,,,,,,6.0,S. Curry,203552.0,1.0,,
205,PT10M43.00S,2024-10-26T23:49:14.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202710,5.075558475689881,53.67647058823529,1610612748,25,29,2024-10-26T23:49:20Z,2000000,False,-18.0,-5.0,1,left,J. Butler driving Layup (6 PTS) (J. Jaquez Jr. 3 AST),"[202710, 1631170]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,1.9,Made,,,,,,,,,,,,,6.0,J. Jaquez Jr.,1631170.0,3.0,,
207,PT10M43.00S,2024-10-26T23:49:20.2Z,2,REGULAR,foul,personal,['1freethrow'],1628998,,,1610612748,25,29,2024-10-26T23:49:35Z,2020000,False,,,0,,C. Martin shooting personal FOUL (2 PF) (Butler 1 FT),"[1628998, 202710]",1610612766.0,CHA,shooting,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,1629178.0,2.0,0.0,Butler,202710.0,,,,,,,,
209,PT10M43.00S,2024-10-26T23:49:36.6Z,2,REGULAR,substitution,out,[],1628970,,,1610612748,25,29,2024-10-26T23:49:40Z,2040000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT10M43.00S,2024-10-26T23:49:36.6Z,2,REGULAR,substitution,in,[],1642275,,,1610612748,25,29,2024-10-26T23:49:40Z,2050000,False,,,0,,SUB in: T. Salaün,[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT10M43.00S,2024-10-26T23:49:45.8Z,2,REGULAR,freethrow,1 of 1,[],202710,,,1610612748,25,30,2024-10-26T23:49:45Z,2060000,False,,,0,,J. Butler Free Throw 1 of 1 (7 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,,,,,,,,,7.0,,,,,
212,PT10M29.00S,2024-10-26T23:50:00.7Z,2,REGULAR,3pt,Jump Shot,[],1630163,62.36859395532195,16.666666666666664,1610612766,25,30,2024-10-26T23:50:06Z,2070000,False,-167.0,301.0,1,right,MISS L. Ball 34' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,34.43,Missed,,,,,,,,,,,,,,,,,,
213,PT10M26.00S,2024-10-26T23:50:02.9Z,2,REGULAR,rebound,offensive,[],1628998,,,1610612766,25,30,2024-10-26T23:50:02Z,2080000,False,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,212.0,1.0,0.0,1.0,,,,,,,,,,,,,,
214,PT10M13.00S,2024-10-26T23:50:15.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203552,91.80354796320631,51.71568627450981,1610612766,27,30,2024-10-26T23:50:22Z,2090000,False,9.0,25.0,1,right,S. Curry driving finger roll Layup (10 PTS),[203552],1610612766.0,CHA,driving finger roll,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,2.6,Made,,,,,,,,,,,,,10.0,,,,,
215,PT09M55.00S,2024-10-26T23:50:34.9Z,2,REGULAR,3pt,Jump Shot,[],1629130,32.14520367936925,61.76470588235294,1610612748,27,30,2024-10-26T23:50:38Z,2100000,False,-59.0,250.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,25.65,Missed,,,,,,,,,,,,,,,,,,
216,PT09M52.00S,2024-10-26T23:50:37.3Z,2,REGULAR,rebound,defensive,[],1642275,,,1610612766,27,30,2024-10-26T23:50:37Z,2110000,False,,,0,,T. Salaün REBOUND (Off:0 Def:1),[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,Above the Break 3,24+ Center,,,215.0,1.0,1.0,0.0,,,,,,,,,,,,,,
217,PT09M33.00S,2024-10-26T23:50:56.8Z,2,REGULAR,turnover,bad pass,[],1630163,,,1610612766,27,30,2024-10-26T23:51:03Z,2120000,False,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1628418]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,,,,,,,,,,Bryant,1628418.0
218,PT09M33.00S,2024-10-26T23:50:56.8Z,2,REGULAR,steal,,[],1628418,,,1610612748,27,30,2024-10-27T01:03:51Z,2130000,False,,,0,,T. Bryant STEAL (1 STL),[1628418],1610612748.0,MIA,,,,Bryant,T. Bryant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
219,PT09M27.00S,2024-10-26T23:51:02.8Z,2,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",202692,29.25427069645204,21.07843137254902,1610612748,27,33,2024-10-26T23:53:20Z,2140000,False,145.0,222.0,1,left,A. Burks 26' 3PT running (3 PTS) (J. Jaquez Jr. 4 AST),"[202692, 1631170]",1610612748.0,MIA,running,,,Burks,A. Burks,,,,,Above the Break 3,24+ Right Center,26.54,Made,,,,,,,,,,,,,3.0,J. Jaquez Jr.,1631170.0,4.0,,
221,PT09M01.00S,2024-10-26T23:51:28.6Z,2,REGULAR,2pt,Jump Shot,[],203552,91.80354796320631,74.75490196078431,1610612766,27,33,2024-10-26T23:53:55Z,2160000,False,124.0,25.0,1,right,MISS S. Curry 12' pullup Shot,[203552],1610612766.0,CHA,pullup,,,Curry,S. Curry,,,,,Mid-Range,8-16 Right,12.62,Missed,,,,,,,,,,,,,,,,,,
222,PT08M59.00S,2024-10-26T23:51:30.6Z,2,REGULAR,rebound,offensive,[],1630208,,,1610612766,27,33,2024-10-26T23:53:55Z,2170000,False,,,0,,N. Richards REBOUND (Off:1 Def:2),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,8-16 Right,,,221.0,3.0,2.0,1.0,,,,,,,,,,,,,,
224,PT08M59.00S,2024-10-26T23:51:39.1Z,2,REGULAR,substitution,out,[],1630163,,,1610612766,27,33,2024-10-26T23:52:02Z,2190000,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT08M59.00S,2024-10-26T23:51:39.1Z,2,REGULAR,substitution,out,[],203552,,,1610612766,27,33,2024-10-26T23:52:02Z,2200000,False,,,0,,SUB out: S. Curry,[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT08M59.00S,2024-10-26T23:51:39.1Z,2,REGULAR,substitution,out,[],1642275,,,1610612766,27,33,2024-10-26T23:52:02Z,2210000,False,,,0,,SUB out: T. Salaün,[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT08M59.00S,2024-10-26T23:51:39.1Z,2,REGULAR,substitution,in,[],1628970,,,1610612766,27,33,2024-10-26T23:52:02Z,2220000,False,,,0,,SUB in: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT08M59.00S,2024-10-26T23:51:39.1Z,2,REGULAR,substitution,in,[],1630544,,,1610612766,27,33,2024-10-26T23:52:02Z,2230000,False,,,0,,SUB in: T. Mann,[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT08M59.00S,2024-10-26T23:51:39.1Z,2,REGULAR,substitution,in,[],203995,,,1610612766,27,33,2024-10-26T23:52:02Z,2240000,False,,,0,,SUB in: V. Micić,[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT08M48.00S,2024-10-26T23:52:12.2Z,2,REGULAR,turnover,bad pass,[],1628970,,,1610612766,27,33,2024-10-26T23:52:21Z,2250000,False,,,0,,M. Bridges bad pass TURNOVER (2 TO),"[1628970, 1631170]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2.0,,,,,,,,,,,,Jaquez Jr.,1631170.0
231,PT08M48.00S,2024-10-26T23:52:12.2Z,2,REGULAR,steal,,[],1631170,,,1610612748,27,33,2024-10-27T01:11:10Z,2260000,False,,,0,,J. Jaquez Jr. STEAL (1 STL),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
232,PT08M33.00S,2024-10-26T23:52:26.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628418,5.995400788436268,45.09803921568628,1610612748,27,35,2024-10-26T23:52:30Z,2270000,False,25.0,4.0,1,left,T. Bryant Layup (6 PTS) (J. Butler 3 AST),"[1628418, 202710]",1610612748.0,MIA,,,,Bryant,T. Bryant,,,,,Restricted Area,0-8 Center,2.48,Made,,,,,,,,,,,,,6.0,J. Butler,202710.0,3.0,,
234,PT08M21.00S,2024-10-26T23:52:42.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,91.93495400788436,51.71568627450981,1610612766,29,35,2024-10-26T23:52:47Z,2290000,False,9.0,23.0,1,right,N. Richards Layup (4 PTS) (V. Micić 1 AST),"[1630208, 203995]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,2.48,Made,,,,,,,,,,,,,4.0,V. Micić,203995.0,1.0,,
236,PT08M21.00S,2024-10-26T23:52:49.2Z,2,REGULAR,foul,personal,['1freethrow'],1628418,,,1610612766,29,35,2024-10-26T23:53:02Z,2310000,False,,,0,,T. Bryant shooting personal FOUL (2 PF) (Richards 1 FT),"[1628418, 1630208]",1610612748.0,MIA,shooting,,,Bryant,T. Bryant,,,,,Restricted Area,0-8 Center,,,,,,,,202026.0,2.0,0.0,Richards,1630208.0,,,,,,,,
238,PT08M21.00S,2024-10-26T23:53:12.2Z,2,REGULAR,freethrow,1 of 1,[],1630208,,,1610612766,29,35,2024-10-26T23:53:15Z,2330000,False,,,0,,MISS N. Richards Free Throw 1 of 1,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
239,PT08M17.00S,2024-10-26T23:53:16.2Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,29,35,2024-10-26T23:53:15Z,2340000,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:2),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,238.0,3.0,2.0,1.0,,,,,,,,,,,,,,
240,PT08M01.00S,2024-10-26T23:53:33.5Z,2,REGULAR,3pt,Jump Shot,[],202692,5.338370565045992,95.83333333333334,1610612748,29,35,2024-10-26T23:58:25Z,2350000,False,-229.0,-2.0,1,left,MISS A. Burks 3PT,[202692],1610612748.0,MIA,,,,Burks,A. Burks,,,,,Left Corner 3,24+ Left,22.92,Missed,,,,,,,,,,,,,,,,,,
241,PT08M00.00S,2024-10-26T23:53:34.5Z,2,REGULAR,rebound,offensive,[],1628418,,,1610612748,29,35,2024-10-27T00:00:43Z,2360000,False,,,0,,T. Bryant REBOUND (Off:1 Def:0),[1628418],1610612748.0,MIA,,,,Bryant,T. Bryant,,,,,Left Corner 3,24+ Left,,,240.0,1.0,0.0,1.0,,,,,,,,,,,,,,
242,PT07M58.00S,2024-10-26T23:53:40.6Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628418,5.590000152587891,50.0,1610612748,29,35,2024-10-27T00:00:48Z,2370000,False,0.0,0.0,1,left,MISS T. Bryant putback Layup - blocked,"[1628418, 1630208]",1610612748.0,MIA,putback,,,Bryant,T. Bryant,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,Richards,1630208.0,,,,,,
243,PT07M58.00S,2024-10-26T23:53:40.6Z,2,REGULAR,block,,[],1630208,,,1610612748,29,35,2024-10-26T23:53:43Z,2380000,False,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
244,PT07M55.00S,2024-10-26T23:53:43.6Z,2,REGULAR,rebound,defensive,[],1630544,,,1610612766,29,35,2024-10-26T23:58:37Z,2390000,False,,,0,,T. Mann REBOUND (Off:0 Def:2),[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,242.0,2.0,2.0,0.0,,,,,,,,,,,,,,
245,PT07M44.00S,2024-10-26T23:53:49.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630544,91.67214191852825,51.225490196078425,1610612766,29,35,2024-10-27T00:00:39Z,2400000,False,6.0,26.0,1,right,MISS T. Mann driving Layup - blocked,"[1630544, 202692]",1610612766.0,CHA,driving,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,2.65,Missed,,,,,,,,,,,Burks,202692.0,,,,,,
246,PT07M44.00S,2024-10-26T23:53:49.4Z,2,REGULAR,block,,[],202692,,,1610612766,29,35,2024-10-26T23:53:52Z,2410000,False,,,0,,A. Burks BLOCK (1 BLK),[202692],1610612748.0,MIA,,,,Burks,A. Burks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
247,PT07M40.00S,2024-10-26T23:53:53.4Z,2,REGULAR,rebound,defensive,[],202710,,,1610612748,29,35,2024-10-26T23:53:55Z,2420000,False,,,0,,J. Butler REBOUND (Off:1 Def:3),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,245.0,4.0,3.0,1.0,,,,,,,,,,,,,,
248,PT07M40.00S,2024-10-26T23:54:04.4Z,2,REGULAR,foul,personal,['2freethrow'],1628970,,,1610612748,29,35,2024-10-26T23:55:12Z,2430000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Butler 2 FT),"[1628970, 202710]",1610612766.0,CHA,shooting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,202026.0,1.0,0.0,Butler,202710.0,,,,,,,,
250,PT07M40.00S,2024-10-26T23:54:27.1Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],202710,,,1610612748,29,36,2024-10-26T23:54:27Z,2450000,False,,,0,,J. Butler Free Throw 1 of 2 (8 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,,,,,,,,,8.0,,,,,
251,PT07M40.00S,2024-10-26T23:54:31.1Z,2,REGULAR,substitution,out,[],1628418,,,1610612748,29,36,2024-10-26T23:54:36Z,2460000,False,,,0,,SUB out: T. Bryant,[1628418],1610612748.0,MIA,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT07M40.00S,2024-10-26T23:54:31.1Z,2,REGULAR,substitution,out,[],1629130,,,1610612748,29,36,2024-10-26T23:54:36Z,2470000,False,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT07M40.00S,2024-10-26T23:54:31.1Z,2,REGULAR,substitution,in,[],1628389,,,1610612748,29,36,2024-10-26T23:54:36Z,2480000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT07M40.00S,2024-10-26T23:54:31.1Z,2,REGULAR,substitution,in,[],1629639,,,1610612748,29,36,2024-10-26T23:54:36Z,2490000,False,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT07M40.00S,2024-10-26T23:54:55.9Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],202710,,,1610612748,29,37,2024-10-26T23:54:55Z,2500000,False,,,0,,J. Butler Free Throw 2 of 2 (9 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,,,,,,,,,9.0,,,,,
256,PT07M15.00S,2024-10-26T23:55:23.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203995,88.12417871222075,51.470588235294116,1610612766,29,37,2024-10-26T23:55:27Z,2510000,False,7.0,59.0,1,right,MISS V. Micić driving Layup,[203995],1610612766.0,CHA,driving,,,Micić,V. Micić,,,,,In The Paint (Non-RA),0-8 Center,5.96,Missed,,,,,,,,,,,,,,,,,,
257,PT07M13.00S,2024-10-26T23:55:25.8Z,2,REGULAR,rebound,offensive,[],1630208,,,1610612766,29,37,2024-10-26T23:55:25Z,2520000,False,,,0,,N. Richards REBOUND (Off:2 Def:2),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,256.0,4.0,2.0,2.0,,,,,,,,,,,,,,
258,PT07M00.00S,2024-10-26T23:55:38.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628970,66.70499342969777,46.81372549019608,1610612766,29,37,2024-10-27T00:01:52Z,2530000,False,-16.0,260.0,1,right,MISS M. Bridges 26' pullup 3PT,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,26.1,Missed,,,,,,,,,,,,,,,,,,
259,PT06M58.00S,2024-10-26T23:55:40.9Z,2,REGULAR,rebound,defensive,[],1629639,,,1610612748,29,37,2024-10-26T23:55:40Z,2540000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,258.0,1.0,1.0,0.0,,,,,,,,,,,,,,
260,PT06M48.00S,2024-10-26T23:55:51.2Z,2,REGULAR,turnover,bad pass,[],202710,,,1610612748,29,37,2024-10-26T23:55:57Z,2550000,False,,,0,,J. Butler bad pass TURNOVER (1 TO),"[202710, 1630544]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,,,,,,,,,,Mann,1630544.0
261,PT06M48.00S,2024-10-26T23:55:51.2Z,2,REGULAR,steal,,[],1630544,,,1610612766,29,37,2024-10-26T23:55:53Z,2560000,False,,,0,,T. Mann STEAL (1 STL),[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
262,PT06M44.00S,2024-10-26T23:55:55.9Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628970,92.06636005256242,50.49019607843137,1610612766,31,37,2024-10-26T23:56:02Z,2570000,False,2.0,22.0,1,right,M. Bridges running DUNK (8 PTS) (T. Mann 1 AST),"[1628970, 1630544]",1610612766.0,CHA,running,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.22,Made,,,,,,,,,,,,,8.0,T. Mann,1630544.0,1.0,,
264,PT06M44.00S,2024-10-26T23:56:05.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,31,37,2024-10-26T23:56:05Z,2590000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT06M44.00S,2024-10-26T23:56:10.0Z,2,REGULAR,substitution,out,[],1628998,,,1610612748,31,37,2024-10-26T23:59:06Z,2600000,False,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT06M44.00S,2024-10-26T23:56:10.0Z,2,REGULAR,substitution,out,[],1631170,,,1610612748,31,37,2024-10-26T23:59:06Z,2610000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
