actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,area,areaDetail,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
174,PT10M20.00S,2023-01-16T20:42:36.0Z,2,REGULAR,turnover,bad pass,[],201567,,,1610612739,24,30,2023-01-16T20:42:52Z,1700000,False,,,0,,K. Love bad pass TURNOVER (1 TO),"[201567, 1626204]",1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,Restricted Area,0-8 Center,,,,,1.0,,,Nance Jr.,1626204.0,,,,,
175,PT10M20.00S,2023-01-16T20:42:36.0Z,2,REGULAR,steal,,[],1626204,,,1610612740,24,30,2023-01-16T20:42:38Z,1710000,False,,,0,,L. Nance Jr. STEAL (1 STL),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
176,PT10M07.00S,2023-01-16T20:42:48.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628984,76.82325886990802,88.23529411764706,1610612740,24,30,2023-01-16T20:42:54Z,1720000,False,191.0,165.0,1,right,MISS D. Graham 25' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,25.28,Missed,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,
177,PT10M04.00S,2023-01-16T20:42:51.2Z,2,REGULAR,rebound,defensive,[],201567,,,1610612739,24,30,2023-01-16T20:42:51Z,1730000,False,,,0,,K. Love REBOUND (Off:2 Def:5),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,Above the Break 3,24+ Right Center,176.0,7.0,5.0,2.0,,,,,,,,,,
178,PT09M59.00S,2023-01-16T20:43:00.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,24,30,2023-01-16T20:43:00Z,1740000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT09M59.00S,2023-01-16T20:43:53.8Z,2,REGULAR,substitution,out,[],201937,,,1610612739,24,30,2023-01-16T20:45:36Z,1750000,False,,,0,,SUB out: R. Rubio,[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT09M59.00S,2023-01-16T20:43:53.8Z,2,REGULAR,substitution,out,[],1626224,,,1610612739,24,30,2023-01-16T20:45:36Z,1760000,False,,,0,,SUB out: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT09M59.00S,2023-01-16T20:43:53.8Z,2,REGULAR,substitution,in,[],1630205,,,1610612739,24,30,2023-01-16T20:45:36Z,1770000,False,,,0,,SUB in: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT09M59.00S,2023-01-16T20:43:53.8Z,2,REGULAR,substitution,in,[],1629636,,,1610612739,24,30,2023-01-16T20:45:36Z,1780000,False,,,0,,SUB in: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT09M48.00S,2023-01-16T20:46:01.5Z,2,REGULAR,turnover,bad pass,[],1627747,,,1610612739,24,30,2023-01-16T20:46:10Z,1790000,False,,,0,,C. LeVert bad pass TURNOVER (1 TO),"[1627747, 1630631]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,Mid-Range,16-24 Center,,,,,1.0,,,Alvarado,1630631.0,,,,,
184,PT09M48.00S,2023-01-16T20:46:01.5Z,2,REGULAR,steal,,[],1630631,,,1610612740,24,30,2023-01-16T20:46:05Z,1800000,False,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,
185,PT09M41.00S,2023-01-16T20:46:08.9Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1630700,88.64980289093299,30.392156862745097,1610612740,24,32,2023-01-16T20:47:01Z,1810000,False,-98.0,54.0,1,right,D. Daniels 11' turnaround Jump Shot (2 PTS) (J. Alvarado 2 AST),"[1630700, 1630631]",1610612740.0,NOP,turnaround,,,Daniels,D. Daniels,,,,,11.2,Made,2.0,J. Alvarado,1630631.0,2.0,Mid-Range,8-16 Left,,,,,,,,,,,,,,
187,PT09M19.00S,2023-01-16T20:46:31.3Z,2,REGULAR,3pt,Jump Shot,[],1627747,20.18725361366623,95.83333333333334,1610612739,24,32,2023-01-16T20:46:42Z,1830000,False,-229.0,137.0,1,left,MISS C. LeVert 26' 3PT,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,26.72,Missed,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,
188,PT09M18.00S,2023-01-16T20:46:32.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612740,24,32,2023-01-16T20:46:42Z,1840000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,Above the Break 3,24+ Left Center,187.0,,,,,,,,,,,,,
189,PT09M18.00S,2023-01-16T20:46:40.1Z,2,REGULAR,foul,personal,[],201567,,,1610612740,24,32,2023-01-16T20:48:05Z,1850000,False,,,0,,K. Love loose ball personal FOUL (2 PF),"[201567, 1630230]",1610612739.0,CLE,loose ball,,,Love,K. Love,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1626300.0,2.0,0.0,Marshall,1630230.0
191,PT09M04.00S,2023-01-16T20:47:00.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626204,81.2910643889619,48.529411764705884,1610612740,24,32,2023-01-16T20:48:52Z,1870000,False,-7.0,123.0,1,right,MISS L. Nance Jr. 12' floating Shot,[1626204],1610612740.0,NOP,floating,,,Nance Jr.,L. Nance Jr.,,,,,12.36,Missed,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,
192,PT09M01.00S,2023-01-16T20:47:03.6Z,2,REGULAR,rebound,defensive,[],1630596,,,1610612739,24,32,2023-01-16T20:47:05Z,1880000,False,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,In The Paint (Non-RA),8-16 Center,191.0,2.0,2.0,0.0,,,,,,,,,,
193,PT08M51.00S,2023-01-16T20:47:12.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,8.886333771353483,50.98039215686274,1610612739,26,32,2023-01-16T20:47:19Z,1890000,False,-5.0,31.0,1,left,E. Mobley turnaround Jump Shot (10 PTS) (K. Love 2 AST),"[1630596, 201567]",1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,3.14,Made,10.0,K. Love,201567.0,2.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
195,PT08M37.00S,2023-01-16T20:47:27.3Z,2,REGULAR,3pt,Jump Shot,[],1630700,81.42247043363994,96.56862745098039,1610612740,26,32,2023-01-16T20:47:36Z,1910000,False,233.0,122.0,1,right,MISS D. Daniels 26' 3PT,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,26.29,Missed,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,
196,PT08M33.00S,2023-01-16T20:47:31.3Z,2,REGULAR,rebound,defensive,[],1630596,,,1610612739,26,32,2023-01-16T20:47:36Z,1920000,False,,,0,,E. Mobley REBOUND (Off:0 Def:3),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,Above the Break 3,24+ Right Center,195.0,3.0,3.0,0.0,,,,,,,,,,
197,PT08M26.00S,2023-01-16T20:47:38.2Z,2,REGULAR,turnover,lost ball,[],1630596,,,1610612739,26,32,2023-01-16T20:47:45Z,1930000,False,,,0,,E. Mobley lost ball TURNOVER (1 TO),"[1630596, 1630700]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,1.0,,,Daniels,1630700.0,,,,,
198,PT08M26.00S,2023-01-16T20:47:38.2Z,2,REGULAR,steal,,[],1630700,,,1610612740,26,32,2023-01-16T20:47:42Z,1940000,False,,,0,,D. Daniels STEAL (3 STL),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,
199,PT08M17.00S,2023-01-16T20:47:46.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630230,93.38042049934296,51.71568627450981,1610612740,26,34,2023-01-16T20:51:37Z,1950000,False,9.0,10.0,1,right,N. Marshall driving Layup (6 PTS) (L. Nance Jr. 2 AST),"[1630230, 1626204]",1610612740.0,NOP,driving,,,Marshall,N. Marshall,,,,,1.3,Made,6.0,L. Nance Jr.,1626204.0,2.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
201,PT07M58.00S,2023-01-16T20:48:06.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,7.178055190538765,50.49019607843137,1610612739,28,34,2023-01-16T20:52:31Z,1970000,False,-2.0,15.0,1,left,C. LeVert driving reverse Layup (8 PTS) (K. Love 3 AST),"[1627747, 201567]",1610612739.0,CLE,driving reverse,,,LeVert,C. LeVert,,,,,1.52,Made,8.0,K. Love,201567.0,3.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
203,PT07M43.00S,2023-01-16T20:48:20.7Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1626204,92.59198423127464,53.431372549019606,1610612740,28,36,2023-01-16T20:48:28Z,1990000,False,17.0,17.0,1,right,L. Nance Jr. DUNK (2 PTS) (D. Graham 2 AST),"[1626204, 1628984]",1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,2.43,Made,2.0,D. Graham,1628984.0,2.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
204,PT07M24.00S,2023-01-16T20:48:40.5Z,2,REGULAR,2pt,Jump Shot,[],1629636,18.084756898817346,24.754901960784316,1610612739,28,36,2023-01-16T20:48:45Z,2000000,False,126.0,117.0,1,left,MISS D. Garland 17' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,17.24,Missed,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,
205,PT07M22.00S,2023-01-16T20:48:42.5Z,2,REGULAR,rebound,defensive,[],1626204,,,1610612740,28,36,2023-01-16T20:48:45Z,2010000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:2),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,Mid-Range,16-24 Right Center,204.0,2.0,2.0,0.0,,,,,,,,,,
206,PT07M08.00S,2023-01-16T20:48:55.6Z,2,REGULAR,3pt,Jump Shot,[],1630700,92.72339027595268,97.05882352941177,1610612740,28,36,2023-01-16T20:49:00Z,2020000,False,235.0,16.0,1,right,MISS D. Daniels 3PT,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,23.58,Missed,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,
207,PT07M05.00S,2023-01-16T20:48:58.6Z,2,REGULAR,rebound,defensive,[],1629636,,,1610612739,28,36,2023-01-16T20:49:00Z,2030000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,Right Corner 3,24+ Right,206.0,1.0,1.0,0.0,,,,,,,,,,
208,PT06M56.00S,2023-01-16T20:49:07.6Z,2,REGULAR,3pt,Jump Shot,[],201567,17.427726675427067,96.81372549019608,1610612739,28,36,2023-01-16T20:49:14Z,2040000,False,-234.0,111.0,1,left,MISS K. Love 25' 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,25.92,Missed,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,
209,PT06M54.00S,2023-01-16T20:49:09.6Z,2,REGULAR,rebound,defensive,[],1630631,,,1610612740,28,36,2023-01-16T20:49:14Z,2050000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:2),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,Above the Break 3,24+ Left Center,208.0,2.0,2.0,0.0,,,,,,,,,,
210,PT06M51.00S,2023-01-16T20:49:13.3Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630230,93.64323258869908,50.49019607843137,1610612740,28,38,2023-01-16T20:54:56Z,2060000,False,2.0,7.0,1,right,N. Marshall running Layup (8 PTS) (J. Alvarado 3 AST),"[1630230, 1630631]",1610612740.0,NOP,running,,,Marshall,N. Marshall,,,,,0.77,Made,8.0,J. Alvarado,1630631.0,3.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
212,PT06M51.00S,2023-01-16T20:49:21.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,28,38,2023-01-16T20:49:21Z,2080000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT06M51.00S,2023-01-16T20:49:37.2Z,2,REGULAR,substitution,out,[],201567,,,1610612739,28,38,2023-01-16T20:51:58Z,2090000,False,,,0,,SUB out: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT06M51.00S,2023-01-16T20:49:37.2Z,2,REGULAR,substitution,out,[],1630596,,,1610612739,28,38,2023-01-16T20:51:58Z,2100000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT06M51.00S,2023-01-16T20:49:37.2Z,2,REGULAR,substitution,out,[],1628984,,,1610612739,28,38,2023-01-16T20:51:58Z,2110000,False,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT06M51.00S,2023-01-16T20:49:37.2Z,2,REGULAR,substitution,out,[],1630230,,,1610612739,28,38,2023-01-16T20:51:58Z,2120000,False,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT06M51.00S,2023-01-16T20:49:37.2Z,2,REGULAR,substitution,out,[],1626204,,,1610612739,28,38,2023-01-16T20:51:58Z,2130000,False,,,0,,SUB out: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT06M51.00S,2023-01-16T20:49:37.2Z,2,REGULAR,substitution,in,[],1628386,,,1610612739,28,38,2023-01-16T20:51:58Z,2140000,False,,,0,,SUB in: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M51.00S,2023-01-16T20:49:37.2Z,2,REGULAR,substitution,in,[],1628378,,,1610612739,28,38,2023-01-16T20:51:58Z,2150000,False,,,0,,SUB in: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT06M51.00S,2023-01-16T20:49:37.2Z,2,REGULAR,substitution,in,[],203468,,,1610612739,28,38,2023-01-16T20:51:58Z,2160000,False,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT06M51.00S,2023-01-16T20:49:37.2Z,2,REGULAR,substitution,in,[],202685,,,1610612739,28,38,2023-01-16T20:51:58Z,2170000,False,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT06M51.00S,2023-01-16T20:49:37.2Z,2,REGULAR,substitution,in,[],1630530,,,1610612739,28,38,2023-01-16T20:51:58Z,2180000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT06M34.00S,2023-01-16T20:52:28.9Z,2,REGULAR,turnover,traveling,[],1630205,,,1610612739,28,38,2023-01-16T20:52:36Z,2190000,False,,,0,,L. Stevens traveling TURNOVER (1 TO),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,Restricted Area,0-8 Center,,,,,1.0,,,,,2530.0,,,,
239,PT06M20.00S,2023-01-16T20:52:57.6Z,2,REGULAR,turnover,out-of-bounds,[],203468,,,1610612740,28,38,2023-01-16T20:55:19Z,2215000,False,,,0,,C. McCollum lost ball out-of-bounds TURNOVER (1 TO),[203468],1610612740.0,NOP,lost ball,,,McCollum,C. McCollum,,,,,,,,,,,Mid-Range,8-16 Left,,,,,1.0,,,,,1626300.0,,,,
227,PT06M20.00S,2023-01-16T20:53:01.0Z,2,REGULAR,substitution,out,[],1627747,,,1610612739,28,38,2023-01-16T20:53:05Z,2230000,False,,,0,,SUB out: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M20.00S,2023-01-16T20:53:01.0Z,2,REGULAR,substitution,in,[],1630171,,,1610612739,28,38,2023-01-16T20:53:05Z,2240000,False,,,0,,SUB in: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M04.00S,2023-01-16T20:53:23.5Z,2,REGULAR,turnover,bad pass,[],1628378,,,1610612739,28,38,2023-01-16T20:53:31Z,2250000,False,,,0,,D. Mitchell bad pass TURNOVER (3 TO),"[1628378, 1630530]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,3.0,,,Murphy III,1630530.0,,,,,
230,PT06M04.00S,2023-01-16T20:53:23.5Z,2,REGULAR,steal,,[],1630530,,,1610612740,28,38,2023-01-16T20:53:25Z,2260000,False,,,0,,T. Murphy III STEAL (1 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,
231,PT05M49.00S,2023-01-16T20:53:37.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202685,69.46452036793693,76.47058823529412,1610612740,28,41,2023-01-16T20:53:42Z,2270000,False,132.0,235.0,1,right,J. Valanciunas 26' 3PT  (11 PTS) (J. Alvarado 4 AST),"[202685, 1630631]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,26.93,Made,11.0,J. Alvarado,1630631.0,4.0,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,
233,PT05M28.00S,2023-01-16T20:53:58.8Z,2,REGULAR,3pt,Jump Shot,[],1628378,8.492115637319317,3.9215686274509802,1610612739,31,41,2023-01-16T20:54:03Z,2290000,False,230.0,27.0,1,left,D. Mitchell 3PT  (5 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,23.2,Made,5.0,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,
234,PT05M17.00S,2023-01-16T20:54:10.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630631,91.01511169513797,59.80392156862745,1610612740,31,43,2023-01-16T20:54:16Z,2300000,False,49.0,32.0,1,right,J. Alvarado driving floating Jump Shot (4 PTS),[1630631],1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,5.85,Made,4.0,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,
235,PT05M02.00S,2023-01-16T20:54:24.8Z,2,REGULAR,3pt,Jump Shot,[],1628378,27.414586070959263,80.88235294117648,1610612739,31,43,2023-01-16T20:57:20Z,2310000,False,-154.0,205.0,1,left,MISS D. Mitchell 25' step back 3PT,[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,25.68,Missed,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,
236,PT05M00.00S,2023-01-16T20:54:26.9Z,2,REGULAR,rebound,offensive,[],1628386,,,1610612739,31,43,2023-01-16T20:54:26Z,2320000,False,,,0,,J. Allen REBOUND (Off:2 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,Above the Break 3,24+ Left Center,235.0,3.0,1.0,2.0,,,,,,,,,,
237,PT04M58.00S,2023-01-16T20:54:29.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629636,31.35676741130092,13.23529411764706,1610612739,34,43,2023-01-16T20:55:01Z,2330000,False,184.0,242.0,1,left,D. Garland 30' 3PT  (3 PTS) (J. Allen 3 AST),"[1629636, 1628386]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,30.41,Made,3.0,J. Allen,1628386.0,3.0,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,
240,PT04M45.00S,2023-01-16T20:54:47.9Z,2,REGULAR,foul,personal,[],1629636,,,1610612740,34,43,2023-01-16T20:54:55Z,2350000,False,,,0,,D. Garland personal FOUL (1 PF),"[1629636, 202685]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,,,,2530.0,1.0,0.0,Valanciunas,202685.0
242,PT04M45.00S,2023-01-16T20:54:56.7Z,2,REGULAR,substitution,out,[],1630631,,,1610612740,34,43,2023-01-16T20:55:03Z,2370000,False,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT04M45.00S,2023-01-16T20:54:56.7Z,2,REGULAR,substitution,in,[],1630230,,,1610612740,34,43,2023-01-16T20:55:03Z,2380000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT04M36.00S,2023-01-16T20:55:19.2Z,2,REGULAR,3pt,Jump Shot,[],203468,70.12155059132719,23.03921568627451,1610612740,34,43,2023-01-16T20:55:28Z,2390000,False,-135.0,228.0,1,right,MISS C. McCollum 26' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,26.52,Missed,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,
245,PT04M34.00S,2023-01-16T20:55:21.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612740,34,43,2023-01-16T20:55:28Z,2400000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,Above the Break 3,24+ Left Center,244.0,,,,,,,,,,,,,
247,PT04M33.00S,2023-01-16T20:55:41.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630530,91.27792378449409,55.63725490196079,1610612740,34,43,2023-01-16T20:56:46Z,2420000,False,28.0,29.0,1,right,MISS T. Murphy III cutting Layup - blocked,"[1630530, 1630205]",1610612740.0,NOP,cutting,,,Murphy III,T. Murphy III,,,,,4.08,Missed,,,,,Restricted Area,0-8 Center,,,,,,Stevens,1630205.0,,,,,,,
248,PT04M33.00S,2023-01-16T20:55:41.8Z,2,REGULAR,block,,[],1630205,,,1610612740,34,43,2023-01-16T20:55:45Z,2430000,False,,,0,,L. Stevens BLOCK (1 BLK),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
249,PT04M32.00S,2023-01-16T20:55:42.8Z,2,REGULAR,rebound,defensive,[],1630171,,,1610612739,34,43,2023-01-16T20:56:46Z,2440000,False,,,0,,I. Okoro REBOUND (Off:0 Def:3),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Restricted Area,0-8 Center,247.0,3.0,3.0,0.0,,,,,,,,,,
250,PT04M28.00S,2023-01-16T20:55:52.8Z,2,REGULAR,foul,personal,['2freethrow'],203468,,,1610612739,34,43,2023-01-16T20:58:38Z,2450000,False,,,0,,C. McCollum shooting personal FOUL (1 PF) (Okoro 2 FT),"[203468, 1630171]",1610612740.0,NOP,shooting,,,McCollum,C. McCollum,,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,2530.0,1.0,0.0,Okoro,1630171.0
253,PT04M28.00S,2023-01-16T20:58:45.5Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1630171,,,1610612739,35,43,2023-01-16T20:59:03Z,2480000,False,,,0,,I. Okoro Free Throw 1 of 2 (4 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,,
254,PT04M28.00S,2023-01-16T20:58:45.5Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1630171,,,1610612739,35,43,2023-01-16T20:59:03Z,2490000,False,,,0,,MISS I. Okoro Free Throw 2 of 2,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,Missed,,,,,,,,,,,,,,,,,,,,
255,PT04M25.00S,2023-01-16T20:58:48.5Z,2,REGULAR,rebound,defensive,[],1630700,,,1610612740,35,43,2023-01-16T20:59:03Z,2500000,False,,,0,,D. Daniels REBOUND (Off:0 Def:2),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,254.0,2.0,2.0,0.0,,,,,,,,,,
256,PT04M21.00S,2023-01-16T20:59:06.8Z,2,REGULAR,turnover,lost ball,[],1630700,,,1610612740,35,43,2023-01-16T20:59:12Z,2510000,False,,,0,,D. Daniels lost ball TURNOVER (1 TO),"[1630700, 1630171]",1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,Mid-Range,8-16 Left,,,,,1.0,,,Okoro,1630171.0,,,,,
257,PT04M21.00S,2023-01-16T20:59:06.8Z,2,REGULAR,steal,,[],1630171,,,1610612739,35,43,2023-01-16T21:00:53Z,2520000,False,,,0,,I. Okoro STEAL (1 STL),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,
258,PT04M17.00S,2023-01-16T20:59:10.6Z,2,REGULAR,turnover,lost ball,[],1628378,,,1610612739,35,43,2023-01-16T20:59:14Z,2530000,False,,,0,,D. Mitchell lost ball TURNOVER (4 TO),"[1628378, 1630700]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,Mid-Range,8-16 Right,,,,,4.0,,,Daniels,1630700.0,,,,,
259,PT04M17.00S,2023-01-16T20:59:10.6Z,2,REGULAR,steal,,[],1630700,,,1610612740,35,43,2023-01-16T20:59:12Z,2540000,False,,,0,,D. Daniels STEAL (4 STL),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,
