actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
166,PT10M35.00S,2023-12-16T00:38:49.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,14.931011826544022,50.0,1610612766,22,25,2023-12-16T00:44:44Z,1650000,False,0.0,88.0,1,left,B. Miller 8' driving floating Jump Shot (5 PTS) (T. Rozier 1 AST),"[1641706, 1626179]",1610612766.0,CHA,driving floating,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Center,8.79,Made,,,,,,,,,5.0,,,,,T. Rozier,1626179.0,1.0,,
168,PT10M14.00S,2023-12-16T00:39:08.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202685,91.14651773981603,52.450980392156865,1610612740,22,25,2023-12-16T00:39:13Z,1670000,False,12.0,31.0,1,right,MISS J. Valanciunas driving Layup,[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,3.31,Missed,,,,,,,,,,,,,,,,,,
169,PT10M12.00S,2023-12-16T00:39:11.2Z,2,REGULAR,rebound,defensive,[],1628970,,,1610612766,22,25,2023-12-16T00:39:11Z,1680000,False,,,0,,M. Bridges REBOUND (Off:1 Def:5),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,168.0,6.0,5.0,1.0,,,,,,,,,,,,,,
170,PT10M08.00S,2023-12-16T00:39:16.4Z,2,REGULAR,turnover,bad pass,[],1626179,,,1610612766,22,25,2023-12-16T00:39:21Z,1690000,False,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 1630631]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Left,,,,,,,,1.0,,,,,,,,,,,Alvarado,1630631.0
171,PT10M08.00S,2023-12-16T00:39:16.4Z,2,REGULAR,steal,,[],1630631,,,1610612740,22,25,2023-12-16T00:39:18Z,1700000,False,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
172,PT10M02.00S,2023-12-16T00:39:21.6Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",203468,82.07950065703022,25.98039215686275,1610612740,22,25,2023-12-16T00:45:22Z,1710000,False,-120.0,116.0,1,right,MISS C. McCollum 16' running pullup Shot,[203468],1610612740.0,NOP,running pullup,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Left Center,16.7,Missed,,,,,,,,,,,,,,,,,,
173,PT09M58.00S,2023-12-16T00:39:25.6Z,2,REGULAR,rebound,defensive,[],1641706,,,1610612766,22,25,2023-12-16T00:39:29Z,1720000,False,,,0,,B. Miller REBOUND (Off:0 Def:2),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,16-24 Left Center,,,172.0,2.0,2.0,0.0,,,,,,,,,,,,,,
174,PT09M48.00S,2023-12-16T00:39:34.9Z,2,REGULAR,3pt,Jump Shot,[],1631121,7.30946123521682,4.901960784313726,1610612766,22,25,2023-12-16T00:39:40Z,1730000,False,225.0,16.0,1,left,MISS B. McGowens 3PT,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,Right Corner 3,24+ Right,22.61,Missed,,,,,,,,,,,,,,,,,,
175,PT09M46.00S,2023-12-16T00:39:36.9Z,2,REGULAR,rebound,defensive,[],1630530,,,1610612740,22,25,2023-12-16T00:39:40Z,1740000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:5),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,,,174.0,5.0,5.0,0.0,,,,,,,,,,,,,,
176,PT09M43.00S,2023-12-16T00:39:40.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630530,63.6826544021025,37.5,1610612740,22,25,2023-12-16T00:46:12Z,1750000,False,-62.0,289.0,1,right,MISS T. Murphy III 29' running pullup 3PT,[1630530],1610612740.0,NOP,running pullup,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,29.56,Missed,,,,,,,,,,,,,,,,,,
177,PT09M39.00S,2023-12-16T00:39:45.5Z,2,REGULAR,rebound,offensive,[],1630631,,,1610612740,22,25,2023-12-16T00:39:45Z,1760000,False,,,0,,J. Alvarado REBOUND (Off:1 Def:1),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Center,,,176.0,2.0,1.0,1.0,,,,,,,,,,,,,,
178,PT09M39.00S,2023-12-16T00:39:46.9Z,2,REGULAR,foul,personal,['2freethrow'],1641877,,,1610612740,22,25,2023-12-16T00:39:57Z,1770000,False,,,0,,N. Mensah shooting personal FOUL (3 PF) (Alvarado 2 FT),"[1641877, 1630631]",1610612766.0,CHA,shooting,,,Mensah,N. Mensah,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2003.0,,,,,3.0,0.0,Alvarado,1630631.0,,,,,
180,PT09M39.00S,2023-12-16T00:40:13.4Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630631,,,1610612740,22,26,2023-12-16T00:40:38Z,1790000,False,,,0,,J. Alvarado Free Throw 1 of 2 (1 PTS),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
181,PT09M39.00S,2023-12-16T00:40:16.7Z,2,REGULAR,substitution,out,[],1641877,,,1610612740,22,26,2023-12-16T00:40:20Z,1800000,False,,,0,,SUB out: N. Mensah,[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT09M39.00S,2023-12-16T00:40:16.7Z,2,REGULAR,substitution,in,[],1630208,,,1610612740,22,26,2023-12-16T00:40:20Z,1810000,False,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT09M39.00S,2023-12-16T00:40:13.4Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630631,,,1610612740,22,26,2023-12-16T00:40:38Z,1820000,False,,,0,,MISS J. Alvarado Free Throw 2 of 2,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
184,PT09M36.00S,2023-12-16T00:40:16.4Z,2,REGULAR,rebound,defensive,[],1630208,,,1610612766,22,26,2023-12-16T00:40:38Z,1830000,False,,,0,,N. Richards REBOUND (Off:0 Def:4),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,183.0,4.0,4.0,0.0,,,,,,,,,,,,,,
185,PT09M17.00S,2023-12-16T00:40:56.8Z,2,REGULAR,3pt,Jump Shot,[],1628970,31.09395532194481,66.66666666666666,1610612766,25,26,2023-12-16T00:46:58Z,1840000,False,-83.0,240.0,1,left,M. Bridges 25' 3PT pullup (7 PTS) (T. Rozier 2 AST),"[1628970, 1626179]",1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,25.39,Made,,,,,,,,,7.0,,,,,T. Rozier,1626179.0,2.0,,
187,PT08M58.00S,2023-12-16T00:41:16.9Z,2,REGULAR,foul,personal,['2freethrow'],1630208,,,1610612740,25,26,2023-12-16T00:41:29Z,1860000,False,,,0,,N. Richards shooting personal FOUL (2 PF) (Murphy III 2 FT),"[1630208, 1630530]",1610612766.0,CHA,shooting,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1204.0,,,,,2.0,0.0,Murphy III,1630530.0,,,,,
189,PT08M58.00S,2023-12-16T00:41:39.7Z,2,REGULAR,freethrow,1 of 2,[],1630530,,,1610612740,25,27,2023-12-16T00:41:39Z,1880000,False,,,0,,T. Murphy III Free Throw 1 of 2 (5 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,,,,,,,,,5.0,,,,,,,,,
190,PT08M58.00S,2023-12-16T00:41:41.7Z,2,REGULAR,substitution,out,[],1630631,,,1610612740,25,27,2023-12-16T00:41:45Z,1890000,False,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT08M58.00S,2023-12-16T00:41:41.7Z,2,REGULAR,substitution,in,[],1641722,,,1610612740,25,27,2023-12-16T00:41:45Z,1900000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT08M58.00S,2023-12-16T00:41:56.5Z,2,REGULAR,freethrow,2 of 2,[],1630530,,,1610612740,25,28,2023-12-16T00:41:56Z,1910000,False,,,0,,T. Murphy III Free Throw 2 of 2 (6 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,,,,,,,,,6.0,,,,,,,,,
193,PT08M41.00S,2023-12-16T00:42:15.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1641706,5.732588699080158,52.450980392156865,1610612766,27,28,2023-12-16T00:42:21Z,1920000,False,-12.0,1.0,1,left,B. Miller alley-oop DUNK (7 PTS) (T. Rozier 3 AST),"[1641706, 1626179]",1610612766.0,CHA,alley-oop,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,1.24,Made,,,,,,,,,7.0,,,,,T. Rozier,1626179.0,3.0,,
195,PT08M27.00S,2023-12-16T00:42:29.9Z,2,REGULAR,3pt,Jump Shot,[],203468,69.20170827858082,72.30392156862744,1610612740,27,28,2023-12-16T00:42:36Z,1940000,False,112.0,237.0,1,right,MISS C. McCollum 26' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,26.19,Missed,,,,,,,,,,,,,,,,,,
196,PT08M21.00S,2023-12-16T00:42:35.9Z,2,REGULAR,rebound,offensive,[],202685,,,1610612740,27,28,2023-12-16T00:42:36Z,1950000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:5),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,195.0,6.0,5.0,1.0,,,,,,,,,,,,,,
197,PT08M21.00S,2023-12-16T00:42:35.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,27,30,2023-12-16T00:42:35Z,1960000,False,0.0,0.0,1,right,J. Valanciunas putback Layup (8 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,8.0,,,,,,,,,
198,PT08M14.00S,2023-12-16T00:42:42.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,7.046649145860711,51.71568627450981,1610612766,29,30,2023-12-16T00:48:10Z,1970000,False,-9.0,14.0,1,left,N. Richards cutting Layup (8 PTS) (M. Bridges 2 AST),"[1630208, 1628970]",1610612766.0,CHA,cutting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1.62,Made,,,,,,,,,8.0,,,,,M. Bridges,1628970.0,2.0,,
200,PT08M05.00S,2023-12-16T00:42:52.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202685,91.93495400788436,52.20588235294118,1610612740,29,32,2023-12-16T00:42:59Z,1990000,False,11.0,23.0,1,right,J. Valanciunas driving finger roll Layup (10 PTS) (C. McCollum 3 AST),"[202685, 203468]",1610612740.0,NOP,driving finger roll,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.58,Made,,,,,,,,,10.0,,,,,C. McCollum,203468.0,3.0,,
202,PT08M05.00S,2023-12-16T00:42:57.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,29,32,2023-12-16T00:42:57Z,2010000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M05.00S,2023-12-16T00:42:57.8Z,2,REGULAR,substitution,out,[],1628970,,,1610612766,29,32,2023-12-16T00:45:45Z,2020000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M05.00S,2023-12-16T00:42:57.8Z,2,REGULAR,substitution,out,[],1626179,,,1610612766,29,32,2023-12-16T00:45:45Z,2030000,False,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M05.00S,2023-12-16T00:42:57.8Z,2,REGULAR,substitution,out,[],1631121,,,1610612766,29,32,2023-12-16T00:45:45Z,2040000,False,,,0,,SUB out: B. McGowens,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M05.00S,2023-12-16T00:42:57.8Z,2,REGULAR,substitution,in,[],202330,,,1610612766,29,32,2023-12-16T00:45:45Z,2050000,False,,,0,,SUB in: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT08M05.00S,2023-12-16T00:42:57.8Z,2,REGULAR,substitution,in,[],202397,,,1610612766,29,32,2023-12-16T00:45:45Z,2060000,False,,,0,,SUB in: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT08M05.00S,2023-12-16T00:42:57.8Z,2,REGULAR,substitution,in,[],1630550,,,1610612766,29,32,2023-12-16T00:45:45Z,2070000,False,,,0,,SUB in: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT07M41.00S,2023-12-16T00:46:08.3Z,2,REGULAR,2pt,Jump Shot,[],202397,23.99802890932983,42.15686274509804,1610612766,29,32,2023-12-16T00:46:19Z,2080000,False,39.0,173.0,1,left,MISS I. Smith 17' pullup Shot,[202397],1610612766.0,CHA,pullup,,,Smith,I. Smith,,,,,Mid-Range,16-24 Center,17.75,Missed,,,,,,,,,,,,,,,,,,
210,PT07M39.00S,2023-12-16T00:46:10.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612766,29,32,2023-12-16T00:46:19Z,2090000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Mid-Range,16-24 Center,,,209.0,,,,,,,,,,,,,,,,,
212,PT07M35.00S,2023-12-16T00:46:34.6Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1630550,13.354139290407357,69.6078431372549,1610612766,29,32,2023-12-16T00:49:39Z,2110000,False,-98.0,73.0,1,left,MISS J. Thor 12' bank Shot,[1630550],1610612766.0,CHA,bank,,,Thor,J. Thor,,,,,Mid-Range,8-16 Left,12.22,Missed,,,,,,,,,,,,,,,,,,
213,PT07M33.00S,2023-12-16T00:46:36.6Z,2,REGULAR,rebound,defensive,[],1630530,,,1610612740,29,32,2023-12-16T00:46:40Z,2120000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:6),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,8-16 Left,,,212.0,6.0,6.0,0.0,,,,,,,,,,,,,,
214,PT07M19.00S,2023-12-16T00:46:51.3Z,2,REGULAR,3pt,Jump Shot,[],1630530,64.07687253613666,34.80392156862745,1610612740,29,32,2023-12-16T00:46:56Z,2130000,False,-76.0,285.0,1,right,MISS T. Murphy III 29' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,29.52,Missed,,,,,,,,,,,,,,,,,,
215,PT07M14.00S,2023-12-16T00:46:56.3Z,2,REGULAR,rebound,defensive,[],1630208,,,1610612766,29,32,2023-12-16T00:46:56Z,2140000,False,,,0,,N. Richards REBOUND (Off:0 Def:5),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Center,,,214.0,5.0,5.0,0.0,,,,,,,,,,,,,,
216,PT07M09.00S,2023-12-16T00:47:08.3Z,2,REGULAR,2pt,Jump Shot,[],202330,7.440867279894875,66.91176470588235,1610612766,29,32,2023-12-16T00:51:07Z,2150000,False,-85.0,17.0,1,left,MISS G. Hayward 8' driving floating Shot,[202330],1610612766.0,CHA,driving floating,,,Hayward,G. Hayward,,,,,Mid-Range,8-16 Left,8.64,Missed,,,,,,,,,,,,,,,,,,
217,PT07M07.00S,2023-12-16T00:47:10.3Z,2,REGULAR,rebound,offensive,[],1630208,,,1610612766,29,32,2023-12-16T00:51:07Z,2160000,False,,,0,,N. Richards REBOUND (Off:1 Def:5),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,8-16 Left,,,216.0,6.0,5.0,1.0,,,,,,,,,,,,,,
218,PT07M07.00S,2023-12-16T00:47:12.3Z,2,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1630208,5.590000152587891,50.0,1610612766,31,32,2023-12-16T00:51:37Z,2170000,False,0.0,0.0,1,left,N. Richards tip DUNK (10 PTS),[1630208],1610612766.0,CHA,tip,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,10.0,,,,,,,,,
219,PT06M47.00S,2023-12-16T00:47:22.0Z,2,REGULAR,3pt,Jump Shot,[],202685,69.20170827858082,69.11764705882352,1610612740,31,35,2023-12-16T00:47:26Z,2180000,False,96.0,237.0,1,right,J. Valanciunas 25' 3PT  (13 PTS) (T. Murphy III 1 AST),"[202685, 1630530]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,25.56,Made,,,,,,,,,13.0,,,,,T. Murphy III,1630530.0,1.0,,
221,PT06M27.00S,2023-12-16T00:47:45.6Z,2,REGULAR,foul,personal,['2freethrow'],1630700,,,1610612766,31,35,2023-12-16T00:48:05Z,2200000,False,,,0,,D. Daniels shooting personal FOUL (1 PF) (Richards 2 FT),"[1630700, 1630208]",1610612740.0,NOP,shooting,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,,2003.0,,,,,1.0,0.0,Richards,1630208.0,,,,,
223,PT06M27.00S,2023-12-16T00:48:21.2Z,2,REGULAR,freethrow,1 of 2,[],1630208,,,1610612766,32,35,2023-12-16T00:48:21Z,2220000,False,,,0,,N. Richards Free Throw 1 of 2 (11 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Made,,,,,,,,,11.0,,,,,,,,,
224,PT06M27.00S,2023-12-16T00:48:24.3Z,2,REGULAR,substitution,out,[],1641706,,,1610612766,32,35,2023-12-16T00:48:31Z,2230000,False,,,0,,SUB out: B. Miller,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M27.00S,2023-12-16T00:48:24.3Z,2,REGULAR,substitution,out,[],1630700,,,1610612766,32,35,2023-12-16T00:48:31Z,2240000,False,,,0,,SUB out: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT06M27.00S,2023-12-16T00:48:24.3Z,2,REGULAR,substitution,out,[],1630530,,,1610612766,32,35,2023-12-16T00:48:31Z,2250000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M27.00S,2023-12-16T00:48:24.3Z,2,REGULAR,substitution,in,[],1631121,,,1610612766,32,35,2023-12-16T00:48:31Z,2260000,False,,,0,,SUB in: B. McGowens,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M27.00S,2023-12-16T00:48:24.3Z,2,REGULAR,substitution,in,[],1629627,,,1610612766,32,35,2023-12-16T00:48:31Z,2270000,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M27.00S,2023-12-16T00:48:24.3Z,2,REGULAR,substitution,in,[],1627742,,,1610612766,32,35,2023-12-16T00:48:31Z,2280000,False,,,0,,SUB in: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M27.00S,2023-12-16T00:48:56.9Z,2,REGULAR,freethrow,2 of 2,[],1630208,,,1610612766,33,35,2023-12-16T00:48:56Z,2290000,False,,,0,,N. Richards Free Throw 2 of 2 (12 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Made,,,,,,,,,12.0,,,,,,,,,
231,PT06M11.00S,2023-12-16T00:49:13.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629627,91.67214191852825,50.49019607843137,1610612740,33,37,2023-12-16T00:49:19Z,2300000,False,2.0,26.0,1,right,Z. Williamson cutting DUNK (8 PTS) (B. Ingram 2 AST),"[1629627, 1627742]",1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.59,Made,,,,,,,,,8.0,,,,,B. Ingram,1627742.0,2.0,,
233,PT05M54.00S,2023-12-16T00:49:29.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202330,6.389618922470433,48.77450980392157,1610612766,35,37,2023-12-16T00:53:30Z,2320000,False,6.0,8.0,1,left,G. Hayward driving reverse Layup (4 PTS),[202330],1610612766.0,CHA,driving reverse,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,0.97,Made,,,,,,,,,4.0,,,,,,,,,
234,PT05M48.00S,2023-12-16T00:49:39.9Z,2,REGULAR,turnover,traveling,[],203468,,,1610612740,35,37,2023-12-16T00:49:55Z,2330000,False,,,0,,C. McCollum traveling TURNOVER (1 TO),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2003.0,1.0,,,,,,,,,,,,
235,PT05M48.00S,2023-12-16T00:49:43.6Z,2,REGULAR,substitution,out,[],203468,,,1610612766,35,37,2023-12-16T00:49:50Z,2340000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT05M48.00S,2023-12-16T00:49:43.6Z,2,REGULAR,substitution,in,[],1630631,,,1610612766,35,37,2023-12-16T00:49:50Z,2350000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT05M29.00S,2023-12-16T00:50:16.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202330,29.6484888304862,27.450980392156865,1610612766,35,37,2023-12-16T00:54:46Z,2360000,False,113.0,226.0,1,left,MISS G. Hayward 25' pullup 3PT,[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Right Center,25.27,Missed,,,,,,,,,,,,,,,,,,
238,PT05M26.00S,2023-12-16T00:50:19.3Z,2,REGULAR,rebound,defensive,[],1630631,,,1610612740,35,37,2023-12-16T00:50:19Z,2370000,False,,,0,,J. Alvarado REBOUND (Off:1 Def:2),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,,,237.0,3.0,2.0,1.0,,,,,,,,,,,,,,
239,PT05M17.00S,2023-12-16T00:50:27.9Z,2,REGULAR,turnover,bad pass,[],1627742,,,1610612740,35,37,2023-12-16T00:50:32Z,2380000,False,,,0,,B. Ingram bad pass TURNOVER (2 TO),"[1627742, 1631121]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,,,,,,,,2.0,,,,,,,,,,,McGowens,1631121.0
240,PT05M17.00S,2023-12-16T00:50:27.9Z,2,REGULAR,steal,,[],1631121,,,1610612766,35,37,2023-12-16T00:50:30Z,2390000,False,,,0,,B. McGowens STEAL (1 STL),[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
241,PT05M17.00S,2023-12-16T00:50:34.5Z,2,REGULAR,foul,personal,['2freethrow'],1630631,,,1610612766,35,37,2023-12-16T00:50:48Z,2400000,False,,,0,,J. Alvarado shooting personal FOUL (2 PF) (McGowens 2 FT),"[1630631, 1631121]",1610612740.0,NOP,shooting,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,,,,,,,1628953.0,,,,,2.0,0.0,McGowens,1631121.0,,,,,
243,PT05M17.00S,2023-12-16T00:51:10.4Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1631121,,,1610612766,36,37,2023-12-16T00:51:10Z,2420000,False,,,0,,B. McGowens Free Throw 1 of 2 (2 PTS),[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
244,PT05M17.00S,2023-12-16T00:51:27.3Z,2,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1631121,,,1610612766,37,37,2023-12-16T00:51:27Z,2430000,False,,,0,,B. McGowens Free Throw 2 of 2 (3 PTS),[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
245,PT05M02.00S,2023-12-16T00:51:44.3Z,2,REGULAR,3pt,Jump Shot,[],1641722,71.17279894875165,79.41176470588235,1610612740,37,37,2023-12-16T00:51:49Z,2440000,False,147.0,218.0,1,right,MISS J. Hawkins 26' 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Right Center,26.34,Missed,,,,,,,,,,,,,,,,,,
246,PT04M58.00S,2023-12-16T00:51:48.3Z,2,REGULAR,rebound,offensive,[],1629627,,,1610612740,37,37,2023-12-16T00:51:49Z,2450000,False,,,0,,Z. Williamson REBOUND (Off:2 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Right Center,,,245.0,3.0,1.0,2.0,,,,,,,,,,,,,,
247,PT04M57.00S,2023-12-16T00:51:48.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,89.83245729303549,52.450980392156865,1610612740,37,37,2023-12-16T00:55:57Z,2460000,False,12.0,43.0,1,right,MISS Z. Williamson putback Layup - blocked,"[1629627, 1630550]",1610612740.0,NOP,putback,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,4.48,Missed,,,,,,,Thor,1630550.0,,,,,,,,,,
248,PT04M57.00S,2023-12-16T00:51:48.9Z,2,REGULAR,block,,[],1630550,,,1610612740,37,37,2023-12-16T00:51:51Z,2470000,False,,,0,,J. Thor BLOCK (1 BLK),[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
