actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
171,PT11M26.00S,2023-12-24T00:37:57.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631128,8.229303547963205,52.20588235294118,1610612743,27,30,2023-12-24T00:38:14Z,1680000,False,-11.0,25.0,1,left,C. Braun running Layup (2 PTS),[1631128],1610612743.0,DEN,running,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,2.72,Made,2.0,,,,,,,,,,,,,,,,,
172,PT11M26.00S,2023-12-24T00:38:03.9Z,2,REGULAR,foul,personal,['1freethrow'],202397,,,1610612743,27,30,2023-12-24T00:38:19Z,1690000,False,,,0,,I. Smith shooting personal FOUL (1 PF) (Braun 1 FT),"[202397, 1631128]",1610612766.0,CHA,shooting,,,Smith,I. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,201638.0,,,,,,,1.0,0.0,Braun,1631128.0
174,PT11M26.00S,2023-12-24T00:38:24.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,27,30,2023-12-24T00:38:34Z,1710000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT11M26.00S,2023-12-24T00:41:10.8Z,2,REGULAR,freethrow,1 of 1,[],1631128,,,1610612743,27,31,2023-12-24T00:41:10Z,1730000,False,,,0,,C. Braun Free Throw 1 of 1 (3 PTS),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
177,PT11M18.00S,2023-12-24T00:41:23.5Z,2,REGULAR,foul,personal,['2freethrow'],1630192,,,1610612766,27,31,2023-12-24T00:41:38Z,1740000,False,,,0,,Z. Nnaji shooting personal FOUL (1 PF) (Washington 2 FT),"[1630192, 1629023]",1610612743.0,DEN,shooting,,,Nnaji,Z. Nnaji,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627524.0,,,,,,,1.0,0.0,Washington,1629023.0
179,PT11M18.00S,2023-12-24T00:41:43.1Z,2,REGULAR,freethrow,1 of 2,[],1629023,,,1610612766,28,31,2023-12-24T00:41:43Z,1760000,False,,,0,,P. Washington Free Throw 1 of 2 (4 PTS),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
180,PT11M18.00S,2023-12-24T00:41:59.9Z,2,REGULAR,freethrow,2 of 2,[],1629023,,,1610612766,29,31,2023-12-24T00:41:59Z,1770000,False,,,0,,P. Washington Free Throw 2 of 2 (5 PTS),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
181,PT11M00.00S,2023-12-24T00:42:19.7Z,2,REGULAR,3pt,Jump Shot,[],1631124,30.831143232588698,71.56862745098039,1610612743,29,31,2023-12-24T00:42:26Z,1780000,False,-108.0,237.0,1,left,MISS J. Strawther 26' 3PT,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,Above the Break 3,24+ Left Center,26.06,Missed,,,,,,,,,,,,,,,,,,
182,PT10M56.00S,2023-12-24T00:42:22.2Z,2,REGULAR,rebound,defensive,[],202397,,,1610612766,29,31,2023-12-24T00:42:22Z,1790000,False,,,0,,I. Smith REBOUND (Off:0 Def:2),[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,Above the Break 3,24+ Left Center,,,,,,181.0,2.0,2.0,0.0,,,,,,,,,,,
183,PT10M46.00S,2023-12-24T00:42:32.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629023,89.30683311432325,49.01960784313725,1610612766,31,31,2023-12-24T00:42:37Z,1800000,False,-5.0,48.0,1,right,P. Washington driving Hook (7 PTS) (I. Smith 4 AST),"[1629023, 202397]",1610612766.0,CHA,driving,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,4.82,Made,7.0,,,,,,,,I. Smith,202397.0,4.0,,,,,,,
185,PT10M33.00S,2023-12-24T00:42:45.5Z,2,REGULAR,3pt,Jump Shot,[],1631128,32.670827858081466,46.07843137254902,1610612743,31,34,2023-12-24T00:42:50Z,1820000,False,20.0,255.0,1,left,C. Braun 25' 3PT pullup (6 PTS),[1631128],1610612743.0,DEN,pullup,,,Braun,C. Braun,,,,,Above the Break 3,24+ Center,25.54,Made,6.0,,,,,,,,,,,,,,,,,
186,PT10M22.00S,2023-12-24T00:42:56.8Z,2,REGULAR,2pt,Jump Shot,[],1629023,94.03745072273325,77.45098039215686,1610612766,33,34,2023-12-24T00:43:01Z,1830000,False,137.0,4.0,1,right,P. Washington 13' Jump Shot (9 PTS) (I. Smith 5 AST),"[1629023, 202397]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,8-16 Right,13.73,Made,9.0,,,,,,,,I. Smith,202397.0,5.0,,,,,,,
188,PT10M06.00S,2023-12-24T00:43:12.4Z,2,REGULAR,2pt,Jump Shot,[],202704,20.05584756898817,26.225490196078432,1610612743,33,34,2023-12-24T00:43:18Z,1850000,False,119.0,136.0,1,left,MISS R. Jackson 18' pullup Shot,[202704],1610612743.0,DEN,pullup,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Right Center,18.06,Missed,,,,,,,,,,,,,,,,,,
189,PT10M06.00S,2023-12-24T00:43:12.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612743,33,34,2023-12-24T00:43:18Z,1860000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,,188.0,,,,,,,,,,,,,,
190,PT10M06.00S,2023-12-24T00:43:19.7Z,2,REGULAR,foul,personal,[],1641877,,,1610612743,33,34,2023-12-24T00:43:30Z,1870000,False,,,0,,N. Mensah loose ball personal FOUL (1 PF),"[1641877, 1630192]",1610612766.0,CHA,loose ball,,,Mensah,N. Mensah,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1627524.0,,,,,,,1.0,0.0,Nnaji,1630192.0
192,PT09M53.00S,2023-12-24T00:43:47.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631124,9.411957950065702,53.18627450980392,1610612743,33,34,2023-12-24T00:43:55Z,1890000,False,-16.0,36.0,1,left,MISS J. Strawther driving Layup - blocked,"[1631124, 1641877]",1610612743.0,DEN,driving,,,Strawther,J. Strawther,,,,,Restricted Area,0-8 Center,3.94,Missed,,Mensah,1641877.0,,,,,,,,,,,,,,,
193,PT09M53.00S,2023-12-24T00:43:47.8Z,2,REGULAR,block,,[],1641877,,,1610612743,33,34,2023-12-24T00:43:50Z,1900000,False,,,0,,N. Mensah BLOCK (1 BLK),[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
194,PT09M52.00S,2023-12-24T00:43:48.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612743,33,34,2023-12-24T00:43:55Z,1910000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,192.0,,,,,,,,,,,,,,
195,PT09M52.00S,2023-12-24T00:43:58.9Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612743,33,34,2023-12-24T00:44:05Z,1920000,False,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1627524.0,,,,,,,,,,
196,PT09M35.00S,2023-12-24T00:44:21.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628970,85.62746386333771,4.411764705882353,1610612766,33,34,2023-12-24T00:44:26Z,1930000,False,-228.0,83.0,1,right,MISS M. Bridges 24' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,24.24,Missed,,,,,,,,,,,,,,,,,,
197,PT09M33.00S,2023-12-24T00:44:23.8Z,2,REGULAR,rebound,defensive,[],1631128,,,1610612743,33,34,2023-12-24T00:44:26Z,1940000,False,,,0,,C. Braun REBOUND (Off:1 Def:3),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Left Corner 3,24+ Left,,,,,,196.0,4.0,3.0,1.0,,,,,,,,,,,
198,PT09M31.00S,2023-12-24T00:44:31.2Z,2,REGULAR,foul,offensive,[],1630192,,,1610612743,33,34,2023-12-24T00:44:40Z,1950000,False,,,0,,Z. Nnaji offensive FOUL (2 PF),"[1630192, 1631121]",1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1627524.0,,,,,,,2.0,0.0,McGowens,1631121.0
200,PT09M31.00S,2023-12-24T00:44:31.2Z,2,REGULAR,turnover,offensive foul,[],1630192,,,1610612743,33,34,2023-12-24T00:44:31Z,1970000,False,,,0,,Z. Nnaji offensive foul TURNOVER (1 TO),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1627524.0,,,,1.0,,,,,,
201,PT09M14.00S,2023-12-24T00:44:58.7Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629023,91.80354796320631,62.5,1610612766,35,34,2023-12-24T00:45:02Z,1980000,False,62.0,25.0,1,right,P. Washington 6' turnaround Hook (11 PTS) (M. Bridges 1 AST),"[1629023, 1628970]",1610612766.0,CHA,turnaround,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,6.71,Made,11.0,,,,,,,,M. Bridges,1628970.0,1.0,,,,,,,
203,PT09M11.00S,2023-12-24T00:45:08.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,35,34,2023-12-24T00:45:08Z,2000000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M49.00S,2023-12-24T00:48:28.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631212,12.302890932982917,49.50980392156863,1610612743,35,36,2023-12-24T00:48:36Z,2010000,False,2.0,63.0,1,left,P. Watson 6' driving Layup (2 PTS) (R. Jackson 2 AST),"[1631212, 202704]",1610612743.0,DEN,driving,,,Watson,P. Watson,,,,,In The Paint (Non-RA),0-8 Center,6.31,Made,2.0,,,,,,,,R. Jackson,202704.0,2.0,,,,,,,
206,PT08M37.00S,2023-12-24T00:48:48.7Z,2,REGULAR,turnover,lost ball,[],1629023,,,1610612766,35,36,2023-12-24T00:49:34Z,2030000,False,,,0,,P. Washington lost ball TURNOVER (1 TO),"[1629023, 1631212]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,Watson,1631212.0,,,,
207,PT08M37.00S,2023-12-24T00:48:48.7Z,2,REGULAR,steal,,[],1631212,,,1610612743,35,36,2023-12-24T00:52:56Z,2040000,False,,,0,,P. Watson STEAL (1 STL),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
208,PT08M35.00S,2023-12-24T00:48:51.8Z,2,REGULAR,turnover,bad pass,[],202704,,,1610612743,35,36,2023-12-24T00:50:14Z,2050000,False,,,0,,R. Jackson bad pass TURNOVER (2 TO),"[202704, 1629023]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,2.0,Washington,1629023.0,,,,
209,PT08M35.00S,2023-12-24T00:48:51.8Z,2,REGULAR,steal,,[],1629023,,,1610612766,35,36,2023-12-24T00:48:54Z,2060000,False,,,0,,P. Washington STEAL (1 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
210,PT08M32.00S,2023-12-24T00:48:58.6Z,2,REGULAR,foul,personal,['2freethrow'],1630192,,,1610612766,35,36,2023-12-24T00:49:04Z,2070000,False,,,0,,Z. Nnaji shooting personal FOUL (3 PF) (Washington 2 FT),"[1630192, 1629023]",1610612743.0,DEN,shooting,,,Nnaji,Z. Nnaji,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1627524.0,,,,,,,3.0,0.0,Washington,1629023.0
212,PT08M32.00S,2023-12-24T00:49:11.2Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1629023,,,1610612766,36,36,2023-12-24T00:49:11Z,2090000,False,,,0,,P. Washington Free Throw 1 of 2 (12 PTS),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
213,PT08M32.00S,2023-12-24T00:49:14.5Z,2,REGULAR,substitution,out,[],1630192,,,1610612766,36,36,2023-12-24T00:49:19Z,2100000,False,,,0,,SUB out: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT08M32.00S,2023-12-24T00:49:14.5Z,2,REGULAR,substitution,in,[],203932,,,1610612766,36,36,2023-12-24T00:49:19Z,2110000,False,,,0,,SUB in: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT08M32.00S,2023-12-24T00:49:34.5Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1629023,,,1610612766,37,36,2023-12-24T00:49:34Z,2120000,False,,,0,,P. Washington Free Throw 2 of 2 (13 PTS),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,Made,13.0,,,,,,,,,,,,,,,,,
216,PT08M17.00S,2023-12-24T00:49:57.4Z,2,REGULAR,foul,personal,['2freethrow'],1641877,,,1610612743,37,36,2023-12-24T00:50:10Z,2130000,False,,,0,,N. Mensah shooting personal FOUL (2 PF) (Braun 2 FT),"[1641877, 1631128]",1610612766.0,CHA,shooting,,,Mensah,N. Mensah,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627524.0,,,,,,,2.0,0.0,Braun,1631128.0
218,PT08M17.00S,2023-12-24T00:50:26.1Z,2,REGULAR,freethrow,1 of 2,[],1631128,,,1610612743,37,37,2023-12-24T00:50:26Z,2150000,False,,,0,,C. Braun Free Throw 1 of 2 (7 PTS),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
219,PT08M17.00S,2023-12-24T00:50:28.6Z,2,REGULAR,substitution,out,[],1628970,,,1610612743,37,37,2023-12-24T00:50:35Z,2160000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT08M17.00S,2023-12-24T00:50:28.6Z,2,REGULAR,substitution,out,[],1631121,,,1610612743,37,37,2023-12-24T00:50:35Z,2170000,False,,,0,,SUB out: B. McGowens,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT08M17.00S,2023-12-24T00:50:28.6Z,2,REGULAR,substitution,out,[],202397,,,1610612743,37,37,2023-12-24T00:50:35Z,2180000,False,,,0,,SUB out: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT08M17.00S,2023-12-24T00:50:28.6Z,2,REGULAR,substitution,out,[],1641877,,,1610612743,37,37,2023-12-24T00:50:35Z,2190000,False,,,0,,SUB out: N. Mensah,[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT08M17.00S,2023-12-24T00:50:28.6Z,2,REGULAR,substitution,in,[],202330,,,1610612743,37,37,2023-12-24T00:50:35Z,2200000,False,,,0,,SUB in: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT08M17.00S,2023-12-24T00:50:28.6Z,2,REGULAR,substitution,in,[],1628998,,,1610612743,37,37,2023-12-24T00:50:35Z,2210000,False,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT08M17.00S,2023-12-24T00:50:28.6Z,2,REGULAR,substitution,in,[],1641733,,,1610612743,37,37,2023-12-24T00:50:35Z,2220000,False,,,0,,SUB in: N. Smith Jr.,[1641733],1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT08M17.00S,2023-12-24T00:50:28.6Z,2,REGULAR,substitution,in,[],1630208,,,1610612743,37,37,2023-12-24T00:50:35Z,2230000,False,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT08M17.00S,2023-12-24T00:50:42.9Z,2,REGULAR,substitution,out,[],1631212,,,1610612743,37,37,2023-12-24T00:50:46Z,2240000,False,,,0,,SUB out: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT08M17.00S,2023-12-24T00:50:42.9Z,2,REGULAR,substitution,in,[],203999,,,1610612743,37,37,2023-12-24T00:50:46Z,2250000,False,,,0,,SUB in: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT08M17.00S,2023-12-24T00:51:05.6Z,2,REGULAR,freethrow,2 of 2,[],1631128,,,1610612743,37,38,2023-12-24T00:51:05Z,2260000,False,,,0,,C. Braun Free Throw 2 of 2 (8 PTS),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
230,PT08M00.00S,2023-12-24T00:51:22.1Z,2,REGULAR,turnover,lost ball,[],1629023,,,1610612766,37,38,2023-12-24T00:51:27Z,2270000,False,,,0,,P. Washington lost ball TURNOVER (2 TO),"[1629023, 202704]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,2.0,Jackson,202704.0,,,,
231,PT08M00.00S,2023-12-24T00:51:22.1Z,2,REGULAR,steal,,[],202704,,,1610612743,37,38,2023-12-24T00:51:24Z,2280000,False,,,0,,R. Jackson STEAL (1 STL),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
232,PT07M52.00S,2023-12-24T00:51:30.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631124,7.5722733245729295,48.03921568627451,1610612743,37,38,2023-12-24T00:51:38Z,2290000,False,10.0,19.0,1,left,MISS J. Strawther driving Layup,[1631124],1610612743.0,DEN,driving,,,Strawther,J. Strawther,,,,,Restricted Area,0-8 Center,2.11,Missed,,,,,,,,,,,,,,,,,,
233,PT07M46.00S,2023-12-24T00:51:35.9Z,2,REGULAR,rebound,defensive,[],1629023,,,1610612766,37,38,2023-12-24T00:51:36Z,2300000,False,,,0,,P. Washington REBOUND (Off:0 Def:2),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,232.0,2.0,2.0,0.0,,,,,,,,,,,
234,PT07M42.00S,2023-12-24T00:51:47.8Z,2,REGULAR,foul,personal,[],1631128,,,1610612766,37,38,2023-12-24T00:52:02Z,2310000,False,,,0,,C. Braun personal FOUL (1 PF),"[1631128, 202330]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,16-24 Center,,,,,,,,,,200834.0,,,,,,,1.0,0.0,Hayward,202330.0
236,PT07M42.00S,2023-12-24T00:52:01.3Z,2,REGULAR,substitution,out,[],202704,,,1610612766,37,38,2023-12-24T00:52:04Z,2330000,False,,,0,,SUB out: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT07M42.00S,2023-12-24T00:52:01.3Z,2,REGULAR,substitution,in,[],1627750,,,1610612766,37,38,2023-12-24T00:52:04Z,2340000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT07M32.00S,2023-12-24T00:52:18.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,84.31340341655716,50.0,1610612766,39,38,2023-12-24T00:52:23Z,2350000,False,0.0,95.0,1,right,G. Hayward 9' turnaround fadeaway Jump Shot (6 PTS),[202330],1610612766.0,CHA,turnaround fadeaway,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,9.5,Made,6.0,,,,,,,,,,,,,,,,,
239,PT07M04.00S,2023-12-24T00:52:46.7Z,2,REGULAR,3pt,Jump Shot,[],203999,32.670827858081466,54.41176470588235,1610612743,39,38,2023-12-24T00:52:52Z,2360000,False,-22.0,255.0,1,left,MISS N. Jokic 25' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,25.56,Missed,,,,,,,,,,,,,,,,,,
240,PT07M00.00S,2023-12-24T00:52:49.5Z,2,REGULAR,rebound,defensive,[],202330,,,1610612766,39,38,2023-12-24T00:52:49Z,2370000,False,,,0,,G. Hayward REBOUND (Off:0 Def:3),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Center,,,,,,239.0,3.0,3.0,0.0,,,,,,,,,,,
241,PT06M53.00S,2023-12-24T00:52:57.4Z,2,REGULAR,turnover,bad pass,[],1628998,,,1610612766,39,38,2023-12-24T00:53:05Z,2380000,False,,,0,,C. Martin bad pass TURNOVER (1 TO),"[1628998, 1631124]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,Strawther,1631124.0,,,,
242,PT06M53.00S,2023-12-24T00:52:57.4Z,2,REGULAR,steal,,[],1631124,,,1610612743,39,38,2023-12-24T00:52:59Z,2390000,False,,,0,,J. Strawther STEAL (1 STL),[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
243,PT06M47.00S,2023-12-24T00:53:03.5Z,2,REGULAR,turnover,bad pass,[],1631128,,,1610612743,39,38,2023-12-24T00:53:09Z,2400000,False,,,0,,C. Braun bad pass TURNOVER (1 TO),"[1631128, 1629023]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,Washington,1629023.0,,,,
244,PT06M47.00S,2023-12-24T00:53:03.5Z,2,REGULAR,steal,,[],1629023,,,1610612766,39,38,2023-12-24T00:55:32Z,2410000,False,,,0,,P. Washington STEAL (2 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
245,PT06M41.00S,2023-12-24T00:53:08.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628998,91.93495400788436,53.18627450980392,1610612766,41,38,2023-12-24T00:53:15Z,2420000,False,16.0,23.0,1,right,C. Martin running Layup (2 PTS) (G. Hayward 2 AST),"[1628998, 202330]",1610612766.0,CHA,running,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,2.82,Made,2.0,,,,,,,,G. Hayward,202330.0,2.0,,,,,,,
247,PT06M21.00S,2023-12-24T00:53:28.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203999,5.601182654402102,56.127450980392155,1610612743,41,38,2023-12-24T00:53:38Z,2440000,False,-31.0,0.0,1,left,MISS N. Jokic driving Layup,[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,3.06,Missed,,,,,,,,,,,,,,,,,,
248,PT06M16.00S,2023-12-24T00:53:33.5Z,2,REGULAR,rebound,offensive,[],203999,,,1610612743,41,38,2023-12-24T00:53:33Z,2450000,False,,,0,,N. Jokic REBOUND (Off:2 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,247.0,5.0,3.0,2.0,,,,,,,,,,,
249,PT06M16.00S,2023-12-24T00:53:33.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,5.590000152587891,50.0,1610612743,41,40,2023-12-24T00:53:33Z,2460000,False,0.0,0.0,1,left,N. Jokic tip Layup (4 PTS),[203999],1610612743.0,DEN,tip,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
250,PT06M08.00S,2023-12-24T00:53:41.6Z,2,REGULAR,2pt,Jump Shot,[],1630208,78.0059132720105,50.49019607843137,1610612766,41,40,2023-12-24T00:53:46Z,2470000,False,2.0,154.0,1,right,MISS N. Richards 15' Jump Shot,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,8-16 Center,15.42,Missed,,,,,,,,,,,,,,,,,,
251,PT06M06.00S,2023-12-24T00:53:43.6Z,2,REGULAR,rebound,defensive,[],203999,,,1610612743,41,40,2023-12-24T00:53:46Z,2480000,False,,,0,,N. Jokic REBOUND (Off:2 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Center,,,,,,250.0,6.0,4.0,2.0,,,,,,,,,,,
252,PT05M54.00S,2023-12-24T00:53:58.6Z,2,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,41,40,2023-12-24T00:54:05Z,2490000,False,,,0,,A. Gordon lost ball out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,lost ball,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,,,,,,,,,,1627524.0,,,,1.0,,,,,,
253,PT05M54.00S,2023-12-24T00:54:03.9Z,2,REGULAR,substitution,out,[],1631128,,,1610612766,41,40,2023-12-24T00:54:12Z,2500000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT05M54.00S,2023-12-24T00:54:03.9Z,2,REGULAR,substitution,out,[],1631124,,,1610612766,41,40,2023-12-24T00:54:12Z,2510000,False,,,0,,SUB out: J. Strawther,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT05M54.00S,2023-12-24T00:54:03.9Z,2,REGULAR,substitution,in,[],203484,,,1610612766,41,40,2023-12-24T00:54:12Z,2520000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
