actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
58,PT05M45.00S,2024-01-30T00:20:58.8Z,1,REGULAR,substitution,out,[],1628998,,,1610612766,13,12,2024-01-30T00:21:12Z,580000,False,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT05M45.00S,2024-01-30T00:20:58.8Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,13,12,2024-01-30T00:21:12Z,590000,False,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT05M45.00S,2024-01-30T00:20:58.8Z,1,REGULAR,substitution,out,[],1628392,,,1610612766,13,12,2024-01-30T00:21:12Z,600000,False,,,0,,SUB out: I. Hartenstein,[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M45.00S,2024-01-30T00:20:58.8Z,1,REGULAR,substitution,in,[],202397,,,1610612766,13,12,2024-01-30T00:21:12Z,610000,False,,,0,,SUB in: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M45.00S,2024-01-30T00:20:58.8Z,1,REGULAR,substitution,in,[],1628373,,,1610612766,13,12,2024-01-30T00:21:12Z,620000,False,,,0,,SUB in: F. Ntilikina,[1628373],1610612766.0,CHA,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M45.00S,2024-01-30T00:20:58.8Z,1,REGULAR,substitution,in,[],1630579,,,1610612766,13,12,2024-01-30T00:21:12Z,630000,False,,,0,,SUB in: J. Sims,[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M45.00S,2024-01-30T00:21:17.9Z,1,REGULAR,freethrow,2 of 2,[],1641706,,,1610612766,14,12,2024-01-30T00:21:17Z,640000,False,,,0,,B. Miller Free Throw 2 of 2 (6 PTS),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,Made,,,,,,,6.0,,,,,,
65,PT05M31.00S,2024-01-30T00:21:33.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,7.440867279894875,42.64705882352941,1610612752,14,14,2024-01-30T00:21:37Z,650000,False,37.0,17.0,1,left,P. Achiuwa Layup (2 PTS) (J. Brunson 2 AST),"[1630173, 1628973]",1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,,4.07,Made,,,,,,,2.0,J. Brunson,1628973.0,2.0,,,
67,PT05M20.00S,2024-01-30T00:21:44.1Z,1,REGULAR,3pt,Jump Shot,[],1628970,74.58935611038108,13.725490196078432,1610612766,14,14,2024-01-30T00:21:48Z,670000,False,-181.0,186.0,1,right,MISS M. Bridges 26' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,26.01,Missed,,,,,,,,,,,,,
68,PT05M18.00S,2024-01-30T00:21:46.1Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612752,14,14,2024-01-30T00:21:48Z,680000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,
69,PT05M14.00S,2024-01-30T00:21:50.1Z,1,REGULAR,turnover,bad pass,[],1628978,,,1610612752,14,14,2024-01-30T00:21:55Z,690000,False,,,0,,D. DiVincenzo bad pass TURNOVER (1 TO),"[1628978, 1628970]",1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Bridges,1628970.0
70,PT05M14.00S,2024-01-30T00:21:50.1Z,1,REGULAR,steal,,[],1628970,,,1610612766,14,14,2024-01-30T00:21:53Z,700000,False,,,0,,M. Bridges STEAL (1 STL),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
71,PT05M09.00S,2024-01-30T00:21:55.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628970,92.85479632063075,50.73529411764706,1610612766,16,14,2024-01-30T00:22:01Z,710000,False,4.0,15.0,1,right,M. Bridges running finger roll Layup (2 PTS),[1628970],1610612766.0,CHA,running finger roll,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,1.52,Made,,,,,,,2.0,,,,,,
72,PT04M50.00S,2024-01-30T00:22:14.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,14.536793692509855,51.225490196078425,1610612752,16,14,2024-01-30T00:22:19Z,720000,False,-6.0,84.0,1,left,MISS P. Achiuwa 8' driving floating Shot,[1630173],1610612752.0,NYK,driving floating,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.43,Missed,,,,,,,,,,,,,
73,PT04M49.00S,2024-01-30T00:22:16.3Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612752,16,14,2024-01-30T00:22:16Z,730000,False,,,0,,J. Sims REBOUND (Off:1 Def:0),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,72.0,1.0,0.0,1.0,,,,,,,,,
74,PT04M48.00S,2024-01-30T00:22:17.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630579,6.783837056504599,47.794117647058826,1610612752,16,16,2024-01-30T00:22:23Z,740000,False,11.0,11.0,1,left,J. Sims putback Layup (2 PTS),[1630579],1610612752.0,NYK,putback,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,,,,,,1.58,Made,,,,,,,2.0,,,,,,
