actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
186,PT09M29.00S,2021-12-04T02:42:01.4Z,2,REGULAR,3pt,Jump Shot,[],1628369,70.90998685939553,73.77450980392157,1610612738,43,29,2021-12-04T02:44:02Z,1840000,119.0,221.0,1,right,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.09,Missed,,,,,,,,,,,,,,,,,,,
187,PT09M26.00S,2021-12-04T02:42:04.4Z,2,REGULAR,rebound,defensive,[],1630235,,,1610612762,43,29,2021-12-04T02:42:07Z,1850000,,,0,,T. Forrest REBOUND (Off:0 Def:1),[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,186.0,1.0,1.0,0.0,,,,,,,,,,,,,,
188,PT09M20.00S,2021-12-04T02:42:10.6Z,2,REGULAR,3pt,Jump Shot,[],203903,35.8245729303548,29.411764705882355,1610612762,43,29,2021-12-04T02:42:16Z,1860000,103.0,284.0,1,left,MISS J. Clarkson 30' pullup 3PT,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,30.23,Missed,,,,,,,,,,,,,,,,,,,
189,PT09M17.00S,2021-12-04T02:42:13.6Z,2,REGULAR,rebound,defensive,[],1629641,,,1610612738,43,29,2021-12-04T02:42:16Z,1870000,,,0,,R. Langford REBOUND (Off:0 Def:2),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,188.0,2.0,2.0,0.0,,,,,,,,,,,,,,
190,PT09M07.00S,2021-12-04T02:42:23.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.85479632063075,45.09803921568628,1610612738,43,31,2021-12-04T02:42:32Z,1880000,-25.0,15.0,1,right,J. Tatum Layup (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,2.86,Made,4.0,,,,,,,,,,,,,,,,,,
191,PT08M52.00S,2021-12-04T02:42:37.5Z,2,REGULAR,turnover,bad pass,[],1630235,,,1610612762,43,31,2021-12-04T02:42:41Z,1890000,,,0,,T. Forrest bad pass TURNOVER (1 TO),"[1630235, 203935]",1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0,,,
192,PT08M52.00S,2021-12-04T02:42:37.5Z,2,REGULAR,steal,,[],203935,,,1610612738,43,31,2021-12-04T02:42:39Z,1900000,,,0,,M. Smart STEAL (4 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT08M48.00S,2021-12-04T02:42:39.6Z,2,REGULAR,instantreplay,request,[],0,,,1610612738,43,31,2021-12-04T02:51:48Z,1905000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,,,,,2004.0,,,,,,,,,,
193,PT08M48.00S,2021-12-04T02:42:41.8Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",201143,74.50722733245729,78.45435049019608,1610612738,43,33,2021-12-04T02:51:57Z,1910000,142.0,187.0,1,right,A. Horford 23' running pullup Jump Shot (9 PTS),[201143],1610612738.0,BOS,running pullup,,,Horford,A. Horford,,,,,23.51,Made,9.0,,,,,,,,,,,,,,,,,,
194,PT08M35.00S,2021-12-04T02:42:56.5Z,2,REGULAR,foul,personal,[],203935,,,1610612762,43,33,2021-12-04T02:43:03Z,1920000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 1630235]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,2004.0,1.0,0.0,Forrest,1630235.0,,,,,,
196,PT08M27.00S,2021-12-04T02:43:15.8Z,2,REGULAR,3pt,Jump Shot,[],204060,25.57490144546649,17.401960784313726,1610612762,43,33,2021-12-04T02:43:21Z,1940000,163.0,188.0,1,left,MISS J. Ingles 24' 3PT,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,24.87,Missed,,,,,,,,,,,,,,,,,,,
197,PT08M22.00S,2021-12-04T02:43:20.8Z,2,REGULAR,rebound,offensive,[],1630235,,,1610612762,43,33,2021-12-04T02:43:21Z,1950000,,,0,,T. Forrest REBOUND (Off:1 Def:1),[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,196.0,2.0,1.0,1.0,,,,,,,,,,,,,,
198,PT08M15.00S,2021-12-04T02:43:27.9Z,2,REGULAR,turnover,bad pass,[],1630235,,,1610612762,43,33,2021-12-04T02:43:33Z,1960000,,,0,,T. Forrest bad pass TURNOVER (2 TO),"[1630235, 1629641]",1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,2.0,Langford,1629641.0,,,
199,PT08M15.00S,2021-12-04T02:43:27.9Z,2,REGULAR,steal,,[],1629641,,,1610612738,43,33,2021-12-04T02:49:05Z,1970000,,,0,,R. Langford STEAL (1 STL),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M13.00S,2021-12-04T02:43:56.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,43,33,2021-12-04T02:43:56Z,2000000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M13.00S,2021-12-04T02:44:15.4Z,2,REGULAR,instantreplay,challenge,[],0,,,1610612738,43,33,2021-12-04T02:47:41Z,2010000,,,0,,,[],1610612762.0,UTA,overturned,,,,,,,,,,,,,,,,,,,2004.0,,,,,,,,,,No Foul on J. Ingles
204,PT08M13.00S,2021-12-04T02:47:48.3Z,2,REGULAR,substitution,out,[],1626196,,,1610612738,43,33,2021-12-04T02:47:55Z,2020000,,,0,,SUB out: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M13.00S,2021-12-04T02:47:48.3Z,2,REGULAR,substitution,out,[],203935,,,1610612738,43,33,2021-12-04T02:47:55Z,2030000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M13.00S,2021-12-04T02:47:48.3Z,2,REGULAR,substitution,out,[],201143,,,1610612738,43,33,2021-12-04T02:47:55Z,2040000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT08M13.00S,2021-12-04T02:47:48.3Z,2,REGULAR,substitution,in,[],203471,,,1610612738,43,33,2021-12-04T02:47:55Z,2050000,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT08M13.00S,2021-12-04T02:47:48.3Z,2,REGULAR,substitution,in,[],1629684,,,1610612738,43,33,2021-12-04T02:47:55Z,2060000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT08M13.00S,2021-12-04T02:47:48.3Z,2,REGULAR,substitution,in,[],1629057,,,1610612738,43,33,2021-12-04T02:47:55Z,2070000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT08M13.00S,2021-12-04T02:48:28.1Z,2,REGULAR,substitution,out,[],204060,,,1610612738,43,33,2021-12-04T02:48:37Z,2080000,,,0,,SUB out: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT08M13.00S,2021-12-04T02:48:28.1Z,2,REGULAR,substitution,out,[],203497,,,1610612738,43,33,2021-12-04T02:48:37Z,2090000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT08M13.00S,2021-12-04T02:48:28.1Z,2,REGULAR,substitution,in,[],1626220,,,1610612738,43,33,2021-12-04T02:48:37Z,2100000,,,0,,SUB in: R. O'Neale,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT08M13.00S,2021-12-04T02:48:28.1Z,2,REGULAR,substitution,in,[],202355,,,1610612738,43,33,2021-12-04T02:48:37Z,2110000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT08M10.00S,2021-12-04T02:48:50.8Z,2,REGULAR,jumpball,recovered,[],1629057,,,1610612738,43,33,2021-12-04T02:48:50Z,2120000,,,0,,Jump Ball J. Tatum vs. R. Gay: Tip to R. Williams III,"[1629057, 1628369, 200752]",1610612738.0,BOS,challenge,R. Williams III,1629057.0,Williams III,R. Williams III,Tatum,1628369.0,Gay,200752.0,,,,,,,,,,,,,,,,,,,,,
217,PT07M51.00S,2021-12-04T02:49:10.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,69.72733245729303,73.2843137254902,1610612738,43,36,2021-12-04T02:49:15Z,2150000,116.0,232.0,1,right,G. Williams 25' 3PT  (3 PTS) (D. Schroder 2 AST),"[1629684, 203471]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,25.97,Made,3.0,,,,,D. Schroder,203471.0,2.0,,,,,,,,,,,
219,PT07M28.00S,2021-12-04T02:49:32.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,17.821944809461236,46.32352941176471,1610612762,43,36,2021-12-04T02:49:36Z,2170000,18.0,115.0,1,left,MISS J. Clarkson 11' Jump Shot - blocked,"[203903, 1628369]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,11.65,Missed,,,,,,,,,,,,,,,,,Tatum,1628369.0,
220,PT07M28.00S,2021-12-04T02:49:32.4Z,2,REGULAR,block,,[],1628369,,,1610612762,43,36,2021-12-04T02:53:24Z,2180000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT07M26.00S,2021-12-04T02:49:34.4Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,43,36,2021-12-04T02:55:31Z,2190000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,219.0,1.0,1.0,0.0,,,,,,,,,,,,,,
222,PT07M10.00S,2021-12-04T02:49:50.5Z,2,REGULAR,3pt,Jump Shot,[],1629641,92.9862023653088,3.6764705882352944,1610612738,43,36,2021-12-04T02:49:55Z,2200000,-232.0,13.0,1,right,MISS R. Langford 3PT,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,23.2,Missed,,,,,,,,,,,,,,,,,,,
223,PT07M06.00S,2021-12-04T02:49:54.5Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,43,36,2021-12-04T02:49:55Z,2210000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,222.0,2.0,1.0,1.0,,,,,,,,,,,,,,
224,PT06M59.00S,2021-12-04T02:50:01.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203471,76.82325886990802,10.294117647058822,1610612738,43,36,2021-12-04T02:50:06Z,2220000,-199.0,165.0,1,right,MISS D. Schroder 25' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,25.84,Missed,,,,,,,,,,,,,,,,,,,
225,PT06M57.00S,2021-12-04T02:50:03.2Z,2,REGULAR,rebound,defensive,[],200752,,,1610612762,43,36,2021-12-04T02:50:06Z,2230000,,,0,,R. Gay REBOUND (Off:0 Def:2),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,224.0,2.0,2.0,0.0,,,,,,,,,,,,,,
226,PT06M51.00S,2021-12-04T02:50:09.5Z,2,REGULAR,3pt,Jump Shot,[],200752,32.670827858081466,43.627450980392155,1610612762,43,36,2021-12-04T02:50:14Z,2240000,32.0,255.0,1,left,MISS R. Gay 25' pullup 3PT,[200752],1610612762.0,UTA,pullup,,,Gay,R. Gay,,,,,25.66,Missed,,,,,,,,,,,,,,,,,,,
227,PT06M48.00S,2021-12-04T02:50:12.4Z,2,REGULAR,rebound,offensive,[],1626220,,,1610612762,43,36,2021-12-04T02:50:12Z,2250000,,,0,,R. O'Neale REBOUND (Off:2 Def:3),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,226.0,5.0,3.0,2.0,,,,,,,,,,,,,,
228,PT06M38.00S,2021-12-04T02:50:22.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203903,38.05847568988173,35.049019607843135,1610612762,43,36,2021-12-04T02:55:24Z,2260000,75.0,305.0,1,left,MISS J. Clarkson 31' pullup 3PT,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,31.42,Missed,,,,,,,,,,,,,,,,,,,
229,PT06M35.00S,2021-12-04T02:50:25.7Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,43,36,2021-12-04T02:50:27Z,2270000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,228.0,4.0,4.0,0.0,,,,,,,,,,,,,,
230,PT06M27.00S,2021-12-04T02:50:34.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.9862023653088,42.40196078431372,1610612738,43,38,2021-12-04T02:50:41Z,2280000,-38.0,13.0,1,right,J. Tatum driving reverse Layup (6 PTS),[1628369],1610612738.0,BOS,driving reverse,,,Tatum,J. Tatum,,,,,4.03,Made,6.0,,,,,,,,,,,,,,,,,,
231,PT06M15.00S,2021-12-04T02:50:45.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630235,10.988830486202366,39.21568627450981,1610612762,43,38,2021-12-04T02:50:50Z,2290000,54.0,51.0,1,left,MISS T. Forrest 7' driving Layup,[1630235],1610612762.0,UTA,driving,,,Forrest,T. Forrest,,,,,7.41,Missed,,,,,,,,,,,,,,,,,,,
232,PT06M14.00S,2021-12-04T02:50:46.2Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,43,38,2021-12-04T02:50:50Z,2300000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,231.0,3.0,2.0,1.0,,,,,,,,,,,,,,
233,PT06M04.00S,2021-12-04T02:50:57.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,87.59855453350855,62.745098039215684,1610612738,43,40,2021-12-04T02:51:03Z,2310000,64.0,64.0,1,right,D. Schroder 9' turnaround fadeaway Jump Shot (10 PTS),[203471],1610612738.0,BOS,turnaround fadeaway,,,Schroder,D. Schroder,,,,,9.04,Made,10.0,,,,,,,,,,,,,,,,,,
234,PT06M02.00S,2021-12-04T02:51:02.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,43,40,2021-12-04T02:51:02Z,2320000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M02.00S,2021-12-04T02:53:29.6Z,2,REGULAR,substitution,out,[],1630235,,,1610612762,43,40,2021-12-04T02:53:57Z,2330000,,,0,,SUB out: T. Forrest,[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M02.00S,2021-12-04T02:53:29.6Z,2,REGULAR,substitution,out,[],200752,,,1610612762,43,40,2021-12-04T02:53:57Z,2340000,,,0,,SUB out: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M02.00S,2021-12-04T02:53:29.6Z,2,REGULAR,substitution,out,[],1629641,,,1610612762,43,40,2021-12-04T02:53:57Z,2350000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M02.00S,2021-12-04T02:53:29.6Z,2,REGULAR,substitution,in,[],1628378,,,1610612762,43,40,2021-12-04T02:53:57Z,2360000,,,0,,SUB in: D. Mitchell,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M02.00S,2021-12-04T02:53:29.6Z,2,REGULAR,substitution,in,[],202711,,,1610612762,43,40,2021-12-04T02:53:57Z,2370000,,,0,,SUB in: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT06M02.00S,2021-12-04T02:53:29.6Z,2,REGULAR,substitution,in,[],203935,,,1610612762,43,40,2021-12-04T02:53:57Z,2380000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT05M52.00S,2021-12-04T02:54:04.7Z,2,REGULAR,3pt,Jump Shot,[],1626220,20.844283837056505,92.15686274509804,1610612762,46,40,2021-12-04T02:54:09Z,2390000,-211.0,143.0,1,left,R. O'Neale 25' 3PT  (5 PTS) (H. Whiteside 1 AST),"[1626220, 202355]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,25.5,Made,5.0,,,,,H. Whiteside,202355.0,1.0,,,,,,,,,,,
244,PT05M30.00S,2021-12-04T02:54:27.0Z,2,REGULAR,2pt,Jump Shot,[],203935,77.7431011826544,32.84313725490196,1610612738,46,40,2021-12-04T02:54:32Z,2410000,-86.0,157.0,1,right,MISS M. Smart 17' step back Shot,[203935],1610612738.0,BOS,step back,,,Smart,M. Smart,,,,,17.87,Missed,,,,,,,,,,,,,,,,,,,
245,PT05M28.00S,2021-12-04T02:54:29.0Z,2,REGULAR,rebound,defensive,[],202711,,,1610612762,46,40,2021-12-04T02:54:32Z,2420000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,244.0,1.0,1.0,0.0,,,,,,,,,,,,,,
246,PT05M22.00S,2021-12-04T02:54:35.4Z,2,REGULAR,3pt,Jump Shot,[],1628378,25.837713534822605,80.63725490196079,1610612762,46,40,2021-12-04T02:54:41Z,2430000,-153.0,190.0,1,left,MISS D. Mitchell 24' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,24.44,Missed,,,,,,,,,,,,,,,,,,,
247,PT05M19.00S,2021-12-04T02:54:38.4Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,46,40,2021-12-04T02:54:42Z,2440000,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,246.0,4.0,3.0,1.0,,,,,,,,,,,,,,
248,PT05M13.00S,2021-12-04T02:54:44.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,91.93495400788436,53.18627450980392,1610612738,46,42,2021-12-04T02:54:57Z,2450000,16.0,23.0,1,right,J. Tatum driving Layup (8 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,2.82,Made,8.0,,,,,,,,,,,,,,,,,,
249,PT04M55.00S,2021-12-04T02:55:02.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,6.521024967148489,50.98039215686274,1610612762,48,42,2021-12-04T02:55:07Z,2460000,-5.0,9.0,1,left,R. O'Neale cutting Layup (7 PTS) (B. Bogdanovic 2 AST),"[1626220, 202711]",1610612762.0,UTA,cutting,,,O'Neale,R. O'Neale,,,,,1.01,Made,7.0,,,,,B. Bogdanovic,202711.0,2.0,,,,,,,,,,,
251,PT04M33.00S,2021-12-04T02:55:24.0Z,2,REGULAR,2pt,Jump Shot,[],1628369,77.34888304862024,68.87254901960785,1610612738,48,42,2021-12-04T02:55:28Z,2480000,94.0,160.0,1,right,MISS J. Tatum 18' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,18.61,Missed,,,,,,,,,,,,,,,,,,,
252,PT04M31.00S,2021-12-04T02:55:26.0Z,2,REGULAR,rebound,defensive,[],202355,,,1610612762,48,42,2021-12-04T02:55:28Z,2490000,,,0,,H. Whiteside REBOUND (Off:0 Def:2),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,251.0,2.0,2.0,0.0,,,,,,,,,,,,,,
253,PT04M19.00S,2021-12-04T02:55:41.8Z,2,REGULAR,foul,personal,[],1629684,,,1610612762,48,42,2021-12-04T02:55:46Z,2500000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 1628378]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,1201.0,1.0,0.0,Mitchell,1628378.0,,,,,,
255,PT04M19.00S,2021-12-04T02:56:03.4Z,2,REGULAR,substitution,out,[],1628369,,,1610612762,48,42,2021-12-04T02:56:05Z,2520000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT04M19.00S,2021-12-04T02:56:03.4Z,2,REGULAR,substitution,in,[],1626196,,,1610612762,48,42,2021-12-04T02:56:05Z,2530000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT04M08.00S,2021-12-04T02:56:25.3Z,2,REGULAR,foul,personal,['2freethrow'],203471,,,1610612762,48,42,2021-12-04T02:56:29Z,2540000,,,0,,D. Schroder shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[203471, 202711]",1610612738.0,BOS,shooting,,,Schroder,D. Schroder,,,,,,,,,,,,,,,2002.0,1.0,0.0,Bogdanovic,202711.0,,,,,,
259,PT04M08.00S,2021-12-04T02:56:55.3Z,2,REGULAR,freethrow,1 of 2,[],202711,,,1610612762,49,42,2021-12-04T02:56:55Z,2560000,,,0,,B. Bogdanovic Free Throw 1 of 2 (6 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
260,PT04M08.00S,2021-12-04T02:56:55.9Z,2,REGULAR,substitution,out,[],203903,,,1610612762,49,42,2021-12-04T02:57:07Z,2570000,,,0,,SUB out: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT04M08.00S,2021-12-04T02:56:55.9Z,2,REGULAR,substitution,out,[],202355,,,1610612762,49,42,2021-12-04T02:57:07Z,2580000,,,0,,SUB out: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT04M08.00S,2021-12-04T02:56:55.9Z,2,REGULAR,substitution,out,[],1629057,,,1610612762,49,42,2021-12-04T02:57:07Z,2590000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT04M08.00S,2021-12-04T02:56:55.9Z,2,REGULAR,substitution,in,[],203497,,,1610612762,49,42,2021-12-04T02:57:07Z,2600000,,,0,,SUB in: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT04M08.00S,2021-12-04T02:56:55.9Z,2,REGULAR,substitution,in,[],201144,,,1610612762,49,42,2021-12-04T02:57:07Z,2610000,,,0,,SUB in: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT04M08.00S,2021-12-04T02:56:55.9Z,2,REGULAR,substitution,in,[],201143,,,1610612762,49,42,2021-12-04T02:57:07Z,2620000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT04M08.00S,2021-12-04T02:57:18.9Z,2,REGULAR,freethrow,2 of 2,[],202711,,,1610612762,50,42,2021-12-04T02:57:18Z,2630000,,,0,,B. Bogdanovic Free Throw 2 of 2 (7 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
267,PT03M58.00S,2021-12-04T02:57:32.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,84.31340341655716,47.549019607843135,1610612738,50,44,2021-12-04T02:57:36Z,2640000,-12.0,95.0,1,right,A. Horford 9' floating Jump Shot (11 PTS) (D. Schroder 3 AST),"[201143, 203471]",1610612738.0,BOS,floating,,,Horford,A. Horford,,,,,9.58,Made,11.0,,,,,D. Schroder,203471.0,3.0,,,,,,,,,,,
269,PT03M48.00S,2021-12-04T02:57:42.6Z,2,REGULAR,3pt,Jump Shot,[],1628378,32.14520367936925,17.647058823529413,1610612762,50,44,2021-12-04T02:57:48Z,2660000,162.0,250.0,1,left,MISS D. Mitchell 29' step back 3PT,[1628378],1610612762.0,UTA,step back,,,Mitchell,D. Mitchell,,,,,29.75,Missed,,,,,,,,,,,,,,,,,,,
270,PT03M45.00S,2021-12-04T02:57:45.1Z,2,REGULAR,rebound,offensive,[],1626220,,,1610612762,50,44,2021-12-04T02:57:45Z,2670000,,,0,,R. O'Neale REBOUND (Off:3 Def:3),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,269.0,6.0,3.0,3.0,,,,,,,,,,,,,,
271,PT03M35.00S,2021-12-04T02:57:54.8Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202711,9.543363994743759,59.55882352941176,1610612762,50,44,2021-12-04T02:58:00Z,2680000,-48.0,37.0,1,left,MISS B. Bogdanovic 6' driving bank Shot,[202711],1610612762.0,UTA,driving bank,,,Bogdanovic,B. Bogdanovic,,,,,6.06,Missed,,,,,,,,,,,,,,,,,,,
272,PT03M33.00S,2021-12-04T02:57:56.8Z,2,REGULAR,rebound,defensive,[],1626196,,,1610612738,50,44,2021-12-04T02:58:00Z,2690000,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,271.0,1.0,1.0,0.0,,,,,,,,,,,,,,
273,PT03M33.00S,2021-12-04T02:58:00.7Z,2,REGULAR,foul,personal,[],203497,,,1610612738,50,44,2021-12-04T02:58:14Z,2700000,,,0,,R. Gobert personal FOUL (2 PF),"[203497, 203935]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,2004.0,2.0,0.0,Smart,203935.0,,,,,,
