actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
269,PT03M07.00S,2021-11-17T03:52:49.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,86.67871222076215,36.029411764705884,1610612762,57,34,2021-11-17T03:52:56Z,2640000,-70.0,73.0,1,right,MISS B. Bogdanovic 10' step back Shot,[202711],1610612762.0,UTA,step back,,,Bogdanovic,B. Bogdanovic,,,,,10.09,Missed,,,,,,,,,,,,,,,,,,
271,PT03M04.00S,2021-11-17T03:52:52.4Z,2,REGULAR,rebound,defensive,[],1627788,,,1610612755,57,34,2021-11-17T03:52:56Z,2660000,,,0,,F. Korkmaz REBOUND (Off:0 Def:2),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,269.0,2.0,2.0,0.0,,,
272,PT03M04.00S,2021-11-17T03:52:58.1Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202711,,,1610612755,57,34,2021-11-17T03:53:20Z,2670000,,,0,,B. Bogdanovic take personal FOUL (1 PF) (Korkmaz 2 FT),"[202711, 1627788]",1610612762.0,UTA,take,,,Bogdanovic,B. Bogdanovic,,,,,,,,1162.0,1.0,0.0,Korkmaz,1627788.0,,,,,,,,,,,,
274,PT03M04.00S,2021-11-17T03:53:23.2Z,2,REGULAR,freethrow,1 of 2,[],1627788,,,1610612755,57,35,2021-11-17T03:53:23Z,2690000,,,0,,F. Korkmaz Free Throw 1 of 2 (3 PTS),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
275,PT03M04.00S,2021-11-17T03:53:41.7Z,2,REGULAR,freethrow,2 of 2,[],1627788,,,1610612755,57,36,2021-11-17T03:53:41Z,2700000,,,0,,F. Korkmaz Free Throw 2 of 2 (4 PTS),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
276,PT02M54.00S,2021-11-17T03:53:52.9Z,2,REGULAR,foul,personal,['2freethrow'],202699,,,1610612762,57,36,2021-11-17T03:53:59Z,2710000,,,0,,T. Harris shooting personal FOUL (2 PF) (Gobert 2 FT),"[202699, 203497]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,,,,2005.0,2.0,0.0,Gobert,203497.0,,,,,,,,,,,,
278,PT02M54.00S,2021-11-17T03:54:19.0Z,2,REGULAR,freethrow,1 of 2,[],203497,,,1610612762,57,36,2021-11-17T03:54:19Z,2730000,,,0,,MISS R. Gobert Free Throw 1 of 2,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Missed,,,,,,,,,,,,,,,,,,
279,PT02M54.00S,2021-11-17T03:54:19.0Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,57,36,2021-11-17T03:54:19Z,2740000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,278.0,,,,,,
280,PT02M54.00S,2021-11-17T03:54:20.4Z,2,REGULAR,substitution,out,[],1627777,,,1610612762,57,36,2021-11-17T03:54:24Z,2750000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
281,PT02M54.00S,2021-11-17T03:54:20.4Z,2,REGULAR,substitution,in,[],1630198,,,1610612762,57,36,2021-11-17T03:54:24Z,2760000,,,0,,SUB in: I. Joe,[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,
282,PT02M54.00S,2021-11-17T03:54:19.0Z,2,REGULAR,freethrow,2 of 2,[],203497,,,1610612762,57,36,2021-11-17T03:54:47Z,2770000,,,0,,MISS R. Gobert Free Throw 2 of 2,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Missed,,,,,,,,,,,,,,,,,,
283,PT02M52.00S,2021-11-17T03:54:21.0Z,2,REGULAR,rebound,defensive,[],1627788,,,1610612755,57,36,2021-11-17T03:54:47Z,2780000,,,0,,F. Korkmaz REBOUND (Off:0 Def:3),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,282.0,3.0,3.0,0.0,,,
284,PT02M38.00S,2021-11-17T03:55:00.3Z,2,REGULAR,3pt,Jump Shot,[],1630178,28.33442838370565,73.52941176470588,1610612755,57,39,2021-11-17T03:55:05Z,2790000,-118.0,214.0,1,left,T. Maxey 24' 3PT  (10 PTS) (F. Korkmaz 2 AST),"[1630178, 1627788]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,24.4,Made,10.0,,,,,,F. Korkmaz,1627788.0,2.0,,,,,,,,,
286,PT02M19.00S,2021-11-17T03:55:18.7Z,2,REGULAR,3pt,Jump Shot,[],201144,69.46452036793693,72.05882352941177,1610612762,57,39,2021-11-17T03:59:17Z,2810000,110.0,235.0,1,right,MISS M. Conley 25' 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,25.91,Missed,,,,,,,,,,,,,,,,,,
287,PT02M16.00S,2021-11-17T03:55:21.7Z,2,REGULAR,rebound,defensive,[],1630198,,,1610612755,57,39,2021-11-17T03:55:24Z,2820000,,,0,,I. Joe REBOUND (Off:0 Def:2),[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,286.0,2.0,2.0,0.0,,,
288,PT02M08.00S,2021-11-17T03:55:33.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627788,7.966491458607096,61.51960784313726,1610612755,57,41,2021-11-17T03:55:38Z,2830000,-58.0,22.0,1,left,F. Korkmaz 6' driving bank Jump Shot (6 PTS) (S. Milton 2 AST),"[1627788, 1629003]",1610612755.0,PHI,driving bank,,,Korkmaz,F. Korkmaz,,,,,6.18,Made,6.0,,,,,,S. Milton,1629003.0,2.0,,,,,,,,,
290,PT02M08.00S,2021-11-17T03:55:36.3Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",203497,,,1610612755,57,41,2021-11-17T03:55:40Z,2850000,,,0,,R. Gobert shooting personal FOUL (2 PF) (Korkmaz 1 FT),"[203497, 1627788]",1610612762.0,UTA,shooting,,,Gobert,R. Gobert,,,,,,,,2005.0,2.0,0.0,Korkmaz,1627788.0,,,,,,,,,,,,
292,PT02M08.00S,2021-11-17T03:55:59.2Z,2,REGULAR,freethrow,1 of 1,[],1627788,,,1610612755,57,41,2021-11-17T03:56:05Z,2870000,,,0,,MISS F. Korkmaz Free Throw 1 of 1,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,Missed,,,,,,,,,,,,,,,,,,
293,PT02M06.00S,2021-11-17T03:56:01.2Z,2,REGULAR,rebound,defensive,[],202711,,,1610612762,57,41,2021-11-17T03:56:05Z,2880000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:2),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,292.0,2.0,2.0,0.0,,,
294,PT01M55.00S,2021-11-17T03:56:12.2Z,2,REGULAR,foul,personal,['2freethrow'],202699,,,1610612762,57,41,2021-11-17T03:56:19Z,2890000,,,0,,T. Harris shooting personal FOUL (3 PF) (Gobert 2 FT),"[202699, 203497]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,,,,201246.0,3.0,0.0,Gobert,203497.0,,,,,,,,,,,,
296,PT01M55.00S,2021-11-17T03:56:54.9Z,2,REGULAR,freethrow,1 of 2,[],203497,,,1610612762,57,41,2021-11-17T03:56:54Z,2910000,,,0,,MISS R. Gobert Free Throw 1 of 2,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Missed,,,,,,,,,,,,,,,,,,
297,PT01M55.00S,2021-11-17T03:56:54.9Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,57,41,2021-11-17T03:56:54Z,2920000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,296.0,,,,,,
298,PT01M55.00S,2021-11-17T03:56:55.6Z,2,REGULAR,substitution,out,[],202699,,,1610612762,57,41,2021-11-17T03:56:59Z,2930000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
299,PT01M55.00S,2021-11-17T03:56:55.6Z,2,REGULAR,substitution,in,[],1627777,,,1610612762,57,41,2021-11-17T03:56:59Z,2940000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
300,PT01M55.00S,2021-11-17T03:56:54.9Z,2,REGULAR,freethrow,2 of 2,[],203497,,,1610612762,57,41,2021-11-17T03:57:21Z,2950000,,,0,,MISS R. Gobert Free Throw 2 of 2,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Missed,,,,,,,,,,,,,,,,,,
301,PT01M53.00S,2021-11-17T03:56:56.9Z,2,REGULAR,rebound,defensive,[],1629003,,,1610612755,57,41,2021-11-17T03:57:21Z,2960000,,,0,,S. Milton REBOUND (Off:0 Def:2),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,300.0,2.0,2.0,0.0,,,
303,PT01M46.00S,2021-11-17T03:57:26.7Z,2,REGULAR,2pt,Jump Shot,[],1629003,18.873193166885677,87.99019607843137,1610612755,57,43,2021-11-17T03:57:32Z,2980000,-190.0,125.0,1,left,S. Milton 22' Jump Shot (9 PTS) (T. Maxey 1 AST),"[1629003, 1630178]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,22.74,Made,9.0,,,,,,T. Maxey,1630178.0,1.0,,,,,,,,,
305,PT01M37.00S,2021-11-17T03:57:38.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630178,,,1610612762,57,43,2021-11-17T03:57:45Z,3000000,,,0,,T. Maxey personal FOUL (1 PF) (Gobert 2 FT),"[1630178, 203497]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,2005.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,
307,PT01M37.00S,2021-11-17T03:58:09.4Z,2,REGULAR,freethrow,1 of 2,[],203497,,,1610612762,58,43,2021-11-17T03:58:09Z,3020000,,,0,,R. Gobert Free Throw 1 of 2 (7 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
308,PT01M37.00S,2021-11-17T03:58:25.5Z,2,REGULAR,freethrow,2 of 2,[],203497,,,1610612762,59,43,2021-11-17T03:58:25Z,3030000,,,0,,R. Gobert Free Throw 2 of 2 (8 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
309,PT01M21.00S,2021-11-17T03:58:42.5Z,2,REGULAR,3pt,Jump Shot,[],1627788,5.206964520367937,2.941176470588235,1610612755,59,43,2021-11-17T03:58:47Z,3040000,235.0,-4.0,1,left,MISS F. Korkmaz step back 3PT,[1627788],1610612755.0,PHI,step back,,,Korkmaz,F. Korkmaz,,,,,23.53,Missed,,,,,,,,,,,,,,,,,,
310,PT01M19.00S,2021-11-17T03:58:44.5Z,2,REGULAR,rebound,defensive,[],1628378,,,1610612762,59,43,2021-11-17T03:58:47Z,3050000,,,0,,D. Mitchell REBOUND (Off:0 Def:3),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,309.0,3.0,3.0,0.0,,,
311,PT01M15.00S,2021-11-17T03:58:51.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627777,,,1610612762,59,43,2021-11-17T03:58:59Z,3060000,,,0,,G. Niang shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1627777, 1628378]",1610612755.0,PHI,shooting,,,Niang,G. Niang,,,,,,,,1162.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,,,,
313,PT01M15.00S,2021-11-17T03:59:24.6Z,2,REGULAR,freethrow,1 of 2,[],1628378,,,1610612762,60,43,2021-11-17T03:59:24Z,3080000,,,0,,D. Mitchell Free Throw 1 of 2 (10 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
314,PT01M15.00S,2021-11-17T03:59:44.5Z,2,REGULAR,freethrow,2 of 2,[],1628378,,,1610612762,61,43,2021-11-17T03:59:44Z,3090000,,,0,,D. Mitchell Free Throw 2 of 2 (11 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
315,PT01M00.00S,2021-11-17T04:00:01.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629003,5.732588699080158,53.67647058823529,1610612755,61,45,2021-11-17T04:00:06Z,3100000,-18.0,1.0,1,left,S. Milton driving Layup (11 PTS) (T. Maxey 2 AST),"[1629003, 1630178]",1610612755.0,PHI,driving,,,Milton,S. Milton,,,,,1.85,Made,11.0,,,,,,T. Maxey,1630178.0,2.0,,,,,,,,,
317,PT00M54.70S,2021-11-17T04:00:08.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,91.80354796320631,56.372549019607845,1610612762,61,45,2021-11-17T04:04:27Z,3120000,32.0,25.0,1,right,MISS D. Mitchell running Layup,[1628378],1610612762.0,UTA,running,,,Mitchell,D. Mitchell,,,,,4.02,Missed,,,,,,,,,,,,,,,,,,
318,PT00M52.30S,2021-11-17T04:00:10.9Z,2,REGULAR,rebound,defensive,[],1630198,,,1610612755,61,45,2021-11-17T04:00:16Z,3130000,,,0,,I. Joe REBOUND (Off:0 Def:3),[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,317.0,3.0,3.0,0.0,,,
319,PT00M49.00S,2021-11-17T04:00:14.7Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630178,7.835085413929041,47.549019607843135,1610612755,61,47,2021-11-17T04:00:30Z,3140000,12.0,21.0,1,left,T. Maxey running finger roll Layup (12 PTS) (I. Joe 1 AST),"[1630178, 1630198]",1610612755.0,PHI,running finger roll,,,Maxey,T. Maxey,,,,,2.44,Made,12.0,,,,,,I. Joe,1630198.0,1.0,,,,,,,,,
321,PT00M30.70S,2021-11-17T04:00:36.7Z,2,REGULAR,3pt,Jump Shot,[],1628378,81.2910643889619,5.88235294117647,1610612762,61,47,2021-11-17T04:00:42Z,3160000,-221.0,123.0,1,right,MISS D. Mitchell 25' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,25.28,Missed,,,,,,,,,,,,,,,,,,
322,PT00M28.10S,2021-11-17T04:00:39.3Z,2,REGULAR,rebound,defensive,[],1630178,,,1610612755,61,47,2021-11-17T04:00:42Z,3170000,,,0,,T. Maxey REBOUND (Off:0 Def:2),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,321.0,2.0,2.0,0.0,,,
323,PT00M10.60S,2021-11-17T04:00:56.7Z,2,REGULAR,3pt,Jump Shot,[],1630178,32.276609724047304,52.69607843137255,1610612755,61,47,2021-11-17T04:01:02Z,3180000,-13.0,251.0,1,left,MISS T. Maxey 25' step back 3PT,[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,25.13,Missed,,,,,,,,,,,,,,,,,,
324,PT00M08.30S,2021-11-17T04:00:59.1Z,2,REGULAR,rebound,defensive,[],202711,,,1610612762,61,47,2021-11-17T04:00:59Z,3190000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:3),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,323.0,3.0,3.0,0.0,,,
325,PT00M02.50S,2021-11-17T04:01:05.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202711,92.19776609724047,54.41176470588235,1610612762,63,47,2021-11-17T04:01:18Z,3200000,22.0,21.0,1,right,B. Bogdanovic running Layup (12 PTS),[202711],1610612762.0,UTA,running,,,Bogdanovic,B. Bogdanovic,,,,,3.03,Made,12.0,,,,,,,,,,,,,,,,,
326,PT00M00.00S,2021-11-17T04:01:11.3Z,2,REGULAR,3pt,Jump Shot,[],1630198,63.15703022339028,66.17647058823529,1610612755,63,47,2021-11-17T04:01:25Z,3210000,-81.0,541.0,1,left,MISS I. Joe 54' bank 3PT,[1630198],1610612755.0,PHI,bank,,,Joe,I. Joe,,,,,54.72,Missed,,,,,,,,,,,,,,,,,,
327,PT00M00.00S,2021-11-17T04:01:15.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612755,63,47,2021-11-17T04:01:15Z,3220000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,326.0,,,,,,
328,PT00M00.00S,2021-11-17T04:01:16.0Z,2,REGULAR,period,end,[],0,,,1610612755,63,47,2021-11-17T04:01:16Z,3230000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,PT12M00.00S,2021-11-17T04:16:37.4Z,3,REGULAR,substitution,out,['startperiod'],1630198,,,1610612755,63,47,2021-11-17T04:17:11Z,3240000,,,0,,SUB out: I. Joe,[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,
330,PT12M00.00S,2021-11-17T04:16:37.4Z,3,REGULAR,substitution,out,['startperiod'],1627788,,,1610612755,63,47,2021-11-17T04:17:11Z,3250000,,,0,,SUB out: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,
331,PT12M00.00S,2021-11-17T04:16:37.4Z,3,REGULAR,substitution,out,['startperiod'],1627777,,,1610612755,63,47,2021-11-17T04:17:11Z,3260000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
332,PT12M00.00S,2021-11-17T04:16:37.4Z,3,REGULAR,substitution,in,['startperiod'],203083,,,1610612755,63,47,2021-11-17T04:17:11Z,3270000,,,0,,SUB in: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,
333,PT12M00.00S,2021-11-17T04:16:37.4Z,3,REGULAR,substitution,in,['startperiod'],202699,,,1610612755,63,47,2021-11-17T04:17:11Z,3280000,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
334,PT12M00.00S,2021-11-17T04:16:37.4Z,3,REGULAR,substitution,in,['startperiod'],203552,,,1610612755,63,47,2021-11-17T04:17:11Z,3290000,,,0,,SUB in: S. Curry,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
335,PT12M00.00S,2021-11-17T04:17:43.5Z,3,REGULAR,period,start,[],0,,,1610612762,63,47,2021-11-17T04:17:43Z,3300000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,PT11M46.00S,2021-11-17T04:17:56.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],202711,5.732588699080158,44.6078431372549,1610612762,65,47,2021-11-17T04:18:02Z,3310000,27.0,1.0,1,left,B. Bogdanovic cutting Layup (14 PTS) (R. O'Neale 1 AST),"[202711, 1626220]",1610612762.0,UTA,cutting,,,Bogdanovic,B. Bogdanovic,,,,,2.7,Made,14.0,,,,,,R. O'Neale,1626220.0,1.0,,,,,,,,,
341,PT11M31.00S,2021-11-17T04:19:21.6Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,65,47,2021-11-17T04:19:21Z,3360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,PT11M20.00S,2021-11-17T04:19:38.8Z,3,REGULAR,2pt,Jump Shot,[],1629003,89.96386333771353,19.852941176470587,1610612755,65,47,2021-11-17T04:19:45Z,3370000,-151.0,42.0,1,right,MISS S. Milton 15' step back Shot,[1629003],1610612755.0,PHI,step back,,,Milton,S. Milton,,,,,15.64,Missed,,,,,,,,,,,,,,,,,,
343,PT11M18.00S,2021-11-17T04:19:40.8Z,3,REGULAR,rebound,defensive,[],203497,,,1610612762,65,47,2021-11-17T04:19:45Z,3380000,,,0,,R. Gobert REBOUND (Off:0 Def:11),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,342.0,11.0,11.0,0.0,,,
344,PT11M09.00S,2021-11-17T04:19:52.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203497,7.30946123521682,47.30392156862745,1610612762,67,47,2021-11-17T04:19:57Z,3390000,13.0,16.0,1,left,R. Gobert cutting Layup (10 PTS) (M. Conley 3 AST),"[203497, 201144]",1610612762.0,UTA,cutting,,,Gobert,R. Gobert,,,,,2.11,Made,10.0,,,,,,M. Conley,201144.0,3.0,,,,,,,,,
346,PT11M09.00S,2021-11-17T04:19:54.4Z,3,REGULAR,foul,personal,['1freethrow'],203083,,,1610612762,67,47,2021-11-17T04:20:00Z,3410000,,,0,,A. Drummond shooting personal FOUL (1 PF) (Gobert 1 FT),"[203083, 203497]",1610612755.0,PHI,shooting,,,Drummond,A. Drummond,,,,,,,,1162.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,
348,PT11M09.00S,2021-11-17T04:20:16.5Z,3,REGULAR,freethrow,1 of 1,[],203497,,,1610612762,68,47,2021-11-17T04:20:16Z,3430000,,,0,,R. Gobert Free Throw 1 of 1 (11 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
349,PT10M59.00S,2021-11-17T04:20:32.1Z,3,REGULAR,foul,personal,[],202711,,,1610612755,68,47,2021-11-17T04:20:39Z,3440000,,,0,,B. Bogdanovic personal FOUL (2 PF),"[202711, 203083]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,2005.0,2.0,0.0,Drummond,203083.0,,,,,,,,,,,,
351,PT10M44.00S,2021-11-17T04:21:01.9Z,3,REGULAR,turnover,shot clock,['team'],0,,,1610612755,68,47,2021-11-17T04:21:13Z,3460000,,,0,,PHI shot clock Team TURNOVER,[],1610612755.0,PHI,,,,,,,,,,,,,1162.0,,,,,,,,,,,,,,,,
352,PT10M33.00S,2021-11-17T04:21:34.2Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203497,11.383048620236531,42.64705882352941,1610612762,68,47,2021-11-17T04:21:43Z,3470000,37.0,55.0,1,left,MISS R. Gobert 6' cutting Layup - blocked,"[203497, 203083]",1610612762.0,UTA,cutting,,,Gobert,R. Gobert,,,,,6.58,Missed,,,,,,,,,,Drummond,203083.0,,,,,,,
353,PT10M33.00S,2021-11-17T04:21:34.2Z,3,REGULAR,block,,[],203083,,,1610612762,68,47,2021-11-17T04:21:36Z,3480000,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,
354,PT10M30.00S,2021-11-17T04:21:37.2Z,3,REGULAR,rebound,defensive,[],203552,,,1610612755,68,47,2021-11-17T04:21:43Z,3490000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,352.0,1.0,1.0,0.0,,,
355,PT10M22.00S,2021-11-17T04:21:48.0Z,3,REGULAR,turnover,traveling,[],203083,,,1610612755,68,47,2021-11-17T04:21:54Z,3500000,,,0,,A. Drummond traveling TURNOVER (2 TO),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,1162.0,,,,,,,,,,,,,,2.0,,
356,PT10M12.00S,2021-11-17T04:22:11.6Z,3,REGULAR,turnover,bad pass,[],1626220,,,1610612762,68,47,2021-11-17T04:22:23Z,3510000,,,0,,R. O'Neale bad pass TURNOVER (2 TO),"[1626220, 203083]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,2.0,Drummond,203083.0
357,PT10M12.00S,2021-11-17T04:22:11.6Z,3,REGULAR,steal,,[],203083,,,1610612755,68,47,2021-11-17T04:22:13Z,3520000,,,0,,A. Drummond STEAL (1 STL),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,
358,PT10M09.00S,2021-11-17T04:22:14.9Z,3,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203083,92.9862023653088,47.549019607843135,1610612755,68,49,2021-11-17T04:22:56Z,3530000,-12.0,13.0,1,right,A. Drummond running DUNK (6 PTS),[203083],1610612755.0,PHI,running,,,Drummond,A. Drummond,,,,,1.82,Made,6.0,,,,,,,,,,,,,,,,,
359,PT10M09.00S,2021-11-17T04:22:16.6Z,3,REGULAR,foul,personal,['1freethrow'],1626220,,,1610612755,68,49,2021-11-17T04:22:38Z,3540000,,,0,,R. O'Neale shooting personal FOUL (2 PF) (Drummond 1 FT),"[1626220, 203083]",1610612762.0,UTA,shooting,,,O'Neale,R. O'Neale,,,,,,,,201246.0,2.0,0.0,Drummond,203083.0,,,,,,,,,,,,
361,PT10M09.00S,2021-11-17T04:22:49.1Z,3,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",203083,,,1610612755,68,49,2021-11-17T04:22:49Z,3560000,,,0,,MISS A. Drummond Free Throw 1 of 1,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,Missed,,,,,,,,,,,,,,,,,,
362,PT10M07.00S,2021-11-17T04:22:50.6Z,3,REGULAR,rebound,defensive,[],202711,,,1610612762,68,49,2021-11-17T04:22:50Z,3570000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:4),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,361.0,4.0,4.0,0.0,,,
363,PT09M44.00S,2021-11-17T04:23:13.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,17.296320630749015,47.05882352941176,1610612762,70,49,2021-11-17T04:23:19Z,3580000,15.0,110.0,1,left,D. Mitchell 11' floating Jump Shot (13 PTS),[1628378],1610612762.0,UTA,floating,,,Mitchell,D. Mitchell,,,,,11.11,Made,13.0,,,,,,,,,,,,,,,,,
364,PT09M30.00S,2021-11-17T04:23:27.3Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,83.13074901445466,56.372549019607845,1610612755,70,51,2021-11-17T04:23:38Z,3590000,32.0,106.0,1,right,T. Maxey 11' driving floating Jump Shot (14 PTS),[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,11.08,Made,14.0,,,,,,,,,,,,,,,,,
