actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
168,PT00M22.20S,2025-12-23T03:08:55.3Z,1,REGULAR,freethrow,1 of 3,[],1628991,,,1610612763,29,25,2025-12-23T03:23:15Z,1638750,False,,,0,,J. Jackson Jr. Free Throw 1 of 3 (4 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
169,PT00M22.20S,2025-12-23T03:08:55.3Z,1,REGULAR,freethrow,2 of 3,[],1628991,,,1610612763,29,26,2025-12-23T03:23:15Z,1639375,False,,,0,,J. Jackson Jr. Free Throw 2 of 3 (5 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
174,PT00M22.20S,2025-12-23T03:08:55.3Z,1,REGULAR,freethrow,3 of 3,[],1628991,,,1610612763,29,26,2025-12-23T03:23:15Z,1639687,False,,,0,,MISS J. Jackson Jr. Free Throw 3 of 3,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
175,PT00M20.50S,2025-12-23T03:08:57.0Z,1,REGULAR,rebound,offensive,[],1630583,,,1610612763,29,26,2025-12-23T03:23:15Z,1639843,False,,,0,,S. Aldama REBOUND (Off:1 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,174.0,2.0,1.0,1.0,,,,,,,,,,,,,,
176,PT00M20.50S,2025-12-23T03:09:04.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630583,92.59198423127464,49.50980392156863,1610612763,29,28,2025-12-23T04:53:03Z,1664921,False,-2.0,17.0,1,right,S. Aldama putback DUNK (2 PTS),[1630583],1610612763.0,MEM,putback,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,1.73,Made,,,,,2.0,,,,,,,,,,,,,
170,PT00M20.50S,2025-12-23T03:09:05.9Z,1,REGULAR,substitution,out,[],1642964,,,1610612760,29,28,2025-12-23T04:07:47Z,1690000,False,,,0,,SUB out: B. Barnhizer,[1642964],1610612760.0,OKC,,,,Barnhizer,B. Barnhizer,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT00M20.50S,2025-12-23T03:09:05.9Z,1,REGULAR,substitution,out,[],1642285,,,1610612760,29,28,2025-12-23T04:07:47Z,1700000,False,,,0,,SUB out: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT00M20.50S,2025-12-23T03:09:05.9Z,1,REGULAR,substitution,in,[],1642959,,,1610612760,29,28,2025-12-23T04:07:47Z,1710000,False,,,0,,SUB in: C. Youngblood,[1642959],1610612760.0,OKC,,,,Youngblood,C. Youngblood,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT00M20.50S,2025-12-23T03:09:05.9Z,1,REGULAR,substitution,in,[],1642377,,,1610612760,29,28,2025-12-23T04:07:47Z,1720000,False,,,0,,SUB in: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT00M02.40S,2025-12-23T03:09:57.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642349,7.30946123521682,37.745098039215684,1610612760,31,28,2025-12-23T03:10:59Z,1760000,False,61.0,16.0,1,left,A. Mitchell 6' driving floating Jump Shot (3 PTS),[1642349],1610612760.0,OKC,driving floating,,,Mitchell,A. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,6.34,Made,,,,,3.0,,,,,,,,,,,,,
178,PT00M00.30S,2025-12-23T03:10:02.4Z,1,REGULAR,heave,,[],0,,,1610612763,31,28,2025-12-23T03:10:32Z,1770000,False,,,0,,MEM Heave,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Center,45.19,,,,,,,,,,,,,,,,,,,
179,PT00M00.10S,2025-12-23T03:10:02.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,31,28,2025-12-23T03:10:32Z,1780000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Center,,,178.0,,,,,,,,,,,,,,,,,
180,PT00M00.00S,2025-12-23T03:12:45.6Z,1,REGULAR,period,end,[],0,,,1610612763,31,28,2025-12-23T03:12:45Z,1790000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2025-12-23T03:12:49.2Z,2,REGULAR,substitution,out,['startperiod'],1628983,,,1610612763,31,28,2025-12-23T03:13:28Z,1800000,False,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2025-12-23T03:12:49.2Z,2,REGULAR,substitution,out,['startperiod'],1630198,,,1610612763,31,28,2025-12-23T03:13:28Z,1810000,False,,,0,,SUB out: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2025-12-23T03:12:49.2Z,2,REGULAR,substitution,out,['startperiod'],1642959,,,1610612763,31,28,2025-12-23T03:13:28Z,1820000,False,,,0,,SUB out: C. Youngblood,[1642959],1610612760.0,OKC,,,,Youngblood,C. Youngblood,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT12M00.00S,2025-12-23T03:12:49.2Z,2,REGULAR,substitution,out,['startperiod'],1630583,,,1610612763,31,28,2025-12-23T03:13:28Z,1830000,False,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2025-12-23T03:12:49.2Z,2,REGULAR,substitution,out,['startperiod'],1641765,,,1610612763,31,28,2025-12-23T03:13:28Z,1840000,False,,,0,,SUB out: O. Prosper,[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2025-12-23T03:12:49.2Z,2,REGULAR,substitution,out,['startperiod'],1642377,,,1610612763,31,28,2025-12-23T03:13:28Z,1850000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2025-12-23T03:12:49.2Z,2,REGULAR,substitution,in,['startperiod'],1641717,,,1610612763,31,28,2025-12-23T03:13:28Z,1860000,False,,,0,,SUB in: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2025-12-23T03:12:49.2Z,2,REGULAR,substitution,in,['startperiod'],1629026,,,1610612763,31,28,2025-12-23T03:13:28Z,1870000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2025-12-23T03:12:49.2Z,2,REGULAR,substitution,in,['startperiod'],1631114,,,1610612763,31,28,2025-12-23T03:13:28Z,1880000,False,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT12M00.00S,2025-12-23T03:12:49.2Z,2,REGULAR,substitution,in,['startperiod'],1629111,,,1610612763,31,28,2025-12-23T03:13:28Z,1890000,False,,,0,,SUB in: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT12M00.00S,2025-12-23T03:12:49.2Z,2,REGULAR,substitution,in,['startperiod'],1642285,,,1610612763,31,28,2025-12-23T03:13:28Z,1900000,False,,,0,,SUB in: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT12M00.00S,2025-12-23T03:12:49.2Z,2,REGULAR,substitution,in,['startperiod'],1641713,,,1610612763,31,28,2025-12-23T03:13:28Z,1910000,False,,,0,,SUB in: G. Jackson,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT12M00.00S,2025-12-23T03:13:41.1Z,2,REGULAR,period,start,[],0,,,1610612760,31,28,2025-12-23T03:13:41Z,1920000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT11M48.00S,2025-12-23T03:13:52.7Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1642382,5.995400788436268,50.245098039215684,1610612760,33,28,2025-12-23T03:13:57Z,1930000,False,-1.0,4.0,1,left,B. Carlson alley-oop DUNK (5 PTS) (A. Mitchell 1 AST),"[1642382, 1642349]",1610612760.0,OKC,alley-oop,,,Carlson,B. Carlson,,,,,Restricted Area,0-8 Center,0.41,Made,,,,,5.0,A. Mitchell,1642349.0,1.0,,,,,,,,,,
196,PT11M35.00S,2025-12-23T03:14:04.3Z,2,REGULAR,3pt,Jump Shot,[],1629111,69.99014454664915,74.75490196078431,1610612763,33,31,2025-12-23T03:14:22Z,1950000,False,124.0,230.0,1,right,J. Landale 26' 3PT  (8 PTS) (C. Coward 3 AST),"[1629111, 1642907]",1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Right Center,26.08,Made,,,,,8.0,C. Coward,1642907.0,3.0,,,,,,,,,,
197,PT11M22.00S,2025-12-23T03:14:17.8Z,2,REGULAR,3pt,Jump Shot,[],1641717,21.632720105124836,89.95098039215686,1610612760,33,31,2025-12-23T03:14:23Z,1960000,False,-200.0,151.0,1,left,MISS C. Wallace 25' 3PT,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Left Center,25.03,Missed,,,,,,,,,,,,,,,,,,
198,PT11M22.00S,2025-12-23T03:14:17.8Z,2,REGULAR,rebound,defensive,[],1628991,,,1610612763,33,31,2025-12-23T03:14:23Z,1970000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,,,197.0,2.0,2.0,0.0,,,,,,,,,,,,,,
199,PT11M06.00S,2025-12-23T03:14:34.4Z,2,REGULAR,turnover,bad pass,[],1642285,,,1610612763,33,31,2025-12-23T03:14:53Z,1980000,False,,,0,,C. Spencer bad pass TURNOVER (3 TO),"[1642285, 1629026]",1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Mid-Range,8-16 Right,,,,,,,,,,,3.0,,,,,,,,Williams,1629026.0
200,PT11M06.00S,2025-12-23T03:14:34.4Z,2,REGULAR,steal,,[],1629026,,,1610612760,33,31,2025-12-23T03:27:17Z,1990000,False,,,0,,K. Williams STEAL (1 STL),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
201,PT10M58.00S,2025-12-23T03:14:41.6Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",1629026,24.655059132720105,40.44117647058824,1610612760,35,31,2025-12-23T03:26:31Z,2000000,False,48.0,179.0,1,left,K. Williams 18' running pullup Jump Shot (7 PTS),[1629026],1610612760.0,OKC,running pullup,,,Williams,K. Williams,,,,,Mid-Range,16-24 Center,18.56,Made,,,,,7.0,,,,,,,,,,,,,
204,PT10M40.00S,2025-12-23T03:14:59.5Z,2,REGULAR,3pt,Jump Shot,[],1641713,92.72339027595268,95.34313725490196,1610612763,35,34,2025-12-23T03:15:10Z,2010000,False,227.0,16.0,1,right,G. Jackson 3PT  (3 PTS) (C. Coward 4 AST),"[1641713, 1642907]",1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Right Corner 3,24+ Right,22.73,Made,,,,,3.0,C. Coward,1642907.0,4.0,,,,,,,,,,
206,PT10M30.00S,2025-12-23T03:15:12.7Z,2,REGULAR,foul,personal,['2freethrow'],1629111,,,1610612760,35,34,2025-12-23T03:15:21Z,2030000,False,,,0,,J. Landale shooting personal FOUL (1 PF) (Williams 2 FT),"[1629111, 1631114]",1610612763.0,MEM,shooting,,,Landale,J. Landale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,101284.0,1.0,0.0,Williams,1631114.0,,
208,PT10M30.00S,2025-12-23T03:15:40.4Z,2,REGULAR,freethrow,1 of 2,[],1631114,,,1610612760,36,34,2025-12-23T03:15:40Z,2050000,False,,,0,,J. Williams Free Throw 1 of 2 (6 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
209,PT10M30.00S,2025-12-23T03:15:55.5Z,2,REGULAR,freethrow,2 of 2,[],1631114,,,1610612760,37,34,2025-12-23T03:15:55Z,2060000,False,,,0,,J. Williams Free Throw 2 of 2 (7 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
210,PT10M15.00S,2025-12-23T03:16:13.6Z,2,REGULAR,3pt,Jump Shot,[],1641713,94.82588699080158,4.411764705882353,1610612763,37,34,2025-12-23T03:16:17Z,2070000,False,-228.0,-4.0,1,right,MISS G. Jackson 3PT,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Left Corner 3,24+ Left,22.79,Missed,,,,,,,,,,,,,,,,,,
211,PT10M13.00S,2025-12-23T03:16:15.6Z,2,REGULAR,rebound,defensive,[],1642349,,,1610612760,37,34,2025-12-23T03:16:17Z,2080000,False,,,0,,A. Mitchell REBOUND (Off:0 Def:1),[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Left Corner 3,24+ Left,,,210.0,1.0,1.0,0.0,,,,,,,,,,,,,,
212,PT10M02.00S,2025-12-23T03:16:26.8Z,2,REGULAR,turnover,bad pass,[],1631114,,,1610612760,37,34,2025-12-23T03:16:31Z,2090000,False,,,0,,J. Williams bad pass TURNOVER (1 TO),"[1631114, 1641713]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,1.0,,,,,,,,Jackson,1641713.0
213,PT10M02.00S,2025-12-23T03:16:26.8Z,2,REGULAR,steal,,[],1641713,,,1610612763,37,34,2025-12-23T03:16:28Z,2100000,False,,,0,,G. Jackson STEAL (1 STL),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
214,PT09M50.00S,2025-12-23T03:16:39.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628991,73.01248357424441,85.5392156862745,1610612763,37,37,2025-12-23T03:16:43Z,2110000,False,178.0,201.0,1,right,J. Jackson Jr. 26' 3PT  (8 PTS) (J. Landale 2 AST),"[1628991, 1629111]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,26.84,Made,,,,,8.0,J. Landale,1629111.0,2.0,,,,,,,,,,
216,PT09M27.00S,2025-12-23T03:17:00.8Z,2,REGULAR,3pt,Jump Shot,[],1629026,27.414586070959263,20.833333333333336,1610612760,37,37,2025-12-23T03:17:06Z,2130000,False,146.0,205.0,1,left,MISS K. Williams 25' 3PT,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Above the Break 3,24+ Right Center,25.17,Missed,,,,,,,,,,,,,,,,,,
217,PT09M26.00S,2025-12-23T03:17:01.8Z,2,REGULAR,rebound,offensive,[],1642349,,,1610612760,37,37,2025-12-23T03:17:06Z,2140000,False,,,0,,A. Mitchell REBOUND (Off:1 Def:1),[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Above the Break 3,24+ Right Center,,,216.0,2.0,1.0,1.0,,,,,,,,,,,,,,
218,PT09M24.00S,2025-12-23T03:17:05.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1641717,28.33442838370565,73.77450980392157,1610612760,40,37,2025-12-23T03:17:10Z,2150000,False,-119.0,214.0,1,left,C. Wallace 24' 3PT  (6 PTS) (A. Mitchell 2 AST),"[1641717, 1642349]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Left Center,24.46,Made,,,,,6.0,A. Mitchell,1642349.0,2.0,,,,,,,,,,
220,PT09M04.00S,2025-12-23T03:17:24.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642285,85.3646517739816,36.51960784313725,1610612763,40,37,2025-12-23T03:17:29Z,2170000,False,-67.0,85.0,1,right,MISS C. Spencer 10' pullup Shot,[1642285],1610612763.0,MEM,pullup,,,Spencer,C. Spencer,,,,,In The Paint (Non-RA),8-16 Left,10.86,Missed,,,,,,,,,,,,,,,,,,
221,PT09M01.00S,2025-12-23T03:17:27.4Z,2,REGULAR,rebound,offensive,[],1642907,,,1610612763,40,37,2025-12-23T03:17:29Z,2180000,False,,,0,,C. Coward REBOUND (Off:1 Def:3),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,In The Paint (Non-RA),8-16 Left,,,220.0,4.0,3.0,1.0,,,,,,,,,,,,,,
222,PT09M01.00S,2025-12-23T03:17:27.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642907,92.72339027595268,48.529411764705884,1610612763,40,39,2025-12-23T03:17:32Z,2190000,False,-7.0,16.0,1,right,C. Coward tip Layup (5 PTS),[1642907],1610612763.0,MEM,tip,,,Coward,C. Coward,,,,,Restricted Area,0-8 Center,1.75,Made,,,,,5.0,,,,,,,,,,,,,
223,PT08M52.00S,2025-12-23T03:17:38.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,6.652431011826544,47.05882352941176,1610612760,40,39,2025-12-23T03:17:45Z,2200000,False,15.0,10.0,1,left,MISS J. Williams driving Layup - blocked,"[1631114, 1641713]",1610612760.0,OKC,driving,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.78,Missed,,,,,,,,,,Jackson,1641713.0,,,,,,,
224,PT08M52.00S,2025-12-23T03:17:38.5Z,2,REGULAR,block,,[],1641713,,,1610612760,40,39,2025-12-23T03:17:40Z,2210000,False,,,0,,G. Jackson BLOCK (1 BLK),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
225,PT08M52.00S,2025-12-23T03:17:38.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612760,40,39,2025-12-23T03:17:45Z,2220000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,223.0,,,,,,,,,,,,,,,,,
227,PT08M52.00S,2025-12-23T03:17:46.8Z,2,REGULAR,substitution,out,[],1629026,,,1610612760,40,39,2025-12-23T03:17:50Z,2240000,False,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT08M52.00S,2025-12-23T03:17:46.8Z,2,REGULAR,substitution,in,[],1630198,,,1610612760,40,39,2025-12-23T03:17:50Z,2250000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT08M43.00S,2025-12-23T03:18:10.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1642382,34.37910643889619,36.029411764705884,1610612760,40,39,2025-12-23T03:18:15Z,2260000,False,70.0,271.0,1,left,MISS B. Carlson 27' 3PT,[1642382],1610612760.0,OKC,,,,Carlson,B. Carlson,,,,,Above the Break 3,24+ Center,27.96,Missed,,,,,,,,,,,,,,,,,,
230,PT08M41.00S,2025-12-23T03:18:12.3Z,2,REGULAR,rebound,offensive,[],1631114,,,1610612760,40,39,2025-12-23T03:18:15Z,2270000,False,,,0,,J. Williams REBOUND (Off:1 Def:2),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,,,229.0,3.0,2.0,1.0,,,,,,,,,,,,,,
231,PT08M39.00S,2025-12-23T03:18:15.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630198,27.283180026281208,79.41176470588235,1610612760,40,39,2025-12-23T03:18:22Z,2280000,False,-147.0,204.0,1,left,MISS I. Joe 25' 3PT,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Left Center,25.15,Missed,,,,,,,,,,,,,,,,,,
232,PT08M37.00S,2025-12-23T03:18:17.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612763,40,39,2025-12-23T03:18:22Z,2290000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Left Center,,,231.0,,,,,,,,,,,,,,,,,
233,PT08M37.00S,2025-12-23T03:18:21.3Z,2,REGULAR,foul,personal,[],1642349,,,1610612763,40,39,2025-12-23T03:18:37Z,2300000,False,,,0,,A. Mitchell loose ball personal FOUL (1 PF),"[1642349, 1628991]",1610612760.0,OKC,loose ball,,,Mitchell,A. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,204058.0,1.0,0.0,Jackson Jr.,1628991.0,,
235,PT08M25.00S,2025-12-23T03:18:53.8Z,2,REGULAR,3pt,Jump Shot,[],1628991,69.46452036793693,73.77450980392157,1610612763,40,39,2025-12-23T03:19:01Z,2320000,False,119.0,235.0,1,right,MISS J. Jackson Jr. 26' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,26.29,Missed,,,,,,,,,,,,,,,,,,
236,PT08M20.00S,2025-12-23T03:18:58.8Z,2,REGULAR,rebound,defensive,[],1642349,,,1610612760,40,39,2025-12-23T03:19:01Z,2330000,False,,,0,,A. Mitchell REBOUND (Off:1 Def:2),[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Above the Break 3,24+ Right Center,,,235.0,3.0,2.0,1.0,,,,,,,,,,,,,,
237,PT08M14.00S,2025-12-23T03:19:05.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642349,4.155716162943495,59.068627450980394,1610612760,42,39,2025-12-23T03:31:57Z,2340000,False,-45.0,-13.0,1,left,A. Mitchell driving Layup (5 PTS),[1642349],1610612760.0,OKC,driving,,,Mitchell,A. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,4.72,Made,,,,,5.0,,,,,,,,,,,,,
238,PT08M14.00S,2025-12-23T03:19:11.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,42,39,2025-12-23T03:19:11Z,2350000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT08M05.00S,2025-12-23T03:23:05.6Z,2,REGULAR,turnover,8-second-violation,['team'],0,,,1610612763,42,39,2025-12-23T03:23:16Z,2360000,False,,,0,,MEM 8-second-violation Team TURNOVER,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,204058.0,,,,,,
240,PT07M47.00S,2025-12-23T03:23:31.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630198,25.04927726675427,13.970588235294118,1610612760,45,39,2025-12-23T03:23:36Z,2370000,False,180.0,183.0,1,left,I. Joe 25' 3PT  (5 PTS) (J. Williams 1 AST),"[1630198, 1631114]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Right Center,25.68,Made,,,,,5.0,J. Williams,1631114.0,1.0,,,,,,,,,,
242,PT07M27.00S,2025-12-23T03:23:50.7Z,2,REGULAR,3pt,Jump Shot,[],1642907,80.3712220762155,5.392156862745098,1610612763,45,39,2025-12-23T03:23:57Z,2390000,False,-223.0,132.0,1,right,MISS C. Coward 25' 3PT,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Left Center,25.91,Missed,,,,,,,,,,,,,,,,,,
243,PT07M24.00S,2025-12-23T03:23:53.7Z,2,REGULAR,rebound,offensive,[],1629111,,,1610612763,45,39,2025-12-23T03:23:57Z,2400000,False,,,0,,J. Landale REBOUND (Off:1 Def:2),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Left Center,,,242.0,3.0,2.0,1.0,,,,,,,,,,,,,,
244,PT07M24.00S,2025-12-23T03:23:54.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629111,92.32917214191852,54.166666666666664,1610612763,45,39,2025-12-23T03:23:59Z,2410000,False,21.0,20.0,1,right,MISS J. Landale putback Layup,[1629111],1610612763.0,MEM,putback,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,,
245,PT07M22.00S,2025-12-23T03:23:56.9Z,2,REGULAR,rebound,defensive,[],1642349,,,1610612760,45,39,2025-12-23T03:23:59Z,2420000,False,,,0,,A. Mitchell REBOUND (Off:1 Def:3),[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Restricted Area,0-8 Center,,,244.0,4.0,3.0,1.0,,,,,,,,,,,,,,
246,PT07M17.00S,2025-12-23T03:24:01.6Z,2,REGULAR,3pt,Jump Shot,[],1642349,31.61957950065703,59.80392156862745,1610612760,45,39,2025-12-23T03:24:07Z,2430000,False,-49.0,245.0,1,left,MISS A. Mitchell 24' pullup 3PT,[1642349],1610612760.0,OKC,pullup,,,Mitchell,A. Mitchell,,,,,Above the Break 3,24+ Center,24.96,Missed,,,,,,,,,,,,,,,,,,
247,PT07M14.00S,2025-12-23T03:24:04.7Z,2,REGULAR,rebound,offensive,[],1642382,,,1610612760,45,39,2025-12-23T03:24:04Z,2440000,False,,,0,,B. Carlson REBOUND (Off:1 Def:2),[1642382],1610612760.0,OKC,,,,Carlson,B. Carlson,,,,,Above the Break 3,24+ Center,,,246.0,3.0,2.0,1.0,,,,,,,,,,,,,,
248,PT07M10.00S,2025-12-23T03:24:08.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1631114,7.835085413929041,59.31372549019608,1610612760,47,39,2025-12-23T03:24:15Z,2450000,False,-47.0,21.0,1,left,J. Williams pullup Jump Shot (9 PTS) (B. Carlson 2 AST),"[1631114, 1642382]",1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,5.12,Made,,,,,9.0,B. Carlson,1642382.0,2.0,,,,,,,,,,
