actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
181,PT01M07.00S,2024-11-28T00:38:17.4Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612739,34,29,2024-11-28T00:38:17Z,1780000,False,,,0,,MISS D. Mitchell Free Throw 1 of 2,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
182,PT01M07.00S,2024-11-28T00:38:17.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,34,29,2024-11-28T00:38:17Z,1790000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,181.0,,,,,,,,,,,,,,
183,PT01M07.00S,2024-11-28T00:38:40.8Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612739,35,29,2024-11-28T00:38:40Z,1800000,False,,,0,,D. Mitchell Free Throw 2 of 2 (3 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,Made,,,,,,,,,,3.0,,,,,
184,PT00M46.80S,2024-11-28T00:39:05.5Z,1,REGULAR,3pt,Jump Shot,[],203992,5.075558475689881,3.431372549019608,1610612737,35,32,2024-11-28T00:39:12Z,1810000,False,233.0,-5.0,1,left,B. Bogdanović 3PT step back (8 PTS),[203992],1610612737.0,ATL,step back,,,Bogdanović,B. Bogdanović,,,,,Right Corner 3,24+ Right,,,,23.28,Made,,,,,,,,,,8.0,,,,,
186,PT00M34.60S,2024-11-28T00:39:24.8Z,1,REGULAR,3pt,Jump Shot,[],1630241,68.54467805519053,68.38235294117648,1610612739,35,32,2024-11-28T00:39:28Z,1830000,False,92.0,243.0,1,right,MISS S. Merrill 26' 3PT,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Right Center,,,,26.0,Missed,,,,,,,,,,,,,,,
187,PT00M32.00S,2024-11-28T00:39:27.4Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,35,32,2024-11-28T00:39:28Z,1840000,False,,,0,,J. Johnson REBOUND (Off:0 Def:3),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,186.0,3.0,3.0,0.0,,,,,,,,,,,
189,PT00M18.10S,2024-11-28T00:39:52.7Z,1,REGULAR,substitution,out,[],1629660,,,1610612737,35,32,2024-11-28T00:40:04Z,1860000,False,,,0,,SUB out: T. Jerome,[1629660],1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT00M18.10S,2024-11-28T00:39:52.7Z,1,REGULAR,substitution,in,[],1630171,,,1610612737,35,32,2024-11-28T00:40:04Z,1870000,False,,,0,,SUB in: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT00M11.80S,2024-11-28T00:40:13.7Z,1,REGULAR,3pt,Jump Shot,[],1641723,9.543363994743759,97.30392156862744,1610612737,35,35,2024-11-28T00:40:17Z,1880000,False,-237.0,37.0,1,left,K. Bufkin 3PT  (8 PTS) (J. Johnson 3 AST),"[1641723, 1630552]",1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,Left Corner 3,24+ Left,,,,23.94,Made,,,,,,,,,,8.0,,,J. Johnson,1630552.0,3.0
193,PT00M00.00S,2024-11-28T00:40:34.6Z,1,REGULAR,3pt,Jump Shot,[],1628378,77.08607095926413,89.2156862745098,1610612739,35,35,2024-11-28T00:40:42Z,1900000,False,196.0,163.0,1,right,MISS D. Mitchell 25' step back bank 3PT,[1628378],1610612739.0,CLE,step back bank,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,25.49,Missed,,,,,,,,,,,,,,,
194,PT00M00.00S,2024-11-28T00:40:34.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,35,35,2024-11-28T00:41:09Z,1910000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,193.0,,,,,,,,,,,,,,
195,PT00M00.00S,2024-11-28T00:40:43.5Z,1,REGULAR,period,end,[],0,,,1610612739,35,35,2024-11-28T00:41:09Z,1920000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT12M00.00S,2024-11-28T00:41:04.1Z,2,REGULAR,substitution,out,['startperiod'],1630171,,,1610612739,35,35,2024-11-28T00:43:12Z,1930000,False,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT12M00.00S,2024-11-28T00:41:04.1Z,2,REGULAR,substitution,in,['startperiod'],1641854,,,1610612739,35,35,2024-11-28T00:43:12Z,1940000,False,,,0,,SUB in: C. Porter Jr.,[1641854],1610612739.0,CLE,,,,Porter Jr.,C. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT12M00.00S,2024-11-28T00:43:19.0Z,2,REGULAR,period,start,[],0,,,1610612737,35,35,2024-11-28T00:43:19Z,1950000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT11M38.00S,2024-11-28T00:43:40.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,6.389618922470433,51.9607843137255,1610612737,35,35,2024-11-28T00:43:45Z,1960000,False,-10.0,8.0,1,left,MISS O. Okongwu cutting Layup,[1630168],1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,1.24,Missed,,,,,,,,,,,,,,,
200,PT11M36.00S,2024-11-28T00:43:42.4Z,2,REGULAR,rebound,defensive,[],1627777,,,1610612739,35,35,2024-11-28T00:43:45Z,1970000,False,,,0,,G. Niang REBOUND (Off:0 Def:3),[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Restricted Area,0-8 Center,,,,,,199.0,3.0,3.0,0.0,,,,,,,,,,,
201,PT11M30.00S,2024-11-28T00:43:48.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630241,77.08607095926413,88.97058823529412,1610612739,38,35,2024-11-28T00:44:25Z,1980000,False,195.0,163.0,1,right,S. Merrill 25' 3PT running (3 PTS) (E. Mobley 3 AST),"[1630241, 1630596]",1610612739.0,CLE,running,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Right Center,,,,25.4,Made,,,,,,,,,,3.0,,,E. Mobley,1630596.0,3.0
203,PT11M20.00S,2024-11-28T00:43:58.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,9.674770039421814,44.85294117647059,1610612737,38,37,2024-11-28T00:44:02Z,2000000,False,26.0,38.0,1,left,J. Johnson driving floating Jump Shot (5 PTS) (K. Bufkin 1 AST),"[1630552, 1641723]",1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,4.62,Made,,,,,,,,,,5.0,,,K. Bufkin,1641723.0,1.0
206,PT11M03.00S,2024-11-28T00:44:34.2Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,93.38042049934296,52.20588235294118,1610612739,40,37,2024-11-28T00:44:39Z,2030000,False,11.0,10.0,1,right,E. Mobley driving DUNK (8 PTS),[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,1.47,Made,,,,,,,,,,8.0,,,,,
208,PT10M52.00S,2024-11-28T00:44:44.7Z,2,REGULAR,3pt,Jump Shot,[],1630552,33.98488830486202,50.0,1610612737,40,37,2024-11-28T00:45:03Z,2050000,False,0.0,267.0,1,left,MISS J. Johnson 26' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,,,,26.7,Missed,,,,,,,,,,,,,,,
209,PT10M51.00S,2024-11-28T00:44:50.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612739,40,37,2024-11-28T00:44:50Z,2060000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Center,,,,,,208.0,,,,,,,,,,,,,,
211,PT10M40.00S,2024-11-28T00:45:03.1Z,2,REGULAR,3pt,Jump Shot,[],1627777,89.56964520367937,1.9607843137254901,1610612739,43,37,2024-11-28T00:45:07Z,2080000,False,-240.0,46.0,1,right,G. Niang 24' 3PT  (6 PTS) (D. Mitchell 2 AST),"[1627777, 1628378]",1610612739.0,CLE,,,,Niang,G. Niang,,,,,Left Corner 3,24+ Left,,,,24.45,Made,,,,,,,,,,6.0,,,D. Mitchell,1628378.0,2.0
213,PT10M30.00S,2024-11-28T00:45:16.4Z,2,REGULAR,foul,personal,[],1630241,,,1610612737,43,37,2024-11-28T00:45:29Z,2100000,False,,,0,,S. Merrill personal FOUL (1 PF),"[1630241, 1629631]",1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Center,,,,,,,,,,1627524.0,1.0,0.0,Hunter,1629631.0,,,,,,
215,PT10M30.00S,2024-11-28T00:45:27.3Z,2,REGULAR,substitution,out,[],1629631,,,1610612737,43,37,2024-11-28T00:45:41Z,2120000,False,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT10M30.00S,2024-11-28T00:45:27.3Z,2,REGULAR,substitution,out,[],1630168,,,1610612737,43,37,2024-11-28T00:45:41Z,2130000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT10M30.00S,2024-11-28T00:45:27.3Z,2,REGULAR,substitution,in,[],1642258,,,1610612737,43,37,2024-11-28T00:45:41Z,2140000,False,,,0,,SUB in: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT10M30.00S,2024-11-28T00:45:27.3Z,2,REGULAR,substitution,in,[],203991,,,1610612737,43,37,2024-11-28T00:45:41Z,2150000,False,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT10M13.00S,2024-11-28T00:45:58.7Z,2,REGULAR,2pt,Jump Shot,[],1641723,21.23850197109067,19.607843137254903,1610612737,43,37,2024-11-28T00:46:50Z,2160000,False,152.0,147.0,1,left,MISS K. Bufkin 21' step back Shot,[1641723],1610612737.0,ATL,step back,,,Bufkin,K. Bufkin,,,,,Mid-Range,16-24 Right Center,,,,21.15,Missed,,,,,,,,,,,,,,,
220,PT10M10.00S,2024-11-28T00:46:01.7Z,2,REGULAR,rebound,defensive,[],1630241,,,1610612739,43,37,2024-11-28T00:46:02Z,2170000,False,,,0,,S. Merrill REBOUND (Off:1 Def:1),[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Mid-Range,16-24 Right Center,,,,,,219.0,2.0,1.0,1.0,,,,,,,,,,,
221,PT10M04.00S,2024-11-28T00:46:10.4Z,2,REGULAR,foul,personal,['2freethrow'],1642258,,,1610612739,43,37,2024-11-28T00:46:17Z,2180000,False,,,0,,Z. Risacher shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1642258, 1628378]",1610612737.0,ATL,shooting,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627524.0,1.0,0.0,Mitchell,1628378.0,,,,,,
223,PT10M04.00S,2024-11-28T00:46:36.5Z,2,REGULAR,freethrow,1 of 2,[],1628378,,,1610612739,44,37,2024-11-28T00:46:36Z,2200000,False,,,0,,D. Mitchell Free Throw 1 of 2 (4 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,Made,,,,,,,,,,4.0,,,,,
224,PT10M04.00S,2024-11-28T00:46:57.0Z,2,REGULAR,freethrow,2 of 2,[],1628378,,,1610612739,45,37,2024-11-28T00:46:57Z,2210000,False,,,0,,D. Mitchell Free Throw 2 of 2 (5 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,Made,,,,,,,,,,5.0,,,,,
225,PT09M51.00S,2024-11-28T00:47:12.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,8.492115637319317,50.98039215686274,1610612737,45,37,2024-11-28T00:47:15Z,2220000,False,-5.0,27.0,1,left,MISS J. Johnson driving floating Shot - blocked,"[1630552, 1630596]",1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,2.77,Missed,,,,,,,,,,,Mobley,1630596.0,,,
226,PT09M51.00S,2024-11-28T00:47:12.1Z,2,REGULAR,block,,[],1630596,,,1610612737,45,37,2024-11-28T00:47:15Z,2230000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
227,PT09M48.00S,2024-11-28T00:47:15.1Z,2,REGULAR,rebound,defensive,[],1630596,,,1610612739,45,37,2024-11-28T00:47:15Z,2240000,False,,,0,,E. Mobley REBOUND (Off:1 Def:4),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,225.0,5.0,4.0,1.0,,,,,,,,,,,
228,PT09M44.00S,2024-11-28T00:47:19.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630241,66.5735873850197,23.03921568627451,1610612739,45,37,2024-11-28T00:47:23Z,2250000,False,-135.0,262.0,1,right,MISS S. Merrill 29' running 3PT,[1630241],1610612739.0,CLE,running,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Left Center,,,,29.44,Missed,,,,,,,,,,,,,,,
229,PT09M41.00S,2024-11-28T00:47:22.2Z,2,REGULAR,rebound,defensive,[],1630552,,,1610612737,45,37,2024-11-28T00:47:23Z,2260000,False,,,0,,J. Johnson REBOUND (Off:0 Def:4),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,228.0,4.0,4.0,0.0,,,,,,,,,,,
230,PT09M40.00S,2024-11-28T00:47:24.7Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203992,7.30946123521682,47.549019607843135,1610612737,45,37,2024-11-28T00:48:57Z,2270000,False,12.0,16.0,1,left,MISS B. Bogdanović running Layup - blocked,"[203992, 1630241]",1610612737.0,ATL,running,,,Bogdanović,B. Bogdanović,,,,,Restricted Area,0-8 Center,,,,2.03,Missed,,,,,,,,,,,Merrill,1630241.0,,,
231,PT09M40.00S,2024-11-28T00:47:24.7Z,2,REGULAR,block,,[],1630241,,,1610612737,45,37,2024-11-28T00:47:32Z,2280000,False,,,0,,S. Merrill BLOCK (1 BLK),[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
232,PT09M40.00S,2024-11-28T00:47:24.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612737,45,37,2024-11-28T00:47:35Z,2290000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,230.0,,,,,,,,,,,,,,
234,PT09M40.00S,2024-11-28T00:47:37.5Z,2,REGULAR,substitution,out,[],1630241,,,1610612737,45,37,2024-11-28T00:47:55Z,2310000,False,,,0,,SUB out: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT09M40.00S,2024-11-28T00:47:37.5Z,2,REGULAR,substitution,out,[],1627777,,,1610612737,45,37,2024-11-28T00:47:55Z,2320000,False,,,0,,SUB out: G. Niang,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT09M40.00S,2024-11-28T00:47:37.5Z,2,REGULAR,substitution,in,[],1642281,,,1610612737,45,37,2024-11-28T00:47:55Z,2330000,False,,,0,,SUB in: J. Tyson,[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT09M40.00S,2024-11-28T00:47:37.5Z,2,REGULAR,substitution,in,[],1630171,,,1610612737,45,37,2024-11-28T00:47:55Z,2340000,False,,,0,,SUB in: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT09M34.00S,2024-11-28T00:48:04.6Z,2,REGULAR,foul,personal,['3freethrow'],1630171,,,1610612737,45,37,2024-11-28T00:48:15Z,2350000,False,,,0,,I. Okoro shooting personal FOUL (1 PF) (Bogdanović 3 FT),"[1630171, 203992]",1610612739.0,CLE,shooting,,,Okoro,I. Okoro,,,,,Left Corner 3,24+ Left,,,,,,,,,,1628951.0,1.0,0.0,Bogdanović,203992.0,,,,,,
240,PT09M34.00S,2024-11-28T00:48:34.9Z,2,REGULAR,freethrow,1 of 3,['2ndchance'],203992,,,1610612737,45,38,2024-11-28T00:48:34Z,2370000,False,,,0,,B. Bogdanović Free Throw 1 of 3 (9 PTS),[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,,,,,,,Made,,,,,,,,,,9.0,,,,,
241,PT09M34.00S,2024-11-28T00:48:52.4Z,2,REGULAR,freethrow,2 of 3,['2ndchance'],203992,,,1610612737,45,39,2024-11-28T00:48:52Z,2380000,False,,,0,,B. Bogdanović Free Throw 2 of 3 (10 PTS),[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,,,,,,,Made,,,,,,,,,,10.0,,,,,
242,PT09M34.00S,2024-11-28T00:49:11.6Z,2,REGULAR,freethrow,3 of 3,['2ndchance'],203992,,,1610612737,45,40,2024-11-28T00:49:11Z,2390000,False,,,0,,B. Bogdanović Free Throw 3 of 3 (11 PTS),[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,,,,,,,Made,,,,,,,,,,11.0,,,,,
243,PT09M25.00S,2024-11-28T00:49:28.4Z,2,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612739,45,40,2024-11-28T00:49:33Z,2400000,False,,,0,,D. Mitchell bad pass out-of-bounds TURNOVER (2 TO),[1628378],1610612739.0,CLE,bad pass,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,2.0,,,,,,,,,202041.0,,,,,,,,,,
244,PT09M16.00S,2024-11-28T00:49:40.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1642258,29.38567674113009,15.441176470588236,1610612737,45,40,2024-11-28T00:49:44Z,2410000,False,173.0,224.0,1,left,MISS Z. Risacher 28' 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,,,,28.27,Missed,,,,,,,,,,,,,,,
245,PT09M13.00S,2024-11-28T00:49:43.1Z,2,REGULAR,rebound,defensive,[],1642281,,,1610612739,45,40,2024-11-28T00:49:44Z,2420000,False,,,0,,J. Tyson REBOUND (Off:0 Def:1),[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Above the Break 3,24+ Right Center,,,,,,244.0,1.0,1.0,0.0,,,,,,,,,,,
247,PT09M07.00S,2024-11-28T00:49:56.2Z,2,REGULAR,substitution,out,[],1630552,,,1610612739,45,40,2024-11-28T00:50:16Z,2440000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT09M07.00S,2024-11-28T00:49:56.2Z,2,REGULAR,substitution,out,[],1641723,,,1610612739,45,40,2024-11-28T00:50:16Z,2450000,False,,,0,,SUB out: K. Bufkin,[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT09M07.00S,2024-11-28T00:49:56.2Z,2,REGULAR,substitution,in,[],1630700,,,1610612739,45,40,2024-11-28T00:50:16Z,2460000,False,,,0,,SUB in: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT09M07.00S,2024-11-28T00:49:56.2Z,2,REGULAR,substitution,in,[],1629027,,,1610612739,45,40,2024-11-28T00:50:16Z,2470000,False,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT08M55.00S,2024-11-28T00:50:24.9Z,2,REGULAR,3pt,Jump Shot,[],1630171,93.51182654402102,97.30392156862744,1610612739,45,40,2024-11-28T00:50:29Z,2480000,False,237.0,8.0,1,right,MISS I. Okoro 3PT,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,,,,23.67,Missed,,,,,,,,,,,,,,,
252,PT08M52.00S,2024-11-28T00:50:27.9Z,2,REGULAR,rebound,defensive,[],1629027,,,1610612737,45,40,2024-11-28T00:50:29Z,2490000,False,,,0,,T. Young REBOUND (Off:0 Def:2),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Right Corner 3,24+ Right,,,,,,251.0,2.0,2.0,0.0,,,,,,,,,,,
253,PT08M30.00S,2024-11-28T00:50:51.3Z,2,REGULAR,2pt,Jump Shot,[],203992,5.469776609724048,71.32352941176471,1610612737,45,40,2024-11-28T00:51:57Z,2500000,False,-107.0,-1.0,1,left,MISS B. Bogdanović 10' step back Shot,[203992],1610612737.0,ATL,step back,,,Bogdanović,B. Bogdanović,,,,,Mid-Range,8-16 Left,,,,10.66,Missed,,,,,,,,,,,,,,,
254,PT08M30.00S,2024-11-28T00:50:51.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612737,45,40,2024-11-28T00:51:57Z,2510000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Mid-Range,8-16 Left,,,,,,253.0,,,,,,,,,,,,,,
255,PT08M30.00S,2024-11-28T00:50:53.9Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612737,45,40,2024-11-28T00:51:01Z,2520000,False,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628951.0,,,,,,,,,,
256,PT08M15.00S,2024-11-28T00:51:17.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628378,67.88764783180025,23.774509803921568,1610612739,48,40,2024-11-28T00:51:20Z,2530000,False,-131.0,249.0,1,right,D. Mitchell 28' 3PT pullup (8 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,28.18,Made,,,,,,,,,,8.0,,,,,
257,PT08M01.00S,2024-11-28T00:51:31.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203991,6.783837056504599,50.98039215686274,1610612737,48,40,2024-11-28T00:51:39Z,2540000,False,-5.0,11.0,1,left,MISS C. Capela reverse Layup,[203991],1610612737.0,ATL,reverse,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,1.23,Missed,,,,,,,,,,,,,,,
258,PT07M58.00S,2024-11-28T00:51:34.1Z,2,REGULAR,rebound,defensive,[],1630596,,,1610612739,48,40,2024-11-28T00:51:34Z,2550000,False,,,0,,E. Mobley REBOUND (Off:1 Def:5),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,257.0,6.0,5.0,1.0,,,,,,,,,,,
259,PT07M52.00S,2024-11-28T00:51:39.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,94.30026281208936,51.470588235294116,1610612739,48,40,2024-11-28T00:51:45Z,2560000,False,7.0,1.0,1,right,MISS D. Mitchell driving Layup,[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,0.75,Missed,,,,,,,,,,,,,,,
260,PT07M49.00S,2024-11-28T00:51:42.6Z,2,REGULAR,rebound,defensive,[],1630700,,,1610612737,48,40,2024-11-28T00:51:45Z,2570000,False,,,0,,D. Daniels REBOUND (Off:1 Def:2),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,259.0,3.0,2.0,1.0,,,,,,,,,,,
261,PT07M43.00S,2024-11-28T00:51:48.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642258,7.046649145860711,54.90196078431373,1610612737,48,42,2024-11-28T00:51:53Z,2580000,False,-25.0,14.0,1,left,Z. Risacher driving floating bank Jump Shot (2 PTS) (T. Young 4 AST),"[1642258, 1629027]",1610612737.0,ATL,driving floating bank,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,2.81,Made,,,,,,,,,,2.0,,,T. Young,1629027.0,4.0
263,PT07M29.00S,2024-11-28T00:52:07.2Z,2,REGULAR,foul,personal,[],1630700,,,1610612739,48,42,2024-11-28T00:52:12Z,2600000,False,,,0,,D. Daniels personal FOUL (1 PF),"[1630700, 1628378]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,202041.0,1.0,0.0,Mitchell,1628378.0,,,,,,
265,PT07M29.00S,2024-11-28T00:52:13.1Z,2,REGULAR,substitution,out,[],1630596,,,1610612739,48,42,2024-11-28T00:52:28Z,2620000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT07M29.00S,2024-11-28T00:52:13.1Z,2,REGULAR,substitution,out,[],1628378,,,1610612739,48,42,2024-11-28T00:52:28Z,2630000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT07M29.00S,2024-11-28T00:52:13.1Z,2,REGULAR,substitution,in,[],1629636,,,1610612739,48,42,2024-11-28T00:52:28Z,2640000,False,,,0,,SUB in: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT07M29.00S,2024-11-28T00:52:13.1Z,2,REGULAR,substitution,in,[],1628386,,,1610612739,48,42,2024-11-28T00:52:28Z,2650000,False,,,0,,SUB in: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT07M25.00S,2024-11-28T00:52:35.5Z,2,REGULAR,3pt,Jump Shot,[],1641854,71.17279894875165,21.323529411764707,1610612739,48,42,2024-11-28T00:52:40Z,2660000,False,-143.0,218.0,1,right,MISS C. Porter Jr. 26' pullup 3PT,[1641854],1610612739.0,CLE,pullup,,,Porter Jr.,C. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,26.14,Missed,,,,,,,,,,,,,,,
