actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
175,PT09M24.00S,2026-03-26T00:13:28.7Z,2,REGULAR,2pt,Jump Shot,[],1631170,5.601182654402102,68.38235294117648,1610612748,25,38,2026-03-26T00:14:10Z,1700000,False,-92.0,0.0,1,left,J. Jaquez Jr. 9' driving floating Jump Shot (5 PTS) (T. Herro 2 AST),"[1631170, 1629639]",1610612748.0,MIA,driving floating,,,,,,Mid-Range,8-16 Left,9.19,Made,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,5.0,,,,,,T. Herro,1629639.0,2.0,,,
177,PT09M24.00S,2026-03-26T00:13:33.7Z,2,REGULAR,foul,personal,['1freethrow'],1641772,,,1610612748,25,38,2026-03-26T00:13:48Z,1720000,False,,,0,,N. Tomlin shooting personal FOUL (3 PF) (Jaquez Jr. 1 FT),"[1641772, 1631170]",1610612739.0,CLE,shooting,,,,,,Mid-Range,8-16 Left,,,Tomlin,N. Tomlin,,,,,,,,,201246.0,3.0,0.0,Jaquez Jr.,1631170.0,,,,,,
179,PT09M24.00S,2026-03-26T00:13:57.6Z,2,REGULAR,freethrow,1 of 1,[],1631170,,,1610612748,25,38,2026-03-26T00:13:57Z,1740000,False,,,0,,MISS J. Jaquez Jr. Free Throw 1 of 1,[1631170],1610612748.0,MIA,,,,,,,,,,Missed,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,
180,PT09M22.00S,2026-03-26T00:13:59.6Z,2,REGULAR,rebound,defensive,[],1630241,,,1610612739,25,38,2026-03-26T00:14:05Z,1750000,False,,,0,,S. Merrill REBOUND (Off:0 Def:1),[1630241],1610612739.0,CLE,,,,,,,,,,,Merrill,S. Merrill,179.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
181,PT09M10.00S,2026-03-26T00:14:11.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628418,87.72996057818659,54.41176470588235,1610612739,25,38,2026-03-26T00:14:17Z,1760000,False,22.0,63.0,1,right,MISS T. Bryant 6' floating Shot,[1628418],1610612739.0,CLE,floating,,,,,,In The Paint (Non-RA),0-8 Center,6.66,Missed,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,
182,PT09M08.00S,2026-03-26T00:14:13.2Z,2,REGULAR,rebound,defensive,[],1642276,,,1610612748,25,38,2026-03-26T00:14:17Z,1770000,False,,,0,,K. Ware REBOUND (Off:0 Def:5),[1642276],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,Ware,K. Ware,181.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
183,PT09M02.00S,2026-03-26T00:14:22.5Z,2,REGULAR,foul,personal,['2freethrow'],1641772,,,1610612748,25,38,2026-03-26T00:14:33Z,1780000,False,,,0,,N. Tomlin shooting personal FOUL (4 PF) (Jakučionis 2 FT),"[1641772, 1642857]",1610612739.0,CLE,shooting,,,,,,Restricted Area,0-8 Center,,,Tomlin,N. Tomlin,,,,,,,,,2004.0,4.0,0.0,Jakučionis,1642857.0,,,,,,
185,PT09M02.00S,2026-03-26T00:14:49.2Z,2,REGULAR,freethrow,1 of 2,[],1642857,,,1610612748,25,39,2026-03-26T00:14:49Z,1800000,False,,,0,,K. Jakučionis Free Throw 1 of 2 (1 PTS),[1642857],1610612748.0,MIA,,,,,,,,,,Made,Jakučionis,K. Jakučionis,,,,,,,,1.0,,,,,,,,,,,
186,PT09M02.00S,2026-03-26T00:14:49.9Z,2,REGULAR,substitution,out,[],1641772,,,1610612748,25,39,2026-03-26T00:14:54Z,1810000,False,,,0,,SUB out: N. Tomlin,[1641772],1610612739.0,CLE,,,,,,,,,,,Tomlin,N. Tomlin,,,,,,,,,,,,,,,,,,,
187,PT09M02.00S,2026-03-26T00:14:49.9Z,2,REGULAR,substitution,in,[],1631165,,,1610612748,25,39,2026-03-26T00:14:54Z,1820000,False,,,0,,SUB in: K. Ellis,[1631165],1610612739.0,CLE,,,,,,,,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,
188,PT09M02.00S,2026-03-26T00:15:15.3Z,2,REGULAR,freethrow,2 of 2,[],1642857,,,1610612748,25,40,2026-03-26T00:15:15Z,1830000,False,,,0,,K. Jakučionis Free Throw 2 of 2 (2 PTS),[1642857],1610612748.0,MIA,,,,,,,,,,Made,Jakučionis,K. Jakučionis,,,,,,,,2.0,,,,,,,,,,,
189,PT08M52.00S,2026-03-26T00:15:28.3Z,2,REGULAR,3pt,Jump Shot,[],1628378,84.31340341655716,99.01960784313727,1610612739,25,40,2026-03-26T00:15:33Z,1840000,False,245.0,95.0,1,right,MISS D. Mitchell 26' 3PT,[1628378],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,26.29,Missed,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
190,PT08M48.00S,2026-03-26T00:15:30.5Z,2,REGULAR,rebound,defensive,[],1642276,,,1610612748,25,40,2026-03-26T00:15:30Z,1850000,False,,,0,,K. Ware REBOUND (Off:0 Def:6),[1642276],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,Ware,K. Ware,189.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
191,PT08M46.00S,2026-03-26T00:15:39.8Z,2,REGULAR,foul,personal,['2freethrow'],203471,,,1610612748,25,40,2026-03-26T00:15:55Z,1860000,False,,,0,,D. Schröder shooting personal FOUL (2 PF) (Larsson 2 FT),"[203471, 1641796]",1610612739.0,CLE,shooting,,,,,,Restricted Area,0-8 Center,,,Schröder,D. Schröder,,,,,,,,,1627526.0,2.0,0.0,Larsson,1641796.0,,,,,,
193,PT08M46.00S,2026-03-26T00:16:04.6Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1641796,,,1610612748,25,41,2026-03-26T00:16:04Z,1880000,False,,,0,,P. Larsson Free Throw 1 of 2 (4 PTS),[1641796],1610612748.0,MIA,,,,,,,,,,Made,Larsson,P. Larsson,,,,,,,,4.0,,,,,,,,,,,
194,PT08M46.00S,2026-03-26T00:16:05.5Z,2,REGULAR,substitution,out,[],1631170,,,1610612748,25,41,2026-03-26T00:16:18Z,1890000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,,,,,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,
195,PT08M46.00S,2026-03-26T00:16:05.5Z,2,REGULAR,substitution,in,[],203952,,,1610612748,25,41,2026-03-26T00:16:18Z,1900000,False,,,0,,SUB in: A. Wiggins,[203952],1610612748.0,MIA,,,,,,,,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,
196,PT08M46.00S,2026-03-26T00:16:30.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,25,41,2026-03-26T00:16:30Z,1910000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT08M46.00S,2026-03-26T00:19:43.7Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1641796,,,1610612748,25,42,2026-03-26T00:19:43Z,1920000,False,,,0,,P. Larsson Free Throw 2 of 2 (5 PTS),[1641796],1610612748.0,MIA,,,,,,,,,,Made,Larsson,P. Larsson,,,,,,,,5.0,,,,,,,,,,,
198,PT08M31.00S,2026-03-26T00:20:04.4Z,2,REGULAR,3pt,Jump Shot,[],1631165,83.78777923784494,97.54901960784314,1610612739,25,42,2026-03-26T00:20:26Z,1930000,False,238.0,100.0,1,right,MISS K. Ellis 25' 3PT,[1631165],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,25.78,Missed,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,
199,PT08M28.00S,2026-03-26T00:20:07.4Z,2,REGULAR,rebound,defensive,[],1642276,,,1610612748,25,42,2026-03-26T00:20:26Z,1940000,False,,,0,,K. Ware REBOUND (Off:0 Def:7),[1642276],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,Ware,K. Ware,198.0,7.0,7.0,0.0,,,,,,,,,,,,,,,
200,PT08M21.00S,2026-03-26T00:20:09.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203952,16.770696452036795,96.81372549019608,1610612748,25,45,2026-03-26T00:21:23Z,1950000,False,-234.0,105.0,1,left,A. Wiggins 25' 3PT running pullup (6 PTS) (P. Larsson 2 AST),"[203952, 1641796]",1610612748.0,MIA,running pullup,,,,,,Above the Break 3,24+ Left Center,25.66,Made,Wiggins,A. Wiggins,,,,,,,,6.0,,,,,,P. Larsson,1641796.0,2.0,,,
202,PT08M04.00S,2026-03-26T00:20:29.4Z,2,REGULAR,foul,personal,['2freethrow'],1642857,,,1610612739,25,45,2026-03-26T00:20:52Z,1970000,False,,,0,,K. Jakučionis shooting personal FOUL (2 PF) (Merrill 2 FT),"[1642857, 1630241]",1610612748.0,MIA,shooting,,,,,,Mid-Range,8-16 Left,,,Jakučionis,K. Jakučionis,,,,,,,,,1627526.0,2.0,0.0,Merrill,1630241.0,,,,,,
204,PT08M04.00S,2026-03-26T00:21:02.1Z,2,REGULAR,freethrow,1 of 2,[],1630241,,,1610612739,26,45,2026-03-26T00:21:02Z,1990000,False,,,0,,S. Merrill Free Throw 1 of 2 (6 PTS),[1630241],1610612739.0,CLE,,,,,,,,,,Made,Merrill,S. Merrill,,,,,,,,6.0,,,,,,,,,,,
205,PT08M04.00S,2026-03-26T00:21:04.3Z,2,REGULAR,substitution,out,[],203471,,,1610612739,26,45,2026-03-26T00:21:43Z,2000000,False,,,0,,SUB out: D. Schröder,[203471],1610612739.0,CLE,,,,,,,,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,
206,PT08M04.00S,2026-03-26T00:21:04.3Z,2,REGULAR,substitution,out,[],1628378,,,1610612739,26,45,2026-03-26T00:21:43Z,2010000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
207,PT08M04.00S,2026-03-26T00:21:04.3Z,2,REGULAR,substitution,out,[],1642276,,,1610612739,26,45,2026-03-26T00:21:43Z,2020000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,,,,,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,
208,PT08M04.00S,2026-03-26T00:21:04.3Z,2,REGULAR,substitution,in,[],201935,,,1610612739,26,45,2026-03-26T00:21:43Z,2030000,False,,,0,,SUB in: J. Harden,[201935],1610612739.0,CLE,,,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,
209,PT08M04.00S,2026-03-26T00:21:04.3Z,2,REGULAR,substitution,in,[],1630596,,,1610612739,26,45,2026-03-26T00:21:43Z,2040000,False,,,0,,SUB in: E. Mobley,[1630596],1610612739.0,CLE,,,,,,,,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,
210,PT08M04.00S,2026-03-26T00:21:04.3Z,2,REGULAR,substitution,in,[],1628389,,,1610612739,26,45,2026-03-26T00:21:43Z,2050000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,,,,,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
211,PT08M04.00S,2026-03-26T00:21:44.8Z,2,REGULAR,freethrow,2 of 2,[],1630241,,,1610612739,27,45,2026-03-26T00:21:44Z,2060000,False,,,0,,S. Merrill Free Throw 2 of 2 (7 PTS),[1630241],1610612739.0,CLE,,,,,,,,,,Made,Merrill,S. Merrill,,,,,,,,7.0,,,,,,,,,,,
212,PT07M50.00S,2026-03-26T00:21:46.4Z,2,REGULAR,3pt,Jump Shot,[],1628389,31.750985545335087,31.61764705882353,1610612748,27,45,2026-03-26T00:23:05Z,2070000,False,92.0,246.0,1,left,MISS B. Adebayo 26' 3PT,[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,26.26,Missed,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
213,PT07M48.00S,2026-03-26T00:21:48.4Z,2,REGULAR,rebound,defensive,[],201935,,,1610612739,27,45,2026-03-26T00:43:54Z,2080000,False,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Harden,J. Harden,212.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
320,PT07M47.00S,2026-03-26T00:21:51.5Z,2,REGULAR,turnover,lost ball,[],201935,,,1610612739,27,45,2026-03-26T00:44:55Z,2085000,False,,,0,,J. Harden lost ball TURNOVER (2 TO),"[201935, 203952]",1610612739.0,CLE,,,,,,,Restricted Area,0-8 Center,,,Harden,J. Harden,,,,,2.0,Wiggins,203952.0,,,,,,,,,,,,
321,PT07M47.00S,2026-03-26T00:21:51.5Z,2,REGULAR,steal,,[],203952,,,1610612748,27,45,2026-03-26T00:44:44Z,2087500,False,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,
214,PT07M36.00S,2026-03-26T00:21:56.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203952,6.915243101182654,35.78431372549019,1610612748,27,47,2026-03-26T00:44:44Z,2090000,False,71.0,13.0,1,left,A. Wiggins 7' driving Layup (8 PTS) (B. Adebayo 2 AST),"[203952, 1628389]",1610612748.0,MIA,driving,,,,,,In The Paint (Non-RA),0-8 Center,7.22,Made,Wiggins,A. Wiggins,,,,,,,,8.0,,,,,,B. Adebayo,1628389.0,2.0,,,
216,PT07M19.00S,2026-03-26T00:22:14.4Z,2,REGULAR,2pt,Jump Shot,[],1628418,77.34888304862024,55.88235294117647,1610612739,27,47,2026-03-26T00:22:22Z,2110000,False,29.0,160.0,1,right,MISS T. Bryant 16' Jump Shot,[1628418],1610612739.0,CLE,,,,,,,Mid-Range,16-24 Center,16.31,Missed,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,
217,PT07M14.00S,2026-03-26T00:22:17.9Z,2,REGULAR,rebound,defensive,[],203952,,,1610612748,27,47,2026-03-26T00:22:17Z,2120000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[203952],1610612748.0,MIA,,,,,,,Mid-Range,16-24 Center,,,Wiggins,A. Wiggins,216.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
218,PT07M00.00S,2026-03-26T00:22:32.5Z,2,REGULAR,2pt,Jump Shot,[],1629639,11.645860709592641,12.990196078431374,1610612748,27,47,2026-03-26T00:22:39Z,2130000,False,185.0,57.0,1,left,MISS T. Herro 19' step back Shot,[1629639],1610612748.0,MIA,step back,,,,,,Mid-Range,16-24 Right,19.36,Missed,Herro,T. Herro,,,,,,,,,,,,,,,,,,,
219,PT06M55.00S,2026-03-26T00:22:37.5Z,2,REGULAR,rebound,defensive,[],201935,,,1610612739,27,47,2026-03-26T00:22:39Z,2140000,False,,,0,,J. Harden REBOUND (Off:0 Def:3),[201935],1610612739.0,CLE,,,,,,,Mid-Range,16-24 Right,,,Harden,J. Harden,218.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
220,PT06M47.00S,2026-03-26T00:22:45.3Z,2,REGULAR,3pt,Jump Shot,[],1630241,78.53153745072274,4.411764705882353,1610612739,27,47,2026-03-26T00:22:50Z,2150000,False,-228.0,149.0,1,right,MISS S. Merrill 27' 3PT,[1630241],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,27.24,Missed,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,
221,PT06M44.00S,2026-03-26T00:22:48.3Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,27,47,2026-03-26T00:22:50Z,2160000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:3),[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,Adebayo,B. Adebayo,220.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
222,PT06M33.00S,2026-03-26T00:22:59.8Z,2,REGULAR,3pt,Jump Shot,[],1642857,19.793035479632064,94.6078431372549,1610612748,27,47,2026-03-26T00:23:04Z,2170000,False,-223.0,134.0,1,left,MISS K. Jakučionis 26' 3PT,[1642857],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,26.0,Missed,Jakučionis,K. Jakučionis,,,,,,,,,,,,,,,,,,,
223,PT06M30.00S,2026-03-26T00:23:02.8Z,2,REGULAR,rebound,defensive,[],1628418,,,1610612739,27,47,2026-03-26T00:23:04Z,2180000,False,,,0,,T. Bryant REBOUND (Off:0 Def:3),[1628418],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Bryant,T. Bryant,222.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
224,PT06M25.00S,2026-03-26T00:23:13.5Z,2,REGULAR,foul,personal,[],1629639,,,1610612739,27,47,2026-03-26T00:23:21Z,2190000,False,,,0,,T. Herro personal FOUL (1 PF),"[1629639, 1630241]",1610612748.0,MIA,,,,,,,Mid-Range,16-24 Right Center,,,Herro,T. Herro,,,,,,,,,201246.0,1.0,0.0,Merrill,1630241.0,,,,,,
226,PT06M25.00S,2026-03-26T00:23:21.0Z,2,REGULAR,substitution,out,[],1628418,,,1610612739,27,47,2026-03-26T00:23:50Z,2210000,False,,,0,,SUB out: T. Bryant,[1628418],1610612739.0,CLE,,,,,,,,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,
227,PT06M25.00S,2026-03-26T00:23:21.0Z,2,REGULAR,substitution,out,[],1629639,,,1610612739,27,47,2026-03-26T00:23:50Z,2220000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,,,,,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,
228,PT06M25.00S,2026-03-26T00:23:21.0Z,2,REGULAR,substitution,out,[],1642857,,,1610612739,27,47,2026-03-26T00:23:50Z,2230000,False,,,0,,SUB out: K. Jakučionis,[1642857],1610612748.0,MIA,,,,,,,,,,,Jakučionis,K. Jakučionis,,,,,,,,,,,,,,,,,,,
229,PT06M25.00S,2026-03-26T00:23:21.0Z,2,REGULAR,substitution,in,[],1642878,,,1610612739,27,47,2026-03-26T00:23:50Z,2240000,False,,,0,,SUB in: T. Proctor,[1642878],1610612739.0,CLE,,,,,,,,,,,Proctor,T. Proctor,,,,,,,,,,,,,,,,,,,
230,PT06M25.00S,2026-03-26T00:23:21.0Z,2,REGULAR,substitution,in,[],1626181,,,1610612739,27,47,2026-03-26T00:23:50Z,2250000,False,,,0,,SUB in: N. Powell,[1626181],1610612748.0,MIA,,,,,,,,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,
231,PT06M25.00S,2026-03-26T00:23:21.0Z,2,REGULAR,substitution,in,[],1630558,,,1610612739,27,47,2026-03-26T00:23:50Z,2260000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612748.0,MIA,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
232,PT06M19.00S,2026-03-26T00:23:51.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,93.51182654402102,50.98039215686274,1610612739,29,47,2026-03-26T00:25:49Z,2270000,False,5.0,8.0,1,right,E. Mobley driving Layup (2 PTS) (S. Merrill 1 AST),"[1630596, 1630241]",1610612739.0,CLE,driving,,,,,,Restricted Area,0-8 Center,0.98,Made,Mobley,E. Mobley,,,,,,,,2.0,,,,,,S. Merrill,1630241.0,1.0,,,
233,PT06M03.00S,2026-03-26T00:24:05.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,29,47,2026-03-26T00:24:05Z,2280000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT05M47.00S,2026-03-26T00:27:48.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,14.273981603153747,42.40196078431372,1610612748,29,47,2026-03-26T00:27:55Z,2300000,False,38.0,82.0,1,left,MISS B. Adebayo 9' turnaround fadeaway Shot,[1628389],1610612748.0,MIA,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,9.01,Missed,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
237,PT05M44.00S,2026-03-26T00:27:51.0Z,2,REGULAR,rebound,defensive,[],201935,,,1610612739,29,47,2026-03-26T00:27:55Z,2310000,False,,,0,,J. Harden REBOUND (Off:0 Def:4),[201935],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),8-16 Center,,,Harden,J. Harden,236.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
238,PT05M25.00S,2026-03-26T00:28:09.8Z,2,REGULAR,turnover,lost ball,[],201935,,,1610612739,29,47,2026-03-26T00:28:17Z,2320000,False,,,0,,J. Harden lost ball TURNOVER (3 TO),"[201935, 203952]",1610612739.0,CLE,,,,,,,Mid-Range,16-24 Center,,,Harden,J. Harden,,,,,3.0,Wiggins,203952.0,,,,,,,,,,,,
239,PT05M25.00S,2026-03-26T00:28:09.8Z,2,REGULAR,steal,,[],203952,,,1610612748,29,47,2026-03-26T00:42:15Z,2330000,False,,,0,,A. Wiggins STEAL (2 STL),[203952],1610612748.0,MIA,,,,,,,Mid-Range,16-24 Center,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,
240,PT05M21.00S,2026-03-26T00:28:13.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203952,6.652431011826544,48.28431372549019,1610612748,29,49,2026-03-26T00:28:22Z,2340000,False,9.0,10.0,1,left,A. Wiggins running DUNK (10 PTS),[203952],1610612748.0,MIA,running,,,,,,Restricted Area,0-8 Center,1.32,Made,Wiggins,A. Wiggins,,,,,,,,10.0,,,,,,,,,,,
241,PT05M08.00S,2026-03-26T00:28:26.7Z,2,REGULAR,3pt,Jump Shot,[],1630241,66.70499342969777,41.42156862745098,1610612739,29,49,2026-03-26T00:28:31Z,2350000,False,-43.0,260.0,1,right,MISS S. Merrill 26' step back 3PT,[1630241],1610612739.0,CLE,step back,,,,,,Above the Break 3,24+ Center,26.4,Missed,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,
242,PT05M05.00S,2026-03-26T00:28:29.7Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,29,49,2026-03-26T00:28:31Z,2360000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:4),[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,Adebayo,B. Adebayo,241.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
243,PT04M58.00S,2026-03-26T00:28:36.4Z,2,REGULAR,3pt,Jump Shot,[],203952,29.77989487516426,12.254901960784313,1610612748,29,49,2026-03-26T00:28:41Z,2370000,False,189.0,227.0,1,left,MISS A. Wiggins 29' 3PT,[203952],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,29.55,Missed,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,
244,PT04M55.00S,2026-03-26T00:28:39.4Z,2,REGULAR,rebound,defensive,[],1631165,,,1610612739,29,49,2026-03-26T00:28:41Z,2380000,False,,,0,,K. Ellis REBOUND (Off:0 Def:1),[1631165],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Ellis,K. Ellis,243.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
245,PT04M43.00S,2026-03-26T00:28:54.2Z,2,REGULAR,foul,personal,['2freethrow'],1626181,,,1610612739,29,49,2026-03-26T00:29:26Z,2390000,False,,,0,,N. Powell shooting personal FOUL (2 PF) (Mobley 2 FT),"[1626181, 1630596]",1610612748.0,MIA,shooting,,,,,,Restricted Area,0-8 Center,,,Powell,N. Powell,,,,,,,,,2004.0,2.0,0.0,Mobley,1630596.0,,,,,,
247,PT04M43.00S,2026-03-26T00:29:32.1Z,2,REGULAR,freethrow,1 of 2,[],1630596,,,1610612739,29,49,2026-03-26T00:29:58Z,2410000,False,,,0,,MISS E. Mobley Free Throw 1 of 2,[1630596],1610612739.0,CLE,,,,,,,,,,Missed,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,
248,PT04M43.00S,2026-03-26T00:29:32.1Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612739,29,49,2026-03-26T00:29:58Z,2420000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,247.0,,,,,,,,,,,,,,,,,,
249,PT04M43.00S,2026-03-26T00:29:34.1Z,2,REGULAR,substitution,out,[],1630241,,,1610612739,29,49,2026-03-26T00:29:38Z,2430000,False,,,0,,SUB out: S. Merrill,[1630241],1610612739.0,CLE,,,,,,,,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,
250,PT04M43.00S,2026-03-26T00:29:34.1Z,2,REGULAR,substitution,in,[],1628378,,,1610612739,29,49,2026-03-26T00:29:38Z,2440000,False,,,0,,SUB in: D. Mitchell,[1628378],1610612739.0,CLE,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
251,PT04M43.00S,2026-03-26T00:29:32.1Z,2,REGULAR,freethrow,2 of 2,[],1630596,,,1610612739,29,49,2026-03-26T00:29:58Z,2450000,False,,,0,,MISS E. Mobley Free Throw 2 of 2,[1630596],1610612739.0,CLE,,,,,,,,,,Missed,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,
252,PT04M41.00S,2026-03-26T00:29:34.1Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,29,49,2026-03-26T00:29:58Z,2460000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:5),[1628389],1610612748.0,MIA,,,,,,,,,,,Adebayo,B. Adebayo,251.0,6.0,5.0,1.0,,,,,,,,,,,,,,,
253,PT04M27.00S,2026-03-26T00:30:09.9Z,2,REGULAR,turnover,lost ball,[],1630558,,,1610612748,29,49,2026-03-26T00:30:13Z,2470000,False,,,0,,D. Mitchell lost ball TURNOVER (1 TO),"[1630558, 1642878]",1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Right,,,Mitchell,D. Mitchell,,,,,1.0,Proctor,1642878.0,,,,,,,,,,,,
254,PT04M27.00S,2026-03-26T00:30:09.9Z,2,REGULAR,steal,,[],1642878,,,1610612739,29,49,2026-03-26T00:30:11Z,2480000,False,,,0,,T. Proctor STEAL (1 STL),[1642878],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),8-16 Right,,,Proctor,T. Proctor,,,,,,,,,,,,,,,,,,,
255,PT04M19.00S,2026-03-26T00:30:18.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628378,83.26215505913272,38.970588235294116,1610612739,31,49,2026-03-26T00:30:21Z,2490000,False,-55.0,105.0,1,right,D. Mitchell 11' driving floating Jump Shot (8 PTS),[1628378],1610612739.0,CLE,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,11.84,Made,Mitchell,D. Mitchell,,,,,,,,8.0,,,,,,,,,,,
