actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
181,PT12M00.00S,2025-12-23T00:43:32.0Z,2,REGULAR,substitution,out,['startperiod'],1642883,,,1610612739,33,36,2025-12-23T00:46:34Z,1770000,False,,,0,,SUB out: S. James,[1642883],1610612766.0,CHA,,,,,,,,,,,James,S. James,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2025-12-23T00:43:32.0Z,2,REGULAR,substitution,out,['startperiod'],1631217,,,1610612739,33,36,2025-12-23T00:46:34Z,1780000,False,,,0,,SUB out: M. Diabaté,[1631217],1610612766.0,CHA,,,,,,,,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2025-12-23T00:43:32.0Z,2,REGULAR,substitution,out,['startperiod'],1630544,,,1610612739,33,36,2025-12-23T00:46:34Z,1790000,False,,,0,,SUB out: T. Mann,[1630544],1610612766.0,CHA,,,,,,,,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,
184,PT12M00.00S,2025-12-23T00:43:32.0Z,2,REGULAR,substitution,in,['startperiod'],1641772,,,1610612739,33,36,2025-12-23T00:46:34Z,1800000,False,,,0,,SUB in: N. Tomlin,[1641772],1610612739.0,CLE,,,,,,,,,,,Tomlin,N. Tomlin,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2025-12-23T00:43:32.0Z,2,REGULAR,substitution,in,['startperiod'],203486,,,1610612739,33,36,2025-12-23T00:46:34Z,1810000,False,,,0,,SUB in: M. Plumlee,[203486],1610612766.0,CHA,,,,,,,,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2025-12-23T00:43:32.0Z,2,REGULAR,substitution,in,['startperiod'],1630163,,,1610612739,33,36,2025-12-23T00:46:34Z,1820000,False,,,0,,SUB in: L. Ball,[1630163],1610612766.0,CHA,,,,,,,,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2025-12-23T00:43:32.0Z,2,REGULAR,substitution,in,['startperiod'],1641706,,,1610612739,33,36,2025-12-23T00:46:34Z,1830000,False,,,0,,SUB in: B. Miller,[1641706],1610612766.0,CHA,,,,,,,,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2025-12-23T00:46:48.7Z,2,REGULAR,period,start,[],0,,,1610612766,33,36,2025-12-23T00:46:48Z,1840000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT11M49.00S,2025-12-23T00:46:59.3Z,2,REGULAR,3pt,Jump Shot,[],1641706,69.85873850197109,72.79411764705883,1610612766,33,36,2025-12-23T00:47:05Z,1850000,False,114.0,231.0,1,right,MISS B. Miller 25' 3PT,[1641706],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Right Center,,,Miller,B. Miller,25.74,Missed,,,,,,,,,,,,,,,,,
190,PT11M44.00S,2025-12-23T00:47:04.3Z,2,REGULAR,rebound,defensive,[],1628378,,,1610612739,33,36,2025-12-23T00:47:05Z,1860000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1628378],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Mitchell,D. Mitchell,,,189.0,2.0,2.0,0.0,,,,,,,,,,,,,
191,PT11M41.00S,2025-12-23T00:47:07.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628366,34.641918528252305,46.568627450980394,1610612739,33,36,2025-12-23T00:48:53Z,1870000,False,17.0,273.0,1,left,MISS L. Ball 27' running pullup 3PT,[1628366],1610612739.0,CLE,running pullup,,,,,,Above the Break 3,24+ Center,,,Ball,L. Ball,27.36,Missed,,,,,,,,,,,,,,,,,
192,PT11M38.00S,2025-12-23T00:47:10.1Z,2,REGULAR,rebound,defensive,[],203486,,,1610612766,33,36,2025-12-23T00:47:15Z,1880000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Center,,,Plumlee,M. Plumlee,,,191.0,2.0,1.0,1.0,,,,,,,,,,,,,
193,PT11M32.00S,2025-12-23T00:47:22.1Z,2,REGULAR,foul,personal,[],1629631,,,1610612766,33,36,2025-12-23T00:47:39Z,1890000,False,,,0,,D. Hunter personal FOUL (2 PF),"[1629631, 203486]",1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,202058.0,,Hunter,D. Hunter,,,,,,,2.0,0.0,Plumlee,203486.0,,,,,,,,,
195,PT11M31.00S,2025-12-23T00:47:36.4Z,2,REGULAR,turnover,bad pass,[],1641706,,,1610612766,33,36,2025-12-23T00:49:41Z,1910000,False,,,0,,B. Miller bad pass TURNOVER (1 TO),"[1641706, 1628366]",1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,,1.0,Miller,B. Miller,,,,,,,,,,,,,,,Ball,1628366.0,,,
196,PT11M31.00S,2025-12-23T00:47:36.4Z,2,REGULAR,steal,,[],1628366,,,1610612739,33,36,2025-12-23T00:47:43Z,1920000,False,,,0,,L. Ball STEAL (1 STL),[1628366],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,
197,PT11M27.00S,2025-12-23T00:47:44.7Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641772,11.908672798948752,47.30392156862745,1610612739,33,36,2025-12-23T00:52:24Z,1930000,False,13.0,59.0,1,left,MISS N. Tomlin 6' running Layup,[1641772],1610612739.0,CLE,running,,,,,,In The Paint (Non-RA),0-8 Center,,,Tomlin,N. Tomlin,6.09,Missed,,,,,,,,,,,,,,,,,
198,PT11M26.00S,2025-12-23T00:47:45.7Z,2,REGULAR,rebound,defensive,[],203486,,,1610612766,33,36,2025-12-23T00:52:24Z,1940000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),0-8 Center,,,Plumlee,M. Plumlee,,,197.0,3.0,2.0,1.0,,,,,,,,,,,,,
199,PT11M17.00S,2025-12-23T00:47:48.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1642851,77.87450722733246,92.8921568627451,1610612766,33,39,2025-12-23T00:48:04Z,1950000,False,214.0,155.0,1,right,K. Knueppel 26' 3PT  (8 PTS) (L. Ball 3 AST),"[1642851, 1630163]",1610612766.0,CHA,,,,,,,Above the Break 3,24+ Right Center,,,Knueppel,K. Knueppel,26.49,Made,,,,,,,,,8.0,L. Ball,1630163.0,3.0,,,,,
201,PT11M05.00S,2025-12-23T00:47:59.6Z,2,REGULAR,3pt,Jump Shot,[],1641772,6.258212877792378,2.2058823529411766,1610612739,36,39,2025-12-23T00:48:08Z,1970000,False,239.0,6.0,1,left,N. Tomlin 3PT  (3 PTS) (D. Hunter 1 AST),"[1641772, 1629631]",1610612739.0,CLE,,,,,,,Right Corner 3,24+ Right,,,Tomlin,N. Tomlin,23.91,Made,,,,,,,,,3.0,D. Hunter,1629631.0,1.0,,,,,
203,PT10M39.00S,2025-12-23T00:48:26.4Z,2,REGULAR,3pt,Jump Shot,[],1642851,64.47109067017082,19.607843137254903,1610612766,36,42,2025-12-23T00:48:31Z,1990000,False,-152.0,281.0,1,right,K. Knueppel 31' 3PT  (11 PTS) (B. Miller 2 AST),"[1642851, 1641706]",1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,,,Knueppel,K. Knueppel,31.99,Made,,,,,,,,,11.0,B. Miller,1641706.0,2.0,,,,,
205,PT10M22.00S,2025-12-23T00:48:43.4Z,2,REGULAR,3pt,Jump Shot,[],1641772,25.18068331143233,12.254901960784313,1610612739,36,42,2025-12-23T00:48:48Z,2010000,False,189.0,184.0,1,left,MISS N. Tomlin 26' 3PT,[1641772],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Tomlin,N. Tomlin,26.37,Missed,,,,,,,,,,,,,,,,,
206,PT10M18.00S,2025-12-23T00:48:47.4Z,2,REGULAR,rebound,defensive,[],1630163,,,1610612766,36,42,2025-12-23T00:48:48Z,2020000,False,,,0,,L. Ball REBOUND (Off:0 Def:3),[1630163],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Right Center,,,Ball,L. Ball,,,205.0,3.0,3.0,0.0,,,,,,,,,,,,,
207,PT10M13.00S,2025-12-23T00:48:53.3Z,2,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,36,42,2025-12-23T00:49:12Z,2030000,False,,,0,,L. Ball bad pass out-of-bounds TURNOVER (2 TO),[1630163],1610612766.0,CHA,bad pass,,,,,,Mid-Range,16-24 Left,1627541.0,2.0,Ball,L. Ball,,,,,,,,,,,,,,,,,,,
208,PT10M13.00S,2025-12-23T00:48:56.5Z,2,REGULAR,substitution,out,[],1628418,,,1610612739,36,42,2025-12-23T00:49:01Z,2040000,False,,,0,,SUB out: T. Bryant,[1628418],1610612739.0,CLE,,,,,,,,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,
209,PT10M13.00S,2025-12-23T00:48:56.5Z,2,REGULAR,substitution,in,[],1629731,,,1610612739,36,42,2025-12-23T00:49:01Z,2050000,False,,,0,,SUB in: D. Wade,[1629731],1610612739.0,CLE,,,,,,,,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,
210,PT10M00.00S,2025-12-23T00:49:21.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628378,29.517082785808146,17.647058823529413,1610612739,39,42,2025-12-23T00:54:10Z,2060000,False,162.0,225.0,1,left,D. Mitchell 27' 3PT pullup (11 PTS),[1628378],1610612739.0,CLE,pullup,,,,,,Above the Break 3,24+ Right Center,,,Mitchell,D. Mitchell,27.71,Made,,,,,,,,,11.0,,,,,,,,
211,PT09M34.00S,2025-12-23T00:49:48.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203486,93.77463863337714,51.225490196078425,1610612766,39,44,2025-12-23T00:54:39Z,2070000,False,6.0,6.0,1,right,M. Plumlee driving Layup (5 PTS) (K. Knueppel 2 AST),"[203486, 1642851]",1610612766.0,CHA,driving,,,,,,Restricted Area,0-8 Center,,,Plumlee,M. Plumlee,0.86,Made,,,,,,,,,5.0,K. Knueppel,1642851.0,2.0,,,,,
213,PT09M21.00S,2025-12-23T00:50:00.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,6.521024967148489,51.9607843137255,1610612739,41,44,2025-12-23T00:55:00Z,2090000,False,-10.0,9.0,1,left,D. Mitchell driving finger roll Layup (13 PTS),[1628378],1610612739.0,CLE,driving finger roll,,,,,,Restricted Area,0-8 Center,,,Mitchell,D. Mitchell,1.32,Made,,,,,,,,,13.0,,,,,,,,
214,PT09M04.00S,2025-12-23T00:50:17.5Z,2,REGULAR,3pt,Jump Shot,[],1630163,67.49342969776609,15.196078431372548,1610612766,41,47,2025-12-23T00:55:30Z,2100000,False,-174.0,253.0,1,right,L. Ball 30' 3PT pullup (12 PTS) (B. Miller 3 AST),"[1630163, 1641706]",1610612766.0,CHA,pullup,,,,,,Above the Break 3,24+ Left Center,,,Ball,L. Ball,30.71,Made,,,,,,,,,12.0,B. Miller,1641706.0,3.0,,,,,
216,PT08M47.00S,2025-12-23T00:50:35.1Z,2,REGULAR,3pt,Jump Shot,[],1628366,22.026938239159,91.42156862745098,1610612739,44,47,2025-12-23T00:55:43Z,2120000,False,-207.0,155.0,1,left,L. Ball 25' 3PT pullup (3 PTS) (D. Wade 2 AST),"[1628366, 1629731]",1610612739.0,CLE,pullup,,,,,,Above the Break 3,24+ Left Center,,,Ball,L. Ball,25.84,Made,,,,,,,,,3.0,D. Wade,1629731.0,2.0,,,,,
218,PT08M29.00S,2025-12-23T00:50:52.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,93.38042049934296,60.5392156862745,1610612766,44,47,2025-12-23T00:56:22Z,2140000,False,53.0,10.0,1,right,MISS L. Ball driving Layup,[1630163],1610612766.0,CHA,driving,,,,,,In The Paint (Non-RA),0-8 Center,,,Ball,L. Ball,5.36,Missed,,,,,,,,,,,,,,,,,
220,PT08M28.00S,2025-12-23T00:50:53.5Z,2,REGULAR,rebound,defensive,[],1629731,,,1610612739,44,47,2025-12-23T00:51:16Z,2160000,False,,,0,,D. Wade REBOUND (Off:0 Def:2),[1629731],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),0-8 Center,,,Wade,D. Wade,,,218.0,2.0,2.0,0.0,,,,,,,,,,,,,
221,PT08M21.00S,2025-12-23T00:51:01.3Z,2,REGULAR,3pt,Jump Shot,[],1629631,10.200394218134035,2.450980392156863,1610612739,47,47,2025-12-23T00:51:10Z,2170000,False,238.0,43.0,1,left,D. Hunter 24' 3PT  (12 PTS) (D. Mitchell 3 AST),"[1629631, 1628378]",1610612739.0,CLE,,,,,,,Right Corner 3,24+ Right,,,Hunter,D. Hunter,24.16,Made,,,,,,,,,12.0,D. Mitchell,1628378.0,3.0,,,,,
223,PT08M03.00S,2025-12-23T00:51:23.5Z,2,REGULAR,foul,offensive,[],203486,,,1610612766,47,47,2025-12-23T00:52:44Z,2190000,False,,,0,,M. Plumlee offensive FOUL (2 PF),"[203486, 1629631]",1610612766.0,CHA,,,,,,,Mid-Range,8-16 Right,1627541.0,,Plumlee,M. Plumlee,,,,,,,2.0,0.0,Hunter,1629631.0,,,,,,,,,
225,PT08M03.00S,2025-12-23T00:51:23.5Z,2,REGULAR,turnover,offensive foul,[],203486,,,1610612766,47,47,2025-12-23T00:51:23Z,2210000,False,,,0,,M. Plumlee offensive foul TURNOVER (2 TO),[203486],1610612766.0,CHA,,,,,,,Mid-Range,8-16 Right,1627541.0,2.0,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,
226,PT08M03.00S,2025-12-23T00:51:32.4Z,2,REGULAR,substitution,out,[],1629631,,,1610612739,47,47,2025-12-23T00:51:43Z,2220000,False,,,0,,SUB out: D. Hunter,[1629631],1610612739.0,CLE,,,,,,,,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,
227,PT08M03.00S,2025-12-23T00:51:32.4Z,2,REGULAR,substitution,out,[],1628378,,,1610612739,47,47,2025-12-23T00:51:43Z,2230000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
228,PT08M03.00S,2025-12-23T00:51:32.4Z,2,REGULAR,substitution,in,[],1628386,,,1610612739,47,47,2025-12-23T00:51:43Z,2240000,False,,,0,,SUB in: J. Allen,[1628386],1610612739.0,CLE,,,,,,,,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,
229,PT08M03.00S,2025-12-23T00:51:32.4Z,2,REGULAR,substitution,in,[],1629636,,,1610612739,47,47,2025-12-23T00:51:43Z,2250000,False,,,0,,SUB in: D. Garland,[1629636],1610612739.0,CLE,,,,,,,,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,
230,PT07M44.00S,2025-12-23T00:52:03.8Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629636,18.610381077529567,23.284313725490197,1610612739,47,47,2025-12-23T00:52:08Z,2260000,False,134.0,122.0,1,left,MISS D. Garland 18' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,,,,Mid-Range,16-24 Right Center,,,Garland,D. Garland,18.12,Missed,,,,,,,,,,,,,,,,,
231,PT07M42.00S,2025-12-23T00:52:05.7Z,2,REGULAR,rebound,offensive,[],1628386,,,1610612739,47,47,2025-12-23T00:52:05Z,2270000,False,,,0,,J. Allen REBOUND (Off:1 Def:3),[1628386],1610612739.0,CLE,,,,,,,Mid-Range,16-24 Right Center,,,Allen,J. Allen,,,230.0,4.0,3.0,1.0,,,,,,,,,,,,,
232,PT07M35.00S,2025-12-23T00:52:13.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1641772,5.863994743758213,50.245098039215684,1610612739,49,47,2025-12-23T00:52:17Z,2280000,False,-1.0,3.0,1,left,N. Tomlin cutting Layup (5 PTS) (D. Garland 4 AST),"[1641772, 1629636]",1610612739.0,CLE,cutting,,,,,,Restricted Area,0-8 Center,,,Tomlin,N. Tomlin,0.29,Made,,,,,,,,,5.0,D. Garland,1629636.0,4.0,,,,,
234,PT07M33.00S,2025-12-23T00:52:20.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,49,47,2025-12-23T00:52:20Z,2300000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT07M33.00S,2025-12-23T00:52:22.1Z,2,REGULAR,substitution,out,[],1628366,,,1610612766,49,47,2025-12-23T00:55:40Z,2310000,False,,,0,,SUB out: L. Ball,[1628366],1610612739.0,CLE,,,,,,,,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,
236,PT07M33.00S,2025-12-23T00:52:22.1Z,2,REGULAR,substitution,out,[],1642851,,,1610612766,49,47,2025-12-23T00:55:40Z,2320000,False,,,0,,SUB out: K. Knueppel,[1642851],1610612766.0,CHA,,,,,,,,,,,Knueppel,K. Knueppel,,,,,,,,,,,,,,,,,,,
237,PT07M33.00S,2025-12-23T00:52:22.1Z,2,REGULAR,substitution,out,[],203486,,,1610612766,49,47,2025-12-23T00:55:40Z,2330000,False,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,,,,,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,
239,PT07M33.00S,2025-12-23T00:52:22.1Z,2,REGULAR,substitution,in,[],1642281,,,1610612766,49,47,2025-12-23T00:55:40Z,2350000,False,,,0,,SUB in: J. Tyson,[1642281],1610612739.0,CLE,,,,,,,,,,,Tyson,J. Tyson,,,,,,,,,,,,,,,,,,,
240,PT07M33.00S,2025-12-23T00:52:22.1Z,2,REGULAR,substitution,in,[],1630182,,,1610612766,49,47,2025-12-23T00:55:40Z,2360000,False,,,0,,SUB in: J. Green,[1630182],1610612766.0,CHA,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,
241,PT07M33.00S,2025-12-23T00:52:22.1Z,2,REGULAR,substitution,in,[],1631217,,,1610612766,49,47,2025-12-23T00:55:40Z,2370000,False,,,0,,SUB in: M. Diabaté,[1631217],1610612766.0,CHA,,,,,,,,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,
243,PT07M22.00S,2025-12-23T00:56:03.0Z,2,REGULAR,turnover,bad pass,[],1641706,,,1610612766,49,47,2025-12-23T03:17:34Z,2390000,False,,,0,,B. Miller bad pass TURNOVER (2 TO),"[1641706, 1642281]",1610612766.0,CHA,,,,,,,Mid-Range,16-24 Left Center,,2.0,Miller,B. Miller,,,,,,,,,,,,,,,Tyson,1642281.0,,,
244,PT07M22.00S,2025-12-23T00:56:03.0Z,2,REGULAR,steal,,[],1642281,,,1610612739,49,47,2025-12-23T00:56:41Z,2400000,False,,,0,,J. Tyson STEAL (1 STL),[1642281],1610612739.0,CLE,,,,,,,Mid-Range,16-24 Left Center,,,Tyson,J. Tyson,,,,,,,,,,,,,,,,,,,
245,PT07M05.00S,2025-12-23T00:56:19.2Z,2,REGULAR,turnover,bad pass,[],1642281,,,1610612739,49,47,2025-12-23T00:56:23Z,2410000,False,,,0,,J. Tyson bad pass TURNOVER (1 TO),"[1642281, 1641706]",1610612739.0,CLE,,,,,,,In The Paint (Non-RA),0-8 Center,,1.0,Tyson,J. Tyson,,,,,,,,,,,,,,,Miller,1641706.0,,,
246,PT07M05.00S,2025-12-23T00:56:19.2Z,2,REGULAR,steal,,[],1641706,,,1610612766,49,47,2025-12-23T00:56:21Z,2420000,False,,,0,,B. Miller STEAL (1 STL),[1641706],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),0-8 Center,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,
247,PT06M58.00S,2025-12-23T00:56:26.7Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641706,87.72996057818659,56.372549019607845,1610612766,49,49,2025-12-23T01:01:02Z,2430000,False,32.0,63.0,1,right,B. Miller 7' turnaround Jump Shot (4 PTS),[1641706],1610612766.0,CHA,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,,,Miller,B. Miller,7.04,Made,,,,,,,,,4.0,,,,,,,,
248,PT06M50.00S,2025-12-23T00:56:40.3Z,2,REGULAR,foul,personal,[],1630182,,,1610612739,49,49,2025-12-23T01:01:18Z,2440000,False,,,0,,J. Green personal FOUL (1 PF),"[1630182, 1628386]",1610612766.0,CHA,,,,,,,Mid-Range,16-24 Left Center,1629178.0,,Green,J. Green,,,,,,,1.0,0.0,Allen,1628386.0,,,,,,,,,
712,PT06M50.00S,2025-12-23T00:56:54.9Z,2,REGULAR,substitution,out,[],1641772,,,1610612739,49,49,2025-12-23T02:35:39Z,2485000,False,,,0,,SUB out: N. Tomlin,[1641772],1610612739.0,CLE,,,,,,,,,,,Tomlin,N. Tomlin,,,,,,,,,,,,,,,,,,,
713,PT06M50.00S,2025-12-23T00:56:54.9Z,2,REGULAR,substitution,out,[],1630163,,,1610612739,49,49,2025-12-23T02:35:39Z,2502500,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,,,,,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,
714,PT06M50.00S,2025-12-23T00:56:54.9Z,2,REGULAR,substitution,out,[],1642275,,,1610612739,49,49,2025-12-23T02:35:39Z,2511250,False,,,0,,SUB out: T. Salaün,[1642275],1610612766.0,CHA,,,,,,,,,,,Salaün,T. Salaün,,,,,,,,,,,,,,,,,,,
715,PT06M50.00S,2025-12-23T00:56:54.9Z,2,REGULAR,substitution,in,[],1630241,,,1610612739,49,49,2025-12-23T02:35:39Z,2515625,False,,,0,,SUB in: S. Merrill,[1630241],1610612739.0,CLE,,,,,,,,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,
716,PT06M50.00S,2025-12-23T00:56:54.9Z,2,REGULAR,substitution,in,[],1628970,,,1610612739,49,49,2025-12-23T02:35:39Z,2517812,False,,,0,,SUB in: M. Bridges,[1628970],1610612766.0,CHA,,,,,,,,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,
717,PT06M50.00S,2025-12-23T00:56:54.9Z,2,REGULAR,substitution,in,[],1642883,,,1610612739,49,49,2025-12-23T02:35:39Z,2518906,False,,,0,,SUB in: S. James,[1642883],1610612766.0,CHA,,,,,,,,,,,James,S. James,,,,,,,,,,,,,,,,,,,
256,PT06M42.00S,2025-12-23T00:57:09.6Z,2,REGULAR,2pt,Jump Shot,[],1629636,20.71287779237845,33.33333333333333,1610612739,49,49,2025-12-23T00:57:16Z,2520000,False,83.0,142.0,1,left,MISS D. Garland 16' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,,,,Mid-Range,16-24 Right Center,,,Garland,D. Garland,16.48,Missed,,,,,,,,,,,,,,,,,
257,PT06M38.00S,2025-12-23T00:57:13.6Z,2,REGULAR,rebound,defensive,[],1631217,,,1610612766,49,49,2025-12-23T00:57:16Z,2530000,False,,,0,,M. Diabaté REBOUND (Off:2 Def:4),[1631217],1610612766.0,CHA,,,,,,,Mid-Range,16-24 Right Center,,,Diabaté,M. Diabaté,,,256.0,6.0,4.0,2.0,,,,,,,,,,,,,
258,PT06M25.00S,2025-12-23T00:57:29.0Z,2,REGULAR,turnover,traveling,[],1631217,,,1610612766,49,49,2025-12-23T00:57:37Z,2540000,False,,,0,,M. Diabaté traveling TURNOVER (2 TO),[1631217],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),8-16 Left,1627541.0,2.0,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,
259,PT06M02.00S,2025-12-23T00:58:03.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629731,7.440867279894875,4.411764705882353,1610612739,49,49,2025-12-23T00:58:06Z,2550000,False,228.0,17.0,1,left,MISS D. Wade 3PT,[1629731],1610612739.0,CLE,,,,,,,Right Corner 3,24+ Right,,,Wade,D. Wade,22.86,Missed,,,,,,,,,,,,,,,,,
260,PT06M00.00S,2025-12-23T00:58:05.1Z,2,REGULAR,rebound,defensive,[],1628970,,,1610612766,49,49,2025-12-23T00:58:06Z,2560000,False,,,0,,M. Bridges REBOUND (Off:0 Def:4),[1628970],1610612766.0,CHA,,,,,,,Right Corner 3,24+ Right,,,Bridges,M. Bridges,,,259.0,4.0,4.0,0.0,,,,,,,,,,,,,
261,PT05M42.00S,2025-12-23T00:58:23.5Z,2,REGULAR,3pt,Jump Shot,[],1641706,64.60249671484888,23.03921568627451,1610612766,49,52,2025-12-23T00:58:27Z,2570000,False,-135.0,280.0,1,right,B. Miller 31' 3PT  (7 PTS) (S. James 3 AST),"[1641706, 1642883]",1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,,,Miller,B. Miller,31.09,Made,,,,,,,,,7.0,S. James,1642883.0,3.0,,,,,
263,PT05M33.00S,2025-12-23T00:58:32.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630241,6.652431011826544,51.71568627450981,1610612739,51,52,2025-12-23T01:03:01Z,2590000,False,-9.0,10.0,1,left,S. Merrill driving finger roll Layup (2 PTS) (J. Allen 2 AST),"[1630241, 1628386]",1610612739.0,CLE,driving finger roll,,,,,,Restricted Area,0-8 Center,,,Merrill,S. Merrill,1.32,Made,,,,,,,,,2.0,J. Allen,1628386.0,2.0,,,,,
265,PT05M20.00S,2025-12-23T00:58:45.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,93.11760840998686,62.745098039215684,1610612766,51,52,2025-12-23T00:59:21Z,2610000,False,64.0,12.0,1,right,MISS M. Bridges 6' driving floating bank Shot,[1628970],1610612766.0,CHA,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,,,Bridges,M. Bridges,6.49,Missed,,,,,,,,,,,,,,,,,
266,PT05M19.00S,2025-12-23T00:58:46.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612766,51,52,2025-12-23T00:59:21Z,2620000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,265.0,,,,,,,,,,,,,,,,
267,PT05M19.00S,2025-12-23T00:58:51.1Z,2,REGULAR,foul,personal,[],1628386,,,1610612766,51,52,2025-12-23T00:58:58Z,2630000,False,,,0,,J. Allen loose ball personal FOUL (2 PF),"[1628386, 1631217]",1610612739.0,CLE,loose ball,,,,,,In The Paint (Non-RA),8-16 Left,1629178.0,,Allen,J. Allen,,,,,,,2.0,0.0,Diabaté,1631217.0,,,,,,,,,
