actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
66,PT06M12.00S,2022-04-10T01:50:40.8Z,1,REGULAR,3pt,Jump Shot,[],202331,74.77003942181341,17.133884803921575,1610612746,17,6,2022-04-10T01:50:47Z,660000,-164.0,185.0,1,right,P. George 24' 3PT  (8 PTS) (N. Batum 2 AST),"[202331, 201587]",1610612746.0,LAC,,,,George,P. George,,,,,,,,24.72,Made,8.0,N. Batum,201587.0,2.0,,,,,,,,,,,,
68,PT06M02.00S,2022-04-10T01:50:50.2Z,1,REGULAR,2pt,Jump Shot,[],1630558,23.702365308804204,69.36274509803921,1610612758,17,6,2022-04-10T01:50:56Z,680000,-97.0,170.0,1,left,MISS D. Mitchell 19' pullup Shot,[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,,,,19.59,Missed,,,,,,,,,,,,,,,,
69,PT05M58.00S,2022-04-10T01:50:54.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,17,6,2022-04-10T01:50:56Z,690000,,,0,,I. Zubac REBOUND (Off:2 Def:4),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,68.0,6.0,4.0,2.0,,,,,,,,
70,PT05M42.00S,2022-04-10T01:51:10.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,92.29632063074901,59.80392156862745,1610612746,17,6,2022-04-10T01:51:13Z,700000,49.0,20.0,1,right,MISS I. Zubac turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,,,,5.29,Missed,,,,,,,,,,,,,,,,
71,PT05M40.00S,2022-04-10T01:51:12.3Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,17,6,2022-04-10T01:51:13Z,710000,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,
72,PT05M36.00S,2022-04-10T01:51:17.9Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612758,17,6,2022-04-10T01:51:24Z,720000,,,0,,I. Zubac shooting personal FOUL (1 PF) (Lyles 2 FT),"[1627826, 1626168]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,1627961.0,1.0,0.0,Lyles,1626168.0,,,
74,PT05M36.00S,2022-04-10T01:51:49.6Z,1,REGULAR,freethrow,1 of 2,[],1626168,,,1610612758,17,7,2022-04-10T01:52:15Z,740000,,,0,,T. Lyles Free Throw 1 of 2 (3 PTS),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
75,PT05M36.00S,2022-04-10T01:51:50.5Z,1,REGULAR,substitution,out,[],203200,,,1610612758,17,7,2022-04-10T01:51:57Z,750000,,,0,,SUB out: J. Holiday,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M36.00S,2022-04-10T01:51:50.5Z,1,REGULAR,substitution,in,[],1628978,,,1610612758,17,7,2022-04-10T01:51:57Z,760000,,,0,,SUB in: D. DiVincenzo,[1628978],1610612758.0,SAC,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M36.00S,2022-04-10T01:51:49.6Z,1,REGULAR,freethrow,2 of 2,[],1626168,,,1610612758,17,7,2022-04-10T01:52:15Z,770000,,,0,,MISS T. Lyles Free Throw 2 of 2,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,Missed,,,,,,,,,,,,,,,,
