actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
166,PT12M00.00S,2025-03-01T01:13:12.0Z,2,REGULAR,substitution,in,['startperiod'],1629731,,,1610612739,38,26,2025-03-01T01:13:56Z,1610000,False,,,0,,SUB in: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2025-03-01T01:14:07.5Z,2,REGULAR,period,start,[],0,,,1610612739,38,26,2025-03-01T01:14:07Z,1620000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT11M47.00S,2025-03-01T01:14:20.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,80.6340341655716,61.51960784313726,1610612739,38,28,2025-03-01T01:14:26Z,1630000,False,58.0,130.0,1,right,D. Mitchell 14' turnaround fadeaway Jump Shot (5 PTS),[1628378],1610612739.0,CLE,turnaround fadeaway,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,14.17,Made,5.0,,,,,,,,,,,,,,,,,
169,PT11M31.00S,2025-03-01T01:14:36.4Z,2,REGULAR,3pt,Jump Shot,[],1630202,16.113666228646515,4.901960784313726,1610612738,41,28,2025-03-01T01:14:41Z,1640000,False,225.0,99.0,1,left,P. Pritchard 24' 3PT  (3 PTS) (A. Horford 2 AST),"[1630202, 201143]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,24.63,Made,3.0,,,,,,A. Horford,201143.0,2.0,,,,,,,,,
171,PT11M17.00S,2025-03-01T01:14:50.9Z,2,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612739,41,28,2025-03-01T01:14:58Z,1660000,False,,,0,,J. Brown shooting personal FOUL (2 PF) (Mitchell 2 FT),"[1627759, 1628378]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1628487.0,2.0,0.0,Mitchell,1628378.0,,
173,PT11M17.00S,2025-03-01T01:15:19.7Z,2,REGULAR,freethrow,1 of 2,[],1628378,,,1610612739,41,29,2025-03-01T01:15:19Z,1680000,False,,,0,,D. Mitchell Free Throw 1 of 2 (6 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
174,PT11M17.00S,2025-03-01T01:15:38.1Z,2,REGULAR,freethrow,2 of 2,[],1628378,,,1610612739,41,30,2025-03-01T01:15:38Z,1690000,False,,,0,,D. Mitchell Free Throw 2 of 2 (7 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
175,PT10M59.00S,2025-03-01T01:15:58.0Z,2,REGULAR,3pt,Jump Shot,[],1627759,29.77989487516426,25.49019607843137,1610612738,44,30,2025-03-01T01:16:02Z,1700000,False,123.0,227.0,1,left,J. Brown 25' 3PT pullup (14 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,25.83,Made,14.0,,,,,,,,,,,,,,,,,
176,PT10M47.00S,2025-03-01T01:16:10.1Z,2,REGULAR,3pt,Jump Shot,[],1628378,65.78515111695138,70.83333333333334,1610612739,44,33,2025-03-01T01:16:14Z,1710000,False,104.0,269.0,1,right,D. Mitchell 28' 3PT pullup (10 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,28.86,Made,10.0,,,,,,,,,,,,,,,,,
177,PT10M29.00S,2025-03-01T01:16:28.2Z,2,REGULAR,turnover,bad pass,[],1628401,,,1610612738,44,33,2025-03-01T01:16:33Z,1720000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 1628378]",1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,,,,Mitchell,1628378.0,,,,,,,
178,PT10M29.00S,2025-03-01T01:16:28.2Z,2,REGULAR,steal,,[],1628378,,,1610612739,44,33,2025-03-01T01:16:46Z,1730000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
179,PT10M24.00S,2025-03-01T01:16:34.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630596,89.83245729303549,63.970588235294116,1610612739,44,35,2025-03-01T01:16:43Z,1740000,False,70.0,43.0,1,right,E. Mobley 8' running Layup (4 PTS),[1630596],1610612739.0,CLE,running,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Right,8.21,Made,4.0,,,,,,,,,,,,,,,,,
186,PT10M08.00S,2025-03-01T01:17:01.3Z,2,REGULAR,substitution,out,[],1629660,,,1610612738,44,35,2025-03-01T01:17:42Z,1741250,False,,,0,,SUB out: T. Jerome,[1629660],1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT10M08.00S,2025-03-01T01:17:01.3Z,2,REGULAR,substitution,in,[],1630171,,,1610612738,44,35,2025-03-01T01:17:42Z,1741875,False,,,0,,SUB in: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT10M08.00S,2025-03-01T01:17:28.7Z,2,REGULAR,jumpball,recovered,[],201143,,,1610612738,44,35,2025-03-01T01:17:48Z,1742500,False,,,0,,Jump Ball J. Brown vs. D. Mitchell: Tip to A. Horford,"[201143, 1627759, 1628378]",1610612738.0,BOS,heldball,A. Horford,201143.0,Horford,A. Horford,Brown,1627759.0,Mitchell,1628378.0,,,,,,,,,,,,,,,,,,,,,,
183,PT10M01.00S,2025-03-01T01:17:32.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201143,9.411957950065702,41.911764705882355,1610612738,44,35,2025-03-01T01:17:48Z,1780000,False,40.0,36.0,1,left,MISS A. Horford Layup - blocked,"[201143, 1630596]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,5.41,Missed,,,,,,,,,,,,,,,,,Mobley,1630596.0
184,PT10M01.00S,2025-03-01T01:17:32.2Z,2,REGULAR,block,,[],1630596,,,1610612738,44,35,2025-03-01T01:17:34Z,1790000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
185,PT09M59.00S,2025-03-01T01:17:34.2Z,2,REGULAR,rebound,defensive,[],1629731,,,1610612739,44,35,2025-03-01T01:17:48Z,1800000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,In The Paint (Non-RA),0-8 Center,,,,183.0,1.0,1.0,0.0,,,,,,,,,,,,,
188,PT09M51.00S,2025-03-01T01:17:43.1Z,2,REGULAR,turnover,bad pass,[],1628378,,,1610612739,44,35,2025-03-01T01:17:53Z,1810000,False,,,0,,D. Mitchell bad pass TURNOVER (2 TO),"[1628378, 1628436]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,,,,,2.0,,,,Kornet,1628436.0,,,,,,,
189,PT09M51.00S,2025-03-01T01:17:43.1Z,2,REGULAR,steal,,[],1628436,,,1610612738,44,35,2025-03-01T01:17:53Z,1820000,False,,,0,,L. Kornet STEAL (1 STL),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
190,PT09M45.00S,2025-03-01T01:17:49.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,8.623521681997373,40.44117647058824,1610612738,46,35,2025-03-01T01:19:31Z,1830000,False,48.0,29.0,1,left,J. Brown driving Layup (16 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.57,Made,16.0,,,,,,,,,,,,,,,,,
191,PT09M45.00S,2025-03-01T01:17:53.0Z,2,REGULAR,foul,personal,['1freethrow'],1629731,,,1610612738,46,35,2025-03-01T01:18:04Z,1840000,False,,,0,,D. Wade shooting personal FOUL (1 PF) (Brown 1 FT),"[1629731, 1627759]",1610612739.0,CLE,shooting,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,202027.0,1.0,0.0,Brown,1627759.0,,
193,PT09M45.00S,2025-03-01T01:18:20.9Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1627759,,,1610612738,47,35,2025-03-01T01:18:20Z,1860000,False,,,0,,J. Brown Free Throw 1 of 1 (17 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,17.0,,,,,,,,,,,,,,,,,
194,PT09M35.00S,2025-03-01T01:18:31.8Z,2,REGULAR,3pt,Jump Shot,[],1628378,64.99671484888306,35.78431372549019,1610612739,47,35,2025-03-01T01:19:51Z,1870000,False,-71.0,277.0,1,right,MISS D. Mitchell 28' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,28.55,Missed,,,,,,,,,,,,,,,,,,
195,PT09M32.00S,2025-03-01T01:18:34.8Z,2,REGULAR,rebound,offensive,[],1630596,,,1610612739,47,35,2025-03-01T01:20:20Z,1880000,False,,,0,,E. Mobley REBOUND (Off:1 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Center,,,,194.0,3.0,2.0,1.0,,,,,,,,,,,,,
196,PT09M31.00S,2025-03-01T01:18:36.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630171,93.24901445466492,46.568627450980394,1610612739,47,37,2025-03-01T01:20:27Z,1890000,False,-17.0,11.0,1,right,I. Okoro Layup (2 PTS) (E. Mobley 1 AST),"[1630171, 1630596]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,2.04,Made,2.0,,,,,,E. Mobley,1630596.0,1.0,,,,,,,,,
197,PT09M31.00S,2025-03-01T01:18:39.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,47,37,2025-03-01T01:18:39Z,1900000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT09M16.00S,2025-03-01T01:22:16.9Z,2,REGULAR,3pt,Jump Shot,[],1627759,26.757555847568987,82.1078431372549,1610612738,47,37,2025-03-01T01:22:25Z,1910000,False,-161.0,199.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.57,Missed,,,,,,,,,,,,,,,,,,
200,PT09M11.00S,2025-03-01T01:22:21.9Z,2,REGULAR,rebound,defensive,[],1630596,,,1610612739,47,37,2025-03-01T01:22:58Z,1920000,False,,,0,,E. Mobley REBOUND (Off:1 Def:3),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Left Center,,,,199.0,4.0,3.0,1.0,,,,,,,,,,,,,
201,PT09M03.00S,2025-03-01T01:22:29.3Z,2,REGULAR,3pt,Jump Shot,[],1629731,71.30420499342969,79.90196078431373,1610612739,47,37,2025-03-01T01:22:35Z,1930000,False,150.0,217.0,1,right,MISS D. Wade 26' 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Right Center,26.37,Missed,,,,,,,,,,,,,,,,,,
202,PT08M59.00S,2025-03-01T01:22:34.3Z,2,REGULAR,rebound,offensive,[],1630241,,,1610612739,47,37,2025-03-01T01:22:34Z,1940000,False,,,0,,S. Merrill REBOUND (Off:1 Def:1),[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Right Center,,,,201.0,2.0,1.0,1.0,,,,,,,,,,,,,
203,PT08M55.00S,2025-03-01T01:22:38.7Z,2,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612739,47,37,2025-03-01T01:22:51Z,1950000,False,,,0,,D. White shooting personal FOUL (1 PF) (Mobley 2 FT),"[1628401, 1630596]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,202027.0,1.0,0.0,Mobley,1630596.0,,
205,PT08M55.00S,2025-03-01T01:23:06.6Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630596,,,1610612739,47,38,2025-03-01T01:23:06Z,1970000,False,,,0,,E. Mobley Free Throw 1 of 2 (5 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
206,PT08M55.00S,2025-03-01T01:23:21.7Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630596,,,1610612739,47,39,2025-03-01T01:23:21Z,1980000,False,,,0,,E. Mobley Free Throw 2 of 2 (6 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
207,PT08M35.00S,2025-03-01T01:23:44.4Z,2,REGULAR,2pt,Jump Shot,[],1627759,20.844283837056505,28.186274509803923,1610612738,47,39,2025-03-01T01:23:50Z,1990000,False,109.0,143.0,1,left,MISS J. Brown 18' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,18.02,Missed,,,,,,,,,,,,,,,,,,
208,PT08M32.00S,2025-03-01T01:23:47.4Z,2,REGULAR,rebound,defensive,[],1630171,,,1610612739,47,39,2025-03-01T01:23:50Z,2000000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Mid-Range,16-24 Right Center,,,,207.0,1.0,1.0,0.0,,,,,,,,,,,,,
209,PT08M21.00S,2025-03-01T01:23:58.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,88.25558475689881,47.794117647058826,1610612739,47,39,2025-03-01T01:25:00Z,2010000,False,-11.0,58.0,1,right,MISS D. Mitchell driving floating Shot,[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,5.89,Missed,,,,,,,,,,,,,,,,,,
210,PT08M18.00S,2025-03-01T01:24:01.2Z,2,REGULAR,rebound,offensive,[],1629731,,,1610612739,47,39,2025-03-01T01:24:03Z,2020000,False,,,0,,D. Wade REBOUND (Off:1 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,In The Paint (Non-RA),0-8 Center,,,,209.0,2.0,1.0,1.0,,,,,,,,,,,,,
211,PT08M18.00S,2025-03-01T01:24:01.4Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629731,91.32720105124835,51.616115196078425,1610612739,47,41,2025-03-01T01:25:16Z,2030000,False,8.0,29.0,1,right,D. Wade putback Layup (2 PTS),[1629731],1610612739.0,CLE,putback,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,3.01,Made,2.0,,,,,,,,,,,,,,,,,
212,PT07M55.00S,2025-03-01T01:24:25.3Z,2,REGULAR,2pt,Jump Shot,[],201143,11.908672798948752,27.450980392156865,1610612738,47,41,2025-03-01T01:26:03Z,2040000,False,113.0,59.0,1,left,MISS A. Horford 12' turnaround Shot,[201143],1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,Mid-Range,8-16 Right,12.74,Missed,,,,,,,,,,,,,,,,,,
213,PT07M53.00S,2025-03-01T01:24:27.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,47,41,2025-03-01T01:24:32Z,2050000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Mid-Range,8-16 Right,,,,212.0,,,,,,,,,,,,,,,,
214,PT07M53.00S,2025-03-01T01:24:35.7Z,2,REGULAR,foul,personal,[],1628378,,,1610612738,47,41,2025-03-01T01:24:42Z,2060000,False,,,0,,D. Mitchell loose ball personal FOUL (1 PF),"[1628378, 1628436]",1610612739.0,CLE,loose ball,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,202049.0,1.0,0.0,Kornet,1628436.0,,
216,PT07M53.00S,2025-03-01T01:24:43.6Z,2,REGULAR,substitution,out,[],1627759,,,1610612738,47,41,2025-03-01T01:24:53Z,2080000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT07M53.00S,2025-03-01T01:24:43.6Z,2,REGULAR,substitution,out,[],1628436,,,1610612738,47,41,2025-03-01T01:24:53Z,2090000,False,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT07M53.00S,2025-03-01T01:24:43.6Z,2,REGULAR,substitution,in,[],1630573,,,1610612738,47,41,2025-03-01T01:24:53Z,2100000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT07M53.00S,2025-03-01T01:24:43.6Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,47,41,2025-03-01T01:24:53Z,2110000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT07M43.00S,2025-03-01T01:25:07.1Z,2,REGULAR,turnover,lost ball,[],201143,,,1610612738,47,41,2025-03-01T01:25:13Z,2120000,False,,,0,,A. Horford lost ball TURNOVER (1 TO),"[201143, 1630241]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,,Merrill,1630241.0,,,,,,,
221,PT07M43.00S,2025-03-01T01:25:07.1Z,2,REGULAR,steal,,[],1630241,,,1610612739,47,41,2025-03-01T01:25:09Z,2130000,False,,,0,,S. Merrill STEAL (1 STL),[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
223,PT07M34.00S,2025-03-01T01:25:21.8Z,2,REGULAR,substitution,out,[],1630596,,,1610612739,47,41,2025-03-01T01:25:31Z,2150000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M34.00S,2025-03-01T01:25:21.8Z,2,REGULAR,substitution,out,[],1630241,,,1610612739,47,41,2025-03-01T01:25:31Z,2160000,False,,,0,,SUB out: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M34.00S,2025-03-01T01:25:21.8Z,2,REGULAR,substitution,out,[],1628378,,,1610612739,47,41,2025-03-01T01:25:31Z,2170000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M34.00S,2025-03-01T01:25:21.8Z,2,REGULAR,substitution,in,[],1629636,,,1610612739,47,41,2025-03-01T01:25:31Z,2180000,False,,,0,,SUB in: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M34.00S,2025-03-01T01:25:21.8Z,2,REGULAR,substitution,in,[],1629631,,,1610612739,47,41,2025-03-01T01:25:31Z,2190000,False,,,0,,SUB in: D. Hunter,[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT07M34.00S,2025-03-01T01:25:21.8Z,2,REGULAR,substitution,in,[],1628386,,,1610612739,47,41,2025-03-01T01:25:31Z,2200000,False,,,0,,SUB in: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT07M32.00S,2025-03-01T01:25:48.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629631,80.50262812089356,8.823529411764707,1610612739,47,44,2025-03-01T01:25:57Z,2210000,False,-206.0,131.0,1,right,D. Hunter 24' 3PT  (7 PTS) (D. Garland 3 AST),"[1629631, 1629636]",1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,24.39,Made,7.0,,,,,,D. Garland,1629636.0,3.0,,,,,,,,,
230,PT07M19.00S,2025-03-01T01:26:01.0Z,2,REGULAR,3pt,Jump Shot,[],1628369,33.722076215505915,71.81372549019608,1610612738,47,44,2025-03-01T01:26:19Z,2220000,False,-109.0,264.0,1,left,MISS J. Tatum 28' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,28.61,Missed,,,,,,,,,,,,,,,,,,
231,PT07M17.00S,2025-03-01T01:26:03.0Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612739,47,44,2025-03-01T01:26:19Z,2230000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Left Center,,,,230.0,,,,,,,,,,,,,,,,
233,PT07M07.00S,2025-03-01T01:26:23.0Z,2,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,47,44,2025-03-01T01:26:28Z,2250000,False,,,0,,D. Garland lost ball out-of-bounds TURNOVER (1 TO),[1629636],1610612739.0,CLE,lost ball,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,202049.0,,,,,,
234,PT07M01.00S,2025-03-01T01:26:31.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630573,14.931011826544022,5.147058823529411,1610612738,47,44,2025-03-01T01:26:35Z,2260000,False,224.0,88.0,1,left,MISS S. Hauser 24' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Right Corner 3,24+ Right,24.09,Missed,,,,,,,,,,,,,,,,,,
235,PT06M58.00S,2025-03-01T01:26:34.3Z,2,REGULAR,rebound,defensive,[],1630171,,,1610612739,47,44,2025-03-01T01:26:35Z,2270000,False,,,0,,I. Okoro REBOUND (Off:0 Def:2),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,,,,234.0,2.0,2.0,0.0,,,,,,,,,,,,,
236,PT06M47.00S,2025-03-01T01:26:45.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,87.59855453350855,58.08823529411765,1610612739,47,44,2025-03-01T01:26:50Z,2280000,False,40.0,64.0,1,right,MISS D. Hunter 7' driving floating Shot,[1629631],1610612739.0,CLE,driving floating,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,7.58,Missed,,,,,,,,,,,,,,,,,,
237,PT06M45.00S,2025-03-01T01:26:47.5Z,2,REGULAR,rebound,defensive,[],1630573,,,1610612738,47,44,2025-03-01T01:26:50Z,2290000,False,,,0,,S. Hauser REBOUND (Off:2 Def:3),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),0-8 Center,,,,236.0,5.0,3.0,2.0,,,,,,,,,,,,,
238,PT06M36.00S,2025-03-01T01:26:56.6Z,2,REGULAR,2pt,Jump Shot,[],1628369,19.793035479632064,29.65686274509804,1610612738,49,44,2025-03-01T01:27:02Z,2300000,False,102.0,134.0,1,left,J. Tatum 16' fadeaway Jump Shot (20 PTS),[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right Center,16.79,Made,20.0,,,,,,,,,,,,,,,,,
239,PT06M25.00S,2025-03-01T01:27:07.3Z,2,REGULAR,3pt,Jump Shot,[],1629731,69.07030223390277,28.186274509803923,1610612739,49,47,2025-03-01T01:27:11Z,2310000,False,-109.0,238.0,1,right,D. Wade 26' 3PT  (5 PTS) (D. Garland 4 AST),"[1629731, 1629636]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Left Center,26.2,Made,5.0,,,,,,D. Garland,1629636.0,4.0,,,,,,,,,
241,PT06M06.00S,2025-03-01T01:27:26.1Z,2,REGULAR,3pt,Jump Shot,[],1628401,30.831143232588698,69.85294117647058,1610612738,52,47,2025-03-01T01:27:30Z,2330000,False,-99.0,237.0,1,left,D. White 25' 3PT  (6 PTS) (J. Tatum 4 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,25.72,Made,6.0,,,,,,J. Tatum,1628369.0,4.0,,,,,,,,,
244,PT05M53.00S,2025-03-01T01:27:40.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,91.40932982917214,61.274509803921575,1610612739,52,49,2025-03-01T01:27:51Z,2350000,False,56.0,28.0,1,right,D. Garland 6' driving finger roll Layup (6 PTS),[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,6.31,Made,6.0,,,,,,,,,,,,,,,,,
245,PT05M38.00S,2025-03-01T01:27:54.0Z,2,REGULAR,3pt,Jump Shot,[],1628401,28.465834428383708,17.892156862745097,1610612738,55,49,2025-03-01T01:27:58Z,2360000,False,161.0,215.0,1,left,D. White 26' 3PT  (9 PTS) (J. Tatum 5 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,26.84,Made,9.0,,,,,,J. Tatum,1628369.0,5.0,,,,,,,,,
247,PT05M19.00S,2025-03-01T01:28:12.9Z,2,REGULAR,3pt,Jump Shot,[],1629636,64.47109067017082,46.32352941176471,1610612739,55,49,2025-03-01T01:30:09Z,2380000,False,-18.0,281.0,1,right,MISS D. Garland 28' step back 3PT,[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,28.21,Missed,,,,,,,,,,,,,,,,,,
248,PT05M16.00S,2025-03-01T01:28:15.9Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,55,49,2025-03-01T01:28:19Z,2390000,False,,,0,,J. Tatum REBOUND (Off:1 Def:7),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,247.0,8.0,7.0,1.0,,,,,,,,,,,,,
249,PT05M02.00S,2025-03-01T01:28:30.0Z,2,REGULAR,3pt,Jump Shot,[],1628401,33.722076215505915,66.17647058823529,1610612738,55,49,2025-03-01T01:30:31Z,2400000,False,-81.0,264.0,1,left,MISS D. White 27' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Center,27.66,Missed,,,,,,,,,,,,,,,,,,
