actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
374,PT10M01.00S,2026-02-12T03:25:19.9Z,3,REGULAR,freethrow,2 of 2,[],1642928,,,1610612758,79,50,2026-02-12T03:25:19Z,3680000,False,,,0,,D. Cardwell Free Throw 2 of 2 (1 PTS),[1642928],1610612758.0,SAC,,,,Cardwell,D. Cardwell,,,,,,,,,,,Made,,,,,,,1.0,,,,,,,,
375,PT09M38.00S,2026-02-12T03:25:44.6Z,3,REGULAR,3pt,Jump Shot,[],1642268,31.882391590013142,51.71568627450981,1610612762,79,50,2026-02-12T03:25:50Z,3690000,False,-9.0,247.0,1,left,MISS I. Collier 24' 3PT,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Center,,,,24.73,Missed,,,,,,,,,,,,,,,
376,PT09M34.00S,2026-02-12T03:25:48.6Z,3,REGULAR,rebound,defensive,[],1642269,,,1610612758,79,50,2026-02-12T03:25:50Z,3700000,False,,,0,,D. Carter REBOUND (Off:1 Def:3),[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,Above the Break 3,24+ Center,,,,,,375.0,4.0,3.0,1.0,,,,,,,,,,,
377,PT09M29.00S,2026-02-12T03:25:53.5Z,3,REGULAR,turnover,lost ball,[],1642269,,,1610612758,79,50,2026-02-12T03:25:58Z,3710000,False,,,0,,D. Carter lost ball TURNOVER (3 TO),"[1642269, 1642268]",1610612758.0,SAC,,,,Carter,D. Carter,,,,,Mid-Range,8-16 Right,3.0,Collier,1642268.0,,,,,,,,,,,,,,,,,
378,PT09M29.00S,2026-02-12T03:25:53.5Z,3,REGULAR,steal,,[],1642268,,,1610612762,79,50,2026-02-12T03:25:55Z,3720000,False,,,0,,I. Collier STEAL (1 STL),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
379,PT09M17.00S,2026-02-12T03:26:05.0Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642268,12.302890932982917,43.627450980392155,1610612762,79,50,2026-02-12T03:27:43Z,3730000,False,32.0,63.0,1,left,MISS I. Collier 7' driving floating Shot,[1642268],1610612762.0,UTA,driving floating,,,Collier,I. Collier,,,,,In The Paint (Non-RA),0-8 Center,,,,7.07,Missed,,,,,,,,,,,,,,,
380,PT09M16.00S,2026-02-12T03:26:06.0Z,3,REGULAR,rebound,defensive,[],1642928,,,1610612758,79,50,2026-02-12T03:26:09Z,3740000,False,,,0,,D. Cardwell REBOUND (Off:0 Def:4),[1642928],1610612758.0,SAC,,,,Cardwell,D. Cardwell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,379.0,4.0,4.0,0.0,,,,,,,,,,,
381,PT09M06.00S,2026-02-12T03:26:16.4Z,3,REGULAR,2pt,Jump Shot,[],201942,77.34888304862024,36.029411764705884,1610612758,79,50,2026-02-12T03:26:21Z,3750000,False,-70.0,160.0,1,right,MISS D. DeRozan 17' pullup Shot,[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,,,,17.5,Missed,,,,,,,,,,,,,,,
382,PT09M04.00S,2026-02-12T03:26:18.4Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612762,79,50,2026-02-12T03:26:21Z,3760000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,381.0,,,,,,,,,,,,,,
384,PT08M55.00S,2026-02-12T03:26:45.4Z,3,REGULAR,foul,personal,[],1642875,,,1610612762,79,50,2026-02-12T03:27:53Z,3780000,False,,,0,,M. Raynaud personal FOUL (2 PF),"[1642875, 1628991]",1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,202007.0,2.0,0.0,Jackson Jr.,1628991.0
386,PT08M49.00S,2026-02-12T03:27:09.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,8.623521681997373,42.64705882352941,1610612762,81,50,2026-02-12T03:27:13Z,3800000,False,37.0,29.0,1,left,J. Jackson Jr. driving Layup (20 PTS),[1628991],1610612762.0,UTA,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,4.66,Made,,,,,,,20.0,,,,,,,,
387,PT08M26.00S,2026-02-12T03:27:31.8Z,3,REGULAR,2pt,Jump Shot,[],201942,92.72339027595268,78.43137254901961,1610612758,81,50,2026-02-12T03:27:35Z,3810000,False,142.0,16.0,1,right,MISS D. DeRozan 14' pullup Shot,[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Right,,,,14.31,Missed,,,,,,,,,,,,,,,
388,PT08M23.00S,2026-02-12T03:27:34.8Z,3,REGULAR,rebound,defensive,[],203994,,,1610612762,81,50,2026-02-12T03:27:35Z,3820000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:8),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Mid-Range,8-16 Right,,,,,,387.0,8.0,8.0,0.0,,,,,,,,,,,
440,PT08M17.00S,2026-02-12T03:27:36.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628374,13.091327201051248,50.98039215686274,1610612762,81,50,2026-02-12T03:49:39Z,3825000,False,-5.0,71.0,1,left,MISS L. Markkanen 7' running Layup - blocked,"[1628374, 1642269]",1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,7.08,Missed,,,,,Carter,1642269.0,,,,,,,,,
