actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
255,PT06M38.00S,2022-11-01T03:23:41.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1626181,72.7168199737188,17.40196078431373,1610612746,37,32,2022-11-01T03:23:49Z,2500000,-163.0,204.0,1,right,MISS N. Powell 26' 3PT,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,26.11,Missed,,,,,,,,,,,,,,,,,,
256,PT06M32.00S,2022-11-01T03:23:47.6Z,2,REGULAR,rebound,defensive,[],1630231,,,1610612745,37,32,2022-11-01T03:23:49Z,2510000,,,0,,K. Martin Jr. REBOUND (Off:0 Def:3),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,255.0,3.0,3.0,0.0,,,,,,,,,,,
257,PT06M25.00S,2022-11-01T03:23:54.9Z,2,REGULAR,3pt,Jump Shot,[],1630231,27.644546649145866,16.666666666666657,1610612745,37,32,2022-11-01T03:23:59Z,2520000,167.0,207.0,1,left,MISS K. Martin Jr. 26' 3PT,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Right Center,26.61,Missed,,,,,,,,,,,,,,,,,,
258,PT06M22.00S,2022-11-01T03:23:57.9Z,2,REGULAR,rebound,defensive,[],202694,,,1610612746,37,32,2022-11-01T03:23:59Z,2530000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Right Center,,,,,,257.0,1.0,1.0,0.0,,,,,,,,,,,
259,PT06M15.00S,2022-11-01T03:24:05.1Z,2,REGULAR,3pt,Jump Shot,[],202694,67.7233902759527,32.1078431372549,1610612746,37,32,2022-11-01T03:24:16Z,2540000,-89.0,251.0,1,right,MISS M. Morris Sr. 26' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Left Center,26.64,Missed,,,,,,,,,,,,,,,,,,
260,PT06M12.00S,2022-11-01T03:24:08.1Z,2,REGULAR,rebound,offensive,[],202694,,,1610612746,37,32,2022-11-01T03:24:08Z,2550000,,,0,,M. Morris Sr. REBOUND (Off:1 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Left Center,,,,,,259.0,2.0,1.0,1.0,,,,,,,,,,,
261,PT06M03.00S,2022-11-01T03:24:17.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1626181,92.55913272010513,3.4313725490196134,1610612746,37,32,2022-11-01T03:24:23Z,2560000,-233.0,17.0,1,right,MISS N. Powell 3PT,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Left Corner 3,24+ Left,23.34,Missed,,,,,,,,,,,,,,,,,,
262,PT05M59.00S,2022-11-01T03:24:21.3Z,2,REGULAR,rebound,defensive,[],1630231,,,1610612745,37,32,2022-11-01T03:24:23Z,2570000,,,0,,K. Martin Jr. REBOUND (Off:0 Def:4),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Left Corner 3,24+ Left,,,,,,261.0,4.0,4.0,0.0,,,,,,,,,,,
263,PT05M53.00S,2022-11-01T03:24:28.0Z,2,REGULAR,3pt,Jump Shot,[],1630227,31.718134034165573,40.68627450980392,1610612745,37,35,2022-11-01T03:25:00Z,2580000,47.0,246.0,1,left,D. Nix 25' 3PT pullup (3 PTS) (K. Martin Jr. 1 AST),"[1630227, 1630231]",1610612745.0,HOU,pullup,,,Nix,D. Nix,,,,,Above the Break 3,24+ Center,25.01,Made,3.0,,,,,,,,,,,,,,,K. Martin Jr.,1630231.0,1.0
265,PT05M51.00S,2022-11-01T03:24:36.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,37,35,2022-11-01T03:24:36Z,2600000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT05M51.00S,2022-11-01T03:27:10.9Z,2,REGULAR,substitution,out,[],1629599,,,1610612746,37,35,2022-11-01T03:27:22Z,2610000,,,0,,SUB out: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT05M51.00S,2022-11-01T03:27:10.9Z,2,REGULAR,substitution,out,[],1626181,,,1610612746,37,35,2022-11-01T03:27:22Z,2620000,,,0,,SUB out: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT05M51.00S,2022-11-01T03:27:10.9Z,2,REGULAR,substitution,out,[],1631095,,,1610612746,37,35,2022-11-01T03:27:22Z,2630000,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT05M51.00S,2022-11-01T03:27:10.9Z,2,REGULAR,substitution,out,[],1630227,,,1610612746,37,35,2022-11-01T03:27:22Z,2640000,,,0,,SUB out: D. Nix,[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT05M51.00S,2022-11-01T03:27:10.9Z,2,REGULAR,substitution,in,[],1628379,,,1610612746,37,35,2022-11-01T03:27:22Z,2650000,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT05M51.00S,2022-11-01T03:27:10.9Z,2,REGULAR,substitution,in,[],202331,,,1610612746,37,35,2022-11-01T03:27:22Z,2660000,,,0,,SUB in: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
272,PT05M51.00S,2022-11-01T03:27:10.9Z,2,REGULAR,substitution,in,[],1629645,,,1610612746,37,35,2022-11-01T03:27:22Z,2670000,,,0,,SUB in: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT05M51.00S,2022-11-01T03:27:10.9Z,2,REGULAR,substitution,in,[],1630578,,,1610612746,37,35,2022-11-01T03:27:22Z,2680000,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
274,PT05M39.00S,2022-11-01T03:27:37.8Z,2,REGULAR,turnover,traveling,[],202694,,,1610612746,37,35,2022-11-01T03:27:43Z,2690000,,,0,,M. Morris Sr. traveling TURNOVER (1 TO),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,1.0,,,202007.0,,,,,,,
275,PT05M39.00S,2022-11-01T03:27:50.7Z,2,REGULAR,foul,technical,['1freethrow'],202694,,,1610612745,37,35,2022-11-01T03:28:10Z,2700000,,,0,,M. Morris Sr. technical FOUL (1 Tech),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,202007.0,0.0,1.0,,,,,
276,PT05M39.00S,2022-11-01T03:28:15.3Z,2,REGULAR,freethrow,1 of 1,[],1630224,,,1610612745,37,36,2022-11-01T03:28:15Z,2710000,,,0,,J. Green technical Free Throw 1 of 1 (3 PTS),[1630224],1610612745.0,HOU,technical,,,Green,J. Green,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
277,PT05M23.00S,2022-11-01T03:28:39.8Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629645,18.446123521681997,37.745098039215684,1610612745,37,38,2022-11-01T03:28:47Z,2720000,61.0,121.0,1,left,K. Porter Jr. 13' pullup Jump Shot (4 PTS) (J. Green 1 AST),"[1629645, 1630224]",1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,13.56,Made,4.0,,,,,,,,,,,,,,,J. Green,1630224.0,1.0
279,PT05M11.00S,2022-11-01T03:28:56.3Z,2,REGULAR,foul,personal,[],1629645,,,1610612746,37,38,2022-11-01T03:29:01Z,2740000,,,0,,K. Porter Jr. personal FOUL (2 PF),"[1629645, 1627826]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,202007.0,2.0,0.0,Zubac,1627826.0,,,
281,PT05M11.00S,2022-11-01T03:29:06.9Z,2,REGULAR,substitution,out,[],1630528,,,1610612746,37,38,2022-11-01T03:29:14Z,2760000,,,0,,SUB out: J. Christopher,[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,
282,PT05M11.00S,2022-11-01T03:29:06.9Z,2,REGULAR,substitution,in,[],201569,,,1610612746,37,38,2022-11-01T03:29:14Z,2770000,,,0,,SUB in: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
283,PT05M02.00S,2022-11-01T03:29:30.1Z,2,REGULAR,3pt,Jump Shot,[],202694,80.20696452036793,7.107843137254903,1610612746,37,38,2022-11-01T03:29:35Z,2780000,-214.0,134.0,1,right,MISS M. Morris Sr. 25' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Left Center,25.27,Missed,,,,,,,,,,,,,,,,,,
284,PT04M59.00S,2022-11-01T03:29:33.1Z,2,REGULAR,rebound,defensive,[],1630224,,,1610612745,37,38,2022-11-01T03:29:35Z,2790000,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,283.0,2.0,2.0,0.0,,,,,,,,,,,
285,PT04M52.00S,2022-11-01T03:29:40.4Z,2,REGULAR,2pt,Jump Shot,[],1630224,13.715505913272011,75.98039215686275,1610612745,37,38,2022-11-01T03:29:52Z,2800000,-130.0,76.0,1,left,MISS J. Green 15' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,8-16 Left,15.07,Missed,,,,,,,,,,,,,,,,,,
286,PT04M48.00S,2022-11-01T03:29:44.1Z,2,REGULAR,rebound,defensive,[],1628379,,,1610612746,37,38,2022-11-01T03:29:44Z,2810000,,,0,,L. Kennard REBOUND (Off:0 Def:2),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Mid-Range,8-16 Left,,,,,,285.0,2.0,2.0,0.0,,,,,,,,,,,
287,PT04M44.00S,2022-11-01T03:29:49.0Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1627826,93.34756898817345,49.01960784313726,1610612746,39,38,2022-11-01T03:30:04Z,2820000,-5.0,10.0,1,right,I. Zubac DUNK (6 PTS) (P. George 2 AST),"[1627826, 202331]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.11,Made,6.0,,,,,,,,,,,,,,,P. George,202331.0,2.0
289,PT04M26.00S,2022-11-01T03:30:06.4Z,2,REGULAR,3pt,Jump Shot,[],1630231,28.43298291721419,82.59803921568627,1610612745,39,41,2022-11-01T03:30:12Z,2840000,-163.0,215.0,1,left,K. Martin Jr. 26' 3PT  (8 PTS) (K. Porter Jr. 2 AST),"[1630231, 1629645]",1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Left Center,26.96,Made,8.0,,,,,,,,,,,,,,,K. Porter Jr.,1629645.0,2.0
291,PT04M04.00S,2022-11-01T03:30:28.0Z,2,REGULAR,3pt,Jump Shot,[],1628379,71.00854139290408,21.568627450980387,1610612746,42,41,2022-11-01T03:30:38Z,2860000,-142.0,220.0,1,right,L. Kennard 26' 3PT  (5 PTS) (R. Jackson 3 AST),"[1628379, 202704]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Left Center,26.2,Made,5.0,,,,,,,,,,,,,,,R. Jackson,202704.0,3.0
293,PT03M45.00S,2022-11-01T03:30:47.9Z,2,REGULAR,3pt,Jump Shot,[],1630224,8.196452036793687,3.9215686274509807,1610612745,42,41,2022-11-01T03:30:55Z,2880000,230.0,25.0,1,left,MISS J. Green 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,23.17,Missed,,,,,,,,,,,,,,,,,,
294,PT03M44.00S,2022-11-01T03:30:48.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612745,42,41,2022-11-01T03:30:55Z,2890000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Right Corner 3,24+ Right,,,,,,293.0,,,,,,,,,,,,,,
295,PT03M44.00S,2022-11-01T03:30:54.6Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627826,,,1610612745,42,41,2022-11-01T03:31:02Z,2900000,,,0,,I. Zubac loose ball personal FOUL (2 PF) (Sengun 2 FT),"[1627826, 1630578]",1610612746.0,LAC,loose ball,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202007.0,2.0,0.0,Sengun,1630578.0,,,
297,PT03M44.00S,2022-11-01T03:31:22.8Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630578,,,1610612745,42,42,2022-11-01T03:31:22Z,2920000,,,0,,A. Sengun Free Throw 1 of 2 (7 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
298,PT03M44.00S,2022-11-01T03:31:40.1Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630578,,,1610612745,42,43,2022-11-01T03:31:40Z,2930000,,,0,,A. Sengun Free Throw 2 of 2 (8 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
299,PT03M35.00S,2022-11-01T03:31:50.4Z,2,REGULAR,turnover,bad pass,[],202704,,,1610612746,42,43,2022-11-01T03:31:59Z,2940000,,,0,,R. Jackson bad pass TURNOVER (1 TO),"[202704, 1630231]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Center,,,,,,,,,,1.0,Martin Jr.,1630231.0,,,,,,,,
300,PT03M35.00S,2022-11-01T03:31:50.4Z,2,REGULAR,steal,,[],1630231,,,1610612745,42,43,2022-11-01T03:31:52Z,2950000,,,0,,K. Martin Jr. STEAL (1 STL),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
301,PT03M32.00S,2022-11-01T03:31:53.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630231,5.831143232588701,49.754901960784316,1610612745,42,45,2022-11-01T03:32:03Z,2960000,1.0,2.0,1,left,K. Martin Jr. running DUNK (10 PTS),[1630231],1610612745.0,HOU,running,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,0.26,Made,10.0,,,,,,,,,,,,,,,,,
302,PT03M05.00S,2022-11-01T03:32:20.6Z,2,REGULAR,3pt,Jump Shot,[],202331,69.03745072273324,68.62745098039215,1610612746,42,45,2022-11-01T03:32:38Z,2970000,93.0,239.0,1,right,MISS P. George 25' pullup 3PT - blocked,"[202331, 201569]",1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,25.6,Missed,,Gordon,201569.0,,,,,,,,,,,,,,,
303,PT03M05.00S,2022-11-01T03:32:20.6Z,2,REGULAR,block,,[],201569,,,1610612746,42,45,2022-11-01T03:32:30Z,2980000,,,0,,E. Gordon BLOCK (2 BLK),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
304,PT03M05.00S,2022-11-01T03:32:20.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612746,42,45,2022-11-01T03:32:38Z,2990000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,302.0,,,,,,,,,,,,,,
305,PT03M05.00S,2022-11-01T03:32:34.1Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612746,42,45,2022-11-01T03:33:03Z,3000000,,,0,,LAC shot clock Team TURNOVER,[],1610612746.0,LAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2534.0,,,,,,,
306,PT02M58.00S,2022-11-01T03:32:47.2Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1630224,20.942838370565042,47.549019607843135,1610612745,42,45,2022-11-01T03:32:53Z,3010000,12.0,144.0,1,left,MISS J. Green 14' driving floating Shot,[1630224],1610612745.0,HOU,driving floating,,,Green,J. Green,,,,,Mid-Range,8-16 Center,14.49,Missed,,,,,,,,,,,,,,,,,,
307,PT02M56.00S,2022-11-01T03:32:49.2Z,2,REGULAR,rebound,defensive,[],1627826,,,1610612746,42,45,2022-11-01T03:32:53Z,3020000,,,0,,I. Zubac REBOUND (Off:1 Def:6),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Center,,,,,,306.0,7.0,6.0,1.0,,,,,,,,,,,
308,PT02M37.00S,2022-11-01T03:33:08.4Z,2,REGULAR,3pt,Jump Shot,[],202704,71.66557161629436,14.460784313725497,1610612746,42,45,2022-11-01T03:33:13Z,3030000,-178.0,214.0,1,right,MISS R. Jackson 27' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Left Center,27.8,Missed,,,,,,,,,,,,,,,,,,
309,PT02M34.00S,2022-11-01T03:33:11.4Z,2,REGULAR,rebound,defensive,[],201569,,,1610612745,42,45,2022-11-01T03:33:13Z,3040000,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,,308.0,1.0,1.0,0.0,,,,,,,,,,,
310,PT02M31.00S,2022-11-01T03:33:14.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],201569,25.279237844940866,84.06862745098039,1610612745,42,45,2022-11-01T03:33:22Z,3050000,-170.0,185.0,1,left,MISS E. Gordon 25' running pullup 3PT,[201569],1610612745.0,HOU,running pullup,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Left Center,25.15,Missed,,,,,,,,,,,,,,,,,,
311,PT02M26.00S,2022-11-01T03:33:19.7Z,2,REGULAR,rebound,defensive,[],1628379,,,1610612746,42,45,2022-11-01T03:33:22Z,3060000,,,0,,L. Kennard REBOUND (Off:0 Def:3),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Left Center,,,,,,310.0,3.0,3.0,0.0,,,,,,,,,,,
312,PT02M19.00S,2022-11-01T03:33:25.9Z,2,REGULAR,3pt,Jump Shot,[],1628379,77.84165571616295,92.15686274509804,1610612746,45,45,2022-11-01T03:33:32Z,3070000,211.0,156.0,1,right,L. Kennard 26' 3PT step back (8 PTS),[1628379],1610612746.0,LAC,step back,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Right Center,26.21,Made,8.0,,,,,,,,,,,,,,,,,
313,PT02M02.00S,2022-11-01T03:33:43.6Z,2,REGULAR,turnover,bad pass,[],1629645,,,1610612745,45,45,2022-11-01T03:33:50Z,3080000,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 202331]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1.0,George,202331.0,,,,,,,,
314,PT02M02.00S,2022-11-01T03:33:43.6Z,2,REGULAR,steal,,[],202331,,,1610612746,45,45,2022-11-01T03:33:45Z,3090000,,,0,,P. George STEAL (3 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
315,PT01M58.00S,2022-11-01T03:33:48.4Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202331,92.69053876478318,48.28431372549019,1610612746,47,45,2022-11-01T03:33:58Z,3100000,-9.0,16.0,1,right,P. George running Layup (14 PTS),[202331],1610612746.0,LAC,running,,,George,P. George,,,,,Restricted Area,0-8 Center,1.83,Made,14.0,,,,,,,,,,,,,,,,,
316,PT01M42.00S,2022-11-01T03:34:04.2Z,2,REGULAR,3pt,Jump Shot,[],1630231,24.885019710906704,11.519607843137265,1610612745,47,48,2022-11-01T03:34:08Z,3110000,192.0,181.0,1,left,K. Martin Jr. 26' 3PT  (13 PTS) (K. Porter Jr. 3 AST),"[1630231, 1629645]",1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Right Center,26.44,Made,13.0,,,,,,,,,,,,,,,K. Porter Jr.,1629645.0,3.0
318,PT01M28.00S,2022-11-01T03:34:17.5Z,2,REGULAR,2pt,Jump Shot,[],202331,76.00197109067017,72.54901960784314,1610612746,47,48,2022-11-01T03:34:30Z,3130000,113.0,173.0,1,right,MISS P. George 20' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,16-24 Right Center,20.66,Missed,,,,,,,,,,,,,,,,,,
319,PT01M23.00S,2022-11-01T03:34:22.5Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,47,48,2022-11-01T03:34:30Z,3140000,,,0,,A. Sengun REBOUND (Off:1 Def:3),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Right Center,,,,,,318.0,4.0,3.0,1.0,,,,,,,,,,,
320,PT01M18.00S,2022-11-01T03:34:27.3Z,2,REGULAR,3pt,Jump Shot,[],1630231,33.163600525624176,51.470588235294116,1610612745,47,48,2022-11-01T03:34:32Z,3150000,-7.0,259.0,1,left,MISS K. Martin Jr. 25' 3PT,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Center,25.93,Missed,,,,,,,,,,,,,,,,,,
321,PT01M18.00S,2022-11-01T03:34:27.3Z,2,REGULAR,rebound,defensive,[],1628379,,,1610612746,47,48,2022-11-01T03:34:32Z,3160000,,,0,,L. Kennard REBOUND (Off:0 Def:4),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Center,,,,,,320.0,4.0,4.0,0.0,,,,,,,,,,,
322,PT01M09.00S,2022-11-01T03:34:37.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],202694,92.95335085413929,3.67647058823529,1610612746,47,48,2022-11-01T03:34:44Z,3170000,-232.0,14.0,1,right,MISS M. Morris Sr. 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Left Corner 3,24+ Left,23.2,Missed,,,,,,,,,,,,,,,,,,
323,PT01M06.00S,2022-11-01T03:34:40.4Z,2,REGULAR,rebound,defensive,[],1629645,,,1610612745,47,48,2022-11-01T03:34:44Z,3180000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:2),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Left Corner 3,24+ Left,,,,,,322.0,2.0,2.0,0.0,,,,,,,,,,,
324,PT01M01.00S,2022-11-01T03:34:45.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201569,6.619579500657039,47.30392156862745,1610612745,47,50,2022-11-01T03:37:25Z,3190000,13.0,10.0,1,left,E. Gordon driving Layup (12 PTS),[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,1.66,Made,12.0,,,,,,,,,,,,,,,,,
326,PT00M46.30S,2022-11-01T03:35:04.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,94.00459921156373,49.01960784313726,1610612746,49,50,2022-11-01T03:35:10Z,3210000,-5.0,4.0,1,right,I. Zubac cutting DUNK (8 PTS) (R. Jackson 4 AST),"[1627826, 202704]",1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,0.63,Made,8.0,,,,,,,,,,,,,,,R. Jackson,202704.0,4.0
328,PT00M31.70S,2022-11-01T03:35:25.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,7.670827858081481,53.18627450980392,1610612745,49,52,2022-11-01T03:35:29Z,3230000,-16.0,20.0,1,left,J. Green driving Layup (5 PTS),[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.52,Made,5.0,,,,,,,,,,,,,,,,,
329,PT00M09.20S,2022-11-01T03:35:56.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,93.47897503285151,49.26470588235294,1610612746,51,52,2022-11-01T03:36:01Z,3240000,-4.0,9.0,1,right,I. Zubac DUNK (10 PTS) (P. George 3 AST),"[1627826, 202331]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,0.95,Made,10.0,,,,,,,,,,,,,,,P. George,202331.0,3.0
331,PT00M01.40S,2022-11-01T03:36:12.3Z,2,REGULAR,3pt,Jump Shot,[],1630224,11.350197109067011,3.67647058823529,1610612745,51,52,2022-11-01T03:36:36Z,3260000,232.0,54.0,1,left,MISS J. Green step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Right Corner 3,24+ Right,23.79,Missed,,,,,,,,,,,,,,,,,,
332,PT00M00.10S,2022-11-01T03:36:13.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612745,51,52,2022-11-01T03:36:36Z,3270000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Right Corner 3,24+ Right,,,,,,331.0,,,,,,,,,,,,,,
333,PT00M00.00S,2022-11-01T03:36:14.9Z,2,REGULAR,period,end,[],0,,,1610612745,51,52,2022-11-01T03:36:14Z,3280000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,PT12M00.00S,2022-11-01T03:51:12.2Z,3,REGULAR,substitution,out,['startperiod'],1630231,,,1610612745,51,52,2022-11-01T03:51:28Z,3290000,,,0,,SUB out: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
335,PT12M00.00S,2022-11-01T03:51:12.2Z,3,REGULAR,substitution,in,['startperiod'],1631095,,,1610612745,51,52,2022-11-01T03:51:28Z,3300000,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
336,PT12M00.00S,2022-11-01T03:51:27.1Z,3,REGULAR,period,start,[],0,,,1610612746,51,52,2022-11-01T03:51:29Z,3310000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
