actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
584,PT04M53.00S,2024-04-08T00:09:15.3Z,4,REGULAR,substitution,out,[],1628960,,,1610612756,99,103,2024-04-08T00:09:32Z,5650000,False,,,0,,SUB out: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
586,PT04M53.00S,2024-04-08T00:09:15.3Z,4,REGULAR,substitution,in,[],203078,,,1610612756,99,103,2024-04-08T00:09:32Z,5670000,False,,,0,,SUB in: B. Beal,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
587,PT04M53.00S,2024-04-08T00:09:15.3Z,4,REGULAR,substitution,in,[],1630700,,,1610612756,99,103,2024-04-08T00:09:32Z,5680000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
588,PT04M53.00S,2024-04-08T00:09:15.3Z,4,REGULAR,substitution,out,[],1630530,,,1610612756,99,103,2024-04-08T00:10:04Z,5690000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
589,PT04M35.00S,2024-04-08T00:10:06.3Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],201142,87.33574244415243,51.9607843137255,1610612756,99,103,2024-04-08T00:10:11Z,5700000,False,10.0,67.0,1,right,MISS K. Durant 6' driving Layup - blocked,"[201142, 1629627]",1610612756.0,PHX,driving,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,6.72,Missed,Williamson,1629627.0,,,,,,,,,,,,,,,,
590,PT04M35.00S,2024-04-08T00:10:06.3Z,4,REGULAR,block,,[],1629627,,,1610612756,99,103,2024-04-08T00:10:08Z,5710000,False,,,0,,Z. Williamson BLOCK (5 BLK),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
591,PT04M32.00S,2024-04-08T00:10:09.3Z,4,REGULAR,rebound,defensive,[],1626204,,,1610612740,99,103,2024-04-08T00:10:11Z,5720000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:7),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,589.0,7.0,7.0,0.0,,,,,,,,,,,,
592,PT04M24.00S,2024-04-08T00:10:16.4Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,13.485545335085414,40.19607843137255,1610612740,99,103,2024-04-08T00:10:25Z,5730000,False,49.0,74.0,1,left,MISS Z. Williamson 8' Jump Shot - blocked,"[1629627, 1626220]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Right,8.9,Missed,O'Neale,1626220.0,,,,,,,,,,,,,,,,
593,PT04M24.00S,2024-04-08T00:10:16.4Z,4,REGULAR,block,,[],1626220,,,1610612740,99,103,2024-04-08T00:11:04Z,5740000,False,,,0,,R. O'Neale BLOCK (2 BLK),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
594,PT04M23.00S,2024-04-08T00:10:17.4Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612756,99,103,2024-04-08T00:10:25Z,5750000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,592.0,,,,,,,,,,,,,,,
596,PT04M02.00S,2024-04-08T00:10:48.7Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,85.10183968462549,46.81372549019608,1610612756,101,103,2024-04-08T00:10:55Z,5770000,False,-16.0,88.0,1,right,B. Beal 8' Jump Shot (33 PTS) (D. Booker 7 AST),"[203078, 1626164]",1610612756.0,PHX,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,8.89,Made,,,,,,,33.0,D. Booker,1626164.0,7.0,,,,,,,,
598,PT03M43.00S,2024-04-08T00:11:11.2Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629234,,,1610612740,101,103,2024-04-08T00:11:16Z,5790000,False,,,0,,D. Eubanks personal FOUL (3 PF) (Nance Jr. 2 FT),"[1629234, 1626204]",1610612756.0,PHX,,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1626301.0,3.0,0.0,Nance Jr.,1626204.0
600,PT03M43.00S,2024-04-08T00:11:48.2Z,4,REGULAR,freethrow,1 of 2,[],1626204,,,1610612740,101,104,2024-04-08T00:11:48Z,5810000,False,,,0,,L. Nance Jr. Free Throw 1 of 2 (8 PTS),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
601,PT03M43.00S,2024-04-08T00:11:48.8Z,4,REGULAR,substitution,out,[],1629234,,,1610612740,101,104,2024-04-08T00:12:12Z,5820000,False,,,0,,SUB out: D. Eubanks,[1629234],1610612756.0,PHX,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
