actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
176,PT09M19.00S,2024-01-23T02:42:00.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203083,90.3580814717477,50.245098039215684,1610612741,29,41,2024-01-23T02:42:23Z,1740000,False,1.0,38.0,1,right,MISS A. Drummond driving floating Shot,[203083],1610612741.0,CHI,driving floating,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,3.81,Missed,,,,,,,,,,,,,,,,,,
177,PT09M18.00S,2024-01-23T02:42:01.5Z,2,REGULAR,rebound,defensive,[],201142,,,1610612756,29,41,2024-01-23T02:42:07Z,1750000,False,,,0,,K. Durant REBOUND (Off:1 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,176.0,,,,,2.0,1.0,1.0,,,,,,,,,,
178,PT09M06.00S,2024-01-23T02:42:15.2Z,2,REGULAR,foul,personal,['2freethrow'],1630245,,,1610612756,29,41,2024-01-23T02:42:25Z,1760000,False,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Durant 2 FT),"[1630245, 201142]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1628159.0,,1.0,0.0,Durant,201142.0,,,,
180,PT09M06.00S,2024-01-23T02:42:43.4Z,2,REGULAR,freethrow,1 of 2,[],201142,,,1610612756,30,41,2024-01-23T02:42:43Z,1780000,False,,,0,,K. Durant Free Throw 1 of 2 (11 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,Made,,11.0,,,,,,,,,,,,,,,,
181,PT09M06.00S,2024-01-23T02:42:44.0Z,2,REGULAR,substitution,out,[],1630245,,,1610612756,30,41,2024-01-23T02:42:49Z,1790000,False,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT09M06.00S,2024-01-23T02:42:44.0Z,2,REGULAR,substitution,in,[],1629632,,,1610612756,30,41,2024-01-23T02:42:49Z,1800000,False,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT09M06.00S,2024-01-23T02:43:03.9Z,2,REGULAR,freethrow,2 of 2,[],201142,,,1610612756,31,41,2024-01-23T02:43:03Z,1810000,False,,,0,,K. Durant Free Throw 2 of 2 (12 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,Made,,12.0,,,,,,,,,,,,,,,,
184,PT08M52.00S,2024-01-23T02:43:20.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203083,90.88370565045992,50.73529411764706,1610612741,31,43,2024-01-23T02:43:23Z,1820000,False,4.0,33.0,1,right,A. Drummond Layup (4 PTS),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,3.34,Made,,4.0,,,,,,,,,,,,,,,,
185,PT08M31.00S,2024-01-23T02:43:40.7Z,2,REGULAR,turnover,bad pass,[],1630240,,,1610612756,31,43,2024-01-23T02:43:44Z,1830000,False,,,0,,S. Lee bad pass TURNOVER (1 TO),"[1630240, 1630172]",1610612756.0,PHX,,,,Lee,S. Lee,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,1.0,,,,,Williams,1630172.0,,
186,PT08M31.00S,2024-01-23T02:43:40.7Z,2,REGULAR,steal,,[],1630172,,,1610612741,31,43,2024-01-23T02:43:42Z,1840000,False,,,0,,P. Williams STEAL (1 STL),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
187,PT08M25.00S,2024-01-23T02:43:47.2Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630172,92.59198423127464,49.26470588235294,1610612741,31,45,2024-01-23T02:44:30Z,1850000,False,-4.0,17.0,1,right,P. Williams running finger roll Layup (5 PTS),[1630172],1610612741.0,CHI,running finger roll,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,1.75,Made,,5.0,,,,,,,,,,,,,,,,
188,PT08M11.00S,2024-01-23T02:44:01.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630240,6.783837056504599,51.9607843137255,1610612756,33,45,2024-01-23T02:44:08Z,1860000,False,-10.0,11.0,1,left,S. Lee cutting Layup (2 PTS) (B. Beal 1 AST),"[1630240, 203078]",1610612756.0,PHX,cutting,,,Lee,S. Lee,,,,,Restricted Area,0-8 Center,1.5,Made,,2.0,B. Beal,203078.0,1.0,,,,,,,,,,,,,
190,PT07M58.00S,2024-01-23T02:44:17.9Z,2,REGULAR,foul,personal,['2freethrow'],201142,,,1610612741,33,45,2024-01-23T02:44:34Z,1880000,False,,,0,,K. Durant shooting personal FOUL (1 PF) (Drummond 2 FT),"[201142, 203083]",1610612756.0,PHX,shooting,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1628159.0,,1.0,0.0,Drummond,203083.0,,,,
192,PT07M58.00S,2024-01-23T02:44:47.8Z,2,REGULAR,freethrow,1 of 2,[],203083,,,1610612741,33,45,2024-01-23T02:44:47Z,1900000,False,,,0,,MISS A. Drummond Free Throw 1 of 2,[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
193,PT07M58.00S,2024-01-23T02:44:47.8Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,33,45,2024-01-23T02:44:47Z,1910000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,192.0,,,,,,,,,,,,,,,,,
194,PT07M58.00S,2024-01-23T02:44:49.3Z,2,REGULAR,substitution,out,[],1628966,,,1610612741,33,45,2024-01-23T02:44:52Z,1920000,False,,,0,,SUB out: K. Bates-Diop,[1628966],1610612756.0,PHX,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT07M58.00S,2024-01-23T02:44:49.3Z,2,REGULAR,substitution,in,[],1628960,,,1610612741,33,45,2024-01-23T02:44:52Z,1930000,False,,,0,,SUB in: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT07M58.00S,2024-01-23T02:45:03.0Z,2,REGULAR,freethrow,2 of 2,[],203083,,,1610612741,33,46,2024-01-23T02:45:03Z,1940000,False,,,0,,A. Drummond Free Throw 2 of 2 (5 PTS),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,Made,,5.0,,,,,,,,,,,,,,,,
197,PT07M38.00S,2024-01-23T02:45:24.2Z,2,REGULAR,3pt,Jump Shot,[],1630240,32.14520367936925,54.90196078431373,1610612756,33,46,2024-01-23T02:45:41Z,1950000,False,-25.0,250.0,1,left,MISS S. Lee 25' 3PT,[1630240],1610612756.0,PHX,,,,Lee,S. Lee,,,,,Above the Break 3,24+ Center,25.09,Missed,,,,,,,,,,,,,,,,,,
198,PT07M35.00S,2024-01-23T02:45:27.2Z,2,REGULAR,rebound,defensive,[],1629632,,,1610612741,33,46,2024-01-23T02:45:29Z,1960000,False,,,0,,C. White REBOUND (Off:1 Def:2),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Center,,,197.0,,,,,3.0,2.0,1.0,,,,,,,,,,
199,PT07M19.00S,2024-01-23T02:45:42.9Z,2,REGULAR,3pt,Jump Shot,[],1630172,93.9060446780552,1.2254901960784315,1610612741,33,49,2024-01-23T02:45:46Z,1970000,False,-244.0,5.0,1,right,P. Williams 24' 3PT  (8 PTS) (C. White 6 AST),"[1630172, 1629632]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Left Corner 3,24+ Left,24.39,Made,,8.0,C. White,1629632.0,6.0,,,,,,,,,,,,,
201,PT07M06.00S,2024-01-23T02:45:56.4Z,2,REGULAR,3pt,Jump Shot,[],1628960,19.66162943495401,6.372549019607843,1610612756,36,49,2024-01-23T02:46:00Z,1990000,False,218.0,132.0,1,left,G. Allen 25' 3PT  (3 PTS) (S. Lee 1 AST),"[1628960, 1630240]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,25.51,Made,,3.0,S. Lee,1630240.0,1.0,,,,,,,,,,,,,
203,PT06M54.00S,2024-01-23T02:46:08.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628975,83.52496714848883,48.28431372549019,1610612741,36,49,2024-01-23T02:46:12Z,2010000,False,-9.0,102.0,1,right,MISS J. Carter 10' driving floating Shot,[1628975],1610612741.0,CHI,driving floating,,,Carter,J. Carter,,,,,In The Paint (Non-RA),8-16 Center,10.28,Missed,,,,,,,,,,,,,,,,,,
204,PT06M52.00S,2024-01-23T02:46:10.8Z,2,REGULAR,rebound,defensive,[],1630240,,,1610612756,36,49,2024-01-23T02:46:12Z,2020000,False,,,0,,S. Lee REBOUND (Off:0 Def:1),[1630240],1610612756.0,PHX,,,,Lee,S. Lee,,,,,In The Paint (Non-RA),8-16 Center,,,203.0,,,,,1.0,1.0,0.0,,,,,,,,,,
205,PT06M42.00S,2024-01-23T02:46:20.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,10.068988173455978,62.254901960784316,1610612756,36,49,2024-01-23T02:46:26Z,2030000,False,-61.0,42.0,1,left,MISS B. Beal 7' driving bank Shot,[203078],1610612756.0,PHX,driving bank,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,7.44,Missed,,,,,,,,,,,,,,,,,,
206,PT06M41.00S,2024-01-23T02:46:21.9Z,2,REGULAR,rebound,defensive,[],203083,,,1610612741,36,49,2024-01-23T02:46:26Z,2040000,False,,,0,,A. Drummond REBOUND (Off:3 Def:1),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,,,205.0,,,,,4.0,1.0,3.0,,,,,,,,,,
207,PT06M30.00S,2024-01-23T02:46:32.1Z,2,REGULAR,2pt,Jump Shot,[],1630172,83.65637319316689,81.86274509803921,1610612741,36,49,2024-01-23T02:47:18Z,2050000,False,159.0,101.0,1,right,MISS P. Williams 18' pullup Shot,[1630172],1610612741.0,CHI,pullup,,,Williams,P. Williams,,,,,Mid-Range,16-24 Right,18.87,Missed,,,,,,,,,,,,,,,,,,
208,PT06M29.00S,2024-01-23T02:46:33.1Z,2,REGULAR,rebound,defensive,[],1630240,,,1610612756,36,49,2024-01-23T02:46:35Z,2060000,False,,,0,,S. Lee REBOUND (Off:0 Def:2),[1630240],1610612756.0,PHX,,,,Lee,S. Lee,,,,,Mid-Range,16-24 Right,,,207.0,,,,,2.0,2.0,0.0,,,,,,,,,,
209,PT06M18.00S,2024-01-23T02:46:44.1Z,2,REGULAR,3pt,Jump Shot,[],201142,28.465834428383708,83.08823529411765,1610612756,36,49,2024-01-23T02:46:47Z,2070000,False,-165.0,215.0,1,left,MISS K. Durant 27' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,27.13,Missed,,,,,,,,,,,,,,,,,,
210,PT06M17.00S,2024-01-23T02:46:45.1Z,2,REGULAR,rebound,defensive,[],1629632,,,1610612741,36,49,2024-01-23T02:46:47Z,2080000,False,,,0,,C. White REBOUND (Off:1 Def:3),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,209.0,,,,,4.0,3.0,1.0,,,,,,,,,,
211,PT06M14.00S,2024-01-23T02:46:53.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,36,49,2024-01-23T02:46:53Z,2090000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT06M14.00S,2024-01-23T02:49:27.9Z,2,REGULAR,substitution,out,[],203078,,,1610612741,36,49,2024-01-23T02:49:42Z,2100000,False,,,0,,SUB out: B. Beal,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT06M14.00S,2024-01-23T02:49:27.9Z,2,REGULAR,substitution,out,[],1629234,,,1610612741,36,49,2024-01-23T02:49:42Z,2110000,False,,,0,,SUB out: D. Eubanks,[1629234],1610612756.0,PHX,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT06M14.00S,2024-01-23T02:49:27.9Z,2,REGULAR,substitution,out,[],1630240,,,1610612741,36,49,2024-01-23T02:49:42Z,2120000,False,,,0,,SUB out: S. Lee,[1630240],1610612756.0,PHX,,,,Lee,S. Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT06M14.00S,2024-01-23T02:49:27.9Z,2,REGULAR,substitution,out,[],203083,,,1610612741,36,49,2024-01-23T02:49:42Z,2130000,False,,,0,,SUB out: A. Drummond,[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT06M14.00S,2024-01-23T02:49:27.9Z,2,REGULAR,substitution,out,[],201942,,,1610612741,36,49,2024-01-23T02:49:42Z,2140000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT06M14.00S,2024-01-23T02:49:27.9Z,2,REGULAR,substitution,in,[],203994,,,1610612741,36,49,2024-01-23T02:49:42Z,2150000,False,,,0,,SUB in: J. Nurkic,[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT06M14.00S,2024-01-23T02:49:27.9Z,2,REGULAR,substitution,in,[],1626164,,,1610612741,36,49,2024-01-23T02:49:42Z,2160000,False,,,0,,SUB in: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M14.00S,2024-01-23T02:49:27.9Z,2,REGULAR,substitution,in,[],1629006,,,1610612741,36,49,2024-01-23T02:49:42Z,2170000,False,,,0,,SUB in: J. Okogie,[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT06M14.00S,2024-01-23T02:49:27.9Z,2,REGULAR,substitution,in,[],202696,,,1610612741,36,49,2024-01-23T02:49:42Z,2180000,False,,,0,,SUB in: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT06M14.00S,2024-01-23T02:49:27.9Z,2,REGULAR,substitution,in,[],1630245,,,1610612741,36,49,2024-01-23T02:49:42Z,2190000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT06M05.00S,2024-01-23T02:49:57.8Z,2,REGULAR,2pt,Jump Shot,[],1630172,74.72076215505913,48.03921568627451,1610612741,36,49,2024-01-23T02:50:48Z,2200000,False,-10.0,185.0,1,right,MISS P. Williams 18' fadeaway Shot,[1630172],1610612741.0,CHI,fadeaway,,,Williams,P. Williams,,,,,Mid-Range,16-24 Center,18.54,Missed,,,,,,,,,,,,,,,,,,
223,PT06M01.00S,2024-01-23T02:50:01.8Z,2,REGULAR,rebound,defensive,[],1628960,,,1610612756,36,49,2024-01-23T02:50:03Z,2210000,False,,,0,,G. Allen REBOUND (Off:0 Def:2),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Mid-Range,16-24 Center,,,222.0,,,,,2.0,2.0,0.0,,,,,,,,,,
224,PT05M48.00S,2024-01-23T02:50:13.5Z,2,REGULAR,3pt,Jump Shot,[],201142,31.488173455978973,70.09803921568627,1610612756,36,49,2024-01-23T02:50:18Z,2220000,False,-100.0,243.0,1,left,MISS K. Durant 26' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,26.34,Missed,,,,,,,,,,,,,,,,,,
225,PT05M45.00S,2024-01-23T02:50:16.5Z,2,REGULAR,rebound,defensive,[],1630172,,,1610612741,36,49,2024-01-23T02:50:18Z,2230000,False,,,0,,P. Williams REBOUND (Off:0 Def:2),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,224.0,,,,,2.0,2.0,0.0,,,,,,,,,,
226,PT05M42.00S,2024-01-23T02:50:19.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628975,80.1084099868594,5.147058823529411,1610612741,36,49,2024-01-23T02:50:30Z,2240000,False,-224.0,134.0,1,right,MISS J. Carter 26' running 3PT,[1628975],1610612741.0,CHI,running,,,Carter,J. Carter,,,,,Above the Break 3,24+ Left Center,26.15,Missed,,,,,,,,,,,,,,,,,,
227,PT05M37.00S,2024-01-23T02:50:25.1Z,2,REGULAR,rebound,offensive,[],1630245,,,1610612741,36,49,2024-01-23T02:50:25Z,2250000,False,,,0,,A. Dosunmu REBOUND (Off:1 Def:0),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,,,226.0,,,,,1.0,0.0,1.0,,,,,,,,,,
228,PT05M35.00S,2024-01-23T02:50:26.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630245,89.22470433639947,42.79258578431372,1610612741,36,49,2024-01-23T02:50:38Z,2260000,False,-36.0,49.0,1,right,MISS A. Dosunmu 6' driving Layup - blocked,"[1630245, 203994]",1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,6.06,Missed,,,,,,,,,,,,,,,,,Nurkic,203994.0
229,PT05M35.00S,2024-01-23T02:50:26.4Z,2,REGULAR,block,,[],203994,,,1610612741,36,49,2024-01-23T02:50:28Z,2270000,False,,,0,,J. Nurkic BLOCK (1 BLK),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
230,PT05M32.00S,2024-01-23T02:50:29.4Z,2,REGULAR,rebound,defensive,[],1628960,,,1610612756,36,49,2024-01-23T02:50:38Z,2280000,False,,,0,,G. Allen REBOUND (Off:0 Def:3),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,228.0,,,,,3.0,3.0,0.0,,,,,,,,,,
232,PT05M25.00S,2024-01-23T02:50:40.8Z,2,REGULAR,substitution,out,[],1630172,,,1610612756,36,49,2024-01-23T02:50:44Z,2300000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT05M25.00S,2024-01-23T02:50:40.8Z,2,REGULAR,substitution,in,[],1627936,,,1610612756,36,49,2024-01-23T02:50:44Z,2310000,False,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT05M22.00S,2024-01-23T02:51:00.3Z,2,REGULAR,2pt,Jump Shot,[],201142,5.206964520367937,18.38235294117647,1610612756,36,49,2024-01-23T02:52:30Z,2320000,False,158.0,-4.0,1,left,MISS K. Durant 15' fadeaway Shot,[201142],1610612756.0,PHX,fadeaway,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,15.81,Missed,,,,,,,,,,,,,,,,,,
235,PT05M19.00S,2024-01-23T02:51:03.3Z,2,REGULAR,rebound,defensive,[],202696,,,1610612741,36,49,2024-01-23T02:51:03Z,2330000,False,,,0,,N. Vucevic REBOUND (Off:2 Def:6),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Right,,,234.0,,,,,8.0,6.0,2.0,,,,,,,,,,
236,PT05M11.00S,2024-01-23T02:51:10.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,93.11760840998686,47.549019607843135,1610612741,36,51,2024-01-23T02:51:17Z,2340000,False,-12.0,12.0,1,right,C. White driving finger roll Layup (13 PTS) (N. Vucevic 5 AST),"[1629632, 202696]",1610612741.0,CHI,driving finger roll,,,White,C. White,,,,,Restricted Area,0-8 Center,1.73,Made,,13.0,N. Vucevic,202696.0,5.0,,,,,,,,,,,,,
238,PT04M54.00S,2024-01-23T02:51:27.6Z,2,REGULAR,3pt,Jump Shot,[],1629006,5.995400788436268,96.32352941176471,1610612756,36,51,2024-01-23T02:51:30Z,2360000,False,-232.0,4.0,1,left,MISS J. Okogie 3PT,[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,Left Corner 3,24+ Left,23.16,Missed,,,,,,,,,,,,,,,,,,
239,PT04M52.00S,2024-01-23T02:51:29.6Z,2,REGULAR,rebound,defensive,[],202696,,,1610612741,36,51,2024-01-23T02:51:30Z,2370000,False,,,0,,N. Vucevic REBOUND (Off:2 Def:7),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Left Corner 3,24+ Left,,,238.0,,,,,9.0,7.0,2.0,,,,,,,,,,
240,PT04M43.00S,2024-01-23T02:51:38.4Z,2,REGULAR,3pt,Jump Shot,[],1628975,74.45795006570303,86.02941176470588,1610612741,36,51,2024-01-23T02:51:43Z,2380000,False,180.0,188.0,1,right,MISS J. Carter 26' 3PT,[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,Above the Break 3,24+ Right Center,26.01,Missed,,,,,,,,,,,,,,,,,,
241,PT04M39.00S,2024-01-23T02:51:42.4Z,2,REGULAR,rebound,defensive,[],1629006,,,1610612756,36,51,2024-01-23T02:51:43Z,2390000,False,,,0,,J. Okogie REBOUND (Off:0 Def:1),[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,Above the Break 3,24+ Right Center,,,240.0,,,,,1.0,1.0,0.0,,,,,,,,,,
242,PT04M27.00S,2024-01-23T02:51:54.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629006,5.863994743758213,45.34313725490196,1610612756,38,51,2024-01-23T02:51:58Z,2400000,False,23.0,3.0,1,left,J. Okogie cutting Layup (2 PTS) (K. Durant 4 AST),"[1629006, 201142]",1610612756.0,PHX,cutting,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,2.34,Made,,2.0,K. Durant,201142.0,4.0,,,,,,,,,,,,,
244,PT04M27.00S,2024-01-23T02:51:58.7Z,2,REGULAR,timeout,full,['team'],0,,,1610612741,38,51,2024-01-23T02:51:58Z,2420000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT04M27.00S,2024-01-23T02:53:05.6Z,2,REGULAR,substitution,out,[],201142,,,1610612741,38,51,2024-01-23T02:53:19Z,2430000,False,,,0,,SUB out: K. Durant,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT04M27.00S,2024-01-23T02:53:05.6Z,2,REGULAR,substitution,out,[],1628975,,,1610612741,38,51,2024-01-23T02:53:19Z,2440000,False,,,0,,SUB out: J. Carter,[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT04M27.00S,2024-01-23T02:53:05.6Z,2,REGULAR,substitution,in,[],1628966,,,1610612741,38,51,2024-01-23T02:53:19Z,2450000,False,,,0,,SUB in: K. Bates-Diop,[1628966],1610612756.0,PHX,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT04M27.00S,2024-01-23T02:53:05.6Z,2,REGULAR,substitution,in,[],201942,,,1610612741,38,51,2024-01-23T02:53:19Z,2460000,False,,,0,,SUB in: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT04M15.00S,2024-01-23T02:53:43.3Z,2,REGULAR,3pt,Jump Shot,[],1629632,67.49342969776609,26.715686274509803,1610612741,38,51,2024-01-23T02:53:47Z,2470000,False,-116.0,253.0,1,right,MISS C. White 27' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,27.86,Missed,,,,,,,,,,,,,,,,,,
250,PT04M12.00S,2024-01-23T02:53:46.3Z,2,REGULAR,rebound,defensive,[],203994,,,1610612756,38,51,2024-01-23T02:53:47Z,2480000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Left Center,,,249.0,,,,,2.0,2.0,0.0,,,,,,,,,,
251,PT04M05.00S,2024-01-23T02:53:53.3Z,2,REGULAR,foul,personal,['2freethrow'],202696,,,1610612756,38,51,2024-01-23T02:54:12Z,2490000,False,,,0,,N. Vucevic shooting personal FOUL (1 PF) (Booker 2 FT),"[202696, 1626164]",1610612741.0,CHI,shooting,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1830.0,,1.0,0.0,Booker,1626164.0,,,,
253,PT04M05.00S,2024-01-23T02:54:18.8Z,2,REGULAR,freethrow,1 of 2,[],1626164,,,1610612756,39,51,2024-01-23T02:54:18Z,2510000,False,,,0,,D. Booker Free Throw 1 of 2 (8 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,,8.0,,,,,,,,,,,,,,,,
254,PT04M05.00S,2024-01-23T02:54:33.5Z,2,REGULAR,freethrow,2 of 2,[],1626164,,,1610612756,40,51,2024-01-23T02:54:33Z,2520000,False,,,0,,D. Booker Free Throw 2 of 2 (9 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,,9.0,,,,,,,,,,,,,,,,
255,PT03M53.00S,2024-01-23T02:54:48.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,81.42247043363994,41.911764705882355,1610612741,40,53,2024-01-23T02:54:51Z,2530000,False,-40.0,122.0,1,right,D. DeRozan 12' pullup Jump Shot (6 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,12.86,Made,,6.0,,,,,,,,,,,,,,,,
256,PT03M49.00S,2024-01-23T02:54:52.8Z,2,REGULAR,turnover,bad pass,[],1628960,,,1610612756,40,53,2024-01-23T02:55:02Z,2540000,False,,,0,,G. Allen bad pass TURNOVER (1 TO),"[1628960, 1630245]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,1.0,,,,,Dosunmu,1630245.0,,
