actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
16,PT10M50.00S,2025-10-25T00:14:21.8Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,3,0,2025-10-25T00:14:26Z,160000,False,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,
17,PT10M47.00S,2025-10-25T00:14:23.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,94.40999984741211,50.0,1610612745,3,0,2025-10-25T00:14:23Z,170000,False,0.0,0.0,1,right,MISS A. Sengun tip Layup,[1630578],1610612745.0,HOU,tip,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,,,,0.0,Missed,,,,,,,,,,,,,,,
18,PT10M47.00S,2025-10-25T00:14:24.5Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,3,0,2025-10-25T00:14:24Z,180000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
19,PT10M39.00S,2025-10-25T00:14:32.6Z,1,REGULAR,turnover,bad pass,[],202699,,,1610612765,3,0,2025-10-25T00:14:36Z,190000,False,,,0,,T. Harris bad pass TURNOVER (1 TO),"[202699, 201142]",1610612765.0,DET,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Right,1.0,Durant,201142.0,,,,,,,,,,,,,,,,,
20,PT10M39.00S,2025-10-25T00:14:32.6Z,1,REGULAR,steal,,[],201142,,,1610612745,3,0,2025-10-25T00:14:34Z,200000,False,,,0,,K. Durant STEAL (1 STL),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
21,PT10M33.00S,2025-10-25T00:14:41.0Z,1,REGULAR,foul,personal,['2freethrow'],1641709,,,1610612745,3,0,2025-10-25T00:15:00Z,210000,False,,,0,,A. Thompson shooting personal FOUL (2 PF) (Thompson 2 FT),"[1641709, 1641708]",1610612765.0,DET,shooting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,202053.0,2.0,0.0,Thompson,1641708.0,,,,,,,,,
23,PT10M33.00S,2025-10-25T00:15:05.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1641708,,,1610612745,3,0,2025-10-25T00:15:05Z,230000,False,,,0,,MISS A. Thompson Free Throw 1 of 2,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
24,PT10M33.00S,2025-10-25T00:15:05.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,3,0,2025-10-25T00:15:05Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,
25,PT10M33.00S,2025-10-25T00:15:06.5Z,1,REGULAR,substitution,out,[],1641709,,,1610612745,3,0,2025-10-25T00:15:16Z,250000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M33.00S,2025-10-25T00:15:06.5Z,1,REGULAR,substitution,in,[],1641842,,,1610612745,3,0,2025-10-25T00:15:16Z,260000,False,,,0,,SUB in: R. Holland II,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M33.00S,2025-10-25T00:15:25.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1641708,,,1610612745,4,0,2025-10-25T00:15:25Z,270000,False,,,0,,A. Thompson Free Throw 2 of 2 (1 PTS),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
28,PT10M24.00S,2025-10-25T00:15:37.2Z,1,REGULAR,3pt,Jump Shot,[],1630595,33.196452036793694,55.88235294117647,1610612765,4,3,2025-10-25T00:40:08Z,280000,False,-29.0,260.0,1,left,C. Cunningham 26' 3PT  (3 PTS) (R. Holland II 1 AST),"[1630595, 1641842]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,,,,26.12,Made,3.0,,,,,,,,,,R. Holland II,1641842.0,1.0,,
