actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,jumpBallRecoverdPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
168,PT10M55.00S,2026-02-26T01:39:44.4Z,2,REGULAR,block,,[],1642384,,,1610612758,38,22,2026-02-26T01:39:46Z,1660000,False,,,0,,I. Crawford BLOCK (1 BLK),[1642384],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Crawford,I. Crawford,,,,,,,,,,,,,,,,,,,
169,PT10M54.00S,2026-02-26T01:39:45.4Z,2,REGULAR,rebound,defensive,[],1642384,,,1610612745,38,22,2026-02-26T01:39:48Z,1670000,False,,,0,,I. Crawford REBOUND (Off:0 Def:1),[1642384],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Crawford,I. Crawford,,,167.0,1.0,1.0,0.0,,,,,,,,,,,,,
170,PT10M45.00S,2026-02-26T01:39:54.2Z,2,REGULAR,turnover,lost ball,[],1642384,,,1610612745,38,22,2026-02-26T01:39:58Z,1680000,False,,,0,,I. Crawford lost ball TURNOVER (1 TO),"[1642384, 1631116]",1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Crawford,I. Crawford,,,,,,,,,1.0,,,,,Baldwin Jr.,1631116.0,,,,
171,PT10M45.00S,2026-02-26T01:39:54.2Z,2,REGULAR,steal,,[],1631116,,,1610612758,38,22,2026-02-26T01:39:56Z,1690000,False,,,0,,P. Baldwin Jr. STEAL (1 STL),[1631116],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Baldwin Jr.,P. Baldwin Jr.,,,,,,,,,,,,,,,,,,,
172,PT10M38.00S,2026-02-26T01:40:01.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628370,19.267411300919843,4.6568627450980395,1610612758,38,22,2026-02-26T01:46:36Z,1700000,False,227.0,129.0,1,left,MISS M. Monk 26' pullup 3PT,[1628370],1610612758.0,SAC,pullup,,,,,,Above the Break 3,24+ Right Center,26.06,Missed,Monk,M. Monk,,,,,,,,,,,,,,,,,,,
173,PT10M37.00S,2026-02-26T01:40:02.7Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,38,22,2026-02-26T01:40:08Z,1710000,False,,,0,,A. Sengun REBOUND (Off:1 Def:4),[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Sengun,A. Sengun,,,172.0,5.0,4.0,1.0,,,,,,,,,,,,,
174,PT10M25.00S,2026-02-26T01:40:14.4Z,2,REGULAR,3pt,Jump Shot,[],1642263,64.07687253613666,58.08823529411765,1610612745,41,22,2026-02-26T01:47:34Z,1720000,False,40.0,285.0,1,right,R. Sheppard 28' 3PT pullup (14 PTS),[1642263],1610612745.0,HOU,pullup,,,,,,Above the Break 3,24+ Center,28.8,Made,Sheppard,R. Sheppard,,,,,,,14.0,,,,,,,,,,,,
175,PT10M24.00S,2026-02-26T01:40:21.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,41,22,2026-02-26T01:40:21Z,1730000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT10M07.00S,2026-02-26T01:43:34.9Z,2,REGULAR,2pt,Jump Shot,[],1630165,22.28975032851511,43.872549019607845,1610612758,41,22,2026-02-26T01:43:41Z,1740000,False,31.0,157.0,1,left,MISS K. Hayes 16' pullup Shot,[1630165],1610612758.0,SAC,pullup,,,,,,Mid-Range,8-16 Center,16.0,Missed,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,
177,PT10M03.00S,2026-02-26T01:43:38.9Z,2,REGULAR,rebound,offensive,[],1630173,,,1610612758,41,22,2026-02-26T01:43:41Z,1750000,False,,,0,,P. Achiuwa REBOUND (Off:2 Def:1),[1630173],1610612758.0,SAC,,,,,,,Mid-Range,8-16 Center,,,Achiuwa,P. Achiuwa,,,176.0,3.0,1.0,2.0,,,,,,,,,,,,,
178,PT10M03.00S,2026-02-26T01:43:38.6Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630173,5.590000152587891,50.0,1610612758,41,22,2026-02-26T01:43:44Z,1760000,False,0.0,0.0,1,left,MISS P. Achiuwa tip Layup,[1630173],1610612758.0,SAC,tip,,,,,,Restricted Area,0-8 Center,0.0,Missed,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,
179,PT10M03.00S,2026-02-26T01:43:38.6Z,2,REGULAR,rebound,offensive,[],1630173,,,1610612758,41,22,2026-02-26T01:43:44Z,1770000,False,,,0,,P. Achiuwa REBOUND (Off:3 Def:1),[1630173],1610612758.0,SAC,,,,,,,Restricted Area,0-8 Center,,,Achiuwa,P. Achiuwa,,,178.0,4.0,1.0,3.0,,,,,,,,,,,,,
180,PT09M59.00S,2026-02-26T01:43:43.7Z,2,REGULAR,turnover,bad pass,[],1630173,,,1610612758,41,22,2026-02-26T01:43:47Z,1780000,False,,,0,,P. Achiuwa bad pass TURNOVER (1 TO),"[1630173, 1629006]",1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Achiuwa,P. Achiuwa,,,,,,,,,1.0,,,,,Okogie,1629006.0,,,,
181,PT09M59.00S,2026-02-26T01:43:43.7Z,2,REGULAR,steal,,[],1629006,,,1610612745,41,22,2026-02-26T01:43:45Z,1790000,False,,,0,,J. Okogie STEAL (1 STL),[1629006],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,
182,PT09M55.00S,2026-02-26T01:43:46.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630578,91.80354796320631,55.14705882352941,1610612745,41,22,2026-02-26T01:43:56Z,1800000,False,26.0,25.0,1,right,MISS A. Sengun running Layup,[1630578],1610612745.0,HOU,running,,,,,,Restricted Area,0-8 Center,3.55,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,
183,PT09M53.00S,2026-02-26T01:43:48.9Z,2,REGULAR,rebound,defensive,[],1630165,,,1610612758,41,22,2026-02-26T01:43:56Z,1810000,False,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612758.0,SAC,,,,,,,Restricted Area,0-8 Center,,,Hayes,K. Hayes,,,182.0,1.0,1.0,0.0,,,,,,,,,,,,,
184,PT09M51.00S,2026-02-26T01:43:53.5Z,2,REGULAR,foul,personal,['2freethrow'],1642384,,,1610612758,41,22,2026-02-26T01:44:10Z,1820000,False,,,0,,I. Crawford shooting personal FOUL (1 PF) (Baldwin Jr. 2 FT),"[1642384, 1631116]",1610612745.0,HOU,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Crawford,I. Crawford,,,,,,,,202058.0,,,,,,,,1.0,0.0,Baldwin Jr.,1631116.0
186,PT09M51.00S,2026-02-26T01:44:14.1Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1631116,,,1610612758,41,22,2026-02-26T01:44:14Z,1840000,False,,,0,,MISS P. Baldwin Jr. Free Throw 1 of 2,[1631116],1610612758.0,SAC,,,,,,,,,,Missed,Baldwin Jr.,P. Baldwin Jr.,,,,,,,,,,,,,,,,,,,
187,PT09M51.00S,2026-02-26T01:44:14.1Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,41,22,2026-02-26T01:44:14Z,1850000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,186.0,,,,,,,,,,,,,,,,
188,PT09M51.00S,2026-02-26T01:44:15.4Z,2,REGULAR,substitution,out,[],1630173,,,1610612758,41,22,2026-02-26T01:44:22Z,1860000,False,,,0,,SUB out: P. Achiuwa,[1630173],1610612758.0,SAC,,,,,,,,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,
189,PT09M51.00S,2026-02-26T01:44:15.4Z,2,REGULAR,substitution,in,[],1642875,,,1610612758,41,22,2026-02-26T01:44:22Z,1870000,False,,,0,,SUB in: M. Raynaud,[1642875],1610612758.0,SAC,,,,,,,,,,,Raynaud,M. Raynaud,,,,,,,,,,,,,,,,,,,
190,PT09M51.00S,2026-02-26T01:44:29.6Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1631116,,,1610612758,41,23,2026-02-26T01:44:29Z,1880000,False,,,0,,P. Baldwin Jr. Free Throw 2 of 2 (1 PTS),[1631116],1610612758.0,SAC,,,,,,,,,,Made,Baldwin Jr.,P. Baldwin Jr.,,,,,,,1.0,,,,,,,,,,,,
192,PT09M28.00S,2026-02-26T01:45:15.3Z,2,REGULAR,3pt,Jump Shot,[],1642384,92.9862023653088,3.431372549019608,1610612745,41,23,2026-02-26T01:45:20Z,1900000,False,-233.0,13.0,1,right,MISS I. Crawford 3PT,[1642384],1610612745.0,HOU,,,,,,,Left Corner 3,24+ Left,23.32,Missed,Crawford,I. Crawford,,,,,,,,,,,,,,,,,,,
193,PT09M28.00S,2026-02-26T01:45:15.3Z,2,REGULAR,rebound,defensive,[],1628370,,,1610612758,41,23,2026-02-26T01:45:20Z,1910000,False,,,0,,M. Monk REBOUND (Off:0 Def:2),[1628370],1610612758.0,SAC,,,,,,,Left Corner 3,24+ Left,,,Monk,M. Monk,,,192.0,2.0,2.0,0.0,,,,,,,,,,,,,
194,PT09M20.00S,2026-02-26T01:45:26.1Z,2,REGULAR,foul,personal,['2freethrow'],1642384,,,1610612758,41,23,2026-02-26T01:45:36Z,1920000,False,,,0,,I. Crawford shooting personal FOUL (2 PF) (Monk 2 FT),"[1642384, 1628370]",1610612745.0,HOU,shooting,,,,,,Restricted Area,0-8 Center,,,Crawford,I. Crawford,,,,,,,,203593.0,,,,,,,,2.0,0.0,Monk,1628370.0
196,PT09M20.00S,2026-02-26T01:45:43.0Z,2,REGULAR,freethrow,1 of 2,[],1628370,,,1610612758,41,24,2026-02-26T01:45:43Z,1940000,False,,,0,,M. Monk Free Throw 1 of 2 (1 PTS),[1628370],1610612758.0,SAC,,,,,,,,,,Made,Monk,M. Monk,,,,,,,1.0,,,,,,,,,,,,
197,PT09M20.00S,2026-02-26T01:45:57.2Z,2,REGULAR,freethrow,2 of 2,[],1628370,,,1610612758,41,25,2026-02-26T01:45:57Z,1950000,False,,,0,,M. Monk Free Throw 2 of 2 (2 PTS),[1628370],1610612758.0,SAC,,,,,,,,,,Made,Monk,M. Monk,,,,,,,2.0,,,,,,,,,,,,
198,PT08M59.00S,2026-02-26T01:46:24.6Z,2,REGULAR,3pt,Jump Shot,[],1629006,91.93495400788436,97.54901960784314,1610612745,44,25,2026-02-26T01:46:28Z,1960000,False,238.0,23.0,1,right,J. Okogie 3PT  (5 PTS) (A. Sengun 5 AST),"[1629006, 1630578]",1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,23.88,Made,Okogie,J. Okogie,,,,,,,5.0,,,A. Sengun,1630578.0,5.0,,,,,,,
200,PT08M52.00S,2026-02-26T01:46:31.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628370,7.046649145860711,49.754901960784316,1610612758,44,27,2026-02-26T01:55:15Z,1980000,False,1.0,14.0,1,left,M. Monk DUNK (4 PTS) (K. Hayes 1 AST),"[1628370, 1630165]",1610612758.0,SAC,,,,,,,Restricted Area,0-8 Center,1.38,Made,Monk,M. Monk,,,,,,,4.0,,,K. Hayes,1630165.0,1.0,,,,,,,
202,PT08M41.00S,2026-02-26T01:46:44.8Z,2,REGULAR,foul,personal,['2freethrow'],1628370,,,1610612745,44,27,2026-02-26T01:46:58Z,2000000,False,,,0,,M. Monk shooting personal FOUL (1 PF) (Sengun 2 FT),"[1628370, 1630578]",1610612758.0,SAC,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Monk,M. Monk,,,,,,,,203593.0,,,,,,,,1.0,0.0,Sengun,1630578.0
204,PT08M41.00S,2026-02-26T01:47:12.7Z,2,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,45,27,2026-02-26T01:47:12Z,2020000,False,,,0,,A. Sengun Free Throw 1 of 2 (9 PTS),[1630578],1610612745.0,HOU,,,,,,,,,,Made,Sengun,A. Sengun,,,,,,,9.0,,,,,,,,,,,,
205,PT08M41.00S,2026-02-26T01:47:14.0Z,2,REGULAR,substitution,out,[],1629006,,,1610612745,45,27,2026-02-26T01:47:43Z,2030000,False,,,0,,SUB out: J. Okogie,[1629006],1610612745.0,HOU,,,,,,,,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,
206,PT08M41.00S,2026-02-26T01:47:14.0Z,2,REGULAR,substitution,out,[],1642363,,,1610612745,45,27,2026-02-26T01:47:43Z,2040000,False,,,0,,SUB out: N. Clifford,[1642363],1610612758.0,SAC,,,,,,,,,,,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,
207,PT08M41.00S,2026-02-26T01:47:14.0Z,2,REGULAR,substitution,out,[],1631116,,,1610612745,45,27,2026-02-26T01:47:43Z,2050000,False,,,0,,SUB out: P. Baldwin Jr.,[1631116],1610612758.0,SAC,,,,,,,,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,,,,,,,,,,,,,,,
208,PT08M41.00S,2026-02-26T01:47:14.0Z,2,REGULAR,substitution,in,[],201142,,,1610612745,45,27,2026-02-26T01:47:43Z,2060000,False,,,0,,SUB in: K. Durant,[201142],1610612745.0,HOU,,,,,,,,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
209,PT08M41.00S,2026-02-26T01:47:14.0Z,2,REGULAR,substitution,in,[],201942,,,1610612745,45,27,2026-02-26T01:47:43Z,2070000,False,,,0,,SUB in: D. DeRozan,[201942],1610612758.0,SAC,,,,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,
210,PT08M41.00S,2026-02-26T01:47:14.0Z,2,REGULAR,substitution,in,[],1630173,,,1610612745,45,27,2026-02-26T01:47:43Z,2080000,False,,,0,,SUB in: P. Achiuwa,[1630173],1610612758.0,SAC,,,,,,,,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,
211,PT08M41.00S,2026-02-26T01:47:55.6Z,2,REGULAR,freethrow,2 of 2,[],1630578,,,1610612745,46,27,2026-02-26T01:47:55Z,2090000,False,,,0,,A. Sengun Free Throw 2 of 2 (10 PTS),[1630578],1610612745.0,HOU,,,,,,,,,,Made,Sengun,A. Sengun,,,,,,,10.0,,,,,,,,,,,,
212,PT08M30.00S,2026-02-26T01:48:07.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642875,6.915243101182654,46.32352941176471,1610612758,46,29,2026-02-26T01:48:13Z,2100000,False,18.0,13.0,1,left,M. Raynaud alley-oop Layup (4 PTS) (K. Hayes 2 AST),"[1642875, 1630165]",1610612758.0,SAC,alley-oop,,,,,,Restricted Area,0-8 Center,2.22,Made,Raynaud,M. Raynaud,,,,,,,4.0,,,K. Hayes,1630165.0,2.0,,,,,,,
214,PT08M13.00S,2026-02-26T01:48:25.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631095,90.75229960578186,50.98039215686274,1610612745,46,29,2026-02-26T01:48:32Z,2120000,False,5.0,34.0,1,right,MISS J. Smith Jr. driving finger roll Layup,[1631095],1610612745.0,HOU,driving finger roll,,,,,,Restricted Area,0-8 Center,3.47,Missed,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,
215,PT08M11.00S,2026-02-26T01:48:26.6Z,2,REGULAR,rebound,offensive,[],1630578,,,1610612745,46,29,2026-02-26T01:48:26Z,2130000,False,,,0,,A. Sengun REBOUND (Off:2 Def:4),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Sengun,A. Sengun,,,214.0,6.0,4.0,2.0,,,,,,,,,,,,,
216,PT08M08.00S,2026-02-26T01:48:30.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1642263,64.07687253613666,53.92156862745098,1610612745,46,29,2026-02-26T01:48:34Z,2140000,False,20.0,285.0,1,right,MISS R. Sheppard 28' 3PT,[1642263],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,28.59,Missed,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,
217,PT08M08.00S,2026-02-26T01:48:30.0Z,2,REGULAR,rebound,offensive,[],1642263,,,1610612745,46,29,2026-02-26T01:48:34Z,2150000,False,,,0,,R. Sheppard REBOUND (Off:1 Def:1),[1642263],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,,,Sheppard,R. Sheppard,,,216.0,2.0,1.0,1.0,,,,,,,,,,,,,
218,PT08M04.00S,2026-02-26T01:48:34.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1642263,65.91655716162943,76.7156862745098,1610612745,49,29,2026-02-26T01:48:37Z,2160000,False,134.0,268.0,1,right,R. Sheppard 29' 3PT  (17 PTS),[1642263],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,29.94,Made,Sheppard,R. Sheppard,,,,,,,17.0,,,,,,,,,,,,
219,PT07M47.00S,2026-02-26T01:48:50.6Z,2,REGULAR,3pt,Jump Shot,[],1630165,30.699737187910642,68.13725490196079,1610612758,49,32,2026-02-26T01:48:56Z,2170000,False,-91.0,236.0,1,left,K. Hayes 25' 3PT step back (3 PTS) (D. DeRozan 3 AST),"[1630165, 201942]",1610612758.0,SAC,step back,,,,,,Above the Break 3,24+ Left Center,25.29,Made,Hayes,K. Hayes,,,,,,,3.0,,,D. DeRozan,201942.0,3.0,,,,,,,
220,PT07M35.00S,2026-02-26T01:49:01.9Z,2,REGULAR,3pt,Jump Shot,[],1642263,63.9454664914586,62.99019607843137,1610612745,49,32,2026-02-26T01:58:28Z,2180000,False,65.0,286.0,1,right,MISS R. Sheppard 29' pullup 3PT,[1642263],1610612745.0,HOU,pullup,,,,,,Above the Break 3,24+ Center,29.37,Missed,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,
221,PT07M35.00S,2026-02-26T01:49:01.9Z,2,REGULAR,rebound,defensive,[],1628370,,,1610612758,49,32,2026-02-26T01:49:07Z,2190000,False,,,0,,M. Monk REBOUND (Off:0 Def:3),[1628370],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Center,,,Monk,M. Monk,,,220.0,3.0,3.0,0.0,,,,,,,,,,,,,
222,PT07M25.00S,2026-02-26T01:49:12.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,10.85742444152431,49.01960784313725,1610612758,49,32,2026-02-26T01:49:19Z,2200000,False,5.0,50.0,1,left,MISS M. Raynaud floating Shot,[1642875],1610612758.0,SAC,floating,,,,,,In The Paint (Non-RA),0-8 Center,4.98,Missed,Raynaud,M. Raynaud,,,,,,,,,,,,,,,,,,,
223,PT07M25.00S,2026-02-26T01:49:12.8Z,2,REGULAR,rebound,defensive,[],1631095,,,1610612745,49,32,2026-02-26T01:49:19Z,2210000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:2),[1631095],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Smith Jr.,J. Smith Jr.,,,222.0,2.0,2.0,0.0,,,,,,,,,,,,,
224,PT07M10.00S,2026-02-26T01:49:27.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,91.14651773981603,49.01960784313725,1610612745,49,32,2026-02-26T01:49:30Z,2220000,False,-5.0,31.0,1,right,MISS A. Sengun Layup,[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,3.11,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,
225,PT07M08.00S,2026-02-26T01:49:29.7Z,2,REGULAR,rebound,offensive,[],1630578,,,1610612745,49,32,2026-02-26T01:49:30Z,2230000,False,,,0,,A. Sengun REBOUND (Off:3 Def:4),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Sengun,A. Sengun,,,224.0,7.0,4.0,3.0,,,,,,,,,,,,,
226,PT07M08.00S,2026-02-26T01:49:29.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,94.40999984741211,50.0,1610612745,49,32,2026-02-26T01:49:29Z,2240000,False,0.0,0.0,1,right,MISS A. Sengun tip Layup,[1630578],1610612745.0,HOU,tip,,,,,,Mid-Range,8-16 Left,0.0,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,
227,PT07M08.00S,2026-02-26T01:49:30.2Z,2,REGULAR,rebound,offensive,[],1630578,,,1610612745,49,32,2026-02-26T01:49:30Z,2250000,False,,,0,,A. Sengun REBOUND (Off:4 Def:4),[1630578],1610612745.0,HOU,,,,,,,Mid-Range,8-16 Left,,,Sengun,A. Sengun,,,226.0,8.0,4.0,4.0,,,,,,,,,,,,,
228,PT07M05.00S,2026-02-26T01:49:32.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1642263,90.09526938239159,96.81372549019608,1610612745,49,32,2026-02-26T01:49:36Z,2260000,False,234.0,41.0,1,right,MISS R. Sheppard 3PT,[1642263],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,23.76,Missed,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,
229,PT07M03.00S,2026-02-26T01:49:34.8Z,2,REGULAR,rebound,offensive,[],1642384,,,1610612745,49,32,2026-02-26T01:49:34Z,2270000,False,,,0,,I. Crawford REBOUND (Off:1 Def:1),[1642384],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,,,Crawford,I. Crawford,,,228.0,2.0,1.0,1.0,,,,,,,,,,,,,
230,PT07M00.00S,2026-02-26T01:49:37.8Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201142,86.28449408672799,38.72549019607843,1610612745,51,32,2026-02-26T02:00:12Z,2280000,False,-56.0,76.0,1,right,K. Durant 9' driving floating Jump Shot (11 PTS) (I. Crawford 1 AST),"[201142, 1642384]",1610612745.0,HOU,driving floating,,,,,,In The Paint (Non-RA),8-16 Left,9.5,Made,Durant,K. Durant,,,,,,,11.0,,,I. Crawford,1642384.0,1.0,,,,,,,
231,PT06M49.00S,2026-02-26T01:49:48.1Z,2,REGULAR,3pt,Jump Shot,[],1628370,23.603810775295663,87.5,1610612758,51,32,2026-02-26T01:49:57Z,2290000,False,-188.0,169.0,1,left,MISS M. Monk 25' 3PT,[1628370],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Left Center,25.27,Missed,Monk,M. Monk,,,,,,,,,,,,,,,,,,,
232,PT06M47.00S,2026-02-26T01:49:50.1Z,2,REGULAR,rebound,offensive,[],1642875,,,1610612758,51,32,2026-02-26T01:51:22Z,2300000,False,,,0,,M. Raynaud REBOUND (Off:2 Def:3),[1642875],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Left Center,,,Raynaud,M. Raynaud,,,231.0,5.0,3.0,2.0,,,,,,,,,,,,,
233,PT06M45.00S,2026-02-26T01:50:04.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,51,32,2026-02-26T01:50:04Z,2310000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M45.00S,2026-02-26T01:52:18.6Z,2,REGULAR,substitution,out,[],1642263,,,1610612758,51,32,2026-02-26T01:52:47Z,2320000,False,,,0,,SUB out: R. Sheppard,[1642263],1610612745.0,HOU,,,,,,,,,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,
236,PT06M45.00S,2026-02-26T01:52:18.6Z,2,REGULAR,substitution,out,[],1642384,,,1610612758,51,32,2026-02-26T01:52:47Z,2330000,False,,,0,,SUB out: I. Crawford,[1642384],1610612745.0,HOU,,,,,,,,,,,Crawford,I. Crawford,,,,,,,,,,,,,,,,,,,
237,PT06M45.00S,2026-02-26T01:52:18.6Z,2,REGULAR,substitution,out,[],1630578,,,1610612758,51,32,2026-02-26T01:52:47Z,2340000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,,,,,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,
238,PT06M45.00S,2026-02-26T01:52:18.6Z,2,REGULAR,substitution,out,[],1642875,,,1610612758,51,32,2026-02-26T01:52:47Z,2350000,False,,,0,,SUB out: M. Raynaud,[1642875],1610612758.0,SAC,,,,,,,,,,,Raynaud,M. Raynaud,,,,,,,,,,,,,,,,,,,
239,PT06M45.00S,2026-02-26T01:52:18.6Z,2,REGULAR,substitution,in,[],1628988,,,1610612758,51,32,2026-02-26T01:52:47Z,2360000,False,,,0,,SUB in: A. Holiday,[1628988],1610612745.0,HOU,,,,,,,,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,
240,PT06M45.00S,2026-02-26T01:52:18.6Z,2,REGULAR,substitution,in,[],201145,,,1610612758,51,32,2026-02-26T01:52:47Z,2370000,False,,,0,,SUB in: J. Green,[201145],1610612745.0,HOU,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,
241,PT06M45.00S,2026-02-26T01:52:18.6Z,2,REGULAR,substitution,in,[],1631106,,,1610612758,51,32,2026-02-26T01:52:47Z,2380000,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,,,,,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,
242,PT06M45.00S,2026-02-26T01:52:18.6Z,2,REGULAR,substitution,in,[],1629234,,,1610612758,51,32,2026-02-26T01:52:47Z,2390000,False,,,0,,SUB in: D. Eubanks,[1629234],1610612758.0,SAC,,,,,,,,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,
243,PT06M40.00S,2026-02-26T01:53:03.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630165,7.178055190538765,57.107843137254896,1610612758,51,32,2026-02-26T01:53:14Z,2400000,False,-36.0,15.0,1,left,MISS K. Hayes driving finger roll Layup,[1630165],1610612758.0,SAC,driving finger roll,,,,,,Restricted Area,0-8 Center,3.85,Missed,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,
244,PT06M38.00S,2026-02-26T01:53:05.6Z,2,REGULAR,rebound,defensive,[],201142,,,1610612745,51,32,2026-02-26T01:53:14Z,2410000,False,,,0,,K. Durant REBOUND (Off:1 Def:2),[201142],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Durant,K. Durant,,,243.0,3.0,2.0,1.0,,,,,,,,,,,,,
245,PT06M19.00S,2026-02-26T01:53:24.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631095,90.75229960578186,62.5,1610612745,53,32,2026-02-26T01:53:28Z,2420000,False,62.0,34.0,1,right,J. Smith Jr. 7' fadeaway Jump Shot (6 PTS) (K. Durant 2 AST),"[1631095, 201142]",1610612745.0,HOU,fadeaway,,,,,,In The Paint (Non-RA),0-8 Center,7.13,Made,Smith Jr.,J. Smith Jr.,,,,,,,6.0,,,K. Durant,201142.0,2.0,,,,,,,
