actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
204,PT08M46.00S,2026-04-02T00:45:50.0Z,2,REGULAR,substitution,in,[],1631106,,,1610612745,29,26,2026-04-02T00:46:10Z,2030000,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M35.00S,2026-04-02T00:46:33.3Z,2,REGULAR,3pt,Jump Shot,[],1631095,94.43166885676742,4.411764705882353,1610612745,29,26,2026-04-02T00:46:42Z,2040000,False,-228.0,0.0,1,right,MISS J. Smith Jr. 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Left Corner 3,24+ Left,,,,,,Missed,,22.79,,,,,,,,,,,,
206,PT08M31.00S,2026-04-02T00:46:36.8Z,2,REGULAR,rebound,offensive,[],1641708,,,1610612745,29,26,2026-04-02T00:46:36Z,2050000,False,,,0,,A. Thompson REBOUND (Off:1 Def:3),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Left Corner 3,24+ Left,,,,,,,,,205.0,4.0,3.0,1.0,,,,,,,,
208,PT08M23.00S,2026-04-02T00:46:44.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641708,91.5407358738502,50.49019607843137,1610612745,31,26,2026-04-02T00:46:50Z,2060000,False,2.0,27.0,1,right,A. Thompson driving DUNK (4 PTS) (R. Sheppard 2 AST),"[1641708, 1642263]",1610612745.0,HOU,driving,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,2.71,,,,,,R. Sheppard,1642263.0,2.0,,,,
210,PT08M09.00S,2026-04-02T00:46:59.2Z,2,REGULAR,3pt,Jump Shot,[],1631260,32.933639947437584,60.29411764705882,1610612749,31,26,2026-04-02T00:47:05Z,2080000,False,-51.0,257.0,1,left,MISS A. Green 26' 3PT,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Center,,,,,,Missed,,26.22,,,,,,,,,,,,
211,PT08M08.00S,2026-04-02T00:47:00.2Z,2,REGULAR,rebound,offensive,[],1641748,,,1610612749,31,26,2026-04-02T00:47:05Z,2090000,False,,,0,,A. Jackson Jr. REBOUND (Off:1 Def:2),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,210.0,3.0,2.0,1.0,,,,,,,,
212,PT07M59.00S,2026-04-02T00:47:12.0Z,2,REGULAR,turnover,out-of-bounds,[],1641748,,,1610612749,31,26,2026-04-02T00:47:17Z,2100000,False,,,0,,A. Jackson Jr. bad pass out-of-bounds TURNOVER (2 TO),[1641748],1610612749.0,MIL,bad pass,,,Jackson Jr.,A. Jackson Jr.,,,,,Mid-Range,8-16 Right,1628954.0,,,,,,,,,,,,2.0,,,,,,,
213,PT07M49.00S,2026-04-02T00:47:32.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631095,91.40932982917214,47.05882352941176,1610612745,31,26,2026-04-02T00:47:38Z,2110000,False,-15.0,28.0,1,right,MISS J. Smith Jr. cutting Layup,[1631095],1610612745.0,HOU,cutting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.19,,,,,,,,,,,,
214,PT07M46.00S,2026-04-02T00:47:35.7Z,2,REGULAR,rebound,defensive,[],1631172,,,1610612749,31,26,2026-04-02T00:47:38Z,2120000,False,,,0,,O. Dieng REBOUND (Off:1 Def:3),[1631172],1610612749.0,MIL,,,,Dieng,O. Dieng,,,,,Restricted Area,0-8 Center,,,,,,,,,213.0,4.0,3.0,1.0,,,,,,,,
215,PT07M42.00S,2026-04-02T00:47:39.2Z,2,REGULAR,turnover,lost ball,[],1642504,,,1610612749,31,26,2026-04-02T00:47:43Z,2130000,False,,,0,,C. Ryan lost ball TURNOVER (1 TO),"[1642504, 1642263]",1610612749.0,MIL,,,,Ryan,C. Ryan,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,,,,Sheppard,1642263.0,,
