actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
170,PT00M09.20S,2023-02-25T01:14:27.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,6.258212877792378,52.20588235294118,1610612749,41,32,2023-02-25T01:14:35Z,1680000,False,-11.0,6.0,1,left,B. Lopez Layup (4 PTS),[201572],1610612749.0,MIL,,,,,,,Restricted Area,0-8 Center,,,,Lopez,B. Lopez,,,Made,4.0,,,,,1.27,,,,,,,,,
171,PT00M09.20S,2023-02-25T01:14:30.6Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629130,,,1610612749,41,32,2023-02-25T01:14:41Z,1690000,False,,,0,,D. Robinson shooting personal FOUL (1 PF) (Lopez 1 FT),"[1629130, 201572]",1610612748.0,MIA,shooting,,,,,,Restricted Area,0-8 Center,2005.0,1.0,0.0,Robinson,D. Robinson,Lopez,201572.0,,,,,,,,,,,,,,,,
173,PT00M09.20S,2023-02-25T01:14:45.2Z,1,REGULAR,substitution,out,[],203114,,,1610612749,41,32,2023-02-25T01:15:13Z,1710000,False,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,,,,,,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,
174,PT00M09.20S,2023-02-25T01:14:45.2Z,1,REGULAR,substitution,in,[],1630699,,,1610612749,41,32,2023-02-25T01:15:13Z,1720000,False,,,0,,SUB in: M. Beauchamp,[1630699],1610612749.0,MIL,,,,,,,,,,,,Beauchamp,M. Beauchamp,,,,,,,,,,,,,,,,,,
175,PT00M09.20S,2023-02-25T01:15:01.6Z,1,REGULAR,freethrow,1 of 1,[],201572,,,1610612749,42,32,2023-02-25T01:15:01Z,1730000,False,,,0,,B. Lopez Free Throw 1 of 1 (5 PTS),[201572],1610612749.0,MIL,,,,,,,,,,,,Lopez,B. Lopez,,,Made,5.0,,,,,,,,,,,,,,
176,PT00M02.20S,2023-02-25T01:15:10.7Z,1,REGULAR,3pt,Jump Shot,[],1629130,67.62483574244416,69.36274509803921,1610612748,42,32,2023-02-25T01:15:16Z,1740000,False,97.0,252.0,1,right,MISS D. Robinson 26' 3PT,[1629130],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,Robinson,D. Robinson,,,Missed,,,,,,26.98,,,,,,,,,
177,PT00M02.20S,2023-02-25T01:15:10.7Z,1,REGULAR,rebound,defensive,[],1630699,,,1610612749,42,32,2023-02-25T01:15:16Z,1750000,False,,,0,,M. Beauchamp REBOUND (Off:0 Def:1),[1630699],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Beauchamp,M. Beauchamp,,,,,176.0,1.0,1.0,0.0,,,,,,,,,,
178,PT00M00.00S,2023-02-25T01:15:25.5Z,1,REGULAR,period,end,[],0,,,1610612749,42,32,2023-02-25T01:15:25Z,1760000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2023-02-25T01:17:00.1Z,2,REGULAR,substitution,out,['startperiod'],203109,,,1610612749,42,32,2023-02-25T01:18:55Z,1770000,False,,,0,,SUB out: J. Crowder,[203109],1610612749.0,MIL,,,,,,,,,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2023-02-25T01:17:00.1Z,2,REGULAR,substitution,out,['startperiod'],1630699,,,1610612749,42,32,2023-02-25T01:18:55Z,1780000,False,,,0,,SUB out: M. Beauchamp,[1630699],1610612749.0,MIL,,,,,,,,,,,,Beauchamp,M. Beauchamp,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2023-02-25T01:17:00.1Z,2,REGULAR,substitution,in,['startperiod'],1626171,,,1610612749,42,32,2023-02-25T01:18:55Z,1790000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,,,,,,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2023-02-25T01:17:00.1Z,2,REGULAR,substitution,in,['startperiod'],1628960,,,1610612749,42,32,2023-02-25T01:18:55Z,1800000,False,,,0,,SUB in: G. Allen,[1628960],1610612749.0,MIL,,,,,,,,,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2023-02-25T01:18:55.3Z,2,REGULAR,period,start,[],0,,,1610612749,42,32,2023-02-25T01:18:56Z,1810000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT11M46.00S,2023-02-25T01:19:08.4Z,2,REGULAR,3pt,Jump Shot,[],1628975,33.196452036793694,65.19607843137256,1610612749,42,32,2023-02-25T01:19:13Z,1820000,False,-76.0,260.0,1,left,MISS J. Carter 27' 3PT,[1628975],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Center,,,,Carter,J. Carter,,,Missed,,,,,,27.04,,,,,,,,,
185,PT11M42.00S,2023-02-25T01:19:12.4Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,42,32,2023-02-25T01:19:13Z,1830000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,,Adebayo,B. Adebayo,,,,,184.0,2.0,2.0,0.0,,,,,,,,,,
186,PT11M30.00S,2023-02-25T01:19:24.0Z,2,REGULAR,3pt,Jump Shot,[],1629130,88.12417871222075,95.58823529411765,1610612748,42,32,2023-02-25T01:19:46Z,1840000,False,228.0,59.0,1,right,MISS D. Robinson pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,,,,Right Corner 3,24+ Right,,,,Robinson,D. Robinson,,,Missed,,,,,,23.54,,,,,,,,,
187,PT11M27.00S,2023-02-25T01:19:27.0Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,42,32,2023-02-25T01:19:30Z,1850000,False,,,0,,B. Portis REBOUND (Off:0 Def:3),[1626171],1610612749.0,MIL,,,,,,,Right Corner 3,24+ Right,,,,Portis,B. Portis,,,,,186.0,3.0,3.0,0.0,,,,,,,,,,
188,PT11M21.00S,2023-02-25T01:19:36.6Z,2,REGULAR,foul,personal,['2freethrow'],1629622,,,1610612749,42,32,2023-02-25T01:19:47Z,1860000,False,,,0,,M. Strus shooting personal FOUL (2 PF) (Carter 2 FT),"[1629622, 1628975]",1610612748.0,MIA,shooting,,,,,,Restricted Area,0-8 Center,2004.0,2.0,0.0,Strus,M. Strus,Carter,1628975.0,,,,,,,,,,,,,,,,
190,PT11M21.00S,2023-02-25T01:20:01.8Z,2,REGULAR,freethrow,1 of 2,[],1628975,,,1610612749,43,32,2023-02-25T01:20:01Z,1880000,False,,,0,,J. Carter Free Throw 1 of 2 (4 PTS),[1628975],1610612749.0,MIL,,,,,,,,,,,,Carter,J. Carter,,,Made,4.0,,,,,,,,,,,,,,
191,PT11M21.00S,2023-02-25T01:20:17.6Z,2,REGULAR,freethrow,2 of 2,[],1628975,,,1610612749,44,32,2023-02-25T01:20:17Z,1890000,False,,,0,,J. Carter Free Throw 2 of 2 (5 PTS),[1628975],1610612749.0,MIL,,,,,,,,,,,,Carter,J. Carter,,,Made,5.0,,,,,,,,,,,,,,
192,PT11M10.00S,2023-02-25T01:20:31.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629622,90.88370565045992,43.13725490196079,1610612748,44,32,2023-02-25T01:20:38Z,1900000,False,-34.0,33.0,1,right,MISS M. Strus driving floating Shot,[1629622],1610612748.0,MIA,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,Strus,M. Strus,,,Missed,,,,,,4.77,,,,,,,,,
193,PT11M06.00S,2023-02-25T01:20:35.1Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,44,32,2023-02-25T01:20:38Z,1910000,False,,,0,,B. Portis REBOUND (Off:0 Def:4),[1626171],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Portis,B. Portis,,,,,192.0,4.0,4.0,0.0,,,,,,,,,,
194,PT11M00.00S,2023-02-25T01:20:40.7Z,2,REGULAR,2pt,Jump Shot,[],1628975,24.78646517739816,58.57843137254902,1610612749,46,32,2023-02-25T01:20:44Z,1920000,False,-43.0,180.0,1,left,J. Carter 18' pullup Jump Shot (7 PTS),[1628975],1610612749.0,MIL,pullup,,,,,,Mid-Range,16-24 Center,,,,Carter,J. Carter,,,Made,7.0,,,,,18.55,,,,,,,,,
195,PT10M43.00S,2023-02-25T01:20:57.6Z,2,REGULAR,3pt,Jump Shot,[],1628997,77.34888304862024,91.66666666666666,1610612748,46,32,2023-02-25T01:21:02Z,1930000,False,208.0,160.0,1,right,MISS C. Martin 26' 3PT,[1628997],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,Martin,C. Martin,,,Missed,,,,,,26.29,,,,,,,,,
196,PT10M39.00S,2023-02-25T01:21:01.6Z,2,REGULAR,rebound,defensive,[],201572,,,1610612749,46,32,2023-02-25T01:21:02Z,1940000,False,,,0,,B. Lopez REBOUND (Off:1 Def:1),[201572],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Lopez,B. Lopez,,,,,195.0,2.0,1.0,1.0,,,,,,,,,,
197,PT10M31.00S,2023-02-25T01:21:13.7Z,2,REGULAR,foul,personal,[],1628997,,,1610612749,46,32,2023-02-25T01:21:22Z,1950000,False,,,0,,C. Martin personal FOUL (1 PF),"[1628997, 1626171]",1610612748.0,MIA,,,,,,,Mid-Range,8-16 Left,201246.0,1.0,0.0,Martin,C. Martin,Portis,1626171.0,,,,,,,,,,,,,,,,
199,PT10M23.00S,2023-02-25T01:21:41.2Z,2,REGULAR,3pt,Jump Shot,[],1631260,32.14520367936925,65.44117647058823,1610612749,46,32,2023-02-25T01:21:50Z,1970000,False,-77.0,250.0,1,left,MISS A. Green 26' 3PT,[1631260],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Center,,,,Green,A. Green,,,Missed,,,,,,26.14,,,,,,,,,
200,PT10M19.00S,2023-02-25T01:21:45.2Z,2,REGULAR,rebound,defensive,[],1628997,,,1610612748,46,32,2023-02-25T01:21:50Z,1980000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,,Martin,C. Martin,,,,,199.0,1.0,1.0,0.0,,,,,,,,,,
201,PT10M15.00S,2023-02-25T01:21:48.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628997,92.06636005256242,48.03921568627451,1610612748,46,34,2023-02-25T01:21:55Z,1990000,False,-10.0,22.0,1,right,C. Martin running Layup (4 PTS),[1628997],1610612748.0,MIA,running,,,,,,Restricted Area,0-8 Center,,,,Martin,C. Martin,,,Made,4.0,,,,,2.42,,,,,,,,,
202,PT10M06.00S,2023-02-25T01:21:59.2Z,2,REGULAR,3pt,Jump Shot,[],1628975,29.6484888304862,75.0,1610612749,46,34,2023-02-25T01:22:06Z,2000000,False,-125.0,226.0,1,left,MISS J. Carter 25' 3PT,[1628975],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,,,,Carter,J. Carter,,,Missed,,,,,,25.84,,,,,,,,,
203,PT10M02.00S,2023-02-25T01:22:03.2Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,46,34,2023-02-25T01:22:06Z,2010000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,,Adebayo,B. Adebayo,,,,,202.0,3.0,3.0,0.0,,,,,,,,,,
204,PT09M55.00S,2023-02-25T01:22:10.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,82.34231274638634,42.40196078431372,1610612748,46,34,2023-02-25T01:22:37Z,2020000,False,-38.0,113.0,1,right,MISS B. Adebayo 11' Jump Shot,[1628389],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Adebayo,B. Adebayo,,,Missed,,,,,,11.97,,,,,,,,,
205,PT09M51.00S,2023-02-25T01:22:14.0Z,2,REGULAR,rebound,defensive,[],1628975,,,1610612749,46,34,2023-02-25T01:22:14Z,2030000,False,,,0,,J. Carter REBOUND (Off:0 Def:2),[1628975],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Carter,J. Carter,,,,,204.0,2.0,2.0,0.0,,,,,,,,,,
206,PT09M38.00S,2023-02-25T01:22:25.5Z,2,REGULAR,2pt,Jump Shot,[],201572,11.251642575558476,27.205882352941174,1610612749,48,34,2023-02-25T01:22:30Z,2040000,False,114.0,53.0,1,left,B. Lopez 12' turnaround Jump Shot (7 PTS) (A. Green 1 AST),"[201572, 1631260]",1610612749.0,MIL,turnaround,,,,,,Mid-Range,8-16 Right,,,,Lopez,B. Lopez,,,Made,7.0,,,,,12.58,A. Green,1631260.0,1.0,,,,,,
208,PT09M19.00S,2023-02-25T01:22:44.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,84.31340341655716,44.11764705882353,1610612748,48,36,2023-02-25T01:22:52Z,2060000,False,-29.0,95.0,1,right,B. Adebayo 9' floating Jump Shot (11 PTS) (M. Strus 2 AST),"[1628389, 1629622]",1610612748.0,MIA,floating,,,,,,In The Paint (Non-RA),8-16 Center,,,,Adebayo,B. Adebayo,,,Made,11.0,,,,,9.94,M. Strus,1629622.0,2.0,,,,,,
210,PT09M08.00S,2023-02-25T01:22:55.5Z,2,REGULAR,turnover,bad pass,[],1628960,,,1610612749,48,36,2023-02-25T01:23:06Z,2080000,False,,,0,,G. Allen bad pass TURNOVER (1 TO),"[1628960, 1629130]",1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Left,,,,Allen,G. Allen,,,,,,,,,,,,,,,1.0,Robinson,1629130.0,
211,PT09M08.00S,2023-02-25T01:22:55.5Z,2,REGULAR,steal,,[],1629130,,,1610612748,48,36,2023-02-25T01:22:58Z,2090000,False,,,0,,D. Robinson STEAL (1 STL),[1629130],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Left,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,
212,PT09M04.00S,2023-02-25T01:23:00.0Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628997,93.64323258869908,49.26470588235294,1610612748,48,38,2023-02-25T01:23:11Z,2100000,False,-4.0,7.0,1,right,C. Martin running DUNK (6 PTS) (D. Robinson 1 AST),"[1628997, 1629130]",1610612748.0,MIA,running,,,,,,Restricted Area,0-8 Center,,,,Martin,C. Martin,,,Made,6.0,,,,,0.82,D. Robinson,1629130.0,1.0,,,,,,
214,PT08M44.00S,2023-02-25T01:23:20.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201572,10.33180026281209,50.0,1610612749,48,38,2023-02-25T01:23:28Z,2120000,False,0.0,45.0,1,left,MISS B. Lopez driving Layup,[201572],1610612749.0,MIL,driving,,,,,,In The Paint (Non-RA),0-8 Center,,,,Lopez,B. Lopez,,,Missed,,,,,,4.46,,,,,,,,,
215,PT08M41.00S,2023-02-25T01:23:22.9Z,2,REGULAR,rebound,defensive,[],1629130,,,1610612748,48,38,2023-02-25T01:23:22Z,2130000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Robinson,D. Robinson,,,,,214.0,1.0,1.0,0.0,,,,,,,,,,
216,PT08M31.00S,2023-02-25T01:23:33.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,92.06636005256242,65.19607843137256,1610612748,48,38,2023-02-25T01:23:38Z,2140000,False,76.0,22.0,1,right,MISS M. Strus 7' driving Layup,[1629622],1610612748.0,MIA,driving,,,,,,In The Paint (Non-RA),0-8 Center,,,,Strus,M. Strus,,,Missed,,,,,,7.91,,,,,,,,,
217,PT08M28.00S,2023-02-25T01:23:36.1Z,2,REGULAR,rebound,offensive,[],1628389,,,1610612748,48,38,2023-02-25T01:23:38Z,2150000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:3),[1628389],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Adebayo,B. Adebayo,,,,,216.0,4.0,3.0,1.0,,,,,,,,,,
218,PT08M27.00S,2023-02-25T01:23:36.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628389,88.38699080157687,49.50980392156863,1610612748,48,38,2023-02-25T01:23:59Z,2160000,False,-2.0,57.0,1,right,MISS B. Adebayo turnaround Shot,[1628389],1610612748.0,MIA,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,,,,Adebayo,B. Adebayo,,,Missed,,,,,,5.68,,,,,,,,,
219,PT08M27.00S,2023-02-25T01:23:36.5Z,2,REGULAR,rebound,defensive,[],1628975,,,1610612749,48,38,2023-02-25T01:23:41Z,2170000,False,,,0,,J. Carter REBOUND (Off:0 Def:3),[1628975],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Carter,J. Carter,,,,,218.0,3.0,3.0,0.0,,,,,,,,,,
220,PT08M18.00S,2023-02-25T01:23:46.2Z,2,REGULAR,3pt,Jump Shot,[],1628960,31.225361366622867,28.676470588235293,1610612749,51,38,2023-02-25T01:23:50Z,2180000,False,107.0,241.0,1,left,G. Allen 26' 3PT  (9 PTS) (A. Green 2 AST),"[1628960, 1631260]",1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Allen,G. Allen,,,Made,9.0,,,,,26.35,A. Green,1631260.0,2.0,,,,,,
222,PT07M55.00S,2023-02-25T01:24:08.4Z,2,REGULAR,turnover,lost ball,[],1628389,,,1610612748,51,38,2023-02-25T01:27:08Z,2200000,False,,,0,,B. Adebayo lost ball TURNOVER (1 TO),"[1628389, 1628975]",1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,1.0,Carter,1628975.0,
223,PT07M55.00S,2023-02-25T01:24:08.4Z,2,REGULAR,steal,,[],1628975,,,1610612749,51,38,2023-02-25T01:24:11Z,2210000,False,,,0,,J. Carter STEAL (1 STL),[1628975],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,
224,PT07M52.00S,2023-02-25T01:24:13.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628975,8.229303547963205,51.470588235294116,1610612749,51,38,2023-02-25T01:24:21Z,2220000,False,-7.0,25.0,1,left,MISS J. Carter running Layup,[1628975],1610612749.0,MIL,running,,,,,,Restricted Area,0-8 Center,,,,Carter,J. Carter,,,Missed,,,,,,2.6,,,,,,,,,
226,PT07M51.00S,2023-02-25T01:24:14.1Z,2,REGULAR,rebound,offensive,[],1626171,,,1610612749,51,38,2023-02-25T01:24:21Z,2240000,False,,,0,,B. Portis REBOUND (Off:1 Def:4),[1626171],1610612749.0,MIL,,,,,,,Restricted Area,0-8 Center,,,,Portis,B. Portis,,,,,224.0,5.0,4.0,1.0,,,,,,,,,,
227,PT07M51.00S,2023-02-25T01:24:20.9Z,2,REGULAR,2pt,DUNK,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1626171,5.590000152587891,50.0,1610612749,53,38,2023-02-25T01:27:27Z,2250000,False,0.0,0.0,1,left,B. Portis tip DUNK (12 PTS),[1626171],1610612749.0,MIL,tip,,,,,,Restricted Area,0-8 Center,,,,Portis,B. Portis,,,Made,12.0,,,,,0.0,,,,,,,,,
228,PT07M51.00S,2023-02-25T01:24:33.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,53,38,2023-02-25T01:24:33Z,2260000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT07M51.00S,2023-02-25T01:26:38.4Z,2,REGULAR,substitution,out,[],1628975,,,1610612748,53,38,2023-02-25T01:27:30Z,2270000,False,,,0,,SUB out: J. Carter,[1628975],1610612749.0,MIL,,,,,,,,,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,
230,PT07M51.00S,2023-02-25T01:26:38.4Z,2,REGULAR,substitution,out,[],201572,,,1610612748,53,38,2023-02-25T01:27:30Z,2280000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,,,,,,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,
231,PT07M51.00S,2023-02-25T01:26:38.4Z,2,REGULAR,substitution,out,[],1631260,,,1610612748,53,38,2023-02-25T01:27:30Z,2290000,False,,,0,,SUB out: A. Green,[1631260],1610612749.0,MIL,,,,,,,,,,,,Green,A. Green,,,,,,,,,,,,,,,,,,
232,PT07M51.00S,2023-02-25T01:26:38.4Z,2,REGULAR,substitution,out,[],203506,,,1610612748,53,38,2023-02-25T01:27:30Z,2300000,False,,,0,,SUB out: V. Oladipo,[203506],1610612748.0,MIA,,,,,,,,,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,
233,PT07M51.00S,2023-02-25T01:26:38.4Z,2,REGULAR,substitution,out,[],1629130,,,1610612748,53,38,2023-02-25T01:27:30Z,2310000,False,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,,,,,,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,
234,PT07M51.00S,2023-02-25T01:26:38.4Z,2,REGULAR,substitution,in,[],203086,,,1610612748,53,38,2023-02-25T01:27:30Z,2320000,False,,,0,,SUB in: M. Leonard,[203086],1610612749.0,MIL,,,,,,,,,,,,Leonard,M. Leonard,,,,,,,,,,,,,,,,,,
235,PT07M51.00S,2023-02-25T01:26:38.4Z,2,REGULAR,substitution,in,[],204060,,,1610612748,53,38,2023-02-25T01:27:30Z,2330000,False,,,0,,SUB in: J. Ingles,[204060],1610612749.0,MIL,,,,,,,,,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,
236,PT07M51.00S,2023-02-25T01:26:38.4Z,2,REGULAR,substitution,in,[],201950,,,1610612748,53,38,2023-02-25T01:27:30Z,2340000,False,,,0,,SUB in: J. Holiday,[201950],1610612749.0,MIL,,,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,
237,PT07M51.00S,2023-02-25T01:26:38.4Z,2,REGULAR,substitution,in,[],1629639,,,1610612748,53,38,2023-02-25T01:27:30Z,2350000,False,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,,,,,,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,
238,PT07M51.00S,2023-02-25T01:26:38.4Z,2,REGULAR,substitution,in,[],1629216,,,1610612748,53,38,2023-02-25T01:27:30Z,2360000,False,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,,,,,,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,
239,PT07M29.00S,2023-02-25T01:28:10.1Z,2,REGULAR,turnover,traveling,[],1628389,,,1610612748,53,38,2023-02-25T01:28:19Z,2370000,False,,,0,,B. Adebayo traveling TURNOVER (2 TO),[1628389],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,2004.0,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,2.0,,,
240,PT07M18.00S,2023-02-25T01:28:28.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],201950,32.53942181340342,31.61764705882353,1610612749,56,38,2023-02-25T01:30:54Z,2380000,False,92.0,253.0,1,left,J. Holiday 26' 3PT pullup (8 PTS),[201950],1610612749.0,MIL,pullup,,,,,,Above the Break 3,24+ Right Center,,,,Holiday,J. Holiday,,,Made,8.0,,,,,26.95,,,,,,,,,
241,PT07M07.00S,2023-02-25T01:28:38.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,92.72339027595268,48.28431372549019,1610612748,56,40,2023-02-25T01:28:44Z,2390000,False,-9.0,16.0,1,right,T. Herro driving floating bank Jump Shot (8 PTS),[1629639],1610612748.0,MIA,driving floating bank,,,,,,Restricted Area,0-8 Center,,,,Herro,T. Herro,,,Made,8.0,,,,,1.81,,,,,,,,,
242,PT06M57.00S,2023-02-25T01:28:49.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,8.229303547963205,50.73529411764706,1610612749,58,40,2023-02-25T01:29:01Z,2400000,False,-4.0,25.0,1,left,B. Portis driving finger roll Layup (14 PTS),[1626171],1610612749.0,MIL,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Portis,B. Portis,,,Made,14.0,,,,,2.52,,,,,,,,,
243,PT06M40.00S,2023-02-25T01:29:05.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,84.44480946123521,61.274509803921575,1610612748,58,40,2023-02-25T01:29:12Z,2410000,False,56.0,94.0,1,right,MISS T. Herro 10' driving floating Shot,[1629639],1610612748.0,MIA,driving floating,,,,,,In The Paint (Non-RA),8-16 Right,,,,Herro,T. Herro,,,Missed,,,,,,10.94,,,,,,,,,
244,PT06M38.00S,2023-02-25T01:29:07.6Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,58,40,2023-02-25T01:29:12Z,2420000,False,,,0,,B. Portis REBOUND (Off:1 Def:5),[1626171],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Portis,B. Portis,,,,,243.0,6.0,5.0,1.0,,,,,,,,,,
245,PT06M28.00S,2023-02-25T01:29:18.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628960,17.16491458607096,46.81372549019608,1610612749,58,40,2023-02-25T01:29:22Z,2430000,False,16.0,109.0,1,left,MISS G. Allen 11' turnaround fadeaway Shot,[1628960],1610612749.0,MIL,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,,,,Allen,G. Allen,,,Missed,,,,,,11.01,,,,,,,,,
246,PT06M25.00S,2023-02-25T01:29:21.2Z,2,REGULAR,rebound,defensive,[],1629622,,,1610612748,58,40,2023-02-25T01:29:22Z,2440000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Strus,M. Strus,,,,,245.0,1.0,1.0,0.0,,,,,,,,,,
247,PT06M21.00S,2023-02-25T01:29:24.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628389,92.85479632063075,49.26470588235294,1610612748,58,42,2023-02-25T01:29:32Z,2450000,False,-4.0,15.0,1,right,B. Adebayo running reverse Layup (13 PTS),[1628389],1610612748.0,MIA,running reverse,,,,,,Restricted Area,0-8 Center,,,,Adebayo,B. Adebayo,,,Made,13.0,,,,,1.52,,,,,,,,,
249,PT06M13.00S,2023-02-25T01:29:32.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,7.178055190538765,50.0,1610612749,58,42,2023-02-25T01:29:36Z,2470000,False,0.0,15.0,1,left,MISS G. Allen driving Layup,[1628960],1610612749.0,MIL,driving,,,,,,Restricted Area,0-8 Center,,,,Allen,G. Allen,,,Missed,,,,,,1.5,,,,,,,,,
