actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
180,PT00M02.30S,2022-10-23T00:42:34.2Z,1,REGULAR,rebound,defensive,[],201586,,,1610612749,41,23,2022-10-23T00:43:15Z,1700000,,,0,,S. Ibaka REBOUND (Off:0 Def:1),[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,In The Paint (Non-RA),0-8 Center,,,178.0,1.0,1.0,0.0,,,,,,,,,,,,,,
181,PT00M00.00S,2022-10-23T00:42:46.7Z,1,REGULAR,period,end,[],0,,,1610612749,41,23,2022-10-23T00:42:46Z,1710000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2022-10-23T00:44:55.9Z,2,REGULAR,substitution,out,['startperiod'],201588,,,1610612749,41,23,2022-10-23T00:45:30Z,1720000,,,0,,SUB out: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2022-10-23T00:44:55.9Z,2,REGULAR,substitution,in,['startperiod'],1628975,,,1610612749,41,23,2022-10-23T00:45:30Z,1730000,,,0,,SUB in: J. Carter,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT12M00.00S,2022-10-23T00:45:25.7Z,2,REGULAR,period,start,[],0,,,1610612745,41,23,2022-10-23T00:45:31Z,1740000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT11M47.00S,2022-10-23T00:45:43.3Z,2,REGULAR,foul,personal,[],202083,,,1610612745,41,23,2022-10-23T00:45:55Z,1750000,,,0,,W. Matthews personal FOUL (1 PF),"[202083, 1631106]",1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1155.0,,,,1.0,0.0,Eason,1631106.0,,
187,PT11M36.00S,2022-10-23T00:46:11.9Z,2,REGULAR,3pt,Jump Shot,[],1630578,66.44218134034165,43.872549019607845,1610612745,41,23,2022-10-23T00:46:17Z,1770000,-31.0,263.0,1,right,MISS A. Sengun 26' 3PT,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Center,26.47,Missed,,,,,,,,,,,,,,,,,,
188,PT11M32.00S,2022-10-23T00:46:15.9Z,2,REGULAR,rebound,defensive,[],202083,,,1610612749,41,23,2022-10-23T00:46:17Z,1780000,,,0,,W. Matthews REBOUND (Off:0 Def:1),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,Above the Break 3,24+ Center,,,187.0,1.0,1.0,0.0,,,,,,,,,,,,,,
190,PT11M17.00S,2022-10-23T00:46:46.7Z,2,REGULAR,2pt,Jump Shot,[],1628975,20.05584756898817,70.09803921568627,1610612749,41,23,2022-10-23T00:46:51Z,1800000,-100.0,136.0,1,left,MISS J. Carter 16' pullup Shot,[1628975],1610612749.0,MIL,pullup,,,Carter,J. Carter,,,,,Mid-Range,16-24 Left Center,16.91,Missed,,,,,,,,,,,,,,,,,,
191,PT11M15.00S,2022-10-23T00:46:48.7Z,2,REGULAR,rebound,defensive,[],1630528,,,1610612745,41,23,2022-10-23T00:46:51Z,1810000,,,0,,J. Christopher REBOUND (Off:0 Def:1),[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,Mid-Range,16-24 Left Center,,,190.0,1.0,1.0,0.0,,,,,,,,,,,,,,
192,PT11M09.00S,2022-10-23T00:46:59.1Z,2,REGULAR,foul,offensive,[],1630528,,,1610612745,41,23,2022-10-23T00:48:07Z,1820000,,,0,,J. Christopher charge offensive FOUL (1 PF),"[1630528, 202083]",1610612745.0,HOU,charge,,,Christopher,J. Christopher,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202041.0,,,,1.0,0.0,Matthews,202083.0,,
194,PT11M09.00S,2022-10-23T00:46:59.1Z,2,REGULAR,turnover,offensive foul,[],1630528,,,1610612745,41,23,2022-10-23T00:46:59Z,1840000,,,0,,J. Christopher offensive foul TURNOVER (1 TO),[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,,202041.0,,,,,,,,,
232,PT11M09.00S,2022-10-23T00:47:06.7Z,2,REGULAR,substitution,out,[],1631106,,,1610612749,41,23,2022-10-23T00:54:43Z,1842500,,,0,,SUB out: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT11M09.00S,2022-10-23T00:47:06.7Z,2,REGULAR,substitution,in,[],1631095,,,1610612749,41,23,2022-10-23T00:54:43Z,1843750,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT10M58.00S,2022-10-23T00:47:29.7Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203507,11.251642575558476,43.627450980392155,1610612749,41,23,2022-10-23T01:02:40Z,1850000,32.0,53.0,1,left,MISS G. Antetokounmpo 6' driving Hook,[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,6.21,Missed,,,,,,,,,,,,,,,,,,
196,PT10M55.00S,2022-10-23T00:47:32.7Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,41,23,2022-10-23T00:47:34Z,1860000,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,195.0,2.0,2.0,0.0,,,,,,,,,,,,,,
197,PT10M50.00S,2022-10-23T00:47:38.2Z,2,REGULAR,3pt,Jump Shot,[],1631095,73.53810775295663,12.009803921568627,1610612745,41,26,2022-10-23T01:03:48Z,1870000,-190.0,196.0,1,right,J. Smith Jr. 27' 3PT pullup (3 PTS) (K. Porter Jr. 1 AST),"[1631095, 1629645]",1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,27.31,Made,,,,,,,,3.0,,K. Porter Jr.,1629645.0,1.0,,,,,,
199,PT10M30.00S,2022-10-23T00:48:05.4Z,2,REGULAR,turnover,lost ball,[],1628975,,,1610612749,41,26,2022-10-23T00:48:22Z,1890000,,,0,,J. Carter lost ball TURNOVER (1 TO),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Above the Break 3,24+ Center,,,,,,,1.0,,,,,,,,,,,,,
200,PT10M30.00S,2022-10-23T00:48:09.1Z,2,REGULAR,foul,personal,[],1629670,,,1610612745,41,26,2022-10-23T00:48:17Z,1900000,,,0,,J. Nwora loose ball personal FOUL (1 PF),"[1629670, 1629645]",1610612749.0,MIL,loose ball,,,Nwora,J. Nwora,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1155.0,,,,1.0,0.0,Porter Jr.,1629645.0,,
202,PT10M30.00S,2022-10-23T00:48:24.9Z,2,REGULAR,substitution,out,[],1629670,,,1610612745,41,26,2022-10-23T00:48:33Z,1920000,,,0,,SUB out: J. Nwora,[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT10M30.00S,2022-10-23T00:48:24.9Z,2,REGULAR,substitution,out,[],202083,,,1610612745,41,26,2022-10-23T00:48:33Z,1930000,,,0,,SUB out: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT10M30.00S,2022-10-23T00:48:24.9Z,2,REGULAR,substitution,in,[],201950,,,1610612745,41,26,2022-10-23T00:48:33Z,1940000,,,0,,SUB in: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT10M30.00S,2022-10-23T00:48:24.9Z,2,REGULAR,substitution,in,[],1628960,,,1610612745,41,26,2022-10-23T00:48:33Z,1950000,,,0,,SUB in: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT10M17.00S,2022-10-23T00:48:57.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630528,82.21090670170827,43.38235294117647,1610612745,41,26,2022-10-23T00:49:11Z,1960000,-33.0,115.0,1,right,MISS J. Christopher 11' driving floating Shot,[1630528],1610612745.0,HOU,driving floating,,,Christopher,J. Christopher,,,,,In The Paint (Non-RA),8-16 Center,11.94,Missed,,,,,,,,,,,,,,,,,,
209,PT10M15.00S,2022-10-23T00:48:59.5Z,2,REGULAR,rebound,defensive,[],201586,,,1610612749,41,26,2022-10-23T00:49:11Z,1970000,,,0,,S. Ibaka REBOUND (Off:0 Def:2),[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,In The Paint (Non-RA),8-16 Center,,,208.0,2.0,2.0,0.0,,,,,,,,,,,,,,
210,PT10M11.00S,2022-10-23T00:49:05.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203507,6.652431011826544,50.0,1610612749,43,26,2022-10-23T00:49:19Z,1980000,0.0,10.0,1,left,G. Antetokounmpo running DUNK (11 PTS),[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.0,Made,,,,,,,,11.0,,,,,,,,,,
211,PT10M11.00S,2022-10-23T00:49:10.3Z,2,REGULAR,foul,personal,['1freethrow'],1630578,,,1610612749,43,26,2022-10-23T00:49:56Z,1990000,,,0,,A. Sengun shooting personal FOUL (1 PF) (Antetokounmpo 1 FT),"[1630578, 203507]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202041.0,,,,1.0,0.0,Antetokounmpo,203507.0,,
213,PT10M11.00S,2022-10-23T00:49:27.5Z,2,REGULAR,substitution,out,[],1630578,,,1610612749,43,26,2022-10-23T00:49:40Z,2010000,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT10M11.00S,2022-10-23T00:49:27.5Z,2,REGULAR,substitution,in,[],1630586,,,1610612749,43,26,2022-10-23T00:49:40Z,2020000,,,0,,SUB in: U. Garuba,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT10M11.00S,2022-10-23T00:49:58.7Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],203507,,,1610612749,43,26,2022-10-23T00:50:03Z,2030000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 1,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
216,PT10M07.00S,2022-10-23T00:50:02.7Z,2,REGULAR,rebound,defensive,[],1631095,,,1610612745,43,26,2022-10-23T00:50:03Z,2040000,,,0,,J. Smith Jr. REBOUND (Off:0 Def:2),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,215.0,2.0,2.0,0.0,,,,,,,,,,,,,,
217,PT09M58.00S,2022-10-23T00:50:10.4Z,2,REGULAR,2pt,Jump Shot,[],1631095,87.20433639947439,78.43137254901961,1610612745,43,26,2022-10-23T00:50:17Z,2050000,142.0,68.0,1,right,MISS J. Smith Jr. 15' turnaround fadeaway Shot,[1631095],1610612745.0,HOU,turnaround fadeaway,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Right,15.75,Missed,,,,,,,,,,,,,,,,,,
218,PT09M54.00S,2022-10-23T00:50:13.7Z,2,REGULAR,rebound,defensive,[],1628960,,,1610612749,43,26,2022-10-23T00:50:13Z,2060000,,,0,,G. Allen REBOUND (Off:0 Def:2),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Mid-Range,8-16 Right,,,217.0,2.0,2.0,0.0,,,,,,,,,,,,,,
219,PT09M46.00S,2022-10-23T00:50:23.3Z,2,REGULAR,3pt,Jump Shot,[],1628960,37.40144546649146,43.872549019607845,1610612749,46,26,2022-10-23T00:50:28Z,2070000,31.0,299.0,1,left,G. Allen 30' 3PT  (3 PTS) (G. Antetokounmpo 3 AST),"[1628960, 203507]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,30.07,Made,,,,,,,,3.0,,G. Antetokounmpo,203507.0,3.0,,,,,,
221,PT09M29.00S,2022-10-23T00:50:39.2Z,2,REGULAR,2pt,Jump Shot,[],1629645,79.05716162943496,52.20588235294118,1610612745,46,26,2022-10-23T01:06:57Z,2090000,11.0,144.0,1,right,MISS K. Porter Jr. 14' pullup Shot,[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,8-16 Center,14.48,Missed,,,,,,,,,,,,,,,,,,
222,PT09M28.00S,2022-10-23T00:50:42.8Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612749,46,26,2022-10-23T00:50:42Z,2100000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Mid-Range,8-16 Center,,,221.0,,,,,,,,,,,,,,,,,
224,PT09M28.00S,2022-10-23T00:50:47.1Z,2,REGULAR,substitution,out,[],203507,,,1610612749,46,26,2022-10-23T00:50:54Z,2120000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT09M28.00S,2022-10-23T00:50:47.1Z,2,REGULAR,substitution,in,[],1626171,,,1610612749,46,26,2022-10-23T00:50:54Z,2130000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT09M06.00S,2022-10-23T00:51:19.8Z,2,REGULAR,3pt,Jump Shot,[],201950,34.11629434954008,49.754901960784316,1610612749,46,26,2022-10-23T00:51:29Z,2140000,1.0,268.0,1,left,MISS J. Holiday 26' 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,26.82,Missed,,,,,,,,,,,,,,,,,,
227,PT09M02.00S,2022-10-23T00:51:23.8Z,2,REGULAR,rebound,defensive,[],1630586,,,1610612745,46,26,2022-10-23T00:51:29Z,2150000,,,0,,U. Garuba REBOUND (Off:1 Def:1),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,Above the Break 3,24+ Center,,,226.0,2.0,1.0,1.0,,,,,,,,,,,,,,
228,PT08M52.00S,2022-10-23T00:51:33.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631095,90.88370565045992,38.72549019607843,1610612745,46,28,2022-10-23T01:08:28Z,2160000,-56.0,33.0,1,right,J. Smith Jr. 6' driving finger roll Layup (5 PTS),[1631095],1610612745.0,HOU,driving finger roll,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.54,Made,,,,,,,,5.0,,,,,,,,,,
229,PT08M34.00S,2022-10-23T00:51:51.9Z,2,REGULAR,3pt,Jump Shot,[],1626171,21.895532194480946,93.38235294117648,1610612749,49,28,2022-10-23T00:51:56Z,2170000,-217.0,153.0,1,left,B. Portis 26' 3PT  (3 PTS) (J. Holiday 4 AST),"[1626171, 201950]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,26.56,Made,,,,,,,,3.0,,J. Holiday,201950.0,4.0,,,,,,
231,PT08M31.00S,2022-10-23T00:52:01.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,49,28,2022-10-23T00:52:01Z,2190000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT08M31.00S,2022-10-23T00:54:22.2Z,2,REGULAR,substitution,out,[],1630528,,,1610612745,49,28,2022-10-23T00:54:46Z,2200000,,,0,,SUB out: J. Christopher,[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT08M31.00S,2022-10-23T00:54:22.2Z,2,REGULAR,substitution,in,[],1631106,,,1610612745,49,28,2022-10-23T00:58:48Z,2215000,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT08M10.00S,2022-10-23T00:55:16.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631095,91.40932982917214,47.30392156862745,1610612745,49,30,2022-10-23T00:55:24Z,2220000,-13.0,28.0,1,right,J. Smith Jr. driving finger roll Layup (7 PTS) (K. Porter Jr. 2 AST),"[1631095, 1629645]",1610612745.0,HOU,driving finger roll,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,3.14,Made,,,,,,,,7.0,,K. Porter Jr.,1629645.0,2.0,,,,,,
238,PT07M50.00S,2022-10-23T00:55:37.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],201586,14.668199737187912,47.549019607843135,1610612749,49,30,2022-10-23T00:55:42Z,2240000,12.0,85.0,1,left,MISS S. Ibaka 8' Hook,[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,In The Paint (Non-RA),8-16 Center,8.63,Missed,,,,,,,,,,,,,,,,,,
239,PT07M47.00S,2022-10-23T00:55:40.3Z,2,REGULAR,rebound,defensive,[],1630586,,,1610612745,49,30,2022-10-23T00:55:42Z,2250000,,,0,,U. Garuba REBOUND (Off:1 Def:2),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),8-16 Center,,,238.0,3.0,2.0,1.0,,,,,,,,,,,,,,
240,PT07M44.00S,2022-10-23T00:55:43.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631106,91.01511169513797,55.14705882352941,1610612745,49,30,2022-10-23T00:55:52Z,2260000,26.0,32.0,1,right,MISS T. Eason running Layup,[1631106],1610612745.0,HOU,running,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,4.1,Missed,,,,,,,,,,,,,,,,,,
242,PT07M39.00S,2022-10-23T00:55:48.6Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,49,30,2022-10-23T00:55:52Z,2280000,,,0,,B. Portis REBOUND (Off:1 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,240.0,3.0,2.0,1.0,,,,,,,,,,,,,,
243,PT07M36.00S,2022-10-23T00:55:52.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628975,7.835085413929041,95.58823529411765,1610612749,49,30,2022-10-23T00:55:58Z,2290000,-228.0,21.0,1,left,MISS J. Carter running 3PT,[1628975],1610612749.0,MIL,running,,,Carter,J. Carter,,,,,Left Corner 3,24+ Left,22.89,Missed,,,,,,,,,,,,,,,,,,
244,PT07M33.00S,2022-10-23T00:55:55.1Z,2,REGULAR,rebound,defensive,[],1631095,,,1610612745,49,30,2022-10-23T00:55:58Z,2300000,,,0,,J. Smith Jr. REBOUND (Off:0 Def:3),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Left Corner 3,24+ Left,,,243.0,3.0,3.0,0.0,,,,,,,,,,,,,,
245,PT07M29.00S,2022-10-23T00:55:58.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629726,72.61826544021025,9.313725490196079,1610612745,49,30,2022-10-23T00:56:10Z,2310000,-203.0,205.0,1,right,MISS G. Mathews 28' running pullup 3PT,[1629726],1610612745.0,HOU,running pullup,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Left Center,28.87,Missed,,,,,,,,,,,,,,,,,,
246,PT07M25.00S,2022-10-23T00:56:02.7Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,49,30,2022-10-23T00:56:10Z,2320000,,,0,,B. Portis REBOUND (Off:1 Def:3),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,245.0,4.0,3.0,1.0,,,,,,,,,,,,,,
247,PT07M16.00S,2022-10-23T00:56:12.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],201950,10.85742444152431,53.18627450980392,1610612749,49,30,2022-10-23T00:56:28Z,2330000,-16.0,50.0,1,left,MISS J. Holiday driving Hook - blocked,"[201950, 1631106]",1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,5.21,Missed,,,,,,,,,,,,,,,,,Eason,1631106.0
248,PT07M16.00S,2022-10-23T00:56:12.5Z,2,REGULAR,block,,[],1631106,,,1610612749,49,30,2022-10-23T00:56:19Z,2340000,,,0,,T. Eason BLOCK (2 BLK),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
249,PT07M16.00S,2022-10-23T00:56:12.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612749,49,30,2022-10-23T00:56:28Z,2350000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,247.0,,,,,,,,,,,,,,,,,
251,PT07M16.00S,2022-10-23T00:56:27.8Z,2,REGULAR,substitution,out,[],201586,,,1610612749,49,30,2022-10-23T00:56:31Z,2370000,,,0,,SUB out: S. Ibaka,[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT07M16.00S,2022-10-23T00:56:27.8Z,2,REGULAR,substitution,in,[],201572,,,1610612749,49,30,2022-10-23T00:56:31Z,2380000,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT07M08.00S,2022-10-23T00:56:47.5Z,2,REGULAR,foul,personal,['2freethrow'],1631106,,,1610612749,49,30,2022-10-23T00:57:01Z,2390000,,,0,,T. Eason shooting personal FOUL (1 PF) (Allen 2 FT),"[1631106, 1628960]",1610612745.0,HOU,shooting,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1155.0,,,,1.0,0.0,Allen,1628960.0,,
255,PT07M08.00S,2022-10-23T00:57:18.5Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1628960,,,1610612749,50,30,2022-10-23T00:57:18Z,2410000,,,0,,G. Allen Free Throw 1 of 2 (4 PTS),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,Made,,,,,,,,4.0,,,,,,,,,,
256,PT07M08.00S,2022-10-23T00:57:33.9Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1628960,,,1610612749,51,30,2022-10-23T00:57:33Z,2420000,,,0,,G. Allen Free Throw 2 of 2 (5 PTS),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,Made,,,,,,,,5.0,,,,,,,,,,
257,PT06M56.00S,2022-10-23T00:57:48.1Z,2,REGULAR,turnover,bad pass,[],1629645,,,1610612745,51,30,2022-10-23T00:57:56Z,2430000,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 201572]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,8-16 Center,,,,,,,1.0,Lopez,201572.0,,,,,,,,,,,
258,PT06M56.00S,2022-10-23T00:57:48.1Z,2,REGULAR,steal,,[],201572,,,1610612749,51,30,2022-10-23T00:57:50Z,2440000,,,0,,B. Lopez STEAL (2 STL),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
259,PT06M51.00S,2022-10-23T00:57:52.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628960,6.389618922470433,51.71568627450981,1610612749,51,30,2022-10-23T00:58:02Z,2450000,-9.0,8.0,1,left,MISS G. Allen running Layup - blocked,"[1628960, 1631095]",1610612749.0,MIL,running,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,1.15,Missed,,,,,,,,,,,,,,,,,Smith Jr.,1631095.0
260,PT06M51.00S,2022-10-23T00:57:52.3Z,2,REGULAR,block,,[],1631095,,,1610612749,51,30,2022-10-23T00:57:55Z,2460000,,,0,,J. Smith Jr. BLOCK (1 BLK),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
261,PT06M48.00S,2022-10-23T00:57:55.3Z,2,REGULAR,rebound,defensive,[],1630586,,,1610612745,51,30,2022-10-23T00:58:02Z,2470000,,,0,,U. Garuba REBOUND (Off:1 Def:3),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,Restricted Area,0-8 Center,,,259.0,4.0,3.0,1.0,,,,,,,,,,,,,,
262,PT06M43.00S,2022-10-23T00:58:01.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631106,92.19776609724047,48.77450980392157,1610612745,51,30,2022-10-23T00:58:10Z,2480000,-6.0,21.0,1,right,MISS T. Eason running Layup,[1631106],1610612745.0,HOU,running,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,,
263,PT06M43.00S,2022-10-23T00:58:01.1Z,2,REGULAR,rebound,offensive,[],1630586,,,1610612745,51,30,2022-10-23T00:58:10Z,2490000,,,0,,U. Garuba REBOUND (Off:2 Def:3),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,Restricted Area,0-8 Center,,,262.0,5.0,3.0,2.0,,,,,,,,,,,,,,
264,PT06M39.00S,2022-10-23T00:58:05.2Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630586,94.40999984741211,50.0,1610612745,51,30,2022-10-23T01:23:20Z,2500000,0.0,0.0,1,right,MISS U. Garuba tip Layup,[1630586],1610612745.0,HOU,tip,,,Garuba,U. Garuba,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
265,PT06M38.00S,2022-10-23T00:58:06.2Z,2,REGULAR,rebound,offensive,[],1631095,,,1610612745,51,30,2022-10-23T01:23:20Z,2510000,,,0,,J. Smith Jr. REBOUND (Off:1 Def:3),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,264.0,4.0,3.0,1.0,,,,,,,,,,,,,,
266,PT06M37.00S,2022-10-23T00:58:06.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631106,92.06636005256242,51.470588235294116,1610612745,51,30,2022-10-23T00:58:17Z,2520000,7.0,22.0,1,right,MISS T. Eason Layup - blocked,"[1631106, 201572]",1610612745.0,HOU,,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,2.33,Missed,,,,,,,,,,,,,,,,,Lopez,201572.0
