actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
65,PT06M08.00S,2023-02-24T00:21:16.4Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,13,17,2023-02-24T00:21:21Z,620000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M08.00S,2023-02-24T00:21:41.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627759,,,1610612738,13,18,2023-02-24T00:21:41Z,630000,False,,,0,,J. Brown Free Throw 2 of 2 (6 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
67,PT06M00.00S,2023-02-24T00:21:51.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,91.14651773981603,53.67647058823529,1610612754,15,18,2023-02-24T00:21:54Z,640000,False,18.0,31.0,1,right,T. Haliburton driving finger roll Layup (2 PTS),[1630169],1610612754.0,IND,driving finger roll,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,3.58,Made,,,,,,,2.0,,,,,,,,,,,
68,PT05M47.00S,2023-02-24T00:22:03.9Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,15,18,2023-02-24T00:22:09Z,650000,False,,,0,,M. Smart bad pass TURNOVER (2 TO),"[203935, 1630169]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Center,,,,,,,,,,2.0,Haliburton,1630169.0,,,,,,,,
69,PT05M47.00S,2023-02-24T00:22:03.9Z,1,REGULAR,steal,,[],1630169,,,1610612754,15,18,2023-02-24T00:22:06Z,660000,False,,,0,,T. Haliburton STEAL (2 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
70,PT05M41.00S,2023-02-24T00:22:09.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626167,65.52233902759527,51.71568627450981,1610612754,15,18,2023-02-24T00:22:16Z,670000,False,9.0,272.0,1,right,MISS M. Turner 27' running 3PT,[1626167],1610612754.0,IND,running,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,27.17,Missed,,,,,,,,,,,,,,,,,,
71,PT05M37.00S,2023-02-24T00:22:13.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,15,18,2023-02-24T00:22:16Z,680000,False,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,70.0,4.0,4.0,0.0,,,,,,,,,,,,,,
72,PT05M31.00S,2023-02-24T00:22:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,7.440867279894875,55.63725490196079,1610612738,15,18,2023-02-24T00:22:23Z,690000,False,-28.0,17.0,1,left,MISS J. Tatum driving finger roll Layup,[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,3.31,Missed,,,,,,,,,,,,,,,,,,
73,PT05M28.00S,2023-02-24T00:22:22.6Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,15,18,2023-02-24T00:22:22Z,700000,False,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,72.0,2.0,1.0,1.0,,,,,,,,,,,,,,
74,PT05M27.00S,2023-02-24T00:22:23.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,7.046649145860711,95.34313725490196,1610612738,15,18,2023-02-24T00:22:27Z,710000,False,-227.0,14.0,1,left,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,22.71,Missed,,,,,,,,,,,,,,,,,,
