actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
170,PT11M33.00S,2025-04-12T01:40:02.9Z,2,REGULAR,turnover,out-of-bounds,[],1628978,,,1610612750,28,16,2025-04-12T01:40:13Z,1690000,False,,,0,,D. DiVincenzo bad pass out-of-bounds TURNOVER (1 TO),[1628978],1610612750.0,MIN,bad pass,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,,,1662.0,,,,,,,,,,,,1.0,,
171,PT11M19.00S,2025-04-12T01:40:22.8Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631166,87.72996057818659,55.392156862745104,1610612751,28,16,2025-04-12T01:42:39Z,1700000,False,27.0,63.0,1,right,MISS D. Timme 6' floating Shot,[1631166],1610612751.0,BKN,floating,,,Timme,D. Timme,,,,,In The Paint (Non-RA),0-8 Center,6.84,Missed,,,,,,,,,,,,,,,,,,
172,PT11M17.00S,2025-04-12T01:40:24.8Z,2,REGULAR,rebound,offensive,[],1631166,,,1610612751,28,16,2025-04-12T01:40:42Z,1710000,False,,,0,,D. Timme REBOUND (Off:1 Def:1),[1631166],1610612751.0,BKN,,,,Timme,D. Timme,,,,,In The Paint (Non-RA),0-8 Center,,,,,171.0,,,,,,2.0,1.0,1.0,,,,,,,
173,PT11M17.00S,2025-04-12T01:40:26.9Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1631166,94.40999984741211,50.0,1610612751,28,16,2025-04-12T01:40:47Z,1720000,False,0.0,0.0,1,right,MISS D. Timme tip Layup,[1631166],1610612751.0,BKN,tip,,,Timme,D. Timme,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
174,PT11M16.00S,2025-04-12T01:40:27.9Z,2,REGULAR,rebound,defensive,[],1628978,,,1610612750,28,16,2025-04-12T01:40:47Z,1730000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:3),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,,173.0,,,,,,3.0,3.0,0.0,,,,,,,
175,PT11M07.00S,2025-04-12T01:40:35.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203497,6.783837056504599,49.01960784313725,1610612750,30,16,2025-04-12T01:40:40Z,1740000,False,5.0,11.0,1,left,R. Gobert Layup (10 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,,,,,,,,10.0,,,,,,
176,PT10M51.00S,2025-04-12T01:40:50.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1631166,93.11760840998686,48.03921568627451,1610612751,30,18,2025-04-12T01:40:56Z,1750000,False,-10.0,12.0,1,right,D. Timme cutting DUNK (4 PTS) (K. Johnson 2 AST),"[1631166, 1630553]",1610612751.0,BKN,cutting,,,Timme,D. Timme,,,,,Restricted Area,0-8 Center,1.56,Made,,,,,,,,,,,,4.0,K. Johnson,1630553.0,2.0,,,
178,PT10M39.00S,2025-04-12T01:41:03.4Z,2,REGULAR,2pt,Jump Shot,[],1629675,11.514454664914586,32.59803921568628,1610612750,32,18,2025-04-12T01:44:06Z,1770000,False,87.0,56.0,1,left,N. Reid 10' driving floating Jump Shot (5 PTS) (M. Conley 2 AST),"[1629675, 201144]",1610612750.0,MIN,driving floating,,,Reid,N. Reid,,,,,Mid-Range,8-16 Right,10.33,Made,,,,,,,,,,,,5.0,M. Conley,201144.0,2.0,,,
180,PT10M26.00S,2025-04-12T01:41:16.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641736,92.72339027595268,53.67647058823529,1610612751,32,20,2025-04-12T01:41:21Z,1790000,False,18.0,16.0,1,right,R. Beekman driving Layup (2 PTS) (K. Johnson 3 AST),"[1641736, 1630553]",1610612751.0,BKN,driving,,,Beekman,R. Beekman,,,,,Restricted Area,0-8 Center,2.43,Made,,,,,,,,,,,,2.0,K. Johnson,1630553.0,3.0,,,
182,PT10M14.00S,2025-04-12T01:41:30.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203497,6.521024967148489,46.07843137254902,1610612750,34,20,2025-04-12T01:41:38Z,1810000,False,20.0,9.0,1,left,R. Gobert driving Layup (12 PTS) (M. Conley 3 AST),"[203497, 201144]",1610612750.0,MIN,driving,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,2.15,Made,,,,,,,,,,,,12.0,M. Conley,201144.0,3.0,,,
184,PT10M14.00S,2025-04-12T01:41:33.3Z,2,REGULAR,foul,personal,['1freethrow'],1630553,,,1610612750,34,20,2025-04-12T01:41:45Z,1830000,False,,,0,,K. Johnson shooting personal FOUL (1 PF) (Gobert 1 FT),"[1630553, 203497]",1610612751.0,BKN,shooting,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,1628159.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,
186,PT10M14.00S,2025-04-12T01:42:04.4Z,2,REGULAR,freethrow,1 of 1,[],203497,,,1610612750,35,20,2025-04-12T01:42:04Z,1850000,False,,,0,,R. Gobert Free Throw 1 of 1 (13 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,,,,,,,,,,,,13.0,,,,,,
187,PT10M06.00S,2025-04-12T01:42:17.4Z,2,REGULAR,foul,personal,[],1629638,,,1610612751,35,20,2025-04-12T01:42:29Z,1860000,False,,,0,,N. Alexander-Walker personal FOUL (2 PF),"[1629638, 1630570]",1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Left Center,,,,,,1662.0,2.0,0.0,Watford,1630570.0,,,,,,,,,,
189,PT09M49.00S,2025-04-12T01:42:49.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641736,92.06636005256242,55.63725490196079,1610612751,35,22,2025-04-12T01:42:55Z,1880000,False,28.0,22.0,1,right,R. Beekman driving Layup (4 PTS) (T. Watford 1 AST),"[1641736, 1630570]",1610612751.0,BKN,driving,,,Beekman,R. Beekman,,,,,Restricted Area,0-8 Center,3.58,Made,,,,,,,,,,,,4.0,T. Watford,1630570.0,1.0,,,
190,PT09M34.00S,2025-04-12T01:43:04.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628978,12.828515111695138,51.9607843137255,1610612750,35,22,2025-04-12T01:46:15Z,1890000,False,-10.0,68.0,1,left,MISS D. DiVincenzo 6' driving floating Shot,[1628978],1610612750.0,MIN,driving floating,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,6.88,Missed,,,,,,,,,,,,,,,,,,
191,PT09M32.00S,2025-04-12T01:43:06.7Z,2,REGULAR,rebound,defensive,[],1630592,,,1610612751,35,22,2025-04-12T01:43:13Z,1900000,False,,,0,,J. Wilson REBOUND (Off:0 Def:2),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,In The Paint (Non-RA),0-8 Center,,,,,190.0,,,,,,2.0,2.0,0.0,,,,,,,
192,PT09M27.00S,2025-04-12T01:43:15.2Z,2,REGULAR,foul,personal,['2freethrow'],1629638,,,1610612751,35,22,2025-04-12T01:43:22Z,1910000,False,,,0,,N. Alexander-Walker shooting personal FOUL (3 PF) (Beekman 2 FT),"[1629638, 1641736]",1610612750.0,MIN,shooting,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1626300.0,3.0,0.0,Beekman,1641736.0,,,,,,,,,,
195,PT09M27.00S,2025-04-12T01:43:39.2Z,2,REGULAR,freethrow,1 of 2,[],1641736,,,1610612751,35,23,2025-04-12T01:43:39Z,1930000,False,,,0,,R. Beekman Free Throw 1 of 2 (5 PTS),[1641736],1610612751.0,BKN,,,,Beekman,R. Beekman,,,,,,,,Made,,,,,,,,,,,,5.0,,,,,,
196,PT09M27.00S,2025-04-12T01:43:40.2Z,2,REGULAR,substitution,out,[],1629638,,,1610612751,35,23,2025-04-12T01:43:45Z,1940000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT09M27.00S,2025-04-12T01:43:40.2Z,2,REGULAR,substitution,in,[],1641740,,,1610612751,35,23,2025-04-12T01:43:45Z,1950000,False,,,0,,SUB in: J. Clark,[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT09M27.00S,2025-04-12T01:43:58.2Z,2,REGULAR,freethrow,2 of 2,[],1641736,,,1610612751,35,24,2025-04-12T01:43:58Z,1960000,False,,,0,,R. Beekman Free Throw 2 of 2 (6 PTS),[1641736],1610612751.0,BKN,,,,Beekman,R. Beekman,,,,,,,,Made,,,,,,,,,,,,6.0,,,,,,
199,PT09M14.00S,2025-04-12T01:44:12.5Z,2,REGULAR,3pt,Jump Shot,[],1628978,4.28712220762155,95.09803921568627,1610612750,38,24,2025-04-12T01:44:17Z,1970000,False,-225.0,-12.0,1,left,D. DiVincenzo 3PT  (5 PTS) (N. Reid 1 AST),"[1628978, 1629675]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Left Corner 3,24+ Left,22.58,Made,,,,,,,,,,,,5.0,N. Reid,1629675.0,1.0,,,
201,PT09M00.00S,2025-04-12T01:44:26.2Z,2,REGULAR,3pt,Jump Shot,[],1630592,90.22667542706965,4.901960784313726,1610612751,38,27,2025-04-12T01:44:31Z,1990000,False,-225.0,39.0,1,right,J. Wilson 3PT  (6 PTS) (K. Johnson 4 AST),"[1630592, 1630553]",1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Left Corner 3,24+ Left,22.89,Made,,,,,,,,,,,,6.0,K. Johnson,1630553.0,4.0,,,
203,PT08M49.00S,2025-04-12T01:44:37.1Z,2,REGULAR,3pt,Jump Shot,[],1628978,34.247700394218136,61.274509803921575,1610612750,38,27,2025-04-12T01:44:41Z,2010000,False,-56.0,269.0,1,left,MISS D. DiVincenzo 27' 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,27.52,Missed,,,,,,,,,,,,,,,,,,
204,PT08M47.00S,2025-04-12T01:44:41.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612750,38,27,2025-04-12T01:44:41Z,2020000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Center,,,,,203.0,,,,,,,,,,,,,,,
206,PT08M38.00S,2025-04-12T01:45:08.6Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1629675,11.908672798948752,44.85294117647059,1610612750,38,27,2025-04-12T01:46:13Z,2040000,False,26.0,59.0,1,left,MISS N. Reid 6' turnaround Hook,[1629675],1610612750.0,MIN,turnaround,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,6.47,Missed,,,,,,,,,,,,,,,,,,
207,PT08M36.00S,2025-04-12T01:45:10.6Z,2,REGULAR,rebound,defensive,[],1630592,,,1610612751,38,27,2025-04-12T01:46:13Z,2050000,False,,,0,,J. Wilson REBOUND (Off:0 Def:3),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,In The Paint (Non-RA),0-8 Center,,,,,206.0,,,,,,3.0,3.0,0.0,,,,,,,
208,PT08M29.00S,2025-04-12T01:45:21.3Z,2,REGULAR,foul,personal,['2freethrow'],1628978,,,1610612751,38,27,2025-04-12T01:45:30Z,2060000,False,,,0,,D. DiVincenzo shooting personal FOUL (1 PF) (Johnson 2 FT),"[1628978, 1630553]",1610612750.0,MIN,shooting,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,,,1662.0,1.0,0.0,Johnson,1630553.0,,,,,,,,,,
210,PT08M29.00S,2025-04-12T01:45:47.4Z,2,REGULAR,freethrow,1 of 2,[],1630553,,,1610612751,38,28,2025-04-12T01:45:47Z,2080000,False,,,0,,K. Johnson Free Throw 1 of 2 (1 PTS),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
211,PT08M29.00S,2025-04-12T01:45:50.6Z,2,REGULAR,substitution,out,[],1628978,,,1610612751,38,28,2025-04-12T01:45:55Z,2090000,False,,,0,,SUB out: D. DiVincenzo,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT08M29.00S,2025-04-12T01:45:50.6Z,2,REGULAR,substitution,out,[],201144,,,1610612751,38,28,2025-04-12T01:45:55Z,2100000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT08M29.00S,2025-04-12T01:45:50.6Z,2,REGULAR,substitution,in,[],1630183,,,1610612751,38,28,2025-04-12T01:45:55Z,2110000,False,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT08M29.00S,2025-04-12T01:45:50.6Z,2,REGULAR,substitution,in,[],1630162,,,1610612751,38,28,2025-04-12T01:45:55Z,2120000,False,,,0,,SUB in: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT08M29.00S,2025-04-12T01:46:08.2Z,2,REGULAR,freethrow,2 of 2,[],1630553,,,1610612751,38,29,2025-04-12T01:46:08Z,2130000,False,,,0,,K. Johnson Free Throw 2 of 2 (2 PTS),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
216,PT08M12.00S,2025-04-12T01:46:26.0Z,2,REGULAR,2pt,Jump Shot,[],1630183,6.521024967148489,27.205882352941174,1610612750,40,29,2025-04-12T01:46:33Z,2140000,False,114.0,9.0,1,left,J. McDaniels 11' turnaround fadeaway Jump Shot (2 PTS) (N. Reid 2 AST),"[1630183, 1629675]",1610612750.0,MIN,turnaround fadeaway,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Right,11.43,Made,,,,,,,,,,,,2.0,N. Reid,1629675.0,2.0,,,
218,PT07M54.00S,2025-04-12T01:46:43.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631166,90.75229960578186,42.8921568627451,1610612751,40,29,2025-04-12T01:46:48Z,2160000,False,-36.0,34.0,1,right,MISS D. Timme driving Layup,[1631166],1610612751.0,BKN,driving,,,Timme,D. Timme,,,,,In The Paint (Non-RA),0-8 Center,4.94,Missed,,,,,,,,,,,,,,,,,,
219,PT07M52.00S,2025-04-12T01:46:45.1Z,2,REGULAR,rebound,defensive,[],1629675,,,1610612750,40,29,2025-04-12T01:46:48Z,2170000,False,,,0,,N. Reid REBOUND (Off:2 Def:2),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,,,,,218.0,,,,,,4.0,2.0,2.0,,,,,,,
220,PT07M49.00S,2025-04-12T01:46:48.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629675,32.40801576872536,29.901960784313726,1610612750,40,29,2025-04-12T01:50:29Z,2180000,False,100.0,252.0,1,left,MISS N. Reid 27' running 3PT,[1629675],1610612750.0,MIN,running,,,Reid,N. Reid,,,,,Above the Break 3,24+ Right Center,27.14,Missed,,,,,,,,,,,,,,,,,,
221,PT07M48.00S,2025-04-12T01:46:49.5Z,2,REGULAR,rebound,offensive,[],203497,,,1610612750,40,29,2025-04-12T01:52:11Z,2190000,False,,,0,,R. Gobert REBOUND (Off:1 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,,,220.0,,,,,,3.0,2.0,1.0,,,,,,,
222,PT07M47.00S,2025-04-12T01:46:52.7Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203497,5.590000152587891,50.0,1610612750,40,29,2025-04-12T01:52:22Z,2200000,False,0.0,0.0,1,left,MISS R. Gobert tip Layup,[203497],1610612750.0,MIN,tip,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
223,PT07M45.00S,2025-04-12T01:46:54.7Z,2,REGULAR,rebound,defensive,[],1630570,,,1610612751,40,29,2025-04-12T01:52:22Z,2210000,False,,,0,,T. Watford REBOUND (Off:0 Def:3),[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,,,,,222.0,,,,,,3.0,3.0,0.0,,,,,,,
224,PT07M39.00S,2025-04-12T01:46:58.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630592,90.09526938239159,96.07843137254902,1610612751,40,32,2025-04-12T04:43:53Z,2220000,False,230.0,41.0,1,right,J. Wilson 3PT running (9 PTS) (K. Johnson 5 AST),"[1630592, 1630553]",1610612751.0,BKN,running,,,Wilson,J. Wilson,,,,,Right Corner 3,24+ Right,23.39,Made,,,,,,,,,,,,9.0,K. Johnson,1630553.0,5.0,,,
226,PT07M20.00S,2025-04-12T01:47:18.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,9.806176084099869,36.029411764705884,1610612750,42,32,2025-04-12T01:53:58Z,2240000,False,70.0,40.0,1,left,J. McDaniels 8' pullup Jump Shot (4 PTS),[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,8.04,Made,,,,,,,,,,,,4.0,,,,,,
227,PT07M20.00S,2025-04-12T01:47:21.9Z,2,REGULAR,foul,personal,['1freethrow'],1630592,,,1610612750,42,32,2025-04-12T01:47:27Z,2250000,False,,,0,,J. Wilson shooting personal FOUL (2 PF) (McDaniels 1 FT),"[1630592, 1630183]",1610612751.0,BKN,shooting,,,Wilson,J. Wilson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1626300.0,2.0,0.0,McDaniels,1630183.0,,,,,,,,,,
229,PT07M20.00S,2025-04-12T01:47:29.5Z,2,REGULAR,substitution,out,[],1641736,,,1610612750,42,32,2025-04-12T01:48:36Z,2270000,False,,,0,,SUB out: R. Beekman,[1641736],1610612751.0,BKN,,,,Beekman,R. Beekman,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT07M20.00S,2025-04-12T01:47:29.5Z,2,REGULAR,substitution,in,[],1631213,,,1610612750,42,32,2025-04-12T01:48:36Z,2280000,False,,,0,,SUB in: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT07M20.00S,2025-04-12T01:47:43.3Z,2,REGULAR,substitution,out,[],203497,,,1610612750,42,32,2025-04-12T01:48:36Z,2290000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT07M20.00S,2025-04-12T01:47:43.3Z,2,REGULAR,substitution,in,[],203944,,,1610612750,42,32,2025-04-12T01:48:36Z,2300000,False,,,0,,SUB in: J. Randle,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT07M20.00S,2025-04-12T01:48:05.2Z,2,REGULAR,freethrow,1 of 1,[],1630183,,,1610612750,43,32,2025-04-12T01:48:05Z,2310000,False,,,0,,J. McDaniels Free Throw 1 of 1 (5 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Made,,,,,,,,,,,,5.0,,,,,,
234,PT07M03.00S,2025-04-12T01:48:30.5Z,2,REGULAR,foul,personal,[],1630162,,,1610612751,43,32,2025-04-12T01:48:36Z,2320000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1630553]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,1628159.0,1.0,0.0,Johnson,1630553.0,,,,,,,,,,
236,PT06M55.00S,2025-04-12T01:48:53.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631166,87.86136662286465,49.754901960784316,1610612751,43,34,2025-04-12T01:49:01Z,2340000,False,-1.0,62.0,1,right,D. Timme 6' finger roll Layup (6 PTS) (J. Wilson 1 AST),"[1631166, 1630592]",1610612751.0,BKN,finger roll,,,Timme,D. Timme,,,,,In The Paint (Non-RA),0-8 Center,6.16,Made,,,,,,,,,,,,6.0,J. Wilson,1630592.0,1.0,,,
238,PT06M39.00S,2025-04-12T01:49:09.5Z,2,REGULAR,2pt,Jump Shot,[],1630183,9.149145860709593,68.38235294117648,1610612750,43,34,2025-04-12T01:49:15Z,2360000,False,-92.0,34.0,1,left,MISS J. McDaniels 9' pullup Shot,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,9.78,Missed,,,,,,,,,,,,,,,,,,
239,PT06M38.00S,2025-04-12T01:49:10.5Z,2,REGULAR,rebound,offensive,[],203944,,,1610612750,43,34,2025-04-12T01:57:38Z,2370000,False,,,0,,J. Randle REBOUND (Off:1 Def:2),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Left,,,,,238.0,,,,,,3.0,2.0,1.0,,,,,,,
240,PT06M37.00S,2025-04-12T01:49:12.5Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203944,5.590000152587891,50.0,1610612750,45,34,2025-04-12T01:57:45Z,2380000,False,0.0,0.0,1,left,J. Randle tip Layup (6 PTS),[203944],1610612750.0,MIN,tip,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,,,6.0,,,,,,
241,PT06M29.00S,2025-04-12T01:49:21.5Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630162,,,1610612751,45,34,2025-04-12T01:49:31Z,2390000,False,,,0,,A. Edwards personal FOUL (2 PF) (Johnson 2 FT),"[1630162, 1630553]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,1626300.0,2.0,0.0,Johnson,1630553.0,,,,,,,,,,
243,PT06M29.00S,2025-04-12T01:49:34.6Z,2,REGULAR,foul,technical,"['inpenalty', '1freethrow']",1630162,,,1610612751,45,34,2025-04-12T01:52:38Z,2410000,False,,,0,,A. Edwards technical FOUL (1 Tech),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,1626300.0,2.0,1.0,,,,,,,,,,,,
244,PT06M29.00S,2025-04-12T01:49:48.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,45,34,2025-04-12T01:49:48Z,2420000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT06M29.00S,2025-04-12T01:51:58.6Z,2,REGULAR,substitution,out,[],1630570,,,1610612751,45,34,2025-04-12T01:52:26Z,2430000,False,,,0,,SUB out: T. Watford,[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT06M29.00S,2025-04-12T01:51:58.6Z,2,REGULAR,substitution,in,[],1641787,,,1610612751,45,34,2025-04-12T01:52:26Z,2440000,False,,,0,,SUB in: T. Evbuomwan,[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M29.00S,2025-04-12T01:52:40.1Z,2,REGULAR,freethrow,1 of 1,[],1630553,,,1610612751,45,35,2025-04-12T01:52:40Z,2450000,False,,,0,,K. Johnson technical Free Throw 1 of 1 (3 PTS),[1630553],1610612751.0,BKN,technical,,,Johnson,K. Johnson,,,,,,,,Made,,,,,,,,,,,,3.0,,,,,,
248,PT06M29.00S,2025-04-12T01:53:03.2Z,2,REGULAR,freethrow,1 of 2,[],1630553,,,1610612751,45,36,2025-04-12T01:53:03Z,2460000,False,,,0,,K. Johnson Free Throw 1 of 2 (4 PTS),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,Made,,,,,,,,,,,,4.0,,,,,,
249,PT06M29.00S,2025-04-12T01:53:16.8Z,2,REGULAR,freethrow,2 of 2,[],1630553,,,1610612751,45,37,2025-04-12T01:53:16Z,2470000,False,,,0,,K. Johnson Free Throw 2 of 2 (5 PTS),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,Made,,,,,,,,,,,,5.0,,,,,,
250,PT06M08.00S,2025-04-12T01:53:40.3Z,2,REGULAR,3pt,Jump Shot,[],1630183,23.603810775295663,15.196078431372548,1610612750,45,37,2025-04-12T01:53:45Z,2480000,False,174.0,169.0,1,left,MISS J. McDaniels 24' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,24.28,Missed,,,,,,,,,,,,,,,,,,
251,PT06M04.00S,2025-04-12T01:53:44.3Z,2,REGULAR,rebound,defensive,[],1631166,,,1610612751,45,37,2025-04-12T01:53:45Z,2490000,False,,,0,,D. Timme REBOUND (Off:1 Def:2),[1631166],1610612751.0,BKN,,,,Timme,D. Timme,,,,,Above the Break 3,24+ Right Center,,,,,250.0,,,,,,3.0,2.0,1.0,,,,,,,
252,PT06M01.00S,2025-04-12T01:53:49.0Z,2,REGULAR,turnover,out-of-bounds,[],1641787,,,1610612751,45,37,2025-04-12T01:53:55Z,2500000,False,,,0,,T. Evbuomwan step out-of-bounds TURNOVER (1 TO),[1641787],1610612751.0,BKN,step,,,Evbuomwan,T. Evbuomwan,,,,,Above the Break 3,24+ Right Center,,,,,,1628159.0,,,,,,,,,,,,1.0,,
253,PT06M01.00S,2025-04-12T01:53:53.3Z,2,REGULAR,substitution,out,[],1641740,,,1610612750,45,37,2025-04-12T01:53:56Z,2510000,False,,,0,,SUB out: J. Clark,[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT06M01.00S,2025-04-12T01:53:53.3Z,2,REGULAR,substitution,in,[],1628978,,,1610612750,45,37,2025-04-12T01:53:56Z,2520000,False,,,0,,SUB in: D. DiVincenzo,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT05M46.00S,2025-04-12T01:54:17.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630183,16.507884362680684,46.32352941176471,1610612750,47,37,2025-04-12T01:54:25Z,2530000,False,18.0,103.0,1,left,J. McDaniels 10' turnaround Jump Shot (7 PTS),[1630183],1610612750.0,MIN,turnaround,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,10.43,Made,,,,,,,,,,,,7.0,,,,,,
