actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
431,PT04M57.00S,2025-10-30T00:13:25.0Z,3,REGULAR,rebound,defensive,[],1631095,,,1610612745,79,88,2025-10-30T00:14:34Z,4300000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:4),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Right,,,430.0,5.0,4.0,1.0,,,,,,,,,,,,,,
432,PT04M46.00S,2025-10-30T00:13:33.5Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630578,5.863994743758213,49.26470588235294,1610612745,79,90,2025-10-30T00:13:43Z,4310000,False,4.0,3.0,1,left,A. Sengun running finger roll Layup (14 PTS) (J. Smith Jr. 5 AST),"[1630578, 1631095]",1610612745.0,HOU,running finger roll,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,0.45,Made,,,,,,,,,,14.0,J. Smith Jr.,1631095.0,5.0,,,,,
434,PT04M46.00S,2025-10-30T00:13:40.0Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,79,90,2025-10-30T00:13:40Z,4330000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,PT04M46.00S,2025-10-30T00:16:21.0Z,3,REGULAR,substitution,out,[],1630567,,,1610612761,79,90,2025-10-30T00:16:39Z,4340000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
436,PT04M46.00S,2025-10-30T00:16:21.0Z,3,REGULAR,substitution,out,[],1630193,,,1610612761,79,90,2025-10-30T00:16:39Z,4350000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
437,PT04M46.00S,2025-10-30T00:16:21.0Z,3,REGULAR,substitution,in,[],1642347,,,1610612761,79,90,2025-10-30T00:16:39Z,4360000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
438,PT04M46.00S,2025-10-30T00:16:21.0Z,3,REGULAR,substitution,in,[],1630572,,,1610612761,79,90,2025-10-30T00:16:39Z,4370000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
439,PT04M29.00S,2025-10-30T00:16:55.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1642347,89.96386333771353,53.92156862745098,1610612761,79,90,2025-10-30T00:17:01Z,4380000,False,20.0,42.0,1,right,MISS J. Shead driving finger roll Layup - blocked,"[1642347, 201142]",1610612761.0,TOR,driving finger roll,,,Shead,J. Shead,,,,,In The Paint (Non-RA),0-8 Center,4.62,Missed,,,,,,,,,,,,,,,,,Durant,201142.0
440,PT04M29.00S,2025-10-30T00:16:55.6Z,3,REGULAR,block,,[],201142,,,1610612761,79,90,2025-10-30T00:16:58Z,4390000,False,,,0,,K. Durant BLOCK (2 BLK),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
441,PT04M26.00S,2025-10-30T00:16:58.6Z,3,REGULAR,rebound,offensive,[],1642367,,,1610612761,79,90,2025-10-30T00:17:01Z,4400000,False,,,0,,J. Mogbo REBOUND (Off:1 Def:0),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,In The Paint (Non-RA),0-8 Center,,,439.0,1.0,0.0,1.0,,,,,,,,,,,,,,
442,PT04M24.00S,2025-10-30T00:17:00.8Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1627742,72.09264126149803,20.588235294117645,1610612761,82,90,2025-10-30T00:17:11Z,4410000,False,-147.0,210.0,1,right,B. Ingram 25' 3PT  (26 PTS) (J. Mogbo 1 AST),"[1627742, 1642367]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,25.62,Made,,,,,,,,,,26.0,J. Mogbo,1642367.0,1.0,,,,,
444,PT04M04.00S,2025-10-30T00:17:27.1Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630572,,,1610612745,82,90,2025-10-30T00:17:39Z,4430000,False,,,0,,S. Mamukelashvili personal FOUL (2 PF) (Sengun 2 FT),"[1630572, 1630578]",1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Mid-Range,16-24 Center,,,,,,,1830.0,2.0,0.0,Sengun,1630578.0,,,,,,,,,
446,PT04M04.00S,2025-10-30T00:17:54.9Z,3,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,82,91,2025-10-30T00:17:54Z,4450000,False,,,0,,A. Sengun Free Throw 1 of 2 (15 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,,,,,,,,,,15.0,,,,,,,,
