actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotResult,pointsTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
65,PT07M24.00S,2025-11-23T23:24:42.0Z,1,REGULAR,3pt,Jump Shot,[],1630193,90.3580814717477,98.2843137254902,1610612761,14,7,2025-11-23T23:24:46Z,650000,False,241.0,38.0,1,right,MISS I. Quickley 24' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Right Corner 3,24+ Right,,,,,,,Missed,,,,24.44,,,,,,,,,
66,PT07M21.00S,2025-11-23T23:24:45.0Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,14,7,2025-11-23T23:24:46Z,660000,False,,,0,,N. Claxton REBOUND (Off:0 Def:3),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,65.0,3.0,3.0,0.0,,
67,PT07M11.00S,2025-11-23T23:24:54.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641730,7.966491458607096,40.68627450980392,1610612751,14,9,2025-11-23T23:27:19Z,670000,False,47.0,22.0,1,left,N. Clowney driving Layup (7 PTS) (T. Martin 1 AST),"[1641730, 1631213]",1610612751.0,BKN,driving,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Made,7.0,,,5.17,T. Martin,1631213.0,1.0,,,,,,
69,PT06M59.00S,2025-11-23T23:25:07.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,86.41590013140605,50.49019607843137,1610612761,14,9,2025-11-23T23:25:14Z,690000,False,2.0,75.0,1,right,MISS R. Barrett 7' pullup Shot,[1629628],1610612761.0,TOR,pullup,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,,,7.52,,,,,,,,,
70,PT06M58.00S,2025-11-23T23:25:08.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,14,9,2025-11-23T23:25:14Z,700000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,69.0,,,,,
72,PT06M58.00S,2025-11-23T23:25:12.6Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,14,9,2025-11-23T23:25:17Z,720000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M58.00S,2025-11-23T23:25:12.6Z,1,REGULAR,substitution,in,[],1642266,,,1610612761,14,9,2025-11-23T23:25:17Z,730000,False,,,0,,SUB in: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M46.00S,2025-11-23T23:25:45.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627742,75.3777923784494,65.19607843137256,1610612761,14,9,2025-11-23T23:25:53Z,740000,False,76.0,179.0,1,right,MISS B. Ingram 19' floating Shot,[1627742],1610612761.0,TOR,floating,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right Center,,,,,,,Missed,,,,19.44,,,,,,,,,
75,PT06M42.00S,2025-11-23T23:25:49.6Z,1,REGULAR,rebound,defensive,[],1642856,,,1610612751,14,9,2025-11-23T23:25:53Z,750000,False,,,0,,E. Dëmin REBOUND (Off:0 Def:1),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,74.0,1.0,1.0,0.0,,
76,PT06M41.00S,2025-11-23T23:25:50.5Z,1,REGULAR,turnover,bad pass,[],1642856,,,1610612751,14,9,2025-11-23T23:25:56Z,760000,False,,,0,,E. Dëmin bad pass TURNOVER (1 TO),"[1642856, 1627742]",1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Mid-Range,8-16 Left,,,,,,1.0,,,Ingram,1627742.0,,,,,,,,,,
77,PT06M41.00S,2025-11-23T23:25:50.5Z,1,REGULAR,steal,,[],1627742,,,1610612761,14,9,2025-11-23T23:25:53Z,770000,False,,,0,,B. Ingram STEAL (2 STL),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
78,PT06M39.00S,2025-11-23T23:25:54.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629628,92.9862023653088,51.9607843137255,1610612761,14,9,2025-11-23T23:28:57Z,780000,False,10.0,13.0,1,right,MISS R. Barrett floating Shot,[1629628],1610612761.0,TOR,floating,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,,,1.66,,,,,,,,,
79,PT06M39.00S,2025-11-23T23:25:54.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,14,9,2025-11-23T23:28:57Z,790000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,78.0,,,,,
81,PT06M29.00S,2025-11-23T23:26:13.5Z,1,REGULAR,3pt,Jump Shot,[],1631213,31.750985545335087,65.19607843137256,1610612751,14,9,2025-11-23T23:26:18Z,810000,False,-76.0,246.0,1,left,MISS T. Martin 25' 3PT,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Center,,,,,,,Missed,,,,25.75,,,,,,,,,
82,PT06M25.00S,2025-11-23T23:26:17.5Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,14,9,2025-11-23T23:26:18Z,820000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,81.0,1.0,1.0,0.0,,
