actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
167,PT00M00.00S,2025-12-07T21:07:50.4Z,1,REGULAR,period,end,[],0,,,1610612761,26,34,2025-12-07T21:08:35Z,1650000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2025-12-07T21:08:53.2Z,2,REGULAR,substitution,out,['startperiod'],1642347,,,1610612761,26,34,2025-12-07T21:10:20Z,1660000,False,,,0,,SUB out: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2025-12-07T21:08:53.2Z,2,REGULAR,substitution,out,['startperiod'],1630534,,,1610612761,26,34,2025-12-07T21:10:20Z,1670000,False,,,0,,SUB out: O. Agbaji,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2025-12-07T21:08:53.2Z,2,REGULAR,substitution,out,['startperiod'],1631248,,,1610612761,26,34,2025-12-07T21:10:20Z,1680000,False,,,0,,SUB out: B. Scheierman,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2025-12-07T21:08:53.2Z,2,REGULAR,substitution,in,['startperiod'],1630193,,,1610612761,26,34,2025-12-07T21:10:20Z,1690000,False,,,0,,SUB in: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2025-12-07T21:08:53.2Z,2,REGULAR,substitution,in,['startperiod'],1630639,,,1610612761,26,34,2025-12-07T21:10:20Z,1700000,False,,,0,,SUB in: A. Lawson,[1630639],1610612761.0,TOR,,,,Lawson,A. Lawson,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2025-12-07T21:08:53.2Z,2,REGULAR,substitution,in,['startperiod'],1630202,,,1610612761,26,34,2025-12-07T21:10:20Z,1710000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2025-12-07T21:10:23.2Z,2,REGULAR,period,start,[],0,,,1610612738,26,34,2025-12-07T21:10:23Z,1720000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT11M34.00S,2025-12-07T21:10:48.2Z,2,REGULAR,2pt,Jump Shot,[],1641775,22.421156373193167,49.50980392156863,1610612738,26,34,2025-12-07T21:10:53Z,1730000,False,2.0,158.0,1,left,MISS J. Walsh 15' fadeaway Shot,[1641775],1610612738.0,BOS,fadeaway,,,Walsh,J. Walsh,,,,,Mid-Range,8-16 Center,,,15.83,Missed,,,,,,,,,,,,,,,,
176,PT11M30.00S,2025-12-07T21:10:51.3Z,2,REGULAR,rebound,defensive,[],1630567,,,1610612761,26,34,2025-12-07T21:10:51Z,1740000,False,,,0,,S. Barnes REBOUND (Off:1 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Center,,,,,175.0,3.0,2.0,1.0,,,,,,,,,,,,
177,PT11M23.00S,2025-12-07T21:11:00.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,93.38042049934296,48.28431372549019,1610612761,28,34,2025-12-07T21:11:50Z,1750000,False,-9.0,10.0,1,right,S. Barnes driving Layup (4 PTS),[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,1.3,Made,,,,,,,,,,,,,4.0,,,
178,PT11M08.00S,2025-12-07T21:11:13.7Z,2,REGULAR,3pt,Jump Shot,[],1629014,23.47240473061761,9.803921568627452,1610612738,28,34,2025-12-07T21:11:17Z,1760000,False,201.0,168.0,1,left,MISS A. Simons 26' 3PT,[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,,,26.2,Missed,,,,,,,,,,,,,,,,
179,PT11M05.00S,2025-12-07T21:11:16.7Z,2,REGULAR,rebound,defensive,[],1630567,,,1610612761,28,34,2025-12-07T21:11:17Z,1770000,False,,,0,,S. Barnes REBOUND (Off:1 Def:3),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,178.0,4.0,3.0,1.0,,,,,,,,,,,,
180,PT11M02.00S,2025-12-07T21:11:20.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630639,93.9060446780552,51.9607843137255,1610612761,28,34,2025-12-07T21:11:27Z,1780000,False,10.0,5.0,1,right,MISS A. Lawson running finger roll Layup,[1630639],1610612761.0,TOR,running finger roll,,,Lawson,A. Lawson,,,,,Restricted Area,0-8 Center,,,1.09,Missed,,,,,,,,,,,,,,,,
181,PT11M00.00S,2025-12-07T21:11:22.7Z,2,REGULAR,rebound,defensive,[],1629014,,,1610612738,28,34,2025-12-07T21:11:22Z,1790000,False,,,0,,A. Simons REBOUND (Off:0 Def:2),[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,,,180.0,2.0,2.0,0.0,,,,,,,,,,,,
182,PT10M57.00S,2025-12-07T21:11:24.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631169,23.866622864651774,84.06862745098039,1610612738,28,37,2025-12-07T21:11:33Z,1800000,False,-170.0,172.0,1,left,J. Minott 24' 3PT running (3 PTS) (A. Simons 2 AST),"[1631169, 1629014]",1610612738.0,BOS,running,,,Minott,J. Minott,,,,,Above the Break 3,24+ Left Center,,,24.19,Made,,,,,,,,,,,,,3.0,A. Simons,1629014.0,2.0
184,PT10M46.00S,2025-12-07T21:11:36.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630639,93.51182654402102,50.0,1610612761,30,37,2025-12-07T21:11:41Z,1820000,False,0.0,8.0,1,right,A. Lawson cutting Layup (2 PTS) (S. Barnes 3 AST),"[1630639, 1630567]",1610612761.0,TOR,cutting,,,Lawson,A. Lawson,,,,,Restricted Area,0-8 Center,,,0.85,Made,,,,,,,,,,,,,2.0,S. Barnes,1630567.0,3.0
186,PT10M24.00S,2025-12-07T21:11:57.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,14.4053876478318,35.78431372549019,1610612738,30,39,2025-12-07T21:12:42Z,1840000,False,71.0,83.0,1,left,P. Pritchard 10' pullup Jump Shot (2 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),8-16 Right,,,10.92,Made,,,,,,,,,,,,,2.0,,,
187,PT10M18.00S,2025-12-07T21:12:06.5Z,2,REGULAR,foul,personal,[],1641775,,,1610612761,30,39,2025-12-07T21:12:15Z,1850000,False,,,0,,J. Walsh personal FOUL (2 PF),"[1641775, 1630193]",1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Right Center,202053.0,,,,,,,,,,2.0,0.0,Quickley,1630193.0,,,,,,
189,PT10M18.00S,2025-12-07T21:12:17.4Z,2,REGULAR,substitution,out,[],1641711,,,1610612761,30,39,2025-12-07T21:12:22Z,1870000,False,,,0,,SUB out: G. Dick,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT10M18.00S,2025-12-07T21:12:17.4Z,2,REGULAR,substitution,in,[],1642266,,,1610612761,30,39,2025-12-07T21:12:22Z,1880000,False,,,0,,SUB in: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT10M03.00S,2025-12-07T21:12:46.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,89.43823915900131,57.59803921568627,1610612761,32,39,2025-12-07T21:13:13Z,1890000,False,38.0,47.0,1,right,S. Barnes 6' driving Layup (6 PTS),[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,6.03,Made,,,,,,,,,,,,,6.0,,,
192,PT09M50.00S,2025-12-07T21:13:00.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641775,5.469776609724048,51.470588235294116,1610612738,32,41,2025-12-07T21:13:04Z,1900000,False,-7.0,-1.0,1,left,J. Walsh driving Layup (7 PTS) (J. Minott 1 AST),"[1641775, 1631169]",1610612738.0,BOS,driving,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,,,0.75,Made,,,,,,,,,,,,,7.0,J. Minott,1631169.0,1.0
194,PT09M39.00S,2025-12-07T21:13:10.6Z,2,REGULAR,3pt,Jump Shot,[],1630639,93.24901445466492,3.6764705882352944,1610612761,35,41,2025-12-07T21:13:14Z,1920000,False,-232.0,11.0,1,right,A. Lawson 3PT  (5 PTS) (I. Quickley 3 AST),"[1630639, 1630193]",1610612761.0,TOR,,,,Lawson,A. Lawson,,,,,Left Corner 3,24+ Left,,,23.19,Made,,,,,,,,,,,,,5.0,I. Quickley,1630193.0,3.0
196,PT09M38.00S,2025-12-07T21:13:17.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,35,41,2025-12-07T21:13:17Z,1940000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT09M38.00S,2025-12-07T21:15:30.5Z,2,REGULAR,substitution,out,[],1631169,,,1610612738,35,41,2025-12-07T21:16:02Z,1950000,False,,,0,,SUB out: J. Minott,[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT09M38.00S,2025-12-07T21:15:30.5Z,2,REGULAR,substitution,in,[],1627759,,,1610612738,35,41,2025-12-07T21:16:02Z,1960000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT09M17.00S,2025-12-07T21:16:31.4Z,2,REGULAR,3pt,Jump Shot,[],1630573,33.590670170827856,64.4607843137255,1610612738,35,41,2025-12-07T21:16:37Z,1970000,False,-72.0,263.0,1,left,MISS S. Hauser 27' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,27.3,Missed,,,,,,,,,,,,,,,,
200,PT09M11.00S,2025-12-07T21:16:37.4Z,2,REGULAR,rebound,offensive,[],1641775,,,1610612738,35,41,2025-12-07T21:16:37Z,1980000,False,,,0,,J. Walsh REBOUND (Off:2 Def:3),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Center,,,,,199.0,5.0,3.0,2.0,,,,,,,,,,,,
201,PT09M11.00S,2025-12-07T21:16:36.4Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641775,5.590000152587891,50.0,1610612738,35,43,2025-12-07T21:16:36Z,1990000,False,0.0,0.0,1,left,J. Walsh tip DUNK (9 PTS),[1641775],1610612738.0,BOS,tip,,,Walsh,J. Walsh,,,,,Mid-Range,8-16 Left,,,0.0,Made,,,,,,,,,,,,,9.0,,,
202,PT09M02.00S,2025-12-07T21:16:46.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630193,89.04402102496715,42.15686274509804,1610612761,35,43,2025-12-07T21:16:50Z,2000000,False,-39.0,50.0,1,right,MISS I. Quickley 6' driving finger roll Layup,[1630193],1610612761.0,TOR,driving finger roll,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,,,6.39,Missed,,,,,,,,,,,,,,,,
203,PT09M00.00S,2025-12-07T21:16:48.5Z,2,REGULAR,rebound,defensive,[],1630573,,,1610612738,35,43,2025-12-07T21:16:50Z,2010000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),0-8 Center,,,,,202.0,1.0,1.0,0.0,,,,,,,,,,,,
204,PT08M57.00S,2025-12-07T21:16:51.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629014,7.703679369250986,4.166666666666666,1610612738,35,46,2025-12-07T21:16:57Z,2020000,False,229.0,20.0,1,left,A. Simons 3PT running (7 PTS) (P. Pritchard 1 AST),"[1629014, 1630202]",1610612738.0,BOS,running,,,Simons,A. Simons,,,,,Right Corner 3,24+ Right,,,23.01,Made,,,,,,,,,,,,,7.0,P. Pritchard,1630202.0,1.0
206,PT08M43.00S,2025-12-07T21:17:06.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,93.38042049934296,51.470588235294116,1610612761,37,46,2025-12-07T21:17:11Z,2040000,False,7.0,10.0,1,right,S. Barnes driving Layup (8 PTS),[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,1.22,Made,,,,,,,,,,,,,8.0,,,
207,PT08M43.00S,2025-12-07T21:17:09.3Z,2,REGULAR,foul,personal,['1freethrow'],1641775,,,1610612761,37,46,2025-12-07T21:17:36Z,2050000,False,,,0,,J. Walsh shooting personal FOUL (3 PF) (Barnes 1 FT),"[1641775, 1630567]",1610612738.0,BOS,shooting,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,101284.0,,,,,,,,,,3.0,0.0,Barnes,1630567.0,,,,,,
209,PT08M43.00S,2025-12-07T21:17:18.2Z,2,REGULAR,substitution,out,[],1641775,,,1610612761,37,46,2025-12-07T21:17:35Z,2070000,False,,,0,,SUB out: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT08M43.00S,2025-12-07T21:17:18.2Z,2,REGULAR,substitution,in,[],1642864,,,1610612761,37,46,2025-12-07T21:17:35Z,2080000,False,,,0,,SUB in: H. González,[1642864],1610612738.0,BOS,,,,González,H. González,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT08M43.00S,2025-12-07T21:17:45.1Z,2,REGULAR,freethrow,1 of 1,[],1630567,,,1610612761,38,46,2025-12-07T21:17:45Z,2090000,False,,,0,,S. Barnes Free Throw 1 of 1 (9 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,Made,,,,,,,,,,,,,9.0,,,
212,PT08M29.00S,2025-12-07T21:18:01.4Z,2,REGULAR,3pt,Jump Shot,[],1642864,27.283180026281208,78.92156862745098,1610612738,38,49,2025-12-07T21:18:06Z,2100000,False,-145.0,204.0,1,left,H. González 25' 3PT  (3 PTS) (J. Brown 3 AST),"[1642864, 1627759]",1610612738.0,BOS,,,,González,H. González,,,,,Above the Break 3,24+ Left Center,,,25.01,Made,,,,,,,,,,,,,3.0,J. Brown,1627759.0,3.0
214,PT08M16.00S,2025-12-07T21:18:15.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630193,93.38042049934296,50.73529411764706,1610612761,40,49,2025-12-07T21:18:19Z,2120000,False,4.0,10.0,1,right,I. Quickley driving reverse Layup (2 PTS) (S. Barnes 4 AST),"[1630193, 1630567]",1610612761.0,TOR,driving reverse,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,1.04,Made,,,,,,,,,,,,,2.0,S. Barnes,1630567.0,4.0
216,PT07M52.00S,2025-12-07T21:18:39.6Z,2,REGULAR,2pt,Jump Shot,[],1627759,16.90210249671485,24.509803921568626,1610612738,40,49,2025-12-07T21:19:08Z,2140000,False,127.0,106.0,1,left,MISS J. Brown 16' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,,,16.61,Missed,,,,,,,,,,,,,,,,
217,PT07M49.00S,2025-12-07T21:18:42.6Z,2,REGULAR,rebound,offensive,[],1629014,,,1610612738,40,49,2025-12-07T21:18:49Z,2150000,False,,,0,,A. Simons REBOUND (Off:1 Def:2),[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,Mid-Range,16-24 Right Center,,,,,216.0,3.0,2.0,1.0,,,,,,,,,,,,
218,PT07M46.00S,2025-12-07T21:18:44.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629014,5.863994743758213,50.49019607843137,1610612738,40,51,2025-12-07T21:18:55Z,2160000,False,-2.0,3.0,1,left,A. Simons driving finger roll Layup (9 PTS),[1629014],1610612738.0,BOS,driving finger roll,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,0.36,Made,,,,,,,,,,,,,9.0,,,
219,PT07M34.00S,2025-12-07T21:18:56.6Z,2,REGULAR,3pt,Jump Shot,[],1630572,67.36202365308804,32.59803921568628,1610612761,43,51,2025-12-07T21:19:01Z,2170000,False,-87.0,254.0,1,right,S. Mamukelashvili 26' 3PT  (7 PTS) (S. Barnes 5 AST),"[1630572, 1630567]",1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Left Center,,,26.88,Made,,,,,,,,,,,,,7.0,S. Barnes,1630567.0,5.0
221,PT07M14.00S,2025-12-07T21:19:16.2Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1642864,5.995400788436268,50.245098039215684,1610612738,43,53,2025-12-07T21:19:20Z,2190000,False,-1.0,4.0,1,left,H. González driving DUNK (5 PTS) (P. Pritchard 2 AST),"[1642864, 1630202]",1610612738.0,BOS,driving,,,González,H. González,,,,,Restricted Area,0-8 Center,,,0.41,Made,,,,,,,,,,,,,5.0,P. Pritchard,1630202.0,2.0
223,PT06M57.00S,2025-12-07T21:19:34.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,92.85479632063075,51.225490196078425,1610612761,45,53,2025-12-07T21:19:37Z,2210000,False,6.0,15.0,1,right,S. Mamukelashvili driving Layup (9 PTS),[1630572],1610612761.0,TOR,driving,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,,,1.59,Made,,,,,,,,,,,,,9.0,,,
224,PT06M40.00S,2025-12-07T21:19:50.1Z,2,REGULAR,3pt,Jump Shot,[],1629014,32.670827858081466,36.76470588235294,1610612738,45,53,2025-12-07T21:19:54Z,2220000,False,66.0,255.0,1,left,MISS A. Simons 26' pullup 3PT,[1629014],1610612738.0,BOS,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,,,26.31,Missed,,,,,,,,,,,,,,,,
225,PT06M38.00S,2025-12-07T21:19:52.1Z,2,REGULAR,rebound,defensive,[],1630639,,,1610612761,45,53,2025-12-07T21:19:54Z,2230000,False,,,0,,A. Lawson REBOUND (Off:0 Def:1),[1630639],1610612761.0,TOR,,,,Lawson,A. Lawson,,,,,Above the Break 3,24+ Center,,,,,224.0,1.0,1.0,0.0,,,,,,,,,,,,
226,PT06M30.00S,2025-12-07T21:20:00.6Z,2,REGULAR,3pt,Jump Shot,[],1642266,94.95729303547962,97.30392156862744,1610612761,45,53,2025-12-07T21:20:05Z,2240000,False,237.0,-5.0,1,right,MISS J. Walter 3PT,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Right Corner 3,24+ Right,,,23.66,Missed,,,,,,,,,,,,,,,,
227,PT06M26.00S,2025-12-07T21:20:04.6Z,2,REGULAR,rebound,defensive,[],1642864,,,1610612738,45,53,2025-12-07T21:20:05Z,2250000,False,,,0,,H. González REBOUND (Off:0 Def:1),[1642864],1610612738.0,BOS,,,,González,H. González,,,,,Right Corner 3,24+ Right,,,,,226.0,1.0,1.0,0.0,,,,,,,,,,,,
228,PT06M22.00S,2025-12-07T21:20:09.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630202,5.732588699080158,49.754901960784316,1610612738,45,55,2025-12-07T21:20:18Z,2260000,False,1.0,1.0,1,left,P. Pritchard running reverse Layup (4 PTS),[1630202],1610612738.0,BOS,running reverse,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,,,0.18,Made,,,,,,,,,,,,,4.0,,,
229,PT06M22.00S,2025-12-07T21:20:13.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,45,55,2025-12-07T21:20:13Z,2270000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M22.00S,2025-12-07T21:20:13.9Z,2,REGULAR,substitution,out,[],1630567,,,1610612761,45,55,2025-12-07T21:23:04Z,2280000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M22.00S,2025-12-07T21:20:13.9Z,2,REGULAR,substitution,out,[],1630193,,,1610612761,45,55,2025-12-07T21:23:04Z,2290000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT06M22.00S,2025-12-07T21:20:13.9Z,2,REGULAR,substitution,out,[],1642266,,,1610612761,45,55,2025-12-07T21:23:04Z,2300000,False,,,0,,SUB out: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT06M22.00S,2025-12-07T21:20:13.9Z,2,REGULAR,substitution,out,[],1630572,,,1610612761,45,55,2025-12-07T21:23:04Z,2310000,False,,,0,,SUB out: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT06M22.00S,2025-12-07T21:20:13.9Z,2,REGULAR,substitution,out,[],1642864,,,1610612761,45,55,2025-12-07T21:23:04Z,2320000,False,,,0,,SUB out: H. González,[1642864],1610612738.0,BOS,,,,González,H. González,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M22.00S,2025-12-07T21:20:13.9Z,2,REGULAR,substitution,in,[],1630534,,,1610612761,45,55,2025-12-07T21:23:04Z,2330000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M22.00S,2025-12-07T21:20:13.9Z,2,REGULAR,substitution,in,[],1627742,,,1610612761,45,55,2025-12-07T21:23:04Z,2340000,False,,,0,,SUB in: B. Ingram,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M22.00S,2025-12-07T21:20:13.9Z,2,REGULAR,substitution,in,[],1642347,,,1610612761,45,55,2025-12-07T21:23:04Z,2350000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M22.00S,2025-12-07T21:20:13.9Z,2,REGULAR,substitution,in,[],1627751,,,1610612761,45,55,2025-12-07T21:23:04Z,2360000,False,,,0,,SUB in: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M22.00S,2025-12-07T21:20:13.9Z,2,REGULAR,substitution,in,[],1629674,,,1610612761,45,55,2025-12-07T21:23:04Z,2370000,False,,,0,,SUB in: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M12.00S,2025-12-07T21:23:22.1Z,2,REGULAR,2pt,Jump Shot,[],1627751,89.04402102496715,26.96078431372549,1610612761,45,55,2025-12-07T21:23:40Z,2380000,False,-115.0,50.0,1,right,MISS J. Poeltl 12' floating Shot,[1627751],1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,12.58,Missed,,,,,,,,,,,,,,,,
241,PT06M09.00S,2025-12-07T21:23:25.1Z,2,REGULAR,rebound,defensive,[],1629674,,,1610612738,45,55,2025-12-07T21:23:27Z,2390000,False,,,0,,N. Queta REBOUND (Off:1 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Mid-Range,8-16 Left,,,,,240.0,2.0,1.0,1.0,,,,,,,,,,,,
242,PT06M00.00S,2025-12-07T21:23:33.2Z,2,REGULAR,3pt,Jump Shot,[],1630573,26.363337713534822,14.705882352941178,1610612738,45,58,2025-12-07T21:23:37Z,2400000,False,176.0,195.0,1,left,S. Hauser 26' 3PT  (6 PTS) (P. Pritchard 3 AST),"[1630573, 1630202]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,,,26.32,Made,,,,,,,,,,,,,6.0,P. Pritchard,1630202.0,3.0
244,PT05M37.00S,2025-12-07T21:23:57.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642347,85.89027595269383,56.372549019607845,1610612761,45,58,2025-12-07T21:25:11Z,2420000,False,32.0,80.0,1,right,MISS J. Shead 8' driving floating Shot,[1642347],1610612761.0,TOR,driving floating,,,Shead,J. Shead,,,,,In The Paint (Non-RA),8-16 Center,,,8.62,Missed,,,,,,,,,,,,,,,,
245,PT05M34.00S,2025-12-07T21:24:00.0Z,2,REGULAR,rebound,defensive,[],1630573,,,1610612738,45,58,2025-12-07T21:24:01Z,2430000,False,,,0,,S. Hauser REBOUND (Off:0 Def:2),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),8-16 Center,,,,,244.0,2.0,2.0,0.0,,,,,,,,,,,,
246,PT05M29.00S,2025-12-07T21:24:04.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629014,5.863994743758213,48.28431372549019,1610612738,45,58,2025-12-07T21:24:10Z,2440000,False,9.0,3.0,1,left,MISS A. Simons running Layup - blocked,"[1629014, 1630534]",1610612738.0,BOS,running,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,0.9,Missed,,,,,Agbaji,1630534.0,,,,,,,,,,
284,PT05M29.00S,2025-12-07T21:24:04.7Z,2,REGULAR,block,,[],1630534,,,1610612738,45,58,2025-12-07T21:30:37Z,2450000,False,,,0,,O. Agbaji BLOCK (1 BLK),[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
248,PT05M25.00S,2025-12-07T21:24:08.7Z,2,REGULAR,rebound,offensive,[],1627759,,,1610612738,45,58,2025-12-07T21:24:10Z,2460000,False,,,0,,J. Brown REBOUND (Off:3 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,246.0,4.0,1.0,3.0,,,,,,,,,,,,
249,PT05M22.00S,2025-12-07T21:24:11.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629014,25.443495400788436,14.950980392156863,1610612738,45,58,2025-12-07T21:24:15Z,2470000,False,175.0,187.0,1,left,MISS A. Simons 25' 3PT,[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,,,25.6,Missed,,,,,,,,,,,,,,,,
