actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
173,PT09M18.00S,2021-11-07T01:09:46.3Z,2,REGULAR,2pt,Jump Shot,[],203501,21.895532194480946,25.735294117647058,1610612742,34,21,2021-11-07T01:10:02Z,1730000,121.0,153.0,1,left,MISS T. Hardaway Jr. 19' pullup Shot,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,19.55,Missed,,,,,,,,,,,,,,,,,,,
174,PT09M16.00S,2021-11-07T01:09:48.3Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,34,21,2021-11-07T01:09:52Z,1740000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,173.0,2.0,2.0,0.0,,,,,,,,,
175,PT09M11.00S,2021-11-07T01:09:53.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,68.15045992115637,32.59803921568628,1610612738,34,24,2021-11-07T01:09:58Z,1750000,-87.0,247.0,1,right,J. Tatum 26' 3PT pullup (8 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.18,Made,8.0,,,,,,,,,,,,,,,,,,
176,PT08M48.00S,2021-11-07T01:10:17.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,6.915243101182654,48.77450980392157,1610612742,36,24,2021-11-07T01:10:26Z,1760000,6.0,13.0,1,left,K. Porzingis driving DUNK (6 PTS),[204001],1610612742.0,DAL,driving,,,Porzingis,K. Porzingis,,,,,1.39,Made,6.0,,,,,,,,,,,,,,,,,,
177,PT08M32.00S,2021-11-07T01:10:31.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,85.10183968462549,39.21568627450981,1610612738,36,26,2021-11-07T01:10:38Z,1770000,-54.0,88.0,1,right,J. Tatum 10' step back Jump Shot (10 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,10.28,Made,10.0,,,,,,,,,,,,,,,,,,
178,PT08M14.00S,2021-11-07T01:10:53.8Z,2,REGULAR,foul,personal,[],1630202,,,1610612742,36,26,2021-11-07T01:11:05Z,1780000,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 1628973]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,1198.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,
180,PT08M14.00S,2021-11-07T01:11:04.4Z,2,REGULAR,substitution,out,[],1626196,,,1610612742,36,26,2021-11-07T01:11:11Z,1800000,,,0,,SUB out: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT08M14.00S,2021-11-07T01:11:04.4Z,2,REGULAR,substitution,out,[],1630202,,,1610612742,36,26,2021-11-07T01:11:11Z,1810000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT08M14.00S,2021-11-07T01:11:04.4Z,2,REGULAR,substitution,in,[],1630174,,,1610612742,36,26,2021-11-07T01:11:11Z,1820000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT08M14.00S,2021-11-07T01:11:04.4Z,2,REGULAR,substitution,in,[],203471,,,1610612742,36,26,2021-11-07T01:11:11Z,1830000,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT08M04.00S,2021-11-07T01:11:29.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628425,9.806176084099869,65.19607843137256,1610612742,38,26,2021-11-07T01:11:34Z,1840000,-76.0,40.0,1,left,S. Brown 8' driving floating bank Jump Shot (2 PTS) (J. Brunson 1 AST),"[1628425, 1628973]",1610612742.0,DAL,driving floating bank,,,Brown,S. Brown,,,,,8.57,Made,2.0,,,,,,,,,,J. Brunson,1628973.0,1.0,,,,,,
186,PT07M53.00S,2021-11-07T01:11:40.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.27792378449409,62.745098039215684,1610612738,38,26,2021-11-07T01:20:30Z,1860000,64.0,29.0,1,right,MISS J. Tatum 7' driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,7.02,Missed,,,,,,,,,,,,,,,,,,,
187,PT07M51.00S,2021-11-07T01:11:42.5Z,2,REGULAR,rebound,defensive,[],1628425,,,1610612742,38,26,2021-11-07T01:11:54Z,1870000,,,0,,S. Brown REBOUND (Off:0 Def:2),[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,186.0,2.0,2.0,0.0,,,,,,,,,
188,PT07M47.00S,2021-11-07T01:11:46.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628973,11.251642575558476,4.411764705882353,1610612742,38,26,2021-11-07T01:11:59Z,1880000,228.0,53.0,1,left,MISS J. Brunson 3PT,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,23.4,Missed,,,,,,,,,,,,,,,,,,,
189,PT07M44.00S,2021-11-07T01:11:49.7Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,38,26,2021-11-07T01:11:59Z,1890000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,188.0,3.0,3.0,0.0,,,,,,,,,
192,PT07M42.00S,2021-11-07T01:12:02.2Z,2,REGULAR,foul,personal,[],1628373,,,1610612738,38,26,2021-11-07T01:14:15Z,1920000,,,0,,F. Ntilikina personal FOUL (1 PF),"[1628373, 1628369]",1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,1198.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,
195,PT07M42.00S,2021-11-07T01:12:46.7Z,2,REGULAR,instantreplay,request,[],0,,,1610612738,38,26,2021-11-07T01:14:20Z,1950000,,,0,,,[],,,overturned,,,,,,,,,,,,202027.0,,,,,,,,,,,,,,,,,Off-Ball - Foul Occurred Before FGM
196,PT07M42.00S,2021-11-07T01:14:28.0Z,2,REGULAR,substitution,out,[],1628425,,,1610612738,38,26,2021-11-07T01:14:56Z,1960000,,,0,,SUB out: S. Brown,[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT07M42.00S,2021-11-07T01:14:28.0Z,2,REGULAR,substitution,in,[],203493,,,1610612738,38,26,2021-11-07T01:14:56Z,1970000,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT07M24.00S,2021-11-07T01:15:38.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,91.93495400788436,46.568627450980394,1610612738,38,28,2021-11-07T01:15:44Z,1980000,-17.0,23.0,1,right,R. Williams III cutting DUNK (4 PTS) (J. Tatum 1 AST),"[1629057, 1628369]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,2.9,Made,4.0,,,,,,,,,,J. Tatum,1628369.0,1.0,,,,,,
200,PT07M06.00S,2021-11-07T01:15:55.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,7.5722733245729295,42.64705882352941,1610612742,40,28,2021-11-07T01:16:02Z,2000000,37.0,19.0,1,left,J. Brunson driving floating bank Jump Shot (6 PTS),[1628973],1610612742.0,DAL,driving floating bank,,,Brunson,J. Brunson,,,,,4.13,Made,6.0,,,,,,,,,,,,,,,,,,
201,PT06M45.00S,2021-11-07T01:16:16.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.93495400788436,45.09803921568628,1610612738,40,30,2021-11-07T01:16:22Z,2010000,-25.0,23.0,1,right,J. Tatum driving finger roll Layup (12 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,3.38,Made,12.0,,,,,,,,,,,,,,,,,,
202,PT06M32.00S,2021-11-07T01:16:29.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,8.09789750328515,52.450980392156865,1610612742,42,30,2021-11-07T01:16:35Z,2020000,-12.0,24.0,1,left,J. Brunson driving finger roll Layup (8 PTS),[1628973],1610612742.0,DAL,driving finger roll,,,Brunson,J. Brunson,,,,,2.66,Made,8.0,,,,,,,,,,,,,,,,,,
203,PT06M14.00S,2021-11-07T01:16:47.3Z,2,REGULAR,3pt,Jump Shot,[],1628369,67.62483574244416,23.284313725490197,1610612738,42,30,2021-11-07T01:16:51Z,2030000,-134.0,252.0,1,right,MISS J. Tatum 28' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,28.5,Missed,,,,,,,,,,,,,,,,,,,
204,PT06M11.00S,2021-11-07T01:16:50.3Z,2,REGULAR,rebound,defensive,[],1628973,,,1610612742,42,30,2021-11-07T01:16:51Z,2040000,,,0,,J. Brunson REBOUND (Off:0 Def:2),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,203.0,2.0,2.0,0.0,,,,,,,,,
205,PT06M06.00S,2021-11-07T01:16:55.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203493,30.962549277266753,16.42156862745098,1610612742,42,30,2021-11-07T01:17:02Z,2050000,168.0,239.0,1,left,MISS R. Bullock 29' pullup 3PT,[203493],1610612742.0,DAL,pullup,,,Bullock,R. Bullock,,,,,29.17,Missed,,,,,,,,,,,,,,,,,,,
206,PT06M03.00S,2021-11-07T01:16:58.1Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,42,30,2021-11-07T01:17:02Z,2060000,,,0,,R. Williams III REBOUND (Off:2 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,205.0,4.0,2.0,2.0,,,,,,,,,
207,PT05M45.00S,2021-11-07T01:17:16.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,91.14651773981603,47.30392156862745,1610612738,42,32,2021-11-07T01:17:30Z,2070000,-13.0,31.0,1,right,R. Williams III alley-oop Layup (6 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,3.35,Made,6.0,,,,,,,,,,M. Smart,203935.0,1.0,,,,,,
209,PT05M44.00S,2021-11-07T01:17:23.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,42,32,2021-11-07T01:17:23Z,2090000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT05M44.00S,2021-11-07T01:19:43.2Z,2,REGULAR,substitution,out,[],204001,,,1610612742,42,32,2021-11-07T01:20:10Z,2100000,,,0,,SUB out: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT05M44.00S,2021-11-07T01:19:43.2Z,2,REGULAR,substitution,out,[],1628973,,,1610612742,42,32,2021-11-07T01:20:10Z,2110000,,,0,,SUB out: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT05M44.00S,2021-11-07T01:19:43.2Z,2,REGULAR,substitution,out,[],1628373,,,1610612742,42,32,2021-11-07T01:20:10Z,2120000,,,0,,SUB out: F. Ntilikina,[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT05M44.00S,2021-11-07T01:19:43.2Z,2,REGULAR,substitution,in,[],203939,,,1610612742,42,32,2021-11-07T01:20:10Z,2130000,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT05M44.00S,2021-11-07T01:19:43.2Z,2,REGULAR,substitution,in,[],1629029,,,1610612742,42,32,2021-11-07T01:20:10Z,2140000,,,0,,SUB in: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT05M44.00S,2021-11-07T01:19:43.2Z,2,REGULAR,substitution,in,[],1627827,,,1610612742,42,32,2021-11-07T01:20:10Z,2150000,,,0,,SUB in: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT05M33.00S,2021-11-07T01:20:27.7Z,2,REGULAR,3pt,Jump Shot,[],203493,30.56833114323259,66.66666666666666,1610612742,42,32,2021-11-07T01:20:33Z,2160000,-83.0,235.0,1,left,MISS R. Bullock 24' pullup 3PT,[203493],1610612742.0,DAL,pullup,,,Bullock,R. Bullock,,,,,24.91,Missed,,,,,,,,,,,,,,,,,,,
218,PT05M30.00S,2021-11-07T01:20:30.7Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,42,32,2021-11-07T01:20:33Z,2170000,,,0,,R. Williams III REBOUND (Off:2 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,217.0,5.0,3.0,2.0,,,,,,,,,
219,PT05M23.00S,2021-11-07T01:20:41.2Z,2,REGULAR,foul,personal,[],1629029,,,1610612738,42,32,2021-11-07T01:21:11Z,2180000,,,0,,L. Doncic personal FOUL (1 PF),"[1629029, 203471]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,1198.0,1.0,0.0,Schroder,203471.0,,,,,,,,,,,,,
221,PT05M15.00S,2021-11-07T01:21:06.1Z,2,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612738,42,32,2021-11-07T01:21:55Z,2200000,,,0,,R. Williams III bad pass out-of-bounds TURNOVER (1 TO),[1629057],1610612738.0,BOS,bad pass,,,Williams III,R. Williams III,,,,,,,,1198.0,,,,,,,,,,,,,,1.0,,,
222,PT05M08.00S,2021-11-07T01:21:26.8Z,2,REGULAR,foul,personal,[],1630174,,,1610612742,42,32,2021-11-07T01:21:31Z,2210000,,,0,,A. Nesmith personal FOUL (1 PF),"[1630174, 203939]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,1628951.0,1.0,0.0,Powell,203939.0,,,,,,,,,,,,,
224,PT04M55.00S,2021-11-07T01:21:57.6Z,2,REGULAR,turnover,traveling,[],1627827,,,1610612742,42,32,2021-11-07T01:22:03Z,2230000,,,0,,D. Finney-Smith traveling TURNOVER (1 TO),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,1198.0,,,,,,,,,,,,,,1.0,,,
225,PT04M43.00S,2021-11-07T01:22:29.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630174,91.14651773981603,45.34313725490196,1610612738,42,32,2021-11-07T01:22:55Z,2240000,-23.0,31.0,1,right,MISS A. Nesmith Layup,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,3.85,Missed,,,,,,,,,,,,,,,,,,,
226,PT04M41.00S,2021-11-07T01:22:31.1Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,42,32,2021-11-07T01:22:55Z,2250000,,,0,,R. Williams III REBOUND (Off:3 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,225.0,6.0,3.0,3.0,,,,,,,,,
227,PT04M40.00S,2021-11-07T01:22:32.0Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629057,92.06636005256242,45.588235294117645,1610612738,42,34,2021-11-07T01:25:23Z,2260000,-22.0,22.0,1,right,R. Williams III tip DUNK (8 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,3.13,Made,8.0,,,,,,,,,,,,,,,,,,
228,PT04M31.00S,2021-11-07T01:22:41.3Z,2,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612742,42,34,2021-11-07T01:23:35Z,2270000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Doncic 2 FT),"[1628369, 1629029]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,202027.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,
230,PT04M31.00S,2021-11-07T01:23:51.4Z,2,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,43,34,2021-11-07T01:23:51Z,2290000,,,0,,L. Doncic Free Throw 1 of 2 (7 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
231,PT04M31.00S,2021-11-07T01:24:08.0Z,2,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,44,34,2021-11-07T01:24:08Z,2300000,,,0,,L. Doncic Free Throw 2 of 2 (8 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
232,PT04M21.00S,2021-11-07T01:24:20.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.01511169513797,48.03921568627451,1610612738,44,34,2021-11-07T01:24:29Z,2310000,-10.0,32.0,1,right,MISS J. Tatum Layup - blocked,"[1628369, 203939]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,3.35,Missed,,,,,,,,,,,,,,Powell,203939.0,,,,
233,PT04M21.00S,2021-11-07T01:24:20.8Z,2,REGULAR,block,,[],203939,,,1610612738,44,34,2021-11-07T01:24:23Z,2320000,,,0,,D. Powell BLOCK (2 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT04M21.00S,2021-11-07T01:24:20.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,44,34,2021-11-07T01:24:29Z,2330000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,232.0,,,,,,,,,,,,
235,PT04M21.00S,2021-11-07T01:24:29.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,44,34,2021-11-07T01:24:29Z,2340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT04M13.00S,2021-11-07T01:24:44.5Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1628369,86.02168199737189,68.62745098039215,1610612738,44,34,2021-11-07T01:24:54Z,2350000,93.0,79.0,1,right,MISS J. Tatum 12' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,12.2,Missed,,,,,,,,,,,,,,,,,,,
237,PT04M11.00S,2021-11-07T01:24:46.5Z,2,REGULAR,rebound,defensive,[],203939,,,1610612742,44,34,2021-11-07T01:24:54Z,2360000,,,0,,D. Powell REBOUND (Off:0 Def:3),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,236.0,3.0,3.0,0.0,,,,,,,,,
238,PT04M01.00S,2021-11-07T01:24:56.1Z,2,REGULAR,2pt,Jump Shot,[],1629029,20.97568988173456,20.34313725490196,1610612742,46,34,2021-11-07T01:25:03Z,2370000,148.0,145.0,1,left,L. Doncic 20' step back Jump Shot (10 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,20.72,Made,10.0,,,,,,,,,,,,,,,,,,
239,PT03M58.00S,2021-11-07T01:25:09.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,46,34,2021-11-07T01:25:09Z,2380000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT03M58.00S,2021-11-07T01:26:44.8Z,2,REGULAR,substitution,out,[],203493,,,1610612738,46,34,2021-11-07T01:27:51Z,2390000,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT03M58.00S,2021-11-07T01:26:44.8Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,46,34,2021-11-07T01:27:51Z,2400000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT03M58.00S,2021-11-07T01:26:44.8Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,46,34,2021-11-07T01:27:51Z,2410000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT03M58.00S,2021-11-07T01:26:44.8Z,2,REGULAR,substitution,in,[],1628973,,,1610612738,46,34,2021-11-07T01:27:51Z,2420000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT03M58.00S,2021-11-07T01:26:44.8Z,2,REGULAR,substitution,in,[],201143,,,1610612738,46,34,2021-11-07T01:27:51Z,2430000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT03M58.00S,2021-11-07T01:26:44.8Z,2,REGULAR,substitution,in,[],1626196,,,1610612738,46,34,2021-11-07T01:27:51Z,2440000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT03M50.00S,2021-11-07T01:28:10.4Z,2,REGULAR,3pt,Jump Shot,[],1630174,67.88764783180025,52.20588235294118,1610612738,46,34,2021-11-07T01:28:15Z,2450000,11.0,249.0,1,right,MISS A. Nesmith 24' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,24.96,Missed,,,,,,,,,,,,,,,,,,,
247,PT03M47.00S,2021-11-07T01:28:13.4Z,2,REGULAR,rebound,defensive,[],203501,,,1610612742,46,34,2021-11-07T01:28:15Z,2460000,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,246.0,1.0,1.0,0.0,,,,,,,,,
248,PT03M34.00S,2021-11-07T01:28:25.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,8.09789750328515,56.127450980392155,1610612742,48,34,2021-11-07T01:28:30Z,2470000,-31.0,24.0,1,left,J. Brunson driving Layup (10 PTS),[1628973],1610612742.0,DAL,driving,,,Brunson,J. Brunson,,,,,3.86,Made,10.0,,,,,,,,,,,,,,,,,,
249,PT03M21.00S,2021-11-07T01:28:39.2Z,2,REGULAR,3pt,Jump Shot,[],201143,70.77858081471747,78.43137254901961,1610612738,48,34,2021-11-07T01:28:42Z,2480000,142.0,222.0,1,right,MISS A. Horford 26' pullup 3PT,[201143],1610612738.0,BOS,pullup,,,Horford,A. Horford,,,,,26.38,Missed,,,,,,,,,,,,,,,,,,,
250,PT03M18.00S,2021-11-07T01:28:42.2Z,2,REGULAR,rebound,defensive,[],1629029,,,1610612742,48,34,2021-11-07T01:28:42Z,2490000,,,0,,L. Doncic REBOUND (Off:0 Def:3),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,249.0,3.0,3.0,0.0,,,,,,,,,
251,PT03M09.00S,2021-11-07T01:28:51.0Z,2,REGULAR,3pt,Jump Shot,[],1629029,33.85348226018397,46.32352941176471,1610612742,51,34,2021-11-07T01:28:57Z,2500000,18.0,266.0,1,left,L. Doncic 26' 3PT  (13 PTS) (J. Brunson 2 AST),"[1629029, 1628973]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,26.63,Made,13.0,,,,,,,,,,J. Brunson,1628973.0,2.0,,,,,,
253,PT02M41.00S,2021-11-07T01:29:19.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626196,90.3580814717477,45.34313725490196,1610612738,51,36,2021-11-07T01:29:28Z,2520000,-23.0,38.0,1,right,J. Richardson driving reverse Layup (4 PTS),[1626196],1610612738.0,BOS,driving reverse,,,Richardson,J. Richardson,,,,,4.47,Made,4.0,,,,,,,,,,,,,,,,,,
254,PT02M31.00S,2021-11-07T01:29:29.4Z,2,REGULAR,3pt,Jump Shot,[],1629029,32.40801576872536,31.61764705882353,1610612742,54,36,2021-11-07T01:29:35Z,2530000,92.0,252.0,1,left,L. Doncic 26' 3PT  (16 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,26.83,Made,16.0,,,,,,,,,,,,,,,,,,
255,PT02M17.00S,2021-11-07T01:29:42.7Z,2,REGULAR,2pt,Jump Shot,[],1626196,74.58935611038108,50.0,1610612738,54,36,2021-11-07T01:29:47Z,2540000,0.0,186.0,1,right,MISS J. Richardson 18' pullup Shot,[1626196],1610612738.0,BOS,pullup,,,Richardson,J. Richardson,,,,,18.64,Missed,,,,,,,,,,,,,,,,,,,
256,PT02M14.00S,2021-11-07T01:29:45.7Z,2,REGULAR,rebound,defensive,[],1629029,,,1610612742,54,36,2021-11-07T01:29:47Z,2550000,,,0,,L. Doncic REBOUND (Off:0 Def:4),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,255.0,4.0,4.0,0.0,,,,,,,,,
257,PT02M07.00S,2021-11-07T01:29:53.1Z,2,REGULAR,3pt,Jump Shot,[],1629029,33.722076215505915,51.71568627450981,1610612742,54,36,2021-11-07T01:29:58Z,2560000,-9.0,264.0,1,left,MISS L. Doncic 26' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,,
258,PT02M03.00S,2021-11-07T01:29:57.1Z,2,REGULAR,rebound,defensive,[],1630174,,,1610612738,54,36,2021-11-07T01:29:58Z,2570000,,,0,,A. Nesmith REBOUND (Off:0 Def:3),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,257.0,3.0,3.0,0.0,,,,,,,,,
259,PT01M53.00S,2021-11-07T01:30:06.4Z,2,REGULAR,2pt,Jump Shot,[],201143,91.01511169513797,75.98039215686273,1610612738,54,38,2021-11-07T01:30:37Z,2580000,130.0,32.0,1,right,A. Horford 13' Jump Shot (6 PTS) (J. Richardson 2 AST),"[201143, 1626196]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,13.38,Made,6.0,,,,,,,,,,J. Richardson,1626196.0,2.0,,,,,,
261,PT01M28.00S,2021-11-07T01:30:31.8Z,2,REGULAR,2pt,Jump Shot,[],1629029,22.421156373193167,77.45098039215686,1610612742,54,38,2021-11-07T01:34:19Z,2600000,-137.0,158.0,1,left,MISS L. Doncic 20' step back Shot,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,20.95,Missed,,,,,,,,,,,,,,,,,,,
