actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
238,PT05M36.00S,2022-02-27T01:53:16.9Z,2,REGULAR,substitution,out,[],1628997,,,1610612748,44,52,2022-02-27T01:53:25Z,2370000,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,,,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,
239,PT05M36.00S,2022-02-27T01:53:16.9Z,2,REGULAR,substitution,out,[],1628380,,,1610612748,44,52,2022-02-27T01:53:25Z,2380000,,,0,,SUB out: Z. Collins,[1628380],1610612759.0,SAS,,,,,,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,
240,PT05M36.00S,2022-02-27T01:53:16.9Z,2,REGULAR,substitution,in,[],200782,,,1610612748,44,52,2022-02-27T01:53:25Z,2390000,,,0,,SUB in: P. Tucker,[200782],1610612748.0,MIA,,,,,,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,
241,PT05M36.00S,2022-02-27T01:53:16.9Z,2,REGULAR,substitution,in,[],1629111,,,1610612748,44,52,2022-02-27T01:53:25Z,2400000,,,0,,SUB in: J. Landale,[1629111],1610612759.0,SAS,,,,,,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,
242,PT05M25.00S,2022-02-27T01:53:42.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628389,8.623521681997373,45.588235294117645,1610612748,46,52,2022-02-27T01:54:11Z,2410000,22.0,29.0,1,left,B. Adebayo driving Layup (2 PTS),[1628389],1610612748.0,MIA,driving,,,,,,3.61,Made,Adebayo,B. Adebayo,,2.0,,,,,,,,,,,,,,,,,
243,PT05M25.00S,2022-02-27T01:53:46.9Z,2,REGULAR,foul,personal,['1freethrow'],1629111,,,1610612748,46,52,2022-02-27T01:53:55Z,2420000,,,0,,J. Landale shooting personal FOUL (3 PF) (Adebayo 1 FT),"[1629111, 1628389]",1610612759.0,SAS,shooting,,,,,,,,Landale,J. Landale,,,,,,,,,2003.0,,3.0,0.0,Adebayo,1628389.0,,,,,
245,PT05M25.00S,2022-02-27T01:54:10.0Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1628389,,,1610612748,47,52,2022-02-27T01:54:10Z,2440000,,,0,,B. Adebayo Free Throw 1 of 1 (3 PTS),[1628389],1610612748.0,MIA,,,,,,,,Made,Adebayo,B. Adebayo,,3.0,,,,,,,,,,,,,,,,,
246,PT05M13.00S,2022-02-27T01:54:22.7Z,2,REGULAR,3pt,Jump Shot,[],1626196,68.80749014454665,77.45098039215686,1610612759,47,52,2022-02-27T01:54:39Z,2450000,137.0,241.0,1,right,MISS J. Richardson 27' 3PT,[1626196],1610612759.0,SAS,,,,,,,27.71,Missed,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,
247,PT05M12.00S,2022-02-27T01:54:23.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612759,47,52,2022-02-27T01:54:39Z,2460000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,246.0,,,,,,,,,,,,,,,,,,
248,PT05M12.00S,2022-02-27T01:54:29.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629130,,,1610612759,47,52,2022-02-27T01:54:38Z,2470000,,,0,,D. Robinson loose ball personal FOUL (1 PF) (Landale 2 FT),"[1629130, 1629111]",1610612748.0,MIA,loose ball,,,,,,,,Robinson,D. Robinson,,,,,,,,,1198.0,,1.0,0.0,Landale,1629111.0,,,,,
250,PT05M12.00S,2022-02-27T01:54:56.6Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1629111,,,1610612759,47,53,2022-02-27T01:54:56Z,2490000,,,0,,J. Landale Free Throw 1 of 2 (6 PTS),[1629111],1610612759.0,SAS,,,,,,,,Made,Landale,J. Landale,,6.0,,,,,,,,,,,,,,,,,
