actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
268,PT03M55.00S,2021-12-22T01:22:04.9Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1627747,,,1610612754,55,33,2021-12-22T01:22:04Z,2650000,,,0,,C. LeVert Free Throw 1 of 2 (6 PTS),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
269,PT03M55.00S,2021-12-22T01:22:05.6Z,2,REGULAR,substitution,out,[],1628470,,,1610612754,55,33,2021-12-22T01:22:13Z,2660000,,,0,,SUB out: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,
270,PT03M55.00S,2021-12-22T01:22:05.6Z,2,REGULAR,substitution,out,[],1626167,,,1610612754,55,33,2021-12-22T01:22:13Z,2670000,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,
271,PT03M55.00S,2021-12-22T01:22:05.6Z,2,REGULAR,substitution,in,[],1627734,,,1610612754,55,33,2021-12-22T01:22:13Z,2680000,,,0,,SUB in: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,
272,PT03M55.00S,2021-12-22T01:22:05.6Z,2,REGULAR,substitution,in,[],1629052,,,1610612754,55,33,2021-12-22T01:22:13Z,2690000,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
273,PT03M55.00S,2021-12-22T01:22:23.5Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1627747,,,1610612754,55,34,2021-12-22T01:22:23Z,2700000,,,0,,C. LeVert Free Throw 2 of 2 (7 PTS),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
274,PT03M37.00S,2021-12-22T01:22:41.6Z,2,REGULAR,turnover,bad pass,[],200768,,,1610612748,55,34,2021-12-22T01:22:46Z,2710000,,,0,,K. Lowry bad pass TURNOVER (3 TO),"[200768, 1630537]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,3.0,,,,,,,,Duarte,1630537.0
275,PT03M37.00S,2021-12-22T01:22:41.6Z,2,REGULAR,steal,,[],1630537,,,1610612754,55,34,2021-12-22T01:22:43Z,2720000,,,0,,C. Duarte STEAL (1 STL),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,
276,PT03M27.00S,2021-12-22T01:22:51.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203200,77.21747700394218,87.99019607843137,1610612754,55,34,2021-12-22T01:23:54Z,2730000,190.0,162.0,1,right,MISS J. Holiday 24' pullup 3PT,[203200],1610612754.0,IND,pullup,,,Holiday,J. Holiday,,,,,24.95,Missed,,,,,,,,,,,,,,,,,,
277,PT03M25.00S,2021-12-22T01:22:53.5Z,2,REGULAR,rebound,defensive,[],1630209,,,1610612748,55,34,2021-12-22T01:22:56Z,2740000,,,0,,O. Yurtseven REBOUND (Off:3 Def:3),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,276.0,6.0,3.0,3.0,,,,,,,,,,,,,
278,PT03M18.00S,2021-12-22T01:23:01.4Z,2,REGULAR,3pt,Jump Shot,[],200768,14.4053876478318,97.79411764705883,1610612748,55,34,2021-12-22T01:24:16Z,2750000,-239.0,83.0,1,left,MISS K. Lowry 25' pullup 3PT,[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,
279,PT03M16.00S,2021-12-22T01:23:03.4Z,2,REGULAR,rebound,defensive,[],1630537,,,1610612754,55,34,2021-12-22T01:23:07Z,2760000,,,0,,C. Duarte REBOUND (Off:0 Def:2),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,278.0,2.0,2.0,0.0,,,,,,,,,,,,,
280,PT03M12.00S,2021-12-22T01:23:07.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630537,93.9060446780552,46.07843137254902,1610612754,55,36,2021-12-22T01:23:13Z,2770000,-20.0,5.0,1,right,C. Duarte running Layup (6 PTS),[1630537],1610612754.0,IND,running,,,Duarte,C. Duarte,,,,,2.02,Made,6.0,,,,,,,,,,,,,,,,,
281,PT03M05.00S,2021-12-22T01:23:18.8Z,2,REGULAR,timeout,full,['team'],0,,,1610612748,55,36,2021-12-22T01:23:18Z,2780000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,PT02M50.00S,2021-12-22T01:25:07.8Z,2,REGULAR,3pt,Jump Shot,[],1629130,27.94021024967148,79.16666666666666,1610612748,58,36,2021-12-22T01:25:13Z,2790000,-146.0,210.0,1,left,D. Robinson 25' 3PT pullup (14 PTS),[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,25.57,Made,14.0,,,,,,,,,,,,,,,,,
283,PT02M32.00S,2021-12-22T01:25:25.5Z,2,REGULAR,3pt,Jump Shot,[],1630537,72.35545335085413,82.59803921568627,1610612754,58,39,2021-12-22T01:25:31Z,2800000,163.0,207.0,1,right,C. Duarte 26' 3PT  (9 PTS) (C. LeVert 1 AST),"[1630537, 1627747]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,26.38,Made,9.0,,,,,C. LeVert,1627747.0,1.0,,,,,,,,,,
285,PT02M26.00S,2021-12-22T01:25:40.5Z,2,REGULAR,foul,personal,[],203200,,,1610612748,58,39,2021-12-22T01:26:44Z,2820000,,,0,,J. Holiday personal FOUL (2 PF),"[203200, 1629622]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,202007.0,2.0,0.0,Strus,1629622.0,,,,
287,PT02M26.00S,2021-12-22T01:25:53.8Z,2,REGULAR,stoppage,court clean up,[],0,,,1610612748,58,39,2021-12-22T01:25:53Z,2840000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT02M17.00S,2021-12-22T01:26:01.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629130,6.652431011826544,47.30392156862745,1610612748,60,39,2021-12-22T01:26:09Z,2850000,13.0,10.0,1,left,D. Robinson Layup (16 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,1.68,Made,16.0,,,,,,,,,,,,,,,,,
289,PT02M03.00S,2021-12-22T01:26:16.3Z,2,REGULAR,3pt,Jump Shot,[],203200,93.64323258869908,2.941176470588235,1610612754,60,39,2021-12-22T01:26:21Z,2860000,-235.0,7.0,1,right,MISS J. Holiday 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,23.54,Missed,,,,,,,,,,,,,,,,,,
290,PT01M58.00S,2021-12-22T01:26:21.3Z,2,REGULAR,rebound,defensive,[],200768,,,1610612748,60,39,2021-12-22T01:26:21Z,2870000,,,0,,K. Lowry REBOUND (Off:0 Def:5),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,289.0,5.0,5.0,0.0,,,,,,,,,,,,,
291,PT01M53.00S,2021-12-22T01:26:26.3Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629130,5.995400788436268,47.05882352941176,1610612748,62,39,2021-12-22T01:27:15Z,2880000,15.0,4.0,1,left,D. Robinson driving Layup (18 PTS) (K. Lowry 6 AST),"[1629130, 200768]",1610612748.0,MIA,driving,,,Robinson,D. Robinson,,,,,1.52,Made,18.0,,,,,K. Lowry,200768.0,6.0,,,,,,,,,,
293,PT01M35.00S,2021-12-22T01:26:43.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627734,88.51839684625493,58.333333333333336,1610612754,62,41,2021-12-22T01:26:49Z,2900000,42.0,55.0,1,right,D. Sabonis 6' turnaround Jump Shot (9 PTS) (C. Duarte 1 AST),"[1627734, 1630537]",1610612754.0,IND,turnaround,,,Sabonis,D. Sabonis,,,,,6.93,Made,9.0,,,,,C. Duarte,1630537.0,1.0,,,,,,,,,,
295,PT01M28.00S,2021-12-22T01:26:50.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],200768,7.440867279894875,51.71568627450981,1610612748,64,41,2021-12-22T01:26:55Z,2920000,-9.0,17.0,1,left,K. Lowry driving Layup (4 PTS),[200768],1610612748.0,MIA,driving,,,Lowry,K. Lowry,,,,,1.94,Made,4.0,,,,,,,,,,,,,,,,,
296,PT01M15.00S,2021-12-22T01:27:03.8Z,2,REGULAR,turnover,bad pass,[],203200,,,1610612754,64,41,2021-12-22T01:27:07Z,2930000,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[203200, 1630209]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,1.0,,,,,,,,Yurtseven,1630209.0
297,PT01M15.00S,2021-12-22T01:27:03.8Z,2,REGULAR,steal,,[],1630209,,,1610612748,64,41,2021-12-22T01:27:05Z,2940000,,,0,,O. Yurtseven STEAL (1 STL),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,
298,PT01M00.00S,2021-12-22T01:27:18.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630585,7.178055190538765,45.83333333333333,1610612748,64,41,2021-12-22T01:27:23Z,2950000,21.0,15.0,1,left,MISS M. Garrett driving Layup,[1630585],1610612748.0,MIA,driving,,,Garrett,M. Garrett,,,,,2.56,Missed,,,,,,,,,,,,,,,,,,
299,PT00M57.80S,2021-12-22T01:27:21.1Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612754,64,41,2021-12-22T01:27:23Z,2960000,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,298.0,3.0,3.0,0.0,,,,,,,,,,,,,
300,PT00M49.90S,2021-12-22T01:27:29.8Z,2,REGULAR,2pt,Jump Shot,[],1630537,91.80354796320631,16.911764705882355,1610612754,64,43,2021-12-22T01:27:35Z,2970000,-165.0,25.0,1,right,C. Duarte 16' pullup Jump Shot (11 PTS) (D. Sabonis 2 AST),"[1630537, 1627734]",1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,16.72,Made,11.0,,,,,D. Sabonis,1627734.0,2.0,,,,,,,,,,
302,PT00M35.00S,2021-12-22T01:27:48.0Z,2,REGULAR,3pt,Jump Shot,[],200768,30.17411300919842,75.0,1610612748,64,43,2021-12-22T01:27:59Z,2990000,-125.0,231.0,1,left,MISS K. Lowry 26' step back 3PT,[200768],1610612748.0,MIA,step back,,,Lowry,K. Lowry,,,,,26.27,Missed,,,,,,,,,,,,,,,,,,
303,PT00M32.60S,2021-12-22T01:27:50.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,64,43,2021-12-22T01:27:59Z,3000000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,302.0,,,,,,,,,,,,,,,,
304,PT00M32.60S,2021-12-22T01:27:58.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,64,43,2021-12-22T01:27:58Z,3010000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT00M32.60S,2021-12-22T01:27:59.6Z,2,REGULAR,substitution,out,[],1629622,,,1610612748,64,43,2021-12-22T01:28:02Z,3020000,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,
306,PT00M32.60S,2021-12-22T01:27:59.6Z,2,REGULAR,substitution,in,[],1629639,,,1610612748,64,43,2021-12-22T01:28:02Z,3030000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
307,PT00M32.60S,2021-12-22T01:28:07.0Z,2,REGULAR,substitution,out,[],1630585,,,1610612748,64,43,2021-12-22T01:28:12Z,3040000,,,0,,SUB out: M. Garrett,[1630585],1610612748.0,MIA,,,,Garrett,M. Garrett,,,,,,,,,,,,,,,,,,,,,,,,
308,PT00M32.60S,2021-12-22T01:28:07.0Z,2,REGULAR,substitution,in,[],1629216,,,1610612748,64,43,2021-12-22T01:28:12Z,3050000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,
309,PT00M30.70S,2021-12-22T01:28:25.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629216,8.754927726675426,48.77450980392157,1610612748,66,43,2021-12-22T01:33:05Z,3060000,6.0,30.0,1,left,G. Vincent floating Jump Shot (7 PTS) (K. Lowry 7 AST),"[1629216, 200768]",1610612748.0,MIA,floating,,,Vincent,G. Vincent,,,,,3.04,Made,7.0,,,,,K. Lowry,200768.0,7.0,,,,,,,,,,
311,PT00M17.10S,2021-12-22T01:28:41.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,94.30026281208936,51.470588235294116,1610612754,66,45,2021-12-22T01:28:48Z,3080000,7.0,1.0,1,right,C. LeVert driving Layup (9 PTS),[1627747],1610612754.0,IND,driving,,,LeVert,C. LeVert,,,,,0.75,Made,9.0,,,,,,,,,,,,,,,,,
312,PT00M00.50S,2021-12-22T01:28:59.3Z,2,REGULAR,3pt,Jump Shot,[],1629216,31.882391590013142,69.11764705882352,1610612748,66,45,2021-12-22T01:29:06Z,3090000,-96.0,247.0,1,left,MISS G. Vincent 26' step back 3PT,[1629216],1610612748.0,MIA,step back,,,Vincent,G. Vincent,,,,,26.5,Missed,,,,,,,,,,,,,,,,,,
313,PT00M00.50S,2021-12-22T01:29:03.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,66,45,2021-12-22T01:29:03Z,3100000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,312.0,,,,,,,,,,,,,,,,
314,PT00M00.50S,2021-12-22T01:29:07.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627734,,,1610612748,66,45,2021-12-22T01:29:17Z,3110000,,,0,,D. Sabonis loose ball personal FOUL (1 PF) (Lowry 2 FT),"[1627734, 200768]",1610612754.0,IND,loose ball,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,201640.0,1.0,0.0,Lowry,200768.0,,,,
316,PT00M00.50S,2021-12-22T01:29:26.2Z,2,REGULAR,stoppage,court clean up,[],0,,,1610612748,66,45,2021-12-22T01:29:26Z,3130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT00M00.50S,2021-12-22T01:29:37.7Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],200768,,,1610612748,67,45,2021-12-22T01:29:37Z,3140000,,,0,,K. Lowry Free Throw 1 of 2 (5 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
318,PT00M00.50S,2021-12-22T01:29:38.8Z,2,REGULAR,substitution,out,[],1629130,,,1610612748,67,45,2021-12-22T01:29:43Z,3150000,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
319,PT00M00.50S,2021-12-22T01:29:38.8Z,2,REGULAR,substitution,in,[],1629644,,,1610612748,67,45,2021-12-22T01:29:43Z,3160000,,,0,,SUB in: K. Okpala,[1629644],1610612748.0,MIA,,,,Okpala,K. Okpala,,,,,,,,,,,,,,,,,,,,,,,,
320,PT00M00.50S,2021-12-22T01:29:58.5Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],200768,,,1610612748,68,45,2021-12-22T01:29:58Z,3170000,,,0,,K. Lowry Free Throw 2 of 2 (6 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
321,PT00M00.00S,2021-12-22T01:30:06.8Z,2,REGULAR,period,end,[],0,,,1610612754,68,45,2021-12-22T01:30:06Z,3180000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT12M00.00S,2021-12-22T01:30:19.8Z,3,REGULAR,substitution,out,['startperiod'],1629639,,,1610612754,68,45,2021-12-22T01:46:40Z,3190000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
324,PT12M00.00S,2021-12-22T01:30:19.8Z,3,REGULAR,substitution,out,['startperiod'],1630209,,,1610612754,68,45,2021-12-22T01:46:40Z,3200000,,,0,,SUB out: O. Yurtseven,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,
325,PT12M00.00S,2021-12-22T01:30:19.8Z,3,REGULAR,substitution,out,['startperiod'],1629644,,,1610612754,68,45,2021-12-22T01:46:40Z,3210000,,,0,,SUB out: K. Okpala,[1629644],1610612748.0,MIA,,,,Okpala,K. Okpala,,,,,,,,,,,,,,,,,,,,,,,,
326,PT12M00.00S,2021-12-22T01:30:19.8Z,3,REGULAR,substitution,out,['startperiod'],1630537,,,1610612754,68,45,2021-12-22T01:46:40Z,3220000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,
327,PT12M00.00S,2021-12-22T01:30:19.8Z,3,REGULAR,substitution,out,['startperiod'],1629052,,,1610612754,68,45,2021-12-22T01:46:40Z,3230000,,,0,,SUB out: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
328,PT12M00.00S,2021-12-22T01:30:19.8Z,3,REGULAR,substitution,in,['startperiod'],203473,,,1610612754,68,45,2021-12-22T01:46:40Z,3240000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,
329,PT12M00.00S,2021-12-22T01:30:19.8Z,3,REGULAR,substitution,in,['startperiod'],1629622,,,1610612754,68,45,2021-12-22T01:46:40Z,3250000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,
330,PT12M00.00S,2021-12-22T01:30:19.8Z,3,REGULAR,substitution,in,['startperiod'],1629130,,,1610612754,68,45,2021-12-22T01:46:40Z,3260000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
331,PT12M00.00S,2021-12-22T01:30:19.8Z,3,REGULAR,substitution,in,['startperiod'],202954,,,1610612754,68,45,2021-12-22T01:46:40Z,3270000,,,0,,SUB in: B. Wanamaker,[202954],1610612754.0,IND,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
332,PT12M00.00S,2021-12-22T01:30:19.8Z,3,REGULAR,substitution,in,['startperiod'],1626167,,,1610612754,68,45,2021-12-22T01:46:40Z,3280000,,,0,,SUB in: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,
333,PT12M00.00S,2021-12-22T01:46:52.2Z,3,REGULAR,period,start,[],0,,,1610612748,68,45,2021-12-22T01:46:52Z,3290000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,PT11M58.00S,2021-12-22T01:46:57.4Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,68,45,2021-12-22T01:46:57Z,3300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,PT11M48.00S,2021-12-22T01:47:20.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,93.64323258869908,53.18627450980392,1610612748,68,45,2021-12-22T01:47:27Z,3310000,16.0,7.0,1,right,MISS G. Vincent driving Layup - blocked,"[1629216, 1626167]",1610612748.0,MIA,driving,,,Vincent,G. Vincent,,,,,1.75,Missed,,,,,,,,,,,,,,,Turner,1626167.0,,
336,PT11M48.00S,2021-12-22T01:47:20.3Z,3,REGULAR,block,,[],1626167,,,1610612748,68,45,2021-12-22T01:47:22Z,3320000,,,0,,M. Turner BLOCK (2 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,
337,PT11M44.00S,2021-12-22T01:47:24.3Z,3,REGULAR,rebound,defensive,[],1627747,,,1610612754,68,45,2021-12-22T01:47:39Z,3330000,,,0,,C. LeVert REBOUND (Off:0 Def:2),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,335.0,2.0,2.0,0.0,,,,,,,,,,,,,
338,PT11M41.00S,2021-12-22T01:47:27.0Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202954,8.623521681997373,52.450980392156865,1610612754,68,45,2021-12-22T01:47:36Z,3340000,-12.0,29.0,1,left,MISS B. Wanamaker Layup,[202954],1610612754.0,IND,,,,Wanamaker,B. Wanamaker,,,,,3.11,Missed,,,,,,,,,,,,,,,,,,
339,PT11M39.00S,2021-12-22T01:47:29.5Z,3,REGULAR,rebound,defensive,[],203473,,,1610612748,68,45,2021-12-22T01:47:29Z,3350000,,,0,,D. Dedmon REBOUND (Off:3 Def:4),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,338.0,7.0,4.0,3.0,,,,,,,,,,,,,
340,PT11M20.00S,2021-12-22T01:47:48.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629216,81.94809461235218,48.77450980392157,1610612748,68,45,2021-12-22T01:48:29Z,3360000,-6.0,117.0,1,right,MISS G. Vincent 11' step back Shot,[1629216],1610612748.0,MIA,step back,,,Vincent,G. Vincent,,,,,11.74,Missed,,,,,,,,,,,,,,,,,,
341,PT11M15.00S,2021-12-22T01:47:53.5Z,3,REGULAR,rebound,defensive,[],1626167,,,1610612754,68,45,2021-12-22T01:47:53Z,3370000,,,0,,M. Turner REBOUND (Off:1 Def:5),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,340.0,6.0,5.0,1.0,,,,,,,,,,,,,
342,PT11M11.00S,2021-12-22T01:48:02.1Z,3,REGULAR,foul,offensive,[],1626167,,,1610612754,68,45,2021-12-22T01:48:20Z,3380000,,,0,,M. Turner charge offensive FOUL (1 PF),"[1626167, 1629130]",1610612754.0,IND,charge,,,Turner,M. Turner,,,,,,,,,,,,,,,,200832.0,1.0,0.0,Robinson,1629130.0,,,,
344,PT11M11.00S,2021-12-22T01:48:02.1Z,3,REGULAR,turnover,offensive foul,[],1626167,,,1610612754,68,45,2021-12-22T01:48:02Z,3400000,,,0,,M. Turner offensive foul TURNOVER (1 TO),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,1.0,200832.0,,,,,,,,
345,PT10M57.00S,2021-12-22T01:48:34.1Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1629622,68.41327201051249,25.98039215686275,1610612748,68,45,2021-12-22T01:49:02Z,3410000,-120.0,244.0,1,right,MISS M. Strus 27' pullup 3PT,[1629622],1610612748.0,MIA,pullup,,,Strus,M. Strus,,,,,27.23,Missed,,,,,,,,,,,,,,,,,,
346,PT10M54.00S,2021-12-22T01:48:37.1Z,3,REGULAR,rebound,defensive,[],1626167,,,1610612754,68,45,2021-12-22T01:48:38Z,3420000,,,0,,M. Turner REBOUND (Off:1 Def:6),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,345.0,7.0,6.0,1.0,,,,,,,,,,,,,
347,PT10M38.00S,2021-12-22T01:48:54.2Z,3,REGULAR,2pt,Jump Shot,[],1627747,21.50131406044678,31.127450980392158,1610612754,68,45,2021-12-22T01:48:58Z,3430000,94.0,150.0,1,left,MISS C. LeVert 17' pullup Shot,[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,17.69,Missed,,,,,,,,,,,,,,,,,,
348,PT10M35.00S,2021-12-22T01:48:57.2Z,3,REGULAR,rebound,defensive,[],1629622,,,1610612748,68,45,2021-12-22T01:48:58Z,3440000,,,0,,M. Strus REBOUND (Off:1 Def:3),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,347.0,4.0,3.0,1.0,,,,,,,,,,,,,
349,PT10M28.00S,2021-12-22T01:49:03.7Z,3,REGULAR,3pt,Jump Shot,[],1629216,71.69842312746385,18.38235294117647,1610612748,71,45,2021-12-22T01:49:07Z,3450000,-158.0,214.0,1,right,G. Vincent 26' 3PT  (10 PTS) (K. Lowry 8 AST),"[1629216, 200768]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,26.57,Made,10.0,,,,,K. Lowry,200768.0,8.0,,,,,,,,,,
351,PT10M11.00S,2021-12-22T01:49:20.3Z,3,REGULAR,3pt,Jump Shot,[],203200,29.911300919842315,70.34313725490196,1610612754,71,48,2021-12-22T01:49:28Z,3470000,-102.0,229.0,1,left,J. Holiday 25' 3PT  (5 PTS) (B. Wanamaker 3 AST),"[203200, 202954]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,25.03,Made,5.0,,,,,B. Wanamaker,202954.0,3.0,,,,,,,,,,
353,PT09M48.00S,2021-12-22T01:49:43.1Z,3,REGULAR,3pt,Jump Shot,[],1629130,95.74572930354796,95.83333333333334,1610612748,74,48,2021-12-22T01:49:47Z,3490000,229.0,-13.0,1,right,D. Robinson 3PT  (21 PTS) (K. Lowry 9 AST),"[1629130, 200768]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,22.95,Made,21.0,,,,,K. Lowry,200768.0,9.0,,,,,,,,,,
355,PT09M37.00S,2021-12-22T01:49:53.9Z,3,REGULAR,3pt,Jump Shot,[],1627747,29.911300919842315,24.019607843137255,1610612754,74,51,2021-12-22T01:49:59Z,3510000,130.0,229.0,1,left,C. LeVert 26' 3PT  (12 PTS) (M. Turner 1 AST),"[1627747, 1626167]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,26.3,Made,12.0,,,,,M. Turner,1626167.0,1.0,,,,,,,,,,
357,PT09M23.00S,2021-12-22T01:50:08.6Z,3,REGULAR,3pt,Jump Shot,[],1629622,67.09921156373193,48.28431372549019,1610612748,74,51,2021-12-22T01:50:12Z,3530000,-9.0,257.0,1,right,MISS M. Strus 25' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,25.69,Missed,,,,,,,,,,,,,,,,,,
358,PT09M20.00S,2021-12-22T01:50:11.6Z,3,REGULAR,rebound,defensive,[],203200,,,1610612754,74,51,2021-12-22T01:50:12Z,3540000,,,0,,J. Holiday REBOUND (Off:1 Def:2),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,357.0,3.0,2.0,1.0,,,,,,,,,,,,,
