actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
171,PT11M42.00S,2024-01-24T01:37:51.3Z,2,REGULAR,rebound,defensive,[],1629627,,,1610612740,34,30,2024-01-24T01:37:53Z,1650000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left Center,,,170.0,2.0,2.0,0.0,,,,,,,,,,,,,,
172,PT11M37.00S,2024-01-24T01:37:55.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1641722,30.042706964520367,20.34313725490196,1610612740,37,30,2024-01-24T01:39:50Z,1660000,False,148.0,230.0,1,left,J. Hawkins 27' 3PT running (3 PTS) (Z. Williamson 5 AST),"[1641722, 1629627]",1610612740.0,NOP,running,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Right Center,27.36,Made,,,,,,,3.0,,,Z. Williamson,1629627.0,5.0,,,,,,
174,PT11M16.00S,2024-01-24T01:38:15.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,84.97043363994744,52.94117647058824,1610612762,37,32,2024-01-24T01:40:08Z,1680000,False,15.0,89.0,1,right,J. Clarkson 9' turnaround fadeaway Jump Shot (4 PTS),[203903],1610612762.0,UTA,turnaround fadeaway,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),8-16 Center,9.0,Made,,,,,,,4.0,,,,,,,,,,,
175,PT10M58.00S,2024-01-24T01:38:34.5Z,2,REGULAR,3pt,Jump Shot,[],203468,31.09395532194481,75.49019607843137,1610612740,40,32,2024-01-24T01:38:40Z,1690000,False,-127.0,240.0,1,left,C. McCollum 27' 3PT  (14 PTS) (J. Valanciunas 1 AST),"[203468, 202685]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,27.16,Made,,,,,,,14.0,,,J. Valanciunas,202685.0,1.0,,,,,,
177,PT10M40.00S,2024-01-24T01:39:01.1Z,2,REGULAR,foul,technical,['1freethrow'],202685,,,1610612762,40,32,2024-01-24T01:39:08Z,1710000,False,,,0,,J. Valanciunas defensive-3-second technical FOUL (1 Tech),[202685],1610612740.0,NOP,defensive-3-second,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,202007.0,,,,,0.0,1.0,,,,
178,PT10M40.00S,2024-01-24T01:39:18.3Z,2,REGULAR,freethrow,1 of 1,[],203903,,,1610612762,40,33,2024-01-24T01:39:18Z,1720000,False,,,0,,J. Clarkson technical Free Throw 1 of 1 (5 PTS),[203903],1610612762.0,UTA,technical,,,Clarkson,J. Clarkson,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
179,PT10M25.00S,2024-01-24T01:39:45.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630534,85.75886990801577,55.14705882352941,1610612762,40,33,2024-01-24T01:40:52Z,1730000,False,26.0,81.0,1,right,MISS O. Agbaji 8' driving floating Shot,[1630534],1610612762.0,UTA,driving floating,,,Agbaji,O. Agbaji,,,,,In The Paint (Non-RA),8-16 Center,8.54,Missed,,,,,,,,,,,,,,,,,,
180,PT10M23.00S,2024-01-24T01:39:47.9Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,40,33,2024-01-24T01:39:55Z,1740000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,179.0,5.0,4.0,1.0,,,,,,,,,,,,,,
181,PT10M17.00S,2024-01-24T01:39:53.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1641722,6.652431011826544,3.9215686274509802,1610612740,43,33,2024-01-24T02:14:12Z,1750000,False,230.0,10.0,1,left,J. Hawkins 3PT running (6 PTS) (Z. Williamson 6 AST),"[1641722, 1629627]",1610612740.0,NOP,running,,,Hawkins,J. Hawkins,,,,,Right Corner 3,24+ Right,23.06,Made,,,,,,,6.0,,,Z. Williamson,1629627.0,6.0,,,,,,
183,PT10M04.00S,2024-01-24T01:40:06.2Z,2,REGULAR,3pt,Jump Shot,[],203903,92.32917214191852,4.901960784313726,1610612762,43,33,2024-01-24T01:40:13Z,1770000,False,-225.0,20.0,1,right,MISS J. Clarkson pullup 3PT,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Left Corner 3,24+ Left,22.64,Missed,,,,,,,,,,,,,,,,,,
184,PT10M01.00S,2024-01-24T01:40:09.2Z,2,REGULAR,rebound,defensive,[],1630700,,,1610612740,43,33,2024-01-24T01:40:13Z,1780000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Left Corner 3,24+ Left,,,183.0,1.0,1.0,0.0,,,,,,,,,,,,,,
185,PT09M59.00S,2024-01-24T01:40:12.7Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629627,6.389618922470433,49.26470588235294,1610612740,45,33,2024-01-24T01:41:48Z,1790000,False,4.0,8.0,1,left,Z. Williamson running alley-oop DUNK (6 PTS) (D. Daniels 1 AST),"[1629627, 1630700]",1610612740.0,NOP,running alley-oop,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,0.85,Made,,,,,,,6.0,,,D. Daniels,1630700.0,1.0,,,,,,
187,PT09M58.00S,2024-01-24T01:40:19.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,45,33,2024-01-24T01:40:19Z,1810000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT09M58.00S,2024-01-24T01:42:36.8Z,2,REGULAR,substitution,out,[],1641718,,,1610612762,45,33,2024-01-24T01:42:49Z,1820000,False,,,0,,SUB out: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT09M58.00S,2024-01-24T01:42:36.8Z,2,REGULAR,substitution,in,[],1627739,,,1610612762,45,33,2024-01-24T01:42:49Z,1830000,False,,,0,,SUB in: K. Dunn,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT09M43.00S,2024-01-24T01:43:26.8Z,2,REGULAR,foul,personal,[],203468,,,1610612762,45,33,2024-01-24T01:43:37Z,1840000,False,,,0,,C. McCollum personal FOUL (2 PF),"[203468, 1627739]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,,,,,,,,,,2534.0,,,,,2.0,0.0,Dunn,1627739.0,,
192,PT09M32.00S,2024-01-24T01:43:53.5Z,2,REGULAR,3pt,Jump Shot,[],1627739,90.09526938239159,95.83333333333334,1610612762,45,33,2024-01-24T01:44:13Z,1860000,False,229.0,41.0,1,right,MISS K. Dunn 3PT,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Right Corner 3,24+ Right,23.28,Missed,,,,,,,,,,,,,,,,,,
193,PT09M27.00S,2024-01-24T01:43:58.5Z,2,REGULAR,rebound,offensive,[],1630534,,,1610612762,45,33,2024-01-24T01:43:59Z,1870000,False,,,0,,O. Agbaji REBOUND (Off:1 Def:0),[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Right Corner 3,24+ Right,,,192.0,1.0,0.0,1.0,,,,,,,,,,,,,,
194,PT09M21.00S,2024-01-24T01:44:04.5Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203903,89.70105124835742,47.549019607843135,1610612762,45,33,2024-01-24T01:44:25Z,1880000,False,-12.0,44.0,1,right,MISS J. Clarkson turnaround Hook,[203903],1610612762.0,UTA,turnaround,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,4.6,Missed,,,,,,,,,,,,,,,,,,
195,PT09M19.00S,2024-01-24T01:44:06.5Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,45,33,2024-01-24T01:44:09Z,1890000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:5),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,194.0,6.0,5.0,1.0,,,,,,,,,,,,,,
196,PT09M09.00S,2024-01-24T01:44:16.0Z,2,REGULAR,3pt,Jump Shot,[],202685,32.53942181340342,64.2156862745098,1610612740,48,33,2024-01-24T01:44:20Z,1900000,False,-71.0,253.0,1,left,J. Valanciunas 26' 3PT  (6 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,26.32,Made,,,,,,,6.0,,,C. McCollum,203468.0,1.0,,,,,,
198,PT08M55.00S,2024-01-24T01:44:30.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,88.51839684625493,42.8921568627451,1610612762,48,33,2024-01-24T01:44:37Z,1920000,False,-36.0,55.0,1,right,MISS J. Clarkson 6' driving floating Shot,[203903],1610612762.0,UTA,driving floating,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,6.58,Missed,,,,,,,,,,,,,,,,,,
199,PT08M53.00S,2024-01-24T01:44:32.3Z,2,REGULAR,rebound,defensive,[],203468,,,1610612740,48,33,2024-01-24T01:44:37Z,1930000,False,,,0,,C. McCollum REBOUND (Off:1 Def:3),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,198.0,4.0,3.0,1.0,,,,,,,,,,,,,,
200,PT08M49.00S,2024-01-24T01:44:39.8Z,2,REGULAR,foul,personal,[],203482,,,1610612740,48,33,2024-01-24T01:44:49Z,1940000,False,,,0,,K. Olynyk personal FOUL (1 PF),"[203482, 1629627]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2534.0,,,,,1.0,0.0,Williamson,1629627.0,,
202,PT08M49.00S,2024-01-24T01:44:47.4Z,2,REGULAR,substitution,out,[],1631117,,,1610612740,48,33,2024-01-24T01:44:54Z,1960000,False,,,0,,SUB out: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M49.00S,2024-01-24T01:44:47.4Z,2,REGULAR,substitution,in,[],1628374,,,1610612740,48,33,2024-01-24T01:44:54Z,1970000,False,,,0,,SUB in: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M32.00S,2024-01-24T01:45:18.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202685,9.149145860709593,49.01960784313725,1610612740,50,33,2024-01-24T01:45:27Z,1980000,False,5.0,34.0,1,left,J. Valanciunas driving Layup (8 PTS),[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,3.39,Made,,,,,,,8.0,,,,,,,,,,,
205,PT08M24.00S,2024-01-24T01:45:26.3Z,2,REGULAR,3pt,Jump Shot,[],1628374,65.25952693823915,45.588235294117645,1610612762,50,36,2024-01-24T01:46:21Z,1990000,False,-22.0,274.0,1,right,L. Markkanen 27' 3PT  (7 PTS) (K. Dunn 3 AST),"[1628374, 1627739]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,27.5,Made,,,,,,,7.0,,,K. Dunn,1627739.0,3.0,,,,,,
207,PT08M13.00S,2024-01-24T01:45:43.0Z,2,REGULAR,turnover,out-of-bounds,[],1629627,,,1610612740,50,36,2024-01-24T01:46:00Z,2010000,False,,,0,,Z. Williamson step out-of-bounds TURNOVER (2 TO),[1629627],1610612740.0,NOP,step,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,2534.0,2.0,,,,,,,,,
208,PT08M02.00S,2024-01-24T01:45:57.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1627739,68.80749014454665,67.40196078431373,1610612762,50,39,2024-01-24T01:46:04Z,2020000,False,87.0,241.0,1,right,K. Dunn 25' 3PT  (3 PTS) (L. Markkanen 1 AST),"[1627739, 1628374]",1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Right Center,25.59,Made,,,,,,,3.0,,,L. Markkanen,1628374.0,1.0,,,,,,
210,PT07M45.00S,2024-01-24T01:46:17.7Z,2,REGULAR,foul,personal,['2freethrow'],203482,,,1610612740,50,39,2024-01-24T01:46:28Z,2040000,False,,,0,,K. Olynyk shooting personal FOUL (2 PF) (Valanciunas 2 FT),"[203482, 202685]",1610612762.0,UTA,shooting,,,Olynyk,K. Olynyk,,,,,Mid-Range,8-16 Right,,,,,,,,,,1628954.0,,,,,2.0,0.0,Valanciunas,202685.0,,
212,PT07M45.00S,2024-01-24T01:46:54.7Z,2,REGULAR,freethrow,1 of 2,[],202685,,,1610612740,51,39,2024-01-24T01:47:26Z,2060000,False,,,0,,J. Valanciunas Free Throw 1 of 2 (9 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,,,,,,,9.0,,,,,,,,,,,
213,PT07M45.00S,2024-01-24T01:46:55.6Z,2,REGULAR,substitution,out,[],1629627,,,1610612740,51,39,2024-01-24T01:46:58Z,2070000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M45.00S,2024-01-24T01:46:55.6Z,2,REGULAR,substitution,in,[],1630529,,,1610612740,51,39,2024-01-24T01:46:58Z,2080000,False,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT07M45.00S,2024-01-24T01:47:02.8Z,2,REGULAR,substitution,out,[],203468,,,1610612740,51,39,2024-01-24T01:47:09Z,2090000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT07M45.00S,2024-01-24T01:47:02.8Z,2,REGULAR,substitution,in,[],1627742,,,1610612740,51,39,2024-01-24T01:47:09Z,2100000,False,,,0,,SUB in: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT07M45.00S,2024-01-24T01:46:54.7Z,2,REGULAR,freethrow,2 of 2,[],202685,,,1610612740,51,39,2024-01-24T01:47:26Z,2110000,False,,,0,,MISS J. Valanciunas Free Throw 2 of 2,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
218,PT07M42.00S,2024-01-24T01:46:57.7Z,2,REGULAR,rebound,defensive,[],203482,,,1610612762,51,39,2024-01-24T01:47:26Z,2120000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,217.0,1.0,1.0,0.0,,,,,,,,,,,,,,
219,PT07M27.00S,2024-01-24T01:47:40.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203903,94.43166885676742,46.81372549019608,1610612762,51,41,2024-01-24T01:47:44Z,2130000,False,-16.0,0.0,1,right,J. Clarkson driving Layup (7 PTS) (K. Olynyk 2 AST),"[203903, 203482]",1610612762.0,UTA,driving,,,Clarkson,J. Clarkson,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,,,7.0,,,K. Olynyk,203482.0,2.0,,,,,,
222,PT07M04.00S,2024-01-24T01:48:10.7Z,2,REGULAR,2pt,Jump Shot,[],1630529,4.418528252299605,8.57843137254902,1610612740,53,41,2024-01-24T01:48:45Z,2160000,False,207.0,-11.0,1,left,H. Jones 20' Jump Shot (7 PTS) (B. Ingram 1 AST),"[1630529, 1627742]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Right,20.74,Made,,,,,,,7.0,,,B. Ingram,1627742.0,1.0,,,,,,
224,PT06M46.00S,2024-01-24T01:48:21.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203482,93.9060446780552,47.30392156862745,1610612762,53,43,2024-01-24T01:48:30Z,2180000,False,-13.0,5.0,1,right,K. Olynyk driving Layup (7 PTS),[203482],1610612762.0,UTA,driving,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,1.43,Made,,,,,,,7.0,,,,,,,,,,,
225,PT06M37.00S,2024-01-24T01:48:29.8Z,2,REGULAR,2pt,Jump Shot,[],1627742,22.946780551905388,45.588235294117645,1610612740,53,43,2024-01-24T01:49:22Z,2190000,False,22.0,163.0,1,left,MISS B. Ingram 16' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,16.47,Missed,,,,,,,,,,,,,,,,,,
226,PT06M34.00S,2024-01-24T01:48:32.8Z,2,REGULAR,rebound,defensive,[],203482,,,1610612762,53,43,2024-01-24T01:48:36Z,2200000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:2),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Center,,,225.0,2.0,2.0,0.0,,,,,,,,,,,,,,
227,PT06M30.00S,2024-01-24T01:48:37.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203482,68.15045992115637,71.32352941176471,1610612762,53,43,2024-01-24T01:49:35Z,2210000,False,107.0,247.0,1,right,MISS K. Olynyk 26' running pullup 3PT,[203482],1610612762.0,UTA,running pullup,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,26.89,Missed,,,,,,,,,,,,,,,,,,
228,PT06M26.00S,2024-01-24T01:48:41.1Z,2,REGULAR,rebound,defensive,[],1630700,,,1610612740,53,43,2024-01-24T01:48:44Z,2220000,False,,,0,,D. Daniels REBOUND (Off:0 Def:2),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,227.0,2.0,2.0,0.0,,,,,,,,,,,,,,
229,PT06M23.00S,2024-01-24T01:48:55.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,53,43,2024-01-24T01:48:55Z,2230000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M23.00S,2024-01-24T01:51:02.8Z,2,REGULAR,substitution,out,[],202685,,,1610612740,53,43,2024-01-24T01:51:27Z,2240000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M23.00S,2024-01-24T01:51:02.8Z,2,REGULAR,substitution,out,[],1641722,,,1610612740,53,43,2024-01-24T01:51:27Z,2250000,False,,,0,,SUB out: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT06M23.00S,2024-01-24T01:51:02.8Z,2,REGULAR,substitution,out,[],1627739,,,1610612740,53,43,2024-01-24T01:51:27Z,2260000,False,,,0,,SUB out: K. Dunn,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT06M23.00S,2024-01-24T01:51:02.8Z,2,REGULAR,substitution,out,[],1630534,,,1610612740,53,43,2024-01-24T01:51:27Z,2270000,False,,,0,,SUB out: O. Agbaji,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT06M23.00S,2024-01-24T01:51:02.8Z,2,REGULAR,substitution,out,[],203482,,,1610612740,53,43,2024-01-24T01:51:27Z,2280000,False,,,0,,SUB out: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M23.00S,2024-01-24T01:51:02.8Z,2,REGULAR,substitution,in,[],1630530,,,1610612740,53,43,2024-01-24T01:51:27Z,2290000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M23.00S,2024-01-24T01:51:02.8Z,2,REGULAR,substitution,in,[],1626204,,,1610612740,53,43,2024-01-24T01:51:27Z,2300000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M23.00S,2024-01-24T01:51:02.8Z,2,REGULAR,substitution,in,[],1628381,,,1610612740,53,43,2024-01-24T01:51:27Z,2310000,False,,,0,,SUB in: J. Collins,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M23.00S,2024-01-24T01:51:02.8Z,2,REGULAR,substitution,in,[],1629012,,,1610612740,53,43,2024-01-24T01:51:27Z,2320000,False,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M23.00S,2024-01-24T01:51:02.8Z,2,REGULAR,substitution,in,[],1631323,,,1610612740,53,43,2024-01-24T01:51:27Z,2330000,False,,,0,,SUB in: S. Fontecchio,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M15.00S,2024-01-24T01:52:01.0Z,2,REGULAR,foul,personal,['2freethrow'],1631323,,,1610612740,53,43,2024-01-24T01:52:15Z,2340000,False,,,0,,S. Fontecchio shooting personal FOUL (1 PF) (Ingram 2 FT),"[1631323, 1627742]",1610612762.0,UTA,shooting,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,,,,,,,,,,202007.0,,,,,1.0,0.0,Ingram,1627742.0,,
242,PT06M15.00S,2024-01-24T01:52:24.4Z,2,REGULAR,freethrow,1 of 2,[],1627742,,,1610612740,54,43,2024-01-24T01:52:24Z,2360000,False,,,0,,B. Ingram Free Throw 1 of 2 (7 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
243,PT06M15.00S,2024-01-24T01:52:40.5Z,2,REGULAR,freethrow,2 of 2,[],1627742,,,1610612740,55,43,2024-01-24T01:52:40Z,2370000,False,,,0,,B. Ingram Free Throw 2 of 2 (8 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
244,PT06M04.00S,2024-01-24T01:52:53.4Z,2,REGULAR,3pt,Jump Shot,[],203903,71.56701708278581,78.18627450980392,1610612762,55,43,2024-01-24T01:52:58Z,2380000,False,141.0,215.0,1,right,MISS J. Clarkson 25' pullup 3PT,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,25.69,Missed,,,,,,,,,,,,,,,,,,
245,PT06M00.00S,2024-01-24T01:52:57.4Z,2,REGULAR,rebound,defensive,[],1627742,,,1610612740,55,43,2024-01-24T01:52:58Z,2390000,False,,,0,,B. Ingram REBOUND (Off:1 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,244.0,3.0,2.0,1.0,,,,,,,,,,,,,,
246,PT05M55.00S,2024-01-24T01:53:01.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1626204,5.863994743758213,50.245098039215684,1610612740,57,43,2024-01-24T01:53:07Z,2400000,False,-1.0,3.0,1,left,L. Nance Jr. running DUNK (5 PTS) (B. Ingram 2 AST),"[1626204, 1627742]",1610612740.0,NOP,running,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,0.29,Made,,,,,,,5.0,,,B. Ingram,1627742.0,2.0,,,,,,
248,PT05M41.00S,2024-01-24T01:53:16.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,90.88370565045992,41.911764705882355,1610612762,57,43,2024-01-24T01:53:43Z,2420000,False,-40.0,33.0,1,right,MISS L. Markkanen pullup bank Shot,[1628374],1610612762.0,UTA,pullup bank,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,5.23,Missed,,,,,,,,,,,,,,,,,,
249,PT05M38.00S,2024-01-24T01:53:19.5Z,2,REGULAR,rebound,defensive,[],1627742,,,1610612740,57,43,2024-01-24T01:53:43Z,2430000,False,,,0,,B. Ingram REBOUND (Off:1 Def:3),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,,,248.0,4.0,3.0,1.0,,,,,,,,,,,,,,
250,PT05M34.00S,2024-01-24T01:53:22.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630529,3.4986859395532193,5.147058823529411,1610612740,60,43,2024-01-24T01:53:30Z,2440000,False,224.0,-20.0,1,left,H. Jones 3PT running (10 PTS) (B. Ingram 3 AST),"[1630529, 1627742]",1610612740.0,NOP,running,,,Jones,H. Jones,,,,,Right Corner 3,24+ Right,22.52,Made,,,,,,,10.0,,,B. Ingram,1627742.0,3.0,,,,,,
252,PT05M11.00S,2024-01-24T01:53:45.2Z,2,REGULAR,turnover,lost ball,[],203903,,,1610612762,60,43,2024-01-24T01:53:49Z,2460000,False,,,0,,J. Clarkson lost ball TURNOVER (1 TO),"[203903, 1630700]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,,,,Daniels,1630700.0
253,PT05M11.00S,2024-01-24T01:53:45.2Z,2,REGULAR,steal,,[],1630700,,,1610612740,60,43,2024-01-24T01:53:47Z,2470000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
254,PT05M00.00S,2024-01-24T01:53:56.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627742,5.995400788436268,53.67647058823529,1610612740,62,43,2024-01-24T01:54:02Z,2480000,False,-18.0,4.0,1,left,B. Ingram driving Layup (10 PTS) (T. Murphy III 1 AST),"[1627742, 1630530]",1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.88,Made,,,,,,,10.0,,,T. Murphy III,1630530.0,1.0,,,,,,
256,PT04M47.00S,2024-01-24T01:54:09.9Z,2,REGULAR,3pt,Jump Shot,[],1628374,73.66951379763469,15.931372549019606,1610612762,62,43,2024-01-24T01:54:18Z,2500000,False,-170.0,195.0,1,right,MISS L. Markkanen 25' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,25.89,Missed,,,,,,,,,,,,,,,,,,
