actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
66,PT06M42.00S,2024-01-27T01:19:32.6Z,1,REGULAR,3pt,Jump Shot,[],1630530,95.6143232588699,95.34313725490196,1610612740,8,9,2024-01-27T01:19:41Z,660000,False,227.0,-11.0,1,right,MISS T. Murphy III 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,22.7,Missed,,,,,,,,,,,,,,,,,,
67,PT06M42.00S,2024-01-27T01:19:32.6Z,1,REGULAR,rebound,defensive,[],1629026,,,1610612760,8,9,2024-01-27T01:19:41Z,670000,False,,,0,,K. Williams REBOUND (Off:0 Def:1),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Right Corner 3,24+ Right,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,
68,PT06M20.00S,2024-01-27T01:19:55.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,12.171484888304862,51.225490196078425,1610612760,8,9,2024-01-27T01:22:57Z,680000,False,-6.0,62.0,1,left,MISS L. Dort 6' driving floating Shot,[1629652],1610612760.0,OKC,driving floating,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,6.22,Missed,,,,,,,,,,,,,,,,,,
69,PT06M18.00S,2024-01-27T01:19:57.0Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,8,9,2024-01-27T01:20:02Z,690000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:3),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,,,68.0,3.0,3.0,0.0,,,,,,,,,,,,
70,PT06M06.00S,2024-01-27T01:20:10.9Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612740,8,9,2024-01-27T01:20:28Z,700000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Murphy III 2 FT),"[1629652, 1630530]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,202056.0,1.0,0.0,Murphy III,1630530.0,,,,,,,
72,PT06M06.00S,2024-01-27T01:20:35.2Z,1,REGULAR,freethrow,1 of 2,[],1630530,,,1610612740,8,9,2024-01-27T01:20:35Z,720000,False,,,0,,MISS T. Murphy III Free Throw 1 of 2,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
73,PT06M06.00S,2024-01-27T01:20:35.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,8,9,2024-01-27T01:20:35Z,730000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,
74,PT06M06.00S,2024-01-27T01:20:37.1Z,1,REGULAR,substitution,out,[],203468,,,1610612740,8,9,2024-01-27T01:20:42Z,740000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M06.00S,2024-01-27T01:20:37.1Z,1,REGULAR,substitution,in,[],1630631,,,1610612740,8,9,2024-01-27T01:20:42Z,750000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M06.00S,2024-01-27T01:20:54.5Z,1,REGULAR,freethrow,2 of 2,[],1630530,,,1610612740,9,9,2024-01-27T01:20:54Z,760000,False,,,0,,T. Murphy III Free Throw 2 of 2 (1 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
