actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
311,PT01M14.00S,2024-03-29T01:02:28.0Z,2,REGULAR,substitution,out,[],1630529,,,1610612749,56,40,2024-03-29T01:02:33Z,3100000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT01M14.00S,2024-03-29T01:02:28.0Z,2,REGULAR,substitution,in,[],1630230,,,1610612749,56,40,2024-03-29T01:02:33Z,3110000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT01M10.00S,2024-03-29T01:02:44.7Z,2,REGULAR,turnover,bad pass,[],203507,,,1610612749,56,40,2024-03-29T01:02:50Z,3120000,False,,,0,,G. Antetokounmpo bad pass TURNOVER (1 TO),"[203507, 1626204]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,1.0,Nance Jr.,1626204.0
314,PT01M10.00S,2024-03-29T01:02:44.7Z,2,REGULAR,steal,,[],1626204,,,1610612740,56,40,2024-03-29T01:02:47Z,3130000,False,,,0,,L. Nance Jr. STEAL (2 STL),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
317,PT00M59.60S,2024-03-29T01:02:55.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630530,95.22010512483574,95.34313725490196,1610612740,56,40,2024-03-29T01:08:42Z,3160000,False,227.0,-8.0,1,right,MISS T. Murphy III 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,22.68,Missed,,,,,,,,,,,,,,,,,,
318,PT00M59.60S,2024-03-29T01:02:55.2Z,2,REGULAR,rebound,offensive,[],1630230,,,1610612740,56,40,2024-03-29T01:03:00Z,3170000,False,,,0,,N. Marshall REBOUND (Off:1 Def:1),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Right Corner 3,24+ Right,,,,,,,317.0,2.0,1.0,1.0,,,,,,,,,,
319,PT00M56.30S,2024-03-29T01:02:59.1Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630230,94.40999984741211,50.0,1610612740,56,40,2024-03-29T01:03:05Z,3180000,False,0.0,0.0,1,right,MISS N. Marshall tip Layup - blocked,"[1630230, 1627736]",1610612740.0,NOP,tip,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,Beasley,1627736.0,,,
411,PT00M56.30S,2024-03-29T01:02:59.1Z,2,REGULAR,block,,[],1627736,,,1610612740,56,40,2024-03-29T01:34:34Z,3185000,False,,,0,,M. Beasley BLOCK (1 BLK),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
320,PT00M56.30S,2024-03-29T01:02:59.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612740,56,40,2024-03-29T01:03:05Z,3190000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,319.0,,,,,,,,,,,,,
322,PT00M47.50S,2024-03-29T01:03:28.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626204,92.46057818659659,54.65686274509803,1610612740,56,40,2024-03-29T02:26:21Z,3210000,False,23.0,18.0,1,right,MISS L. Nance Jr. Layup,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,2.97,Missed,,,,,,,,,,,,,,,,,,
