actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
176,PT00M42.00S,2023-01-05T01:06:49.3Z,1,REGULAR,substitution,out,[],1631103,,,1610612752,36,24,2023-01-05T01:07:13Z,1575000,False,,,0,,SUB out: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT00M42.00S,2023-01-05T01:06:49.3Z,1,REGULAR,substitution,in,[],1630200,,,1610612752,36,24,2023-01-05T01:07:13Z,1577500,False,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT00M42.00S,2023-01-05T01:07:04.9Z,1,REGULAR,freethrow,1 of 2,[],203944,,,1610612752,36,24,2023-01-05T01:07:04Z,1580000,False,,,0,,MISS J. Randle Free Throw 1 of 2,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
175,PT00M42.00S,2023-01-05T01:07:04.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,36,24,2023-01-05T01:07:04Z,1590000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,174.0,,,,,,,,,,,,,
178,PT00M42.00S,2023-01-05T01:07:34.5Z,1,REGULAR,freethrow,2 of 2,[],203944,,,1610612752,37,24,2023-01-05T01:07:34Z,1600000,False,,,0,,J. Randle Free Throw 2 of 2 (7 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
179,PT00M31.00S,2023-01-05T01:07:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,7.966491458607096,46.81372549019608,1610612759,37,26,2023-01-05T01:07:57Z,1610000,False,16.0,22.0,1,left,J. Poeltl Layup (2 PTS) (J. Richardson 3 AST),"[1627751, 1626196]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.75,Made,2.0,J. Richardson,1626196.0,3.0,,,,,,,,,,,,,,
181,PT00M31.00S,2023-01-05T01:07:56.1Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630540,,,1610612759,37,26,2023-01-05T01:08:01Z,1630000,False,,,0,,M. McBride shooting personal FOUL (1 PF) (Poeltl 1 FT),"[1630540, 1627751]",1610612752.0,NYK,shooting,,,McBride,M. McBride,,,,,Restricted Area,0-8 Center,,,,,,,,1198.0,,,,1.0,0.0,Poeltl,1627751.0,,,,,
183,PT00M31.00S,2023-01-05T01:08:16.2Z,1,REGULAR,freethrow,1 of 1,[],1627751,,,1610612759,37,27,2023-01-05T01:08:16Z,1650000,False,,,0,,J. Poeltl Free Throw 1 of 1 (3 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
184,PT00M17.60S,2023-01-05T01:08:37.5Z,1,REGULAR,2pt,Jump Shot,[],1628973,80.3712220762155,29.411764705882355,1610612752,37,27,2023-01-05T01:08:43Z,1660000,False,-103.0,132.0,1,right,MISS J. Brunson 16' Jump Shot,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,16.74,Missed,,,,,,,,,,,,,,,,,,
185,PT00M16.00S,2023-01-05T01:08:41.6Z,1,REGULAR,rebound,offensive,[],203944,,,1610612752,37,27,2023-01-05T01:08:41Z,1670000,False,,,0,,J. Randle REBOUND (Off:1 Def:5),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Left Center,,,,,,,184.0,,6.0,5.0,1.0,,,,,,,,,
186,PT00M16.00S,2023-01-05T01:08:41.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203944,94.40999984741211,50.0,1610612752,39,27,2023-01-05T01:08:41Z,1680000,False,0.0,0.0,1,right,J. Randle putback DUNK (9 PTS),[203944],1610612752.0,NYK,putback,,,Randle,J. Randle,,,,,Mid-Range,8-16 Left,0.0,Made,9.0,,,,,,,,,,,,,,,,,
187,PT00M03.30S,2023-01-05T01:08:55.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,17.296320630749015,44.36274509803921,1610612759,39,29,2023-01-05T01:08:59Z,1690000,False,28.0,110.0,1,left,T. Jones 11' driving floating Jump Shot (4 PTS),[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,11.37,Made,4.0,,,,,,,,,,,,,,,,,
188,PT00M00.00S,2023-01-05T01:09:05.5Z,1,REGULAR,period,end,[],0,,,1610612752,39,29,2023-01-05T01:09:05Z,1700000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2023-01-05T01:11:27.9Z,2,REGULAR,substitution,out,['startperiod'],1628973,,,1610612752,39,29,2023-01-05T01:11:59Z,1710000,False,,,0,,SUB out: J. Brunson,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT12M00.00S,2023-01-05T01:11:27.9Z,2,REGULAR,substitution,out,['startperiod'],1629656,,,1610612752,39,29,2023-01-05T01:11:59Z,1720000,False,,,0,,SUB out: Q. Grimes,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT12M00.00S,2023-01-05T01:11:27.9Z,2,REGULAR,substitution,out,['startperiod'],203944,,,1610612752,39,29,2023-01-05T01:11:59Z,1730000,False,,,0,,SUB out: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT12M00.00S,2023-01-05T01:11:27.9Z,2,REGULAR,substitution,in,['startperiod'],203095,,,1610612752,39,29,2023-01-05T01:11:59Z,1740000,False,,,0,,SUB in: E. Fournier,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT12M00.00S,2023-01-05T01:11:27.9Z,2,REGULAR,substitution,in,['startperiod'],1630193,,,1610612752,39,29,2023-01-05T01:11:59Z,1750000,False,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT12M00.00S,2023-01-05T01:11:27.9Z,2,REGULAR,substitution,in,['startperiod'],1630579,,,1610612752,39,29,2023-01-05T01:11:59Z,1760000,False,,,0,,SUB in: J. Sims,[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT12M00.00S,2023-01-05T01:12:01.1Z,2,REGULAR,period,start,[],0,,,1610612759,39,29,2023-01-05T01:12:01Z,1770000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT11M44.00S,2023-01-05T01:12:22.4Z,2,REGULAR,foul,offensive,[],1626196,,,1610612759,39,29,2023-01-05T01:16:48Z,1780000,False,,,0,,J. Richardson charge offensive FOUL (1 PF),"[1626196, 1630540]",1610612759.0,SAS,charge,,,Richardson,J. Richardson,,,,,Restricted Area,0-8 Center,,,,,,,,201639.0,,,,1.0,0.0,McBride,1630540.0,,,,,
198,PT11M44.00S,2023-01-05T01:12:22.4Z,2,REGULAR,turnover,offensive foul,[],1626196,,,1610612759,39,29,2023-01-05T01:12:22Z,1800000,False,,,0,,J. Richardson offensive foul TURNOVER (1 TO),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Restricted Area,0-8 Center,,,,,,,,201639.0,,,,,,,,1.0,,,,
199,PT11M25.00S,2023-01-05T01:12:59.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203095,88.78120893561103,58.08823529411765,1610612752,39,29,2023-01-05T01:13:13Z,1810000,False,40.0,53.0,1,right,MISS E. Fournier 6' driving Layup - blocked,"[203095, 203926]",1610612752.0,NYK,driving,,,Fournier,E. Fournier,,,,,In The Paint (Non-RA),0-8 Center,6.66,Missed,,,,,,,,,,,,,,,,,McDermott,203926.0
200,PT11M25.00S,2023-01-05T01:12:59.5Z,2,REGULAR,block,,[],203926,,,1610612752,39,29,2023-01-05T01:21:05Z,1820000,False,,,0,,D. McDermott BLOCK (1 BLK),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
201,PT11M24.00S,2023-01-05T01:13:00.5Z,2,REGULAR,rebound,defensive,[],203926,,,1610612759,39,29,2023-01-05T01:19:52Z,1830000,False,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,199.0,,1.0,1.0,0.0,,,,,,,,,
248,PT11M23.00S,2023-01-05T01:13:13.5Z,2,REGULAR,turnover,out-of-bounds,[],203926,,,1610612759,39,29,2023-01-05T01:20:51Z,1840000,False,,,0,,D. McDermott step out-of-bounds TURNOVER (2 TO),[203926],1610612759.0,SAS,step,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1198.0,,,,,,,,2.0,,,,
203,PT11M20.00S,2023-01-05T01:13:27.6Z,2,REGULAR,foul,offensive,[],1630579,,,1610612752,39,29,2023-01-05T01:20:23Z,1850000,False,,,0,,J. Sims offensive FOUL (1 PF),"[1630579, 1630200]",1610612752.0,NYK,,,,Sims,J. Sims,,,,,Mid-Range,16-24 Right Center,,,,,,,,202053.0,,,,1.0,0.0,Jones,1630200.0,,,,,
205,PT11M20.00S,2023-01-05T01:13:27.6Z,2,REGULAR,turnover,offensive foul,[],1630579,,,1610612752,39,29,2023-01-05T01:13:27Z,1870000,False,,,0,,J. Sims offensive foul TURNOVER (1 TO),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,Mid-Range,16-24 Right Center,,,,,,,,202053.0,,,,,,,,1.0,,,,
206,PT11M05.00S,2023-01-05T01:13:49.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203926,26.49474375821288,16.42156862745098,1610612759,39,29,2023-01-05T01:14:05Z,1880000,False,168.0,197.0,1,left,MISS D. McDermott 25' 3PT,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Right Center,25.85,Missed,,,,,,,,,,,,,,,,,,
207,PT11M03.00S,2023-01-05T01:13:51.2Z,2,REGULAR,rebound,offensive,[],1626196,,,1610612759,39,29,2023-01-05T01:14:05Z,1890000,False,,,0,,J. Richardson REBOUND (Off:1 Def:2),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Right Center,,,,,,,206.0,,3.0,2.0,1.0,,,,,,,,,
208,PT11M03.00S,2023-01-05T01:13:56.1Z,2,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1626196,5.590000152587891,50.0,1610612759,39,31,2023-01-05T01:14:14Z,1900000,False,0.0,0.0,1,left,J. Richardson putback DUNK (8 PTS),[1626196],1610612759.0,SAS,putback,,,Richardson,J. Richardson,,,,,Restricted Area,0-8 Center,0.0,Made,8.0,,,,,,,,,,,,,,,,,
210,PT10M48.00S,2023-01-05T01:14:13.8Z,2,REGULAR,foul,personal,['2freethrow'],203926,,,1610612752,39,31,2023-01-05T01:14:20Z,1920000,False,,,0,,D. McDermott shooting personal FOUL (1 PF) (Fournier 2 FT),"[203926, 203095]",1610612759.0,SAS,shooting,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1198.0,,,,1.0,0.0,Fournier,203095.0,,,,,
212,PT10M48.00S,2023-01-05T01:14:28.9Z,2,REGULAR,freethrow,1 of 2,[],203095,,,1610612752,40,31,2023-01-05T01:14:29Z,1940000,False,,,0,,E. Fournier Free Throw 1 of 2 (1 PTS),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
213,PT10M48.00S,2023-01-05T01:14:42.8Z,2,REGULAR,freethrow,2 of 2,[],203095,,,1610612752,41,31,2023-01-05T01:14:42Z,1950000,False,,,0,,E. Fournier Free Throw 2 of 2 (2 PTS),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
214,PT10M30.00S,2023-01-05T01:15:01.6Z,2,REGULAR,3pt,Jump Shot,[],1630200,32.933639947437584,49.50980392156863,1610612759,41,31,2023-01-05T01:15:07Z,1960000,False,2.0,257.0,1,left,MISS T. Jones 25' 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,25.71,Missed,,,,,,,,,,,,,,,,,,
215,PT10M28.00S,2023-01-05T01:15:03.6Z,2,REGULAR,rebound,defensive,[],1630193,,,1610612752,41,31,2023-01-05T01:15:07Z,1970000,False,,,0,,I. Quickley REBOUND (Off:0 Def:2),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,,,,,,,214.0,,2.0,2.0,0.0,,,,,,,,,
216,PT10M09.00S,2023-01-05T01:15:22.0Z,2,REGULAR,2pt,Jump Shot,[],1630540,91.80354796320631,71.07843137254902,1610612752,41,31,2023-01-05T01:15:25Z,1980000,False,105.0,25.0,1,right,MISS M. McBride 10' Jump Shot,[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,Mid-Range,8-16 Right,10.82,Missed,,,,,,,,,,,,,,,,,,
217,PT10M07.00S,2023-01-05T01:15:24.0Z,2,REGULAR,rebound,defensive,[],1626169,,,1610612759,41,31,2023-01-05T01:15:25Z,1990000,False,,,0,,S. Johnson REBOUND (Off:0 Def:1),[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,Mid-Range,8-16 Right,,,,,,,216.0,,1.0,1.0,0.0,,,,,,,,,
218,PT10M04.00S,2023-01-05T01:15:30.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626169,5.995400788436268,45.83333333333333,1610612759,41,31,2023-01-05T01:23:01Z,2000000,False,21.0,4.0,1,left,MISS S. Johnson Layup - blocked,"[1626169, 1630579]",1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,Restricted Area,0-8 Center,2.12,Missed,,,,,,,,,,,,,,,,,Sims,1630579.0
219,PT10M04.00S,2023-01-05T01:15:30.0Z,2,REGULAR,block,,[],1630579,,,1610612759,41,31,2023-01-05T01:15:32Z,2010000,False,,,0,,J. Sims BLOCK (1 BLK),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
220,PT10M01.00S,2023-01-05T01:15:33.0Z,2,REGULAR,rebound,defensive,[],1630193,,,1610612752,41,31,2023-01-05T01:23:01Z,2020000,False,,,0,,I. Quickley REBOUND (Off:0 Def:3),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,,,,218.0,,3.0,3.0,0.0,,,,,,,,,
221,PT09M55.00S,2023-01-05T01:15:36.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630193,69.72733245729303,78.43137254901961,1610612752,41,31,2023-01-05T01:15:43Z,2030000,False,142.0,232.0,1,right,MISS I. Quickley 27' 3PT,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,27.22,Missed,,,,,,,,,,,,,,,,,,
222,PT09M53.00S,2023-01-05T01:15:38.2Z,2,REGULAR,rebound,defensive,[],1627751,,,1610612759,41,31,2023-01-05T01:15:43Z,2040000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,,,,,221.0,,4.0,2.0,2.0,,,,,,,,,
223,PT09M41.00S,2023-01-05T01:15:49.6Z,2,REGULAR,3pt,Jump Shot,[],1626169,8.804204993429698,4.434742647058823,1610612759,41,34,2023-01-05T01:16:03Z,2050000,False,228.0,30.0,1,left,S. Johnson 3PT  (3 PTS),[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,Right Corner 3,24+ Right,22.98,Made,3.0,,,,,,,,,,,,,,,,,
224,PT09M28.00S,2023-01-05T01:16:06.5Z,2,REGULAR,turnover,traveling,[],1628392,,,1610612752,41,34,2023-01-05T01:16:10Z,2060000,False,,,0,,I. Hartenstein traveling TURNOVER (1 TO),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,201639.0,,,,,,,,1.0,,,,
225,PT09M28.00S,2023-01-05T01:16:06.6Z,2,REGULAR,substitution,out,[],1628392,,,1610612759,41,34,2023-01-05T01:16:27Z,2070000,False,,,0,,SUB out: I. Hartenstein,[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT09M28.00S,2023-01-05T01:16:06.6Z,2,REGULAR,substitution,in,[],1629011,,,1610612759,41,34,2023-01-05T01:16:27Z,2080000,False,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT09M08.00S,2023-01-05T01:16:47.6Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627751,17.821944809461236,48.28431372549019,1610612759,41,36,2023-01-05T01:16:57Z,2090000,False,9.0,115.0,1,left,J. Poeltl 11' Hook (5 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,11.53,Made,5.0,,,,,,,,,,,,,,,,,
228,PT09M08.00S,2023-01-05T01:16:51.0Z,2,REGULAR,foul,personal,['1freethrow'],1629011,,,1610612759,41,36,2023-01-05T01:16:57Z,2100000,False,,,0,,M. Robinson shooting personal FOUL (3 PF) (Poeltl 1 FT),"[1629011, 1627751]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,202053.0,,,,3.0,0.0,Poeltl,1627751.0,,,,,
230,PT09M08.00S,2023-01-05T01:16:51.0Z,2,REGULAR,substitution,out,[],1626196,,,1610612759,41,36,2023-01-05T01:17:03Z,2120000,False,,,0,,SUB out: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT09M08.00S,2023-01-05T01:16:51.0Z,2,REGULAR,substitution,in,[],1629640,,,1610612759,41,36,2023-01-05T01:17:03Z,2130000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT09M08.00S,2023-01-05T01:16:51.0Z,2,REGULAR,substitution,out,[],1629011,,,1610612759,41,36,2023-01-05T01:17:39Z,2140000,False,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT09M08.00S,2023-01-05T01:16:51.0Z,2,REGULAR,substitution,in,[],203944,,,1610612759,41,36,2023-01-05T01:17:39Z,2150000,False,,,0,,SUB in: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT09M08.00S,2023-01-05T01:17:43.8Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1627751,,,1610612759,41,37,2023-01-05T01:17:43Z,2160000,False,,,0,,J. Poeltl Free Throw 1 of 1 (6 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
235,PT08M57.00S,2023-01-05T01:17:56.6Z,2,REGULAR,3pt,Jump Shot,[],203095,75.50919842312747,86.76470588235294,1610612752,41,37,2023-01-05T01:18:06Z,2170000,False,184.0,178.0,1,right,MISS E. Fournier 25' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,Above the Break 3,24+ Right Center,25.57,Missed,,,,,,,,,,,,,,,,,,
236,PT08M55.00S,2023-01-05T01:17:58.6Z,2,REGULAR,rebound,defensive,[],1630200,,,1610612759,41,37,2023-01-05T01:18:06Z,2180000,False,,,0,,T. Jones REBOUND (Off:0 Def:2),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,235.0,,2.0,2.0,0.0,,,,,,,,,
237,PT08M39.00S,2023-01-05T01:18:14.3Z,2,REGULAR,3pt,Jump Shot,[],1626169,32.933639947437584,50.245098039215684,1610612759,41,40,2023-01-05T01:18:20Z,2190000,False,-1.0,257.0,1,left,S. Johnson 25' 3PT  (6 PTS) (T. Jones 1 AST),"[1626169, 1630200]",1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,Above the Break 3,24+ Center,25.71,Made,6.0,T. Jones,1630200.0,1.0,,,,,,,,,,,,,,
239,PT08M22.00S,2023-01-05T01:18:32.2Z,2,REGULAR,2pt,Jump Shot,[],203944,87.59855453350855,25.49019607843137,1610612752,41,40,2023-01-05T01:18:39Z,2210000,False,-123.0,64.0,1,right,MISS J. Randle 13' pullup bank Shot,[203944],1610612752.0,NYK,pullup bank,,,Randle,J. Randle,,,,,Mid-Range,8-16 Left,13.83,Missed,,,,,,,,,,,,,,,,,,
240,PT08M20.00S,2023-01-05T01:18:34.2Z,2,REGULAR,rebound,defensive,[],1627751,,,1610612759,41,40,2023-01-05T01:18:39Z,2220000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:3),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,,,,,239.0,,5.0,3.0,2.0,,,,,,,,,
241,PT08M11.00S,2023-01-05T01:18:42.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,13.091327201051248,46.07843137254902,1610612759,41,40,2023-01-05T01:19:34Z,2230000,False,20.0,71.0,1,left,MISS J. Poeltl 7' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,7.33,Missed,,,,,,,,,,,,,,,,,,
242,PT08M09.00S,2023-01-05T01:18:44.8Z,2,REGULAR,rebound,defensive,[],1630193,,,1610612752,41,40,2023-01-05T01:18:50Z,2240000,False,,,0,,I. Quickley REBOUND (Off:0 Def:4),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,241.0,,4.0,4.0,0.0,,,,,,,,,
243,PT08M07.00S,2023-01-05T01:18:47.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203095,79.71419185282524,91.42156862745098,1610612752,41,40,2023-01-05T01:18:54Z,2250000,False,207.0,138.0,1,right,MISS E. Fournier 24' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,Above the Break 3,24+ Right Center,24.9,Missed,,,,,,,,,,,,,,,,,,
244,PT08M05.00S,2023-01-05T01:18:49.0Z,2,REGULAR,rebound,defensive,[],1627751,,,1610612759,41,40,2023-01-05T01:18:54Z,2260000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:4),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,,,,,243.0,,6.0,4.0,2.0,,,,,,,,,
245,PT07M59.00S,2023-01-05T01:18:54.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626169,5.206964520367937,49.754901960784316,1610612759,41,42,2023-01-05T01:19:21Z,2270000,False,1.0,-4.0,1,left,S. Johnson running Layup (8 PTS) (T. Jones 2 AST),"[1626169, 1630200]",1610612759.0,SAS,running,,,Johnson,S. Johnson,,,,,Restricted Area,0-8 Center,0.38,Made,8.0,T. Jones,1630200.0,2.0,,,,,,,,,,,,,,
247,PT07M53.00S,2023-01-05T01:19:03.1Z,2,REGULAR,timeout,full,['team'],0,,,1610612752,41,42,2023-01-05T01:19:03Z,2290000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M53.00S,2023-01-05T01:19:03.2Z,2,REGULAR,substitution,out,[],1630540,,,1610612752,41,42,2023-01-05T01:22:09Z,2300000,False,,,0,,SUB out: M. McBride,[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT07M53.00S,2023-01-05T01:19:03.2Z,2,REGULAR,substitution,out,[],1627751,,,1610612752,41,42,2023-01-05T01:22:09Z,2310000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT07M53.00S,2023-01-05T01:19:03.2Z,2,REGULAR,substitution,out,[],1630200,,,1610612752,41,42,2023-01-05T01:22:09Z,2320000,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT07M53.00S,2023-01-05T01:19:03.2Z,2,REGULAR,substitution,in,[],1628973,,,1610612752,41,42,2023-01-05T01:22:09Z,2330000,False,,,0,,SUB in: J. Brunson,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT07M53.00S,2023-01-05T01:19:03.2Z,2,REGULAR,substitution,in,[],1631110,,,1610612752,41,42,2023-01-05T01:22:09Z,2340000,False,,,0,,SUB in: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT07M53.00S,2023-01-05T01:19:03.2Z,2,REGULAR,substitution,in,[],1628380,,,1610612752,41,42,2023-01-05T01:22:09Z,2350000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT07M42.00S,2023-01-05T01:22:13.8Z,2,REGULAR,foul,personal,[],1628380,,,1610612752,41,42,2023-01-05T01:22:28Z,2360000,False,,,0,,Z. Collins personal FOUL (3 PF),"[1628380, 1628973]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,201639.0,,,,3.0,0.0,Brunson,1628973.0,,,,,
257,PT07M36.00S,2023-01-05T01:22:36.4Z,2,REGULAR,3pt,Jump Shot,[],1630193,68.01905387647832,50.73529411764706,1610612752,41,42,2023-01-05T01:22:42Z,2380000,False,4.0,248.0,1,right,MISS I. Quickley 24' 3PT,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,24.81,Missed,,,,,,,,,,,,,,,,,,
