actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
165,PT00M30.10S,2025-02-05T03:36:43.3Z,1,REGULAR,freethrow,2 of 2,[],1631101,,,1610612757,27,16,2025-02-05T03:36:43Z,1620000,False,,,0,,S. Sharpe Free Throw 2 of 2 (4 PTS),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
166,PT00M10.20S,2025-02-05T03:37:05.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204456,93.9060446780552,51.71568627450981,1610612754,27,18,2025-02-05T03:37:15Z,1630000,False,9.0,5.0,1,right,T. McConnell driving finger roll Layup (2 PTS) (M. Turner 1 AST),"[204456, 1626167]",1610612754.0,IND,driving finger roll,,,McConnell,T. McConnell,,,,,Restricted Area,0-8 Center,0.98,Made,2.0,,,,,,,,,,,,,M. Turner,1626167.0,1.0,,
168,PT00M00.00S,2025-02-05T03:37:20.4Z,1,REGULAR,2pt,Jump Shot,[],1630703,25.04927726675427,62.745098039215684,1610612757,27,18,2025-02-05T03:37:25Z,1650000,False,-64.0,183.0,1,left,MISS S. Henderson 19' pullup Shot,[1630703],1610612757.0,POR,pullup,,,Henderson,S. Henderson,,,,,Mid-Range,16-24 Left Center,19.38,Missed,,,,,,,,,,,,,,,,,,
169,PT00M00.00S,2025-02-05T03:37:22.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,27,18,2025-02-05T03:37:22Z,1660000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,168.0,,,,,,,,,,,,,,
170,PT00M00.00S,2025-02-05T03:37:23.3Z,1,REGULAR,period,end,[],0,,,1610612757,27,18,2025-02-05T03:37:23Z,1670000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2025-02-05T03:37:42.0Z,2,REGULAR,substitution,out,['startperiod'],1630703,,,1610612757,27,18,2025-02-05T03:39:53Z,1680000,False,,,0,,SUB out: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2025-02-05T03:37:42.0Z,2,REGULAR,substitution,in,['startperiod'],1630166,,,1610612757,27,18,2025-02-05T03:39:53Z,1690000,False,,,0,,SUB in: D. Avdija,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2025-02-05T03:39:59.6Z,2,REGULAR,period,start,[],0,,,1610612754,27,18,2025-02-05T03:39:59Z,1710000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT11M44.00S,2025-02-05T03:40:15.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,87.99277266754271,36.029411764705884,1610612754,27,20,2025-02-05T03:40:22Z,1720000,False,-70.0,60.0,1,right,P. Siakam 9' turnaround fadeaway Jump Shot (8 PTS) (B. Sheppard 1 AST),"[1627783, 1641767]",1610612754.0,IND,turnaround fadeaway,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Left,9.24,Made,8.0,,,,,,,,,,,,,B. Sheppard,1641767.0,1.0,,
176,PT11M25.00S,2025-02-05T03:40:34.6Z,2,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612757,27,20,2025-02-05T03:40:40Z,1730000,False,,,0,,R. Williams III bad pass out-of-bounds TURNOVER (1 TO),[1629057],1610612757.0,POR,bad pass,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Right Center,,,,1628159.0,1.0,,,,,,,,,,,,,,,
177,PT11M04.00S,2025-02-05T03:40:58.6Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1631097,92.19776609724047,75.49019607843137,1610612754,27,20,2025-02-05T03:41:02Z,1740000,False,127.0,21.0,1,right,MISS B. Mathurin 12' pullup Shot,[1631097],1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Right,12.92,Missed,,,,,,,,,,,,,,,,,,
178,PT11M02.00S,2025-02-05T03:41:00.6Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612757,27,20,2025-02-05T03:41:02Z,1750000,False,,,0,,R. Williams III REBOUND (Off:1 Def:4),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Mid-Range,8-16 Right,,,,,,177.0,5.0,4.0,1.0,,,,,,,,,,,
179,PT10M54.00S,2025-02-05T03:41:08.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629014,5.863994743758213,42.40196078431372,1610612757,29,20,2025-02-05T03:41:14Z,1760000,False,38.0,3.0,1,left,A. Simons driving Layup (7 PTS),[1629014],1610612757.0,POR,driving,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,3.81,Made,7.0,,,,,,,,,,,,,,,,,
180,PT10M54.00S,2025-02-05T03:41:14.2Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612754,29,20,2025-02-05T03:41:20Z,1770000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612757.0,POR,,,,,,,,,,,,,,,101284.0,,,,,,,,,,,,,,,,
181,PT10M42.00S,2025-02-05T03:41:34.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],204456,93.64323258869908,51.71568627450981,1610612754,29,22,2025-02-05T03:41:39Z,1780000,False,9.0,7.0,1,right,T. McConnell driving Layup (4 PTS) (B. Mathurin 1 AST),"[204456, 1631097]",1610612754.0,IND,driving,,,McConnell,T. McConnell,,,,,Restricted Area,0-8 Center,1.13,Made,4.0,,,,,,,,,,,,,B. Mathurin,1631097.0,1.0,,
183,PT10M25.00S,2025-02-05T03:41:50.9Z,2,REGULAR,3pt,Jump Shot,[],1630166,32.276609724047304,57.107843137254896,1610612757,29,22,2025-02-05T03:41:55Z,1800000,False,-36.0,251.0,1,left,MISS D. Avdija 25' 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,25.34,Missed,,,,,,,,,,,,,,,,,,
184,PT10M22.00S,2025-02-05T03:41:53.9Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612757,29,22,2025-02-05T03:41:55Z,1810000,False,,,0,,R. Williams III REBOUND (Off:2 Def:4),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Center,,,,,,183.0,6.0,4.0,2.0,,,,,,,,,,,
185,PT10M19.00S,2025-02-05T03:41:57.6Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1631101,19.530223390275953,30.88235294117647,1610612757,31,22,2025-02-05T03:46:05Z,1820000,False,96.0,131.0,1,left,S. Sharpe 16' step back Jump Shot (6 PTS) (R. Williams III 3 AST),"[1631101, 1629057]",1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Right Center,16.23,Made,6.0,,,,,,,,,,,,,R. Williams III,1629057.0,3.0,,
187,PT10M08.00S,2025-02-05T03:42:07.9Z,2,REGULAR,2pt,Jump Shot,[],1626167,78.9257555847569,49.754901960784316,1610612754,31,22,2025-02-05T03:46:48Z,1840000,False,-1.0,146.0,1,right,MISS M. Turner 14' Jump Shot,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Center,14.56,Missed,,,,,,,,,,,,,,,,,,
188,PT10M05.00S,2025-02-05T03:42:10.9Z,2,REGULAR,rebound,defensive,[],1630166,,,1610612757,31,22,2025-02-05T03:42:12Z,1850000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Center,,,,,,187.0,1.0,1.0,0.0,,,,,,,,,,,
254,PT10M03.00S,2025-02-05T03:42:15.7Z,2,REGULAR,turnover,lost ball,[],1630166,,,1610612757,31,22,2025-02-05T03:52:34Z,1870000,False,,,0,,D. Avdija lost ball TURNOVER (2 TO),"[1630166, 204456]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,2.0,,,,,McConnell,204456.0,,,,,,,,,
255,PT10M03.00S,2025-02-05T03:42:15.7Z,2,REGULAR,steal,,[],204456,,,1610612754,31,22,2025-02-05T03:52:34Z,1880000,False,,,0,,T. McConnell STEAL (2 STL),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
192,PT09M53.00S,2025-02-05T03:42:23.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631097,85.3646517739816,38.48039215686275,1610612754,31,22,2025-02-05T03:52:34Z,1890000,False,-58.0,85.0,1,right,MISS B. Mathurin 10' driving floating bank Shot,[1631097],1610612754.0,IND,driving floating bank,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),8-16 Left,10.28,Missed,,,,,,,,,,,,,,,,,,
193,PT09M48.00S,2025-02-05T03:42:28.5Z,2,REGULAR,rebound,defensive,[],1631200,,,1610612757,31,22,2025-02-05T03:50:25Z,1900000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Left,,,,,,192.0,1.0,1.0,0.0,,,,,,,,,,,
194,PT09M42.00S,2025-02-05T03:42:33.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629014,22.552562417871222,87.25490196078431,1610612757,31,22,2025-02-05T03:53:47Z,1910000,False,-186.0,159.0,1,left,MISS A. Simons 24' running 3PT,[1629014],1610612757.0,POR,running,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,24.53,Missed,,,,,,,,,,,,,,,,,,
195,PT09M41.00S,2025-02-05T03:42:34.8Z,2,REGULAR,rebound,defensive,[],1627783,,,1610612754,31,22,2025-02-05T03:53:47Z,1920000,False,,,0,,P. Siakam REBOUND (Off:1 Def:3),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,,,194.0,4.0,3.0,1.0,,,,,,,,,,,
196,PT09M25.00S,2025-02-05T03:42:51.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],204456,93.77463863337714,52.20588235294118,1610612754,31,24,2025-02-05T03:43:01Z,1930000,False,11.0,6.0,1,right,T. McConnell driving reverse Layup (6 PTS) (B. Mathurin 2 AST),"[204456, 1631097]",1610612754.0,IND,driving reverse,,,McConnell,T. McConnell,,,,,Restricted Area,0-8 Center,1.25,Made,6.0,,,,,,,,,,,,,B. Mathurin,1631097.0,2.0,,
198,PT09M06.00S,2025-02-05T03:43:09.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,8.623521681997373,46.568627450980394,1610612757,31,24,2025-02-05T03:43:14Z,1950000,False,17.0,29.0,1,left,MISS D. Avdija driving floating Shot,[1630166],1610612757.0,POR,driving floating,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,3.34,Missed,,,,,,,,,,,,,,,,,,
199,PT09M05.00S,2025-02-05T03:43:10.9Z,2,REGULAR,rebound,defensive,[],204456,,,1610612754,31,24,2025-02-05T03:43:14Z,1960000,False,,,0,,T. McConnell REBOUND (Off:0 Def:1),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,Restricted Area,0-8 Center,,,,,,198.0,1.0,1.0,0.0,,,,,,,,,,,
200,PT09M01.00S,2025-02-05T03:43:15.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631097,93.38042049934296,49.01960784313725,1610612754,31,26,2025-02-05T03:43:27Z,1970000,False,-5.0,10.0,1,right,B. Mathurin running alley-oop DUNK (8 PTS) (T. McConnell 1 AST),"[1631097, 204456]",1610612754.0,IND,running alley-oop,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,1.09,Made,8.0,,,,,,,,,,,,,T. McConnell,204456.0,1.0,,
202,PT09M01.00S,2025-02-05T03:43:25.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,31,26,2025-02-05T03:43:25Z,1990000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT09M01.00S,2025-02-05T03:44:19.5Z,2,REGULAR,substitution,out,[],1631101,,,1610612757,31,26,2025-02-05T03:45:58Z,2000000,False,,,0,,SUB out: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT09M01.00S,2025-02-05T03:44:19.5Z,2,REGULAR,substitution,out,[],1631200,,,1610612757,31,26,2025-02-05T03:45:58Z,2010000,False,,,0,,SUB out: K. Murray,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT09M01.00S,2025-02-05T03:44:19.5Z,2,REGULAR,substitution,out,[],1629057,,,1610612757,31,26,2025-02-05T03:45:58Z,2020000,False,,,0,,SUB out: R. Williams III,[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT09M01.00S,2025-02-05T03:44:19.5Z,2,REGULAR,substitution,out,[],1630166,,,1610612757,31,26,2025-02-05T03:45:58Z,2030000,False,,,0,,SUB out: D. Avdija,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT09M01.00S,2025-02-05T03:44:19.5Z,2,REGULAR,substitution,in,[],1629028,,,1610612757,31,26,2025-02-05T03:45:58Z,2040000,False,,,0,,SUB in: D. Ayton,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT09M01.00S,2025-02-05T03:44:19.5Z,2,REGULAR,substitution,in,[],203924,,,1610612757,31,26,2025-02-05T03:45:58Z,2050000,False,,,0,,SUB in: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT09M01.00S,2025-02-05T03:44:19.5Z,2,REGULAR,substitution,in,[],1630703,,,1610612757,31,26,2025-02-05T03:45:58Z,2060000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT09M01.00S,2025-02-05T03:44:19.5Z,2,REGULAR,substitution,in,[],1641739,,,1610612757,31,26,2025-02-05T03:45:58Z,2070000,False,,,0,,SUB in: T. Camara,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT08M42.00S,2025-02-05T03:46:32.1Z,2,REGULAR,2pt,Jump Shot,[],1629028,23.078186596583443,50.0,1610612757,31,26,2025-02-05T03:46:37Z,2080000,False,0.0,164.0,1,left,MISS D. Ayton 16' turnaround Shot,[1629028],1610612757.0,POR,turnaround,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,16.44,Missed,,,,,,,,,,,,,,,,,,
213,PT08M40.00S,2025-02-05T03:46:34.1Z,2,REGULAR,rebound,defensive,[],204456,,,1610612754,31,26,2025-02-05T03:46:37Z,2090000,False,,,0,,T. McConnell REBOUND (Off:0 Def:2),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,Mid-Range,16-24 Center,,,,,,212.0,2.0,2.0,0.0,,,,,,,,,,,
214,PT08M29.00S,2025-02-05T03:46:45.4Z,2,REGULAR,2pt,Jump Shot,[],1627783,80.89684625492772,78.67647058823529,1610612754,31,26,2025-02-05T03:46:50Z,2100000,False,143.0,127.0,1,right,MISS P. Siakam 19' turnaround fadeaway Shot,[1627783],1610612754.0,IND,turnaround fadeaway,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Right Center,19.16,Missed,,,,,,,,,,,,,,,,,,
215,PT08M26.00S,2025-02-05T03:46:48.4Z,2,REGULAR,rebound,defensive,[],1629028,,,1610612757,31,26,2025-02-05T03:46:50Z,2110000,False,,,0,,D. Ayton REBOUND (Off:0 Def:4),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Right Center,,,,,,214.0,4.0,4.0,0.0,,,,,,,,,,,
216,PT08M09.00S,2025-02-05T03:47:05.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203924,6.652431011826544,55.14705882352941,1610612757,31,26,2025-02-05T03:47:08Z,2120000,False,-26.0,10.0,1,left,MISS J. Grant driving Layup,[203924],1610612757.0,POR,driving,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,2.76,Missed,,,,,,,,,,,,,,,,,,
217,PT08M07.00S,2025-02-05T03:47:07.2Z,2,REGULAR,rebound,defensive,[],1631097,,,1610612754,31,26,2025-02-05T03:47:08Z,2130000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:3),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,,,,216.0,3.0,3.0,0.0,,,,,,,,,,,
218,PT08M00.00S,2025-02-05T03:47:16.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631097,87.20433639947439,61.76470588235294,1610612754,31,26,2025-02-05T04:22:54Z,2140000,False,59.0,68.0,1,right,MISS B. Mathurin 8' driving floating Shot,[1631097],1610612754.0,IND,driving floating,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),8-16 Right,8.97,Missed,,,,,,,,,,,,,,,,,,
219,PT07M58.00S,2025-02-05T03:47:18.3Z,2,REGULAR,rebound,offensive,[],1631097,,,1610612754,31,26,2025-02-05T04:22:54Z,2150000,False,,,0,,B. Mathurin REBOUND (Off:1 Def:3),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),8-16 Right,,,,,,218.0,4.0,3.0,1.0,,,,,,,,,,,
353,PT07M58.00S,2025-02-05T03:47:22.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631097,94.13600525624179,52.205882352941174,1610612754,31,26,2025-02-05T04:23:19Z,2155000,False,11.0,3.0,1,right,MISS B. Mathurin tip Layup - blocked,"[1631097, 1629028]",1610612754.0,IND,tip,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,1.13,Missed,,,,,,,,,,,,,,,,,Ayton,1629028.0
354,PT07M58.00S,2025-02-05T03:47:22.6Z,2,REGULAR,block,,[],1629028,,,1610612754,31,26,2025-02-05T04:23:19Z,2157500,False,,,0,,D. Ayton BLOCK (1 BLK),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
355,PT07M58.00S,2025-02-05T03:47:22.6Z,2,REGULAR,rebound,defensive,[],1629014,,,1610612757,31,26,2025-02-05T04:23:19Z,2158750,False,,,0,,A. Simons REBOUND (Off:0 Def:2),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,,,,353.0,2.0,2.0,0.0,,,,,,,,,,,
220,PT07M45.00S,2025-02-05T03:47:29.0Z,2,REGULAR,3pt,Jump Shot,[],1630703,28.465834428383708,18.627450980392158,1610612757,34,26,2025-02-05T03:47:32Z,2160000,False,157.0,215.0,1,left,S. Henderson 26' 3PT  (10 PTS) (A. Simons 2 AST),"[1630703, 1629014]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Right Center,26.62,Made,10.0,,,,,,,,,,,,,A. Simons,1629014.0,2.0,,
222,PT07M26.00S,2025-02-05T03:47:47.7Z,2,REGULAR,3pt,Jump Shot,[],204456,69.46452036793693,25.735294117647058,1610612754,34,26,2025-02-05T04:00:00Z,2180000,False,-121.0,235.0,1,right,MISS T. McConnell 26' pullup 3PT,[204456],1610612754.0,IND,pullup,,,McConnell,T. McConnell,,,,,Above the Break 3,24+ Left Center,26.4,Missed,,,,,,,,,,,,,,,,,,
223,PT07M23.00S,2025-02-05T03:47:50.7Z,2,REGULAR,rebound,defensive,[],1629028,,,1610612757,34,26,2025-02-05T03:47:52Z,2190000,False,,,0,,D. Ayton REBOUND (Off:0 Def:5),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Left Center,,,,,,222.0,5.0,5.0,0.0,,,,,,,,,,,
224,PT07M16.00S,2025-02-05T03:47:57.9Z,2,REGULAR,2pt,Jump Shot,[],1629028,24.78646517739816,52.94117647058824,1610612757,34,26,2025-02-05T04:00:36Z,2200000,False,-15.0,180.0,1,left,MISS D. Ayton 18' Jump Shot,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,18.11,Missed,,,,,,,,,,,,,,,,,,
225,PT07M13.00S,2025-02-05T03:48:00.9Z,2,REGULAR,rebound,defensive,[],1631097,,,1610612754,34,26,2025-02-05T03:48:03Z,2210000,False,,,0,,B. Mathurin REBOUND (Off:1 Def:4),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Center,,,,,,224.0,5.0,4.0,1.0,,,,,,,,,,,
226,PT07M00.00S,2025-02-05T03:48:14.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,79.84559789750328,42.8921568627451,1610612754,34,26,2025-02-05T04:01:13Z,2220000,False,-36.0,137.0,1,right,MISS P. Siakam 14' fadeaway Shot,[1627783],1610612754.0,IND,fadeaway,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,14.15,Missed,,,,,,,,,,,,,,,,,,
227,PT06M58.00S,2025-02-05T03:48:16.5Z,2,REGULAR,rebound,defensive,[],203924,,,1610612757,34,26,2025-02-05T03:48:18Z,2230000,False,,,0,,J. Grant REBOUND (Off:0 Def:2),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,226.0,2.0,2.0,0.0,,,,,,,,,,,
228,PT06M46.00S,2025-02-05T03:48:28.1Z,2,REGULAR,3pt,Jump Shot,[],1630703,12.434296977660972,2.2058823529411766,1610612757,34,26,2025-02-05T03:48:32Z,2240000,False,239.0,64.0,1,left,MISS S. Henderson 24' 3PT,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Right Corner 3,24+ Right,24.75,Missed,,,,,,,,,,,,,,,,,,
229,PT06M43.00S,2025-02-05T03:48:31.1Z,2,REGULAR,rebound,defensive,[],204456,,,1610612754,34,26,2025-02-05T03:48:32Z,2250000,False,,,0,,T. McConnell REBOUND (Off:0 Def:3),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,Right Corner 3,24+ Right,,,,,,228.0,3.0,3.0,0.0,,,,,,,,,,,
233,PT06M41.00S,2025-02-05T03:48:57.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,34,26,2025-02-05T03:50:56Z,2290000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M41.00S,2025-02-05T03:51:00.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631097,94.43166885676742,51.225490196078425,1610612754,34,28,2025-02-05T03:51:32Z,2310000,False,6.0,0.0,1,right,B. Mathurin running Layup (10 PTS) (T. McConnell 2 AST),"[1631097, 204456]",1610612754.0,IND,running,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,0.61,Made,10.0,,,,,,,,,,,,,T. McConnell,204456.0,2.0,,
236,PT06M41.00S,2025-02-05T03:51:05.5Z,2,REGULAR,foul,personal,['1freethrow'],1641739,,,1610612754,34,28,2025-02-05T03:51:18Z,2320000,False,,,0,,T. Camara shooting personal FOUL (1 PF) (Mathurin 1 FT),"[1641739, 1631097]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,1629178.0,,,,,,,,1.0,0.0,Mathurin,1631097.0,,,,,
238,PT06M41.00S,2025-02-05T03:51:22.4Z,2,REGULAR,substitution,out,[],1629014,,,1610612754,34,28,2025-02-05T03:52:00Z,2340000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M41.00S,2025-02-05T03:51:22.4Z,2,REGULAR,substitution,out,[],204456,,,1610612754,34,28,2025-02-05T03:52:00Z,2350000,False,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M41.00S,2025-02-05T03:51:22.4Z,2,REGULAR,substitution,out,[],1641767,,,1610612754,34,28,2025-02-05T03:52:00Z,2360000,False,,,0,,SUB out: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT06M41.00S,2025-02-05T03:51:22.4Z,2,REGULAR,substitution,out,[],1626167,,,1610612754,34,28,2025-02-05T03:52:00Z,2370000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M41.00S,2025-02-05T03:51:22.4Z,2,REGULAR,substitution,out,[],1627783,,,1610612754,34,28,2025-02-05T03:52:00Z,2380000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT06M41.00S,2025-02-05T03:51:22.4Z,2,REGULAR,substitution,in,[],1631101,,,1610612754,34,28,2025-02-05T03:52:00Z,2390000,False,,,0,,SUB in: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT06M41.00S,2025-02-05T03:51:22.4Z,2,REGULAR,substitution,in,[],1630169,,,1610612754,34,28,2025-02-05T03:52:00Z,2400000,False,,,0,,SUB in: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT06M41.00S,2025-02-05T03:51:22.4Z,2,REGULAR,substitution,in,[],1630167,,,1610612754,34,28,2025-02-05T03:52:00Z,2410000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT06M41.00S,2025-02-05T03:51:22.4Z,2,REGULAR,substitution,in,[],1629614,,,1610612754,34,28,2025-02-05T03:52:00Z,2420000,False,,,0,,SUB in: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M41.00S,2025-02-05T03:51:22.4Z,2,REGULAR,substitution,in,[],1628418,,,1610612754,34,28,2025-02-05T03:52:00Z,2430000,False,,,0,,SUB in: T. Bryant,[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
