actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,descriptor,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,value
175,PT09M14.00S,2021-11-18T03:46:23.9Z,2,REGULAR,rebound,defensive,[],1629661,,,1610612756,30,31,2021-11-18T03:46:33Z,1690000,,,0,,C. Johnson REBOUND (Off:1 Def:1),[1629661],1610612756.0,PHX,,Johnson,C. Johnson,,,173.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
176,PT09M03.00S,2021-11-18T03:46:34.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629013,7.5722733245729295,55.63725490196079,1610612756,32,31,2021-11-18T03:46:49Z,1700000,-28.0,19.0,1,left,L. Shamet reverse Layup (11 PTS),[1629013],1610612756.0,PHX,,Shamet,L. Shamet,3.38,Made,,,,,reverse,11.0,,,,,,,,,,,,,,,,,,,
178,PT08M39.00S,2021-11-18T03:46:59.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,90.75229960578186,44.11764705882353,1610612742,32,31,2021-11-18T03:47:15Z,1720000,-29.0,34.0,1,right,MISS J. Brunson Layup,[1628973],1610612742.0,DAL,,Brunson,J. Brunson,4.53,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT08M39.00S,2021-11-18T03:46:59.4Z,2,REGULAR,rebound,defensive,[],1629661,,,1610612756,32,31,2021-11-18T03:54:05Z,1730000,,,0,,C. Johnson REBOUND (Off:1 Def:2),[1629661],1610612756.0,PHX,,Johnson,C. Johnson,,,178.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
181,PT08M30.00S,2021-11-18T03:47:07.9Z,2,REGULAR,3pt,Jump Shot,[],1627846,7.5722733245729295,4.411764705882353,1610612756,32,31,2021-11-18T03:47:26Z,1740000,228.0,19.0,1,left,MISS A. Nader 3PT,[1627846],1610612756.0,PHX,,Nader,A. Nader,22.87,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT08M25.00S,2021-11-18T03:47:12.9Z,2,REGULAR,rebound,defensive,[],203493,,,1610612742,32,31,2021-11-18T03:47:26Z,1750000,,,0,,R. Bullock REBOUND (Off:1 Def:2),[203493],1610612742.0,DAL,,Bullock,R. Bullock,,,181.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
183,PT08M23.00S,2021-11-18T03:47:19.3Z,2,REGULAR,foul,personal,[],1629013,,,1610612742,32,31,2021-11-18T03:47:28Z,1760000,,,0,,L. Shamet personal FOUL (1 PF),"[1629013, 203504]",1610612756.0,PHX,1198.0,Shamet,L. Shamet,,,,,,,,,,,,,,,,,1.0,0.0,Burke,203504.0,,,,,,,
185,PT08M23.00S,2021-11-18T03:47:28.9Z,2,REGULAR,substitution,out,[],201580,,,1610612742,32,31,2021-11-18T03:47:46Z,1780000,,,0,,SUB out: J. McGee,[201580],1610612756.0,PHX,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT08M23.00S,2021-11-18T03:47:28.9Z,2,REGULAR,substitution,out,[],1627846,,,1610612742,32,31,2021-11-18T03:47:46Z,1790000,,,0,,SUB out: A. Nader,[1627846],1610612756.0,PHX,,Nader,A. Nader,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT08M23.00S,2021-11-18T03:47:28.9Z,2,REGULAR,substitution,out,[],1626166,,,1610612742,32,31,2021-11-18T03:47:46Z,1800000,,,0,,SUB out: C. Payne,[1626166],1610612756.0,PHX,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT08M23.00S,2021-11-18T03:47:28.9Z,2,REGULAR,substitution,out,[],1628425,,,1610612742,32,31,2021-11-18T03:47:46Z,1810000,,,0,,SUB out: S. Brown,[1628425],1610612742.0,DAL,,Brown,S. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT08M23.00S,2021-11-18T03:47:28.9Z,2,REGULAR,substitution,in,[],1629028,,,1610612742,32,31,2021-11-18T03:47:46Z,1820000,,,0,,SUB in: D. Ayton,[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT08M23.00S,2021-11-18T03:47:28.9Z,2,REGULAR,substitution,in,[],101108,,,1610612742,32,31,2021-11-18T03:47:46Z,1830000,,,0,,SUB in: C. Paul,[101108],1610612756.0,PHX,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT08M23.00S,2021-11-18T03:47:28.9Z,2,REGULAR,substitution,in,[],203109,,,1610612742,32,31,2021-11-18T03:47:46Z,1840000,,,0,,SUB in: J. Crowder,[203109],1610612756.0,PHX,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT08M23.00S,2021-11-18T03:47:28.9Z,2,REGULAR,substitution,in,[],203939,,,1610612742,32,31,2021-11-18T03:47:46Z,1850000,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT08M17.00S,2021-11-18T03:47:53.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203504,92.19776609724047,51.9607843137255,1610612742,32,33,2021-11-18T03:48:00Z,1860000,10.0,21.0,1,right,T. Burke cutting Layup (7 PTS) (J. Brunson 3 AST),"[203504, 1628973]",1610612742.0,DAL,,Burke,T. Burke,2.3,Made,,,,,cutting,7.0,J. Brunson,1628973.0,3.0,,,,,,,,,,,,,,,,
195,PT08M04.00S,2021-11-18T03:48:05.7Z,2,REGULAR,3pt,Jump Shot,[],203109,31.488173455978973,38.48039215686275,1610612756,32,33,2021-11-18T03:48:15Z,1880000,58.0,243.0,1,left,MISS J. Crowder 25' 3PT - blocked,"[203109, 204001]",1610612756.0,PHX,,Crowder,J. Crowder,25.02,Missed,,,,,,,,,,,,,Porzingis,204001.0,,,,,,,,,,,
196,PT08M04.00S,2021-11-18T03:48:05.7Z,2,REGULAR,block,,[],204001,,,1610612756,32,33,2021-11-18T03:48:09Z,1890000,,,0,,K. Porzingis BLOCK (2 BLK),[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT08M01.00S,2021-11-18T03:48:08.7Z,2,REGULAR,rebound,defensive,[],1628973,,,1610612742,32,33,2021-11-18T03:48:15Z,1900000,,,0,,J. Brunson REBOUND (Off:0 Def:2),[1628973],1610612742.0,DAL,,Brunson,J. Brunson,,,195.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
198,PT07M48.00S,2021-11-18T03:48:22.9Z,2,REGULAR,turnover,bad pass,[],1628973,,,1610612742,32,33,2021-11-18T03:48:26Z,1910000,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 203109]",1610612742.0,DAL,,Brunson,J. Brunson,,,,,,,,,,,,1.0,Crowder,203109.0,,,,,,,,,,,,,
199,PT07M48.00S,2021-11-18T03:48:22.9Z,2,REGULAR,steal,,[],203109,,,1610612756,32,33,2021-11-18T03:48:24Z,1920000,,,0,,J. Crowder STEAL (1 STL),[203109],1610612756.0,PHX,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT07M44.00S,2021-11-18T03:48:26.5Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629013,27.808804204993432,79.90196078431373,1610612756,32,33,2021-11-18T03:48:32Z,1930000,-150.0,209.0,1,left,MISS L. Shamet 25' 3PT,[1629013],1610612756.0,PHX,,Shamet,L. Shamet,25.69,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT07M39.00S,2021-11-18T03:48:31.5Z,2,REGULAR,rebound,offensive,[],1629028,,,1610612756,32,33,2021-11-18T03:48:32Z,1940000,,,0,,D. Ayton REBOUND (Off:3 Def:2),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,200.0,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,
202,PT07M39.00S,2021-11-18T03:48:31.4Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629028,5.590000152587891,50.0,1610612756,34,33,2021-11-18T03:48:37Z,1950000,0.0,0.0,1,left,D. Ayton tip Layup (6 PTS),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,0.0,Made,,,,,tip,6.0,,,,,,,,,,,,,,,,,,,
203,PT07M31.00S,2021-11-18T03:48:41.8Z,2,REGULAR,turnover,out-of-bounds,[],1628973,,,1610612742,34,33,2021-11-18T03:49:01Z,1960000,,,0,,J. Brunson bad pass out-of-bounds TURNOVER (2 TO),[1628973],1610612742.0,DAL,202027.0,Brunson,J. Brunson,,,,,,,bad pass,,,,,2.0,,,,,,,,,,,,,,,
204,PT07M31.00S,2021-11-18T03:48:47.7Z,2,REGULAR,substitution,out,[],1629661,,,1610612756,34,33,2021-11-18T03:48:51Z,1970000,,,0,,SUB out: C. Johnson,[1629661],1610612756.0,PHX,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT07M31.00S,2021-11-18T03:48:47.7Z,2,REGULAR,substitution,in,[],1628969,,,1610612756,34,33,2021-11-18T03:48:51Z,1980000,,,0,,SUB in: M. Bridges,[1628969],1610612756.0,PHX,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT07M19.00S,2021-11-18T03:49:12.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629013,28.728646517739815,79.90196078431373,1610612756,34,33,2021-11-18T03:49:16Z,1990000,-150.0,218.0,1,left,MISS L. Shamet 26' 3PT,[1629013],1610612756.0,PHX,,Shamet,L. Shamet,26.39,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT07M16.00S,2021-11-18T03:49:15.9Z,2,REGULAR,rebound,defensive,[],203939,,,1610612742,34,33,2021-11-18T03:49:16Z,2000000,,,0,,D. Powell REBOUND (Off:0 Def:5),[203939],1610612742.0,DAL,,Powell,D. Powell,,,206.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,
208,PT07M08.00S,2021-11-18T03:49:23.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203504,93.38042049934296,37.00980392156863,1610612742,34,33,2021-11-18T03:49:28Z,2010000,-65.0,10.0,1,right,MISS T. Burke 6' driving floating Shot,[203504],1610612742.0,DAL,,Burke,T. Burke,6.57,Missed,,,,,driving floating,,,,,,,,,,,,,,,,,,,,
209,PT07M06.00S,2021-11-18T03:49:25.5Z,2,REGULAR,rebound,defensive,[],1629028,,,1610612756,34,33,2021-11-18T03:49:28Z,2020000,,,0,,D. Ayton REBOUND (Off:3 Def:3),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,208.0,6.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
210,PT06M59.00S,2021-11-18T03:49:32.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,5.206964520367937,42.64705882352941,1610612756,34,33,2021-11-18T03:49:39Z,2030000,37.0,-4.0,1,left,MISS M. Bridges cutting Layup,[1628969],1610612756.0,PHX,,Bridges,M. Bridges,3.7,Missed,,,,,cutting,,,,,,,,,,,,,,,,,,,,
211,PT06M57.00S,2021-11-18T03:49:34.9Z,2,REGULAR,rebound,defensive,[],203939,,,1610612742,34,33,2021-11-18T03:49:39Z,2040000,,,0,,D. Powell REBOUND (Off:0 Def:6),[203939],1610612742.0,DAL,,Powell,D. Powell,,,210.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,
212,PT06M53.00S,2021-11-18T03:49:38.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203493,91.93495400788436,58.08823529411765,1610612742,34,33,2021-11-18T03:49:48Z,2050000,40.0,23.0,1,right,MISS R. Bullock driving Layup,[203493],1610612742.0,DAL,,Bullock,R. Bullock,4.66,Missed,,,,,driving,,,,,,,,,,,,,,,,,,,,
213,PT06M50.00S,2021-11-18T03:49:41.2Z,2,REGULAR,rebound,defensive,[],1629013,,,1610612756,34,33,2021-11-18T03:49:48Z,2060000,,,0,,L. Shamet REBOUND (Off:0 Def:1),[1629013],1610612756.0,PHX,,Shamet,L. Shamet,,,212.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
214,PT06M46.00S,2021-11-18T03:49:47.3Z,2,REGULAR,foul,personal,[],203493,,,1610612756,34,33,2021-11-18T03:49:59Z,2070000,,,0,,R. Bullock personal FOUL (1 PF),"[203493, 1629028]",1610612742.0,DAL,1198.0,Bullock,R. Bullock,,,,,,,,,,,,,,,,,1.0,0.0,Ayton,1629028.0,,,,,,,
216,PT06M46.00S,2021-11-18T03:49:57.1Z,2,REGULAR,substitution,out,[],1629013,,,1610612756,34,33,2021-11-18T03:50:03Z,2090000,,,0,,SUB out: L. Shamet,[1629013],1610612756.0,PHX,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT06M46.00S,2021-11-18T03:49:57.1Z,2,REGULAR,substitution,out,[],1628973,,,1610612756,34,33,2021-11-18T03:50:03Z,2100000,,,0,,SUB out: J. Brunson,[1628973],1610612742.0,DAL,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT06M46.00S,2021-11-18T03:49:57.1Z,2,REGULAR,substitution,in,[],1626164,,,1610612756,34,33,2021-11-18T03:50:03Z,2110000,,,0,,SUB in: D. Booker,[1626164],1610612756.0,PHX,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M46.00S,2021-11-18T03:49:57.1Z,2,REGULAR,substitution,in,[],203501,,,1610612756,34,33,2021-11-18T03:50:03Z,2120000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT06M35.00S,2021-11-18T03:50:22.7Z,2,REGULAR,2pt,Jump Shot,[],1626164,6.258212877792378,29.65686274509804,1610612756,34,33,2021-11-18T03:50:27Z,2130000,102.0,6.0,1,left,MISS D. Booker 10' step back Shot,[1626164],1610612756.0,PHX,,Booker,D. Booker,10.19,Missed,,,,,step back,,,,,,,,,,,,,,,,,,,,
221,PT06M33.00S,2021-11-18T03:50:24.7Z,2,REGULAR,rebound,defensive,[],204001,,,1610612742,34,33,2021-11-18T03:50:27Z,2140000,,,0,,K. Porzingis REBOUND (Off:0 Def:4),[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,,,220.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,
222,PT06M24.00S,2021-11-18T03:50:35.6Z,2,REGULAR,foul,personal,['2freethrow'],1626164,,,1610612742,34,33,2021-11-18T03:50:49Z,2150000,,,0,,D. Booker shooting personal FOUL (1 PF) (Porzingis 2 FT),"[1626164, 204001]",1610612756.0,PHX,202027.0,Booker,D. Booker,,,,,,,shooting,,,,,,,,,,1.0,0.0,Porzingis,204001.0,,,,,,,
224,PT06M24.00S,2021-11-18T03:51:04.4Z,2,REGULAR,freethrow,1 of 2,[],204001,,,1610612742,34,34,2021-11-18T03:51:04Z,2170000,,,0,,K. Porzingis Free Throw 1 of 2 (10 PTS),[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,,Made,,,,,,10.0,,,,,,,,,,,,,,,,,,,
225,PT06M24.00S,2021-11-18T03:51:22.6Z,2,REGULAR,freethrow,2 of 2,[],204001,,,1610612742,34,35,2021-11-18T03:51:22Z,2180000,,,0,,K. Porzingis Free Throw 2 of 2 (11 PTS),[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,,Made,,,,,,11.0,,,,,,,,,,,,,,,,,,,
226,PT06M17.00S,2021-11-18T03:51:36.6Z,2,REGULAR,foul,personal,[],203501,,,1610612756,34,35,2021-11-18T03:51:45Z,2190000,,,0,,T. Hardaway Jr. personal FOUL (2 PF),"[203501, 101108]",1610612742.0,DAL,202027.0,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,2.0,0.0,Paul,101108.0,,,,,,,
228,PT06M17.00S,2021-11-18T03:51:44.3Z,2,REGULAR,substitution,out,[],203504,,,1610612756,34,35,2021-11-18T03:51:50Z,2210000,,,0,,SUB out: T. Burke,[203504],1610612742.0,DAL,,Burke,T. Burke,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M17.00S,2021-11-18T03:51:44.3Z,2,REGULAR,substitution,out,[],204001,,,1610612756,34,35,2021-11-18T03:51:50Z,2220000,,,0,,SUB out: K. Porzingis,[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M17.00S,2021-11-18T03:51:44.3Z,2,REGULAR,substitution,in,[],1627827,,,1610612756,34,35,2021-11-18T03:51:50Z,2230000,,,0,,SUB in: D. Finney-Smith,[1627827],1610612742.0,DAL,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M17.00S,2021-11-18T03:51:44.3Z,2,REGULAR,substitution,in,[],1628373,,,1610612756,34,35,2021-11-18T03:51:50Z,2240000,,,0,,SUB in: F. Ntilikina,[1628373],1610612742.0,DAL,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT06M02.00S,2021-11-18T03:52:10.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,11.777266754270697,44.6078431372549,1610612756,36,35,2021-11-18T03:52:18Z,2250000,27.0,58.0,1,left,D. Ayton 6' turnaround Jump Shot (8 PTS) (C. Paul 3 AST),"[1629028, 101108]",1610612756.0,PHX,,Ayton,D. Ayton,6.42,Made,,,,,turnaround,8.0,C. Paul,101108.0,3.0,,,,,,,,,,,,,,,,
234,PT05M41.00S,2021-11-18T03:52:31.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,82.07950065703022,38.23529411764706,1610612742,36,35,2021-11-18T03:52:40Z,2270000,-59.0,116.0,1,right,MISS T. Hardaway Jr. 13' driving floating Shot,[203501],1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,13.01,Missed,,,,,driving floating,,,,,,,,,,,,,,,,,,,,
235,PT05M38.00S,2021-11-18T03:52:34.8Z,2,REGULAR,rebound,defensive,[],1629028,,,1610612756,36,35,2021-11-18T03:52:37Z,2280000,,,0,,D. Ayton REBOUND (Off:3 Def:4),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,234.0,7.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,
236,PT05M25.00S,2021-11-18T03:52:47.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,14.011169513797633,49.01960784313725,1610612756,38,35,2021-11-18T03:52:56Z,2290000,5.0,79.0,1,left,D. Ayton 7' turnaround Hook (10 PTS) (C. Paul 4 AST),"[1629028, 101108]",1610612756.0,PHX,,Ayton,D. Ayton,7.94,Made,,,,,turnaround,10.0,C. Paul,101108.0,4.0,,,,,,,,,,,,,,,,
238,PT05M04.00S,2021-11-18T03:53:08.3Z,2,REGULAR,2pt,Jump Shot,[],1628373,77.21747700394218,30.14705882352941,1610612742,38,35,2021-11-18T03:53:25Z,2310000,-99.0,162.0,1,right,MISS F. Ntilikina 18' Jump Shot,[1628373],1610612742.0,DAL,,Ntilikina,F. Ntilikina,18.98,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT05M02.00S,2021-11-18T03:53:10.3Z,2,REGULAR,rebound,offensive,[],203939,,,1610612742,38,35,2021-11-18T03:53:25Z,2320000,,,0,,D. Powell REBOUND (Off:1 Def:6),[203939],1610612742.0,DAL,,Powell,D. Powell,,,238.0,7.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,
241,PT04M59.00S,2021-11-18T03:53:14.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628373,66.96780551905388,37.745098039215684,1610612742,38,38,2021-11-18T03:53:31Z,2340000,-61.0,258.0,1,right,F. Ntilikina 26' 3PT  (8 PTS) (T. Hardaway Jr. 2 AST),"[1628373, 203501]",1610612742.0,DAL,,Ntilikina,F. Ntilikina,26.52,Made,,,,,,8.0,T. Hardaway Jr.,203501.0,2.0,,,,,,,,,,,,,,,,
243,PT04M34.00S,2021-11-18T03:53:38.9Z,2,REGULAR,2pt,Jump Shot,[],203109,22.28975032851511,47.30392156862745,1610612756,38,38,2021-11-18T03:53:45Z,2360000,13.0,157.0,1,left,MISS J. Crowder 15' turnaround Shot,[203109],1610612756.0,PHX,,Crowder,J. Crowder,15.76,Missed,,,,,turnaround,,,,,,,,,,,,,,,,,,,,
244,PT04M31.00S,2021-11-18T03:53:41.9Z,2,REGULAR,rebound,defensive,[],1627827,,,1610612742,38,38,2021-11-18T03:53:45Z,2370000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:3),[1627827],1610612742.0,DAL,,Finney-Smith,D. Finney-Smith,,,243.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
245,PT04M28.00S,2021-11-18T03:53:44.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203493,71.17279894875165,87.5,1610612742,38,38,2021-11-18T03:53:54Z,2380000,188.0,218.0,1,right,MISS R. Bullock 28' 3PT,[203493],1610612742.0,DAL,,Bullock,R. Bullock,28.79,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT04M26.00S,2021-11-18T03:53:46.3Z,2,REGULAR,rebound,defensive,[],1626164,,,1610612756,38,38,2021-11-18T03:53:54Z,2390000,,,0,,D. Booker REBOUND (Off:0 Def:5),[1626164],1610612756.0,PHX,,Booker,D. Booker,,,245.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,
247,PT04M07.00S,2021-11-18T03:54:06.8Z,2,REGULAR,3pt,Jump Shot,[],203109,10.33180026281209,4.166666666666666,1610612756,41,38,2021-11-18T03:54:11Z,2400000,229.0,45.0,1,left,J. Crowder 3PT  (3 PTS) (C. Paul 5 AST),"[203109, 101108]",1610612756.0,PHX,,Crowder,J. Crowder,23.35,Made,,,,,,3.0,C. Paul,101108.0,5.0,,,,,,,,,,,,,,,,
249,PT04M05.00S,2021-11-18T03:54:13.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,41,38,2021-11-18T03:54:13Z,2420000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT04M05.00S,2021-11-18T03:56:54.8Z,2,REGULAR,substitution,out,[],203493,,,1610612742,41,38,2021-11-18T03:57:19Z,2430000,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT04M05.00S,2021-11-18T03:56:54.8Z,2,REGULAR,substitution,in,[],1628973,,,1610612742,41,38,2021-11-18T03:57:19Z,2440000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT03M54.00S,2021-11-18T03:57:48.4Z,2,REGULAR,2pt,Jump Shot,[],1628973,81.8166885676741,31.61764705882353,1610612742,41,38,2021-11-18T03:57:56Z,2450000,-92.0,118.0,1,right,MISS J. Brunson 14' Jump Shot,[1628973],1610612742.0,DAL,,Brunson,J. Brunson,14.99,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT03M49.00S,2021-11-18T03:57:53.2Z,2,REGULAR,rebound,offensive,[],1627827,,,1610612742,41,38,2021-11-18T03:57:53Z,2460000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:3),[1627827],1610612742.0,DAL,,Finney-Smith,D. Finney-Smith,,,252.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
254,PT03M48.00S,2021-11-18T03:57:54.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628973,71.82982917214193,22.54901960784314,1610612742,41,41,2021-11-18T03:57:58Z,2470000,-137.0,212.0,1,right,J. Brunson 25' 3PT  (9 PTS) (D. Finney-Smith 1 AST),"[1628973, 1627827]",1610612742.0,DAL,,Brunson,J. Brunson,25.28,Made,,,,,,9.0,D. Finney-Smith,1627827.0,1.0,,,,,,,,,,,,,,,,
256,PT03M28.00S,2021-11-18T03:58:14.6Z,2,REGULAR,2pt,Jump Shot,[],1626164,24.52365308804205,61.274509803921575,1610612756,43,41,2021-11-18T03:59:58Z,2490000,-56.0,178.0,1,left,D. Booker 18' pullup Jump Shot (13 PTS),[1626164],1610612756.0,PHX,,Booker,D. Booker,18.67,Made,,,,,pullup,13.0,,,,,,,,,,,,,,,,,,,
257,PT03M12.00S,2021-11-18T03:58:29.8Z,2,REGULAR,2pt,Jump Shot,[],203501,72.88107752956637,51.9607843137255,1610612742,43,41,2021-11-18T03:58:36Z,2500000,10.0,202.0,1,right,MISS T. Hardaway Jr. 20' Jump Shot,[203501],1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,20.26,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT03M09.00S,2021-11-18T03:58:32.8Z,2,REGULAR,rebound,defensive,[],1629028,,,1610612756,43,41,2021-11-18T03:58:36Z,2510000,,,0,,D. Ayton REBOUND (Off:3 Def:5),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,257.0,8.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,
259,PT02M59.00S,2021-11-18T03:58:43.3Z,2,REGULAR,2pt,Jump Shot,[],101108,23.209592641261498,39.46078431372549,1610612756,43,41,2021-11-18T03:58:49Z,2520000,53.0,166.0,1,left,MISS C. Paul 17' step back Shot,[101108],1610612756.0,PHX,,Paul,C. Paul,17.39,Missed,,,,,step back,,,,,,,,,,,,,,,,,,,,
260,PT02M56.00S,2021-11-18T03:58:46.3Z,2,REGULAR,rebound,defensive,[],1628973,,,1610612742,43,41,2021-11-18T03:58:49Z,2530000,,,0,,J. Brunson REBOUND (Off:0 Def:3),[1628973],1610612742.0,DAL,,Brunson,J. Brunson,,,259.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
261,PT02M34.00S,2021-11-18T03:59:09.3Z,2,REGULAR,3pt,Jump Shot,[],1628973,75.77201051248358,93.38235294117648,1610612742,43,41,2021-11-18T03:59:14Z,2540000,217.0,175.0,1,right,MISS J. Brunson 27' pullup 3PT,[1628973],1610612742.0,DAL,,Brunson,J. Brunson,27.88,Missed,,,,,pullup,,,,,,,,,,,,,,,,,,,,
262,PT02M30.00S,2021-11-18T03:59:12.2Z,2,REGULAR,rebound,defensive,[],1626164,,,1610612756,43,41,2021-11-18T03:59:12Z,2550000,,,0,,D. Booker REBOUND (Off:0 Def:6),[1626164],1610612756.0,PHX,,Booker,D. Booker,,,261.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,
263,PT02M20.00S,2021-11-18T03:59:22.4Z,2,REGULAR,3pt,Jump Shot,[],1628969,9.543363994743759,3.431372549019608,1610612756,43,41,2021-11-18T03:59:29Z,2560000,233.0,37.0,1,left,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,Bridges,M. Bridges,23.58,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
