actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
175,PT12M00.00S,2023-01-05T01:39:46.6Z,2,REGULAR,substitution,out,['startperiod'],1631102,,,1610612745,45,22,2023-01-05T01:40:15Z,1700000,False,,,0,,SUB out: T. Washington Jr.,[1631102],1610612745.0,HOU,,,,Washington Jr.,T. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2023-01-05T01:39:46.6Z,2,REGULAR,substitution,in,['startperiod'],201569,,,1610612745,45,22,2023-01-05T01:40:15Z,1710000,False,,,0,,SUB in: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2023-01-05T01:40:39.3Z,2,REGULAR,period,start,[],0,,,1610612745,45,22,2023-01-05T01:40:39Z,1720000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT11M50.00S,2023-01-05T01:40:59.4Z,2,REGULAR,foul,offensive,[],1630586,,,1610612745,45,22,2023-01-05T01:41:50Z,1740000,False,,,0,,U. Garuba off-the-ball offensive FOUL (3 PF),"[1630586, 1630700]",1610612745.0,HOU,off-the-ball,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),8-16 Center,,,,1626301.0,3.0,0.0,Daniels,1630700.0,,,,,,,,,,,,
181,PT11M50.00S,2023-01-05T01:40:59.4Z,2,REGULAR,turnover,offensive foul,[],1630586,,,1610612745,45,22,2023-01-05T01:40:59Z,1760000,False,,,0,,U. Garuba offensive foul TURNOVER (3 TO),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),8-16 Center,,,,1626301.0,,,,,,,,,,,,,,3.0,,
182,PT11M42.00S,2023-01-05T01:41:13.1Z,2,REGULAR,turnover,out-of-bounds,[],1630230,,,1610612740,45,22,2023-01-05T01:41:22Z,1770000,False,,,0,,N. Marshall bad pass out-of-bounds TURNOVER (2 TO),[1630230],1610612740.0,NOP,bad pass,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Left Center,,,,1626301.0,,,,,,,,,,,,,,2.0,,
183,PT11M33.00S,2023-01-05T01:41:26.5Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],201569,20.97568988173456,44.6078431372549,1610612745,45,22,2023-01-05T01:41:33Z,1780000,False,27.0,145.0,1,left,MISS E. Gordon 14' pullup Shot,[201569],1610612745.0,HOU,pullup,,,Gordon,E. Gordon,,,,,Mid-Range,8-16 Center,14.72,Missed,,,,,,,,,,,,,,,,,,
184,PT11M31.00S,2023-01-05T01:41:28.5Z,2,REGULAR,rebound,offensive,[],1630586,,,1610612745,45,22,2023-01-05T01:43:58Z,1790000,False,,,0,,U. Garuba REBOUND (Off:1 Def:1),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,Mid-Range,8-16 Center,,,,,,,,,183.0,,,2.0,1.0,1.0,,,,,,
185,PT11M30.00S,2023-01-05T01:41:33.1Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630586,5.590000152587891,50.0,1610612745,45,24,2023-01-05T01:44:07Z,1800000,False,0.0,0.0,1,left,U. Garuba tip Layup (2 PTS),[1630586],1610612745.0,HOU,tip,,,Garuba,U. Garuba,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
187,PT11M15.00S,2023-01-05T01:41:56.4Z,2,REGULAR,substitution,out,[],1630231,,,1610612740,45,24,2023-01-05T01:42:00Z,1820000,False,,,0,,SUB out: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT11M15.00S,2023-01-05T01:41:56.4Z,2,REGULAR,substitution,in,[],1629726,,,1610612740,45,24,2023-01-05T01:42:00Z,1830000,False,,,0,,SUB in: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT11M12.00S,2023-01-05T01:42:11.6Z,2,REGULAR,3pt,Jump Shot,[],1630631,94.56307490144546,95.83333333333334,1610612740,45,24,2023-01-05T01:42:20Z,1840000,False,229.0,-1.0,1,right,MISS J. Alvarado 3PT,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Right Corner 3,24+ Right,22.92,Missed,,,,,,,,,,,,,,,,,,
191,PT11M10.00S,2023-01-05T01:42:13.6Z,2,REGULAR,rebound,offensive,[],1629637,,,1610612740,45,24,2023-01-05T01:42:20Z,1850000,False,,,0,,J. Hayes REBOUND (Off:1 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,Right Corner 3,24+ Right,,,,,,,,,190.0,,,2.0,1.0,1.0,,,,,,
192,PT11M01.00S,2023-01-05T01:42:23.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630230,68.9388961892247,70.34313725490196,1610612740,48,24,2023-01-05T01:42:33Z,1860000,False,102.0,239.0,1,right,N. Marshall 26' 3PT  (11 PTS) (D. Daniels 3 AST),"[1630230, 1630700]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,26.02,Made,11.0,,,,,,,,,,,,D. Daniels,1630700.0,3.0,,,
194,PT10M45.00S,2023-01-05T01:42:38.0Z,2,REGULAR,3pt,Jump Shot,[],1629726,6.1268068331143235,4.166666666666666,1610612745,48,27,2023-01-05T01:42:44Z,1880000,False,229.0,5.0,1,left,G. Mathews 3PT  (3 PTS) (T. Eason 1 AST),"[1629726, 1631106]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,Right Corner 3,24+ Right,22.93,Made,3.0,,,,,,,,,,,,T. Eason,1631106.0,1.0,,,
196,PT10M36.00S,2023-01-05T01:42:47.7Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1626195,91.27792378449409,51.470588235294116,1610612740,50,27,2023-01-05T01:45:12Z,1900000,False,7.0,29.0,1,right,W. Hernangomez cutting DUNK (6 PTS) (J. Alvarado 5 AST),"[1626195, 1630631]",1610612740.0,NOP,cutting,,,Hernangomez,W. Hernangomez,,,,,Restricted Area,0-8 Center,3.04,Made,6.0,,,,,,,,,,,,J. Alvarado,1630631.0,5.0,,,
198,PT10M14.00S,2023-01-05T01:43:09.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201569,12.828515111695138,53.67647058823529,1610612745,50,27,2023-01-05T01:43:15Z,1920000,False,-18.0,68.0,1,left,MISS E. Gordon 7' driving finger roll Layup - blocked,"[201569, 1629637]",1610612745.0,HOU,driving finger roll,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),0-8 Center,7.05,Missed,,,,,,,,Hayes,1629637.0,,,,,,,,,
199,PT10M14.00S,2023-01-05T01:43:09.5Z,2,REGULAR,block,,[],1629637,,,1610612745,50,27,2023-01-05T01:43:12Z,1930000,False,,,0,,J. Hayes BLOCK (1 BLK),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
200,PT10M11.00S,2023-01-05T01:43:12.5Z,2,REGULAR,rebound,defensive,[],1630631,,,1610612740,50,27,2023-01-05T01:43:15Z,1940000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:1),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,198.0,,,1.0,1.0,0.0,,,,,,
201,PT10M05.00S,2023-01-05T01:43:18.5Z,2,REGULAR,3pt,Jump Shot,[],1630631,88.91261498028909,95.83333333333334,1610612740,50,27,2023-01-05T01:43:22Z,1950000,False,229.0,52.0,1,right,MISS J. Alvarado step back 3PT,[1630631],1610612740.0,NOP,step back,,,Alvarado,J. Alvarado,,,,,Right Corner 3,24+ Right,23.5,Missed,,,,,,,,,,,,,,,,,,
202,PT10M02.00S,2023-01-05T01:43:21.5Z,2,REGULAR,rebound,defensive,[],1630586,,,1610612745,50,27,2023-01-05T01:43:22Z,1960000,False,,,0,,U. Garuba REBOUND (Off:1 Def:2),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,Right Corner 3,24+ Right,,,,,,,,,201.0,,,3.0,2.0,1.0,,,,,,
203,PT09M59.00S,2023-01-05T01:43:24.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629726,19.92444152431012,5.88235294117647,1610612745,50,27,2023-01-05T01:46:33Z,1970000,False,221.0,135.0,1,left,MISS G. Mathews 25' running 3PT,[1629726],1610612745.0,HOU,running,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Right Center,25.85,Missed,,,,,,,,,,,,,,,,,,
204,PT09M56.00S,2023-01-05T01:43:27.2Z,2,REGULAR,rebound,defensive,[],1630631,,,1610612740,50,27,2023-01-05T01:43:29Z,1980000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:2),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,,,,,,,,,203.0,,,2.0,2.0,0.0,,,,,,
205,PT09M42.00S,2023-01-05T01:43:42.2Z,2,REGULAR,turnover,lost ball,[],1626195,,,1610612740,50,27,2023-01-05T01:43:52Z,1990000,False,,,0,,W. Hernangomez lost ball TURNOVER (1 TO),"[1626195, 1630586]",1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Garuba,1630586.0
206,PT09M42.00S,2023-01-05T01:43:42.2Z,2,REGULAR,steal,,[],1630586,,,1610612745,50,27,2023-01-05T01:43:46Z,2000000,False,,,0,,U. Garuba STEAL (1 STL),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
207,PT09M39.00S,2023-01-05T01:43:48.7Z,2,REGULAR,turnover,bad pass,[],1630586,,,1610612745,50,27,2023-01-05T01:44:24Z,2010000,False,,,0,,U. Garuba bad pass TURNOVER (4 TO),"[1630586, 1630700]",1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,4.0,Daniels,1630700.0
208,PT09M39.00S,2023-01-05T01:43:48.7Z,2,REGULAR,steal,,[],1630700,,,1610612740,50,27,2023-01-05T01:43:51Z,2020000,False,,,0,,D. Daniels STEAL (2 STL),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
209,PT09M36.00S,2023-01-05T01:43:54.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630631,91.27792378449409,3.9215686274509802,1610612740,53,27,2023-01-05T01:44:04Z,2030000,False,-230.0,29.0,1,right,J. Alvarado 3PT  (5 PTS) (D. Daniels 4 AST),"[1630631, 1630700]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Left Corner 3,24+ Left,23.23,Made,5.0,,,,,,,,,,,,D. Daniels,1630700.0,4.0,,,
211,PT09M36.00S,2023-01-05T01:44:07.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,53,27,2023-01-05T01:44:07Z,2050000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT09M36.00S,2023-01-05T01:44:39.3Z,2,REGULAR,substitution,out,[],1630700,,,1610612745,53,27,2023-01-05T01:46:25Z,2060000,False,,,0,,SUB out: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT09M36.00S,2023-01-05T01:44:39.3Z,2,REGULAR,substitution,out,[],1630586,,,1610612745,53,27,2023-01-05T01:46:25Z,2070000,False,,,0,,SUB out: U. Garuba,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT09M36.00S,2023-01-05T01:44:39.3Z,2,REGULAR,substitution,in,[],1628984,,,1610612745,53,27,2023-01-05T01:46:25Z,2080000,False,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT09M36.00S,2023-01-05T01:44:39.3Z,2,REGULAR,substitution,in,[],1628981,,,1610612745,53,27,2023-01-05T01:46:25Z,2090000,False,,,0,,SUB in: B. Fernando,[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT09M17.00S,2023-01-05T01:46:59.1Z,2,REGULAR,3pt,Jump Shot,[],1629645,9.149145860709593,94.85294117647058,1610612745,53,27,2023-01-05T01:47:29Z,2100000,False,-224.0,34.0,1,left,MISS K. Porter Jr. 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Left Corner 3,24+ Left,22.68,Missed,,,,,,,,,,,,,,,,,,
217,PT09M15.00S,2023-01-05T01:47:01.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612745,53,27,2023-01-05T01:47:06Z,2110000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,,216.0,,,,,,,,,,,
219,PT09M13.00S,2023-01-05T01:47:15.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629726,8.14717477003942,94.87591911764706,1610612745,53,27,2023-01-05T01:47:27Z,2130000,False,-224.0,24.0,1,left,MISS G. Mathews 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,Left Corner 3,24+ Left,22.57,Missed,,,,,,,,,,,,,,,,,,
220,PT09M08.00S,2023-01-05T01:47:20.8Z,2,REGULAR,rebound,offensive,[],1629645,,,1610612745,53,27,2023-01-05T01:47:29Z,2140000,False,,,0,,K. Porter Jr. REBOUND (Off:1 Def:0),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Left Corner 3,24+ Left,,,,,,,,,219.0,,,1.0,0.0,1.0,,,,,,
225,PT09M01.00S,2023-01-05T01:47:22.1Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance', 'defensivegoaltending']",1628981,4.07358738501971,50.268075980392155,1610612745,53,29,2023-01-05T01:48:43Z,2145000,False,-1.0,-14.0,1,left,B. Fernando cutting DUNK (2 PTS) (K. Porter Jr. 2 AST),"[1628981, 1629645]",1610612745.0,HOU,cutting,,,Fernando,B. Fernando,,,,,In The Paint (Non-RA),0-8 Center,1.43,Made,2.0,,,,,,,,,,,,K. Porter Jr.,1629645.0,2.0,,,
228,PT09M01.00S,2023-01-05T01:47:25.2Z,2,REGULAR,violation,defensive goaltending,[],1626195,,,1610612745,53,29,2023-01-05T01:48:59Z,2147500,False,,,0,,W. Hernangomez defensive goaltending VIOLATION,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,1626301.0,,,,,,,,,,,,,,,,
221,PT09M01.00S,2023-01-05T01:47:28.4Z,2,REGULAR,foul,personal,['1freethrow'],1626195,,,1610612745,53,29,2023-01-05T01:47:55Z,2150000,False,,,0,,W. Hernangomez shooting personal FOUL (1 PF) (Fernando 1 FT),"[1626195, 1628981]",1610612740.0,NOP,shooting,,,Hernangomez,W. Hernangomez,,,,,Restricted Area,0-8 Center,,,,1626300.0,1.0,0.0,Fernando,1628981.0,,,,,,,,,,,,
223,PT09M01.00S,2023-01-05T01:48:11.9Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1628981,,,1610612745,53,29,2023-01-05T01:48:11Z,2170000,False,,,0,,MISS B. Fernando Free Throw 1 of 1,[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
224,PT08M58.00S,2023-01-05T01:48:13.0Z,2,REGULAR,rebound,defensive,[],1626195,,,1610612740,53,29,2023-01-05T01:48:13Z,2180000,False,,,0,,W. Hernangomez REBOUND (Off:1 Def:1),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,223.0,,,2.0,1.0,1.0,,,,,,
226,PT08M38.00S,2023-01-05T01:48:33.4Z,2,REGULAR,3pt,Jump Shot,[],1630631,74.58935611038108,9.803921568627452,1610612740,56,29,2023-01-05T01:48:51Z,2190000,False,-201.0,186.0,1,right,J. Alvarado 27' 3PT  (8 PTS) (W. Hernangomez 1 AST),"[1630631, 1626195]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Left Center,27.41,Made,8.0,,,,,,,,,,,,W. Hernangomez,1626195.0,1.0,,,
229,PT08M25.00S,2023-01-05T01:48:46.4Z,2,REGULAR,2pt,Jump Shot,[],1631106,8.886333771353483,21.568627450980394,1610612745,56,29,2023-01-05T01:50:00Z,2210000,False,142.0,31.0,1,left,MISS T. Eason 14' pullup Shot,[1631106],1610612745.0,HOU,pullup,,,Eason,T. Eason,,,,,Mid-Range,8-16 Right,14.55,Missed,,,,,,,,,,,,,,,,,,
230,PT08M25.00S,2023-01-05T01:48:46.4Z,2,REGULAR,rebound,defensive,[],1626195,,,1610612740,56,29,2023-01-05T01:48:56Z,2220000,False,,,0,,W. Hernangomez REBOUND (Off:1 Def:2),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,Mid-Range,8-16 Right,,,,,,,,,229.0,,,3.0,2.0,1.0,,,,,,
231,PT08M08.00S,2023-01-05T01:49:05.5Z,2,REGULAR,foul,personal,['2freethrow'],1628981,,,1610612740,56,29,2023-01-05T01:49:15Z,2230000,False,,,0,,B. Fernando shooting personal FOUL (1 PF) (Hernangomez 2 FT),"[1628981, 1626195]",1610612745.0,HOU,shooting,,,Fernando,B. Fernando,,,,,Restricted Area,0-8 Center,,,,1626300.0,1.0,0.0,Hernangomez,1626195.0,,,,,,,,,,,,
233,PT08M08.00S,2023-01-05T01:49:31.5Z,2,REGULAR,freethrow,1 of 2,[],1626195,,,1610612740,57,29,2023-01-05T01:49:31Z,2250000,False,,,0,,W. Hernangomez Free Throw 1 of 2 (7 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
234,PT08M08.00S,2023-01-05T01:49:32.9Z,2,REGULAR,substitution,out,[],1631106,,,1610612740,57,29,2023-01-05T01:49:35Z,2260000,False,,,0,,SUB out: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT08M08.00S,2023-01-05T01:49:32.9Z,2,REGULAR,substitution,in,[],1631095,,,1610612740,57,29,2023-01-05T01:49:35Z,2270000,False,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT08M08.00S,2023-01-05T01:49:53.3Z,2,REGULAR,freethrow,2 of 2,[],1626195,,,1610612740,58,29,2023-01-05T01:49:53Z,2280000,False,,,0,,W. Hernangomez Free Throw 2 of 2 (8 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
237,PT07M57.00S,2023-01-05T01:50:06.5Z,2,REGULAR,3pt,Jump Shot,[],1629645,8.623521681997373,94.85294117647058,1610612745,58,32,2023-01-05T01:50:11Z,2290000,False,-224.0,29.0,1,left,K. Porter Jr. 3PT  (6 PTS) (J. Smith Jr. 1 AST),"[1629645, 1631095]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Left Corner 3,24+ Left,22.61,Made,6.0,,,,,,,,,,,,J. Smith Jr.,1631095.0,1.0,,,
239,PT07M44.00S,2023-01-05T01:50:20.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630631,84.83902759526939,49.754901960784316,1610612740,60,32,2023-01-05T01:50:24Z,2310000,False,-1.0,90.0,1,right,J. Alvarado 9' driving floating Jump Shot (10 PTS),[1630631],1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,9.0,Made,10.0,,,,,,,,,,,,,,,,,
240,PT07M31.00S,2023-01-05T01:50:32.6Z,2,REGULAR,turnover,bad pass,[],1629645,,,1610612745,60,32,2023-01-05T01:50:38Z,2320000,False,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 1626195]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Hernangomez,1626195.0
241,PT07M31.00S,2023-01-05T01:50:32.6Z,2,REGULAR,steal,,[],1626195,,,1610612740,60,32,2023-01-05T02:24:54Z,2330000,False,,,0,,W. Hernangomez STEAL (1 STL),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
242,PT07M27.00S,2023-01-05T01:50:36.8Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630631,77.21747700394218,9.803921568627452,1610612740,63,32,2023-01-05T01:51:33Z,2340000,False,-201.0,162.0,1,right,J. Alvarado 25' 3PT running (13 PTS) (J. Hayes 1 AST),"[1630631, 1629637]",1610612740.0,NOP,running,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Left Center,25.8,Made,13.0,,,,,,,,,,,,J. Hayes,1629637.0,1.0,,,
244,PT07M00.00S,2023-01-05T01:51:07.0Z,2,REGULAR,foul,personal,['2freethrow'],1630631,,,1610612745,63,32,2023-01-05T01:51:29Z,2360000,False,,,0,,J. Alvarado shooting personal FOUL (2 PF) (Smith Jr. 2 FT),"[1630631, 1631095]",1610612740.0,NOP,shooting,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,,,,1626300.0,2.0,0.0,Smith Jr.,1631095.0,,,,,,,,,,,,
246,PT07M00.00S,2023-01-05T01:51:47.8Z,2,REGULAR,freethrow,1 of 2,[],1631095,,,1610612745,63,33,2023-01-05T01:51:47Z,2380000,False,,,0,,J. Smith Jr. Free Throw 1 of 2 (5 PTS),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
247,PT07M00.00S,2023-01-05T01:51:48.7Z,2,REGULAR,substitution,out,[],1630230,,,1610612745,63,33,2023-01-05T01:52:03Z,2390000,False,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT07M00.00S,2023-01-05T01:51:48.7Z,2,REGULAR,substitution,out,[],1630631,,,1610612745,63,33,2023-01-05T01:52:03Z,2400000,False,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M00.00S,2023-01-05T01:51:48.7Z,2,REGULAR,substitution,out,[],1629726,,,1610612745,63,33,2023-01-05T01:52:03Z,2410000,False,,,0,,SUB out: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT07M00.00S,2023-01-05T01:51:48.7Z,2,REGULAR,substitution,in,[],203468,,,1610612745,63,33,2023-01-05T01:52:03Z,2420000,False,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT07M00.00S,2023-01-05T01:51:48.7Z,2,REGULAR,substitution,in,[],1630529,,,1610612745,63,33,2023-01-05T01:52:03Z,2430000,False,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT07M00.00S,2023-01-05T01:51:48.7Z,2,REGULAR,substitution,in,[],1630224,,,1610612745,63,33,2023-01-05T01:52:03Z,2440000,False,,,0,,SUB in: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT07M00.00S,2023-01-05T01:52:28.9Z,2,REGULAR,freethrow,2 of 2,[],1631095,,,1610612745,63,34,2023-01-05T01:52:29Z,2450000,False,,,0,,J. Smith Jr. Free Throw 2 of 2 (6 PTS),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
254,PT06M47.00S,2023-01-05T01:52:44.0Z,2,REGULAR,3pt,Jump Shot,[],203468,67.23061760840999,59.55882352941176,1610612740,63,34,2023-01-05T01:52:54Z,2460000,False,48.0,256.0,1,right,MISS C. McCollum 25' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,25.99,Missed,,,,,,,,,,,,,,,,,,
255,PT06M42.00S,2023-01-05T01:52:49.0Z,2,REGULAR,rebound,defensive,[],1628981,,,1610612745,63,34,2023-01-05T01:52:54Z,2470000,False,,,0,,B. Fernando REBOUND (Off:0 Def:1),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,Above the Break 3,24+ Center,,,,,,,,,254.0,,,1.0,1.0,0.0,,,,,,
256,PT06M39.00S,2023-01-05T01:52:54.0Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630224,10.200394218134035,50.0,1610612745,63,36,2023-01-05T01:54:32Z,2480000,False,0.0,43.0,1,left,J. Green running Layup (8 PTS),[1630224],1610612745.0,HOU,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,4.34,Made,8.0,,,,,,,,,,,,,,,,,
257,PT06M39.00S,2023-01-05T01:53:00.2Z,2,REGULAR,foul,personal,['1freethrow'],203468,,,1610612745,63,36,2023-01-05T01:53:13Z,2490000,False,,,0,,C. McCollum shooting personal FOUL (1 PF) (Green 1 FT),"[203468, 1630224]",1610612740.0,NOP,shooting,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,,2003.0,1.0,0.0,Green,1630224.0,,,,,,,,,,,,
259,PT06M39.00S,2023-01-05T01:53:14.7Z,2,REGULAR,substitution,out,[],1626195,,,1610612745,63,36,2023-01-05T01:53:51Z,2510000,False,,,0,,SUB out: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT06M39.00S,2023-01-05T01:53:14.7Z,2,REGULAR,substitution,out,[],1629645,,,1610612745,63,36,2023-01-05T01:53:51Z,2520000,False,,,0,,SUB out: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
