actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
170,PT12M00.00S,2026-01-21T01:40:23.8Z,2,REGULAR,period,start,[],0,,,1610612746,25,30,2026-01-21T01:40:23Z,1650000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT11M44.00S,2026-01-21T01:40:39.4Z,2,REGULAR,3pt,Jump Shot,[],201572,7.703679369250986,4.166666666666666,1610612746,25,30,2026-01-21T01:40:43Z,1660000,False,229.0,20.0,1,left,MISS B. Lopez 3PT,[201572],1610612746.0,LAC,,,,,,,Right Corner 3,24+ Right,23.01,Missed,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,
172,PT11M41.00S,2026-01-21T01:40:42.4Z,2,REGULAR,rebound,defensive,[],1630188,,,1610612741,25,30,2026-01-21T01:40:43Z,1670000,False,,,0,,J. Smith REBOUND (Off:2 Def:3),[1630188],1610612741.0,CHI,,,,,,,Right Corner 3,24+ Right,,,Smith,J. Smith,171.0,5.0,3.0,2.0,,,,,,,,,,,,,,
173,PT11M29.00S,2026-01-21T01:40:53.8Z,2,REGULAR,3pt,Jump Shot,[],1628989,68.80749014454665,64.2156862745098,1610612741,28,30,2026-01-21T01:40:57Z,1680000,False,71.0,241.0,1,right,K. Huerter 25' 3PT  (9 PTS) (C. White 1 AST),"[1628989, 1629632]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,25.1,Made,Huerter,K. Huerter,,,,,9.0,,,C. White,1629632.0,1.0,,,,,,,,
175,PT11M10.00S,2026-01-21T01:41:12.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641757,13.61695137976347,45.83333333333333,1610612746,28,32,2026-01-21T01:41:17Z,1700000,False,21.0,75.0,1,left,J. Miller 7' turnaround fadeaway Jump Shot (6 PTS) (K. Dunn 4 AST),"[1641757, 1627739]",1610612746.0,LAC,turnaround fadeaway,,,,,,In The Paint (Non-RA),0-8 Center,7.83,Made,Miller,J. Miller,,,,,6.0,,,K. Dunn,1627739.0,4.0,,,,,,,,
177,PT11M04.00S,2026-01-21T01:41:21.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,94.30026281208936,47.30392156862745,1610612741,30,32,2026-01-21T01:41:32Z,1720000,False,-13.0,1.0,1,right,C. White driving Layup (7 PTS),[1629632],1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,1.35,Made,White,C. White,,,,,7.0,,,,,,,,,,,,,
178,PT11M04.00S,2026-01-21T01:41:23.1Z,2,REGULAR,foul,personal,['1freethrow'],1641757,,,1610612741,30,32,2026-01-21T01:41:30Z,1730000,False,,,0,,J. Miller shooting personal FOUL (1 PF) (White 1 FT),"[1641757, 1629632]",1610612746.0,LAC,shooting,,,,,,Restricted Area,0-8 Center,,,Miller,J. Miller,,,,,,1628480.0,,,,,1.0,0.0,White,1629632.0,,,,
180,PT11M04.00S,2026-01-21T01:41:44.8Z,2,REGULAR,freethrow,1 of 1,[],1629632,,,1610612741,31,32,2026-01-21T01:41:44Z,1750000,False,,,0,,C. White Free Throw 1 of 1 (8 PTS),[1629632],1610612741.0,CHI,,,,,,,,,,Made,White,C. White,,,,,8.0,,,,,,,,,,,,,
181,PT10M53.00S,2026-01-21T01:41:56.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641757,19.004599211563733,48.28431372549019,1610612746,31,32,2026-01-21T01:42:03Z,1760000,False,9.0,126.0,1,left,MISS J. Miller 12' turnaround Shot,[1641757],1610612746.0,LAC,turnaround,,,,,,In The Paint (Non-RA),8-16 Center,12.64,Missed,Miller,J. Miller,,,,,,,,,,,,,,,,,,
182,PT10M52.00S,2026-01-21T01:42:01.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612741,31,32,2026-01-21T01:42:01Z,1770000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,181.0,,,,,,,,,,,,,,,,,
184,PT10M42.00S,2026-01-21T01:42:14.6Z,2,REGULAR,3pt,Jump Shot,[],1628989,94.95729303547962,97.30392156862744,1610612741,31,32,2026-01-21T01:42:20Z,1790000,False,237.0,-5.0,1,right,MISS K. Huerter 3PT,[1628989],1610612741.0,CHI,,,,,,,Right Corner 3,24+ Right,23.66,Missed,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,
185,PT10M39.00S,2026-01-21T01:42:17.6Z,2,REGULAR,rebound,defensive,[],201587,,,1610612746,31,32,2026-01-21T01:42:20Z,1800000,False,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,,,,Right Corner 3,24+ Right,,,Batum,N. Batum,184.0,1.0,1.0,0.0,,,,,,,,,,,,,,
186,PT10M32.00S,2026-01-21T01:42:24.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],201587,19.004599211563733,7.352941176470589,1610612746,31,32,2026-01-21T01:45:40Z,1810000,False,213.0,126.0,1,left,MISS N. Batum 24' running 3PT,[201587],1610612746.0,LAC,running,,,,,,Above the Break 3,24+ Right Center,24.77,Missed,Batum,N. Batum,,,,,,,,,,,,,,,,,,
187,PT10M30.00S,2026-01-21T01:42:26.3Z,2,REGULAR,rebound,defensive,[],202696,,,1610612741,31,32,2026-01-21T01:42:27Z,1820000,False,,,0,,N. Vučević REBOUND (Off:3 Def:3),[202696],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,Vučević,N. Vučević,186.0,6.0,3.0,3.0,,,,,,,,,,,,,,
188,PT10M17.00S,2026-01-21T01:42:40.0Z,2,REGULAR,turnover,lost ball,[],1629632,,,1610612741,31,32,2026-01-21T01:42:43Z,1830000,False,,,0,,C. White lost ball TURNOVER (1 TO),"[1629632, 201587]",1610612741.0,CHI,,,,,,,Mid-Range,16-24 Left Center,,,White,C. White,,,,,,,1.0,,,,,,,,Batum,201587.0,,
189,PT10M17.00S,2026-01-21T01:42:40.0Z,2,REGULAR,steal,,[],201587,,,1610612746,31,32,2026-01-21T01:43:12Z,1840000,False,,,0,,N. Batum STEAL (1 STL),[201587],1610612746.0,LAC,,,,,,,Mid-Range,16-24 Left Center,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,
190,PT10M11.00S,2026-01-21T01:42:44.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642353,5.601182654402102,50.73529411764706,1610612746,31,34,2026-01-21T01:42:50Z,1850000,False,-4.0,0.0,1,left,C. Christie running Layup (2 PTS) (J. Miller 2 AST),"[1642353, 1641757]",1610612746.0,LAC,running,,,,,,Restricted Area,0-8 Center,0.37,Made,Christie,C. Christie,,,,,2.0,,,J. Miller,1641757.0,2.0,,,,,,,,
192,PT10M00.00S,2026-01-21T01:42:56.2Z,2,REGULAR,3pt,Jump Shot,[],1630200,81.94809461235218,6.372549019607843,1610612741,34,34,2026-01-21T01:42:59Z,1870000,False,-218.0,117.0,1,right,T. Jones 24' 3PT  (5 PTS) (K. Huerter 1 AST),"[1630200, 1628989]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,24.76,Made,Jones,T. Jones,,,,,5.0,,,K. Huerter,1628989.0,1.0,,,,,,,,
194,PT09M35.00S,2026-01-21T01:43:21.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627739,8.492115637319317,48.03921568627451,1610612746,34,34,2026-01-21T01:47:30Z,1890000,False,10.0,27.0,1,left,MISS K. Dunn driving finger roll Layup,[1627739],1610612746.0,LAC,driving finger roll,,,,,,Restricted Area,0-8 Center,2.9,Missed,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,
195,PT09M33.00S,2026-01-21T01:43:23.5Z,2,REGULAR,rebound,defensive,[],1630188,,,1610612741,34,34,2026-01-21T01:43:28Z,1900000,False,,,0,,J. Smith REBOUND (Off:2 Def:4),[1630188],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,Smith,J. Smith,194.0,6.0,4.0,2.0,,,,,,,,,,,,,,
196,PT09M30.00S,2026-01-21T01:43:26.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629632,69.72733245729303,70.09803921568627,1610612741,34,34,2026-01-21T01:47:41Z,1910000,False,100.0,232.0,1,right,MISS C. White 25' running pullup 3PT,[1629632],1610612741.0,CHI,running pullup,,,,,,Above the Break 3,24+ Right Center,25.29,Missed,White,C. White,,,,,,,,,,,,,,,,,,
197,PT09M30.00S,2026-01-21T01:43:26.0Z,2,REGULAR,rebound,defensive,[],1641757,,,1610612746,34,34,2026-01-21T01:43:31Z,1920000,False,,,0,,J. Miller REBOUND (Off:0 Def:1),[1641757],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Right Center,,,Miller,J. Miller,196.0,1.0,1.0,0.0,,,,,,,,,,,,,,
198,PT09M18.00S,2026-01-21T01:43:38.3Z,2,REGULAR,3pt,Jump Shot,[],201572,26.49474375821288,17.892156862745097,1610612746,34,34,2026-01-21T01:43:45Z,1930000,False,161.0,197.0,1,left,MISS B. Lopez 25' bank 3PT,[201572],1610612746.0,LAC,bank,,,,,,Above the Break 3,24+ Right Center,25.38,Missed,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,
199,PT09M13.00S,2026-01-21T01:43:43.3Z,2,REGULAR,rebound,defensive,[],1630200,,,1610612741,34,34,2026-01-21T01:43:45Z,1940000,False,,,0,,T. Jones REBOUND (Off:1 Def:2),[1630200],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,Jones,T. Jones,198.0,3.0,2.0,1.0,,,,,,,,,,,,,,
200,PT09M08.00S,2026-01-21T01:43:48.2Z,2,REGULAR,3pt,Jump Shot,[],1630188,71.96123521681997,21.323529411764707,1610612741,34,34,2026-01-21T01:48:19Z,1950000,False,-143.0,211.0,1,right,MISS J. Smith 25' 3PT,[1630188],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,25.52,Missed,Smith,J. Smith,,,,,,,,,,,,,,,,,,
201,PT09M03.00S,2026-01-21T01:43:53.2Z,2,REGULAR,rebound,offensive,[],1630200,,,1610612741,34,34,2026-01-21T01:43:55Z,1960000,False,,,0,,T. Jones REBOUND (Off:2 Def:2),[1630200],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,Jones,T. Jones,200.0,4.0,2.0,2.0,,,,,,,,,,,,,,
202,PT09M03.00S,2026-01-21T01:43:53.3Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630200,94.40999984741211,50.0,1610612741,36,34,2026-01-21T01:49:10Z,1970000,False,0.0,0.0,1,right,T. Jones putback Layup (7 PTS),[1630200],1610612741.0,CHI,putback,,,,,,Restricted Area,0-8 Center,0.0,Made,Jones,T. Jones,,,,,7.0,,,,,,,,,,,,,
203,PT08M49.00S,2026-01-21T01:44:07.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641757,12.565703022339028,52.20588235294118,1610612746,36,36,2026-01-21T01:44:15Z,1980000,False,-11.0,66.0,1,left,J. Miller 6' floating Jump Shot (8 PTS) (K. Dunn 5 AST),"[1641757, 1627739]",1610612746.0,LAC,floating,,,,,,In The Paint (Non-RA),0-8 Center,6.65,Made,Miller,J. Miller,,,,,8.0,,,K. Dunn,1627739.0,5.0,,,,,,,,
205,PT08M29.00S,2026-01-21T01:44:27.6Z,2,REGULAR,turnover,lost ball,[],1629632,,,1610612741,36,36,2026-01-21T01:44:33Z,2000000,False,,,0,,C. White lost ball TURNOVER (2 TO),"[1629632, 1642353]",1610612741.0,CHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,White,C. White,,,,,,,2.0,,,,,,,,Christie,1642353.0,,
206,PT08M29.00S,2026-01-21T01:44:27.6Z,2,REGULAR,steal,,[],1642353,,,1610612746,36,36,2026-01-21T01:44:29Z,2010000,False,,,0,,C. Christie STEAL (1 STL),[1642353],1610612746.0,LAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Christie,C. Christie,,,,,,,,,,,,,,,,,,
208,PT08M25.00S,2026-01-21T01:44:33.7Z,2,REGULAR,substitution,out,[],1628989,,,1610612746,36,36,2026-01-21T01:44:50Z,2030000,False,,,0,,SUB out: K. Huerter,[1628989],1610612741.0,CHI,,,,,,,,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,
209,PT08M25.00S,2026-01-21T01:44:33.7Z,2,REGULAR,substitution,out,[],1630188,,,1610612746,36,36,2026-01-21T01:44:50Z,2040000,False,,,0,,SUB out: J. Smith,[1630188],1610612741.0,CHI,,,,,,,,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,
210,PT08M25.00S,2026-01-21T01:44:33.7Z,2,REGULAR,substitution,out,[],1630200,,,1610612746,36,36,2026-01-21T01:44:50Z,2050000,False,,,0,,SUB out: T. Jones,[1630200],1610612741.0,CHI,,,,,,,,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,
211,PT08M25.00S,2026-01-21T01:44:33.7Z,2,REGULAR,substitution,out,[],201572,,,1610612746,36,36,2026-01-21T01:44:50Z,2060000,False,,,0,,SUB out: B. Lopez,[201572],1610612746.0,LAC,,,,,,,,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,
212,PT08M25.00S,2026-01-21T01:44:33.7Z,2,REGULAR,substitution,out,[],201587,,,1610612746,36,36,2026-01-21T01:44:50Z,2070000,False,,,0,,SUB out: N. Batum,[201587],1610612746.0,LAC,,,,,,,,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,
213,PT08M25.00S,2026-01-21T01:44:33.7Z,2,REGULAR,substitution,in,[],1630245,,,1610612746,36,36,2026-01-21T01:44:50Z,2080000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,,,,,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,
214,PT08M25.00S,2026-01-21T01:44:33.7Z,2,REGULAR,substitution,in,[],1631207,,,1610612746,36,36,2026-01-21T01:44:50Z,2090000,False,,,0,,SUB in: D. Terry,[1631207],1610612741.0,CHI,,,,,,,,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,
215,PT08M25.00S,2026-01-21T01:44:33.7Z,2,REGULAR,substitution,in,[],1641824,,,1610612746,36,36,2026-01-21T01:44:50Z,2100000,False,,,0,,SUB in: M. Buzelis,[1641824],1610612741.0,CHI,,,,,,,,,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,
216,PT08M25.00S,2026-01-21T01:44:33.7Z,2,REGULAR,substitution,in,[],1627826,,,1610612746,36,36,2026-01-21T01:44:50Z,2110000,False,,,0,,SUB in: I. Zubac,[1627826],1610612746.0,LAC,,,,,,,,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,
217,PT08M25.00S,2026-01-21T01:44:33.7Z,2,REGULAR,substitution,in,[],1628381,,,1610612746,36,36,2026-01-21T01:44:50Z,2120000,False,,,0,,SUB in: J. Collins,[1628381],1610612746.0,LAC,,,,,,,,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,
218,PT08M18.00S,2026-01-21T01:45:09.1Z,2,REGULAR,foul,personal,['2freethrow'],202696,,,1610612746,36,36,2026-01-21T01:45:15Z,2130000,False,,,0,,N. Vučević shooting personal FOUL (1 PF) (Zubac 2 FT),"[202696, 1627826]",1610612741.0,CHI,shooting,,,,,,Restricted Area,0-8 Center,,,Vučević,N. Vučević,,,,,,201638.0,,,,,1.0,0.0,Zubac,1627826.0,,,,
220,PT08M18.00S,2026-01-21T01:45:37.5Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1627826,,,1610612746,36,36,2026-01-21T01:45:37Z,2150000,False,,,0,,MISS I. Zubac Free Throw 1 of 2,[1627826],1610612746.0,LAC,,,,,,,,,,Missed,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,
221,PT08M18.00S,2026-01-21T01:45:37.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612746,36,36,2026-01-21T01:45:37Z,2160000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,,
222,PT08M18.00S,2026-01-21T01:45:51.7Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1627826,,,1610612746,36,37,2026-01-21T01:45:51Z,2170000,False,,,0,,I. Zubac Free Throw 2 of 2 (3 PTS),[1627826],1610612746.0,LAC,,,,,,,,,,Made,Zubac,I. Zubac,,,,,3.0,,,,,,,,,,,,,
223,PT08M03.00S,2026-01-21T01:46:08.1Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202696,89.56964520367937,36.76470588235294,1610612741,38,37,2026-01-21T01:46:12Z,2180000,False,-66.0,46.0,1,right,N. Vučević 8' turnaround Hook (4 PTS),[202696],1610612741.0,CHI,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,8.03,Made,Vučević,N. Vučević,,,,,4.0,,,,,,,,,,,,,
224,PT07M47.00S,2026-01-21T01:46:24.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627739,7.30946123521682,40.44117647058824,1610612746,38,37,2026-01-21T01:46:30Z,2190000,False,48.0,16.0,1,left,MISS K. Dunn driving floating bank Shot,[1627739],1610612746.0,LAC,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,5.05,Missed,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,
225,PT07M45.00S,2026-01-21T01:46:26.5Z,2,REGULAR,rebound,defensive,[],202696,,,1610612741,38,37,2026-01-21T01:46:30Z,2200000,False,,,0,,N. Vučević REBOUND (Off:3 Def:4),[202696],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,Vučević,N. Vučević,224.0,7.0,4.0,3.0,,,,,,,,,,,,,,
226,PT07M42.00S,2026-01-21T01:46:29.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630245,74.72076215505913,86.02941176470588,1610612741,41,37,2026-01-21T01:46:34Z,2210000,False,180.0,185.0,1,right,A. Dosunmu 25' 3PT running (3 PTS) (C. White 2 AST),"[1630245, 1629632]",1610612741.0,CHI,running,,,,,,Above the Break 3,24+ Right Center,25.83,Made,Dosunmu,A. Dosunmu,,,,,3.0,,,C. White,1629632.0,2.0,,,,,,,,
228,PT07M19.00S,2026-01-21T01:46:52.4Z,2,REGULAR,turnover,bad pass,[],1642353,,,1610612746,41,37,2026-01-21T01:46:57Z,2230000,False,,,0,,C. Christie bad pass TURNOVER (1 TO),"[1642353, 1631207]",1610612746.0,LAC,,,,,,,Mid-Range,8-16 Left,,,Christie,C. Christie,,,,,,,1.0,,,,,,,,Terry,1631207.0,,
229,PT07M19.00S,2026-01-21T01:46:52.4Z,2,REGULAR,steal,,[],1631207,,,1610612741,41,37,2026-01-21T01:46:54Z,2240000,False,,,0,,D. Terry STEAL (1 STL),[1631207],1610612741.0,CHI,,,,,,,Mid-Range,8-16 Left,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,
230,PT07M15.00S,2026-01-21T01:46:56.5Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641824,94.03745072273325,50.98039215686274,1610612741,43,37,2026-01-21T01:47:04Z,2250000,False,5.0,4.0,1,right,M. Buzelis running alley-oop DUNK (6 PTS) (D. Terry 1 AST),"[1641824, 1631207]",1610612741.0,CHI,running alley-oop,,,,,,Restricted Area,0-8 Center,0.6,Made,Buzelis,M. Buzelis,,,,,6.0,,,D. Terry,1631207.0,1.0,,,,,,,,
232,PT06M48.00S,2026-01-21T01:47:23.4Z,2,REGULAR,turnover,lost ball,[],1641757,,,1610612746,43,37,2026-01-21T01:47:28Z,2270000,False,,,0,,J. Miller lost ball TURNOVER (1 TO),"[1641757, 1641824]",1610612746.0,LAC,,,,,,,In The Paint (Non-RA),8-16 Center,,,Miller,J. Miller,,,,,,,1.0,,,,,,,,Buzelis,1641824.0,,
233,PT06M48.00S,2026-01-21T01:47:23.4Z,2,REGULAR,steal,,[],1641824,,,1610612741,43,37,2026-01-21T01:47:25Z,2280000,False,,,0,,M. Buzelis STEAL (1 STL),[1641824],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,
234,PT06M38.00S,2026-01-21T01:47:33.4Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",202696,93.38042049934296,50.245098039215684,1610612741,45,37,2026-01-21T01:47:37Z,2290000,False,1.0,10.0,1,right,N. Vučević driving DUNK (6 PTS) (D. Terry 2 AST),"[202696, 1631207]",1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,0.98,Made,Vučević,N. Vučević,,,,,6.0,,,D. Terry,1631207.0,2.0,,,,,,,,
236,PT06M37.00S,2026-01-21T01:47:42.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,45,37,2026-01-21T01:47:42Z,2310000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M37.00S,2026-01-21T01:50:07.6Z,2,REGULAR,substitution,out,[],1642353,,,1610612746,45,37,2026-01-21T01:50:19Z,2320000,False,,,0,,SUB out: C. Christie,[1642353],1610612746.0,LAC,,,,,,,,,,,Christie,C. Christie,,,,,,,,,,,,,,,,,,
238,PT06M37.00S,2026-01-21T01:50:07.6Z,2,REGULAR,substitution,out,[],1641757,,,1610612746,45,37,2026-01-21T01:50:19Z,2330000,False,,,0,,SUB out: J. Miller,[1641757],1610612746.0,LAC,,,,,,,,,,,Miller,J. Miller,,,,,,,,,,,,,,,,,,
239,PT06M37.00S,2026-01-21T01:50:07.6Z,2,REGULAR,substitution,in,[],1642920,,,1610612746,45,37,2026-01-21T01:50:19Z,2340000,False,,,0,,SUB in: K. Sanders,[1642920],1610612746.0,LAC,,,,,,,,,,,Sanders,K. Sanders,,,,,,,,,,,,,,,,,,
240,PT06M37.00S,2026-01-21T01:50:07.6Z,2,REGULAR,substitution,in,[],201935,,,1610612746,45,37,2026-01-21T01:50:19Z,2350000,False,,,0,,SUB in: J. Harden,[201935],1610612746.0,LAC,,,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,
241,PT06M13.00S,2026-01-21T01:50:55.4Z,2,REGULAR,3pt,Jump Shot,[],201935,31.35676741130092,60.29411764705882,1610612746,45,37,2026-01-21T01:51:00Z,2360000,False,-51.0,242.0,1,left,MISS J. Harden 24' step back 3PT,[201935],1610612746.0,LAC,step back,,,,,,Above the Break 3,24+ Center,24.77,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,,
242,PT06M13.00S,2026-01-21T01:50:55.4Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612741,45,37,2026-01-21T01:51:00Z,2370000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,,,,,241.0,,,,,,,,,,,,,,,,,
244,PT06M00.00S,2026-01-21T01:51:18.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631207,96.5341655716163,61.76470588235294,1610612741,47,37,2026-01-21T01:52:31Z,2390000,False,59.0,-20.0,1,right,D. Terry 6' driving floating Jump Shot (5 PTS) (M. Buzelis 2 AST),"[1631207, 1641824]",1610612741.0,CHI,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,6.21,Made,Terry,D. Terry,,,,,5.0,,,M. Buzelis,1641824.0,2.0,,,,,,,,
246,PT05M47.00S,2026-01-21T01:51:31.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201935,7.966491458607096,54.90196078431373,1610612746,47,39,2026-01-21T01:51:36Z,2410000,False,-25.0,22.0,1,left,J. Harden driving finger roll Layup (14 PTS),[201935],1610612746.0,LAC,driving finger roll,,,,,,Restricted Area,0-8 Center,3.32,Made,Harden,J. Harden,,,,,14.0,,,,,,,,,,,,,
248,PT05M30.00S,2026-01-21T01:51:47.5Z,2,REGULAR,3pt,Jump Shot,[],1641824,92.19776609724047,96.56862745098039,1610612741,47,39,2026-01-21T01:51:51Z,2430000,False,233.0,21.0,1,right,MISS M. Buzelis 3PT,[1641824],1610612741.0,CHI,,,,,,,Right Corner 3,24+ Right,23.37,Missed,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,
249,PT05M28.00S,2026-01-21T01:51:49.5Z,2,REGULAR,rebound,defensive,[],1627739,,,1610612746,47,39,2026-01-21T01:51:51Z,2440000,False,,,0,,K. Dunn REBOUND (Off:0 Def:3),[1627739],1610612746.0,LAC,,,,,,,Right Corner 3,24+ Right,,,Dunn,K. Dunn,248.0,3.0,3.0,0.0,,,,,,,,,,,,,,
250,PT05M26.00S,2026-01-21T01:51:52.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628381,6.521024967148489,54.166666666666664,1610612746,47,41,2026-01-21T01:51:57Z,2450000,False,-21.0,9.0,1,left,J. Collins running Layup (10 PTS) (K. Dunn 6 AST),"[1628381, 1627739]",1610612746.0,LAC,running,,,,,,Restricted Area,0-8 Center,2.26,Made,Collins,J. Collins,,,,,10.0,,,K. Dunn,1627739.0,6.0,,,,,,,,
252,PT05M11.00S,2026-01-21T01:52:07.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,89.17542706964521,47.30392156862745,1610612741,49,41,2026-01-21T01:52:12Z,2470000,False,-13.0,49.0,1,right,N. Vučević driving floating Jump Shot (8 PTS) (C. White 3 AST),"[202696, 1629632]",1610612741.0,CHI,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,5.11,Made,Vučević,N. Vučević,,,,,8.0,,,C. White,1629632.0,3.0,,,,,,,,
255,PT04M54.00S,2026-01-21T01:52:26.9Z,2,REGULAR,substitution,out,[],1629632,,,1610612746,49,41,2026-01-21T01:52:36Z,2500000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,,,,,,,,White,C. White,,,,,,,,,,,,,,,,,,
256,PT04M54.00S,2026-01-21T01:52:26.9Z,2,REGULAR,substitution,out,[],202696,,,1610612746,49,41,2026-01-21T01:52:36Z,2510000,False,,,0,,SUB out: N. Vučević,[202696],1610612741.0,CHI,,,,,,,,,,,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,
257,PT04M54.00S,2026-01-21T01:52:26.9Z,2,REGULAR,substitution,in,[],1630188,,,1610612746,49,41,2026-01-21T01:52:36Z,2520000,False,,,0,,SUB in: J. Smith,[1630188],1610612741.0,CHI,,,,,,,,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,
258,PT04M54.00S,2026-01-21T01:52:26.9Z,2,REGULAR,substitution,in,[],1630200,,,1610612746,49,41,2026-01-21T01:52:36Z,2530000,False,,,0,,SUB in: T. Jones,[1630200],1610612741.0,CHI,,,,,,,,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,
