actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
181,PT00M05.90S,2026-02-20T01:47:16.4Z,1,REGULAR,substitution,in,[],1630171,,,1610612761,23,25,2026-02-20T01:47:20Z,1790000,False,,,0,,SUB in: I. Okoro,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT00M00.80S,2026-02-20T01:47:31.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630193,6.652431011826544,79.16666666666666,1610612761,23,25,2026-02-20T01:49:31Z,1795000,False,-146.0,10.0,1,left,MISS I. Quickley 14' driving floating Shot,[1630193],1610612761.0,TOR,driving floating,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Left,,,,14.61,Missed,,,,,,,,,,,,,,,
184,PT00M00.80S,2026-02-20T01:47:31.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,23,25,2026-02-20T01:48:39Z,1797500,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,183.0,,,,,,,,,,,,,
182,PT00M00.00S,2026-02-20T01:47:46.2Z,1,REGULAR,period,end,[],0,,,1610612761,23,25,2026-02-20T01:47:46Z,1800000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2026-02-20T01:50:02.4Z,2,REGULAR,substitution,out,['startperiod'],1630171,,,1610612761,23,25,2026-02-20T01:50:24Z,1810000,False,,,0,,SUB out: I. Okoro,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2026-02-20T01:50:02.4Z,2,REGULAR,substitution,out,['startperiod'],1642266,,,1610612761,23,25,2026-02-20T01:50:24Z,1820000,False,,,0,,SUB out: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2026-02-20T01:50:02.4Z,2,REGULAR,substitution,out,['startperiod'],1627751,,,1610612761,23,25,2026-02-20T01:50:24Z,1830000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2026-02-20T01:50:02.4Z,2,REGULAR,substitution,out,['startperiod'],1642347,,,1610612761,23,25,2026-02-20T01:50:24Z,1840000,False,,,0,,SUB out: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2026-02-20T01:50:02.4Z,2,REGULAR,substitution,in,['startperiod'],1642265,,,1610612761,23,25,2026-02-20T01:50:24Z,1850000,False,,,0,,SUB in: R. Dillingham,[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT12M00.00S,2026-02-20T01:50:02.4Z,2,REGULAR,substitution,in,['startperiod'],1642867,,,1610612761,23,25,2026-02-20T01:50:24Z,1860000,False,,,0,,SUB in: C. Murray-Boyles,[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT12M00.00S,2026-02-20T01:50:02.4Z,2,REGULAR,substitution,in,['startperiod'],1641711,,,1610612761,23,25,2026-02-20T01:50:24Z,1870000,False,,,0,,SUB in: G. Dick,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT12M00.00S,2026-02-20T01:50:02.4Z,2,REGULAR,substitution,in,['startperiod'],1629628,,,1610612761,23,25,2026-02-20T01:50:24Z,1880000,False,,,0,,SUB in: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT12M00.00S,2026-02-20T01:50:23.5Z,2,REGULAR,period,start,[],0,,,1610612761,23,25,2026-02-20T01:50:24Z,1890000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT11M36.00S,2026-02-20T01:50:46.9Z,2,REGULAR,3pt,Jump Shot,[],1630193,27.020367936925098,80.63725490196079,1610612761,23,25,2026-02-20T01:50:51Z,1900000,False,-153.0,201.0,1,left,MISS I. Quickley 25' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,,25.31,Missed,,,,,,,,,,,,,,,
195,PT11M32.00S,2026-02-20T01:50:50.9Z,2,REGULAR,rebound,defensive,[],1642265,,,1610612741,23,25,2026-02-20T01:50:51Z,1910000,False,,,0,,R. Dillingham REBOUND (Off:0 Def:1),[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,Above the Break 3,24+ Left Center,,,,,,,194.0,1.0,1.0,0.0,,,,,,,,,,
196,PT11M24.00S,2026-02-20T01:50:58.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641824,89.70105124835742,47.05882352941176,1610612741,25,25,2026-02-20T01:51:01Z,1920000,False,-15.0,44.0,1,right,M. Buzelis driving floating Jump Shot (2 PTS) (R. Dillingham 1 AST),"[1641824, 1642265]",1610612741.0,CHI,driving floating,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,,,,4.67,Made,2.0,,,,,,R. Dillingham,1642265.0,1.0,,,,,,
198,PT11M08.00S,2026-02-20T01:51:14.1Z,2,REGULAR,3pt,Jump Shot,[],1641711,10.726018396846255,3.6764705882352944,1610612761,25,25,2026-02-20T01:51:18Z,1940000,False,232.0,48.0,1,left,MISS G. Dick 3PT,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Right Corner 3,24+ Right,,,,23.66,Missed,,,,,,,,,,,,,,,
199,PT11M06.00S,2026-02-20T01:51:16.1Z,2,REGULAR,rebound,defensive,[],1630172,,,1610612741,25,25,2026-02-20T01:51:18Z,1950000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,,,,,,,198.0,1.0,1.0,0.0,,,,,,,,,,
200,PT10M59.00S,2026-02-20T01:51:23.0Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630172,91.14651773981603,43.13725490196079,1610612741,27,25,2026-02-20T01:52:50Z,1960000,False,-34.0,31.0,1,right,P. Williams running Layup (2 PTS),[1630172],1610612741.0,CHI,running,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,4.6,Made,2.0,,,,,,,,,,,,,,
201,PT10M50.00S,2026-02-20T01:51:33.2Z,2,REGULAR,3pt,Jump Shot,[],1630567,31.750985545335087,33.33333333333333,1610612761,27,25,2026-02-20T01:51:37Z,1970000,False,83.0,246.0,1,left,MISS S. Barnes 25' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,25.97,Missed,,,,,,,,,,,,,,,
202,PT10M47.00S,2026-02-20T01:51:36.2Z,2,REGULAR,rebound,offensive,[],1641711,,,1610612761,27,25,2026-02-20T01:51:36Z,1980000,False,,,0,,G. Dick REBOUND (Off:1 Def:0),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Above the Break 3,24+ Right Center,,,,,,,201.0,1.0,0.0,1.0,,,,,,,,,,
204,PT10M43.00S,2026-02-20T01:51:40.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'defensivegoaltending']",1642867,6.1268068331143235,53.431372549019606,1610612761,27,27,2026-02-20T01:54:10Z,2000000,False,-17.0,5.0,1,left,C. Murray-Boyles cutting Layup (4 PTS) (I. Quickley 2 AST),"[1642867, 1630193]",1610612761.0,TOR,cutting,,,Murray-Boyles,C. Murray-Boyles,,,,,Restricted Area,0-8 Center,,,,1.79,Made,4.0,,,,,,I. Quickley,1630193.0,2.0,,,,,,
206,PT10M43.00S,2026-02-20T01:51:48.4Z,2,REGULAR,violation,defensive goaltending,[],1630188,,,1610612761,27,27,2026-02-20T01:51:59Z,2020000,False,,,0,,J. Smith defensive goaltending VIOLATION,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,200834.0,,,,,,,,,
208,PT10M28.00S,2026-02-20T01:52:10.7Z,2,REGULAR,3pt,Jump Shot,[],1629012,74.98357424441524,15.441176470588236,1610612741,30,27,2026-02-20T01:52:14Z,2030000,False,-173.0,183.0,1,right,C. Sexton 25' 3PT  (7 PTS) (R. Dillingham 2 AST),"[1629012, 1642265]",1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,,,,25.15,Made,7.0,,,,,,R. Dillingham,1642265.0,2.0,,,,,,
210,PT10M16.00S,2026-02-20T01:52:23.2Z,2,REGULAR,2pt,Jump Shot,[],1630567,11.251642575558476,77.45098039215686,1610612761,30,29,2026-02-20T01:52:28Z,2050000,False,-137.0,53.0,1,left,S. Barnes 14' turnaround Jump Shot (4 PTS),[1630567],1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,,14.73,Made,4.0,,,,,,,,,,,,,,
211,PT09M58.00S,2026-02-20T01:52:40.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,94.03745072273325,54.166666666666664,1610612741,30,29,2026-02-20T01:52:46Z,2060000,False,21.0,4.0,1,right,MISS J. Smith driving Layup,[1630188],1610612741.0,CHI,driving,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,2.11,Missed,,,,,,,,,,,,,,,
212,PT09M56.00S,2026-02-20T01:52:42.5Z,2,REGULAR,rebound,defensive,[],1630193,,,1610612761,30,29,2026-02-20T01:52:46Z,2070000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,,,,211.0,1.0,1.0,0.0,,,,,,,,,,
214,PT09M51.00S,2026-02-20T01:52:47.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641711,6.521024967148489,48.28431372549019,1610612761,30,29,2026-02-20T01:52:51Z,2080000,False,9.0,9.0,1,left,MISS G. Dick running Layup,[1641711],1610612761.0,TOR,running,,,Dick,G. Dick,,,,,Restricted Area,0-8 Center,,,,1.23,Missed,,,,,,,,,,,,,,,
215,PT09M49.00S,2026-02-20T01:52:49.6Z,2,REGULAR,rebound,defensive,[],1641824,,,1610612741,30,29,2026-02-20T01:52:51Z,2090000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:3),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,,214.0,3.0,3.0,0.0,,,,,,,,,,
216,PT09M44.00S,2026-02-20T01:52:54.6Z,2,REGULAR,turnover,lost ball,[],1641824,,,1610612741,30,29,2026-02-20T01:52:58Z,2100000,False,,,0,,M. Buzelis lost ball TURNOVER (3 TO),"[1641824, 1641711]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Mid-Range,8-16 Center,3.0,Dick,1641711.0,,,,,,,,,,,,,,,,,
217,PT09M44.00S,2026-02-20T01:52:54.6Z,2,REGULAR,steal,,[],1641711,,,1610612761,30,29,2026-02-20T01:58:45Z,2110000,False,,,0,,G. Dick STEAL (1 STL),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
218,PT09M42.00S,2026-02-20T01:52:58.5Z,2,REGULAR,turnover,out-of-bounds,[],1630567,,,1610612761,30,29,2026-02-20T01:53:04Z,2120000,False,,,0,,S. Barnes bad pass out-of-bounds TURNOVER (2 TO),[1630567],1610612761.0,TOR,bad pass,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,2.0,,,,,,,,,,200834.0,,,,,,,,,
219,PT09M42.00S,2026-02-20T01:53:02.1Z,2,REGULAR,substitution,out,[],1629012,,,1610612741,30,29,2026-02-20T01:53:17Z,2130000,False,,,0,,SUB out: C. Sexton,[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT09M42.00S,2026-02-20T01:53:02.1Z,2,REGULAR,substitution,out,[],1642265,,,1610612741,30,29,2026-02-20T01:53:17Z,2140000,False,,,0,,SUB out: R. Dillingham,[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT09M42.00S,2026-02-20T01:53:02.1Z,2,REGULAR,substitution,in,[],1629014,,,1610612741,30,29,2026-02-20T01:53:17Z,2150000,False,,,0,,SUB in: A. Simons,[1629014],1610612741.0,CHI,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT09M42.00S,2026-02-20T01:53:02.1Z,2,REGULAR,substitution,in,[],1630581,,,1610612741,30,29,2026-02-20T01:53:17Z,2160000,False,,,0,,SUB in: J. Giddey,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT09M30.00S,2026-02-20T01:53:38.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630172,70.12155059132719,20.588235294117645,1610612741,30,29,2026-02-20T01:53:43Z,2170000,False,-147.0,228.0,1,right,MISS P. Williams 27' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,,27.17,Missed,,,,,,,,,,,,,,,
224,PT09M26.00S,2026-02-20T01:53:42.6Z,2,REGULAR,rebound,defensive,[],1630567,,,1610612761,30,29,2026-02-20T01:53:43Z,2180000,False,,,0,,S. Barnes REBOUND (Off:0 Def:3),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,,223.0,3.0,3.0,0.0,,,,,,,,,,
225,PT09M19.00S,2026-02-20T01:53:48.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,5.995400788436268,50.49019607843137,1610612761,30,31,2026-02-20T01:53:51Z,2190000,False,-2.0,4.0,1,left,S. Barnes driving Layup (6 PTS),[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,0.46,Made,6.0,,,,,,,,,,,,,,
226,PT09M09.00S,2026-02-20T01:53:59.7Z,2,REGULAR,turnover,bad pass,[],1630188,,,1610612741,30,31,2026-02-20T01:54:03Z,2200000,False,,,0,,J. Smith bad pass TURNOVER (1 TO),"[1630188, 1629628]",1610612741.0,CHI,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Center,1.0,Barrett,1629628.0,,,,,,,,,,,,,,,,,
227,PT09M09.00S,2026-02-20T01:53:59.7Z,2,REGULAR,steal,,[],1629628,,,1610612761,30,31,2026-02-20T01:54:01Z,2210000,False,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
228,PT08M59.00S,2026-02-20T01:54:10.5Z,2,REGULAR,foul,personal,['2freethrow'],1641824,,,1610612761,30,31,2026-02-20T01:54:21Z,2220000,False,,,0,,M. Buzelis shooting personal FOUL (1 PF) (Barnes 2 FT),"[1641824, 1630567]",1610612741.0,CHI,shooting,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,200834.0,,,,,,1.0,0.0,Barnes,1630567.0
230,PT08M59.00S,2026-02-20T01:54:36.8Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1630567,,,1610612761,30,32,2026-02-20T01:54:36Z,2240000,False,,,0,,S. Barnes Free Throw 1 of 2 (7 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,
231,PT08M59.00S,2026-02-20T01:54:37.8Z,2,REGULAR,substitution,out,[],1630188,,,1610612761,30,32,2026-02-20T01:54:42Z,2250000,False,,,0,,SUB out: J. Smith,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT08M59.00S,2026-02-20T01:54:37.8Z,2,REGULAR,substitution,in,[],1627824,,,1610612761,30,32,2026-02-20T01:54:42Z,2260000,False,,,0,,SUB in: G. Yabusele,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT08M59.00S,2026-02-20T01:54:56.7Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1630567,,,1610612761,30,33,2026-02-20T01:54:56Z,2270000,False,,,0,,S. Barnes Free Throw 2 of 2 (8 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,
235,PT08M34.00S,2026-02-20T01:55:36.6Z,2,REGULAR,3pt,Jump Shot,[],1641824,72.35545335085413,19.852941176470587,1610612741,30,33,2026-02-20T01:55:45Z,2290000,False,-151.0,207.0,1,right,MISS M. Buzelis 25' 3PT,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Left Center,,,,25.64,Missed,,,,,,,,,,,,,,,
236,PT08M30.00S,2026-02-20T01:55:40.6Z,2,REGULAR,rebound,defensive,[],1641711,,,1610612761,30,33,2026-02-20T01:56:07Z,2300000,False,,,0,,G. Dick REBOUND (Off:1 Def:1),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Above the Break 3,24+ Left Center,,,,,,,235.0,2.0,1.0,1.0,,,,,,,,,,
237,PT08M23.00S,2026-02-20T01:55:48.5Z,2,REGULAR,2pt,Jump Shot,[],1630567,20.844283837056505,56.127450980392155,1610612761,30,35,2026-02-20T01:55:52Z,2310000,False,-31.0,143.0,1,left,S. Barnes 14' pullup Jump Shot (10 PTS),[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Center,,,,14.66,Made,10.0,,,,,,,,,,,,,,
238,PT08M07.00S,2026-02-20T01:56:05.1Z,2,REGULAR,3pt,Jump Shot,[],1630172,94.43166885676742,3.6764705882352944,1610612741,30,35,2026-02-20T01:56:09Z,2320000,False,-232.0,0.0,1,right,MISS P. Williams 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Left Corner 3,24+ Left,,,,23.16,Missed,,,,,,,,,,,,,,,
239,PT08M07.00S,2026-02-20T01:56:05.1Z,2,REGULAR,rebound,defensive,[],1630567,,,1610612761,30,35,2026-02-20T01:56:09Z,2330000,False,,,0,,S. Barnes REBOUND (Off:0 Def:4),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Left Corner 3,24+ Left,,,,,,,238.0,4.0,4.0,0.0,,,,,,,,,,
240,PT08M00.00S,2026-02-20T01:56:11.2Z,2,REGULAR,turnover,bad pass,[],1630567,,,1610612761,30,35,2026-02-20T01:56:14Z,2340000,False,,,0,,S. Barnes bad pass TURNOVER (3 TO),"[1630567, 1630581]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,3.0,Giddey,1630581.0,,,,,,,,,,,,,,,,,
241,PT08M00.00S,2026-02-20T01:56:11.2Z,2,REGULAR,steal,,[],1630581,,,1610612741,30,35,2026-02-20T01:56:13Z,2350000,False,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
242,PT07M55.00S,2026-02-20T01:56:16.7Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627824,94.43166885676742,96.56862745098039,1610612741,30,35,2026-02-20T02:01:04Z,2360000,False,233.0,0.0,1,right,MISS G. Yabusele running 3PT,[1627824],1610612741.0,CHI,running,,,Yabusele,G. Yabusele,,,,,Right Corner 3,24+ Right,,,,23.28,Missed,,,,,,,,,,,,,,,
243,PT07M51.00S,2026-02-20T01:56:20.8Z,2,REGULAR,rebound,offensive,[],1630581,,,1610612741,30,35,2026-02-20T01:56:20Z,2370000,False,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Right Corner 3,24+ Right,,,,,,,242.0,1.0,0.0,1.0,,,,,,,,,,
244,PT07M49.00S,2026-02-20T01:56:22.4Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629014,71.43561103810775,20.833333333333336,1610612741,30,35,2026-02-20T01:56:27Z,2380000,False,-146.0,216.0,1,right,MISS A. Simons 26' 3PT,[1629014],1610612741.0,CHI,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,,,,26.06,Missed,,,,,,,,,,,,,,,
245,PT07M45.00S,2026-02-20T01:56:26.4Z,2,REGULAR,rebound,offensive,[],1641824,,,1610612741,30,35,2026-02-20T01:56:27Z,2390000,False,,,0,,M. Buzelis REBOUND (Off:1 Def:3),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Left Center,,,,,,,244.0,4.0,3.0,1.0,,,,,,,,,,
246,PT07M45.00S,2026-02-20T01:56:27.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1641824,94.40999984741211,50.0,1610612741,30,35,2026-02-20T01:56:27Z,2400000,False,0.0,0.0,1,right,MISS M. Buzelis tip Layup,[1641824],1610612741.0,CHI,tip,,,Buzelis,M. Buzelis,,,,,Mid-Range,8-16 Left,,,,0.0,Missed,,,,,,,,,,,,,,,
247,PT07M45.00S,2026-02-20T01:56:27.8Z,2,REGULAR,rebound,defensive,[],1629628,,,1610612761,30,35,2026-02-20T01:56:27Z,2410000,False,,,0,,R. Barrett REBOUND (Off:0 Def:3),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Mid-Range,8-16 Left,,,,,,,246.0,3.0,3.0,0.0,,,,,,,,,,
248,PT07M45.00S,2026-02-20T01:56:32.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,30,35,2026-02-20T01:56:32Z,2420000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M45.00S,2026-02-20T01:59:06.8Z,2,REGULAR,substitution,out,[],1630172,,,1610612761,30,35,2026-02-20T01:59:21Z,2430000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT07M45.00S,2026-02-20T01:59:06.8Z,2,REGULAR,substitution,in,[],1630171,,,1610612761,30,35,2026-02-20T01:59:21Z,2460000,False,,,0,,SUB in: I. Okoro,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT07M45.00S,2026-02-20T01:59:06.8Z,2,REGULAR,substitution,in,[],1627751,,,1610612761,30,35,2026-02-20T01:59:21Z,2470000,False,,,0,,SUB in: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT07M45.00S,2026-02-20T01:59:06.8Z,2,REGULAR,substitution,in,[],1627742,,,1610612761,30,35,2026-02-20T01:59:21Z,2480000,False,,,0,,SUB in: B. Ingram,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT07M45.00S,2026-02-20T01:59:06.8Z,2,REGULAR,substitution,out,[],1630567,,,1610612761,30,35,2026-02-20T01:59:41Z,2490000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT07M45.00S,2026-02-20T01:59:06.8Z,2,REGULAR,substitution,out,[],1642867,,,1610612761,30,35,2026-02-20T01:59:41Z,2500000,False,,,0,,SUB out: C. Murray-Boyles,[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT07M33.00S,2026-02-20T01:59:42.0Z,2,REGULAR,3pt,Jump Shot,[],1627742,6.1268068331143235,2.696078431372549,1610612761,30,38,2026-02-20T01:59:46Z,2510000,False,237.0,5.0,1,left,B. Ingram 3PT  (12 PTS) (R. Barrett 2 AST),"[1627742, 1629628]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,,,,23.66,Made,12.0,,,,,,R. Barrett,1629628.0,2.0,,,,,,
259,PT07M13.00S,2026-02-20T02:00:02.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,94.82588699080158,63.23529411764706,1610612741,30,38,2026-02-20T02:00:06Z,2530000,False,66.0,-4.0,1,right,MISS J. Giddey 6' driving floating Shot,[1630581],1610612741.0,CHI,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,6.63,Missed,,,,,,,,,,,,,,,
260,PT07M13.00S,2026-02-20T02:00:02.2Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612761,30,38,2026-02-20T02:00:06Z,2540000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,259.0,,,,,,,,,,,,,
262,PT07M04.00S,2026-02-20T02:00:21.4Z,2,REGULAR,foul,personal,['2freethrow'],1630581,,,1610612761,30,38,2026-02-20T02:00:28Z,2560000,False,,,0,,J. Giddey shooting personal FOUL (1 PF) (Barrett 2 FT),"[1630581, 1629628]",1610612741.0,CHI,shooting,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1628168.0,,,,,,1.0,0.0,Barrett,1629628.0
264,PT07M04.00S,2026-02-20T02:00:46.1Z,2,REGULAR,freethrow,1 of 2,[],1629628,,,1610612761,30,39,2026-02-20T02:01:03Z,2580000,False,,,0,,R. Barrett Free Throw 1 of 2 (3 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
265,PT07M04.00S,2026-02-20T02:00:46.1Z,2,REGULAR,freethrow,2 of 2,[],1629628,,,1610612761,30,39,2026-02-20T02:01:03Z,2590000,False,,,0,,MISS R. Barrett Free Throw 2 of 2,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
266,PT06M58.00S,2026-02-20T02:00:52.1Z,2,REGULAR,rebound,offensive,[],1641711,,,1610612761,30,39,2026-02-20T02:01:03Z,2600000,False,,,0,,G. Dick REBOUND (Off:2 Def:1),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,,265.0,3.0,1.0,2.0,,,,,,,,,,
