actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
95,PT05M19.00S,2024-11-29T22:22:47.3Z,1,REGULAR,substitution,in,[],203901,,,1610612763,23,16,2024-11-29T22:24:15Z,940000,False,,,0,,SUB in: E. Payton,[203901],1610612740.0,NOP,,,,Payton,E. Payton,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M19.00S,2024-11-29T22:23:17.3Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629630,,,1610612763,24,16,2024-11-29T22:23:17Z,950000,False,,,0,,J. Morant Free Throw 1 of 1 (7 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
97,PT05M02.00S,2024-11-29T22:23:35.1Z,1,REGULAR,2pt,Jump Shot,[],203468,20.97568988173456,61.51960784313726,1610612740,24,18,2024-11-29T22:23:40Z,960000,False,-58.0,145.0,1,left,C. McCollum 15' step back Jump Shot (8 PTS),[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Center,15.57,Made,8.0,,,,,,,,,,,,,,,,,
98,PT04M46.00S,2024-11-29T22:23:51.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630643,93.11760840998686,49.01960784313725,1610612763,26,18,2024-11-29T22:23:54Z,970000,False,-5.0,12.0,1,right,J. Huff alley-oop DUNK (4 PTS) (J. Morant 4 AST),"[1630643, 1629630]",1610612763.0,MEM,alley-oop,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,1.31,Made,4.0,J. Morant,1629630.0,4.0,,,,,,,,,,,,,,
100,PT04M32.00S,2024-11-29T22:24:05.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630527,18.922470433639948,38.35018382352941,1610612740,26,20,2024-11-29T22:24:15Z,990000,False,58.0,125.0,1,left,B. Boston Jr. 13' pullup Jump Shot (2 PTS),[1630527],1610612740.0,NOP,pullup,,,Boston Jr.,B. Boston Jr.,,,,,In The Paint (Non-RA),8-16 Center,13.82,Made,2.0,,,,,,,,,,,,,,,,,
101,PT04M10.00S,2024-11-29T22:24:26.8Z,1,REGULAR,3pt,Jump Shot,[],1629630,64.86530880420499,36.76470588235294,1610612763,26,20,2024-11-29T22:24:32Z,1000000,False,-66.0,278.0,1,right,MISS J. Morant 28' 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,28.56,Missed,,,,,,,,,,,,,,,,,,
102,PT04M08.00S,2024-11-29T22:24:28.8Z,1,REGULAR,rebound,defensive,[],203901,,,1610612740,26,20,2024-11-29T22:24:32Z,1010000,False,,,0,,E. Payton REBOUND (Off:0 Def:1),[203901],1610612740.0,NOP,,,,Payton,E. Payton,,,,,Above the Break 3,24+ Center,,,,,,,101.0,1.0,1.0,0.0,,,,,,,,,,
103,PT03M49.00S,2024-11-29T22:24:48.2Z,1,REGULAR,3pt,Jump Shot,[],1629750,27.020367936925098,21.323529411764707,1610612740,26,23,2024-11-29T22:24:52Z,1020000,False,143.0,201.0,1,left,J. Green 24' 3PT  (3 PTS) (B. Boston Jr. 1 AST),"[1629750, 1630527]",1610612740.0,NOP,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,24.73,Made,3.0,B. Boston Jr.,1630527.0,1.0,,,,,,,,,,,,,,
104,PT03M42.00S,2024-11-29T22:24:56.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630583,93.77463863337714,48.77450980392157,1610612763,28,23,2024-11-29T22:25:00Z,1030000,False,-6.0,6.0,1,right,S. Aldama alley-oop DUNK (2 PTS) (J. Morant 5 AST),"[1630583, 1629630]",1610612763.0,MEM,alley-oop,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,0.86,Made,2.0,J. Morant,1629630.0,5.0,,,,,,,,,,,,,,
106,PT03M42.00S,2024-11-29T22:25:01.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,28,23,2024-11-29T22:25:01Z,1050000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M42.00S,2024-11-29T22:26:52.6Z,1,REGULAR,substitution,out,[],1629630,,,1610612740,28,23,2024-11-29T22:27:37Z,1060000,False,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M42.00S,2024-11-29T22:26:52.6Z,1,REGULAR,substitution,out,[],1630217,,,1610612740,28,23,2024-11-29T22:27:37Z,1070000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M42.00S,2024-11-29T22:26:52.6Z,1,REGULAR,substitution,out,[],203468,,,1610612740,28,23,2024-11-29T22:27:37Z,1080000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M42.00S,2024-11-29T22:26:52.6Z,1,REGULAR,substitution,out,[],1629750,,,1610612740,28,23,2024-11-29T22:27:37Z,1090000,False,,,0,,SUB out: J. Green,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M42.00S,2024-11-29T22:26:52.6Z,1,REGULAR,substitution,in,[],1631222,,,1610612740,28,23,2024-11-29T22:27:37Z,1100000,False,,,0,,SUB in: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
