actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
172,PT12M00.00S,2025-04-01T00:06:01.7Z,2,REGULAR,substitution,in,['startperiod'],1641744,,,1610612738,32,25,2025-04-01T00:08:53Z,1710000,False,,,0,,SUB in: Z. Edey,[1641744],1610612763.0,MEM,,,,,,,,,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2025-04-01T00:06:01.7Z,2,REGULAR,substitution,in,['startperiod'],1630583,,,1610612738,32,25,2025-04-01T00:08:53Z,1720000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,,,,,,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2025-04-01T00:06:01.7Z,2,REGULAR,substitution,in,['startperiod'],1628379,,,1610612738,32,25,2025-04-01T00:08:53Z,1730000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,,,,,,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2025-04-01T00:06:01.7Z,2,REGULAR,substitution,in,['startperiod'],204001,,,1610612738,32,25,2025-04-01T00:08:53Z,1740000,False,,,0,,SUB in: K. Porziņģis,[204001],1610612738.0,BOS,,,,,,,,,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2025-04-01T00:06:01.7Z,2,REGULAR,substitution,in,['startperiod'],1628401,,,1610612738,32,25,2025-04-01T00:08:53Z,1750000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,,,,,,,,,White,D. White,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2025-04-01T00:09:01.5Z,2,REGULAR,period,start,[],0,,,1610612738,32,25,2025-04-01T00:09:01Z,1760000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT11M43.00S,2025-04-01T00:09:18.0Z,2,REGULAR,3pt,Jump Shot,[],201143,73.01248357424441,79.90196078431373,1610612738,32,25,2025-04-01T00:09:22Z,1770000,False,150.0,201.0,1,right,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,25.07,Missed,,Horford,A. Horford,,,,,,,,,,,,,,,,,
179,PT11M39.00S,2025-04-01T00:09:22.0Z,2,REGULAR,rebound,defensive,[],1629630,,,1610612763,32,25,2025-04-01T00:09:22Z,1780000,False,,,0,,J. Morant REBOUND (Off:0 Def:2),[1629630],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Morant,J. Morant,178.0,,,,,,2.0,2.0,0.0,,,,,,,,
180,PT11M35.00S,2025-04-01T00:09:28.9Z,2,REGULAR,turnover,traveling,[],1629630,,,1610612763,32,25,2025-04-01T00:09:33Z,1790000,False,,,0,,J. Morant traveling TURNOVER (1 TO),[1629630],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Morant,J. Morant,,1146.0,,,,,,,,,,,1.0,,,,
181,PT11M19.00S,2025-04-01T00:09:53.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],204001,65.65374507227332,34.068627450980394,1610612738,32,28,2025-04-01T00:09:57Z,1800000,False,-80.0,270.0,1,right,K. Porziņģis 28' 3PT  (8 PTS) (A. Horford 1 AST),"[204001, 201143]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,28.19,Made,8.0,Porziņģis,K. Porziņģis,,,,,,,,,,A. Horford,201143.0,1.0,,,,,
183,PT10M54.00S,2025-04-01T00:10:19.9Z,2,REGULAR,foul,technical,['1freethrow'],204001,,,1610612763,32,28,2025-04-01T00:10:32Z,1820000,False,,,0,,K. Porziņģis defensive-3-second technical FOUL (1 Tech),[204001],1610612738.0,BOS,defensive-3-second,,,,,,Above the Break 3,24+ Right Center,,,,Porziņģis,K. Porziņģis,,1146.0,0.0,1.0,,,,,,,,,,,,,
184,PT10M54.00S,2025-04-01T00:10:40.6Z,2,REGULAR,freethrow,1 of 1,[],1628379,,,1610612763,33,28,2025-04-01T00:10:40Z,1830000,False,,,0,,L. Kennard technical Free Throw 1 of 1 (1 PTS),[1628379],1610612763.0,MEM,technical,,,,,,,,,Made,1.0,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
185,PT10M43.00S,2025-04-01T00:11:04.4Z,2,REGULAR,3pt,Jump Shot,[],1629630,31.882391590013142,15.931372549019606,1610612763,36,28,2025-04-01T00:11:08Z,1840000,False,170.0,247.0,1,left,J. Morant 30' 3PT  (10 PTS),[1629630],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,30.02,Made,10.0,Morant,J. Morant,,,,,,,,,,,,,,,,,
186,PT10M22.00S,2025-04-01T00:11:24.6Z,2,REGULAR,3pt,Jump Shot,[],1630202,73.01248357424441,86.76470588235294,1610612738,36,28,2025-04-01T00:11:29Z,1850000,False,184.0,201.0,1,right,MISS P. Pritchard 27' 3PT,[1630202],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,27.25,Missed,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,
187,PT10M19.00S,2025-04-01T00:11:27.6Z,2,REGULAR,rebound,offensive,[],201143,,,1610612738,36,28,2025-04-01T00:11:29Z,1860000,False,,,0,,A. Horford REBOUND (Off:1 Def:3),[201143],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,,,Horford,A. Horford,186.0,,,,,,4.0,3.0,1.0,,,,,,,,
188,PT10M09.00S,2025-04-01T00:11:37.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628401,94.1688567674113,41.66666666666667,1610612738,36,28,2025-04-01T00:11:44Z,1870000,False,-42.0,2.0,1,right,MISS D. White cutting Layup,[1628401],1610612738.0,BOS,cutting,,,,,,Restricted Area,0-8 Center,4.18,Missed,,White,D. White,,,,,,,,,,,,,,,,,
189,PT10M07.00S,2025-04-01T00:11:39.7Z,2,REGULAR,rebound,defensive,[],1628379,,,1610612763,36,28,2025-04-01T00:11:44Z,1880000,False,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Kennard,L. Kennard,188.0,,,,,,1.0,1.0,0.0,,,,,,,,
190,PT10M01.00S,2025-04-01T00:11:46.7Z,2,REGULAR,3pt,Jump Shot,[],1629630,6.915243101182654,95.83333333333334,1610612763,39,28,2025-04-01T00:11:52Z,1890000,False,-229.0,13.0,1,left,J. Morant 3PT bank (13 PTS) (S. Aldama 1 AST),"[1629630, 1630583]",1610612763.0,MEM,bank,,,,,,Left Corner 3,24+ Left,22.95,Made,13.0,Morant,J. Morant,,,,,,,,,,S. Aldama,1630583.0,1.0,,,,,
192,PT09M36.00S,2025-04-01T00:12:10.4Z,2,REGULAR,3pt,Jump Shot,[],201143,88.25558475689881,3.6764705882352944,1610612738,39,31,2025-04-01T00:12:14Z,1910000,False,-232.0,58.0,1,right,A. Horford 3PT  (11 PTS) (K. Porziņģis 1 AST),"[201143, 204001]",1610612738.0,BOS,,,,,,,Left Corner 3,24+ Left,23.87,Made,11.0,Horford,A. Horford,,,,,,,,,,K. Porziņģis,204001.0,1.0,,,,,
194,PT09M21.00S,2025-04-01T00:12:26.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1641744,10.33180026281209,37.254901960784316,1610612763,41,31,2025-04-01T00:12:32Z,1930000,False,64.0,45.0,1,left,Z. Edey 7' turnaround bank Hook (2 PTS) (S. Aldama 2 AST),"[1641744, 1630583]",1610612763.0,MEM,turnaround bank,,,,,,In The Paint (Non-RA),0-8 Center,7.78,Made,2.0,Edey,Z. Edey,,,,,,,,,,S. Aldama,1630583.0,2.0,,,,,
196,PT09M09.00S,2025-04-01T00:12:37.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201143,90.09526938239159,53.431372549019606,1610612738,41,33,2025-04-01T00:15:07Z,1950000,False,17.0,41.0,1,right,A. Horford driving Layup (13 PTS) (K. Porziņģis 2 AST),"[201143, 204001]",1610612738.0,BOS,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.41,Made,13.0,Horford,A. Horford,,,,,,,,,,K. Porziņģis,204001.0,2.0,,,,,
198,PT09M01.00S,2025-04-01T00:12:49.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,12.040078843626807,44.36274509803921,1610612763,43,33,2025-04-01T00:12:55Z,1970000,False,28.0,61.0,1,left,J. Morant 6' floating Jump Shot (15 PTS),[1629630],1610612763.0,MEM,floating,,,,,,In The Paint (Non-RA),0-8 Center,6.69,Made,15.0,Morant,J. Morant,,,,,,,,,,,,,,,,,
199,PT09M01.00S,2025-04-01T00:12:51.9Z,2,REGULAR,foul,personal,['1freethrow'],1630202,,,1610612763,43,33,2025-04-01T00:12:59Z,1980000,False,,,0,,P. Pritchard shooting personal FOUL (2 PF) (Morant 1 FT),"[1630202, 1629630]",1610612738.0,BOS,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Pritchard,P. Pritchard,,1146.0,2.0,0.0,Morant,1629630.0,,,,,,,,,,,
201,PT09M01.00S,2025-04-01T00:13:17.7Z,2,REGULAR,freethrow,1 of 1,[],1629630,,,1610612763,44,33,2025-04-01T00:13:17Z,2000000,False,,,0,,J. Morant Free Throw 1 of 1 (16 PTS),[1629630],1610612763.0,MEM,,,,,,,,,,Made,16.0,Morant,J. Morant,,,,,,,,,,,,,,,,,
202,PT08M52.00S,2025-04-01T00:13:33.2Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,92.72339027595268,50.49019607843137,1610612738,44,35,2025-04-01T00:13:37Z,2010000,False,2.0,16.0,1,right,K. Porziņģis driving DUNK (10 PTS) (D. White 2 AST),"[204001, 1628401]",1610612738.0,BOS,driving,,,,,,Restricted Area,0-8 Center,1.61,Made,10.0,Porziņģis,K. Porziņģis,,,,,,,,,,D. White,1628401.0,2.0,,,,,
204,PT08M43.00S,2025-04-01T00:13:42.0Z,2,REGULAR,3pt,Jump Shot,[],1630583,25.18068331143233,13.970588235294118,1610612763,44,35,2025-04-01T00:13:50Z,2030000,False,180.0,184.0,1,left,MISS S. Aldama 25' 3PT,[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,25.76,Missed,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
205,PT08M39.00S,2025-04-01T00:13:46.0Z,2,REGULAR,rebound,defensive,[],1630573,,,1610612738,44,35,2025-04-01T00:13:50Z,2040000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,,,Hauser,S. Hauser,204.0,,,,,,1.0,1.0,0.0,,,,,,,,
206,PT08M39.00S,2025-04-01T00:13:51.6Z,2,REGULAR,foul,personal,[],1641744,,,1610612738,44,35,2025-04-01T00:14:01Z,2050000,False,,,0,,Z. Edey personal FOUL (3 PF),"[1641744, 1630573]",1610612763.0,MEM,,,,,,,Mid-Range,16-24 Right,,,,Edey,Z. Edey,,200834.0,3.0,0.0,Hauser,1630573.0,,,,,,,,,,,
208,PT08M39.00S,2025-04-01T00:13:56.5Z,2,REGULAR,substitution,out,[],1629630,,,1610612738,44,35,2025-04-01T00:14:14Z,2070000,False,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,,,,,,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,
209,PT08M39.00S,2025-04-01T00:13:56.5Z,2,REGULAR,substitution,out,[],1641744,,,1610612738,44,35,2025-04-01T00:14:14Z,2080000,False,,,0,,SUB out: Z. Edey,[1641744],1610612763.0,MEM,,,,,,,,,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,
210,PT08M39.00S,2025-04-01T00:13:56.5Z,2,REGULAR,substitution,out,[],1628379,,,1610612738,44,35,2025-04-01T00:14:14Z,2090000,False,,,0,,SUB out: L. Kennard,[1628379],1610612763.0,MEM,,,,,,,,,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
211,PT08M39.00S,2025-04-01T00:13:56.5Z,2,REGULAR,substitution,out,[],201143,,,1610612738,44,35,2025-04-01T00:14:14Z,2100000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,,,,,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,
212,PT08M39.00S,2025-04-01T00:13:56.5Z,2,REGULAR,substitution,in,[],1630217,,,1610612738,44,35,2025-04-01T00:14:14Z,2110000,False,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,,,,,,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,
213,PT08M39.00S,2025-04-01T00:13:56.5Z,2,REGULAR,substitution,in,[],1630590,,,1610612738,44,35,2025-04-01T00:14:14Z,2120000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
214,PT08M39.00S,2025-04-01T00:13:56.5Z,2,REGULAR,substitution,in,[],1628963,,,1610612738,44,35,2025-04-01T00:14:14Z,2130000,False,,,0,,SUB in: M. Bagley III,[1628963],1610612763.0,MEM,,,,,,,,,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,
215,PT08M39.00S,2025-04-01T00:13:56.5Z,2,REGULAR,substitution,in,[],201950,,,1610612738,44,35,2025-04-01T00:14:14Z,2140000,False,,,0,,SUB in: J. Holiday,[201950],1610612738.0,BOS,,,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,
216,PT08M22.00S,2025-04-01T00:14:32.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,87.33574244415243,43.13725490196079,1610612738,44,35,2025-04-01T00:14:36Z,2150000,False,-34.0,67.0,1,right,MISS J. Holiday 7' driving floating Shot,[201950],1610612738.0,BOS,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.48,Missed,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,
218,PT08M19.00S,2025-04-01T00:14:35.1Z,2,REGULAR,rebound,offensive,[],1630202,,,1610612738,44,35,2025-04-01T00:14:36Z,2170000,False,,,0,,P. Pritchard REBOUND (Off:1 Def:1),[1630202],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Pritchard,P. Pritchard,216.0,,,,,,2.0,1.0,1.0,,,,,,,,
219,PT08M18.00S,2025-04-01T00:14:36.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630573,72.35545335085413,80.14705882352942,1610612738,44,38,2025-04-01T00:14:40Z,2180000,False,151.0,207.0,1,right,S. Hauser 25' 3PT  (3 PTS) (P. Pritchard 1 AST),"[1630573, 1630202]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,25.64,Made,3.0,Hauser,S. Hauser,,,,,,,,,,P. Pritchard,1630202.0,1.0,,,,,
221,PT08M00.00S,2025-04-01T00:14:54.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,7.046649145860711,55.63725490196079,1610612763,46,38,2025-04-01T00:14:59Z,2200000,False,-28.0,14.0,1,left,D. Bane driving finger roll Layup (9 PTS) (S. Pippen Jr. 1 AST),"[1630217, 1630590]",1610612763.0,MEM,driving finger roll,,,,,,Restricted Area,0-8 Center,3.14,Made,9.0,Bane,D. Bane,,,,,,,,,,S. Pippen Jr.,1630590.0,1.0,,,,,
223,PT07M48.00S,2025-04-01T00:15:06.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],201950,90.3580814717477,44.85294117647059,1610612738,46,38,2025-04-01T00:18:20Z,2220000,False,-26.0,38.0,1,right,MISS J. Holiday driving Hook - blocked,"[201950, 1628963]",1610612738.0,BOS,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.6,Missed,,Holiday,J. Holiday,,,,,,,,,,,,,,,,Bagley III,1628963.0
224,PT07M48.00S,2025-04-01T00:15:06.3Z,2,REGULAR,block,,[],1628963,,,1610612738,46,38,2025-04-01T00:15:08Z,2230000,False,,,0,,M. Bagley III BLOCK (1 BLK),[1628963],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,
225,PT07M44.00S,2025-04-01T00:15:10.3Z,2,REGULAR,rebound,defensive,[],1628963,,,1610612763,46,38,2025-04-01T00:15:11Z,2240000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:2),[1628963],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Bagley III,M. Bagley III,223.0,,,,,,2.0,2.0,0.0,,,,,,,,
226,PT07M35.00S,2025-04-01T00:15:19.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630583,14.931011826544022,45.588235294117645,1610612763,48,38,2025-04-01T00:15:23Z,2250000,False,22.0,88.0,1,left,S. Aldama 9' driving floating Jump Shot (7 PTS) (S. Pippen Jr. 2 AST),"[1630583, 1630590]",1610612763.0,MEM,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,9.06,Made,7.0,Aldama,S. Aldama,,,,,,,,,,S. Pippen Jr.,1630590.0,2.0,,,,,
228,PT07M34.00S,2025-04-01T00:15:26.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,48,38,2025-04-01T00:15:26Z,2270000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT07M34.00S,2025-04-01T00:18:25.4Z,2,REGULAR,substitution,out,[],1631246,,,1610612738,48,38,2025-04-01T00:18:54Z,2280000,False,,,0,,SUB out: V. Williams Jr.,[1631246],1610612763.0,MEM,,,,,,,,,,,,Williams Jr.,V. Williams Jr.,,,,,,,,,,,,,,,,,
230,PT07M34.00S,2025-04-01T00:18:25.4Z,2,REGULAR,substitution,out,[],1630202,,,1610612738,48,38,2025-04-01T00:18:54Z,2290000,False,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,,,,,,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,
231,PT07M34.00S,2025-04-01T00:18:25.4Z,2,REGULAR,substitution,in,[],1642377,,,1610612738,48,38,2025-04-01T00:18:54Z,2300000,False,,,0,,SUB in: J. Wells,[1642377],1610612763.0,MEM,,,,,,,,,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,
232,PT07M34.00S,2025-04-01T00:18:25.4Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,48,38,2025-04-01T00:18:54Z,2310000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
233,PT07M20.00S,2025-04-01T00:19:07.1Z,2,REGULAR,3pt,Jump Shot,[],1628401,69.72733245729303,71.32352941176471,1610612738,48,38,2025-04-01T00:19:12Z,2320000,False,107.0,232.0,1,right,MISS D. White 25' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Right Center,25.54,Missed,,White,D. White,,,,,,,,,,,,,,,,,
234,PT07M16.00S,2025-04-01T00:19:11.1Z,2,REGULAR,rebound,offensive,[],1628369,,,1610612738,48,38,2025-04-01T00:19:12Z,2330000,False,,,0,,J. Tatum REBOUND (Off:1 Def:4),[1628369],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,,,Tatum,J. Tatum,233.0,,,,,,5.0,4.0,1.0,,,,,,,,
235,PT07M12.00S,2025-04-01T00:19:14.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,93.11760840998686,46.07843137254902,1610612738,48,40,2025-04-01T00:19:21Z,2340000,False,-20.0,12.0,1,right,J. Tatum driving finger roll Layup (10 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,,,,Restricted Area,0-8 Center,2.31,Made,10.0,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
236,PT06M54.00S,2025-04-01T00:19:33.1Z,2,REGULAR,turnover,bad pass,[],1630217,,,1610612763,48,40,2025-04-01T00:19:36Z,2350000,False,,,0,,D. Bane bad pass TURNOVER (1 TO),"[1630217, 1630573]",1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Bane,D. Bane,,,,,,,,,,,,,1.0,Hauser,1630573.0,,
237,PT06M54.00S,2025-04-01T00:19:33.1Z,2,REGULAR,steal,,[],1630573,,,1610612738,48,40,2025-04-01T00:21:19Z,2360000,False,,,0,,S. Hauser STEAL (1 STL),[1630573],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,
238,PT06M50.00S,2025-04-01T00:19:36.6Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630573,80.3712220762155,7.352941176470589,1610612738,48,43,2025-04-01T00:19:42Z,2370000,False,-213.0,132.0,1,right,S. Hauser 25' 3PT running (6 PTS) (D. White 3 AST),"[1630573, 1628401]",1610612738.0,BOS,running,,,,,,Above the Break 3,24+ Left Center,25.08,Made,6.0,Hauser,S. Hauser,,,,,,,,,,D. White,1628401.0,3.0,,,,,
240,PT06M28.00S,2025-04-01T00:19:58.8Z,2,REGULAR,3pt,Jump Shot,[],1628963,7.440867279894875,4.6568627450980395,1610612763,48,43,2025-04-01T00:20:03Z,2390000,False,227.0,17.0,1,left,MISS M. Bagley III 3PT,[1628963],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,22.74,Missed,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,
241,PT06M26.00S,2025-04-01T00:20:00.8Z,2,REGULAR,rebound,defensive,[],201950,,,1610612738,48,43,2025-04-01T00:20:03Z,2400000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,,,,Holiday,J. Holiday,240.0,,,,,,1.0,1.0,0.0,,,,,,,,
242,PT06M18.00S,2025-04-01T00:20:08.6Z,2,REGULAR,3pt,Jump Shot,[],1630573,74.06373193166885,10.53921568627451,1610612738,48,43,2025-04-01T00:20:13Z,2410000,False,-197.0,191.0,1,right,MISS S. Hauser 27' 3PT,[1630573],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,27.48,Missed,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,
243,PT06M15.00S,2025-04-01T00:20:11.6Z,2,REGULAR,rebound,defensive,[],1628963,,,1610612763,48,43,2025-04-01T00:20:13Z,2420000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:3),[1628963],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Bagley III,M. Bagley III,242.0,,,,,,3.0,3.0,0.0,,,,,,,,
244,PT06M10.00S,2025-04-01T00:20:17.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630590,8.360709592641262,50.49019607843137,1610612763,50,43,2025-04-01T00:20:22Z,2430000,False,-2.0,26.0,1,left,S. Pippen Jr. running Layup (2 PTS) (M. Bagley III 1 AST),"[1630590, 1628963]",1610612763.0,MEM,running,,,,,,Restricted Area,0-8 Center,2.62,Made,2.0,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,M. Bagley III,1628963.0,1.0,,,,,
246,PT05M58.00S,2025-04-01T00:20:29.0Z,2,REGULAR,3pt,Jump Shot,[],1628401,71.96123521681997,14.215686274509803,1610612738,50,46,2025-04-01T00:20:32Z,2450000,False,-179.0,211.0,1,right,D. White 27' 3PT  (3 PTS) (K. Porziņģis 3 AST),"[1628401, 204001]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,27.67,Made,3.0,White,D. White,,,,,,,,,,K. Porziņģis,204001.0,3.0,,,,,
248,PT05M44.00S,2025-04-01T00:20:42.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,9.280551905387648,34.55882352941176,1610612763,50,46,2025-04-01T00:20:47Z,2470000,False,77.0,35.0,1,left,MISS D. Bane 8' driving finger roll Layup,[1630217],1610612763.0,MEM,driving finger roll,,,,,,In The Paint (Non-RA),8-16 Right,8.46,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,,
249,PT05M42.00S,2025-04-01T00:20:44.2Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,50,46,2025-04-01T00:20:47Z,2480000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),8-16 Right,,,,White,D. White,248.0,,,,,,1.0,1.0,0.0,,,,,,,,
250,PT05M38.00S,2025-04-01T00:20:49.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,91.67214191852825,42.64705882352941,1610612738,50,48,2025-04-01T00:20:53Z,2490000,False,-37.0,26.0,1,right,J. Tatum running finger roll Layup (12 PTS) (D. White 4 AST),"[1628369, 1628401]",1610612738.0,BOS,running finger roll,,,,,,In The Paint (Non-RA),0-8 Center,4.49,Made,12.0,Tatum,J. Tatum,,,,,,,,,,D. White,1628401.0,4.0,,,,,
252,PT05M37.00S,2025-04-01T00:20:52.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,50,48,2025-04-01T00:20:52Z,2510000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT05M37.00S,2025-04-01T00:23:37.9Z,2,REGULAR,substitution,out,[],1630590,,,1610612763,50,48,2025-04-01T00:23:54Z,2520000,False,,,0,,SUB out: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
254,PT05M37.00S,2025-04-01T00:23:37.9Z,2,REGULAR,substitution,out,[],1630583,,,1610612763,50,48,2025-04-01T00:23:54Z,2530000,False,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,,,,,,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
255,PT05M37.00S,2025-04-01T00:23:37.9Z,2,REGULAR,substitution,out,[],1630573,,,1610612763,50,48,2025-04-01T00:23:54Z,2540000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,,,,,,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,
256,PT05M37.00S,2025-04-01T00:23:37.9Z,2,REGULAR,substitution,in,[],1629630,,,1610612763,50,48,2025-04-01T00:23:54Z,2550000,False,,,0,,SUB in: J. Morant,[1629630],1610612763.0,MEM,,,,,,,,,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,
257,PT05M37.00S,2025-04-01T00:23:37.9Z,2,REGULAR,substitution,in,[],1628991,,,1610612763,50,48,2025-04-01T00:23:54Z,2560000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
