actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
317,PT11M21.00S,2025-03-16T00:37:25.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,88.25558475689881,50.73529411764706,1610612748,38,29,2025-03-16T01:08:15Z,1675000,False,4.0,58.0,1,right,MISS T. Rozier driving Layup - blocked,"[1626179, 1628991]",1610612748.0,MIA,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.8,Missed,,Rozier,T. Rozier,,,,,,,,,,,,,,,,Jackson Jr.,1628991.0
318,PT11M21.00S,2025-03-16T00:37:25.6Z,2,REGULAR,block,,[],1628991,,,1610612748,38,29,2025-03-16T01:08:15Z,1677500,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
319,PT11M21.00S,2025-03-16T00:37:25.6Z,2,REGULAR,rebound,defensive,[],1628991,,,1610612763,38,29,2025-03-16T01:08:15Z,1678750,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jackson Jr.,J. Jackson Jr.,,,,317.0,2.0,2.0,0.0,,,,,,,,,,
171,PT11M12.00S,2025-03-16T00:37:39.4Z,2,REGULAR,3pt,Jump Shot,[],1641744,28.728646517739815,22.54901960784314,1610612763,38,29,2025-03-16T01:08:19Z,1700000,False,137.0,218.0,1,left,MISS Z. Edey 25' 3PT,[1641744],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,25.72,Missed,,Edey,Z. Edey,,,,,,,,,,,,,,,,,
172,PT11M10.00S,2025-03-16T00:37:42.2Z,2,REGULAR,rebound,offensive,[],1628379,,,1610612763,38,29,2025-03-16T00:37:42Z,1710000,False,,,0,,L. Kennard REBOUND (Off:1 Def:0),[1628379],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Kennard,L. Kennard,,,,171.0,1.0,0.0,1.0,,,,,,,,,,
173,PT11M08.00S,2025-03-16T00:37:44.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641744,5.732588699080158,50.73529411764706,1610612763,40,29,2025-03-16T01:08:19Z,1720000,False,-4.0,1.0,1,left,Z. Edey cutting DUNK (6 PTS) (L. Kennard 2 AST),"[1641744, 1628379]",1610612763.0,MEM,cutting,,,,,,Restricted Area,0-8 Center,0.4,Made,6.0,Edey,Z. Edey,L. Kennard,1628379.0,2.0,,,,,,,,,,,,,,
175,PT10M45.00S,2025-03-16T00:38:07.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,92.9862023653088,45.34313725490196,1610612748,40,31,2025-03-16T00:38:13Z,1740000,False,-23.0,13.0,1,right,K. Anderson fadeaway Jump Shot (7 PTS) (D. Mitchell 1 AST),"[203937, 1630558]",1610612748.0,MIA,fadeaway,,,,,,Restricted Area,0-8 Center,2.69,Made,7.0,Anderson,K. Anderson,D. Mitchell,1630558.0,1.0,,,,,,,,,,,,,,
177,PT10M31.00S,2025-03-16T00:38:20.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,17.821944809461236,49.01960784313725,1610612763,42,31,2025-03-16T00:38:23Z,1760000,False,5.0,115.0,1,left,J. Jackson Jr. 11' floating Jump Shot (14 PTS) (L. Kennard 3 AST),"[1628991, 1628379]",1610612763.0,MEM,floating,,,,,,In The Paint (Non-RA),8-16 Center,11.51,Made,14.0,Jackson Jr.,J. Jackson Jr.,L. Kennard,1628379.0,3.0,,,,,,,,,,,,,,
179,PT10M15.00S,2025-03-16T00:38:36.0Z,2,REGULAR,3pt,Jump Shot,[],1642276,67.7562417871222,61.76470588235294,1610612748,42,34,2025-03-16T00:38:39Z,1780000,False,59.0,251.0,1,right,K. Ware 25' 3PT  (9 PTS) (J. Jaquez Jr. 1 AST),"[1642276, 1631170]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,25.74,Made,9.0,Ware,K. Ware,J. Jaquez Jr.,1631170.0,1.0,,,,,,,,,,,,,,
181,PT10M03.00S,2025-03-16T00:38:48.0Z,2,REGULAR,3pt,Jump Shot,[],1641713,31.61957950065703,24.264705882352942,1610612763,42,34,2025-03-16T00:38:51Z,1800000,False,129.0,245.0,1,left,MISS G. Jackson 27' 3PT,[1641713],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,27.65,Missed,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,
182,PT10M00.00S,2025-03-16T00:38:51.0Z,2,REGULAR,rebound,defensive,[],1642276,,,1610612748,42,34,2025-03-16T00:38:51Z,1810000,False,,,0,,K. Ware REBOUND (Off:1 Def:3),[1642276],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,Ware,K. Ware,,,,181.0,4.0,3.0,1.0,,,,,,,,,,
183,PT09M44.00S,2025-03-16T00:39:07.2Z,2,REGULAR,3pt,Jump Shot,[],203937,90.88370565045992,95.58823529411765,1610612748,42,34,2025-03-16T00:39:10Z,1820000,False,228.0,33.0,1,right,MISS K. Anderson 3PT,[203937],1610612748.0,MIA,,,,,,,Right Corner 3,24+ Right,23.03,Missed,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,
184,PT09M42.00S,2025-03-16T00:39:09.2Z,2,REGULAR,rebound,offensive,[],1631170,,,1610612748,42,34,2025-03-16T00:39:10Z,1830000,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:0),[1631170],1610612748.0,MIA,,,,,,,Right Corner 3,24+ Right,,,,Jaquez Jr.,J. Jaquez Jr.,,,,183.0,1.0,0.0,1.0,,,,,,,,,,
185,PT09M40.00S,2025-03-16T00:39:11.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1626179,83.919185282523,4.901960784313726,1610612748,42,34,2025-03-16T00:39:15Z,1840000,False,-225.0,99.0,1,right,MISS T. Rozier 24' 3PT,[1626179],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,24.62,Missed,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,
186,PT09M37.00S,2025-03-16T00:39:14.5Z,2,REGULAR,rebound,defensive,[],1641713,,,1610612763,42,34,2025-03-16T00:39:15Z,1850000,False,,,0,,G. Jackson REBOUND (Off:0 Def:1),[1641713],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Jackson,G. Jackson,,,,185.0,1.0,1.0,0.0,,,,,,,,,,
187,PT09M19.00S,2025-03-16T00:39:32.7Z,2,REGULAR,turnover,lost ball,[],1628991,,,1610612763,42,34,2025-03-16T00:39:35Z,1860000,False,,,0,,J. Jackson Jr. lost ball TURNOVER (1 TO),"[1628991, 203937]",1610612763.0,MEM,,,,,,,Mid-Range,8-16 Right,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,1.0,Anderson,203937.0,,
188,PT09M19.00S,2025-03-16T00:39:32.7Z,2,REGULAR,steal,,[],203937,,,1610612748,42,34,2025-03-16T01:41:50Z,1870000,False,,,0,,K. Anderson STEAL (1 STL),[203937],1610612748.0,MIA,,,,,,,Mid-Range,8-16 Right,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,
189,PT09M14.00S,2025-03-16T00:39:37.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631170,94.43166885676742,50.245098039215684,1610612748,42,36,2025-03-16T00:39:41Z,1880000,False,1.0,0.0,1,right,J. Jaquez Jr. running finger roll Layup (8 PTS) (T. Rozier 2 AST),"[1631170, 1626179]",1610612748.0,MIA,running finger roll,,,,,,Restricted Area,0-8 Center,0.12,Made,8.0,Jaquez Jr.,J. Jaquez Jr.,T. Rozier,1626179.0,2.0,,,,,,,,,,,,,,
191,PT08M53.00S,2025-03-16T00:39:57.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1641744,15.193823915900131,45.34313725490196,1610612763,42,36,2025-03-16T00:40:02Z,1900000,False,23.0,90.0,1,left,MISS Z. Edey 9' Hook,[1641744],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,9.33,Missed,,Edey,Z. Edey,,,,,,,,,,,,,,,,,
192,PT08M51.00S,2025-03-16T00:39:59.8Z,2,REGULAR,rebound,defensive,[],1642276,,,1610612748,42,36,2025-03-16T00:40:02Z,1910000,False,,,0,,K. Ware REBOUND (Off:1 Def:4),[1642276],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Ware,K. Ware,,,,191.0,5.0,4.0,1.0,,,,,,,,,,
193,PT08M45.00S,2025-03-16T00:40:07.1Z,2,REGULAR,3pt,Jump Shot,[],1630558,66.5735873850197,47.549019607843135,1610612748,42,39,2025-03-16T00:40:11Z,1920000,False,-12.0,262.0,1,right,D. Mitchell 26' 3PT pullup (3 PTS),[1630558],1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Center,26.2,Made,3.0,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,
194,PT08M44.00S,2025-03-16T00:40:11.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,42,39,2025-03-16T00:40:11Z,1930000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT08M44.00S,2025-03-16T00:42:16.7Z,2,REGULAR,substitution,out,[],1642285,,,1610612763,42,39,2025-03-16T00:42:47Z,1940000,False,,,0,,SUB out: C. Spencer,[1642285],1610612763.0,MEM,,,,,,,,,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,
196,PT08M44.00S,2025-03-16T00:42:16.7Z,2,REGULAR,substitution,in,[],1630590,,,1610612763,42,39,2025-03-16T00:42:47Z,1950000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
197,PT08M28.00S,2025-03-16T00:43:22.7Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1641744,12.697109067017081,45.588235294117645,1610612763,42,39,2025-03-16T00:43:26Z,1960000,False,22.0,67.0,1,left,MISS Z. Edey 7' turnaround Hook,[1641744],1610612763.0,MEM,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,7.05,Missed,,Edey,Z. Edey,,,,,,,,,,,,,,,,,
198,PT08M24.00S,2025-03-16T00:43:26.7Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,42,39,2025-03-16T00:43:26Z,1970000,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:1),[1631170],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jaquez Jr.,J. Jaquez Jr.,,,,197.0,2.0,1.0,1.0,,,,,,,,,,
199,PT08M04.00S,2025-03-16T00:43:46.0Z,2,REGULAR,turnover,lost ball,[],203937,,,1610612748,42,39,2025-03-16T00:43:48Z,1980000,False,,,0,,K. Anderson lost ball TURNOVER (2 TO),"[203937, 1641713]",1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Anderson,K. Anderson,,,,,,,,,,,,,2.0,Jackson,1641713.0,,
200,PT08M04.00S,2025-03-16T00:43:46.0Z,2,REGULAR,steal,,[],1641713,,,1610612763,42,39,2025-03-16T00:43:47Z,1990000,False,,,0,,G. Jackson STEAL (1 STL),[1641713],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,
201,PT07M57.00S,2025-03-16T00:43:52.9Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1641744,6.1268068331143235,48.28431372549019,1610612763,44,39,2025-03-16T00:44:00Z,2000000,False,9.0,5.0,1,left,Z. Edey DUNK (8 PTS) (S. Pippen Jr. 2 AST),"[1641744, 1630590]",1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,1.0,Made,8.0,Edey,Z. Edey,S. Pippen Jr.,1630590.0,2.0,,,,,,,,,,,,,,
203,PT07M43.00S,2025-03-16T00:44:10.2Z,2,REGULAR,foul,personal,[],1630590,,,1610612748,44,39,2025-03-16T00:44:20Z,2020000,False,,,0,,S. Pippen Jr. personal FOUL (1 PF),"[1630590, 203937]",1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,1628159.0,1.0,0.0,Anderson,203937.0,,,,,
205,PT07M36.00S,2025-03-16T00:44:42.2Z,2,REGULAR,3pt,Jump Shot,[],1631170,88.51839684625493,95.34313725490196,1610612748,44,39,2025-03-16T00:44:45Z,2040000,False,227.0,55.0,1,right,MISS J. Jaquez Jr. 3PT,[1631170],1610612748.0,MIA,,,,,,,Right Corner 3,24+ Right,23.34,Missed,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,
206,PT07M33.00S,2025-03-16T00:44:45.2Z,2,REGULAR,rebound,offensive,[],1642276,,,1610612748,44,39,2025-03-16T00:44:45Z,2050000,False,,,0,,K. Ware REBOUND (Off:2 Def:4),[1642276],1610612748.0,MIA,,,,,,,Right Corner 3,24+ Right,,,,Ware,K. Ware,,,,205.0,6.0,4.0,2.0,,,,,,,,,,
207,PT07M23.00S,2025-03-16T00:44:54.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630558,74.19513797634691,15.931372549019606,1610612748,44,39,2025-03-16T00:45:01Z,2060000,False,-170.0,190.0,1,right,MISS D. Mitchell 25' 3PT,[1630558],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,25.52,Missed,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,
208,PT07M19.00S,2025-03-16T00:44:58.8Z,2,REGULAR,rebound,offensive,[],1631170,,,1610612748,44,39,2025-03-16T00:45:01Z,2070000,False,,,0,,J. Jaquez Jr. REBOUND (Off:2 Def:1),[1631170],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,,Jaquez Jr.,J. Jaquez Jr.,,,,207.0,3.0,1.0,2.0,,,,,,,,,,
210,PT07M11.00S,2025-03-16T00:45:41.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203937,80.89684625492772,58.08823529411765,1610612748,44,39,2025-03-16T00:45:43Z,2090000,False,40.0,127.0,1,right,MISS K. Anderson 13' pullup Shot,[203937],1610612748.0,MIA,pullup,,,,,,In The Paint (Non-RA),8-16 Center,13.34,Missed,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,
211,PT07M09.00S,2025-03-16T00:45:43.2Z,2,REGULAR,rebound,defensive,[],1628379,,,1610612763,44,39,2025-03-16T00:45:43Z,2100000,False,,,0,,L. Kennard REBOUND (Off:1 Def:1),[1628379],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Kennard,L. Kennard,,,,210.0,2.0,1.0,1.0,,,,,,,,,,
212,PT07M04.00S,2025-03-16T00:45:47.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'defensivegoaltending']",1628991,6.258212877792378,48.28431372549019,1610612763,46,39,2025-03-16T00:45:57Z,2110000,False,9.0,6.0,1,left,J. Jackson Jr. running finger roll Layup (16 PTS) (L. Kennard 4 AST),"[1628991, 1628379]",1610612763.0,MEM,running finger roll,,,,,,Restricted Area,0-8 Center,1.07,Made,16.0,Jackson Jr.,J. Jackson Jr.,L. Kennard,1628379.0,4.0,,,,,,,,,,,,,,
214,PT07M04.00S,2025-03-16T00:45:54.5Z,2,REGULAR,violation,defensive goaltending,[],203937,,,1610612763,46,39,2025-03-16T00:45:57Z,2130000,False,,,0,,K. Anderson defensive goaltending VIOLATION,[203937],1610612748.0,MIA,,,,,,,,,,,,Anderson,K. Anderson,,,,,,,,1628159.0,,,,,,,,,
215,PT06M47.00S,2025-03-16T00:46:14.9Z,2,REGULAR,2pt,Jump Shot,[],1630558,83.52496714848883,32.35294117647059,1610612748,46,39,2025-03-16T00:46:18Z,2140000,False,-88.0,102.0,1,right,MISS D. Mitchell 13' driving floating Shot,[1630558],1610612748.0,MIA,driving floating,,,,,,Mid-Range,8-16 Left,13.51,Missed,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,
216,PT06M46.00S,2025-03-16T00:46:15.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612763,46,39,2025-03-16T00:46:18Z,2150000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Left,,,,,,,,,215.0,,,,,,,,,,,,,
218,PT06M34.00S,2025-03-16T00:46:34.9Z,2,REGULAR,3pt,Jump Shot,[],1641713,5.732588699080158,95.34313725490196,1610612763,46,39,2025-03-16T00:46:37Z,2170000,False,-227.0,1.0,1,left,MISS G. Jackson 3PT,[1641713],1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,22.67,Missed,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,
219,PT06M32.00S,2025-03-16T00:46:36.9Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,46,39,2025-03-16T00:46:37Z,2180000,False,,,0,,J. Jaquez Jr. REBOUND (Off:2 Def:2),[1631170],1610612748.0,MIA,,,,,,,Left Corner 3,24+ Left,,,,Jaquez Jr.,J. Jaquez Jr.,,,,218.0,4.0,2.0,2.0,,,,,,,,,,
220,PT06M27.00S,2025-03-16T00:46:43.9Z,2,REGULAR,foul,personal,['2freethrow'],1641713,,,1610612748,46,39,2025-03-16T00:46:56Z,2190000,False,,,0,,G. Jackson shooting personal FOUL (1 PF) (Jaquez Jr. 2 FT),"[1641713, 1631170]",1610612763.0,MEM,shooting,,,,,,In The Paint (Non-RA),8-16 Right,,,,Jackson,G. Jackson,,,,,,,,2004.0,1.0,0.0,Jaquez Jr.,1631170.0,,,,,
222,PT06M27.00S,2025-03-16T00:47:09.8Z,2,REGULAR,freethrow,1 of 2,[],1631170,,,1610612748,46,40,2025-03-16T00:47:09Z,2210000,False,,,0,,J. Jaquez Jr. Free Throw 1 of 2 (9 PTS),[1631170],1610612748.0,MIA,,,,,,,,,,Made,9.0,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,
223,PT06M27.00S,2025-03-16T00:47:10.8Z,2,REGULAR,substitution,out,[],1628379,,,1610612748,46,40,2025-03-16T00:47:26Z,2220000,False,,,0,,SUB out: L. Kennard,[1628379],1610612763.0,MEM,,,,,,,,,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
224,PT06M27.00S,2025-03-16T00:47:10.8Z,2,REGULAR,substitution,out,[],1641713,,,1610612748,46,40,2025-03-16T00:47:26Z,2230000,False,,,0,,SUB out: G. Jackson,[1641713],1610612763.0,MEM,,,,,,,,,,,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,
225,PT06M27.00S,2025-03-16T00:47:10.8Z,2,REGULAR,substitution,out,[],203937,,,1610612748,46,40,2025-03-16T00:47:26Z,2240000,False,,,0,,SUB out: K. Anderson,[203937],1610612748.0,MIA,,,,,,,,,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,
226,PT06M27.00S,2025-03-16T00:47:10.8Z,2,REGULAR,substitution,out,[],1630558,,,1610612748,46,40,2025-03-16T00:47:26Z,2250000,False,,,0,,SUB out: D. Mitchell,[1630558],1610612748.0,MIA,,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,
227,PT06M27.00S,2025-03-16T00:47:10.8Z,2,REGULAR,substitution,in,[],1642377,,,1610612748,46,40,2025-03-16T00:47:26Z,2260000,False,,,0,,SUB in: J. Wells,[1642377],1610612763.0,MEM,,,,,,,,,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,
228,PT06M27.00S,2025-03-16T00:47:10.8Z,2,REGULAR,substitution,in,[],1630217,,,1610612748,46,40,2025-03-16T00:47:26Z,2270000,False,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,,,,,,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,
229,PT06M27.00S,2025-03-16T00:47:10.8Z,2,REGULAR,substitution,in,[],203952,,,1610612748,46,40,2025-03-16T00:47:26Z,2280000,False,,,0,,SUB in: A. Wiggins,[203952],1610612748.0,MIA,,,,,,,,,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,
230,PT06M27.00S,2025-03-16T00:47:10.8Z,2,REGULAR,substitution,in,[],1629639,,,1610612748,46,40,2025-03-16T00:47:26Z,2290000,False,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,,,,,,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,
231,PT06M27.00S,2025-03-16T00:47:36.9Z,2,REGULAR,freethrow,2 of 2,[],1631170,,,1610612748,46,40,2025-03-16T00:47:36Z,2300000,False,,,0,,MISS J. Jaquez Jr. Free Throw 2 of 2,[1631170],1610612748.0,MIA,,,,,,,,,,Missed,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,
232,PT06M25.00S,2025-03-16T00:47:37.6Z,2,REGULAR,rebound,defensive,[],1641744,,,1610612763,46,40,2025-03-16T00:47:37Z,2310000,False,,,0,,Z. Edey REBOUND (Off:2 Def:2),[1641744],1610612763.0,MEM,,,,,,,,,,,,Edey,Z. Edey,,,,231.0,4.0,2.0,2.0,,,,,,,,,,
233,PT06M13.00S,2025-03-16T00:47:49.7Z,2,REGULAR,3pt,Jump Shot,[],1628991,4.28712220762155,94.6078431372549,1610612763,49,40,2025-03-16T00:47:52Z,2320000,False,-223.0,-12.0,1,left,J. Jackson Jr. 3PT  (19 PTS) (J. Wells 1 AST),"[1628991, 1642377]",1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,22.33,Made,19.0,Jackson Jr.,J. Jackson Jr.,J. Wells,1642377.0,1.0,,,,,,,,,,,,,,
235,PT05M59.00S,2025-03-16T00:48:06.3Z,2,REGULAR,turnover,traveling,[],1626179,,,1610612748,49,40,2025-03-16T00:48:11Z,2340000,False,,,0,,T. Rozier traveling TURNOVER (1 TO),[1626179],1610612748.0,MIA,,,,,,,Mid-Range,8-16 Left,,,,Rozier,T. Rozier,,,,,,,,201246.0,,,,,1.0,,,,
236,PT05M59.00S,2025-03-16T00:48:09.0Z,2,REGULAR,substitution,out,[],1641744,,,1610612763,49,40,2025-03-16T00:48:23Z,2350000,False,,,0,,SUB out: Z. Edey,[1641744],1610612763.0,MEM,,,,,,,,,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,
237,PT05M59.00S,2025-03-16T00:48:09.0Z,2,REGULAR,substitution,out,[],1631170,,,1610612763,49,40,2025-03-16T00:48:23Z,2360000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,,,,,,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,
238,PT05M59.00S,2025-03-16T00:48:09.0Z,2,REGULAR,substitution,in,[],1629634,,,1610612763,49,40,2025-03-16T00:48:23Z,2370000,False,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,,,,,,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,
239,PT05M59.00S,2025-03-16T00:48:09.0Z,2,REGULAR,substitution,in,[],1628389,,,1610612763,49,40,2025-03-16T00:48:23Z,2380000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,,,,,,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,
240,PT05M42.00S,2025-03-16T00:48:40.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630590,24.78646517739816,83.33333333333334,1610612763,49,40,2025-03-16T00:48:43Z,2390000,False,-167.0,180.0,1,left,MISS S. Pippen Jr. 24' 3PT,[1630590],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,24.57,Missed,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
241,PT05M40.00S,2025-03-16T00:48:42.6Z,2,REGULAR,rebound,defensive,[],1626179,,,1610612748,49,40,2025-03-16T00:48:43Z,2400000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,,Rozier,T. Rozier,,,,240.0,1.0,1.0,0.0,,,,,,,,,,
242,PT05M34.00S,2025-03-16T00:48:49.1Z,2,REGULAR,3pt,Jump Shot,[],203952,95.0886990801577,94.85294117647058,1610612748,49,40,2025-03-16T00:48:52Z,2410000,False,224.0,-6.0,1,right,MISS A. Wiggins 3PT,[203952],1610612748.0,MIA,,,,,,,Right Corner 3,24+ Right,22.44,Missed,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,
243,PT05M31.00S,2025-03-16T00:48:52.1Z,2,REGULAR,rebound,defensive,[],1630217,,,1610612763,49,40,2025-03-16T00:48:52Z,2420000,False,,,0,,D. Bane REBOUND (Off:0 Def:3),[1630217],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,,,,Bane,D. Bane,,,,242.0,3.0,3.0,0.0,,,,,,,,,,
244,PT05M25.00S,2025-03-16T00:49:00.7Z,2,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612763,49,40,2025-03-16T00:49:12Z,2430000,False,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1628389, 1628991]",1610612748.0,MIA,shooting,,,,,,Restricted Area,0-8 Center,,,,Adebayo,B. Adebayo,,,,,,,,2004.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,
246,PT05M25.00S,2025-03-16T00:49:29.8Z,2,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,50,40,2025-03-16T00:49:29Z,2450000,False,,,0,,J. Jackson Jr. Free Throw 1 of 2 (20 PTS),[1628991],1610612763.0,MEM,,,,,,,,,,Made,20.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
247,PT05M25.00S,2025-03-16T00:49:36.1Z,2,REGULAR,substitution,out,[],1626179,,,1610612763,50,40,2025-03-16T00:49:42Z,2460000,False,,,0,,SUB out: T. Rozier,[1626179],1610612748.0,MIA,,,,,,,,,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,
248,PT05M25.00S,2025-03-16T00:49:36.1Z,2,REGULAR,substitution,in,[],1629130,,,1610612763,50,40,2025-03-16T00:49:42Z,2470000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,,,,,,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,
249,PT05M25.00S,2025-03-16T00:49:54.0Z,2,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,51,40,2025-03-16T00:49:54Z,2480000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (21 PTS),[1628991],1610612763.0,MEM,,,,,,,,,,Made,21.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
