actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
262,PT05M48.00S,2023-03-01T03:55:46.5Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629234,13.748357424441524,47.30392156862745,1610612757,34,54,2023-03-01T03:55:52Z,2560000,False,13.0,77.0,1,left,D. Eubanks 7' driving Hook (4 PTS) (S. Sharpe 1 AST),"[1629234, 1631101]",1610612757.0,POR,driving,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,7.79,Made,,,,,,,,,,4.0,,,,,,S. Sharpe,1631101.0,1.0
264,PT05M31.00S,2023-03-01T03:56:03.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629660,92.72339027595268,55.88235294117647,1610612744,36,54,2023-03-01T03:56:07Z,2580000,False,29.0,16.0,1,right,T. Jerome driving Layup (2 PTS) (K. Looney 1 AST),"[1629660, 1626172]",1610612744.0,GSW,driving,,,Jerome,T. Jerome,,,,,Restricted Area,0-8 Center,3.34,Made,,,,,,,,,,2.0,,,,,,K. Looney,1626172.0,1.0
265,PT05M20.00S,2023-03-01T03:56:17.2Z,2,REGULAR,turnover,out-of-bounds,[],1629629,,,1610612757,36,54,2023-03-01T03:56:21Z,2590000,False,,,0,,C. Reddish lost ball out-of-bounds TURNOVER (3 TO),[1629629],1610612757.0,POR,lost ball,,,Reddish,C. Reddish,,,,,Above the Break 3,24+ Right Center,,,,,,,,,3.0,,,,1628159.0,,,,,,,
267,PT05M20.00S,2023-03-01T03:56:24.1Z,2,REGULAR,substitution,in,[],203110,,,1610612744,36,54,2023-03-01T03:56:29Z,2610000,False,,,0,,SUB in: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT05M20.00S,2023-03-01T03:56:24.1Z,2,REGULAR,substitution,out,[],1626172,,,1610612744,36,54,2023-03-01T03:56:33Z,2620000,False,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT05M03.00S,2023-03-01T03:56:55.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628978,92.46057818659659,56.372549019607845,1610612744,38,54,2023-03-01T03:57:47Z,2630000,False,32.0,18.0,1,right,D. DiVincenzo driving Layup (8 PTS),[1628978],1610612744.0,GSW,driving,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,3.68,Made,,,,,,,,,,8.0,,,,,,,,
270,PT04M47.00S,2023-03-01T03:57:10.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203110,,,1610612757,38,54,2023-03-01T03:57:22Z,2640000,False,,,0,,D. Green shooting personal FOUL (2 PF) (Lillard 2 FT),"[203110, 203081]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1627962.0,2.0,0.0,Lillard,203081.0,,,
272,PT04M47.00S,2023-03-01T03:57:46.6Z,2,REGULAR,freethrow,1 of 2,[],203081,,,1610612757,38,55,2023-03-01T03:57:46Z,2660000,False,,,0,,D. Lillard Free Throw 1 of 2 (18 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,Made,,,,,,,,,,18.0,,,,,,,,
273,PT04M47.00S,2023-03-01T03:58:06.1Z,2,REGULAR,freethrow,2 of 2,[],203081,,,1610612757,38,56,2023-03-01T03:58:06Z,2670000,False,,,0,,D. Lillard Free Throw 2 of 2 (19 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,Made,,,,,,,,,,19.0,,,,,,,,
274,PT04M40.00S,2023-03-01T03:58:23.5Z,2,REGULAR,foul,personal,[],203081,,,1610612744,38,56,2023-03-01T03:58:29Z,2680000,False,,,0,,D. Lillard personal FOUL (1 PF),"[203081, 203110]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1627962.0,1.0,0.0,Green,203110.0,,,
276,PT04M34.00S,2023-03-01T03:59:05.6Z,2,REGULAR,3pt,Jump Shot,[],1629660,62.36859395532195,57.59803921568627,1610612744,38,56,2023-03-01T03:59:34Z,2700000,False,38.0,301.0,1,right,MISS T. Jerome 30' pullup 3PT,[1629660],1610612744.0,GSW,pullup,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Center,30.36,Missed,,,,,,,,,,,,,,,,,,
277,PT04M32.00S,2023-03-01T03:59:07.6Z,2,REGULAR,rebound,defensive,[],203924,,,1610612757,38,56,2023-03-01T03:59:09Z,2710000,False,,,0,,J. Grant REBOUND (Off:0 Def:2),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Center,,,,,276.0,2.0,2.0,0.0,,,,,,,,,,,,
278,PT04M23.00S,2023-03-01T03:59:16.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203924,12.959921156373195,50.73529411764706,1610612757,38,56,2023-03-01T03:59:23Z,2720000,False,-4.0,69.0,1,left,MISS J. Grant 6' driving Layup,[203924],1610612757.0,POR,driving,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,6.94,Missed,,,,,,,,,,,,,,,,,,
279,PT04M21.00S,2023-03-01T03:59:18.7Z,2,REGULAR,rebound,defensive,[],202691,,,1610612744,38,56,2023-03-01T03:59:33Z,2730000,False,,,0,,K. Thompson REBOUND (Off:0 Def:2),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,278.0,2.0,2.0,0.0,,,,,,,,,,,,
280,PT04M14.00S,2023-03-01T03:59:24.6Z,2,REGULAR,turnover,out-of-bounds,[],202691,,,1610612744,38,56,2023-03-01T03:59:32Z,2740000,False,,,0,,K. Thompson bad pass out-of-bounds TURNOVER (4 TO),[202691],1610612744.0,GSW,bad pass,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,,,4.0,,,,1628159.0,,,,,,,
281,PT04M09.00S,2023-03-01T03:59:36.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629629,25.706307490144546,12.254901960784313,1610612757,38,59,2023-03-01T04:00:19Z,2750000,False,189.0,189.0,1,left,C. Reddish 26' 3PT  (6 PTS) (D. Lillard 5 AST),"[1629629, 203081]",1610612757.0,POR,,,,Reddish,C. Reddish,,,,,Above the Break 3,24+ Right Center,26.71,Made,,,,,,,,,,6.0,,,,,,D. Lillard,203081.0,5.0
283,PT03M49.00S,2023-03-01T03:59:55.3Z,2,REGULAR,3pt,Jump Shot,[],203110,93.64323258869908,4.411764705882353,1610612744,38,59,2023-03-01T03:59:59Z,2770000,False,-228.0,7.0,1,right,MISS D. Green 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Left Corner 3,24+ Left,22.8,Missed,,,,,,,,,,,,,,,,,,
284,PT03M49.00S,2023-03-01T03:59:55.3Z,2,REGULAR,rebound,defensive,[],1629234,,,1610612757,38,59,2023-03-01T03:59:59Z,2780000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:5),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Left Corner 3,24+ Left,,,,,283.0,6.0,5.0,1.0,,,,,,,,,,,,
285,PT03M36.00S,2023-03-01T04:00:15.5Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630228,,,1610612757,38,59,2023-03-01T04:00:37Z,2790000,False,,,0,,J. Kuminga personal FOUL (2 PF) (Eubanks 2 FT),"[1630228, 1629234]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1179.0,2.0,0.0,Eubanks,1629234.0,,,
287,PT03M36.00S,2023-03-01T04:00:53.0Z,2,REGULAR,freethrow,1 of 2,[],1629234,,,1610612757,38,60,2023-03-01T04:01:19Z,2810000,False,,,0,,D. Eubanks Free Throw 1 of 2 (5 PTS),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,Made,,,,,,,,,,5.0,,,,,,,,
288,PT03M36.00S,2023-03-01T04:00:53.8Z,2,REGULAR,substitution,out,[],1629660,,,1610612757,38,60,2023-03-01T04:00:57Z,2820000,False,,,0,,SUB out: T. Jerome,[1629660],1610612744.0,GSW,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT03M36.00S,2023-03-01T04:00:53.8Z,2,REGULAR,substitution,in,[],1629673,,,1610612757,38,60,2023-03-01T04:00:57Z,2830000,False,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT03M36.00S,2023-03-01T04:00:53.0Z,2,REGULAR,freethrow,2 of 2,[],1629234,,,1610612757,38,60,2023-03-01T04:01:19Z,2840000,False,,,0,,MISS D. Eubanks Free Throw 2 of 2,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
291,PT03M34.00S,2023-03-01T04:00:55.0Z,2,REGULAR,rebound,defensive,[],203110,,,1610612744,38,60,2023-03-01T04:01:19Z,2850000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,290.0,2.0,2.0,0.0,,,,,,,,,,,,
292,PT03M26.00S,2023-03-01T04:01:25.7Z,2,REGULAR,turnover,bad pass,[],203110,,,1610612744,38,60,2023-03-01T04:01:29Z,2860000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1631101]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,Sharpe,1631101.0,,,,,,,,,
293,PT03M26.00S,2023-03-01T04:01:25.7Z,2,REGULAR,steal,,[],1631101,,,1610612757,38,60,2023-03-01T04:01:27Z,2870000,False,,,0,,S. Sharpe STEAL (1 STL),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
294,PT03M22.00S,2023-03-01T04:01:30.4Z,2,REGULAR,turnover,out-of-bounds,[],1629234,,,1610612757,38,60,2023-03-01T04:01:35Z,2880000,False,,,0,,D. Eubanks lost ball out-of-bounds TURNOVER (1 TO),[1629234],1610612757.0,POR,lost ball,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,1628159.0,,,,,,,
295,PT03M17.00S,2023-03-01T04:01:37.1Z,2,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",202691,71.04139290407359,13.23529411764706,1610612744,38,60,2023-03-01T04:02:21Z,2890000,False,-184.0,220.0,1,right,MISS K. Thompson 28' running 3PT,[202691],1610612744.0,GSW,running,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,28.64,Missed,,,,,,,,,,,,,,,,,,
296,PT03M14.00S,2023-03-01T04:01:40.1Z,2,REGULAR,rebound,defensive,[],203924,,,1610612757,38,60,2023-03-01T04:03:55Z,2900000,False,,,0,,J. Grant REBOUND (Off:0 Def:3),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,,,,,295.0,3.0,3.0,0.0,,,,,,,,,,,,
297,PT03M04.00S,2023-03-01T04:01:51.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,13.87976346911958,35.78431372549019,1610612757,38,60,2023-03-01T04:01:56Z,2910000,False,71.0,78.0,1,left,MISS D. Lillard 10' fadeaway Shot,[203081],1610612757.0,POR,fadeaway,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Right,10.55,Missed,,,,,,,,,,,,,,,,,,
298,PT03M02.00S,2023-03-01T04:01:53.0Z,2,REGULAR,rebound,defensive,[],1629673,,,1610612744,38,60,2023-03-01T04:01:56Z,2920000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),8-16 Right,,,,,297.0,1.0,1.0,0.0,,,,,,,,,,,,
299,PT02M49.00S,2023-03-01T04:02:05.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,93.51182654402102,57.59803921568627,1610612744,40,60,2023-03-01T04:02:12Z,2930000,False,38.0,8.0,1,right,J. Poole finger roll Layup (10 PTS),[1629673],1610612744.0,GSW,finger roll,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,3.89,Made,,,,,,,,,,10.0,,,,,,,,
301,PT02M34.00S,2023-03-01T04:02:30.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,40,60,2023-03-01T04:02:30Z,2950000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,PT02M34.00S,2023-03-01T04:05:05.5Z,2,REGULAR,substitution,out,[],1630228,,,1610612757,40,60,2023-03-01T04:05:17Z,2960000,False,,,0,,SUB out: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
303,PT02M34.00S,2023-03-01T04:05:05.5Z,2,REGULAR,substitution,out,[],1631101,,,1610612757,40,60,2023-03-01T04:05:17Z,2970000,False,,,0,,SUB out: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
304,PT02M34.00S,2023-03-01T04:05:05.5Z,2,REGULAR,substitution,out,[],1629234,,,1610612757,40,60,2023-03-01T04:05:17Z,2980000,False,,,0,,SUB out: D. Eubanks,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT02M34.00S,2023-03-01T04:05:05.5Z,2,REGULAR,substitution,in,[],1630237,,,1610612757,40,60,2023-03-01T04:05:17Z,2990000,False,,,0,,SUB in: A. Lamb,[1630237],1610612744.0,GSW,,,,Lamb,A. Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,
306,PT02M34.00S,2023-03-01T04:05:05.5Z,2,REGULAR,substitution,in,[],1630570,,,1610612757,40,60,2023-03-01T04:05:17Z,3000000,False,,,0,,SUB in: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
307,PT02M34.00S,2023-03-01T04:05:05.5Z,2,REGULAR,substitution,in,[],1629680,,,1610612757,40,60,2023-03-01T04:05:17Z,3010000,False,,,0,,SUB in: M. Thybulle,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT02M26.00S,2023-03-01T04:05:39.3Z,2,REGULAR,3pt,Jump Shot,[],203924,5.732588699080158,95.09803921568627,1610612757,40,63,2023-03-01T04:05:46Z,3020000,False,-225.0,1.0,1,left,J. Grant 3PT  (14 PTS) (C. Reddish 1 AST),"[203924, 1629629]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Left Corner 3,24+ Left,22.55,Made,,,,,,,,,,14.0,,,,,,C. Reddish,1629629.0,1.0
310,PT02M09.00S,2023-03-01T04:05:56.0Z,2,REGULAR,turnover,bad pass,[],203110,,,1610612744,40,63,2023-03-01T04:05:59Z,3040000,False,,,0,,D. Green bad pass TURNOVER (2 TO),"[203110, 203081]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,2.0,Lillard,203081.0,,,,,,,,,
311,PT02M09.00S,2023-03-01T04:05:56.0Z,2,REGULAR,steal,,[],203081,,,1610612757,40,63,2023-03-01T04:05:57Z,3050000,False,,,0,,D. Lillard STEAL (1 STL),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
312,PT02M04.00S,2023-03-01T04:06:01.7Z,2,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203081,23.078186596583443,90.44117647058823,1610612757,40,63,2023-03-01T04:06:32Z,3060000,False,-202.0,164.0,1,left,MISS D. Lillard 26' running 3PT,[203081],1610612757.0,POR,running,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,26.06,Missed,,,,,,,,,,,,,,,,,,
313,PT02M01.00S,2023-03-01T04:06:04.7Z,2,REGULAR,rebound,defensive,[],203110,,,1610612744,40,63,2023-03-01T04:06:08Z,3070000,False,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,312.0,3.0,3.0,0.0,,,,,,,,,,,,
314,PT01M57.00S,2023-03-01T04:06:11.6Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630570,,,1610612744,40,63,2023-03-01T04:06:15Z,3080000,False,,,0,,T. Watford personal FOUL (2 PF) (Thompson 2 FT),"[1630570, 202691]",1610612757.0,POR,,,,Watford,T. Watford,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1179.0,2.0,0.0,Thompson,202691.0,,,
316,PT01M57.00S,2023-03-01T04:06:40.0Z,2,REGULAR,freethrow,1 of 2,[],202691,,,1610612744,41,63,2023-03-01T04:06:40Z,3100000,False,,,0,,K. Thompson Free Throw 1 of 2 (4 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,Made,,,,,,,,,,4.0,,,,,,,,
317,PT01M57.00S,2023-03-01T04:06:56.9Z,2,REGULAR,freethrow,2 of 2,[],202691,,,1610612744,42,63,2023-03-01T04:06:56Z,3110000,False,,,0,,K. Thompson Free Throw 2 of 2 (5 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,Made,,,,,,,,,,5.0,,,,,,,,
318,PT01M42.00S,2023-03-01T04:07:12.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629629,9.411957950065702,38.72549019607843,1610612757,42,63,2023-03-01T04:07:16Z,3120000,False,56.0,36.0,1,left,MISS C. Reddish 6' driving finger roll Layup,[1629629],1610612757.0,POR,driving finger roll,,,Reddish,C. Reddish,,,,,In The Paint (Non-RA),0-8 Center,6.69,Missed,,,,,,,,,,,,,,,,,,
319,PT01M40.00S,2023-03-01T04:07:14.5Z,2,REGULAR,rebound,offensive,[],1629680,,,1610612757,42,63,2023-03-01T04:07:16Z,3130000,False,,,0,,M. Thybulle REBOUND (Off:2 Def:0),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),0-8 Center,,,,,318.0,2.0,0.0,2.0,,,,,,,,,,,,
320,PT01M29.00S,2023-03-01T04:07:24.9Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203924,5.206964520367937,2.941176470588235,1610612757,42,63,2023-03-01T04:07:30Z,3140000,False,235.0,-4.0,1,left,MISS J. Grant 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Right Corner 3,24+ Right,23.53,Missed,,,,,,,,,,,,,,,,,,
321,PT01M26.00S,2023-03-01T04:07:27.9Z,2,REGULAR,rebound,defensive,[],202691,,,1610612744,42,63,2023-03-01T04:07:30Z,3150000,False,,,0,,K. Thompson REBOUND (Off:0 Def:3),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Right Corner 3,24+ Right,,,,,320.0,3.0,3.0,0.0,,,,,,,,,,,,
322,PT01M13.00S,2023-03-01T04:07:41.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,90.88370565045992,50.0,1610612744,42,63,2023-03-01T04:07:46Z,3160000,False,0.0,33.0,1,right,MISS K. Thompson driving floating bank Shot,[202691],1610612744.0,GSW,driving floating bank,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,3.32,Missed,,,,,,,,,,,,,,,,,,
323,PT01M11.00S,2023-03-01T04:07:43.3Z,2,REGULAR,rebound,offensive,[],202691,,,1610612744,42,63,2023-03-01T04:07:46Z,3170000,False,,,0,,K. Thompson REBOUND (Off:1 Def:3),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,,,322.0,4.0,3.0,1.0,,,,,,,,,,,,
324,PT01M11.00S,2023-03-01T04:07:44.3Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202691,94.40999984741211,50.0,1610612744,42,63,2023-03-01T04:07:48Z,3180000,False,0.0,0.0,1,right,MISS K. Thompson tip Layup,[202691],1610612744.0,GSW,tip,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
325,PT01M11.00S,2023-03-01T04:07:44.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612744,42,63,2023-03-01T04:07:48Z,3190000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Restricted Area,0-8 Center,,,,,324.0,,,,,,,,,,,,,,,
327,PT01M09.00S,2023-03-01T04:07:59.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628978,92.19776609724047,44.85294117647059,1610612744,44,63,2023-03-01T04:08:03Z,3210000,False,-26.0,21.0,1,right,D. DiVincenzo cutting Layup (10 PTS) (J. Poole 3 AST),"[1628978, 1629673]",1610612744.0,GSW,cutting,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,3.31,Made,,,,,,,,,,10.0,,,,,,J. Poole,1629673.0,3.0
329,PT00M53.90S,2023-03-01T04:08:14.2Z,2,REGULAR,3pt,Jump Shot,[],1629629,23.340998685939553,4.901960784313726,1610612757,44,63,2023-03-01T04:08:19Z,3230000,False,225.0,167.0,1,left,MISS C. Reddish 28' 3PT,[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,Above the Break 3,24+ Right Center,28.05,Missed,,,,,,,,,,,,,,,,,,
330,PT00M52.60S,2023-03-01T04:08:15.5Z,2,REGULAR,rebound,defensive,[],202691,,,1610612744,44,63,2023-03-01T04:08:19Z,3240000,False,,,0,,K. Thompson REBOUND (Off:1 Def:4),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,329.0,5.0,4.0,1.0,,,,,,,,,,,,
331,PT00M44.90S,2023-03-01T04:08:25.8Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629680,,,1610612744,44,63,2023-03-01T04:08:37Z,3250000,False,,,0,,M. Thybulle shooting personal FOUL (1 PF) (Thompson 2 FT),"[1629680, 202691]",1610612757.0,POR,shooting,,,Thybulle,M. Thybulle,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1628159.0,1.0,0.0,Thompson,202691.0,,,
333,PT00M44.90S,2023-03-01T04:08:51.9Z,2,REGULAR,freethrow,1 of 2,[],202691,,,1610612744,45,63,2023-03-01T04:08:51Z,3270000,False,,,0,,K. Thompson Free Throw 1 of 2 (6 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,Made,,,,,,,,,,6.0,,,,,,,,
334,PT00M44.90S,2023-03-01T04:09:06.8Z,2,REGULAR,freethrow,2 of 2,[],202691,,,1610612744,46,63,2023-03-01T04:09:06Z,3280000,False,,,0,,K. Thompson Free Throw 2 of 2 (7 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,Made,,,,,,,,,,7.0,,,,,,,,
335,PT00M27.30S,2023-03-01T04:09:27.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629629,8.623521681997373,39.46078431372549,1610612757,46,65,2023-03-01T04:09:33Z,3290000,False,53.0,29.0,1,left,C. Reddish 6' driving Layup (8 PTS) (T. Watford 5 AST),"[1629629, 1630570]",1610612757.0,POR,driving,,,Reddish,C. Reddish,,,,,In The Paint (Non-RA),0-8 Center,6.0,Made,,,,,,,,,,8.0,,,,,,T. Watford,1630570.0,5.0
337,PT00M05.70S,2023-03-01T04:09:52.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,93.11760840998686,57.84313725490197,1610612744,48,65,2023-03-01T04:09:58Z,3310000,False,39.0,12.0,1,right,J. Poole driving finger roll Layup (12 PTS),[1629673],1610612744.0,GSW,driving finger roll,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,4.11,Made,,,,,,,,,,12.0,,,,,,,,
338,PT00M00.50S,2023-03-01T04:10:01.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203081,10.068988173455978,53.431372549019606,1610612757,48,65,2023-03-01T04:10:20Z,3320000,False,-17.0,42.0,1,left,MISS D. Lillard driving Layup,[203081],1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,4.55,Missed,,,,,,,,,,,,,,,,,,
340,PT00M00.10S,2023-03-01T04:10:01.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612757,48,65,2023-03-01T04:10:20Z,3340000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,338.0,,,,,,,,,,,,,,,
341,PT00M00.00S,2023-03-01T04:10:09.9Z,2,REGULAR,period,end,[],0,,,1610612757,48,65,2023-03-01T04:10:10Z,3350000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,PT12M00.00S,2023-03-01T04:24:22.8Z,3,REGULAR,substitution,out,['startperiod'],1630237,,,1610612757,48,65,2023-03-01T04:24:53Z,3360000,False,,,0,,SUB out: A. Lamb,[1630237],1610612744.0,GSW,,,,Lamb,A. Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,
344,PT12M00.00S,2023-03-01T04:24:22.8Z,3,REGULAR,substitution,out,['startperiod'],1630570,,,1610612757,48,65,2023-03-01T04:24:53Z,3370000,False,,,0,,SUB out: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT12M00.00S,2023-03-01T04:24:22.8Z,3,REGULAR,substitution,in,['startperiod'],1626172,,,1610612757,48,65,2023-03-01T04:24:53Z,3380000,False,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
346,PT12M00.00S,2023-03-01T04:24:22.8Z,3,REGULAR,substitution,in,['startperiod'],1629234,,,1610612757,48,65,2023-03-01T04:24:53Z,3390000,False,,,0,,SUB in: D. Eubanks,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
347,PT12M00.00S,2023-03-01T04:25:18.6Z,3,REGULAR,period,start,[],0,,,1610612757,48,65,2023-03-01T04:25:18Z,3400000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
