actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
173,PT10M26.00S,2023-02-05T02:14:38.2Z,2,REGULAR,rebound,offensive,[],203939,,,1610612742,42,27,2023-02-05T02:14:39Z,1730000,False,,,0,,D. Powell REBOUND (Off:2 Def:2),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Left Corner 3,24+ Left,,,172.0,4.0,2.0,2.0,,,,,,,,,,,,,,
174,PT10M23.00S,2023-02-05T02:14:41.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627827,33.85348226018397,47.549019607843135,1610612742,42,30,2023-02-05T02:14:46Z,1740000,False,12.0,266.0,1,left,D. Finney-Smith 26' 3PT  (12 PTS) (J. Hardy 1 AST),"[1627827, 1630702]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,26.6,Made,,,,,12.0,,,J. Hardy,1630702.0,1.0,,,,,,,,
176,PT10M01.00S,2023-02-05T02:15:02.9Z,2,REGULAR,3pt,Jump Shot,[],203110,86.15308804204993,96.56862745098039,1610612744,45,30,2023-02-05T02:15:07Z,1760000,False,233.0,78.0,1,right,D. Green 24' 3PT  (6 PTS) (T. Jerome 3 AST),"[203110, 1629660]",1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,24.54,Made,,,,,6.0,,,T. Jerome,1629660.0,3.0,,,,,,,,
178,PT09M47.00S,2023-02-05T02:15:16.7Z,2,REGULAR,3pt,Jump Shot,[],1630702,26.888961892247043,81.12745098039215,1610612742,45,30,2023-02-05T02:15:31Z,1780000,False,-156.0,200.0,1,left,MISS J. Hardy 25' step back 3PT,[1630702],1610612742.0,DAL,step back,,,Hardy,J. Hardy,,,,,Above the Break 3,24+ Left Center,25.36,Missed,,,,,,,,,,,,,,,,,,
179,PT09M47.00S,2023-02-05T02:15:16.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612742,45,30,2023-02-05T02:15:31Z,1790000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Left Center,,,178.0,,,,,,,,,,,,,,,,,
180,PT09M47.00S,2023-02-05T02:15:22.7Z,2,REGULAR,foul,personal,[],1629660,,,1610612742,45,30,2023-02-05T02:15:29Z,1800000,False,,,0,,T. Jerome loose ball personal FOUL (1 PF),"[1629660, 203939]",1610612744.0,GSW,loose ball,,,Jerome,T. Jerome,,,,,Restricted Area,0-8 Center,,,,,,,,1148.0,,,,,,,1.0,0.0,Powell,203939.0,,
182,PT09M32.00S,2023-02-05T02:15:57.5Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1627827,9.280551905387648,54.166666666666664,1610612742,45,32,2023-02-05T02:21:46Z,1820000,False,-21.0,35.0,1,left,D. Finney-Smith Hook (14 PTS),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,4.05,Made,,,,,14.0,,,,,,,,,,,,,
183,PT09M13.00S,2023-02-05T02:16:16.8Z,2,REGULAR,3pt,Jump Shot,[],1628978,64.60249671484888,21.07843137254902,1610612744,45,32,2023-02-05T02:16:20Z,1830000,False,-145.0,280.0,1,right,MISS D. DiVincenzo 31' pullup 3PT,[1628978],1610612744.0,GSW,pullup,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,31.53,Missed,,,,,,,,,,,,,,,,,,
184,PT09M09.00S,2023-02-05T02:16:20.8Z,2,REGULAR,rebound,defensive,[],203501,,,1610612742,45,32,2023-02-05T02:16:20Z,1840000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,,,183.0,1.0,1.0,0.0,,,,,,,,,,,,,,
185,PT09M00.00S,2023-02-05T02:16:29.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203939,9.280551905387648,56.61764705882353,1610612742,45,32,2023-02-05T02:16:32Z,1850000,False,-33.0,35.0,1,left,MISS D. Powell turnaround Hook - blocked,"[203939, 1630228]",1610612742.0,DAL,turnaround,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,4.8,Missed,,,,,,,,,,,Kuminga,1630228.0,,,,,,
186,PT09M00.00S,2023-02-05T02:16:29.3Z,2,REGULAR,block,,[],1630228,,,1610612742,45,32,2023-02-05T02:16:31Z,1860000,False,,,0,,J. Kuminga BLOCK (1 BLK),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
187,PT08M58.00S,2023-02-05T02:16:31.3Z,2,REGULAR,rebound,defensive,[],1629660,,,1610612744,45,32,2023-02-05T02:16:32Z,1870000,False,,,0,,T. Jerome REBOUND (Off:0 Def:1),[1629660],1610612744.0,GSW,,,,Jerome,T. Jerome,,,,,In The Paint (Non-RA),0-8 Center,,,185.0,1.0,1.0,0.0,,,,,,,,,,,,,,
188,PT08M56.00S,2023-02-05T02:16:34.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630228,89.04402102496715,49.50980392156863,1610612744,47,32,2023-02-05T02:16:42Z,1880000,False,-2.0,50.0,1,right,J. Kuminga running Layup (6 PTS) (T. Jerome 4 AST),"[1630228, 1629660]",1610612744.0,GSW,running,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,5.06,Made,,,,,6.0,,,T. Jerome,1629660.0,4.0,,,,,,,,
190,PT08M42.00S,2023-02-05T02:16:48.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627827,10.726018396846255,52.69607843137255,1610612742,47,32,2023-02-05T02:16:52Z,1900000,False,-13.0,48.0,1,left,MISS D. Finney-Smith driving floating Shot,[1627827],1610612742.0,DAL,driving floating,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,5.02,Missed,,,,,,,,,,,,,,,,,,
191,PT08M39.00S,2023-02-05T02:16:50.5Z,2,REGULAR,rebound,offensive,[],1627827,,,1610612742,47,32,2023-02-05T02:16:50Z,1910000,False,,,0,,D. Finney-Smith REBOUND (Off:3 Def:3),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,,,190.0,6.0,3.0,3.0,,,,,,,,,,,,,,
192,PT08M39.00S,2023-02-05T02:16:50.9Z,2,REGULAR,turnover,bad pass,[],1627827,,,1610612742,47,32,2023-02-05T02:16:55Z,1920000,False,,,0,,D. Finney-Smith bad pass TURNOVER (1 TO),"[1627827, 1629660]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,,,,,,,Jerome,1629660.0
193,PT08M39.00S,2023-02-05T02:16:50.9Z,2,REGULAR,steal,,[],1629660,,,1610612744,47,32,2023-02-05T02:16:52Z,1930000,False,,,0,,T. Jerome STEAL (1 STL),[1629660],1610612744.0,GSW,,,,Jerome,T. Jerome,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
194,PT08M33.00S,2023-02-05T02:16:57.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630228,70.25295663600527,78.18627450980392,1610612744,47,32,2023-02-05T02:17:01Z,1940000,False,141.0,227.0,1,right,MISS J. Kuminga 26' 3PT,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Right Center,26.73,Missed,,,,,,,,,,,,,,,,,,
195,PT08M30.00S,2023-02-05T02:17:00.3Z,2,REGULAR,rebound,defensive,[],203915,,,1610612742,47,32,2023-02-05T02:17:01Z,1950000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,,,194.0,1.0,1.0,0.0,,,,,,,,,,,,,,
196,PT08M21.00S,2023-02-05T02:17:08.9Z,2,REGULAR,foul,personal,['2freethrow'],203110,,,1610612742,47,32,2023-02-05T02:17:32Z,1960000,False,,,0,,D. Green shooting personal FOUL (2 PF) (Dinwiddie 2 FT),"[203110, 203915]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1155.0,,,,,,,2.0,0.0,Dinwiddie,203915.0,,
198,PT08M21.00S,2023-02-05T02:17:42.2Z,2,REGULAR,freethrow,1 of 2,[],203915,,,1610612742,47,33,2023-02-05T02:17:42Z,1980000,False,,,0,,S. Dinwiddie Free Throw 1 of 2 (8 PTS),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
199,PT08M21.00S,2023-02-05T02:17:43.0Z,2,REGULAR,substitution,out,[],1628978,,,1610612742,47,33,2023-02-05T02:17:48Z,1990000,False,,,0,,SUB out: D. DiVincenzo,[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT08M21.00S,2023-02-05T02:17:43.0Z,2,REGULAR,substitution,out,[],203110,,,1610612742,47,33,2023-02-05T02:17:48Z,2000000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT08M21.00S,2023-02-05T02:17:43.0Z,2,REGULAR,substitution,in,[],1626172,,,1610612742,47,33,2023-02-05T02:17:48Z,2010000,False,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M21.00S,2023-02-05T02:17:43.0Z,2,REGULAR,substitution,in,[],203952,,,1610612742,47,33,2023-02-05T02:17:48Z,2020000,False,,,0,,SUB in: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT08M21.00S,2023-02-05T02:18:00.9Z,2,REGULAR,freethrow,2 of 2,[],203915,,,1610612742,47,34,2023-02-05T02:18:00Z,2030000,False,,,0,,S. Dinwiddie Free Throw 2 of 2 (9 PTS),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
204,PT08M00.00S,2023-02-05T02:18:23.3Z,2,REGULAR,3pt,Jump Shot,[],1629660,88.91261498028909,3.431372549019608,1610612744,50,34,2023-02-05T02:18:27Z,2040000,False,-233.0,52.0,1,right,T. Jerome 3PT pullup (3 PTS) (J. Kuminga 1 AST),"[1629660, 1630228]",1610612744.0,GSW,pullup,,,Jerome,T. Jerome,,,,,Left Corner 3,24+ Left,23.85,Made,,,,,3.0,,,J. Kuminga,1630228.0,1.0,,,,,,,,
206,PT07M46.00S,2023-02-05T02:18:36.8Z,2,REGULAR,3pt,Jump Shot,[],203915,32.14520367936925,22.794117647058822,1610612742,50,37,2023-02-05T02:18:41Z,2060000,False,136.0,250.0,1,left,S. Dinwiddie 28' 3PT step back (12 PTS),[203915],1610612742.0,DAL,step back,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,28.43,Made,,,,,12.0,,,,,,,,,,,,,
207,PT07M23.00S,2023-02-05T02:18:59.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629660,86.15308804204993,47.549019607843135,1610612744,52,37,2023-02-05T02:19:09Z,2070000,False,-12.0,78.0,1,right,T. Jerome 7' driving floating Jump Shot (5 PTS),[1629660],1610612744.0,GSW,driving floating,,,Jerome,T. Jerome,,,,,In The Paint (Non-RA),0-8 Center,7.87,Made,,,,,5.0,,,,,,,,,,,,,
208,PT07M08.00S,2023-02-05T02:19:14.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630702,7.178055190538765,44.36274509803921,1610612742,52,39,2023-02-05T02:19:20Z,2080000,False,28.0,15.0,1,left,J. Hardy driving Layup (4 PTS),[1630702],1610612742.0,DAL,driving,,,Hardy,J. Hardy,,,,,Restricted Area,0-8 Center,3.19,Made,,,,,4.0,,,,,,,,,,,,,
209,PT06M51.00S,2023-02-05T02:19:34.3Z,2,REGULAR,foul,personal,[],1630702,,,1610612744,52,39,2023-02-05T02:19:40Z,2090000,False,,,0,,J. Hardy personal FOUL (1 PF),"[1630702, 1630228]",1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1148.0,,,,,,,1.0,0.0,Kuminga,1630228.0,,
211,PT06M51.00S,2023-02-05T02:19:41.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,52,39,2023-02-05T02:19:41Z,2110000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT06M51.00S,2023-02-05T02:22:36.6Z,2,REGULAR,substitution,out,[],1629673,,,1610612744,52,39,2023-02-05T02:22:47Z,2120000,False,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT06M51.00S,2023-02-05T02:22:36.6Z,2,REGULAR,substitution,out,[],1630702,,,1610612744,52,39,2023-02-05T02:22:47Z,2130000,False,,,0,,SUB out: J. Hardy,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT06M51.00S,2023-02-05T02:22:36.6Z,2,REGULAR,substitution,out,[],1627827,,,1610612744,52,39,2023-02-05T02:22:47Z,2140000,False,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT06M51.00S,2023-02-05T02:22:36.6Z,2,REGULAR,substitution,in,[],202691,,,1610612744,52,39,2023-02-05T02:22:47Z,2150000,False,,,0,,SUB in: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT06M51.00S,2023-02-05T02:22:36.6Z,2,REGULAR,substitution,in,[],203493,,,1610612744,52,39,2023-02-05T02:22:47Z,2160000,False,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT06M51.00S,2023-02-05T02:22:36.6Z,2,REGULAR,substitution,in,[],1630182,,,1610612744,52,39,2023-02-05T02:22:47Z,2170000,False,,,0,,SUB in: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT06M40.00S,2023-02-05T02:23:16.0Z,2,REGULAR,3pt,Jump Shot,[],202691,76.03482260183968,87.00980392156863,1610612744,52,39,2023-02-05T02:23:21Z,2180000,False,185.0,173.0,1,right,MISS K. Thompson 25' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,25.31,Missed,,,,,,,,,,,,,,,,,,
219,PT06M38.00S,2023-02-05T02:23:18.0Z,2,REGULAR,rebound,defensive,[],203493,,,1610612742,52,39,2023-02-05T02:23:21Z,2190000,False,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Right Center,,,218.0,1.0,1.0,0.0,,,,,,,,,,,,,,
220,PT06M17.00S,2023-02-05T02:23:39.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203915,10.200394218134035,39.21568627450981,1610612742,52,39,2023-02-05T02:23:44Z,2200000,False,54.0,43.0,1,left,MISS S. Dinwiddie 6' driving finger roll Layup,[203915],1610612742.0,DAL,driving finger roll,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,6.92,Missed,,,,,,,,,,,,,,,,,,
221,PT06M14.00S,2023-02-05T02:23:42.7Z,2,REGULAR,rebound,defensive,[],1626172,,,1610612744,52,39,2023-02-05T02:29:27Z,2210000,False,,,0,,K. Looney REBOUND (Off:1 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,220.0,3.0,2.0,1.0,,,,,,,,,,,,,,
295,PT06M09.00S,2023-02-05T02:23:49.9Z,2,REGULAR,turnover,lost ball,[],1630228,,,1610612744,52,39,2023-02-05T02:36:00Z,2230000,False,,,0,,J. Kuminga lost ball TURNOVER (1 TO),"[1630228, 203939]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,,,,,,,Powell,203939.0
296,PT06M09.00S,2023-02-05T02:23:49.9Z,2,REGULAR,steal,,[],203939,,,1610612742,52,39,2023-02-05T02:36:00Z,2240000,False,,,0,,D. Powell STEAL (2 STL),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
225,PT05M58.00S,2023-02-05T02:24:00.2Z,2,REGULAR,foul,personal,[],1626172,,,1610612742,52,39,2023-02-05T02:36:00Z,2250000,False,,,0,,K. Looney personal FOUL (3 PF),"[1626172, 1630182]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,8-16 Left,,,,,,,,1148.0,,,,,,,3.0,0.0,Green,1630182.0,,
227,PT05M58.00S,2023-02-05T02:24:08.2Z,2,REGULAR,substitution,out,[],1629660,,,1610612742,52,39,2023-02-05T02:24:00Z,2270000,False,,,0,,SUB out: T. Jerome,[1629660],1610612744.0,GSW,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT05M58.00S,2023-02-05T02:24:08.2Z,2,REGULAR,substitution,in,[],201939,,,1610612742,52,39,2023-02-05T02:24:00Z,2280000,False,,,0,,SUB in: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT05M58.00S,2023-02-05T02:24:16.9Z,2,REGULAR,substitution,out,[],1626172,,,1610612742,52,39,2023-02-05T02:24:00Z,2290000,False,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT05M58.00S,2023-02-05T02:24:16.9Z,2,REGULAR,substitution,in,[],203210,,,1610612742,52,39,2023-02-05T02:24:00Z,2300000,False,,,0,,SUB in: J. Green,[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT05M46.00S,2023-02-05T02:24:42.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203915,18.134034165571617,2.473958333333333,1610612742,52,39,2023-02-05T02:24:00Z,2310000,False,238.0,118.0,1,left,MISS S. Dinwiddie 26' step back 3PT,[203915],1610612742.0,DAL,step back,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,26.53,Missed,,,,,,,,,,,,,,,,,,
232,PT05M45.00S,2023-02-05T02:24:43.5Z,2,REGULAR,rebound,defensive,[],203210,,,1610612744,52,39,2023-02-05T02:24:49Z,2320000,False,,,0,,J. Green REBOUND (Off:2 Def:1),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,231.0,3.0,1.0,2.0,,,,,,,,,,,,,,
233,PT05M29.00S,2023-02-05T02:25:00.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,91.14651773981603,39.21568627450981,1610612744,54,39,2023-02-05T02:25:07Z,2330000,False,-54.0,31.0,1,right,A. Wiggins 6' turnaround fadeaway Jump Shot (4 PTS) (J. Green 2 AST),"[203952, 203210]",1610612744.0,GSW,turnaround fadeaway,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,6.2,Made,,,,,4.0,,,J. Green,203210.0,2.0,,,,,,,,
234,PT05M18.00S,2023-02-05T02:25:11.6Z,2,REGULAR,3pt,Jump Shot,[],203493,23.078186596583443,87.74509803921569,1610612742,54,42,2023-02-05T02:25:15Z,2340000,False,-189.0,164.0,1,left,R. Bullock 25' 3PT  (5 PTS) (S. Dinwiddie 1 AST),"[203493, 203915]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Left Center,25.03,Made,,,,,5.0,,,S. Dinwiddie,203915.0,1.0,,,,,,,,
236,PT05M04.00S,2023-02-05T02:25:25.2Z,2,REGULAR,3pt,Jump Shot,[],1630228,71.04139290407359,21.568627450980394,1610612744,57,42,2023-02-05T02:25:30Z,2360000,False,-142.0,220.0,1,right,J. Kuminga 26' 3PT  (9 PTS) (S. Curry 5 AST),"[1630228, 201939]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Left Center,26.17,Made,,,,,9.0,,,S. Curry,201939.0,5.0,,,,,,,,
238,PT04M45.00S,2023-02-05T02:25:44.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203915,7.5722733245729295,59.55882352941176,1610612742,57,42,2023-02-05T02:25:48Z,2380000,False,-48.0,19.0,1,left,MISS S. Dinwiddie driving Layup - blocked,"[203915, 203210]",1610612742.0,DAL,driving,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,5.13,Missed,,,,,,,,,,,Green,203210.0,,,,,,
239,PT04M45.00S,2023-02-05T02:25:44.0Z,2,REGULAR,block,,[],203210,,,1610612742,57,42,2023-02-05T02:25:46Z,2390000,False,,,0,,J. Green BLOCK (1 BLK),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
240,PT04M43.00S,2023-02-05T02:25:46.0Z,2,REGULAR,rebound,defensive,[],201939,,,1610612744,57,42,2023-02-05T02:25:48Z,2400000,False,,,0,,S. Curry REBOUND (Off:0 Def:3),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,238.0,3.0,3.0,0.0,,,,,,,,,,,,,,
241,PT04M39.00S,2023-02-05T02:25:51.1Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203210,90.88370565045992,48.77450980392157,1610612744,59,42,2023-02-05T02:36:54Z,2410000,False,-6.0,33.0,1,right,J. Green running DUNK (8 PTS),[203210],1610612744.0,GSW,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.38,Made,,,,,8.0,,,,,,,,,,,,,
242,PT04M20.00S,2023-02-05T02:26:09.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,15.193823915900131,47.549019607843135,1610612742,59,42,2023-02-05T02:26:21Z,2420000,False,12.0,90.0,1,left,MISS S. Dinwiddie 9' driving floating Shot - blocked,"[203915, 203210]",1610612742.0,DAL,driving floating,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Center,9.11,Missed,,,,,,,,,,,Green,203210.0,,,,,,
243,PT04M20.00S,2023-02-05T02:26:09.4Z,2,REGULAR,block,,[],203210,,,1610612742,59,42,2023-02-05T02:26:12Z,2430000,False,,,0,,J. Green BLOCK (2 BLK),[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
244,PT04M19.00S,2023-02-05T02:26:10.4Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612744,59,42,2023-02-05T02:26:21Z,2440000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,242.0,,,,,,,,,,,,,,,,,
246,PT04M19.00S,2023-02-05T02:26:17.0Z,2,REGULAR,substitution,out,[],1630228,,,1610612744,59,42,2023-02-05T02:26:40Z,2460000,False,,,0,,SUB out: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT04M19.00S,2023-02-05T02:26:17.0Z,2,REGULAR,substitution,out,[],203939,,,1610612744,59,42,2023-02-05T02:26:40Z,2470000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT04M19.00S,2023-02-05T02:26:17.0Z,2,REGULAR,substitution,in,[],203110,,,1610612744,59,42,2023-02-05T02:26:40Z,2480000,False,,,0,,SUB in: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT04M19.00S,2023-02-05T02:26:17.0Z,2,REGULAR,substitution,in,[],1630593,,,1610612744,59,42,2023-02-05T02:26:40Z,2490000,False,,,0,,SUB in: M. Wright IV,[1630593],1610612742.0,DAL,,,,Wright IV,M. Wright IV,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT04M19.00S,2023-02-05T02:26:17.0Z,2,REGULAR,substitution,out,[],203915,,,1610612744,59,42,2023-02-05T02:27:37Z,2495000,False,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT04M19.00S,2023-02-05T02:26:17.0Z,2,REGULAR,substitution,in,[],1627827,,,1610612744,59,42,2023-02-05T02:27:37Z,2497500,False,,,0,,SUB in: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT04M09.00S,2023-02-05T02:26:43.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203110,92.19776609724047,41.911764705882355,1610612744,61,42,2023-02-05T02:26:48Z,2500000,False,-40.0,21.0,1,right,D. Green driving Layup (8 PTS),[203110],1610612744.0,GSW,driving,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,4.54,Made,,,,,8.0,,,,,,,,,,,,,
251,PT03M52.00S,2023-02-05T02:26:59.5Z,2,REGULAR,3pt,Jump Shot,[],203501,12.302890932982917,95.83333333333334,1610612742,61,45,2023-02-05T02:27:04Z,2510000,False,-229.0,63.0,1,left,T. Hardaway Jr. 3PT  (5 PTS) (J. Green 2 AST),"[203501, 1630182]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Left Corner 3,24+ Left,23.77,Made,,,,,5.0,,,J. Green,1630182.0,2.0,,,,,,,,
253,PT03M35.00S,2023-02-05T02:27:17.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202691,92.06636005256242,57.35294117647059,1610612744,63,45,2023-02-05T02:27:23Z,2530000,False,37.0,22.0,1,right,K. Thompson cutting Layup (7 PTS) (D. Green 5 AST),"[202691, 203110]",1610612744.0,GSW,cutting,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,4.29,Made,,,,,7.0,,,D. Green,203110.0,5.0,,,,,,,,
