actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
165,PT11M07.00S,2024-01-14T01:06:43.0Z,2,REGULAR,freethrow,1 of 2,[],1641731,,,1610612764,25,34,2024-01-14T01:06:43Z,1640000,False,,,0,,B. Coulibaly Free Throw 1 of 2 (4 PTS),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,Made,,,,,,4.0,,,,,,,,,,,,
166,PT11M07.00S,2024-01-14T01:07:00.0Z,2,REGULAR,freethrow,2 of 2,[],1641731,,,1610612764,25,35,2024-01-14T01:07:00Z,1650000,False,,,0,,B. Coulibaly Free Throw 2 of 2 (5 PTS),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,Made,,,,,,5.0,,,,,,,,,,,,
168,PT10M58.00S,2024-01-14T01:07:11.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,6.521024967148489,47.30392156862745,1610612737,25,35,2024-01-14T01:07:22Z,1660000,False,13.0,9.0,1,left,MISS T. Young driving Layup - blocked,"[1629027, 1630166]",1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,1.61,Missed,,,,,,,,,,,Avdija,1630166.0,,,,,,
169,PT10M58.00S,2024-01-14T01:07:11.9Z,2,REGULAR,block,,[],1630166,,,1610612737,25,35,2024-01-14T01:07:14Z,1670000,False,,,0,,D. Avdija BLOCK (1 BLK),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
170,PT10M58.00S,2024-01-14T01:07:11.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612737,25,35,2024-01-14T01:07:22Z,1680000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,168.0,,,,,,,,,,,,,,,,,
172,PT10M52.00S,2024-01-14T01:07:39.8Z,2,REGULAR,foul,personal,[],1631116,,,1610612737,25,35,2024-01-14T01:07:47Z,1700000,False,,,0,,P. Baldwin Jr. personal FOUL (2 PF),"[1631116, 203992]",1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1193.0,,,,,,,,2.0,0.0,Bogdanovic,203992.0,,
174,PT10M39.00S,2024-01-14T01:08:08.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630552,16.507884362680684,43.627450980392155,1610612737,25,35,2024-01-14T01:08:16Z,1720000,False,32.0,103.0,1,left,MISS J. Johnson 10' driving floating Shot - blocked,"[1630552, 1631116]",1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,10.75,Missed,,,,,,,,,,,Baldwin Jr.,1631116.0,,,,,,
175,PT10M39.00S,2024-01-14T01:08:08.6Z,2,REGULAR,block,,[],1631116,,,1610612737,25,35,2024-01-14T01:08:11Z,1730000,False,,,0,,P. Baldwin Jr. BLOCK (1 BLK),[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
176,PT10M34.00S,2024-01-14T01:08:13.6Z,2,REGULAR,rebound,offensive,[],1630168,,,1610612737,25,35,2024-01-14T01:08:16Z,1740000,False,,,0,,O. Okongwu REBOUND (Off:3 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,174.0,5.0,2.0,3.0,,,,,,,,,,,,,,
177,PT10M34.00S,2024-01-14T01:08:12.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630168,7.966491458607096,49.26470588235294,1610612737,25,35,2024-01-14T01:08:19Z,1750000,False,4.0,22.0,1,left,MISS O. Okongwu floating Shot,[1630168],1610612737.0,ATL,floating,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,2.27,Missed,,,,,,,,,,,,,,,,,,
178,PT10M32.00S,2024-01-14T01:08:14.7Z,2,REGULAR,rebound,defensive,[],1631116,,,1610612764,25,35,2024-01-14T01:08:19Z,1760000,False,,,0,,P. Baldwin Jr. REBOUND (Off:0 Def:1),[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Restricted Area,0-8 Center,,,177.0,1.0,1.0,0.0,,,,,,,,,,,,,,
179,PT10M27.00S,2024-01-14T01:08:19.8Z,2,REGULAR,3pt,Jump Shot,[],1631116,72.22404730617609,16.911764705882355,1610612764,25,35,2024-01-14T01:08:28Z,1770000,False,-165.0,209.0,1,right,MISS P. Baldwin Jr. 26' 3PT,[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Above the Break 3,24+ Left Center,26.62,Missed,,,,,,,,,,,,,,,,,,
180,PT10M25.00S,2024-01-14T01:08:22.7Z,2,REGULAR,rebound,offensive,[],1630557,,,1610612764,25,35,2024-01-14T01:08:22Z,1780000,False,,,0,,C. Kispert REBOUND (Off:1 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,,,179.0,2.0,1.0,1.0,,,,,,,,,,,,,,
181,PT10M23.00S,2024-01-14T01:08:24.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630166,67.09921156373193,47.794117647058826,1610612764,25,38,2024-01-14T01:08:30Z,1790000,False,-11.0,257.0,1,right,D. Avdija 25' 3PT  (5 PTS) (C. Kispert 2 AST),"[1630166, 1630557]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,25.7,Made,,,,,,5.0,C. Kispert,1630557.0,2.0,,,,,,,,,
183,PT10M21.00S,2024-01-14T01:08:30.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,25,38,2024-01-14T01:08:30Z,1810000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT10M10.00S,2024-01-14T01:11:33.4Z,2,REGULAR,turnover,backcourt,[],1629726,,,1610612737,25,38,2024-01-14T01:11:48Z,1820000,False,,,0,,G. Mathews backcourt TURNOVER (1 TO),[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Left Center,,,,,,,1193.0,,,,,1.0,,,,,,,,
185,PT10M01.00S,2024-01-14T01:11:54.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641731,92.72339027595268,50.0,1610612764,25,38,2024-01-14T01:11:59Z,1830000,False,0.0,16.0,1,right,MISS B. Coulibaly driving Layup,[1641731],1610612764.0,WAS,driving,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,,
186,PT09M58.00S,2024-01-14T01:11:57.2Z,2,REGULAR,rebound,defensive,[],203992,,,1610612737,25,38,2024-01-14T01:11:59Z,1840000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,,,185.0,1.0,1.0,0.0,,,,,,,,,,,,,,
187,PT09M51.00S,2024-01-14T01:12:05.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203992,6.1268068331143235,51.470588235294116,1610612737,25,38,2024-01-14T01:12:12Z,1850000,False,-7.0,5.0,1,left,MISS B. Bogdanovic driving Layup,[203992],1610612737.0,ATL,driving,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,0.9,Missed,,,,,,,,,,,,,,,,,,
188,PT09M48.00S,2024-01-14T01:12:08.0Z,2,REGULAR,rebound,offensive,[],1630168,,,1610612737,25,38,2024-01-14T01:12:50Z,1860000,False,,,0,,O. Okongwu REBOUND (Off:4 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,187.0,6.0,2.0,4.0,,,,,,,,,,,,,,
191,PT09M46.00S,2024-01-14T01:12:09.5Z,2,REGULAR,turnover,lost ball,[],1630168,,,1610612737,25,38,2024-01-14T01:12:15Z,1890000,False,,,0,,O. Okongwu lost ball TURNOVER (1 TO),"[1630168, 1630166]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,,,,,,,Avdija,1630166.0
192,PT09M46.00S,2024-01-14T01:12:09.5Z,2,REGULAR,steal,,[],1630166,,,1610612764,25,38,2024-01-14T01:12:11Z,1900000,False,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
193,PT09M37.00S,2024-01-14T01:12:18.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631116,89.43823915900131,49.01960784313725,1610612764,25,38,2024-01-14T01:12:24Z,1910000,False,-5.0,47.0,1,right,MISS P. Baldwin Jr. driving floating Shot,[1631116],1610612764.0,WAS,driving floating,,,Baldwin Jr.,P. Baldwin Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.71,Missed,,,,,,,,,,,,,,,,,,
194,PT09M34.00S,2024-01-14T01:12:21.3Z,2,REGULAR,rebound,defensive,[],1630552,,,1610612737,25,38,2024-01-14T01:12:21Z,1920000,False,,,0,,J. Johnson REBOUND (Off:0 Def:4),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,193.0,4.0,4.0,0.0,,,,,,,,,,,,,,
195,PT09M23.00S,2024-01-14T01:12:34.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,11.383048620236531,47.30392156862745,1610612737,25,38,2024-01-14T01:12:45Z,1930000,False,13.0,55.0,1,left,MISS J. Johnson turnaround Shot - blocked,"[1630552, 1626153]",1610612737.0,ATL,turnaround,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,5.61,Missed,,,,,,,,,,,Wright,1626153.0,,,,,,
196,PT09M23.00S,2024-01-14T01:12:34.2Z,2,REGULAR,block,,[],1626153,,,1610612737,25,38,2024-01-14T01:12:37Z,1940000,False,,,0,,D. Wright BLOCK (1 BLK),[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
197,PT09M22.00S,2024-01-14T01:12:35.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612737,25,38,2024-01-14T01:12:45Z,1950000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,195.0,,,,,,,,,,,,,,,,,
199,PT09M17.00S,2024-01-14T01:12:54.9Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],203992,7.966491458607096,14.950980392156863,1610612737,25,38,2024-01-14T01:12:58Z,1970000,False,175.0,22.0,1,left,MISS B. Bogdanovic 17' Jump Shot,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,16-24 Right,17.66,Missed,,,,,,,,,,,,,,,,,,
200,PT09M15.00S,2024-01-14T01:12:56.9Z,2,REGULAR,rebound,defensive,[],1641731,,,1610612764,25,38,2024-01-14T01:12:56Z,1980000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:2),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,16-24 Right,,,199.0,2.0,2.0,0.0,,,,,,,,,,,,,,
201,PT09M13.00S,2024-01-14T01:12:59.4Z,2,REGULAR,turnover,lost ball,[],1641731,,,1610612764,25,38,2024-01-14T01:13:05Z,1990000,False,,,0,,B. Coulibaly lost ball TURNOVER (1 TO),"[1641731, 203992]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,1.0,,,,,,,Bogdanovic,203992.0
202,PT09M13.00S,2024-01-14T01:12:59.4Z,2,REGULAR,steal,,[],203992,,,1610612737,25,38,2024-01-14T01:13:01Z,2000000,False,,,0,,B. Bogdanovic STEAL (2 STL),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
203,PT09M09.00S,2024-01-14T01:13:03.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203992,6.783837056504599,49.754901960784316,1610612737,27,38,2024-01-14T01:13:14Z,2010000,False,1.0,11.0,1,left,B. Bogdanovic running finger roll Layup (2 PTS),[203992],1610612737.0,ATL,running finger roll,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,1.14,Made,,,,,,2.0,,,,,,,,,,,,
204,PT08M47.00S,2024-01-14T01:13:25.6Z,2,REGULAR,3pt,Jump Shot,[],1630557,94.56307490144546,3.431372549019608,1610612764,27,38,2024-01-14T01:13:30Z,2020000,False,-233.0,-1.0,1,right,MISS C. Kispert pullup 3PT,[1630557],1610612764.0,WAS,pullup,,,Kispert,C. Kispert,,,,,Left Corner 3,24+ Left,23.28,Missed,,,,,,,,,,,,,,,,,,
205,PT08M44.00S,2024-01-14T01:13:28.6Z,2,REGULAR,rebound,defensive,[],203992,,,1610612737,27,38,2024-01-14T01:13:30Z,2030000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:2),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Left Corner 3,24+ Left,,,204.0,2.0,2.0,0.0,,,,,,,,,,,,,,
206,PT08M35.00S,2024-01-14T01:13:44.0Z,2,REGULAR,foul,personal,[],1641731,,,1610612737,27,38,2024-01-14T01:14:03Z,2040000,False,,,0,,B. Coulibaly personal FOUL (1 PF),"[1641731, 1629027]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,8-16 Center,,,,,,,200834.0,,,,,,,,1.0,0.0,Young,1629027.0,,
208,PT08M35.00S,2024-01-14T01:13:50.6Z,2,REGULAR,substitution,out,[],1630552,,,1610612737,27,38,2024-01-14T01:14:00Z,2060000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT08M35.00S,2024-01-14T01:13:50.6Z,2,REGULAR,substitution,out,[],1629027,,,1610612737,27,38,2024-01-14T01:14:00Z,2070000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT08M35.00S,2024-01-14T01:13:50.6Z,2,REGULAR,substitution,out,[],1629726,,,1610612737,27,38,2024-01-14T01:14:00Z,2080000,False,,,0,,SUB out: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT08M35.00S,2024-01-14T01:13:50.6Z,2,REGULAR,substitution,in,[],1630180,,,1610612737,27,38,2024-01-14T01:14:00Z,2090000,False,,,0,,SUB in: S. Bey,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT08M35.00S,2024-01-14T01:13:50.6Z,2,REGULAR,substitution,in,[],1627749,,,1610612737,27,38,2024-01-14T01:14:00Z,2100000,False,,,0,,SUB in: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT08M35.00S,2024-01-14T01:13:50.6Z,2,REGULAR,substitution,in,[],1630235,,,1610612737,27,38,2024-01-14T01:14:00Z,2110000,False,,,0,,SUB in: T. Forrest,[1630235],1610612737.0,ATL,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT08M26.00S,2024-01-14T01:14:17.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,9.149145860709593,42.40196078431372,1610612737,27,38,2024-01-14T01:14:22Z,2120000,False,38.0,34.0,1,left,MISS D. Murray driving floating Shot,[1627749],1610612737.0,ATL,driving floating,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,5.07,Missed,,,,,,,,,,,,,,,,,,
215,PT08M25.00S,2024-01-14T01:14:20.2Z,2,REGULAR,rebound,offensive,[],1630168,,,1610612737,27,38,2024-01-14T01:14:20Z,2130000,False,,,0,,O. Okongwu REBOUND (Off:5 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,214.0,7.0,2.0,5.0,,,,,,,,,,,,,,
216,PT08M25.00S,2024-01-14T01:14:21.5Z,2,REGULAR,foul,personal,['2freethrow'],1641731,,,1610612737,27,38,2024-01-14T01:14:46Z,2140000,False,,,0,,B. Coulibaly shooting personal FOUL (2 PF) (Okongwu 2 FT),"[1641731, 1630168]",1610612764.0,WAS,shooting,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,,,,1627529.0,,,,,,,,2.0,0.0,Okongwu,1630168.0,,
218,PT08M25.00S,2024-01-14T01:14:47.3Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630168,,,1610612737,28,38,2024-01-14T01:15:02Z,2160000,False,,,0,,O. Okongwu Free Throw 1 of 2 (3 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,,,,,,3.0,,,,,,,,,,,,
219,PT08M25.00S,2024-01-14T01:14:47.3Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630168,,,1610612737,28,38,2024-01-14T01:15:02Z,2170000,False,,,0,,MISS O. Okongwu Free Throw 2 of 2,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
220,PT08M23.00S,2024-01-14T01:14:49.3Z,2,REGULAR,rebound,offensive,[],203992,,,1610612737,28,38,2024-01-14T01:15:02Z,2180000,False,,,0,,B. Bogdanovic REBOUND (Off:1 Def:2),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,219.0,3.0,2.0,1.0,,,,,,,,,,,,,,
221,PT08M10.00S,2024-01-14T01:15:14.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630235,13.87976346911958,41.42156862745098,1610612737,28,38,2024-01-14T01:15:20Z,2190000,False,43.0,78.0,1,left,MISS T. Forrest 8' turnaround fadeaway Shot,[1630235],1610612737.0,ATL,turnaround fadeaway,,,Forrest,T. Forrest,,,,,In The Paint (Non-RA),8-16 Center,8.9,Missed,,,,,,,,,,,,,,,,,,
222,PT08M09.00S,2024-01-14T01:15:15.2Z,2,REGULAR,rebound,offensive,[],1630168,,,1610612737,28,38,2024-01-14T01:15:20Z,2200000,False,,,0,,O. Okongwu REBOUND (Off:6 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,221.0,8.0,2.0,6.0,,,,,,,,,,,,,,
223,PT08M09.00S,2024-01-14T01:15:18.7Z,2,REGULAR,foul,personal,['2freethrow'],1641731,,,1610612737,28,38,2024-01-14T01:15:36Z,2210000,False,,,0,,B. Coulibaly shooting personal FOUL (3 PF) (Okongwu 2 FT),"[1641731, 1630168]",1610612764.0,WAS,shooting,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,,,,200834.0,,,,,,,,3.0,0.0,Okongwu,1630168.0,,
225,PT08M09.00S,2024-01-14T01:15:38.5Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630168,,,1610612737,29,38,2024-01-14T01:15:38Z,2230000,False,,,0,,O. Okongwu Free Throw 1 of 2 (4 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,,,,,,4.0,,,,,,,,,,,,
226,PT08M09.00S,2024-01-14T01:15:40.2Z,2,REGULAR,substitution,out,[],1641731,,,1610612737,29,38,2024-01-14T01:15:51Z,2240000,False,,,0,,SUB out: B. Coulibaly,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT08M09.00S,2024-01-14T01:15:40.2Z,2,REGULAR,substitution,out,[],1631116,,,1610612737,29,38,2024-01-14T01:15:51Z,2250000,False,,,0,,SUB out: P. Baldwin Jr.,[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT08M09.00S,2024-01-14T01:15:40.2Z,2,REGULAR,substitution,out,[],1626153,,,1610612737,29,38,2024-01-14T01:15:51Z,2260000,False,,,0,,SUB out: D. Wright,[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT08M09.00S,2024-01-14T01:15:40.2Z,2,REGULAR,substitution,in,[],1629655,,,1610612737,29,38,2024-01-14T01:15:51Z,2270000,False,,,0,,SUB in: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT08M09.00S,2024-01-14T01:15:40.2Z,2,REGULAR,substitution,in,[],1626145,,,1610612737,29,38,2024-01-14T01:15:51Z,2280000,False,,,0,,SUB in: T. Jones,[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT08M09.00S,2024-01-14T01:15:40.2Z,2,REGULAR,substitution,in,[],1628398,,,1610612737,29,38,2024-01-14T01:15:51Z,2290000,False,,,0,,SUB in: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT08M09.00S,2024-01-14T01:16:09.1Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630168,,,1610612737,30,38,2024-01-14T01:16:09Z,2300000,False,,,0,,O. Okongwu Free Throw 2 of 2 (5 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,,,,,,5.0,,,,,,,,,,,,
233,PT07M56.00S,2024-01-14T01:16:23.2Z,2,REGULAR,turnover,lost ball,[],1630557,,,1610612764,30,38,2024-01-14T01:16:29Z,2310000,False,,,0,,C. Kispert lost ball TURNOVER (1 TO),"[1630557, 1630180]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,1.0,,,,,,,Bey,1630180.0
234,PT07M56.00S,2024-01-14T01:16:23.2Z,2,REGULAR,steal,,[],1630180,,,1610612737,30,38,2024-01-14T01:16:26Z,2320000,False,,,0,,S. Bey STEAL (3 STL),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
235,PT07M51.00S,2024-01-14T01:16:29.0Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203992,30.042706964520367,29.901960784313726,1610612737,30,38,2024-01-14T01:16:37Z,2330000,False,100.0,230.0,1,left,MISS B. Bogdanovic 25' running 3PT,[203992],1610612737.0,ATL,running,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Right Center,25.09,Missed,,,,,,,,,,,,,,,,,,
236,PT07M48.00S,2024-01-14T01:16:32.0Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612764,30,38,2024-01-14T01:16:37Z,2340000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,235.0,,,,,,,,,,,,,,,,,
237,PT07M27.00S,2024-01-14T01:17:04.2Z,2,REGULAR,2pt,Jump Shot,[],1628398,76.95466491458606,66.91176470588235,1610612764,30,40,2024-01-14T01:17:13Z,2350000,False,85.0,164.0,1,right,K. Kuzma 18' step back Jump Shot (15 PTS) (D. Avdija 2 AST),"[1628398, 1630166]",1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Right Center,18.46,Made,,,,,,15.0,D. Avdija,1630166.0,2.0,,,,,,,,,
238,PT07M07.00S,2024-01-14T01:17:22.9Z,2,REGULAR,3pt,Jump Shot,[],1630180,25.443495400788436,83.33333333333334,1610612737,30,40,2024-01-14T01:17:29Z,2360000,False,-167.0,187.0,1,left,MISS S. Bey 25' 3PT,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,25.03,Missed,,,,,,,,,,,,,,,,,,
239,PT07M05.00S,2024-01-14T01:17:24.9Z,2,REGULAR,rebound,defensive,[],1629655,,,1610612764,30,40,2024-01-14T01:17:29Z,2370000,False,,,0,,D. Gafford REBOUND (Off:0 Def:4),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,238.0,4.0,4.0,0.0,,,,,,,,,,,,,,
240,PT06M50.00S,2024-01-14T01:17:40.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,87.72996057818659,43.13725490196079,1610612764,30,40,2024-01-14T01:18:00Z,2380000,False,-34.0,63.0,1,right,MISS K. Kuzma 7' driving Layup - blocked,"[1628398, 1630168]",1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,7.16,Missed,,,,,,,,,,,Okongwu,1630168.0,,,,,,
241,PT06M50.00S,2024-01-14T01:17:40.7Z,2,REGULAR,block,,[],1630168,,,1610612764,30,40,2024-01-14T01:17:43Z,2390000,False,,,0,,O. Okongwu BLOCK (1 BLK),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
242,PT06M47.00S,2024-01-14T01:17:43.7Z,2,REGULAR,rebound,offensive,[],1628398,,,1610612764,30,40,2024-01-14T01:18:00Z,2400000,False,,,0,,K. Kuzma REBOUND (Off:2 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,240.0,3.0,1.0,2.0,,,,,,,,,,,,,,
243,PT06M47.00S,2024-01-14T01:17:46.4Z,2,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612764,30,40,2024-01-14T01:18:23Z,2410000,False,,,0,,O. Okongwu shooting personal FOUL (2 PF) (Gafford 2 FT),"[1630168, 1629655]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,200834.0,,,,,,,,2.0,0.0,Gafford,1629655.0,,
245,PT06M47.00S,2024-01-14T01:18:25.3Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1629655,,,1610612764,30,41,2024-01-14T01:18:25Z,2430000,False,,,0,,D. Gafford Free Throw 1 of 2 (5 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,Made,,,,,,5.0,,,,,,,,,,,,
