actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
171,PT10M57.00S,2026-03-06T01:11:54.9Z,2,REGULAR,turnover,bad pass,[],1642857,,,1610612748,33,28,2026-03-06T01:12:01Z,1700000,False,,,0,,K. Jakučionis bad pass TURNOVER (1 TO),"[1642857, 1642879]",1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Above the Break 3,24+ Center,,1.0,,,,,,,,,,,,,,,,,Saraf,1642879.0
172,PT10M57.00S,2026-03-06T01:11:54.9Z,2,REGULAR,steal,,[],1642879,,,1610612751,33,28,2026-03-06T01:11:57Z,1710000,False,,,0,,B. Saraf STEAL (1 STL),[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
173,PT10M54.00S,2026-03-06T01:12:01.0Z,2,REGULAR,foul,offensive,[],1642874,,,1610612751,33,28,2026-03-06T01:12:21Z,1720000,False,,,0,,D. Wolf charge offensive FOUL (2 PF),"[1642874, 1642857]",1610612751.0,BKN,charge,,,Wolf,D. Wolf,,,,,Restricted Area,0-8 Center,1628953.0,,2.0,0.0,Jakučionis,1642857.0,,,,,,,,,,,,,,
175,PT10M54.00S,2026-03-06T01:12:01.0Z,2,REGULAR,turnover,offensive foul,[],1642874,,,1610612751,33,28,2026-03-06T01:12:01Z,1740000,False,,,0,,D. Wolf offensive foul TURNOVER (1 TO),[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,Restricted Area,0-8 Center,1628953.0,1.0,,,,,,,,,,,,,,,,,,
177,PT10M32.00S,2026-03-06T01:13:00.1Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1630696,11.514454664914586,72.05882352941177,1610612748,35,28,2026-03-06T01:13:05Z,1760000,False,-110.0,56.0,1,left,D. Smith 12' driving bank Jump Shot (2 PTS) (J. Jaquez Jr. 3 AST),"[1630696, 1631170]",1610612748.0,MIA,driving bank,,,Smith,D. Smith,,,,,Mid-Range,8-16 Left,,,,,,,Made,2.0,12.36,J. Jaquez Jr.,1631170.0,3.0,,,,,,,,
179,PT10M32.00S,2026-03-06T01:13:03.2Z,2,REGULAR,foul,personal,['1freethrow'],1630534,,,1610612748,35,28,2026-03-06T01:13:16Z,1780000,False,,,0,,O. Agbaji shooting personal FOUL (1 PF) (Smith 1 FT),"[1630534, 1630696]",1610612751.0,BKN,shooting,,,Agbaji,O. Agbaji,,,,,Mid-Range,8-16 Left,1628953.0,,1.0,0.0,Smith,1630696.0,,,,,,,,,,,,,,
181,PT10M32.00S,2026-03-06T01:13:26.0Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1630696,,,1610612748,35,28,2026-03-06T01:13:28Z,1800000,False,,,0,,MISS D. Smith Free Throw 1 of 1,[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
182,PT10M30.00S,2026-03-06T01:13:28.0Z,2,REGULAR,rebound,defensive,[],1630549,,,1610612751,35,28,2026-03-06T01:13:28Z,1810000,False,,,0,,D. Sharpe REBOUND (Off:1 Def:1),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,181.0,2.0,1.0,1.0,,,,
183,PT10M14.00S,2026-03-06T01:13:43.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630533,91.27792378449409,37.99019607843137,1610612751,35,28,2026-03-06T01:13:47Z,1820000,False,-60.0,29.0,1,right,MISS Z. Williams 6' driving Layup - blocked,"[1630533, 1642276]",1610612751.0,BKN,driving,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,6.69,,,,,,,,Ware,1642276.0,,
184,PT10M14.00S,2026-03-06T01:13:43.7Z,2,REGULAR,block,,[],1642276,,,1610612751,35,28,2026-03-06T01:13:46Z,1830000,False,,,0,,K. Ware BLOCK (3 BLK),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
185,PT10M11.00S,2026-03-06T01:13:46.7Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,35,28,2026-03-06T01:13:47Z,1840000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:1),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,183.0,1.0,1.0,0.0,,,,
186,PT10M06.00S,2026-03-06T01:13:51.8Z,2,REGULAR,3pt,Jump Shot,[],1642857,8.360709592641262,95.09803921568627,1610612748,38,28,2026-03-06T01:13:59Z,1850000,False,-225.0,26.0,1,left,K. Jakučionis 3PT  (9 PTS) (J. Jaquez Jr. 4 AST),"[1642857, 1631170]",1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Left Corner 3,24+ Left,,,,,,,Made,9.0,22.7,J. Jaquez Jr.,1631170.0,4.0,,,,,,,,
188,PT09M46.00S,2026-03-06T01:14:10.6Z,2,REGULAR,3pt,Jump Shot,[],1630534,75.1149802890933,13.725490196078432,1610612751,38,28,2026-03-06T01:14:16Z,1870000,False,-181.0,181.0,1,right,MISS O. Agbaji 25' pullup 3PT,[1630534],1610612751.0,BKN,pullup,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,25.65,,,,,,,,,,,
189,PT09M43.00S,2026-03-06T01:14:13.6Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,38,28,2026-03-06T01:14:16Z,1880000,False,,,0,,B. Adebayo REBOUND (Off:2 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,188.0,4.0,2.0,2.0,,,,
190,PT09M34.00S,2026-03-06T01:14:23.0Z,2,REGULAR,turnover,bad pass,[],1631170,,,1610612748,38,28,2026-03-06T01:14:32Z,1890000,False,,,0,,J. Jaquez Jr. bad pass TURNOVER (1 TO),"[1631170, 1630533]",1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Mid-Range,16-24 Left Center,,1.0,,,,,,,,,,,,,,,,,Williams,1630533.0
191,PT09M34.00S,2026-03-06T01:14:23.0Z,2,REGULAR,steal,,[],1630533,,,1610612751,38,28,2026-03-06T01:14:25Z,1900000,False,,,0,,Z. Williams STEAL (1 STL),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
192,PT09M30.00S,2026-03-06T01:14:27.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630534,92.32917214191852,48.77450980392157,1610612751,38,30,2026-03-06T01:14:35Z,1910000,False,-6.0,20.0,1,right,O. Agbaji running finger roll Layup (4 PTS) (Z. Williams 1 AST),"[1630534, 1630533]",1610612751.0,BKN,running finger roll,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,,,,,,,Made,4.0,2.05,Z. Williams,1630533.0,1.0,,,,,,,,
193,PT09M26.00S,2026-03-06T01:14:34.6Z,2,REGULAR,foul,personal,[],1642879,,,1610612748,38,30,2026-03-06T01:14:42Z,1920000,False,,,0,,B. Saraf personal FOUL (1 PF),"[1642879, 1628389]",1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,Restricted Area,0-8 Center,101284.0,,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,
195,PT09M21.00S,2026-03-06T01:15:00.0Z,2,REGULAR,3pt,Jump Shot,[],1628389,26.363337713534822,19.11764705882353,1610612748,38,30,2026-03-06T01:15:05Z,1940000,False,154.0,195.0,1,left,MISS B. Adebayo 24' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,,,,Missed,,24.9,,,,,,,,,,,
196,PT09M16.00S,2026-03-06T01:15:05.0Z,2,REGULAR,rebound,defensive,[],1642874,,,1610612751,38,30,2026-03-06T01:15:05Z,1950000,False,,,0,,D. Wolf REBOUND (Off:0 Def:1),[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,195.0,1.0,1.0,0.0,,,,
197,PT09M11.00S,2026-03-06T01:15:12.8Z,2,REGULAR,foul,personal,[],1628389,,,1610612751,38,30,2026-03-06T01:15:20Z,1960000,False,,,0,,B. Adebayo personal FOUL (2 PF),"[1628389, 1642879]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,1628953.0,,2.0,0.0,Saraf,1642879.0,,,,,,,,,,,,,,
199,PT09M00.00S,2026-03-06T01:15:41.6Z,2,REGULAR,turnover,bad pass,[],1630534,,,1610612751,38,30,2026-03-06T01:15:50Z,1980000,False,,,0,,O. Agbaji bad pass TURNOVER (1 TO),"[1630534, 1642276]",1610612751.0,BKN,,,,Agbaji,O. Agbaji,,,,,Mid-Range,8-16 Right,,1.0,,,,,,,,,,,,,,,,,Ware,1642276.0
200,PT09M00.00S,2026-03-06T01:15:41.6Z,2,REGULAR,steal,,[],1642276,,,1610612748,38,30,2026-03-06T01:25:02Z,1990000,False,,,0,,K. Ware STEAL (1 STL),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
201,PT08M44.00S,2026-03-06T01:15:57.7Z,2,REGULAR,foul,personal,['2freethrow'],1630549,,,1610612748,38,30,2026-03-06T01:16:24Z,2000000,False,,,0,,D. Sharpe shooting personal FOUL (2 PF) (Adebayo 2 FT),"[1630549, 1628389]",1610612751.0,BKN,shooting,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),8-16 Right,1627519.0,,2.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,
203,PT08M44.00S,2026-03-06T01:16:29.8Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1628389,,,1610612748,39,30,2026-03-06T01:16:29Z,2020000,False,,,0,,B. Adebayo Free Throw 1 of 2 (12 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,Made,12.0,,,,,,,,,,,,
204,PT08M44.00S,2026-03-06T01:16:30.7Z,2,REGULAR,substitution,out,[],1631170,,,1610612748,39,30,2026-03-06T01:16:37Z,2030000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M44.00S,2026-03-06T01:16:30.7Z,2,REGULAR,substitution,in,[],1641796,,,1610612748,39,30,2026-03-06T01:16:37Z,2040000,False,,,0,,SUB in: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M44.00S,2026-03-06T01:16:49.3Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1628389,,,1610612748,40,30,2026-03-06T01:16:49Z,2050000,False,,,0,,B. Adebayo Free Throw 2 of 2 (13 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,Made,13.0,,,,,,,,,,,,
207,PT08M31.00S,2026-03-06T01:17:05.1Z,2,REGULAR,3pt,Jump Shot,[],1642874,77.34888304862024,10.784313725490197,1610612751,40,30,2026-03-06T01:17:11Z,2060000,False,-196.0,160.0,1,right,MISS D. Wolf 25' 3PT,[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,25.33,,,,,,,,,,,
208,PT08M28.00S,2026-03-06T01:17:08.1Z,2,REGULAR,rebound,defensive,[],1642857,,,1610612748,40,30,2026-03-06T01:17:11Z,2070000,False,,,0,,K. Jakučionis REBOUND (Off:0 Def:2),[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,207.0,2.0,2.0,0.0,,,,
209,PT08M22.00S,2026-03-06T01:17:13.7Z,2,REGULAR,turnover,bad pass,[],1642857,,,1610612748,40,30,2026-03-06T01:17:22Z,2080000,False,,,0,,K. Jakučionis bad pass TURNOVER (2 TO),"[1642857, 1630534]",1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Mid-Range,16-24 Left Center,,2.0,,,,,,,,,,,,,,,,,Agbaji,1630534.0
210,PT08M22.00S,2026-03-06T01:17:13.7Z,2,REGULAR,steal,,[],1630534,,,1610612751,40,30,2026-03-06T01:17:15Z,2090000,False,,,0,,O. Agbaji STEAL (1 STL),[1630534],1610612751.0,BKN,,,,Agbaji,O. Agbaji,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
211,PT08M22.00S,2026-03-06T01:17:19.0Z,2,REGULAR,foul,personal,[],1641796,,,1610612751,40,30,2026-03-06T01:17:31Z,2100000,False,,,0,,P. Larsson personal FOUL (2 PF),"[1641796, 1630533]",1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Right Center,1627519.0,,2.0,0.0,Williams,1630533.0,,,,,,,,,,,,,,
213,PT08M22.00S,2026-03-06T01:17:28.7Z,2,REGULAR,substitution,out,[],1628389,,,1610612751,40,30,2026-03-06T01:17:48Z,2120000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT08M22.00S,2026-03-06T01:17:28.7Z,2,REGULAR,substitution,out,[],1630549,,,1610612751,40,30,2026-03-06T01:17:48Z,2130000,False,,,0,,SUB out: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT08M22.00S,2026-03-06T01:17:28.7Z,2,REGULAR,substitution,out,[],1630534,,,1610612751,40,30,2026-03-06T01:17:48Z,2140000,False,,,0,,SUB out: O. Agbaji,[1630534],1610612751.0,BKN,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT08M22.00S,2026-03-06T01:17:28.7Z,2,REGULAR,substitution,in,[],1631170,,,1610612751,40,30,2026-03-06T01:17:48Z,2150000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT08M22.00S,2026-03-06T01:17:28.7Z,2,REGULAR,substitution,in,[],1629008,,,1610612751,40,30,2026-03-06T01:17:48Z,2160000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT08M22.00S,2026-03-06T01:17:28.7Z,2,REGULAR,substitution,in,[],1629651,,,1610612751,40,30,2026-03-06T01:17:48Z,2170000,False,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT08M11.00S,2026-03-06T01:18:01.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629651,94.56307490144546,48.529411764705884,1610612751,40,32,2026-03-06T01:18:07Z,2180000,False,-7.0,-1.0,1,right,N. Claxton alley-oop DUNK (6 PTS) (D. Wolf 1 AST),"[1629651, 1642874]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,Made,6.0,0.75,D. Wolf,1642874.0,1.0,,,,,,,,
221,PT08M00.00S,2026-03-06T01:18:12.0Z,2,REGULAR,3pt,Jump Shot,[],1630696,21.632720105124836,89.4607843137255,1610612748,43,32,2026-03-06T01:18:17Z,2200000,False,-197.0,151.0,1,left,D. Smith 24' 3PT  (5 PTS) (J. Jaquez Jr. 5 AST),"[1630696, 1631170]",1610612748.0,MIA,,,,Smith,D. Smith,,,,,Above the Break 3,24+ Left Center,,,,,,,Made,5.0,24.83,J. Jaquez Jr.,1631170.0,5.0,,,,,,,,
223,PT07M41.00S,2026-03-06T01:18:31.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630533,93.64323258869908,60.049019607843135,1610612751,43,34,2026-03-06T01:18:36Z,2220000,False,50.0,7.0,1,right,Z. Williams driving floating Jump Shot (2 PTS),[1630533],1610612751.0,BKN,driving floating,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Made,2.0,5.07,,,,,,,,,,,
227,PT07M35.00S,2026-03-06T01:19:08.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,43,34,2026-03-06T01:19:08Z,2250000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT07M22.00S,2026-03-06T01:22:47.2Z,2,REGULAR,3pt,Jump Shot,[],1642857,31.09395532194481,33.82352941176471,1610612748,43,34,2026-03-06T01:22:55Z,2270000,False,81.0,240.0,1,left,MISS K. Jakučionis 25' step back 3PT,[1642857],1610612748.0,MIA,step back,,,Jakučionis,K. Jakučionis,,,,,Above the Break 3,24+ Right Center,,,,,,,Missed,,25.31,,,,,,,,,,,
230,PT07M20.00S,2026-03-06T01:22:49.2Z,2,REGULAR,rebound,offensive,[],1630696,,,1610612748,43,34,2026-03-06T02:03:07Z,2280000,False,,,0,,D. Smith REBOUND (Off:1 Def:0),[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,229.0,1.0,0.0,1.0,,,,
398,PT07M20.00S,2026-03-06T01:22:54.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630696,7.966491458607096,50.98039215686274,1610612748,43,34,2026-03-06T02:02:57Z,2285000,False,-5.0,22.0,1,left,MISS D. Smith tip Layup,[1630696],1610612748.0,MIA,tip,,,Smith,D. Smith,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,2.29,,,,,,,,,,,
399,PT07M18.00S,2026-03-06T01:22:56.3Z,2,REGULAR,rebound,defensive,[],1629008,,,1610612751,43,34,2026-03-06T02:02:47Z,2287500,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:5),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,398.0,6.0,5.0,1.0,,,,
231,PT07M08.00S,2026-03-06T01:23:01.4Z,2,REGULAR,turnover,bad pass,[],1630533,,,1610612751,43,34,2026-03-06T01:23:06Z,2290000,False,,,0,,Z. Williams bad pass TURNOVER (1 TO),"[1630533, 1642276]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,,,Ware,1642276.0
232,PT07M08.00S,2026-03-06T01:23:01.4Z,2,REGULAR,steal,,[],1642276,,,1610612748,43,34,2026-03-06T01:23:03Z,2300000,False,,,0,,K. Ware STEAL (2 STL),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
233,PT06M58.00S,2026-03-06T01:23:11.8Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1641796,6.389618922470433,68.38235294117648,1610612748,45,34,2026-03-06T01:23:15Z,2310000,False,-92.0,8.0,1,left,P. Larsson 9' driving floating Jump Shot (4 PTS) (D. Smith 1 AST),"[1641796, 1630696]",1610612748.0,MIA,driving floating,,,Larsson,P. Larsson,,,,,Mid-Range,8-16 Left,,,,,,,Made,4.0,9.22,D. Smith,1630696.0,1.0,,,,,,,,
234,PT06M45.00S,2026-03-06T01:23:23.3Z,2,REGULAR,3pt,Jump Shot,[],1629008,72.35545335085413,18.627450980392158,1610612751,45,34,2026-03-06T01:23:29Z,2320000,False,-157.0,207.0,1,right,MISS M. Porter Jr. 26' 3PT,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,26.01,,,,,,,,,,,
235,PT06M42.00S,2026-03-06T01:23:27.2Z,2,REGULAR,rebound,offensive,[],1629008,,,1610612751,45,34,2026-03-06T01:23:27Z,2330000,False,,,0,,M. Porter Jr. REBOUND (Off:2 Def:5),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,234.0,7.0,5.0,2.0,,,,
236,PT06M41.00S,2026-03-06T01:23:28.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629008,70.51576872536137,23.03921568627451,1610612751,45,37,2026-03-06T01:23:34Z,2340000,False,-135.0,225.0,1,right,M. Porter Jr. 26' 3PT  (6 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,Made,6.0,26.2,,,,,,,,,,,
237,PT06M27.00S,2026-03-06T01:23:42.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631170,11.251642575558476,56.372549019607845,1610612748,47,37,2026-03-06T01:23:45Z,2350000,False,-32.0,53.0,1,left,J. Jaquez Jr. 6' driving floating Jump Shot (2 PTS) (D. Smith 2 AST),"[1631170, 1630696]",1610612748.0,MIA,driving floating,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Made,2.0,6.21,D. Smith,1630696.0,2.0,,,,,,,,
238,PT06M15.00S,2026-03-06T01:23:55.9Z,2,REGULAR,foul,personal,['2freethrow'],1641796,,,1610612751,47,37,2026-03-06T01:24:04Z,2360000,False,,,0,,P. Larsson shooting personal FOUL (3 PF) (Saraf 2 FT),"[1641796, 1642879]",1610612748.0,MIA,shooting,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),0-8 Center,1627519.0,,3.0,0.0,Saraf,1642879.0,,,,,,,,,,,,,,
240,PT06M15.00S,2026-03-06T01:24:25.0Z,2,REGULAR,freethrow,1 of 2,[],1642879,,,1610612751,47,38,2026-03-06T01:24:25Z,2380000,False,,,0,,B. Saraf Free Throw 1 of 2 (5 PTS),[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,
241,PT06M15.00S,2026-03-06T01:24:27.3Z,2,REGULAR,substitution,out,[],1641796,,,1610612751,47,38,2026-03-06T01:24:46Z,2390000,False,,,0,,SUB out: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M15.00S,2026-03-06T01:24:27.3Z,2,REGULAR,substitution,out,[],1630696,,,1610612751,47,38,2026-03-06T01:24:46Z,2400000,False,,,0,,SUB out: D. Smith,[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT06M15.00S,2026-03-06T01:24:27.3Z,2,REGULAR,substitution,out,[],1642857,,,1610612751,47,38,2026-03-06T01:24:46Z,2410000,False,,,0,,SUB out: K. Jakučionis,[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT06M15.00S,2026-03-06T01:24:27.3Z,2,REGULAR,substitution,out,[],1630533,,,1610612751,47,38,2026-03-06T01:24:46Z,2420000,False,,,0,,SUB out: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT06M15.00S,2026-03-06T01:24:27.3Z,2,REGULAR,substitution,out,[],1642874,,,1610612751,47,38,2026-03-06T01:24:46Z,2430000,False,,,0,,SUB out: D. Wolf,[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT06M15.00S,2026-03-06T01:24:27.3Z,2,REGULAR,substitution,in,[],1629639,,,1610612751,47,38,2026-03-06T01:24:46Z,2440000,False,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M15.00S,2026-03-06T01:24:27.3Z,2,REGULAR,substitution,in,[],203952,,,1610612751,47,38,2026-03-06T01:24:46Z,2450000,False,,,0,,SUB in: A. Wiggins,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT06M15.00S,2026-03-06T01:24:27.3Z,2,REGULAR,substitution,in,[],1630558,,,1610612751,47,38,2026-03-06T01:24:46Z,2460000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT06M15.00S,2026-03-06T01:24:27.3Z,2,REGULAR,substitution,in,[],1629611,,,1610612751,47,38,2026-03-06T01:24:46Z,2470000,False,,,0,,SUB in: T. Mann,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT06M15.00S,2026-03-06T01:24:27.3Z,2,REGULAR,substitution,in,[],1641730,,,1610612751,47,38,2026-03-06T01:24:46Z,2480000,False,,,0,,SUB in: N. Clowney,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT06M15.00S,2026-03-06T01:24:49.2Z,2,REGULAR,freethrow,2 of 2,[],1642879,,,1610612751,47,39,2026-03-06T01:24:49Z,2490000,False,,,0,,B. Saraf Free Throw 2 of 2 (6 PTS),[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,,,,,,,,,Made,6.0,,,,,,,,,,,,
252,PT06M00.00S,2026-03-06T01:25:05.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,14.536793692509855,63.970588235294116,1610612748,49,39,2026-03-06T01:25:10Z,2500000,False,-70.0,84.0,1,left,A. Wiggins 10' turnaround Jump Shot (6 PTS),[203952],1610612748.0,MIA,turnaround,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,Made,6.0,10.94,,,,,,,,,,,
253,PT05M42.00S,2026-03-06T01:25:23.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,91.01511169513797,42.8921568627451,1610612751,49,39,2026-03-06T01:25:27Z,2510000,False,-36.0,32.0,1,right,MISS N. Claxton driving Layup - blocked,"[1629651, 1642276]",1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,4.78,,,,,,,,Ware,1642276.0,,
254,PT05M42.00S,2026-03-06T01:25:23.5Z,2,REGULAR,block,,[],1642276,,,1610612751,49,39,2026-03-06T01:25:25Z,2520000,False,,,0,,K. Ware BLOCK (4 BLK),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
