actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
373,PT10M51.00S,2026-03-11T00:56:00.0Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,93.51182654402102,49.754901960784316,1610612748,78,64,2026-03-11T00:56:04Z,3670000,False,-1.0,8.0,1,right,B. Adebayo driving DUNK (45 PTS) (K. Jakučionis 4 AST),"[1628389, 1642857]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,0.86,Made,45.0,,,,,,,K. Jakučionis,1642857.0,4.0,,,,,,,,
375,PT10M34.00S,2026-03-11T00:56:16.2Z,3,REGULAR,3pt,Jump Shot,[],1642259,27.94021024967148,77.94117647058823,1610612764,78,64,2026-03-11T00:56:23Z,3690000,False,-140.0,210.0,1,left,MISS A. Sarr 25' 3PT,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,25.23,Missed,,,,,,,,,,,,,,,,,,
376,PT10M30.00S,2026-03-11T00:56:20.2Z,3,REGULAR,rebound,defensive,[],1642066,,,1610612748,78,64,2026-03-11T00:56:23Z,3700000,False,,,0,,M. Gardner REBOUND (Off:1 Def:3),[1642066],1610612748.0,MIA,,,,Gardner,M. Gardner,,,,,Above the Break 3,24+ Left Center,,,,375.0,,,4.0,3.0,1.0,,,,,,,,,,,
377,PT10M24.00S,2026-03-11T00:56:25.9Z,3,REGULAR,3pt,Jump Shot,[],1641796,87.59855453350855,94.11764705882352,1610612748,78,64,2026-03-11T00:56:38Z,3710000,False,221.0,64.0,1,right,MISS P. Larsson pullup 3PT,[1641796],1610612748.0,MIA,pullup,,,Larsson,P. Larsson,,,,,Right Corner 3,24+ Right,22.97,Missed,,,,,,,,,,,,,,,,,,
378,PT10M21.00S,2026-03-11T00:56:28.9Z,3,REGULAR,rebound,offensive,[],1630558,,,1610612748,78,64,2026-03-11T00:56:38Z,3720000,False,,,0,,D. Mitchell REBOUND (Off:3 Def:2),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Right Corner 3,24+ Right,,,,377.0,,,5.0,2.0,3.0,,,,,,,,,,,
379,PT10M14.00S,2026-03-11T00:56:36.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630558,93.9060446780552,50.98039215686274,1610612748,80,64,2026-03-11T00:56:42Z,3730000,False,5.0,5.0,1,right,D. Mitchell driving finger roll Layup (6 PTS),[1630558],1610612748.0,MIA,driving finger roll,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,0.69,Made,6.0,,,,,,,,,,,,,,,,,
380,PT09M56.00S,2026-03-11T00:56:54.4Z,3,REGULAR,3pt,Jump Shot,[],1641731,19.398817345597898,5.637254901960785,1610612764,80,64,2026-03-11T00:57:05Z,3740000,False,222.0,130.0,1,left,MISS B. Coulibaly 25' 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,25.7,Missed,,,,,,,,,,,,,,,,,,
381,PT09M51.00S,2026-03-11T00:56:59.4Z,3,REGULAR,rebound,defensive,[],1642066,,,1610612748,80,64,2026-03-11T00:57:05Z,3750000,False,,,0,,M. Gardner REBOUND (Off:1 Def:4),[1642066],1610612748.0,MIA,,,,Gardner,M. Gardner,,,,,Above the Break 3,24+ Right Center,,,,380.0,,,5.0,4.0,1.0,,,,,,,,,,,
383,PT09M43.00S,2026-03-11T00:57:27.3Z,3,REGULAR,foul,offensive,[],1642066,,,1610612748,80,64,2026-03-11T00:57:39Z,3770000,False,,,0,,M. Gardner offensive FOUL (2 PF),"[1642066, 1641731]",1610612748.0,MIA,,,,Gardner,M. Gardner,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,202049.0,2.0,0.0,Coulibaly,1641731.0,,,
385,PT09M43.00S,2026-03-11T00:57:27.3Z,3,REGULAR,turnover,offensive foul,[],1642066,,,1610612748,80,64,2026-03-11T00:57:27Z,3790000,False,,,0,,M. Gardner offensive foul TURNOVER (2 TO),[1642066],1610612748.0,MIA,,,,Gardner,M. Gardner,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,202049.0,,,,,2.0,,
386,PT09M35.00S,2026-03-11T00:57:56.6Z,3,REGULAR,foul,personal,['2freethrow'],1642066,,,1610612764,80,64,2026-03-11T00:58:23Z,3800000,False,,,0,,M. Gardner shooting personal FOUL (3 PF) (Coulibaly 2 FT),"[1642066, 1641731]",1610612748.0,MIA,shooting,,,Gardner,M. Gardner,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,2003.0,3.0,0.0,Coulibaly,1641731.0,,,
388,PT09M35.00S,2026-03-11T00:58:24.3Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],1641731,,,1610612764,80,64,2026-03-11T00:58:24Z,3820000,False,,,0,,MISS B. Coulibaly Free Throw 1 of 2,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
389,PT09M35.00S,2026-03-11T00:58:24.3Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,80,64,2026-03-11T00:58:24Z,3830000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,388.0,,,,,,,,,,,,,,,,
390,PT09M35.00S,2026-03-11T00:58:40.2Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],1641731,,,1610612764,80,65,2026-03-11T00:58:40Z,3840000,False,,,0,,B. Coulibaly Free Throw 2 of 2 (7 PTS),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
391,PT09M26.00S,2026-03-11T00:58:49.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630558,86.41590013140605,58.08823529411765,1610612748,82,65,2026-03-11T01:17:13Z,3850000,False,40.0,75.0,1,right,D. Mitchell 8' driving floating Jump Shot (8 PTS),[1630558],1610612748.0,MIA,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,8.54,Made,8.0,,,,,,,,,,,,,,,,,
393,PT09M02.00S,2026-03-11T00:59:29.5Z,3,REGULAR,2pt,Jump Shot,[],1642848,8.229303547963205,28.921568627450984,1610612764,82,65,2026-03-11T01:18:34Z,3870000,False,105.0,25.0,1,left,MISS T. Johnson 10' turnaround fadeaway Shot,[1642848],1610612764.0,WAS,turnaround fadeaway,,,Johnson,T. Johnson,,,,,Mid-Range,8-16 Right,10.83,Missed,,,,,,,,,,,,,,,,,,
394,PT09M00.00S,2026-03-11T00:59:31.5Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612764,82,65,2026-03-11T00:59:54Z,3880000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Mid-Range,8-16 Right,,,,393.0,,,,,,,,,,,,,,,,
396,PT08M58.00S,2026-03-11T01:00:15.7Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1642259,31.61957950065703,33.57843137254902,1610612764,82,68,2026-03-11T01:00:24Z,3900000,False,82.0,245.0,1,left,A. Sarr 25' 3PT  (28 PTS) (B. Carrington 5 AST),"[1642259, 1642267]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,25.81,Made,28.0,,,,,,,B. Carrington,1642267.0,5.0,,,,,,,,
398,PT08M49.00S,2026-03-11T01:00:26.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641796,93.64323258869908,53.67647058823529,1610612748,84,68,2026-03-11T01:20:11Z,3920000,False,18.0,7.0,1,right,P. Larsson driving floating bank Jump Shot (9 PTS) (K. Jakučionis 5 AST),"[1641796, 1642857]",1610612748.0,MIA,driving floating bank,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,1.98,Made,9.0,,,,,,,K. Jakučionis,1642857.0,5.0,,,,,,,,
400,PT08M49.00S,2026-03-11T01:00:32.7Z,3,REGULAR,foul,personal,['1freethrow'],1642860,,,1610612748,84,68,2026-03-11T01:00:43Z,3940000,False,,,0,,W. Riley shooting personal FOUL (2 PF) (Larsson 1 FT),"[1642860, 1641796]",1610612764.0,WAS,shooting,,,Riley,W. Riley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2003.0,2.0,0.0,Larsson,1641796.0,,,
402,PT08M49.00S,2026-03-11T01:00:56.2Z,3,REGULAR,freethrow,1 of 1,[],1641796,,,1610612748,85,68,2026-03-11T01:00:56Z,3960000,False,,,0,,P. Larsson Free Throw 1 of 1 (10 PTS),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
403,PT08M31.00S,2026-03-11T01:01:13.7Z,3,REGULAR,2pt,Jump Shot,[],1642848,7.440867279894875,78.43137254901961,1610612764,85,70,2026-03-11T01:01:21Z,3970000,False,-142.0,17.0,1,left,T. Johnson 14' step back Jump Shot (12 PTS),[1642848],1610612764.0,WAS,step back,,,Johnson,T. Johnson,,,,,Mid-Range,8-16 Left,14.33,Made,12.0,,,,,,,,,,,,,,,,,
404,PT08M22.00S,2026-03-11T01:01:26.2Z,3,REGULAR,foul,personal,['2freethrow'],1642860,,,1610612748,85,70,2026-03-11T01:01:38Z,3980000,False,,,0,,W. Riley shooting personal FOUL (3 PF) (Mitchell 2 FT),"[1642860, 1630558]",1610612764.0,WAS,shooting,,,Riley,W. Riley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,203592.0,3.0,0.0,Mitchell,1630558.0,,,
408,PT08M22.00S,2026-03-11T01:01:53.4Z,3,REGULAR,freethrow,1 of 2,[],1630558,,,1610612748,86,70,2026-03-11T01:01:53Z,4000000,False,,,0,,D. Mitchell Free Throw 1 of 2 (9 PTS),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
409,PT08M22.00S,2026-03-11T01:02:03.7Z,3,REGULAR,freethrow,2 of 2,[],1630558,,,1610612748,87,70,2026-03-11T01:02:03Z,4010000,False,,,0,,D. Mitchell Free Throw 2 of 2 (10 PTS),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
411,PT08M01.00S,2026-03-11T01:02:55.5Z,3,REGULAR,turnover,lost ball,[],1642848,,,1610612764,87,70,2026-03-11T01:03:01Z,4030000,False,,,0,,T. Johnson lost ball TURNOVER (2 TO),"[1642848, 1641796]",1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,2.0,Larsson,1641796.0
412,PT08M01.00S,2026-03-11T01:02:55.5Z,3,REGULAR,steal,,[],1641796,,,1610612748,87,70,2026-03-11T01:02:57Z,4040000,False,,,0,,P. Larsson STEAL (2 STL),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
413,PT07M59.00S,2026-03-11T01:03:02.0Z,3,REGULAR,foul,personal,['2freethrow'],1642848,,,1610612748,87,70,2026-03-11T01:03:15Z,4050000,False,,,0,,T. Johnson shooting personal FOUL (4 PF) (Jakučionis 2 FT),"[1642848, 1642857]",1610612764.0,WAS,shooting,,,Johnson,T. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202049.0,4.0,0.0,Jakučionis,1642857.0,,,
415,PT07M59.00S,2026-03-11T01:03:36.1Z,3,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1642857,,,1610612748,88,70,2026-03-11T01:04:02Z,4070000,False,,,0,,K. Jakučionis Free Throw 1 of 2 (3 PTS),[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
416,PT07M59.00S,2026-03-11T01:03:36.1Z,3,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1642857,,,1610612748,88,70,2026-03-11T01:04:02Z,4080000,False,,,0,,MISS K. Jakučionis Free Throw 2 of 2,[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
417,PT07M57.00S,2026-03-11T01:03:38.1Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612748,88,70,2026-03-11T01:06:42Z,4090000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,416.0,,,,,,,,,,,,,,,,
419,PT07M57.00S,2026-03-11T01:04:04.0Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,88,70,2026-03-11T01:06:42Z,4110000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,PT07M52.00S,2026-03-11T01:07:02.6Z,3,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1628389,78.9257555847569,70.09803921568627,1610612748,88,70,2026-03-11T01:07:08Z,4140000,False,100.0,146.0,1,right,MISS B. Adebayo 17' fadeaway Shot,[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,17.69,Missed,,,,,,,,,,,,,,,,,,
423,PT07M48.00S,2026-03-11T01:07:06.7Z,3,REGULAR,rebound,offensive,[],1642066,,,1610612748,88,70,2026-03-11T01:07:06Z,4150000,False,,,0,,M. Gardner REBOUND (Off:2 Def:4),[1642066],1610612748.0,MIA,,,,Gardner,M. Gardner,,,,,Mid-Range,16-24 Right Center,,,,422.0,,,6.0,4.0,2.0,,,,,,,,,,,
424,PT07M48.00S,2026-03-11T01:07:06.7Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1642066,94.40999984741211,50.0,1610612748,90,70,2026-03-11T01:07:06Z,4160000,False,0.0,0.0,1,right,M. Gardner tip DUNK (4 PTS),[1642066],1610612748.0,MIA,tip,,,Gardner,M. Gardner,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
425,PT07M40.00S,2026-03-11T01:07:14.4Z,3,REGULAR,3pt,Jump Shot,[],1642860,24.917871222076215,82.35294117647058,1610612764,90,70,2026-03-11T01:14:53Z,4170000,False,-162.0,182.0,1,left,MISS W. Riley 24' 3PT,[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,Above the Break 3,24+ Left Center,24.33,Missed,,,,,,,,,,,,,,,,,,
426,PT07M36.00S,2026-03-11T01:07:18.4Z,3,REGULAR,rebound,defensive,[],1630558,,,1610612748,90,70,2026-03-11T01:07:20Z,4180000,False,,,0,,D. Mitchell REBOUND (Off:3 Def:3),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,425.0,,,6.0,3.0,3.0,,,,,,,,,,,
427,PT07M31.00S,2026-03-11T01:07:23.9Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630558,93.64323258869908,45.34313725490196,1610612748,92,70,2026-03-11T01:41:26Z,4190000,False,-23.0,7.0,1,right,D. Mitchell running reverse Layup (12 PTS),[1630558],1610612748.0,MIA,running reverse,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,2.44,Made,12.0,,,,,,,,,,,,,,,,,
428,PT07M15.00S,2026-03-11T01:07:38.7Z,3,REGULAR,3pt,Jump Shot,[],1642860,32.802233902759525,50.245098039215684,1610612764,92,73,2026-03-11T01:22:02Z,4200000,False,-1.0,256.0,1,left,W. Riley 25' 3PT step back (11 PTS),[1642860],1610612764.0,WAS,step back,,,Riley,W. Riley,,,,,Above the Break 3,24+ Center,25.58,Made,11.0,,,,,,,,,,,,,,,,,
429,PT07M06.00S,2026-03-11T01:07:48.8Z,3,REGULAR,3pt,Jump Shot,[],1628389,93.11760840998686,3.431372549019608,1610612748,95,73,2026-03-11T01:07:54Z,4210000,False,-233.0,12.0,1,right,B. Adebayo 3PT  (48 PTS) (K. Jakučionis 6 AST),"[1628389, 1642857]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Left Corner 3,24+ Left,23.31,Made,48.0,,,,,,,K. Jakučionis,1642857.0,6.0,,,,,,,,
431,PT06M48.00S,2026-03-11T01:08:06.4Z,3,REGULAR,turnover,bad pass,[],1642259,,,1610612764,95,73,2026-03-11T01:23:23Z,4230000,False,,,0,,A. Sarr bad pass TURNOVER (1 TO),"[1642259, 1630558]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,1.0,Mitchell,1630558.0
432,PT06M48.00S,2026-03-11T01:08:06.4Z,3,REGULAR,steal,,[],1630558,,,1610612748,95,73,2026-03-11T01:08:10Z,4240000,False,,,0,,D. Mitchell STEAL (1 STL),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
433,PT06M42.00S,2026-03-11T01:08:12.4Z,3,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628389,74.19513797634691,17.647058823529413,1610612748,95,73,2026-03-11T01:23:44Z,4250000,False,-162.0,190.0,1,right,MISS B. Adebayo 24' running 3PT,[1628389],1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,24.96,Missed,,,,,,,,,,,,,,,,,,
434,PT06M39.00S,2026-03-11T01:08:15.4Z,3,REGULAR,rebound,defensive,[],1642259,,,1610612764,95,73,2026-03-11T01:23:44Z,4260000,False,,,0,,A. Sarr REBOUND (Off:2 Def:4),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,,,,433.0,,,6.0,4.0,2.0,,,,,,,,,,,
435,PT06M36.00S,2026-03-11T01:08:18.5Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642259,6.521024967148489,52.20588235294118,1610612764,95,73,2026-03-11T01:55:54Z,4270000,False,-11.0,9.0,1,left,MISS A. Sarr running Layup,[1642259],1610612764.0,WAS,running,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,1.41,Missed,,,,,,,,,,,,,,,,,,
436,PT06M36.00S,2026-03-11T01:08:18.5Z,3,REGULAR,rebound,defensive,[],1630558,,,1610612748,95,73,2026-03-11T01:08:26Z,4280000,False,,,0,,D. Mitchell REBOUND (Off:3 Def:4),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,435.0,,,7.0,4.0,3.0,,,,,,,,,,,
437,PT06M31.00S,2026-03-11T01:08:26.9Z,3,REGULAR,turnover,bad pass,[],1630558,,,1610612748,95,73,2026-03-11T01:08:36Z,4290000,False,,,0,,D. Mitchell bad pass TURNOVER (3 TO),"[1630558, 1642848]",1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,3.0,Johnson,1642848.0
438,PT06M31.00S,2026-03-11T01:08:26.9Z,3,REGULAR,steal,,[],1642848,,,1610612764,95,73,2026-03-11T01:08:33Z,4300000,False,,,0,,T. Johnson STEAL (1 STL),[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
440,PT06M15.00S,2026-03-11T01:09:00.9Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1642267,25.312089356110377,13.725490196078432,1610612764,95,73,2026-03-11T01:09:06Z,4320000,False,181.0,185.0,1,left,MISS B. Carrington 25' 3PT,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Right Center,25.94,Missed,,,,,,,,,,,,,,,,,,
441,PT06M14.00S,2026-03-11T01:09:03.9Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612748,95,73,2026-03-11T01:09:03Z,4330000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,440.0,,,,,,,,,,,,,,,,
443,PT05M58.00S,2026-03-11T01:09:22.4Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,91.5407358738502,59.55882352941176,1610612748,95,73,2026-03-11T01:09:28Z,4350000,False,48.0,27.0,1,right,MISS B. Adebayo fadeaway Shot,[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,5.49,Missed,,,,,,,,,,,,,,,,,,
444,PT05M55.00S,2026-03-11T01:09:25.4Z,3,REGULAR,rebound,defensive,[],1642848,,,1610612764,95,73,2026-03-11T01:09:28Z,4360000,False,,,0,,T. Johnson REBOUND (Off:0 Def:2),[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,443.0,,,2.0,2.0,0.0,,,,,,,,,,,
445,PT05M49.00S,2026-03-11T01:09:35.9Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642848,9.149145860709593,48.03921568627451,1610612764,95,75,2026-03-11T01:09:44Z,4370000,False,10.0,34.0,1,left,T. Johnson driving floating Jump Shot (14 PTS),[1642848],1610612764.0,WAS,driving floating,,,Johnson,T. Johnson,,,,,Restricted Area,0-8 Center,3.49,Made,14.0,,,,,,,,,,,,,,,,,
446,PT05M49.00S,2026-03-11T01:09:41.5Z,3,REGULAR,foul,personal,['1freethrow'],1642857,,,1610612764,95,75,2026-03-11T01:10:03Z,4380000,False,,,0,,K. Jakučionis shooting personal FOUL (2 PF) (Johnson 1 FT),"[1642857, 1642848]",1610612748.0,MIA,shooting,,,Jakučionis,K. Jakučionis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202049.0,2.0,0.0,Johnson,1642848.0,,,
448,PT05M49.00S,2026-03-11T01:09:48.8Z,3,REGULAR,substitution,out,[],1641796,,,1610612764,95,75,2026-03-11T01:10:14Z,4400000,False,,,0,,SUB out: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
449,PT05M49.00S,2026-03-11T01:09:48.8Z,3,REGULAR,substitution,out,[],1642259,,,1610612764,95,75,2026-03-11T01:10:14Z,4410000,False,,,0,,SUB out: A. Sarr,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,
450,PT05M49.00S,2026-03-11T01:09:48.8Z,3,REGULAR,substitution,in,[],1631170,,,1610612764,95,75,2026-03-11T01:10:14Z,4420000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
451,PT05M49.00S,2026-03-11T01:09:48.8Z,3,REGULAR,substitution,in,[],1641774,,,1610612764,95,75,2026-03-11T01:10:14Z,4430000,False,,,0,,SUB in: T. Vukcevic,[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,,,,,,,,,,,,,,,
452,PT05M49.00S,2026-03-11T01:10:12.5Z,3,REGULAR,freethrow,1 of 1,[],1642848,,,1610612764,95,75,2026-03-11T01:10:12Z,4440000,False,,,0,,MISS T. Johnson Free Throw 1 of 1,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
453,PT05M45.00S,2026-03-11T01:10:14.3Z,3,REGULAR,rebound,defensive,[],1628389,,,1610612748,95,75,2026-03-11T01:10:14Z,4450000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,452.0,,,5.0,4.0,1.0,,,,,,,,,,,
454,PT05M31.00S,2026-03-11T01:10:29.4Z,3,REGULAR,foul,personal,['2freethrow'],1641731,,,1610612748,95,75,2026-03-11T01:11:25Z,4460000,False,,,0,,B. Coulibaly shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1641731, 1628389]",1610612764.0,WAS,shooting,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2003.0,1.0,0.0,Adebayo,1628389.0,,,
456,PT05M31.00S,2026-03-11T01:10:57.6Z,3,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,96,75,2026-03-11T01:11:20Z,4480000,False,,,0,,B. Adebayo Free Throw 1 of 2 (49 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,49.0,,,,,,,,,,,,,,,,,
457,PT05M31.00S,2026-03-11T01:10:57.6Z,3,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,97,75,2026-03-11T01:11:20Z,4490000,False,,,0,,B. Adebayo Free Throw 2 of 2 (50 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,50.0,,,,,,,,,,,,,,,,,
458,PT05M09.00S,2026-03-11T01:11:37.9Z,3,REGULAR,3pt,Jump Shot,[],1642848,25.18068331143233,13.23529411764706,1610612764,97,75,2026-03-11T01:11:48Z,4500000,False,184.0,184.0,1,left,MISS T. Johnson 26' 3PT,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Right Center,26.02,Missed,,,,,,,,,,,,,,,,,,
459,PT05M07.00S,2026-03-11T01:11:39.9Z,3,REGULAR,rebound,defensive,[],1642066,,,1610612748,97,75,2026-03-11T01:11:58Z,4510000,False,,,0,,M. Gardner REBOUND (Off:2 Def:5),[1642066],1610612748.0,MIA,,,,Gardner,M. Gardner,,,,,Above the Break 3,24+ Right Center,,,,458.0,,,7.0,5.0,2.0,,,,,,,,,,,
460,PT05M03.00S,2026-03-11T01:11:46.1Z,3,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628389,93.51182654402102,49.26470588235294,1610612748,99,75,2026-03-11T01:12:21Z,4520000,False,-4.0,8.0,1,right,B. Adebayo running DUNK (52 PTS) (M. Gardner 2 AST),"[1628389, 1642066]",1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,0.93,Made,52.0,,,,,,,M. Gardner,1642066.0,2.0,,,,,,,,
462,PT05M03.00S,2026-03-11T01:11:53.4Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,99,75,2026-03-11T01:11:53Z,4540000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,PT05M03.00S,2026-03-11T01:14:04.8Z,3,REGULAR,substitution,out,[],1642860,,,1610612764,99,75,2026-03-11T01:14:25Z,4550000,False,,,0,,SUB out: W. Riley,[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,,,,,,,,,,,,,,,,,,,,,,
