actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,playerName,playerNameI,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
283,PT06M26.00S,2023-11-04T03:05:01.9Z,2,REGULAR,turnover,lost ball,[],203932,,,1610612743,48,36,2023-11-04T03:09:45Z,2555000,False,,,0,,A. Gordon lost ball TURNOVER (2 TO),"[203932, 203501]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,2.0,Gordon,A. Gordon,Hardaway Jr.,203501.0,,,,,,,,,,,,,,,,,
284,PT06M26.00S,2023-11-04T03:05:01.9Z,2,REGULAR,steal,,[],203501,,,1610612742,48,36,2023-11-04T03:09:45Z,2557500,False,,,0,,T. Hardaway Jr. STEAL (1 STL),[203501],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Center,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,
259,PT06M05.00S,2023-11-04T03:05:44.0Z,2,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,48,36,2023-11-04T03:05:54Z,2570000,False,,,0,,L. Doncic lost ball out-of-bounds TURNOVER (5 TO),[1629029],1610612742.0,DAL,lost ball,,,,,,Above the Break 3,24+ Left Center,5.0,Doncic,L. Doncic,,,,,,,,,,,,,2530.0,,,,,,
260,PT05M44.00S,2023-11-04T03:06:13.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202704,67.36202365308804,26.225490196078432,1610612743,48,36,2023-11-04T03:06:19Z,2580000,False,-119.0,254.0,1,right,MISS R. Jackson 28' step back bank 3PT,[202704],1610612743.0,DEN,step back bank,,,,,,Above the Break 3,24+ Left Center,,Jackson,R. Jackson,,,28.07,Missed,,,,,,,,,,,,,,,
261,PT05M40.00S,2023-11-04T03:06:17.2Z,2,REGULAR,rebound,defensive,[],203501,,,1610612742,48,36,2023-11-04T03:06:19Z,2590000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:2),[203501],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,260.0,2.0,2.0,0.0,,,,,,,
262,PT05M36.00S,2023-11-04T03:06:23.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,9.674770039421814,51.470588235294116,1610612742,48,38,2023-11-04T03:08:35Z,2600000,False,-7.0,38.0,1,left,T. Hardaway Jr. driving floating Jump Shot (5 PTS),[203501],1610612742.0,DAL,driving floating,,,,,,Restricted Area,0-8 Center,,Hardaway Jr.,T. Hardaway Jr.,,,3.91,Made,5.0,,,,,,,,,,,,,,
263,PT05M36.00S,2023-11-04T03:06:25.5Z,2,REGULAR,foul,personal,['1freethrow'],203932,,,1610612742,48,38,2023-11-04T03:06:32Z,2610000,False,,,0,,A. Gordon shooting personal FOUL (1 PF) (Hardaway Jr. 1 FT),"[203932, 203501]",1610612743.0,DEN,shooting,,,,,,Restricted Area,0-8 Center,,Gordon,A. Gordon,,,,,,,,,,,,,2530.0,1.0,0.0,Hardaway Jr.,203501.0,,
265,PT05M36.00S,2023-11-04T03:06:32.8Z,2,REGULAR,substitution,out,[],202704,,,1610612742,48,38,2023-11-04T03:06:46Z,2630000,False,,,0,,SUB out: R. Jackson,[202704],1610612743.0,DEN,,,,,,,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,
266,PT05M36.00S,2023-11-04T03:06:32.8Z,2,REGULAR,substitution,out,[],1629029,,,1610612742,48,38,2023-11-04T03:06:46Z,2640000,False,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,,,,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,
267,PT05M36.00S,2023-11-04T03:06:32.8Z,2,REGULAR,substitution,in,[],1627750,,,1610612742,48,38,2023-11-04T03:06:46Z,2650000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,
268,PT05M36.00S,2023-11-04T03:06:32.8Z,2,REGULAR,substitution,in,[],1630702,,,1610612742,48,38,2023-11-04T03:06:46Z,2660000,False,,,0,,SUB in: J. Hardy,[1630702],1610612742.0,DAL,,,,,,,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,
269,PT05M36.00S,2023-11-04T03:07:04.8Z,2,REGULAR,freethrow,1 of 1,[],203501,,,1610612742,48,39,2023-11-04T03:07:04Z,2670000,False,,,0,,T. Hardaway Jr. Free Throw 1 of 1 (6 PTS),[203501],1610612742.0,DAL,,,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,,,,Made,6.0,,,,,,,,,,,,,,
270,PT05M15.00S,2023-11-04T03:07:28.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,88.64980289093299,50.0,1610612743,48,39,2023-11-04T03:07:41Z,2680000,False,0.0,54.0,1,right,MISS N. Jokic turnaround Shot,[203999],1610612743.0,DEN,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,,Jokic,N. Jokic,,,5.42,Missed,,,,,,,,,,,,,,,
271,PT05M13.00S,2023-11-04T03:07:30.0Z,2,REGULAR,rebound,offensive,[],203999,,,1610612743,48,39,2023-11-04T03:07:41Z,2690000,False,,,0,,N. Jokic REBOUND (Off:4 Def:1),[203999],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,Jokic,N. Jokic,,,,,,,,,270.0,5.0,1.0,4.0,,,,,,,
272,PT05M13.00S,2023-11-04T03:07:32.6Z,2,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612743,48,39,2023-11-04T03:07:55Z,2700000,False,,,0,,G. Williams shooting personal FOUL (2 PF) (Jokic 2 FT),"[1629684, 203999]",1610612742.0,DAL,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,Williams,G. Williams,,,,,,,,,,,,,2530.0,2.0,0.0,Jokic,203999.0,,
274,PT05M13.00S,2023-11-04T03:07:57.6Z,2,REGULAR,foul,technical,['1freethrow'],1629684,,,1610612743,48,39,2023-11-04T03:08:03Z,2720000,False,,,0,,G. Williams technical FOUL (1 Tech),[1629684],1610612742.0,DAL,,,,,,,,,,Williams,G. Williams,,,,,,,,,,,,,2530.0,2.0,1.0,,,,
275,PT05M13.00S,2023-11-04T03:08:09.6Z,2,REGULAR,freethrow,1 of 1,[],1627750,,,1610612743,49,39,2023-11-04T03:08:09Z,2730000,False,,,0,,J. Murray technical Free Throw 1 of 1 (6 PTS),[1627750],1610612743.0,DEN,technical,,,,,,,,,Murray,J. Murray,,,,Made,6.0,,,,,,,,,,,,,,
276,PT05M13.00S,2023-11-04T03:08:35.5Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],203999,,,1610612743,50,39,2023-11-04T03:08:35Z,2740000,False,,,0,,N. Jokic Free Throw 1 of 2 (10 PTS),[203999],1610612743.0,DEN,,,,,,,,,,Jokic,N. Jokic,,,,Made,10.0,,,,,,,,,,,,,,
277,PT05M13.00S,2023-11-04T03:08:54.9Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],203999,,,1610612743,51,39,2023-11-04T03:08:54Z,2750000,False,,,0,,N. Jokic Free Throw 2 of 2 (11 PTS),[203999],1610612743.0,DEN,,,,,,,,,,Jokic,N. Jokic,,,,Made,11.0,,,,,,,,,,,,,,
278,PT05M02.00S,2023-11-04T03:09:09.8Z,2,REGULAR,2pt,Jump Shot,[],203501,9.543363994743759,74.26470588235294,1610612742,51,41,2023-11-04T03:09:18Z,2760000,False,-121.0,37.0,1,left,T. Hardaway Jr. 12' driving floating bank Jump Shot (8 PTS) (K. Irving 3 AST),"[203501, 202681]",1610612742.0,DAL,driving floating bank,,,,,,Mid-Range,8-16 Left,,Hardaway Jr.,T. Hardaway Jr.,,,12.69,Made,8.0,K. Irving,202681.0,3.0,,,,,,,,,,,
280,PT05M02.00S,2023-11-04T03:09:11.7Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629008,,,1610612742,51,41,2023-11-04T03:09:19Z,2780000,False,,,0,,M. Porter Jr. shooting personal FOUL (2 PF) (Hardaway Jr. 1 FT),"[1629008, 203501]",1610612743.0,DEN,shooting,,,,,,Mid-Range,8-16 Left,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,204058.0,2.0,0.0,Hardaway Jr.,203501.0,,
282,PT05M02.00S,2023-11-04T03:09:36.4Z,2,REGULAR,freethrow,1 of 1,[],203501,,,1610612742,51,42,2023-11-04T03:09:36Z,2800000,False,,,0,,T. Hardaway Jr. Free Throw 1 of 1 (9 PTS),[203501],1610612742.0,DAL,,,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,,,,Made,9.0,,,,,,,,,,,,,,
285,PT04M46.00S,2023-11-04T03:09:56.1Z,2,REGULAR,3pt,Jump Shot,[],1627750,68.41327201051249,32.35294117647059,1610612743,54,42,2023-11-04T03:12:00Z,2810000,False,-88.0,244.0,1,right,J. Murray 25' 3PT pullup (9 PTS) (N. Jokic 4 AST),"[1627750, 203999]",1610612743.0,DEN,pullup,,,,,,Above the Break 3,24+ Left Center,,Murray,J. Murray,,,25.98,Made,9.0,N. Jokic,203999.0,4.0,,,,,,,,,,,
287,PT04M33.00S,2023-11-04T03:10:08.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202681,7.966491458607096,50.0,1610612742,54,44,2023-11-04T03:10:15Z,2830000,False,0.0,22.0,1,left,K. Irving finger roll Layup (4 PTS) (T. Hardaway Jr. 1 AST),"[202681, 203501]",1610612742.0,DAL,finger roll,,,,,,Restricted Area,0-8 Center,,Irving,K. Irving,,,2.24,Made,4.0,T. Hardaway Jr.,203501.0,1.0,,,,,,,,,,,
289,PT04M15.00S,2023-11-04T03:10:25.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,87.99277266754271,50.245098039215684,1610612743,56,44,2023-11-04T03:10:29Z,2850000,False,1.0,60.0,1,right,N. Jokic 6' turnaround Jump Shot (13 PTS) (J. Murray 5 AST),"[203999, 1627750]",1610612743.0,DEN,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,,Jokic,N. Jokic,,,6.04,Made,13.0,J. Murray,1627750.0,5.0,,,,,,,,,,,
291,PT04M04.00S,2023-11-04T03:10:37.8Z,2,REGULAR,2pt,Jump Shot,[],202681,7.835085413929041,33.82352941176471,1610612742,56,46,2023-11-04T03:10:41Z,2870000,False,81.0,21.0,1,left,K. Irving 8' pullup Jump Shot (6 PTS),[202681],1610612742.0,DAL,pullup,,,,,,Mid-Range,8-16 Right,,Irving,K. Irving,,,8.36,Made,6.0,,,,,,,,,,,,,,
292,PT04M03.00S,2023-11-04T03:10:42.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,56,46,2023-11-04T03:10:42Z,2880000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,PT04M03.00S,2023-11-04T03:13:01.1Z,2,REGULAR,substitution,out,[],203939,,,1610612743,56,46,2023-11-04T03:13:54Z,2890000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,,,,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,
294,PT04M03.00S,2023-11-04T03:13:01.1Z,2,REGULAR,substitution,out,[],1630702,,,1610612743,56,46,2023-11-04T03:13:54Z,2900000,False,,,0,,SUB out: J. Hardy,[1630702],1610612742.0,DAL,,,,,,,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,
295,PT04M03.00S,2023-11-04T03:13:01.1Z,2,REGULAR,substitution,in,[],1641726,,,1610612743,56,46,2023-11-04T03:13:54Z,2910000,False,,,0,,SUB in: D. Lively II,[1641726],1610612742.0,DAL,,,,,,,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,
296,PT04M03.00S,2023-11-04T03:13:01.1Z,2,REGULAR,substitution,in,[],1629029,,,1610612743,56,46,2023-11-04T03:13:54Z,2920000,False,,,0,,SUB in: L. Doncic,[1629029],1610612742.0,DAL,,,,,,,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,
297,PT03M42.00S,2023-11-04T03:14:32.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,92.06636005256242,55.14705882352941,1610612743,56,46,2023-11-04T03:14:38Z,2930000,False,26.0,22.0,1,right,MISS M. Porter Jr. driving Layup - blocked,"[1629008, 1641726]",1610612743.0,DEN,driving,,,,,,Restricted Area,0-8 Center,,Porter Jr.,M. Porter Jr.,,,3.39,Missed,,,,,,,,,,,,,,Lively II,1641726.0
298,PT03M42.00S,2023-11-04T03:14:32.7Z,2,REGULAR,block,,[],1641726,,,1610612743,56,46,2023-11-04T03:28:32Z,2940000,False,,,0,,D. Lively II BLOCK (1 BLK),[1641726],1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,
299,PT03M40.00S,2023-11-04T03:14:34.7Z,2,REGULAR,rebound,offensive,[],1629008,,,1610612743,56,46,2023-11-04T03:14:38Z,2950000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:1),[1629008],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,Porter Jr.,M. Porter Jr.,,,,,,,,,297.0,2.0,1.0,1.0,,,,,,,
300,PT03M39.00S,2023-11-04T03:14:40.7Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612743,56,46,2023-11-04T03:14:46Z,2960000,False,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2530.0,,,,,,
301,PT03M30.00S,2023-11-04T03:15:04.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202681,32.276609724047304,58.08823529411765,1610612742,56,46,2023-11-04T03:15:11Z,2970000,False,-40.0,251.0,1,left,MISS K. Irving 25' 3PT,[202681],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Center,,Irving,K. Irving,,,25.41,Missed,,,,,,,,,,,,,,,
302,PT03M26.00S,2023-11-04T03:15:08.3Z,2,REGULAR,rebound,defensive,[],203932,,,1610612743,56,46,2023-11-04T03:15:11Z,2980000,False,,,0,,A. Gordon REBOUND (Off:0 Def:3),[203932],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,,Gordon,A. Gordon,,,,,,,,,301.0,3.0,3.0,0.0,,,,,,,
303,PT03M15.00S,2023-11-04T03:15:19.7Z,2,REGULAR,2pt,Jump Shot,[],203932,90.3580814717477,20.833333333333336,1610612743,56,46,2023-11-04T03:15:27Z,2990000,False,-146.0,38.0,1,right,MISS A. Gordon 15' turnaround fadeaway bank Shot,[203932],1610612743.0,DEN,turnaround fadeaway bank,,,,,,Mid-Range,8-16 Left,,Gordon,A. Gordon,,,15.07,Missed,,,,,,,,,,,,,,,
304,PT03M12.00S,2023-11-04T03:15:22.7Z,2,REGULAR,rebound,defensive,[],1641726,,,1610612742,56,46,2023-11-04T03:15:27Z,3000000,False,,,0,,D. Lively II REBOUND (Off:0 Def:3),[1641726],1610612742.0,DAL,,,,,,,Mid-Range,8-16 Left,,Lively II,D. Lively II,,,,,,,,,303.0,3.0,3.0,0.0,,,,,,,
305,PT03M05.00S,2023-11-04T03:15:29.4Z,2,REGULAR,3pt,Jump Shot,[],1629684,31.750985545335087,61.51960784313726,1610612742,56,49,2023-11-04T03:15:35Z,3010000,False,-58.0,246.0,1,left,G. Williams 25' 3PT  (6 PTS) (L. Doncic 5 AST),"[1629684, 1629029]",1610612742.0,DAL,,,,,,,Above the Break 3,24+ Center,,Williams,G. Williams,,,25.27,Made,6.0,L. Doncic,1629029.0,5.0,,,,,,,,,,,
307,PT02M53.00S,2023-11-04T03:15:41.7Z,2,REGULAR,2pt,Jump Shot,[],1627750,92.72339027595268,72.05882352941177,1610612743,56,49,2023-11-04T03:15:45Z,3030000,False,110.0,16.0,1,right,MISS J. Murray 11' turnaround Shot - blocked,"[1627750, 1629684]",1610612743.0,DEN,turnaround,,,,,,Mid-Range,8-16 Right,,Murray,J. Murray,,,11.14,Missed,,,,,,,,,,,,,,Williams,1629684.0
308,PT02M53.00S,2023-11-04T03:15:41.7Z,2,REGULAR,block,,[],1629684,,,1610612743,56,49,2023-11-04T03:15:43Z,3040000,False,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612742.0,DAL,,,,,,,Mid-Range,8-16 Right,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,
309,PT02M53.00S,2023-11-04T03:15:41.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612743,56,49,2023-11-04T03:15:45Z,3050000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,307.0,,,,,,,,,,
311,PT02M49.00S,2023-11-04T03:16:05.3Z,2,REGULAR,violation,kicked ball,[],1629029,,,1610612743,56,49,2023-11-04T03:16:14Z,3070000,False,,,0,,L. Doncic kicked ball VIOLATION,[1629029],1610612742.0,DAL,,,,,,,,,,Doncic,L. Doncic,,,,,,,,,,,,,1198.0,,,,,,
312,PT02M41.00S,2023-11-04T03:16:29.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203999,89.04402102496715,60.049019607843135,1610612743,58,49,2023-11-04T03:16:34Z,3080000,False,50.0,50.0,1,right,N. Jokic 7' floating Jump Shot (15 PTS) (J. Murray 6 AST),"[203999, 1627750]",1610612743.0,DEN,floating,,,,,,In The Paint (Non-RA),0-8 Center,,Jokic,N. Jokic,,,7.12,Made,15.0,J. Murray,1627750.0,6.0,,,,,,,,,,,
314,PT02M24.00S,2023-11-04T03:16:45.2Z,2,REGULAR,3pt,Jump Shot,[],1629029,28.991458607095925,19.362745098039216,1610612742,58,49,2023-11-04T03:16:51Z,3100000,False,153.0,220.0,1,left,MISS L. Doncic 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,,,,Above the Break 3,24+ Right Center,,Doncic,L. Doncic,,,26.81,Missed,,,,,,,,,,,,,,,
315,PT02M23.00S,2023-11-04T03:16:46.2Z,2,REGULAR,rebound,defensive,[],203999,,,1610612743,58,49,2023-11-04T03:16:51Z,3110000,False,,,0,,N. Jokic REBOUND (Off:4 Def:2),[203999],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,Jokic,N. Jokic,,,,,,,,,314.0,6.0,2.0,4.0,,,,,,,
316,PT02M19.00S,2023-11-04T03:16:50.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629008,92.32917214191852,44.6078431372549,1610612743,60,49,2023-11-04T03:16:59Z,3120000,False,-27.0,20.0,1,right,M. Porter Jr. running Layup (11 PTS) (N. Jokic 5 AST),"[1629008, 203999]",1610612743.0,DEN,running,,,,,,Restricted Area,0-8 Center,,Porter Jr.,M. Porter Jr.,,,3.34,Made,11.0,N. Jokic,203999.0,5.0,,,,,,,,,,,
318,PT02M07.00S,2023-11-04T03:17:04.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627750,,,1610612742,60,49,2023-11-04T03:17:13Z,3140000,False,,,0,,J. Murray shooting personal FOUL (2 PF) (Irving 2 FT),"[1627750, 202681]",1610612743.0,DEN,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,Murray,J. Murray,,,,,,,,,,,,,1198.0,2.0,0.0,Irving,202681.0,,
320,PT02M07.00S,2023-11-04T03:17:31.8Z,2,REGULAR,timeout,full,['team'],0,,,1610612742,60,49,2023-11-04T03:17:31Z,3160000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PT02M07.00S,2023-11-04T03:19:29.8Z,2,REGULAR,substitution,out,[],203501,,,1610612742,60,49,2023-11-04T03:19:54Z,3180000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,
323,PT02M07.00S,2023-11-04T03:19:29.8Z,2,REGULAR,substitution,in,[],1627884,,,1610612742,60,49,2023-11-04T03:19:54Z,3190000,False,,,0,,SUB in: D. Jones Jr.,[1627884],1610612742.0,DAL,,,,,,,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,
324,PT02M07.00S,2023-11-04T03:20:05.1Z,2,REGULAR,freethrow,1 of 2,[],202681,,,1610612742,60,49,2023-11-04T03:20:05Z,3200000,False,,,0,,MISS K. Irving Free Throw 1 of 2,[202681],1610612742.0,DAL,,,,,,,,,,Irving,K. Irving,,,,Missed,,,,,,,,,,,,,,,
325,PT02M07.00S,2023-11-04T03:20:05.1Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,60,49,2023-11-04T03:20:05Z,3210000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,324.0,,,,,,,,,,
326,PT02M07.00S,2023-11-04T03:20:27.5Z,2,REGULAR,freethrow,2 of 2,[],202681,,,1610612742,60,50,2023-11-04T03:20:27Z,3220000,False,,,0,,K. Irving Free Throw 2 of 2 (7 PTS),[202681],1610612742.0,DAL,,,,,,,,,,Irving,K. Irving,,,,Made,7.0,,,,,,,,,,,,,,
327,PT01M54.00S,2023-11-04T03:20:42.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,89.17542706964521,54.90196078431373,1610612743,62,50,2023-11-04T03:20:46Z,3230000,False,25.0,49.0,1,right,N. Jokic floating Jump Shot (17 PTS) (J. Murray 7 AST),"[203999, 1627750]",1610612743.0,DEN,floating,,,,,,In The Paint (Non-RA),0-8 Center,,Jokic,N. Jokic,,,5.51,Made,17.0,J. Murray,1627750.0,7.0,,,,,,,,,,,
329,PT01M35.00S,2023-11-04T03:21:01.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,15.325229960578188,48.28431372549019,1610612742,62,52,2023-11-04T03:24:12Z,3250000,False,9.0,92.0,1,left,L. Doncic 9' driving floating Jump Shot (12 PTS),[1629029],1610612742.0,DAL,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,,Doncic,L. Doncic,,,9.2,Made,12.0,,,,,,,,,,,,,,
330,PT01M30.00S,2023-11-04T03:21:05.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,93.64323258869908,49.01960784313725,1610612743,64,52,2023-11-04T03:21:16Z,3260000,False,-5.0,7.0,1,right,A. Gordon alley-oop DUNK (5 PTS) (K. Caldwell-Pope 1 AST),"[203932, 203484]",1610612743.0,DEN,alley-oop,,,,,,Restricted Area,0-8 Center,,Gordon,A. Gordon,,,0.88,Made,5.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,
332,PT01M20.00S,2023-11-04T03:21:18.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,11.12023653088042,37.5,1610612742,64,54,2023-11-04T03:21:23Z,3280000,False,62.0,52.0,1,left,K. Irving 8' pullup bank Jump Shot (9 PTS),[202681],1610612742.0,DAL,pullup bank,,,,,,In The Paint (Non-RA),8-16 Right,,Irving,K. Irving,,,8.13,Made,9.0,,,,,,,,,,,,,,
333,PT01M20.00S,2023-11-04T03:21:20.3Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1627750,,,1610612742,64,54,2023-11-04T03:21:28Z,3290000,False,,,0,,J. Murray shooting personal FOUL (3 PF) (Irving 1 FT),"[1627750, 202681]",1610612743.0,DEN,shooting,,,,,,In The Paint (Non-RA),8-16 Right,,Murray,J. Murray,,,,,,,,,,,,,2530.0,3.0,0.0,Irving,202681.0,,
335,PT01M20.00S,2023-11-04T03:21:37.0Z,2,REGULAR,substitution,out,[],1627750,,,1610612742,64,54,2023-11-04T03:22:14Z,3310000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,
336,PT01M20.00S,2023-11-04T03:21:37.0Z,2,REGULAR,substitution,in,[],202704,,,1610612742,64,54,2023-11-04T03:22:14Z,3320000,False,,,0,,SUB in: R. Jackson,[202704],1610612743.0,DEN,,,,,,,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,
337,PT01M20.00S,2023-11-04T03:21:58.3Z,2,REGULAR,freethrow,1 of 1,[],202681,,,1610612742,64,55,2023-11-04T03:21:58Z,3330000,False,,,0,,K. Irving Free Throw 1 of 1 (10 PTS),[202681],1610612742.0,DAL,,,,,,,,,,Irving,K. Irving,,,,Made,10.0,,,,,,,,,,,,,,
338,PT01M09.00S,2023-11-04T03:22:11.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,89.17542706964521,56.61764705882353,1610612743,64,55,2023-11-04T03:22:21Z,3340000,False,33.0,49.0,1,right,MISS R. Jackson driving floating Shot,[202704],1610612743.0,DEN,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,Jackson,R. Jackson,,,5.94,Missed,,,,,,,,,,,,,,,
339,PT01M06.00S,2023-11-04T03:22:14.7Z,2,REGULAR,rebound,offensive,[],203999,,,1610612743,64,55,2023-11-04T03:22:43Z,3350000,False,,,0,,N. Jokic REBOUND (Off:5 Def:2),[203999],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,Jokic,N. Jokic,,,,,,,,,338.0,7.0,2.0,5.0,,,,,,,
340,PT01M02.00S,2023-11-04T03:22:18.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629008,69.33311432325887,22.54901960784314,1610612743,64,55,2023-11-04T03:25:51Z,3360000,False,-137.0,236.0,1,right,MISS M. Porter Jr. 27' pullup 3PT,[1629008],1610612743.0,DEN,pullup,,,,,,Above the Break 3,24+ Left Center,,Porter Jr.,M. Porter Jr.,,,27.29,Missed,,,,,,,,,,,,,,,
341,PT01M02.00S,2023-11-04T03:22:18.8Z,2,REGULAR,rebound,offensive,[],203999,,,1610612743,64,55,2023-11-04T03:22:25Z,3370000,False,,,0,,N. Jokic REBOUND (Off:6 Def:2),[203999],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,,Jokic,N. Jokic,,,,,,,,,340.0,8.0,2.0,6.0,,,,,,,
342,PT00M57.60S,2023-11-04T03:22:23.8Z,2,REGULAR,turnover,bad pass,[],203999,,,1610612743,64,55,2023-11-04T03:22:27Z,3380000,False,,,0,,N. Jokic bad pass TURNOVER (3 TO),"[203999, 202681]",1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,3.0,Jokic,N. Jokic,Irving,202681.0,,,,,,,,,,,,,,,,,
343,PT00M57.60S,2023-11-04T03:22:23.8Z,2,REGULAR,steal,,[],202681,,,1610612742,64,55,2023-11-04T03:22:25Z,3390000,False,,,0,,K. Irving STEAL (2 STL),[202681],1610612742.0,DAL,,,,,,,In The Paint (Non-RA),0-8 Center,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
