actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
176,PT10M35.00S,2024-03-31T20:13:36.8Z,2,REGULAR,2pt,Jump Shot,[],1629008,79.58278580814718,77.20588235294117,1610612743,30,28,2024-03-31T20:13:42Z,1730000,False,136.0,139.0,1,right,MISS M. Porter Jr. 19' step back Shot,[1629008],1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,19.48,Missed,,,,,,,,,,,,,,,,,,
177,PT10M33.00S,2024-03-31T20:13:38.8Z,2,REGULAR,rebound,defensive,[],1627777,,,1610612739,30,28,2024-03-31T20:13:42Z,1740000,False,,,0,,G. Niang REBOUND (Off:1 Def:4),[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Mid-Range,16-24 Right Center,,,,,,,,,176.0,,,,5.0,4.0,1.0,,,,,
179,PT10M24.00S,2024-03-31T20:13:47.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629636,7.30946123521682,40.68627450980392,1610612739,30,30,2024-03-31T20:13:55Z,1760000,False,47.0,16.0,1,left,D. Garland running finger roll Layup (5 PTS),[1629636],1610612739.0,CLE,running finger roll,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,4.93,Made,5.0,,,,,,,,,,,,,,,,,
180,PT10M05.00S,2024-03-31T20:14:06.6Z,2,REGULAR,3pt,Jump Shot,[],202704,65.39093298291722,33.33333333333333,1610612743,33,30,2024-03-31T20:15:55Z,1770000,False,-83.0,273.0,1,right,R. Jackson 28' 3PT pullup (8 PTS),[202704],1610612743.0,DEN,pullup,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Center,28.52,Made,8.0,,,,,,,,,,,,,,,,,
181,PT09M50.00S,2024-03-31T20:14:21.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,10.988830486202366,41.911764705882355,1610612739,33,32,2024-03-31T20:14:25Z,1780000,False,40.0,51.0,1,left,E. Mobley 6' turnaround Hook (7 PTS) (C. LeVert 2 AST),"[1630596, 1627747]",1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,6.49,Made,7.0,,,,,,,C. LeVert,1627747.0,2.0,,,,,,,,
183,PT09M35.00S,2024-03-31T20:14:36.0Z,2,REGULAR,turnover,bad pass,[],1631212,,,1610612743,33,32,2024-03-31T20:14:39Z,1800000,False,,,0,,P. Watson bad pass TURNOVER (1 TO),"[1631212, 1627777]",1610612743.0,DEN,,,,Watson,P. Watson,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,1.0,Niang,1627777.0,,
184,PT09M35.00S,2024-03-31T20:14:36.0Z,2,REGULAR,steal,,[],1627777,,,1610612739,33,32,2024-03-31T20:14:37Z,1810000,False,,,0,,G. Niang STEAL (1 STL),[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
185,PT09M31.00S,2024-03-31T20:14:41.2Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629636,5.338370565045992,52.69607843137255,1610612739,33,32,2024-03-31T20:15:48Z,1820000,False,-13.0,-2.0,1,left,MISS D. Garland running Layup,[1629636],1610612739.0,CLE,running,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,1.37,Missed,,,,,,,,,,,,,,,,,,
186,PT09M31.00S,2024-03-31T20:14:41.2Z,2,REGULAR,rebound,offensive,[],1630596,,,1610612739,33,32,2024-03-31T20:14:52Z,1830000,False,,,0,,E. Mobley REBOUND (Off:2 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,185.0,,,,2.0,0.0,2.0,,,,,
187,PT09M31.00S,2024-03-31T20:14:45.2Z,2,REGULAR,2pt,DUNK,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1630596,5.590000152587891,50.0,1610612739,33,34,2024-03-31T20:15:46Z,1840000,False,0.0,0.0,1,left,E. Mobley tip DUNK (9 PTS),[1630596],1610612739.0,CLE,tip,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,0.0,Made,9.0,,,,,,,,,,,,,,,,,
188,PT09M31.00S,2024-03-31T20:14:48.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,33,34,2024-03-31T20:14:48Z,1850000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT09M31.00S,2024-03-31T20:17:05.4Z,2,REGULAR,substitution,out,[],1630241,,,1610612743,33,34,2024-03-31T20:17:38Z,1860000,False,,,0,,SUB out: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT09M31.00S,2024-03-31T20:17:05.4Z,2,REGULAR,substitution,out,[],1629636,,,1610612743,33,34,2024-03-31T20:17:38Z,1870000,False,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT09M31.00S,2024-03-31T20:17:05.4Z,2,REGULAR,substitution,in,[],202694,,,1610612743,33,34,2024-03-31T20:17:38Z,1880000,False,,,0,,SUB in: M. Morris Sr.,[202694],1610612739.0,CLE,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT09M31.00S,2024-03-31T20:17:05.4Z,2,REGULAR,substitution,in,[],1628378,,,1610612743,33,34,2024-03-31T20:17:38Z,1890000,False,,,0,,SUB in: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT09M19.00S,2024-03-31T20:17:47.0Z,2,REGULAR,2pt,Jump Shot,[],1629008,74.85216819973719,44.85294117647059,1610612743,35,34,2024-03-31T20:17:52Z,1900000,False,-26.0,184.0,1,right,M. Porter Jr. 18' pullup Jump Shot (8 PTS) (R. Jackson 1 AST),"[1629008, 202704]",1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Center,18.57,Made,8.0,,,,,,,R. Jackson,202704.0,1.0,,,,,,,,
195,PT09M02.00S,2024-03-31T20:18:02.7Z,2,REGULAR,3pt,Jump Shot,[],1628378,31.750985545335087,38.970588235294116,1610612739,35,34,2024-03-31T20:18:08Z,1920000,False,55.0,246.0,1,left,MISS D. Mitchell 25' 3PT,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,25.21,Missed,,,,,,,,,,,,,,,,,,
196,PT09M00.00S,2024-03-31T20:18:04.7Z,2,REGULAR,rebound,defensive,[],202704,,,1610612743,35,34,2024-03-31T20:18:08Z,1930000,False,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Center,,,,,,,,,195.0,,,,1.0,1.0,0.0,,,,,
197,PT08M49.00S,2024-03-31T20:18:16.4Z,2,REGULAR,3pt,Jump Shot,[],203200,81.42247043363994,92.15686274509804,1610612743,35,34,2024-03-31T20:18:24Z,1940000,False,211.0,122.0,1,right,MISS J. Holiday 24' 3PT,[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,24.36,Missed,,,,,,,,,,,,,,,,,,
198,PT08M46.00S,2024-03-31T20:18:19.4Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612739,35,34,2024-03-31T20:18:24Z,1950000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,197.0,,,,,,,,,,,
200,PT08M33.00S,2024-03-31T20:18:47.5Z,2,REGULAR,foul,personal,['2freethrow'],1631212,,,1610612739,35,34,2024-03-31T20:18:56Z,1970000,False,,,0,,P. Watson shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1631212, 1628378]",1610612743.0,DEN,shooting,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,1204.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,,,,
202,PT08M33.00S,2024-03-31T20:19:18.2Z,2,REGULAR,freethrow,1 of 2,[],1628378,,,1610612739,35,35,2024-03-31T20:19:18Z,1990000,False,,,0,,D. Mitchell Free Throw 1 of 2 (6 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
203,PT08M33.00S,2024-03-31T20:19:43.1Z,2,REGULAR,freethrow,2 of 2,[],1628378,,,1610612739,35,36,2024-03-31T20:19:43Z,2000000,False,,,0,,D. Mitchell Free Throw 2 of 2 (7 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
204,PT08M17.00S,2024-03-31T20:20:03.0Z,2,REGULAR,turnover,bad pass,[],1631212,,,1610612743,35,36,2024-03-31T20:20:07Z,2010000,False,,,0,,P. Watson bad pass TURNOVER (2 TO),"[1631212, 1627747]",1610612743.0,DEN,,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2.0,LeVert,1627747.0,,
205,PT08M17.00S,2024-03-31T20:20:03.0Z,2,REGULAR,steal,,[],1627747,,,1610612739,35,36,2024-03-31T20:20:04Z,2020000,False,,,0,,C. LeVert STEAL (2 STL),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
206,PT08M14.00S,2024-03-31T20:20:08.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627747,7.046649145860711,50.98039215686274,1610612739,35,38,2024-03-31T20:20:15Z,2030000,False,-5.0,14.0,1,left,C. LeVert running Layup (5 PTS),[1627747],1610612739.0,CLE,running,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,1.45,Made,5.0,,,,,,,,,,,,,,,,,
207,PT08M14.00S,2024-03-31T20:20:13.5Z,2,REGULAR,foul,personal,['1freethrow'],202704,,,1610612739,35,38,2024-03-31T20:20:18Z,2040000,False,,,0,,R. Jackson shooting personal FOUL (2 PF) (LeVert 1 FT),"[202704, 1627747]",1610612743.0,DEN,shooting,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,,,,200833.0,2.0,0.0,LeVert,1627747.0,,,,,,,,,,,,
209,PT08M14.00S,2024-03-31T20:20:26.2Z,2,REGULAR,substitution,out,[],203200,,,1610612739,35,38,2024-03-31T20:20:58Z,2060000,False,,,0,,SUB out: J. Holiday,[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT08M14.00S,2024-03-31T20:20:26.2Z,2,REGULAR,substitution,in,[],203484,,,1610612739,35,38,2024-03-31T20:20:58Z,2070000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT08M14.00S,2024-03-31T20:20:40.4Z,2,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1627747,,,1610612739,35,39,2024-03-31T20:20:40Z,2080000,False,,,0,,C. LeVert Free Throw 1 of 1 (6 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
212,PT08M00.00S,2024-03-31T20:20:56.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,87.59855453350855,47.05882352941176,1610612743,35,39,2024-03-31T20:21:03Z,2090000,False,-15.0,64.0,1,right,MISS R. Jackson 6' driving floating Shot,[202704],1610612743.0,DEN,driving floating,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),0-8 Center,6.58,Missed,,,,,,,,,,,,,,,,,,
213,PT07M58.00S,2024-03-31T20:20:58.6Z,2,REGULAR,rebound,defensive,[],1630596,,,1610612739,35,39,2024-03-31T20:21:03Z,2100000,False,,,0,,E. Mobley REBOUND (Off:2 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,212.0,,,,3.0,1.0,2.0,,,,,
214,PT07M52.00S,2024-03-31T20:21:04.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,6.521024967148489,50.73529411764706,1610612739,35,39,2024-03-31T20:21:08Z,2110000,False,-4.0,9.0,1,left,MISS D. Mitchell driving finger roll Layup - blocked,"[1628378, 1631212]",1610612739.0,CLE,driving finger roll,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,0.95,Missed,,,,,,,,,,,,,,,,,Watson,1631212.0
215,PT07M52.00S,2024-03-31T20:21:04.4Z,2,REGULAR,block,,[],1631212,,,1610612739,35,39,2024-03-31T20:21:06Z,2120000,False,,,0,,P. Watson BLOCK (2 BLK),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
216,PT07M50.00S,2024-03-31T20:21:06.4Z,2,REGULAR,rebound,defensive,[],203484,,,1610612743,35,39,2024-03-31T20:21:08Z,2130000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,,,,,,,,,214.0,,,,1.0,1.0,0.0,,,,,
217,PT07M42.00S,2024-03-31T20:21:15.0Z,2,REGULAR,3pt,Jump Shot,[],202704,92.46057818659659,95.34313725490196,1610612743,38,39,2024-03-31T20:21:19Z,2140000,False,227.0,18.0,1,right,R. Jackson 3PT  (11 PTS) (D. Jordan 1 AST),"[202704, 201599]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Right Corner 3,24+ Right,22.74,Made,11.0,,,,,,,D. Jordan,201599.0,1.0,,,,,,,,
220,PT07M24.00S,2024-03-31T20:21:37.5Z,2,REGULAR,substitution,out,[],1631212,,,1610612739,38,39,2024-03-31T20:21:40Z,2170000,False,,,0,,SUB out: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT07M24.00S,2024-03-31T20:21:37.5Z,2,REGULAR,substitution,in,[],203932,,,1610612739,38,39,2024-03-31T20:21:40Z,2180000,False,,,0,,SUB in: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT07M14.00S,2024-03-31T20:22:01.4Z,2,REGULAR,2pt,Jump Shot,[],1628378,22.946780551905388,76.9607843137255,1610612739,38,39,2024-03-31T20:22:04Z,2190000,False,-135.0,163.0,1,left,MISS D. Mitchell 21' pullup Shot,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left Center,21.17,Missed,,,,,,,,,,,,,,,,,,
223,PT07M12.00S,2024-03-31T20:22:03.4Z,2,REGULAR,rebound,defensive,[],1629008,,,1610612743,38,39,2024-03-31T20:22:04Z,2200000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:4),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,222.0,,,,4.0,4.0,0.0,,,,,
224,PT07M06.00S,2024-03-31T20:22:09.5Z,2,REGULAR,3pt,Jump Shot,[],203484,93.11760840998686,96.07843137254902,1610612743,38,39,2024-03-31T20:22:13Z,2210000,False,230.0,12.0,1,right,MISS K. Caldwell-Pope 3PT,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Right Corner 3,24+ Right,23.07,Missed,,,,,,,,,,,,,,,,,,
225,PT07M03.00S,2024-03-31T20:22:12.5Z,2,REGULAR,rebound,defensive,[],1627747,,,1610612739,38,39,2024-03-31T20:22:13Z,2220000,False,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Right Corner 3,24+ Right,,,,,,,,,224.0,,,,1.0,1.0,0.0,,,,,
226,PT06M57.00S,2024-03-31T20:22:18.5Z,2,REGULAR,3pt,Jump Shot,[],202694,13.091327201051248,5.392156862745098,1610612739,38,42,2024-03-31T20:22:23Z,2230000,False,223.0,71.0,1,left,M. Morris Sr. 3PT  (3 PTS) (C. LeVert 3 AST),"[202694, 1627747]",1610612739.0,CLE,,,,Morris Sr.,M. Morris Sr.,,,,,Right Corner 3,24+ Right,23.39,Made,3.0,,,,,,,C. LeVert,1627747.0,3.0,,,,,,,,
228,PT06M40.00S,2024-03-31T20:22:35.4Z,2,REGULAR,3pt,Jump Shot,[],1629008,68.9388961892247,28.186274509803923,1610612743,41,42,2024-03-31T20:22:39Z,2250000,False,-109.0,239.0,1,right,M. Porter Jr. 26' 3PT  (11 PTS) (D. Jordan 2 AST),"[1629008, 201599]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,26.32,Made,11.0,,,,,,,D. Jordan,201599.0,2.0,,,,,,,,
230,PT06M29.00S,2024-03-31T20:22:46.9Z,2,REGULAR,3pt,Jump Shot,[],1627747,20.318659658344284,6.127450980392156,1610612739,41,45,2024-03-31T20:22:51Z,2270000,False,219.0,138.0,1,left,C. LeVert 25' 3PT pullup (9 PTS) (D. Mitchell 3 AST),"[1627747, 1628378]",1610612739.0,CLE,pullup,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Right Center,25.95,Made,9.0,,,,,,,D. Mitchell,1628378.0,3.0,,,,,,,,
231,PT06M09.00S,2024-03-31T20:23:06.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,91.27792378449409,62.745098039215684,1610612743,41,45,2024-03-31T20:23:12Z,2280000,False,64.0,29.0,1,right,MISS M. Porter Jr. 7' driving finger roll Layup - blocked,"[1629008, 1630596]",1610612743.0,DEN,driving finger roll,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.02,Missed,,,,,,,,,,,,,,,,,Mobley,1630596.0
232,PT06M09.00S,2024-03-31T20:23:06.4Z,2,REGULAR,block,,[],1630596,,,1610612743,41,45,2024-03-31T20:23:08Z,2290000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
233,PT06M09.00S,2024-03-31T20:23:06.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612743,41,45,2024-03-31T20:23:12Z,2300000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,231.0,,,,,,,,,,,
235,PT06M09.00S,2024-03-31T20:23:11.0Z,2,REGULAR,substitution,out,[],201599,,,1610612743,41,45,2024-03-31T20:23:29Z,2320000,False,,,0,,SUB out: D. Jordan,[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M09.00S,2024-03-31T20:23:11.0Z,2,REGULAR,substitution,out,[],202704,,,1610612743,41,45,2024-03-31T20:23:29Z,2330000,False,,,0,,SUB out: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M09.00S,2024-03-31T20:23:11.0Z,2,REGULAR,substitution,out,[],1630596,,,1610612743,41,45,2024-03-31T20:23:29Z,2340000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M09.00S,2024-03-31T20:23:11.0Z,2,REGULAR,substitution,out,[],1627777,,,1610612743,41,45,2024-03-31T20:23:29Z,2350000,False,,,0,,SUB out: G. Niang,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M09.00S,2024-03-31T20:23:11.0Z,2,REGULAR,substitution,in,[],203999,,,1610612743,41,45,2024-03-31T20:23:29Z,2360000,False,,,0,,SUB in: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M09.00S,2024-03-31T20:23:11.0Z,2,REGULAR,substitution,in,[],1631128,,,1610612743,41,45,2024-03-31T20:23:29Z,2370000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT06M09.00S,2024-03-31T20:23:11.0Z,2,REGULAR,substitution,in,[],1629622,,,1610612743,41,45,2024-03-31T20:23:29Z,2380000,False,,,0,,SUB in: M. Strus,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M09.00S,2024-03-31T20:23:11.0Z,2,REGULAR,substitution,in,[],1628386,,,1610612743,41,45,2024-03-31T20:23:29Z,2390000,False,,,0,,SUB in: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT06M06.00S,2024-03-31T20:23:34.8Z,2,REGULAR,foul,offensive,[],1629008,,,1610612743,41,45,2024-03-31T20:23:44Z,2400000,False,,,0,,M. Porter Jr. offensive FOUL (1 PF),"[1629008, 1629622]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,,200833.0,1.0,0.0,Strus,1629622.0,,,,,,,,,,,,
246,PT06M06.00S,2024-03-31T20:23:34.8Z,2,REGULAR,turnover,offensive foul,[],1629008,,,1610612743,41,45,2024-03-31T20:23:34Z,2420000,False,,,0,,M. Porter Jr. offensive foul TURNOVER (1 TO),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,,200833.0,,,,,,,,,,,,1.0,,,,
247,PT05M49.00S,2024-03-31T20:24:13.0Z,2,REGULAR,turnover,out-of-bounds,[],202694,,,1610612739,41,45,2024-03-31T20:24:22Z,2430000,False,,,0,,M. Morris Sr. step out-of-bounds TURNOVER (1 TO),[202694],1610612739.0,CLE,step,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,1.0,,,,
248,PT05M34.00S,2024-03-31T20:24:35.8Z,2,REGULAR,turnover,bad pass,[],1631128,,,1610612743,41,45,2024-03-31T20:24:39Z,2440000,False,,,0,,C. Braun bad pass TURNOVER (2 TO),"[1631128, 1629622]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2.0,Strus,1629622.0,,
249,PT05M34.00S,2024-03-31T20:24:35.8Z,2,REGULAR,steal,,[],1629622,,,1610612739,41,45,2024-03-31T20:24:37Z,2450000,False,,,0,,M. Strus STEAL (1 STL),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
250,PT05M22.00S,2024-03-31T20:24:47.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202694,15.193823915900131,53.18627450980392,1610612739,41,45,2024-03-31T20:24:54Z,2460000,False,-16.0,90.0,1,left,MISS M. Morris Sr. 9' fadeaway Shot,[202694],1610612739.0,CLE,fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),8-16 Center,9.17,Missed,,,,,,,,,,,,,,,,,,
251,PT05M16.00S,2024-03-31T20:24:53.3Z,2,REGULAR,rebound,defensive,[],203999,,,1610612743,41,45,2024-03-31T20:24:54Z,2470000,False,,,0,,N. Jokic REBOUND (Off:1 Def:7),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,250.0,,,,8.0,7.0,1.0,,,,,
252,PT05M09.00S,2024-03-31T20:25:02.5Z,2,REGULAR,foul,personal,['2freethrow'],202694,,,1610612743,41,45,2024-03-31T20:25:07Z,2480000,False,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Caldwell-Pope 2 FT),"[202694, 203484]",1610612739.0,CLE,shooting,,,Morris Sr.,M. Morris Sr.,,,,,Restricted Area,0-8 Center,,,,200833.0,1.0,0.0,Caldwell-Pope,203484.0,,,,,,,,,,,,
254,PT05M09.00S,2024-03-31T20:25:27.7Z,2,REGULAR,freethrow,1 of 2,[],203484,,,1610612743,42,45,2024-03-31T20:25:27Z,2500000,False,,,0,,K. Caldwell-Pope Free Throw 1 of 2 (7 PTS),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
255,PT05M09.00S,2024-03-31T20:25:28.9Z,2,REGULAR,substitution,out,[],1627747,,,1610612743,42,45,2024-03-31T20:25:32Z,2510000,False,,,0,,SUB out: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT05M09.00S,2024-03-31T20:25:28.9Z,2,REGULAR,substitution,in,[],1629636,,,1610612743,42,45,2024-03-31T20:25:32Z,2520000,False,,,0,,SUB in: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT05M09.00S,2024-03-31T20:25:48.7Z,2,REGULAR,freethrow,2 of 2,[],203484,,,1610612743,43,45,2024-03-31T20:25:48Z,2530000,False,,,0,,K. Caldwell-Pope Free Throw 2 of 2 (8 PTS),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
259,PT05M09.00S,2024-03-31T20:26:13.6Z,2,REGULAR,substitution,out,[],1629008,,,1610612739,43,45,2024-03-31T20:26:17Z,2550000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT05M09.00S,2024-03-31T20:26:13.6Z,2,REGULAR,substitution,in,[],203200,,,1610612739,43,45,2024-03-31T20:26:17Z,2560000,False,,,0,,SUB in: J. Holiday,[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT04M55.00S,2024-03-31T20:27:06.4Z,2,REGULAR,foul,personal,[],1628386,,,1610612739,43,45,2024-03-31T20:27:29Z,2580000,False,,,0,,J. Allen double personal FOUL (1 PF),"[1628386, 203999]",1610612739.0,CLE,double,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,1162.0,1.0,0.0,Jokic,203999.0,,,,,,,,,,,,
