actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
249,PT04M41.00S,2023-03-07T02:52:32.2Z,2,REGULAR,rebound,defensive,[],1627751,,,1610612761,43,50,2023-03-07T02:52:34Z,2460000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:5),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,Above the Break 3,24+ Center,,,,,248.0,7.0,5.0,2.0,,,,,,,,,,,
250,PT04M35.00S,2023-03-07T02:52:38.7Z,2,REGULAR,turnover,bad pass,[],1630567,,,1610612761,43,50,2023-03-07T02:52:42Z,2470000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1627750]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,1.0,Murray,1627750.0
251,PT04M35.00S,2023-03-07T02:52:38.7Z,2,REGULAR,steal,,[],1627750,,,1610612743,43,50,2023-03-07T02:52:40Z,2480000,False,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
252,PT04M21.00S,2023-03-07T02:52:52.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202704,85.89027595269383,95.09803921568627,1610612743,43,50,2023-03-07T02:52:58Z,2490000,False,225.0,80.0,1,right,MISS R. Jackson 3PT,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,Right Corner 3,24+ Right,23.93,Missed,,,,,,,,,,,,,,,,,
253,PT04M17.00S,2023-03-07T02:52:56.3Z,2,REGULAR,rebound,defensive,[],1628384,,,1610612761,43,50,2023-03-07T02:52:58Z,2500000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,Right Corner 3,24+ Right,,,,,252.0,1.0,1.0,0.0,,,,,,,,,,,
255,PT04M14.00S,2023-03-07T02:52:59.0Z,2,REGULAR,turnover,bad pass,[],1628384,,,1610612761,43,50,2023-03-07T02:53:02Z,2520000,False,,,0,,O. Anunoby bad pass TURNOVER (1 TO),"[1628384, 203932]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,1.0,Gordon,203932.0
256,PT04M14.00S,2023-03-07T02:52:59.0Z,2,REGULAR,steal,,[],203932,,,1610612743,43,50,2023-03-07T02:53:00Z,2530000,False,,,0,,A. Gordon STEAL (1 STL),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,
257,PT04M10.00S,2023-03-07T02:53:02.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629008,68.41327201051249,26.715686274509803,1610612743,46,50,2023-03-07T02:53:07Z,2540000,False,-116.0,244.0,1,right,M. Porter Jr. 27' 3PT step back (8 PTS) (J. Murray 2 AST),"[1629008, 1627750]",1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,,Above the Break 3,24+ Left Center,27.07,Made,,,,,,,8.0,J. Murray,1627750.0,2.0,,,,,,,
259,PT04M08.00S,2023-03-07T02:53:11.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,46,50,2023-03-07T02:53:11Z,2560000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT04M08.00S,2023-03-07T02:55:27.4Z,2,REGULAR,substitution,out,[],202704,,,1610612761,46,50,2023-03-07T02:56:05Z,2570000,False,,,0,,SUB out: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT04M08.00S,2023-03-07T02:55:27.4Z,2,REGULAR,substitution,out,[],1629018,,,1610612761,46,50,2023-03-07T02:56:05Z,2580000,False,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT04M08.00S,2023-03-07T02:55:27.4Z,2,REGULAR,substitution,in,[],203484,,,1610612761,46,50,2023-03-07T02:56:05Z,2590000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT04M08.00S,2023-03-07T02:55:27.4Z,2,REGULAR,substitution,in,[],1627783,,,1610612761,46,50,2023-03-07T02:56:05Z,2600000,False,,,0,,SUB in: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT03M47.00S,2023-03-07T02:56:27.2Z,2,REGULAR,3pt,Jump Shot,[],1627783,28.203022339027594,20.833333333333336,1610612761,46,50,2023-03-07T02:56:35Z,2610000,False,146.0,213.0,1,left,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Above the Break 3,24+ Right Center,25.78,Missed,,,,,,,,,,,,,,,,,
267,PT03M44.00S,2023-03-07T02:56:30.2Z,2,REGULAR,rebound,offensive,[],1630567,,,1610612761,46,50,2023-03-07T02:56:35Z,2620000,False,,,0,,S. Barnes REBOUND (Off:2 Def:3),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Above the Break 3,24+ Right Center,,,,,266.0,5.0,3.0,2.0,,,,,,,,,,,
268,PT03M42.00S,2023-03-07T02:56:31.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630567,8.360709592641262,40.68627450980392,1610612761,46,50,2023-03-07T03:06:02Z,2630000,False,47.0,26.0,1,left,MISS S. Barnes putback Layup,[1630567],1610612761.0,TOR,putback,,,Barnes,S. Barnes,,,,,,In The Paint (Non-RA),0-8 Center,5.34,Missed,,,,,,,,,,,,,,,,,
269,PT03M41.00S,2023-03-07T02:56:32.2Z,2,REGULAR,rebound,offensive,[],1628384,,,1610612761,46,50,2023-03-07T02:56:56Z,2640000,False,,,0,,O. Anunoby REBOUND (Off:1 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,In The Paint (Non-RA),0-8 Center,,,,,268.0,2.0,1.0,1.0,,,,,,,,,,,
270,PT03M39.00S,2023-03-07T02:56:34.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627832,32.53942181340342,41.17647058823529,1610612761,46,53,2023-03-07T02:56:46Z,2650000,False,44.0,253.0,1,left,F. VanVleet 25' 3PT  (10 PTS) (O. Anunoby 1 AST),"[1627832, 1628384]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,Above the Break 3,24+ Center,25.72,Made,,,,,,,10.0,O. Anunoby,1628384.0,1.0,,,,,,,
272,PT03M21.00S,2023-03-07T02:56:52.6Z,2,REGULAR,turnover,bad pass,[],203999,,,1610612743,46,53,2023-03-07T02:56:58Z,2670000,False,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1627832]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,1.0,VanVleet,1627832.0
273,PT03M21.00S,2023-03-07T02:56:52.6Z,2,REGULAR,steal,,[],1627832,,,1610612761,46,53,2023-03-07T02:56:54Z,2680000,False,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,
275,PT03M17.00S,2023-03-07T02:56:56.2Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627783,7.966491458607096,45.09803921568628,1610612761,46,55,2023-03-07T03:06:47Z,2690000,False,25.0,22.0,1,left,P. Siakam running finger roll Layup (10 PTS) (F. VanVleet 6 AST),"[1627783, 1627832]",1610612761.0,TOR,running finger roll,,,Siakam,P. Siakam,,,,,,Restricted Area,0-8 Center,3.32,Made,,,,,,,10.0,F. VanVleet,1627832.0,6.0,,,,,,,
277,PT03M01.00S,2023-03-07T02:57:11.8Z,2,REGULAR,3pt,Jump Shot,[],203932,89.56964520367937,4.6568627450980395,1610612743,46,55,2023-03-07T02:57:22Z,2710000,False,-227.0,46.0,1,right,MISS A. Gordon 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Left Corner 3,24+ Left,23.12,Missed,,,,,,,,,,,,,,,,,
278,PT03M01.00S,2023-03-07T02:57:11.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612743,46,55,2023-03-07T02:57:22Z,2720000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,Left Corner 3,24+ Left,,,,,277.0,,,,,,,,,,,,,,
279,PT03M01.00S,2023-03-07T02:57:15.9Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627832,,,1610612743,46,55,2023-03-07T02:57:23Z,2730000,False,,,0,,F. VanVleet loose ball personal FOUL (1 PF) (Jokic 2 FT),"[1627832, 203999]",1610612761.0,TOR,loose ball,,,VanVleet,F. VanVleet,,,,,1162.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,0.0,Jokic,203999.0,,,
281,PT03M01.00S,2023-03-07T02:57:38.0Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],203999,,,1610612743,47,55,2023-03-07T02:57:38Z,2750000,False,,,0,,N. Jokic Free Throw 1 of 2 (8 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,
282,PT03M01.00S,2023-03-07T02:57:52.9Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],203999,,,1610612743,48,55,2023-03-07T02:57:52Z,2760000,False,,,0,,N. Jokic Free Throw 2 of 2 (9 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,Made,,,,,,,9.0,,,,,,,,,,
283,PT02M42.00S,2023-03-07T02:58:12.7Z,2,REGULAR,2pt,Jump Shot,[],1630567,16.90210249671485,21.813725490196077,1610612761,48,57,2023-03-07T02:58:16Z,2770000,False,141.0,106.0,1,left,S. Barnes 17' pullup Jump Shot (8 PTS) (J. Poeltl 3 AST),"[1630567, 1627751]",1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,,Mid-Range,16-24 Right Center,17.66,Made,,,,,,,8.0,J. Poeltl,1627751.0,3.0,,,,,,,
285,PT02M33.00S,2023-03-07T02:58:21.0Z,2,REGULAR,3pt,Jump Shot,[],1629008,74.06373193166885,81.86274509803921,1610612743,51,57,2023-03-07T02:58:28Z,2790000,False,159.0,191.0,1,right,M. Porter Jr. 24' 3PT pullup (11 PTS) (J. Murray 3 AST),"[1629008, 1627750]",1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,,Above the Break 3,24+ Right Center,24.89,Made,,,,,,,11.0,J. Murray,1627750.0,3.0,,,,,,,
287,PT02M15.00S,2023-03-07T02:58:39.8Z,2,REGULAR,3pt,Jump Shot,[],1630567,31.750985545335087,61.51960784313726,1610612761,51,57,2023-03-07T02:58:59Z,2810000,False,-58.0,246.0,1,left,MISS S. Barnes 25' step back 3PT,[1630567],1610612761.0,TOR,step back,,,Barnes,S. Barnes,,,,,,Above the Break 3,24+ Center,25.27,Missed,,,,,,,,,,,,,,,,,
288,PT02M13.00S,2023-03-07T02:58:41.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612761,51,57,2023-03-07T02:58:59Z,2820000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,Above the Break 3,24+ Center,,,,,287.0,,,,,,,,,,,,,,
289,PT02M01.00S,2023-03-07T02:59:19.3Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1627832,12.171484888304862,33.57843137254902,1610612761,51,59,2023-03-07T03:11:29Z,2830000,False,82.0,62.0,1,left,F. VanVleet 10' driving floating bank Jump Shot (12 PTS),[1627832],1610612761.0,TOR,driving floating bank,,,VanVleet,F. VanVleet,,,,,,Mid-Range,8-16 Right,10.28,Made,,,,,,,12.0,,,,,,,,,,
292,PT01M55.00S,2023-03-07T02:59:31.2Z,2,REGULAR,turnover,traveling,[],1629008,,,1610612743,51,59,2023-03-07T02:59:39Z,2860000,False,,,0,,M. Porter Jr. traveling TURNOVER (1 TO),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,202007.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,1.0,,
293,PT01M43.00S,2023-03-07T02:59:54.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627751,7.30946123521682,45.588235294117645,1610612761,51,61,2023-03-07T02:59:59Z,2870000,False,22.0,16.0,1,left,J. Poeltl reverse Layup (8 PTS) (P. Siakam 3 AST),"[1627751, 1627783]",1610612761.0,TOR,reverse,,,Poeltl,J. Poeltl,,,,,,Restricted Area,0-8 Center,2.74,Made,,,,,,,8.0,P. Siakam,1627783.0,3.0,,,,,,,
295,PT01M33.00S,2023-03-07T03:00:04.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203484,90.75229960578186,49.754901960784316,1610612743,53,61,2023-03-07T03:00:09Z,2890000,False,-1.0,34.0,1,right,K. Caldwell-Pope cutting finger roll Layup (6 PTS) (A. Gordon 3 AST),"[203484, 203932]",1610612743.0,DEN,cutting finger roll,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,Restricted Area,0-8 Center,3.44,Made,,,,,,,6.0,A. Gordon,203932.0,3.0,,,,,,,
297,PT01M20.00S,2023-03-07T03:00:16.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,14.273981603153747,48.529411764705884,1610612761,53,61,2023-03-07T03:00:24Z,2910000,False,7.0,82.0,1,left,MISS J. Poeltl 8' floating Shot,[1627751],1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,,In The Paint (Non-RA),8-16 Center,8.2,Missed,,,,,,,,,,,,,,,,,
298,PT01M19.00S,2023-03-07T03:00:20.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612761,53,61,2023-03-07T03:00:20Z,2920000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,297.0,,,,,,,,,,,,,,
300,PT01M10.00S,2023-03-07T03:00:47.0Z,2,REGULAR,turnover,out-of-bounds,[],1630567,,,1610612761,53,61,2023-03-07T03:00:51Z,2940000,False,,,0,,S. Barnes bad pass out-of-bounds TURNOVER (2 TO),[1630567],1610612761.0,TOR,bad pass,,,Barnes,S. Barnes,,,,,202007.0,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,2.0,,
302,PT00M57.60S,2023-03-07T03:01:09.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629008,71.82982917214193,75.73529411764706,1610612743,56,61,2023-03-07T03:01:13Z,2960000,False,129.0,212.0,1,right,M. Porter Jr. 24' 3PT  (14 PTS) (A. Gordon 4 AST),"[1629008, 203932]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,Above the Break 3,24+ Right Center,24.83,Made,,,,,,,14.0,A. Gordon,203932.0,4.0,,,,,,,
304,PT00M36.40S,2023-03-07T03:01:36.1Z,2,REGULAR,3pt,Jump Shot,[],1627832,33.327858081471746,30.14705882352941,1610612761,56,61,2023-03-07T03:01:42Z,2980000,False,99.0,261.0,1,left,MISS F. VanVleet 27' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,,Above the Break 3,24+ Right Center,27.91,Missed,,,,,,,,,,,,,,,,,
305,PT00M32.90S,2023-03-07T03:01:39.6Z,2,REGULAR,rebound,offensive,[],1630567,,,1610612761,56,61,2023-03-07T03:01:42Z,2990000,False,,,0,,S. Barnes REBOUND (Off:3 Def:3),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Above the Break 3,24+ Right Center,,,,,304.0,6.0,3.0,3.0,,,,,,,,,,,
306,PT00M31.20S,2023-03-07T03:01:44.4Z,2,REGULAR,turnover,double dribble,[],1630567,,,1610612761,56,61,2023-03-07T03:01:55Z,3000000,False,,,0,,S. Barnes double dribble TURNOVER (3 TO),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,1628480.0,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,3.0,,
307,PT00M18.90S,2023-03-07T03:02:06.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203932,93.77463863337714,48.77450980392157,1610612743,58,61,2023-03-07T03:02:17Z,3010000,False,-6.0,6.0,1,right,A. Gordon alley-oop DUNK (9 PTS) (N. Jokic 3 AST),"[203932, 203999]",1610612743.0,DEN,alley-oop,,,Gordon,A. Gordon,,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,,,9.0,N. Jokic,203999.0,3.0,,,,,,,
309,PT00M03.10S,2023-03-07T03:02:25.9Z,2,REGULAR,2pt,Jump Shot,[],1627783,25.57490144546649,52.20588235294118,1610612761,58,61,2023-03-07T03:02:33Z,3030000,False,-11.0,188.0,1,left,MISS P. Siakam 18' step back Shot,[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,,Mid-Range,16-24 Center,18.82,Missed,,,,,,,,,,,,,,,,,
311,PT00M00.50S,2023-03-07T03:02:28.5Z,2,REGULAR,rebound,defensive,[],203932,,,1610612743,58,61,2023-03-07T03:02:28Z,3040000,False,,,0,,A. Gordon REBOUND (Off:3 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Mid-Range,16-24 Center,,,,,309.0,4.0,1.0,3.0,,,,,,,,,,,
312,PT00M00.00S,2023-03-07T03:02:33.0Z,2,REGULAR,period,end,[],0,,,1610612743,58,61,2023-03-07T03:02:33Z,3050000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,PT12M00.00S,2023-03-07T03:17:43.9Z,3,REGULAR,period,start,[],0,,,1610612743,58,61,2023-03-07T03:17:43Z,3060000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,PT11M51.00S,2023-03-07T03:17:53.0Z,3,REGULAR,foul,personal,[],1630567,,,1610612743,58,61,2023-03-07T03:18:11Z,3070000,False,,,0,,S. Barnes personal FOUL (1 PF),"[1630567, 1627750]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,1162.0,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1.0,0.0,Murray,1627750.0,,,
317,PT11M38.00S,2023-03-07T03:18:29.2Z,3,REGULAR,2pt,Jump Shot,[],203932,9.543363994743759,8.333333333333332,1610612743,60,61,2023-03-07T03:19:05Z,3090000,False,208.0,37.0,1,left,A. Gordon 21' Jump Shot (11 PTS) (K. Caldwell-Pope 1 AST),"[203932, 203484]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Mid-Range,16-24 Right,21.16,Made,,,,,,,11.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,
319,PT11M20.00S,2023-03-07T03:18:46.5Z,3,REGULAR,turnover,bad pass,[],1627751,,,1610612761,60,61,2023-03-07T03:18:51Z,3110000,False,,,0,,J. Poeltl bad pass TURNOVER (1 TO),"[1627751, 1627750]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,1.0,Murray,1627750.0
320,PT11M20.00S,2023-03-07T03:18:46.5Z,3,REGULAR,steal,,[],1627750,,,1610612743,60,61,2023-03-07T03:18:48Z,3120000,False,,,0,,J. Murray STEAL (2 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
322,PT11M11.00S,2023-03-07T03:18:56.0Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1629008,9.674770039421814,2.450980392156863,1610612743,60,61,2023-03-07T03:19:00Z,3130000,False,238.0,38.0,1,left,MISS M. Porter Jr. 24' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,Right Corner 3,24+ Right,24.08,Missed,,,,,,,,,,,,,,,,,
323,PT11M07.00S,2023-03-07T03:19:00.0Z,3,REGULAR,rebound,defensive,[],1630567,,,1610612761,60,61,2023-03-07T03:25:59Z,3140000,False,,,0,,S. Barnes REBOUND (Off:3 Def:4),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Right Corner 3,24+ Right,,,,,322.0,7.0,4.0,3.0,,,,,,,,,,,
324,PT10M48.00S,2023-03-07T03:19:19.2Z,3,REGULAR,3pt,Jump Shot,[],1628384,92.19776609724047,5.147058823529411,1610612761,60,64,2023-03-07T03:19:23Z,3150000,False,-224.0,21.0,1,right,O. Anunoby 3PT  (9 PTS) (F. VanVleet 7 AST),"[1628384, 1627832]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,Left Corner 3,24+ Left,22.53,Made,,,,,,,9.0,F. VanVleet,1627832.0,7.0,,,,,,,
326,PT10M24.00S,2023-03-07T03:19:42.6Z,3,REGULAR,2pt,Jump Shot,[],1627750,17.821944809461236,21.568627450980394,1610612743,62,64,2023-03-07T03:19:46Z,3170000,False,142.0,115.0,1,left,J. Murray 18' turnaround fadeaway Jump Shot (8 PTS),[1627750],1610612743.0,DEN,turnaround fadeaway,,,Murray,J. Murray,,,,,,Mid-Range,16-24 Right Center,18.29,Made,,,,,,,8.0,,,,,,,,,,
327,PT10M07.00S,2023-03-07T03:19:59.5Z,3,REGULAR,turnover,bad pass,[],1627751,,,1610612761,62,64,2023-03-07T03:20:03Z,3180000,False,,,0,,J. Poeltl bad pass TURNOVER (2 TO),"[1627751, 203484]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,2.0,Caldwell-Pope,203484.0
328,PT10M07.00S,2023-03-07T03:19:59.5Z,3,REGULAR,steal,,[],203484,,,1610612743,62,64,2023-03-07T03:20:58Z,3190000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
329,PT10M04.00S,2023-03-07T03:20:03.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627750,6.915243101182654,46.81372549019608,1610612743,64,64,2023-03-07T03:20:17Z,3200000,False,16.0,13.0,1,left,J. Murray running reverse Layup (10 PTS) (A. Gordon 5 AST),"[1627750, 203932]",1610612743.0,DEN,running reverse,,,Murray,J. Murray,,,,,,Restricted Area,0-8 Center,2.02,Made,,,,,,,10.0,A. Gordon,203932.0,5.0,,,,,,,
331,PT09M40.00S,2023-03-07T03:20:26.2Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,89.43823915900131,59.31372549019608,1610612761,64,64,2023-03-07T03:22:04Z,3220000,False,47.0,47.0,1,right,MISS J. Poeltl 6' floating Shot,[1627751],1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,,In The Paint (Non-RA),0-8 Center,6.6,Missed,,,,,,,,,,,,,,,,,
332,PT09M36.00S,2023-03-07T03:20:30.2Z,3,REGULAR,rebound,offensive,[],1627783,,,1610612761,64,64,2023-03-07T03:20:38Z,3230000,False,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,In The Paint (Non-RA),0-8 Center,,,,,331.0,2.0,1.0,1.0,,,,,,,,,,,
333,PT09M34.00S,2023-03-07T03:20:33.7Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,91.67214191852825,4.411764705882353,1610612761,64,67,2023-03-07T03:20:41Z,3240000,False,-228.0,26.0,1,right,P. Siakam 3PT  (13 PTS) (F. VanVleet 8 AST),"[1627783, 1627832]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Left Corner 3,24+ Left,22.94,Made,,,,,,,13.0,F. VanVleet,1627832.0,8.0,,,,,,,
335,PT09M15.00S,2023-03-07T03:20:51.9Z,3,REGULAR,3pt,Jump Shot,[],1627750,31.488173455978973,66.66666666666666,1610612743,67,67,2023-03-07T03:21:11Z,3260000,False,-83.0,243.0,1,left,J. Murray 25' 3PT  (13 PTS) (N. Jokic 4 AST),"[1627750, 203999]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,,Above the Break 3,24+ Left Center,25.74,Made,,,,,,,13.0,N. Jokic,203999.0,4.0,,,,,,,
337,PT08M56.00S,2023-03-07T03:21:10.6Z,3,REGULAR,2pt,Jump Shot,[],1627783,79.45137976346912,34.80392156862745,1610612761,67,67,2023-03-07T03:21:15Z,3280000,False,-76.0,141.0,1,right,MISS P. Siakam 15' pullup Shot,[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,,Mid-Range,8-16 Center,15.99,Missed,,,,,,,,,,,,,,,,,
338,PT08M54.00S,2023-03-07T03:21:12.6Z,3,REGULAR,rebound,defensive,[],1629008,,,1610612743,67,67,2023-03-07T03:21:15Z,3290000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:3),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,Mid-Range,8-16 Center,,,,,337.0,3.0,3.0,0.0,,,,,,,,,,,
339,PT08M46.00S,2023-03-07T03:21:21.5Z,3,REGULAR,3pt,Jump Shot,[],1627750,30.962549277266753,31.61764705882353,1610612743,67,67,2023-03-07T03:23:09Z,3300000,False,92.0,239.0,1,left,MISS J. Murray 25' 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,Above the Break 3,24+ Right Center,25.56,Missed,,,,,,,,,,,,,,,,,
340,PT08M43.00S,2023-03-07T03:21:24.5Z,3,REGULAR,rebound,defensive,[],1627783,,,1610612761,67,67,2023-03-07T03:21:25Z,3310000,False,,,0,,P. Siakam REBOUND (Off:1 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Above the Break 3,24+ Right Center,,,,,339.0,3.0,2.0,1.0,,,,,,,,,,,
341,PT08M29.00S,2023-03-07T03:21:37.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.64323258869908,54.41176470588235,1610612761,67,69,2023-03-07T03:21:45Z,3320000,False,22.0,7.0,1,right,J. Poeltl Layup (10 PTS) (F. VanVleet 9 AST),"[1627751, 1627832]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,Restricted Area,0-8 Center,2.33,Made,,,,,,,10.0,F. VanVleet,1627832.0,9.0,,,,,,,
