actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
176,PT00M00.70S,2023-02-08T02:38:14.1Z,1,REGULAR,substitution,in,[],202397,,,1610612750,49,19,2023-02-08T02:38:17Z,1780000,False,,,0,,SUB in: I. Smith,[202397],1610612743.0,DEN,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT00M00.00S,2023-02-08T02:38:37.5Z,1,REGULAR,period,end,[],0,,,1610612750,49,19,2023-02-08T02:38:37Z,1790000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2023-02-08T02:40:56.0Z,2,REGULAR,substitution,out,['startperiod'],1630233,,,1610612750,49,19,2023-02-08T02:41:18Z,1800000,False,,,0,,SUB out: N. Knight,[1630233],1610612750.0,MIN,,,,Knight,N. Knight,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2023-02-08T02:40:56.0Z,2,REGULAR,substitution,out,['startperiod'],1630568,,,1610612750,49,19,2023-02-08T02:41:18Z,1810000,False,,,0,,SUB out: L. Garza,[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2023-02-08T02:40:56.0Z,2,REGULAR,substitution,in,['startperiod'],203497,,,1610612750,49,19,2023-02-08T02:41:18Z,1820000,False,,,0,,SUB in: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2023-02-08T02:40:56.0Z,2,REGULAR,substitution,in,['startperiod'],1630162,,,1610612750,49,19,2023-02-08T02:41:18Z,1830000,False,,,0,,SUB in: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2023-02-08T02:41:19.2Z,2,REGULAR,period,start,[],0,,,1610612750,49,19,2023-02-08T02:41:19Z,1840000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT11M46.00S,2023-02-08T02:41:33.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,9.674770039421814,45.34313725490196,1610612750,49,21,2023-02-08T02:41:43Z,1850000,False,23.0,38.0,1,left,A. Edwards driving Layup (9 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,4.49,Made,,,,,9.0,,,,,,,,,,,,,
184,PT11M46.00S,2023-02-08T02:41:37.0Z,2,REGULAR,foul,personal,['1freethrow'],1628971,,,1610612750,49,21,2023-02-08T02:41:45Z,1860000,False,,,0,,B. Brown shooting personal FOUL (2 PF) (Edwards 1 FT),"[1628971, 1630162]",1610612743.0,DEN,shooting,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1830.0,2.0,0.0,Edwards,1630162.0,,,,,
186,PT11M46.00S,2023-02-08T02:41:59.6Z,2,REGULAR,freethrow,1 of 1,[],1630162,,,1610612750,49,21,2023-02-08T02:42:04Z,1880000,False,,,0,,MISS A. Edwards Free Throw 1 of 1,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
187,PT11M43.00S,2023-02-08T02:42:02.6Z,2,REGULAR,rebound,defensive,[],1628427,,,1610612743,49,21,2023-02-08T02:43:44Z,1890000,False,,,0,,V. Cancar REBOUND (Off:0 Def:4),[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,,,,,186.0,,,,,,,,,,,,,,,4.0,4.0,0.0
188,PT11M26.00S,2023-02-08T02:42:17.5Z,2,REGULAR,2pt,Jump Shot,[],1628427,91.93495400788436,31.61764705882353,1610612743,51,21,2023-02-08T02:42:22Z,1900000,False,-92.0,23.0,1,right,V. Cancar 9' Jump Shot (2 PTS) (J. Green 1 AST),"[1628427, 201145]",1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,Mid-Range,8-16 Left,9.48,Made,,,,,2.0,J. Green,201145.0,1.0,,,,,,,,,,
190,PT11M14.00S,2023-02-08T02:42:32.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627752,8.09789750328515,43.872549019607845,1610612750,51,23,2023-02-08T02:42:39Z,1920000,False,31.0,24.0,1,left,T. Prince driving Layup (2 PTS) (A. Edwards 2 AST),"[1627752, 1630162]",1610612750.0,MIN,driving,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,3.86,Made,,,,,2.0,A. Edwards,1630162.0,2.0,,,,,,,,,,
192,PT11M14.00S,2023-02-08T02:42:34.9Z,2,REGULAR,foul,personal,['1freethrow'],1628427,,,1610612750,51,23,2023-02-08T02:42:57Z,1940000,False,,,0,,V. Cancar shooting personal FOUL (1 PF) (Prince 1 FT),"[1628427, 1627752]",1610612743.0,DEN,shooting,,,Cancar,V. Cancar,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627963.0,1.0,0.0,Prince,1627752.0,,,,,
194,PT11M14.00S,2023-02-08T02:42:58.5Z,2,REGULAR,freethrow,1 of 1,[],1627752,,,1610612750,51,24,2023-02-08T02:42:58Z,1960000,False,,,0,,T. Prince Free Throw 1 of 1 (3 PTS),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
195,PT10M59.00S,2023-02-08T02:43:16.0Z,2,REGULAR,turnover,traveling,[],202397,,,1610612743,51,24,2023-02-08T02:44:23Z,1970000,False,,,0,,I. Smith traveling TURNOVER (1 TO),[202397],1610612743.0,DEN,,,,Smith,I. Smith,,,,,Mid-Range,16-24 Right Center,,,,1.0,,,,,,,202027.0,,,,,,,,,
196,PT10M48.00S,2023-02-08T02:43:38.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629669,18.2161629434954,95.58823529411765,1610612750,51,24,2023-02-08T02:44:10Z,1980000,False,-228.0,119.0,1,left,MISS J. Nowell 25' 3PT,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,Above the Break 3,24+ Left Center,25.7,Missed,,,,,,,,,,,,,,,,,,
197,PT10M44.00S,2023-02-08T02:43:42.2Z,2,REGULAR,rebound,defensive,[],202397,,,1610612743,51,24,2023-02-08T02:43:42Z,1990000,False,,,0,,I. Smith REBOUND (Off:0 Def:2),[202397],1610612743.0,DEN,,,,Smith,I. Smith,,,,,Above the Break 3,24+ Left Center,,,196.0,,,,,,,,,,,,,,,2.0,2.0,0.0
198,PT10M29.00S,2023-02-08T02:43:57.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201145,91.93495400788436,46.07843137254902,1610612743,51,24,2023-02-08T02:44:15Z,2000000,False,-20.0,23.0,1,right,MISS J. Green cutting Layup,[201145],1610612743.0,DEN,cutting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.04,Missed,,,,,,,,,,,,,,,,,,
199,PT10M26.00S,2023-02-08T02:44:00.2Z,2,REGULAR,rebound,defensive,[],203497,,,1610612750,51,24,2023-02-08T02:44:15Z,2010000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,198.0,,,,,,,,,,,,,,,2.0,2.0,0.0
200,PT10M18.00S,2023-02-08T02:44:08.7Z,2,REGULAR,foul,personal,['2freethrow'],201145,,,1610612750,51,24,2023-02-08T02:44:24Z,2020000,False,,,0,,J. Green shooting personal FOUL (2 PF) (Edwards 2 FT),"[201145, 1630162]",1610612743.0,DEN,shooting,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202027.0,2.0,0.0,Edwards,1630162.0,,,,,
202,PT10M18.00S,2023-02-08T02:44:39.2Z,2,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,51,25,2023-02-08T02:44:39Z,2040000,False,,,0,,A. Edwards Free Throw 1 of 2 (10 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
203,PT10M18.00S,2023-02-08T02:44:48.7Z,2,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,51,26,2023-02-08T02:44:48Z,2050000,False,,,0,,A. Edwards Free Throw 2 of 2 (11 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
204,PT10M09.00S,2023-02-08T02:45:06.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,51,26,2023-02-08T02:45:06Z,2060000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT10M09.00S,2023-02-08T02:47:26.6Z,2,REGULAR,substitution,out,[],1628971,,,1610612743,51,26,2023-02-08T02:47:51Z,2070000,False,,,0,,SUB out: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT10M09.00S,2023-02-08T02:47:26.6Z,2,REGULAR,substitution,in,[],203484,,,1610612743,51,26,2023-02-08T02:47:51Z,2080000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT09M58.00S,2023-02-08T02:48:03.6Z,2,REGULAR,2pt,Jump Shot,[],202397,86.28449408672799,76.22549019607843,1610612743,51,26,2023-02-08T02:48:08Z,2090000,False,131.0,76.0,1,right,MISS I. Smith 15' pullup Shot,[202397],1610612743.0,DEN,pullup,,,Smith,I. Smith,,,,,Mid-Range,8-16 Right,15.17,Missed,,,,,,,,,,,,,,,,,,
208,PT09M54.00S,2023-02-08T02:48:07.6Z,2,REGULAR,rebound,defensive,[],1629669,,,1610612750,51,26,2023-02-08T02:48:08Z,2100000,False,,,0,,J. Nowell REBOUND (Off:0 Def:1),[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,Mid-Range,8-16 Right,,,207.0,,,,,,,,,,,,,,,1.0,1.0,0.0
209,PT09M46.00S,2023-02-08T02:48:15.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629162,8.360709592641262,42.8921568627451,1610612750,51,26,2023-02-08T02:48:21Z,2110000,False,36.0,26.0,1,left,MISS J. McLaughlin driving finger roll Layup,[1629162],1610612750.0,MIN,driving finger roll,,,McLaughlin,J. McLaughlin,,,,,In The Paint (Non-RA),0-8 Center,4.41,Missed,,,,,,,,,,,,,,,,,,
210,PT09M44.00S,2023-02-08T02:48:17.8Z,2,REGULAR,rebound,defensive,[],202397,,,1610612743,51,26,2023-02-08T02:48:21Z,2120000,False,,,0,,I. Smith REBOUND (Off:0 Def:3),[202397],1610612743.0,DEN,,,,Smith,I. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,209.0,,,,,,,,,,,,,,,3.0,3.0,0.0
211,PT09M42.00S,2023-02-08T02:48:19.9Z,2,REGULAR,turnover,bad pass,[],202397,,,1610612743,51,26,2023-02-08T02:48:25Z,2130000,False,,,0,,I. Smith bad pass TURNOVER (2 TO),"[202397, 1627752]",1610612743.0,DEN,,,,Smith,I. Smith,,,,,Above the Break 3,24+ Center,,,,2.0,Prince,1627752.0,,,,,,,,,,,,,,
212,PT09M42.00S,2023-02-08T02:48:19.9Z,2,REGULAR,steal,,[],1627752,,,1610612750,51,26,2023-02-08T02:48:21Z,2140000,False,,,0,,T. Prince STEAL (1 STL),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
213,PT09M39.00S,2023-02-08T02:48:23.9Z,2,REGULAR,foul,personal,['2freethrow'],202397,,,1610612750,51,26,2023-02-08T02:48:31Z,2150000,False,,,0,,I. Smith shooting personal FOUL (2 PF) (Prince 2 FT),"[202397, 1627752]",1610612743.0,DEN,shooting,,,Smith,I. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627963.0,2.0,0.0,Prince,1627752.0,,,,,
215,PT09M39.00S,2023-02-08T02:48:50.3Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1627752,,,1610612750,51,27,2023-02-08T02:48:50Z,2170000,False,,,0,,T. Prince Free Throw 1 of 2 (4 PTS),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
216,PT09M39.00S,2023-02-08T02:48:50.9Z,2,REGULAR,substitution,out,[],1628427,,,1610612750,51,27,2023-02-08T02:48:55Z,2180000,False,,,0,,SUB out: V. Cancar,[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT09M39.00S,2023-02-08T02:48:50.9Z,2,REGULAR,substitution,in,[],203932,,,1610612750,51,27,2023-02-08T02:48:55Z,2190000,False,,,0,,SUB in: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT09M39.00S,2023-02-08T02:49:12.0Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1627752,,,1610612750,51,28,2023-02-08T02:49:12Z,2200000,False,,,0,,T. Prince Free Throw 2 of 2 (5 PTS),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
219,PT09M23.00S,2023-02-08T02:49:30.1Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],201145,87.72996057818659,57.107843137254896,1610612743,51,28,2023-02-08T02:50:03Z,2210000,False,36.0,63.0,1,right,MISS J. Green 7' driving Hook,[201145],1610612743.0,DEN,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,7.21,Missed,,,,,,,,,,,,,,,,,,
220,PT09M21.00S,2023-02-08T02:49:32.1Z,2,REGULAR,rebound,defensive,[],1630162,,,1610612750,51,28,2023-02-08T02:49:36Z,2220000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,219.0,,,,,,,,,,,,,,,1.0,1.0,0.0
221,PT09M15.00S,2023-02-08T02:49:38.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630162,8.229303547963205,43.13725490196079,1610612750,51,30,2023-02-08T02:49:48Z,2230000,False,34.0,25.0,1,left,A. Edwards running Layup (13 PTS),[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,4.24,Made,,,,,13.0,,,,,,,,,,,,,
222,PT09M06.00S,2023-02-08T02:49:46.6Z,2,REGULAR,3pt,Jump Shot,[],1631128,92.59198423127464,3.9215686274509802,1610612743,51,30,2023-02-08T02:49:52Z,2240000,False,-230.0,17.0,1,right,MISS C. Braun 3PT,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Left Corner 3,24+ Left,23.1,Missed,,,,,,,,,,,,,,,,,,
223,PT09M03.00S,2023-02-08T02:49:49.6Z,2,REGULAR,rebound,defensive,[],1630162,,,1610612750,51,30,2023-02-08T02:49:52Z,2250000,False,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Left Corner 3,24+ Left,,,222.0,,,,,,,,,,,,,,,2.0,2.0,0.0
224,PT08M58.00S,2023-02-08T02:49:54.7Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630162,6.783837056504599,57.84313725490197,1610612750,51,30,2023-02-08T02:50:55Z,2260000,False,-39.0,11.0,1,left,MISS A. Edwards running Layup,[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,4.08,Missed,,,,,,,,,,,,,,,,,,
225,PT08M57.00S,2023-02-08T02:49:55.7Z,2,REGULAR,rebound,defensive,[],203932,,,1610612743,51,30,2023-02-08T02:50:01Z,2270000,False,,,0,,A. Gordon REBOUND (Off:0 Def:3),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,224.0,,,,,,,,,,,,,,,3.0,3.0,0.0
227,PT08M53.00S,2023-02-08T02:50:00.4Z,2,REGULAR,turnover,bad pass,[],203932,,,1610612743,51,30,2023-02-08T02:50:08Z,2290000,False,,,0,,A. Gordon bad pass TURNOVER (2 TO),"[203932, 1629162]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Center,,,,2.0,McLaughlin,1629162.0,,,,,,,,,,,,,,
228,PT08M53.00S,2023-02-08T02:50:00.4Z,2,REGULAR,steal,,[],1629162,,,1610612750,51,30,2023-02-08T02:50:01Z,2300000,False,,,0,,J. McLaughlin STEAL (1 STL),[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
229,PT08M51.00S,2023-02-08T02:50:02.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,6.915243101182654,95.09803921568627,1610612750,51,30,2023-02-08T02:50:12Z,2310000,False,-225.0,13.0,1,left,MISS A. Edwards 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Left Corner 3,24+ Left,22.58,Missed,,,,,,,,,,,,,,,,,,
230,PT08M49.00S,2023-02-08T02:50:04.4Z,2,REGULAR,rebound,defensive,[],201145,,,1610612743,51,30,2023-02-08T02:50:04Z,2320000,False,,,0,,J. Green REBOUND (Off:1 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,Left Corner 3,24+ Left,,,229.0,,,,,,,,,,,,,,,2.0,1.0,1.0
231,PT08M33.00S,2023-02-08T02:50:20.5Z,2,REGULAR,2pt,Jump Shot,[],203932,81.02825229960578,26.715686274509803,1610612743,53,30,2023-02-08T02:50:26Z,2330000,False,-116.0,126.0,1,right,A. Gordon 17' step back Jump Shot (8 PTS) (I. Smith 3 AST),"[203932, 202397]",1610612743.0,DEN,step back,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Left Center,17.14,Made,,,,,8.0,I. Smith,202397.0,3.0,,,,,,,,,,
233,PT08M07.00S,2023-02-08T02:50:45.5Z,2,REGULAR,3pt,Jump Shot,[],1630162,30.831143232588698,74.75490196078431,1610612750,53,30,2023-02-08T02:50:51Z,2350000,False,-124.0,237.0,1,left,MISS A. Edwards 26' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,26.77,Missed,,,,,,,,,,,,,,,,,,
234,PT08M05.00S,2023-02-08T02:50:47.5Z,2,REGULAR,rebound,defensive,[],201145,,,1610612743,53,30,2023-02-08T02:50:51Z,2360000,False,,,0,,J. Green REBOUND (Off:1 Def:2),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,233.0,,,,,,,,,,,,,,,3.0,2.0,1.0
235,PT08M00.00S,2023-02-08T02:50:54.8Z,2,REGULAR,foul,personal,['2freethrow'],203497,,,1610612743,53,30,2023-02-08T02:51:07Z,2370000,False,,,0,,R. Gobert shooting personal FOUL (1 PF) (Gordon 2 FT),"[203497, 203932]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202027.0,1.0,0.0,Gordon,203932.0,,,,,
237,PT08M00.00S,2023-02-08T02:51:33.3Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],203932,,,1610612743,54,30,2023-02-08T02:51:33Z,2390000,False,,,0,,A. Gordon Free Throw 1 of 2 (9 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
238,PT08M00.00S,2023-02-08T02:51:34.4Z,2,REGULAR,substitution,out,[],1631128,,,1610612743,54,30,2023-02-08T02:51:57Z,2400000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT08M00.00S,2023-02-08T02:51:34.4Z,2,REGULAR,substitution,out,[],201145,,,1610612743,54,30,2023-02-08T02:51:57Z,2410000,False,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT08M00.00S,2023-02-08T02:51:34.4Z,2,REGULAR,substitution,out,[],1629669,,,1610612743,54,30,2023-02-08T02:51:57Z,2420000,False,,,0,,SUB out: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT08M00.00S,2023-02-08T02:51:34.4Z,2,REGULAR,substitution,out,[],1629162,,,1610612743,54,30,2023-02-08T02:51:57Z,2430000,False,,,0,,SUB out: J. McLaughlin,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT08M00.00S,2023-02-08T02:51:34.4Z,2,REGULAR,substitution,out,[],1627752,,,1610612743,54,30,2023-02-08T02:51:57Z,2440000,False,,,0,,SUB out: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT08M00.00S,2023-02-08T02:51:34.4Z,2,REGULAR,substitution,in,[],1629008,,,1610612743,54,30,2023-02-08T02:51:57Z,2450000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT08M00.00S,2023-02-08T02:51:34.4Z,2,REGULAR,substitution,in,[],203999,,,1610612743,54,30,2023-02-08T02:51:57Z,2460000,False,,,0,,SUB in: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT08M00.00S,2023-02-08T02:51:34.4Z,2,REGULAR,substitution,in,[],1626156,,,1610612743,54,30,2023-02-08T02:51:57Z,2470000,False,,,0,,SUB in: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT08M00.00S,2023-02-08T02:51:34.4Z,2,REGULAR,substitution,in,[],1630183,,,1610612743,54,30,2023-02-08T02:51:57Z,2480000,False,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT08M00.00S,2023-02-08T02:51:34.4Z,2,REGULAR,substitution,in,[],1629675,,,1610612743,54,30,2023-02-08T02:51:57Z,2490000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT08M00.00S,2023-02-08T02:52:05.3Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],203932,,,1610612743,55,30,2023-02-08T02:52:05Z,2500000,False,,,0,,A. Gordon Free Throw 2 of 2 (10 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
249,PT07M45.00S,2023-02-08T02:52:21.9Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629675,7.966491458607096,41.911764705882355,1610612750,55,32,2023-02-08T02:52:29Z,2510000,False,40.0,22.0,1,left,N. Reid turnaround bank Hook (5 PTS) (J. McDaniels 2 AST),"[1629675, 1630183]",1610612750.0,MIN,turnaround bank,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,,,,,5.0,J. McDaniels,1630183.0,2.0,,,,,,,,,,
251,PT07M32.00S,2023-02-08T02:52:34.8Z,2,REGULAR,3pt,Jump Shot,[],203999,66.96780551905388,47.549019607843135,1610612743,55,32,2023-02-08T02:52:40Z,2530000,False,-12.0,258.0,1,right,MISS N. Jokic 25' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,25.83,Missed,,,,,,,,,,,,,,,,,,
252,PT07M29.00S,2023-02-08T02:52:37.8Z,2,REGULAR,rebound,defensive,[],1630162,,,1610612750,55,32,2023-02-08T02:52:40Z,2540000,False,,,0,,A. Edwards REBOUND (Off:0 Def:3),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,251.0,,,,,,,,,,,,,,,3.0,3.0,0.0
253,PT07M23.00S,2023-02-08T02:52:43.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,11.777266754270697,42.8921568627451,1610612750,55,34,2023-02-08T02:53:24Z,2550000,False,36.0,58.0,1,left,A. Edwards 6' driving floating Jump Shot (15 PTS),[1630162],1610612750.0,MIN,driving floating,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,6.82,Made,,,,,15.0,,,,,,,,,,,,,
254,PT07M09.00S,2023-02-08T02:52:58.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.24901445466492,54.90196078431373,1610612743,57,34,2023-02-08T02:53:06Z,2560000,False,25.0,11.0,1,right,N. Jokic finger roll Layup (11 PTS) (A. Gordon 5 AST),"[203999, 203932]",1610612743.0,DEN,finger roll,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.69,Made,,,,,11.0,A. Gordon,203932.0,5.0,,,,,,,,,,
256,PT06M50.00S,2023-02-08T02:53:17.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,6.521024967148489,47.549019607843135,1610612750,57,36,2023-02-08T02:53:22Z,2580000,False,12.0,9.0,1,left,N. Reid Layup (7 PTS) (A. Edwards 3 AST),"[1629675, 1630162]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,1.51,Made,,,,,7.0,A. Edwards,1630162.0,3.0,,,,,,,,,,
258,PT06M39.00S,2023-02-08T02:53:28.1Z,2,REGULAR,2pt,Jump Shot,[],203999,74.98357424441524,51.225490196078425,1610612743,57,36,2023-02-08T02:53:33Z,2600000,False,6.0,183.0,1,right,MISS N. Jokic 18' Jump Shot,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Center,18.28,Missed,,,,,,,,,,,,,,,,,,
259,PT06M36.00S,2023-02-08T02:53:31.1Z,2,REGULAR,rebound,defensive,[],1626156,,,1610612750,57,36,2023-02-08T02:53:33Z,2610000,False,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Center,,,258.0,,,,,,,,,,,,,,,1.0,1.0,0.0
