actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
182,PT00M21.40S,2023-01-19T03:40:51.0Z,1,REGULAR,turnover,offensive goaltending,[],1630192,,,1610612743,30,24,2023-01-19T03:41:38Z,1800000,False,,,0,,Z. Nnaji offensive goaltending TURNOVER (1 TO),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,Restricted Area,0-8 Center,,,,,,,,,1151.0,,1.0,,,,,,,,,
183,PT00M05.00S,2023-01-19T03:41:16.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630568,33.590670170827856,48.529411764705884,1610612750,30,27,2023-01-19T03:41:20Z,1810000,False,7.0,263.0,1,left,L. Garza 26' 3PT  (5 PTS) (D. Russell 3 AST),"[1630568, 1626156]",1610612750.0,MIN,,,,Garza,L. Garza,,,,,Above the Break 3,24+ Center,26.34,Made,,,,,,,,5.0,,,,D. Russell,1626156.0,3.0,,,,
185,PT00M00.90S,2023-01-19T03:41:30.1Z,1,REGULAR,turnover,out-of-bounds,[],1630538,,,1610612743,30,27,2023-01-19T03:41:45Z,1830000,False,,,0,,B. Hyland lost ball out-of-bounds TURNOVER (1 TO),[1630538],1610612743.0,DEN,lost ball,,,Hyland,B. Hyland,,,,,Mid-Range,8-16 Left,,,,,,,,,202901.0,,1.0,,,,,,,,,
186,PT00M00.40S,2023-01-19T03:41:48.5Z,1,REGULAR,turnover,traveling,[],1627752,,,1610612750,30,27,2023-01-19T03:42:14Z,1840000,False,,,0,,T. Prince traveling TURNOVER (1 TO),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1151.0,,1.0,,,,,,,,,
188,PT00M00.00S,2023-01-19T03:44:03.1Z,1,REGULAR,period,end,[],0,,,1610612743,30,27,2023-01-19T03:44:03Z,1860000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2023-01-19T03:44:08.5Z,2,REGULAR,substitution,out,['startperiod'],1628971,,,1610612743,30,27,2023-01-19T03:47:20Z,1870000,False,,,0,,SUB out: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT12M00.00S,2023-01-19T03:44:08.5Z,2,REGULAR,substitution,in,['startperiod'],1631128,,,1610612743,30,27,2023-01-19T03:47:20Z,1880000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT12M00.00S,2023-01-19T03:47:33.9Z,2,REGULAR,period,start,[],0,,,1610612750,30,27,2023-01-19T03:47:33Z,1890000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT11M35.00S,2023-01-19T03:48:11.5Z,2,REGULAR,turnover,lost ball,[],1630183,,,1610612750,30,27,2023-01-19T03:48:25Z,1910000,False,,,0,,J. McDaniels lost ball TURNOVER (3 TO),"[1630183, 1631128]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,3.0,Braun,1631128.0,,,,,,,
194,PT11M35.00S,2023-01-19T03:48:11.5Z,2,REGULAR,steal,,[],1631128,,,1610612743,30,27,2023-01-19T03:48:13Z,1920000,False,,,0,,C. Braun STEAL (1 STL),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
195,PT11M31.00S,2023-01-19T03:48:16.1Z,2,REGULAR,turnover,out-of-bounds,[],1628427,,,1610612743,30,27,2023-01-19T03:48:31Z,1930000,False,,,0,,V. Cancar step out-of-bounds TURNOVER (1 TO),[1628427],1610612743.0,DEN,step,,,Cancar,V. Cancar,,,,,Left Corner 3,24+ Left,,,,,,,,,2004.0,,1.0,,,,,,,,,
196,PT11M18.00S,2023-01-19T03:48:41.5Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1626156,7.30946123521682,80.88235294117648,1610612750,30,29,2023-01-19T03:49:54Z,1940000,False,-154.0,16.0,1,left,D. Russell 15' pullup Jump Shot (2 PTS),[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,15.52,Made,,,,,,,,2.0,,,,,,,,,,
198,PT11M03.00S,2023-01-19T03:49:00.6Z,2,REGULAR,foul,personal,[],1627752,,,1610612743,30,29,2023-01-19T03:49:05Z,1960000,False,,,0,,T. Prince personal FOUL (1 PF),"[1627752, 1627750]",1610612750.0,MIN,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,,,,,,,,,202901.0,,,,,,,,1.0,0.0,Murray,1627750.0
200,PT10M57.00S,2023-01-19T03:49:29.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630538,80.89684625492772,41.66666666666667,1610612743,32,29,2023-01-19T03:49:37Z,1980000,False,-42.0,127.0,1,right,B. Hyland 13' driving floating Jump Shot (2 PTS),[1630538],1610612743.0,DEN,driving floating,,,Hyland,B. Hyland,,,,,In The Paint (Non-RA),8-16 Center,13.38,Made,,,,,,,,2.0,,,,,,,,,,
201,PT10M39.00S,2023-01-19T03:49:47.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627752,11.777266754270697,44.11764705882353,1610612750,32,29,2023-01-19T03:49:53Z,1990000,False,29.0,58.0,1,left,MISS T. Prince 6' driving Layup,[1627752],1610612750.0,MIN,driving,,,Prince,T. Prince,,,,,In The Paint (Non-RA),0-8 Center,6.52,Missed,,,,,,,,,,,,,,,,,,
203,PT10M36.00S,2023-01-19T03:49:50.6Z,2,REGULAR,rebound,offensive,[],1627752,,,1610612750,32,29,2023-01-19T03:49:53Z,2010000,False,,,0,,T. Prince REBOUND (Off:1 Def:1),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,In The Paint (Non-RA),0-8 Center,,,,,201.0,2.0,1.0,1.0,,,,,,,,,,,,
204,PT10M36.00S,2023-01-19T03:49:50.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627752,8.754927726675426,46.32352941176471,1610612750,32,31,2023-01-19T03:50:00Z,2020000,False,18.0,30.0,1,left,T. Prince putback Layup (4 PTS),[1627752],1610612750.0,MIN,putback,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,3.5,Made,,,,,,,,4.0,,,,,,,,,,
205,PT10M17.00S,2023-01-19T03:50:11.7Z,2,REGULAR,foul,personal,['2freethrow'],1630568,,,1610612743,32,31,2023-01-19T03:50:24Z,2030000,False,,,0,,L. Garza shooting personal FOUL (3 PF) (Hyland 2 FT),"[1630568, 1630538]",1610612750.0,MIN,shooting,,,Garza,L. Garza,,,,,Restricted Area,0-8 Center,,,,,,,,,2004.0,,,,,,,,3.0,0.0,Hyland,1630538.0
207,PT10M17.00S,2023-01-19T03:50:57.3Z,2,REGULAR,freethrow,1 of 2,[],1630538,,,1610612743,33,31,2023-01-19T03:50:57Z,2050000,False,,,0,,B. Hyland Free Throw 1 of 2 (3 PTS),[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
208,PT10M17.00S,2023-01-19T03:50:58.1Z,2,REGULAR,substitution,out,[],1629669,,,1610612743,33,31,2023-01-19T03:51:06Z,2060000,False,,,0,,SUB out: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT10M17.00S,2023-01-19T03:50:58.1Z,2,REGULAR,substitution,out,[],1630568,,,1610612743,33,31,2023-01-19T03:51:06Z,2070000,False,,,0,,SUB out: L. Garza,[1630568],1610612750.0,MIN,,,,Garza,L. Garza,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT10M17.00S,2023-01-19T03:50:58.1Z,2,REGULAR,substitution,in,[],1629675,,,1610612743,33,31,2023-01-19T03:51:06Z,2080000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT10M17.00S,2023-01-19T03:50:58.1Z,2,REGULAR,substitution,in,[],1630162,,,1610612743,33,31,2023-01-19T03:51:06Z,2090000,False,,,0,,SUB in: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT10M17.00S,2023-01-19T03:51:21.8Z,2,REGULAR,freethrow,2 of 2,[],1630538,,,1610612743,34,31,2023-01-19T03:51:21Z,2100000,False,,,0,,B. Hyland Free Throw 2 of 2 (4 PTS),[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,Made,,,,,,,,4.0,,,,,,,,,,
213,PT10M04.00S,2023-01-19T03:51:36.1Z,2,REGULAR,3pt,Jump Shot,[],1627752,9.411957950065702,96.32352941176471,1610612750,34,31,2023-01-19T03:51:41Z,2110000,False,-232.0,36.0,1,left,MISS T. Prince step back 3PT,[1627752],1610612750.0,MIN,step back,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,23.44,Missed,,,,,,,,,,,,,,,,,,
214,PT10M02.00S,2023-01-19T03:51:38.1Z,2,REGULAR,rebound,defensive,[],1631128,,,1610612743,34,31,2023-01-19T03:51:41Z,2120000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Left Corner 3,24+ Left,,,,,213.0,1.0,1.0,0.0,,,,,,,,,,,,
215,PT09M45.00S,2023-01-19T03:51:55.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630192,93.38042049934296,45.588235294117645,1610612743,34,31,2023-01-19T03:51:58Z,2130000,False,-22.0,10.0,1,right,MISS Z. Nnaji Layup,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,Restricted Area,0-8 Center,2.41,Missed,,,,,,,,,,,,,,,,,,
216,PT09M43.00S,2023-01-19T03:51:57.2Z,2,REGULAR,rebound,offensive,[],1631128,,,1610612743,34,31,2023-01-19T03:51:58Z,2140000,False,,,0,,C. Braun REBOUND (Off:1 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,,,215.0,2.0,1.0,1.0,,,,,,,,,,,,
217,PT09M41.00S,2023-01-19T03:52:02.0Z,2,REGULAR,turnover,out-of-bounds,[],1631128,,,1610612743,34,31,2023-01-19T03:52:08Z,2150000,False,,,0,,C. Braun step out-of-bounds TURNOVER (1 TO),[1631128],1610612743.0,DEN,step,,,Braun,C. Braun,,,,,Above the Break 3,24+ Right Center,,,,,,,,,2004.0,,1.0,,,,,,,,,
218,PT09M18.00S,2023-01-19T03:52:39.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627752,6.915243101182654,44.85294117647059,1610612750,34,33,2023-01-19T03:52:43Z,2160000,False,26.0,13.0,1,left,T. Prince driving finger roll Layup (6 PTS),[1627752],1610612750.0,MIN,driving finger roll,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,2.86,Made,,,,,,,,6.0,,,,,,,,,,
219,PT09M00.00S,2023-01-19T03:52:57.2Z,2,REGULAR,3pt,Jump Shot,[],1628427,69.46452036793693,17.401960784313726,1610612743,34,33,2023-01-19T03:53:02Z,2170000,False,-163.0,235.0,1,right,MISS V. Cancar 28' 3PT,[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,Above the Break 3,24+ Left Center,28.56,Missed,,,,,,,,,,,,,,,,,,
220,PT08M57.00S,2023-01-19T03:53:00.2Z,2,REGULAR,rebound,defensive,[],1630162,,,1610612750,34,33,2023-01-19T03:53:02Z,2180000,False,,,0,,A. Edwards REBOUND (Off:1 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,219.0,3.0,2.0,1.0,,,,,,,,,,,,
221,PT08M51.00S,2023-01-19T03:53:08.9Z,2,REGULAR,foul,personal,['2freethrow'],1630192,,,1610612750,34,33,2023-01-19T03:53:30Z,2190000,False,,,0,,Z. Nnaji shooting personal FOUL (1 PF) (Reid 2 FT),"[1630192, 1629675]",1610612743.0,DEN,shooting,,,Nnaji,Z. Nnaji,,,,,Restricted Area,0-8 Center,,,,,,,,,202901.0,,,,,,,,1.0,0.0,Reid,1629675.0
223,PT08M51.00S,2023-01-19T03:53:42.2Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1629675,,,1610612750,34,34,2023-01-19T03:53:42Z,2210000,False,,,0,,N. Reid Free Throw 1 of 2 (5 PTS),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,Made,,,,,,,,5.0,,,,,,,,,,
224,PT08M51.00S,2023-01-19T03:53:42.8Z,2,REGULAR,substitution,out,[],1630538,,,1610612750,34,34,2023-01-19T03:53:58Z,2220000,False,,,0,,SUB out: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT08M51.00S,2023-01-19T03:53:42.8Z,2,REGULAR,substitution,out,[],1628427,,,1610612750,34,34,2023-01-19T03:53:58Z,2230000,False,,,0,,SUB out: V. Cancar,[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT08M51.00S,2023-01-19T03:53:42.8Z,2,REGULAR,substitution,out,[],1627752,,,1610612750,34,34,2023-01-19T03:53:58Z,2240000,False,,,0,,SUB out: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT08M51.00S,2023-01-19T03:53:42.8Z,2,REGULAR,substitution,in,[],203932,,,1610612750,34,34,2023-01-19T03:53:58Z,2250000,False,,,0,,SUB in: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT08M51.00S,2023-01-19T03:53:42.8Z,2,REGULAR,substitution,in,[],1628971,,,1610612750,34,34,2023-01-19T03:53:58Z,2260000,False,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT08M51.00S,2023-01-19T03:53:42.8Z,2,REGULAR,substitution,in,[],203937,,,1610612750,34,34,2023-01-19T03:53:58Z,2270000,False,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT08M51.00S,2023-01-19T03:54:04.7Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1629675,,,1610612750,34,35,2023-01-19T03:54:04Z,2280000,False,,,0,,N. Reid Free Throw 2 of 2 (6 PTS),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,Made,,,,,,,,6.0,,,,,,,,,,
231,PT08M40.00S,2023-01-19T03:54:19.0Z,2,REGULAR,foul,personal,[],1630183,,,1610612743,34,35,2023-01-19T03:54:26Z,2290000,False,,,0,,J. McDaniels personal FOUL (1 PF),"[1630183, 203932]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,202901.0,,,,,,,,1.0,0.0,Gordon,203932.0
233,PT08M35.00S,2023-01-19T03:54:38.8Z,2,REGULAR,3pt,Jump Shot,[],203932,71.04139290407359,73.2843137254902,1610612743,34,35,2023-01-19T03:54:44Z,2310000,False,116.0,220.0,1,right,MISS A. Gordon 24' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,24.86,Missed,,,,,,,,,,,,,,,,,,
234,PT08M32.00S,2023-01-19T03:54:41.8Z,2,REGULAR,rebound,defensive,[],1630162,,,1610612750,34,35,2023-01-19T03:54:44Z,2320000,False,,,0,,A. Edwards REBOUND (Off:1 Def:3),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,,233.0,4.0,3.0,1.0,,,,,,,,,,,,
235,PT08M11.00S,2023-01-19T03:55:03.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,12.565703022339028,51.225490196078425,1610612750,34,35,2023-01-19T03:55:09Z,2330000,False,-6.0,66.0,1,left,MISS K. Anderson 6' fadeaway Shot,[203937],1610612750.0,MIN,fadeaway,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,6.59,Missed,,,,,,,,,,,,,,,,,,
236,PT08M08.00S,2023-01-19T03:55:06.9Z,2,REGULAR,rebound,defensive,[],1631128,,,1610612743,34,35,2023-01-19T03:55:09Z,2340000,False,,,0,,C. Braun REBOUND (Off:1 Def:2),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,,,,,235.0,3.0,2.0,1.0,,,,,,,,,,,,
237,PT08M03.00S,2023-01-19T03:55:11.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631128,91.67214191852825,40.68627450980392,1610612743,34,35,2023-01-19T03:55:21Z,2350000,False,-47.0,26.0,1,right,MISS C. Braun running Layup,[1631128],1610612743.0,DEN,running,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,5.33,Missed,,,,,,,,,,,,,,,,,,
238,PT07M59.00S,2023-01-19T03:55:15.2Z,2,REGULAR,rebound,defensive,[],1630183,,,1610612750,34,35,2023-01-19T03:55:21Z,2360000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,237.0,2.0,2.0,0.0,,,,,,,,,,,,
239,PT07M56.00S,2023-01-19T03:55:17.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630162,8.623521681997373,44.36274509803921,1610612750,34,35,2023-01-19T03:55:41Z,2370000,False,28.0,29.0,1,left,MISS A. Edwards running Layup,[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,4.02,Missed,,,,,,,,,,,,,,,,,,
240,PT07M53.00S,2023-01-19T03:55:20.1Z,2,REGULAR,rebound,offensive,[],1630183,,,1610612750,34,35,2023-01-19T03:55:20Z,2380000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,239.0,3.0,2.0,1.0,,,,,,,,,,,,
241,PT07M52.00S,2023-01-19T03:55:21.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630183,6.915243101182654,56.86274509803921,1610612750,34,37,2023-01-19T03:55:30Z,2390000,False,-34.0,13.0,1,left,J. McDaniels putback Layup (7 PTS),[1630183],1610612750.0,MIN,putback,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,3.65,Made,,,,,,,,7.0,,,,,,,,,,
242,PT07M52.00S,2023-01-19T03:55:28.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,34,37,2023-01-19T03:55:28Z,2400000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT07M52.00S,2023-01-19T03:57:42.5Z,2,REGULAR,substitution,out,[],1630192,,,1610612743,34,37,2023-01-19T03:58:29Z,2410000,False,,,0,,SUB out: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT07M52.00S,2023-01-19T03:57:42.5Z,2,REGULAR,substitution,out,[],1627750,,,1610612743,34,37,2023-01-19T03:58:29Z,2420000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT07M52.00S,2023-01-19T03:57:42.5Z,2,REGULAR,substitution,in,[],203999,,,1610612743,34,37,2023-01-19T03:58:29Z,2430000,False,,,0,,SUB in: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT07M52.00S,2023-01-19T03:57:42.5Z,2,REGULAR,substitution,in,[],203484,,,1610612743,34,37,2023-01-19T03:58:29Z,2440000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT07M38.00S,2023-01-19T03:59:01.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203932,92.19776609724047,56.127450980392155,1610612743,36,37,2023-01-19T03:59:05Z,2450000,False,31.0,21.0,1,right,A. Gordon driving Layup (2 PTS),[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.7,Made,,,,,,,,2.0,,,,,,,,,,
248,PT07M23.00S,2023-01-19T03:59:16.5Z,2,REGULAR,3pt,Jump Shot,[],1629675,33.196452036793694,39.46078431372549,1610612750,36,37,2023-01-19T03:59:22Z,2460000,False,53.0,260.0,1,left,MISS N. Reid 26' 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,26.48,Missed,,,,,,,,,,,,,,,,,,
249,PT07M20.00S,2023-01-19T03:59:19.5Z,2,REGULAR,rebound,offensive,[],1629675,,,1610612750,36,37,2023-01-19T03:59:22Z,2470000,False,,,0,,N. Reid REBOUND (Off:1 Def:0),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,,,,,248.0,1.0,0.0,1.0,,,,,,,,,,,,
250,PT07M17.00S,2023-01-19T03:59:22.6Z,2,REGULAR,turnover,bad pass,[],1629675,,,1610612750,36,37,2023-01-19T03:59:25Z,2480000,False,,,0,,N. Reid bad pass TURNOVER (1 TO),"[1629675, 1631128]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,Braun,1631128.0,,,,,,,
251,PT07M17.00S,2023-01-19T03:59:22.6Z,2,REGULAR,steal,,[],1631128,,,1610612743,36,37,2023-01-19T03:59:23Z,2490000,False,,,0,,C. Braun STEAL (2 STL),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
276,PT07M11.00S,2023-01-19T03:59:28.1Z,2,REGULAR,turnover,lost ball,[],1628971,,,1610612743,36,37,2023-01-19T04:02:49Z,2499687,False,,,0,,B. Brown lost ball TURNOVER (1 TO),"[1628971, 203937]",1610612743.0,DEN,,,,Brown,B. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Anderson,203937.0,,,,,,,
277,PT07M11.00S,2023-01-19T03:59:28.1Z,2,REGULAR,steal,,[],203937,,,1610612750,36,37,2023-01-19T04:01:50Z,2499843,False,,,0,,K. Anderson STEAL (3 STL),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
282,PT07M10.00S,2023-01-19T03:59:30.9Z,2,REGULAR,turnover,bad pass,[],1630162,,,1610612750,36,37,2023-01-19T04:02:57Z,2499921,False,,,0,,A. Edwards bad pass TURNOVER (3 TO),"[1630162, 203484]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,,,,,,,,,,,3.0,Caldwell-Pope,203484.0,,,,,,,
283,PT07M10.00S,2023-01-19T03:59:30.9Z,2,REGULAR,steal,,[],203484,,,1610612743,36,37,2023-01-19T04:02:38Z,2499960,False,,,0,,K. Caldwell-Pope STEAL (2 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
252,PT07M06.00S,2023-01-19T03:59:33.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1631128,71.30420499342969,79.65686274509804,1610612743,36,37,2023-01-19T04:02:57Z,2500000,False,148.0,217.0,1,right,MISS C. Braun 26' 3PT,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Right Center,26.3,Missed,,,,,,,,,,,,,,,,,,
253,PT07M03.00S,2023-01-19T03:59:36.8Z,2,REGULAR,rebound,defensive,[],203937,,,1610612750,36,37,2023-01-19T03:59:36Z,2510000,False,,,0,,K. Anderson REBOUND (Off:0 Def:2),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Right Center,,,,,252.0,2.0,2.0,0.0,,,,,,,,,,,,
254,PT06M57.00S,2023-01-19T03:59:43.1Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630183,7.703679369250986,46.32352941176471,1610612750,36,39,2023-01-19T03:59:51Z,2520000,False,18.0,20.0,1,left,J. McDaniels running Layup (9 PTS) (K. Anderson 2 AST),"[1630183, 203937]",1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,2.71,Made,,,,,,,,9.0,,,,K. Anderson,203937.0,2.0,,,,
255,PT06M34.00S,2023-01-19T04:00:05.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,87.86136662286465,60.29411764705882,1610612743,38,39,2023-01-19T04:00:08Z,2530000,False,51.0,62.0,1,right,B. Brown 8' pullup Jump Shot (8 PTS),[1628971],1610612743.0,DEN,pullup,,,Brown,B. Brown,,,,,In The Paint (Non-RA),8-16 Right,8.03,Made,,,,,,,,8.0,,,,,,,,,,
258,PT06M12.00S,2023-01-19T04:00:27.3Z,2,REGULAR,3pt,Jump Shot,[],1626156,31.61957950065703,35.049019607843135,1610612750,38,39,2023-01-19T04:00:43Z,2550000,False,75.0,245.0,1,left,MISS D. Russell 25' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,25.59,Missed,,,,,,,,,,,,,,,,,,
259,PT06M09.00S,2023-01-19T04:00:30.3Z,2,REGULAR,rebound,defensive,[],1628971,,,1610612743,38,39,2023-01-19T04:00:43Z,2560000,False,,,0,,B. Brown REBOUND (Off:0 Def:2),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Center,,,,,258.0,2.0,2.0,0.0,,,,,,,,,,,,
260,PT05M59.00S,2023-01-19T04:00:40.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,87.86136662286465,42.64705882352941,1610612743,38,39,2023-01-19T04:00:45Z,2570000,False,-37.0,62.0,1,right,MISS N. Jokic 7' driving floating Shot,[203999],1610612743.0,DEN,driving floating,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,7.18,Missed,,,,,,,,,,,,,,,,,,
