actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
624,PT00M58.60S,2021-11-29T04:45:26.9Z,4,REGULAR,timeout,full,['team'],0,,,1610612765,108,102,2021-11-29T04:45:26Z,6200000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,PT00M49.20S,2021-11-29T04:47:25.0Z,4,REGULAR,3pt,Jump Shot,[],203924,97.3718791064389,4.8789828431372655,1610612765,108,102,2021-11-29T04:47:30Z,6210000,-226.0,-28.0,1,right,MISS J. Grant 3PT,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,22.73,Missed,,,,,,,,,,,,,,,,
626,PT00M47.00S,2021-11-29T04:47:27.2Z,4,REGULAR,rebound,offensive,[],1630180,,,1610612765,108,102,2021-11-29T04:47:27Z,6220000,,,0,,S. Bey REBOUND (Off:4 Def:6),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,625.0,10.0,6.0,4.0,,,,,,,,,,,,
627,PT00M37.50S,2021-11-29T04:47:36.6Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1628402,65.75229960578187,60.294117647058826,1610612765,108,102,2021-11-29T04:47:41Z,6230000,51.0,269.0,1,right,MISS F. Jackson 27' 3PT - blocked,"[1628402, 1628370]",1610612765.0,DET,,,,Jackson,F. Jackson,,,,,,,27.43,Missed,,,,,,,,,,,,,,,Monk,1628370.0
628,PT00M37.50S,2021-11-29T04:47:36.6Z,4,REGULAR,block,,[],1628370,,,1610612765,108,102,2021-11-29T04:47:38Z,6240000,,,0,,M. Monk BLOCK (1 BLK),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,
629,PT00M34.60S,2021-11-29T04:47:39.5Z,4,REGULAR,rebound,defensive,[],203076,,,1610612747,108,102,2021-11-29T04:47:41Z,6250000,,,0,,A. Davis REBOUND (Off:0 Def:10),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,627.0,10.0,10.0,0.0,,,,,,,,,,,,
630,PT00M22.80S,2021-11-29T04:47:51.3Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,9.904730617608408,54.411764705882355,1610612747,108,102,2021-11-29T04:47:56Z,6260000,-22.0,41.0,1,left,MISS M. Monk Layup - blocked,"[1628370, 203924]",1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,4.62,Missed,,,,,,,,,,,,,,,Grant,203924.0
631,PT00M22.80S,2021-11-29T04:47:51.3Z,4,REGULAR,block,,[],203924,,,1610612747,108,102,2021-11-29T04:47:53Z,6270000,,,0,,J. Grant BLOCK (1 BLK),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,
632,PT00M20.20S,2021-11-29T04:47:53.9Z,4,REGULAR,rebound,defensive,[],1630595,,,1610612765,108,102,2021-11-29T04:47:53Z,6280000,,,0,,C. Cunningham REBOUND (Off:1 Def:9),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,630.0,10.0,9.0,1.0,,,,,,,,,,,,
633,PT00M16.70S,2021-11-29T04:47:57.9Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628370,,,1610612765,108,102,2021-11-29T04:48:06Z,6290000,,,0,,M. Monk shooting personal FOUL (2 PF) (Grant 2 FT),"[1628370, 203924]",1610612747.0,LAL,shooting,,,Monk,M. Monk,,,,,2534.0,,,,,,,,2.0,0.0,Grant,203924.0,,,,,,,,
635,PT00M16.70S,2021-11-29T04:48:25.3Z,4,REGULAR,timeout,full,['team'],0,,,1610612765,108,102,2021-11-29T04:50:15Z,6310000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,PT00M16.70S,2021-11-29T04:48:28.0Z,4,REGULAR,instantreplay,challenge,[],0,,,1610612765,108,102,2021-11-29T04:49:50Z,6320000,,,0,,,[],1610612747.0,LAL,stands,,,,,,,,,2534.0,,,,,,,,,,,,,,,,,,,
637,PT00M16.70S,2021-11-29T04:50:29.8Z,4,REGULAR,freethrow,1 of 2,[],203924,,,1610612765,108,103,2021-11-29T04:50:29Z,6330000,,,0,,J. Grant Free Throw 1 of 2 (29 PTS),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,Made,,,,,,,,,29.0,,,,,,,
638,PT00M16.70S,2021-11-29T04:50:45.5Z,4,REGULAR,freethrow,2 of 2,[],203924,,,1610612765,108,104,2021-11-29T04:50:45Z,6340000,,,0,,J. Grant Free Throw 2 of 2 (30 PTS),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,Made,,,,,,,,,30.0,,,,,,,
639,PT00M11.80S,2021-11-29T04:50:54.2Z,4,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,108,104,2021-11-29T04:50:54Z,6350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,PT00M11.80S,2021-11-29T04:51:31.5Z,4,REGULAR,timeout,full,['team'],0,,,1610612747,108,104,2021-11-29T04:51:31Z,6360000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,PT00M08.80S,2021-11-29T04:53:01.7Z,4,REGULAR,foul,personal,[],1630165,,,1610612747,108,104,2021-11-29T04:53:47Z,6370000,,,0,,K. Hayes take personal FOUL (3 PF),"[1630165, 1628370]",1610612765.0,DET,take,,,Hayes,K. Hayes,,,,,1627534.0,,,,,,,,3.0,0.0,Monk,1628370.0,,,,,,,,
643,PT00M07.90S,2021-11-29T04:53:16.8Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630180,,,1610612747,108,104,2021-11-29T04:53:39Z,6390000,,,0,,S. Bey take personal FOUL (3 PF) (James 2 FT),"[1630180, 2544]",1610612765.0,DET,take,,,Bey,S. Bey,,,,,1627534.0,,,,,,,,3.0,0.0,James,2544.0,,,,,,,,
645,PT00M07.90S,2021-11-29T04:53:43.8Z,4,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,109,104,2021-11-29T04:54:26Z,6410000,,,0,,L. James Free Throw 1 of 2 (33 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,,,,,,,,,33.0,,,,,,,
646,PT00M07.90S,2021-11-29T04:53:43.8Z,4,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,109,104,2021-11-29T04:54:26Z,6420000,,,0,,MISS L. James Free Throw 2 of 2,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Missed,,,,,,,,,,,,,,,,
647,PT00M07.50S,2021-11-29T04:53:44.2Z,4,REGULAR,rebound,defensive,[],1630595,,,1610612765,109,104,2021-11-29T04:55:09Z,6430000,,,0,,C. Cunningham REBOUND (Off:1 Def:10),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,646.0,11.0,10.0,1.0,,,,,,,,,,,,
