actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
181,PT10M20.00S,2021-10-30T03:10:18.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],2546,93.74178712220763,53.92156862745098,1610612747,27,35,2021-10-30T03:10:22Z,1810000,20.0,6.0,1,right,C. Anthony driving Layup (2 PTS),[2546],1610612747.0,LAL,driving,,,Anthony,C. Anthony,,,,,,,2.06,Made,2.0,,,,,,,,,,,,,,,,
182,PT10M07.00S,2021-10-30T03:10:32.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,6.225361366622863,54.411764705882355,1610612739,27,37,2021-10-30T03:10:36Z,1820000,-22.0,6.0,1,left,D. Garland driving Layup (4 PTS),[1629636],1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,,,2.29,Made,4.0,,,,,,,,,,,,,,,,
183,PT10M06.00S,2021-10-30T03:10:39.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,27,37,2021-10-30T03:10:39Z,1830000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT10M06.00S,2021-10-30T03:13:09.6Z,2,REGULAR,substitution,out,[],201566,,,1610612747,27,37,2021-10-30T03:13:23Z,1840000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT10M06.00S,2021-10-30T03:13:09.6Z,2,REGULAR,substitution,in,[],202340,,,1610612747,27,37,2021-10-30T03:13:23Z,1850000,,,0,,SUB in: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT09M48.00S,2021-10-30T03:13:44.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],2730,93.2161629434954,48.774509803921575,1610612747,29,37,2021-10-30T03:13:50Z,1860000,-6.0,11.0,1,right,D. Howard DUNK (2 PTS) (L. James 2 AST),"[2730, 2544]",1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,1.28,Made,2.0,L. James,2544.0,2.0,,,,,,,,,,,,,
188,PT09M34.00S,2021-10-30T03:13:58.3Z,2,REGULAR,3pt,Jump Shot,[],1628374,34.21484888304862,46.81372549019608,1610612739,29,40,2021-10-30T03:14:03Z,1880000,16.0,269.0,1,left,L. Markkanen 26' 3PT  (11 PTS) (E. Mobley 2 AST),"[1628374, 1630596]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,26.96,Made,11.0,E. Mobley,1630596.0,2.0,,,,,,,,,,,,,
190,PT09M17.00S,2021-10-30T03:14:16.5Z,2,REGULAR,2pt,Jump Shot,[],2546,93.74178712220763,76.47058823529412,1610612747,31,40,2021-10-30T03:14:20Z,1900000,132.0,6.0,1,right,C. Anthony 13' turnaround fadeaway Jump Shot (4 PTS),[2546],1610612747.0,LAL,turnaround fadeaway,,,Anthony,C. Anthony,,,,,,,13.25,Made,4.0,,,,,,,,,,,,,,,,
191,PT09M02.00S,2021-10-30T03:14:30.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,7.933639947437584,49.26470588235294,1610612739,31,42,2021-10-30T03:15:45Z,1910000,4.0,22.0,1,left,L. Markkanen cutting finger roll Layup (13 PTS) (D. Garland 6 AST),"[1628374, 1629636]",1610612739.0,CLE,cutting finger roll,,,Markkanen,L. Markkanen,,,,,,,2.24,Made,13.0,D. Garland,1629636.0,6.0,,,,,,,,,,,,,
193,PT08M45.00S,2021-10-30T03:14:47.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],2546,93.34756898817345,47.30392156862745,1610612747,33,42,2021-10-30T03:14:53Z,1930000,-13.0,10.0,1,right,C. Anthony driving Layup (6 PTS),[2546],1610612747.0,LAL,driving,,,Anthony,C. Anthony,,,,,,,1.68,Made,6.0,,,,,,,,,,,,,,,,
194,PT08M29.00S,2021-10-30T03:15:09.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,7.013797634691201,50.0,1610612739,33,44,2021-10-30T03:15:14Z,1940000,0.0,13.0,1,left,E. Mobley alley-oop Layup (10 PTS) (D. Garland 7 AST),"[1630596, 1629636]",1610612739.0,CLE,alley-oop,,,Mobley,E. Mobley,,,,,,,1.34,Made,10.0,D. Garland,1629636.0,7.0,,,,,,,,,,,,,
196,PT08M29.00S,2021-10-30T03:15:12.7Z,2,REGULAR,foul,personal,['1freethrow'],2546,,,1610612739,33,44,2021-10-30T03:15:24Z,1960000,,,0,,C. Anthony shooting personal FOUL (2 PF) (Mobley 1 FT),"[2546, 1630596]",1610612747.0,LAL,shooting,,,Anthony,C. Anthony,,,,,2715.0,,,,,,,,,,,,,,,,2.0,0.0,Mobley,1630596.0,
198,PT08M29.00S,2021-10-30T03:15:19.0Z,2,REGULAR,substitution,out,[],201937,,,1610612739,33,44,2021-10-30T03:15:22Z,1980000,,,0,,SUB out: R. Rubio,[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT08M29.00S,2021-10-30T03:15:19.0Z,2,REGULAR,substitution,in,[],1629012,,,1610612739,33,44,2021-10-30T03:15:22Z,1990000,,,0,,SUB in: C. Sexton,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT08M29.00S,2021-10-30T03:15:41.5Z,2,REGULAR,freethrow,1 of 1,[],1630596,,,1610612739,33,44,2021-10-30T03:15:43Z,2000000,,,0,,MISS E. Mobley Free Throw 1 of 1,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,Missed,,,,,,,,,,,,,,,,,
201,PT08M27.00S,2021-10-30T03:15:43.5Z,2,REGULAR,rebound,defensive,[],2730,,,1610612747,33,44,2021-10-30T03:15:43Z,2010000,,,0,,D. Howard REBOUND (Off:0 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,200.0,1.0,1.0,0.0,,,,,,,,,
202,PT08M20.00S,2021-10-30T03:15:54.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,94.26741130091985,41.666666666666664,1610612747,35,44,2021-10-30T03:16:00Z,2020000,-42.0,1.0,1,right,A. Reaves driving floating Jump Shot (2 PTS),[1630559],1610612747.0,LAL,driving floating,,,Reaves,A. Reaves,,,,,,,4.17,Made,2.0,,,,,,,,,,,,,,,,
203,PT08M20.00S,2021-10-30T03:15:59.0Z,2,REGULAR,foul,personal,['1freethrow'],1630205,,,1610612747,35,44,2021-10-30T03:16:29Z,2030000,,,0,,L. Stevens shooting personal FOUL (2 PF) (Reaves 1 FT),"[1630205, 1630559]",1610612739.0,CLE,shooting,,,Stevens,L. Stevens,,,,,1628951.0,,,,,,,,,,,,,,,,2.0,0.0,Reaves,1630559.0,
205,PT08M20.00S,2021-10-30T03:16:10.5Z,2,REGULAR,substitution,out,[],1630205,,,1610612747,35,44,2021-10-30T03:16:14Z,2050000,,,0,,SUB out: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M20.00S,2021-10-30T03:16:10.5Z,2,REGULAR,substitution,in,[],1628386,,,1610612747,35,44,2021-10-30T03:16:14Z,2060000,,,0,,SUB in: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT08M20.00S,2021-10-30T03:16:30.0Z,2,REGULAR,freethrow,1 of 1,[],1630559,,,1610612747,36,44,2021-10-30T03:16:30Z,2070000,,,0,,A. Reaves Free Throw 1 of 1 (3 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,
208,PT08M12.00S,2021-10-30T03:16:37.7Z,2,REGULAR,turnover,lost ball,[],1629636,,,1610612739,36,44,2021-10-30T03:19:34Z,2080000,,,0,,D. Garland lost ball TURNOVER (3 TO),"[1629636, 2544]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,3.0,,,,,,,,,,,James,2544.0,,,,,,,
209,PT08M12.00S,2021-10-30T03:16:37.7Z,2,REGULAR,steal,,[],2544,,,1610612747,36,44,2021-10-30T03:16:39Z,2090000,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT08M10.00S,2021-10-30T03:16:43.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",2544,93.34756898817345,45.833333333333336,1610612747,38,44,2021-10-30T03:16:52Z,2100000,-21.0,10.0,1,right,L. James running Layup (8 PTS),[2544],1610612747.0,LAL,running,,,James,L. James,,,,,,,2.31,Made,8.0,,,,,,,,,,,,,,,,
211,PT08M10.00S,2021-10-30T03:16:52.5Z,2,REGULAR,foul,personal,['1freethrow'],1628374,,,1610612747,38,44,2021-10-30T03:16:58Z,2110000,,,0,,L. Markkanen shooting personal FOUL (2 PF) (James 1 FT),"[1628374, 2544]",1610612739.0,CLE,shooting,,,Markkanen,L. Markkanen,,,,,2715.0,,,,,,,,,,,,,,,,2.0,0.0,James,2544.0,
213,PT08M10.00S,2021-10-30T03:17:11.3Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],2544,,,1610612747,39,44,2021-10-30T03:17:11Z,2130000,,,0,,L. James Free Throw 1 of 1 (9 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,
214,PT07M53.00S,2021-10-30T03:17:36.7Z,2,REGULAR,foul,personal,[],202340,,,1610612739,39,44,2021-10-30T03:18:05Z,2140000,,,0,,A. Bradley personal FOUL (1 PF),"[202340, 1629012]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,1628951.0,,,,,,,,,,,,,,,,1.0,0.0,Sexton,1629012.0,
216,PT07M44.00S,2021-10-30T03:18:13.7Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,6.356767411300922,50.73529411764706,1610612739,39,46,2021-10-30T03:18:17Z,2160000,-4.0,7.0,1,left,E. Mobley cutting DUNK (12 PTS) (D. Garland 8 AST),"[1630596, 1629636]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,,,0.82,Made,12.0,D. Garland,1629636.0,8.0,,,,,,,,,,,,,
218,PT07M34.00S,2021-10-30T03:18:25.1Z,2,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,39,46,2021-10-30T03:18:30Z,2180000,,,0,,L. James bad pass out-of-bounds TURNOVER (2 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,1628951.0,2.0,,,,,,,,,,,,,,,,,,,
219,PT07M34.00S,2021-10-30T03:18:28.7Z,2,REGULAR,substitution,out,[],2546,,,1610612739,39,46,2021-10-30T03:18:41Z,2190000,,,0,,SUB out: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT07M34.00S,2021-10-30T03:18:28.7Z,2,REGULAR,substitution,in,[],203145,,,1610612739,39,46,2021-10-30T03:18:41Z,2200000,,,0,,SUB in: K. Bazemore,[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT07M12.00S,2021-10-30T03:19:00.0Z,2,REGULAR,turnover,bad pass,[],1629636,,,1610612739,39,46,2021-10-30T03:19:06Z,2210000,,,0,,D. Garland bad pass TURNOVER (4 TO),"[1629636, 2544]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,4.0,,,,,,,,,,,James,2544.0,,,,,,,
222,PT07M12.00S,2021-10-30T03:19:00.0Z,2,REGULAR,steal,,[],2544,,,1610612747,39,46,2021-10-30T03:19:01Z,2220000,,,0,,L. James STEAL (2 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M01.00S,2021-10-30T03:19:14.6Z,2,REGULAR,foul,personal,[],1629012,,,1610612747,39,46,2021-10-30T03:19:24Z,2230000,,,0,,C. Sexton personal FOUL (1 PF),"[1629012, 203145]",1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,1628951.0,,,,,,,,,,,,,,,,1.0,0.0,Bazemore,203145.0,
225,PT07M01.00S,2021-10-30T03:19:47.0Z,2,REGULAR,substitution,out,[],1630596,,,1610612747,39,46,2021-10-30T03:19:58Z,2250000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M01.00S,2021-10-30T03:19:47.0Z,2,REGULAR,substitution,out,[],1628374,,,1610612747,39,46,2021-10-30T03:19:58Z,2260000,,,0,,SUB out: L. Markkanen,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M01.00S,2021-10-30T03:19:47.0Z,2,REGULAR,substitution,in,[],201567,,,1610612747,39,46,2021-10-30T03:19:58Z,2270000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT07M01.00S,2021-10-30T03:19:47.0Z,2,REGULAR,substitution,in,[],1630205,,,1610612747,39,46,2021-10-30T03:19:58Z,2280000,,,0,,SUB in: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT07M00.00S,2021-10-30T03:19:59.8Z,2,REGULAR,turnover,out-of-bounds,[],1630559,,,1610612747,39,46,2021-10-30T03:20:12Z,2290000,,,0,,A. Reaves step out-of-bounds TURNOVER (1 TO),[1630559],1610612747.0,LAL,step,,,Reaves,A. Reaves,,,,,,1.0,,,,,,,,,,,,,,,,,,,
230,PT06M42.00S,2021-10-30T03:20:12.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629636,34.8718791064389,57.1078431372549,1610612739,39,46,2021-10-30T03:20:17Z,2300000,-36.0,275.0,1,left,MISS D. Garland 27' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,27.76,Missed,,,,,,,,,,,,,,,,,
231,PT06M37.00S,2021-10-30T03:20:17.0Z,2,REGULAR,rebound,defensive,[],202340,,,1610612747,39,46,2021-10-30T03:20:17Z,2310000,,,0,,A. Bradley REBOUND (Off:0 Def:1),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,230.0,1.0,1.0,0.0,,,,,,,,,
234,PT06M33.00S,2021-10-30T03:20:36.7Z,2,REGULAR,foul,personal,[],201567,,,1610612747,39,46,2021-10-30T03:23:14Z,2340000,,,0,,K. Love personal FOUL (1 PF),"[201567, 2730]",1610612739.0,CLE,,,,Love,K. Love,,,,,2715.0,,,,,,,,,,,,,,,,1.0,0.0,Howard,2730.0,
237,PT06M33.00S,2021-10-30T03:20:49.6Z,2,REGULAR,foul,technical,['1freethrow'],201567,,,1610612747,39,46,2021-10-30T03:21:06Z,2370000,,,0,,K. Love technical FOUL (1 Tech),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,2715.0,,,,,,,,,,,,,,,,1.0,1.0,,,
238,PT06M33.00S,2021-10-30T03:21:09.6Z,2,REGULAR,instantreplay,request,[],0,,,1610612747,39,46,2021-10-30T03:25:11Z,2380000,,,0,,,[],,,overturned,,,,,,,,,2715.0,,,,,,,,,,,,,,,,,,,,Off-Ball - Foul Occurred Before FGM
239,PT06M33.00S,2021-10-30T03:22:19.4Z,2,REGULAR,freethrow,1 of 1,[],1630559,,,1610612747,40,46,2021-10-30T03:22:19Z,2390000,,,0,,A. Reaves technical Free Throw 1 of 1 (4 PTS),[1630559],1610612747.0,LAL,technical,,,Reaves,A. Reaves,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,
240,PT06M33.00S,2021-10-30T03:22:24.6Z,2,REGULAR,substitution,out,[],1630559,,,1610612747,40,46,2021-10-30T03:22:27Z,2400000,,,0,,SUB out: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT06M33.00S,2021-10-30T03:22:24.6Z,2,REGULAR,substitution,in,[],203076,,,1610612747,40,46,2021-10-30T03:22:27Z,2410000,,,0,,SUB in: A. Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT06M33.00S,2021-10-30T03:22:24.6Z,2,REGULAR,substitution,out,[],1629636,,,1610612747,40,46,2021-10-30T03:23:49Z,2415000,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT06M33.00S,2021-10-30T03:22:24.6Z,2,REGULAR,substitution,in,[],201937,,,1610612747,40,46,2021-10-30T03:23:49Z,2417500,,,0,,SUB in: R. Rubio,[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M26.00S,2021-10-30T03:22:47.0Z,2,REGULAR,2pt,Jump Shot,[],203145,76.00197109067017,46.81372549019608,1610612747,42,46,2021-10-30T03:22:50Z,2420000,-16.0,173.0,1,right,K. Bazemore 17' pullup Jump Shot (4 PTS) (D. Howard 1 AST),"[203145, 2730]",1610612747.0,LAL,pullup,,,Bazemore,K. Bazemore,,,,,,,17.38,Made,4.0,D. Howard,2730.0,1.0,,,,,,,,,,,,,
244,PT06M18.00S,2021-10-30T03:22:57.5Z,2,REGULAR,foul,personal,['2freethrow'],2730,,,1610612739,42,46,2021-10-30T03:23:03Z,2440000,,,0,,D. Howard shooting personal FOUL (1 PF) (Sexton 2 FT),"[2730, 1629012]",1610612747.0,LAL,shooting,,,Howard,D. Howard,,,,,1627541.0,,,,,,,,,,,,,,,,1.0,0.0,Sexton,1629012.0,
246,PT06M18.00S,2021-10-30T03:23:23.8Z,2,REGULAR,freethrow,1 of 2,[],1629012,,,1610612739,42,47,2021-10-30T03:23:23Z,2460000,,,0,,C. Sexton Free Throw 1 of 2 (8 PTS),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,
251,PT06M18.00S,2021-10-30T03:23:51.6Z,2,REGULAR,freethrow,2 of 2,[],1629012,,,1610612739,42,48,2021-10-30T03:23:51Z,2490000,,,0,,C. Sexton Free Throw 2 of 2 (9 PTS),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,
252,PT06M01.00S,2021-10-30T03:24:09.7Z,2,REGULAR,2pt,Jump Shot,[],203145,72.7168199737188,44.11764705882353,1610612747,42,48,2021-10-30T03:24:15Z,2500000,-29.0,204.0,1,right,MISS K. Bazemore 20' Jump Shot,[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,20.61,Missed,,,,,,,,,,,,,,,,,
253,PT05M57.00S,2021-10-30T03:24:13.7Z,2,REGULAR,rebound,defensive,[],201937,,,1610612739,42,48,2021-10-30T03:24:15Z,2510000,,,0,,R. Rubio REBOUND (Off:0 Def:2),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,252.0,2.0,2.0,0.0,,,,,,,,,
254,PT05M49.00S,2021-10-30T03:24:21.3Z,2,REGULAR,turnover,bad pass,[],201937,,,1610612739,42,48,2021-10-30T03:24:25Z,2520000,,,0,,R. Rubio bad pass TURNOVER (1 TO),"[201937, 2544]",1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,1.0,,,,,,,,,,,James,2544.0,,,,,,,
255,PT05M49.00S,2021-10-30T03:24:21.3Z,2,REGULAR,steal,,[],2544,,,1610612747,42,48,2021-10-30T03:24:23Z,2530000,,,0,,L. James STEAL (3 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT05M46.00S,2021-10-30T03:24:25.0Z,2,REGULAR,turnover,bad pass,[],2544,,,1610612747,42,48,2021-10-30T03:24:28Z,2540000,,,0,,L. James bad pass TURNOVER (3 TO),"[2544, 1629012]",1610612747.0,LAL,,,,James,L. James,,,,,,3.0,,,,,,,,,,,Sexton,1629012.0,,,,,,,
257,PT05M46.00S,2021-10-30T03:24:25.0Z,2,REGULAR,steal,,[],1629012,,,1610612739,42,48,2021-10-30T03:24:26Z,2550000,,,0,,C. Sexton STEAL (2 STL),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT05M42.00S,2021-10-30T03:24:28.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629012,5.699737187910642,54.90196078431372,1610612739,42,48,2021-10-30T03:24:34Z,2560000,-25.0,1.0,1,left,MISS C. Sexton running Layup - blocked,"[1629012, 2544]",1610612739.0,CLE,running,,,Sexton,C. Sexton,,,,,,,2.45,Missed,,,,,,,,,,,James,2544.0,,,,,
259,PT05M42.00S,2021-10-30T03:24:28.7Z,2,REGULAR,block,,[],2544,,,1610612739,42,48,2021-10-30T03:24:31Z,2570000,,,0,,L. James BLOCK (1 BLK),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT05M38.00S,2021-10-30T03:24:32.7Z,2,REGULAR,rebound,defensive,[],202340,,,1610612747,42,48,2021-10-30T03:24:34Z,2580000,,,0,,A. Bradley REBOUND (Off:0 Def:2),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,258.0,2.0,2.0,0.0,,,,,,,,,
261,PT05M35.00S,2021-10-30T03:24:36.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203076,92.95335085413929,52.94117647058824,1610612747,42,48,2021-10-30T03:24:41Z,2590000,15.0,14.0,1,right,MISS A. Davis cutting Layup,[203076],1610612747.0,LAL,cutting,,,Davis,A. Davis,,,,,,,2.01,Missed,,,,,,,,,,,,,,,,,
262,PT05M32.00S,2021-10-30T03:24:39.1Z,2,REGULAR,rebound,defensive,[],1628386,,,1610612739,42,48,2021-10-30T03:24:41Z,2600000,,,0,,J. Allen REBOUND (Off:3 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,261.0,5.0,2.0,3.0,,,,,,,,,
263,PT05M30.00S,2021-10-30T03:24:44.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,42,48,2021-10-30T03:24:44Z,2610000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT05M30.00S,2021-10-30T03:27:17.6Z,2,REGULAR,substitution,out,[],2544,,,1610612739,42,48,2021-10-30T03:27:30Z,2620000,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT05M30.00S,2021-10-30T03:27:17.6Z,2,REGULAR,substitution,in,[],201566,,,1610612739,42,48,2021-10-30T03:27:30Z,2630000,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT05M18.00S,2021-10-30T03:27:49.0Z,2,REGULAR,turnover,lost ball,[],201937,,,1610612739,42,48,2021-10-30T03:27:55Z,2640000,,,0,,R. Rubio lost ball TURNOVER (2 TO),"[201937, 203145]",1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,2.0,,,,,,,,,,,Bazemore,203145.0,,,,,,,
267,PT05M18.00S,2021-10-30T03:27:49.0Z,2,REGULAR,steal,,[],203145,,,1610612747,42,48,2021-10-30T03:27:51Z,2650000,,,0,,K. Bazemore STEAL (2 STL),[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT05M14.00S,2021-10-30T03:27:57.9Z,2,REGULAR,turnover,out-of-bounds,[],2730,,,1610612747,42,48,2021-10-30T03:28:03Z,2660000,,,0,,D. Howard bad pass out-of-bounds TURNOVER (1 TO),[2730],1610612747.0,LAL,bad pass,,,Howard,D. Howard,,,,,1627541.0,1.0,,,,,,,,,,,,,,,,,,,
269,PT05M01.00S,2021-10-30T03:28:20.6Z,2,REGULAR,turnover,out-of-bounds,[],1629012,,,1610612739,42,48,2021-10-30T03:28:27Z,2670000,,,0,,C. Sexton lost ball out-of-bounds TURNOVER (2 TO),[1629012],1610612739.0,CLE,lost ball,,,Sexton,C. Sexton,,,,,1628951.0,2.0,,,,,,,,,,,,,,,,,,,
270,PT04M37.00S,2021-10-30T03:28:52.9Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],203076,80.6011826544021,72.30392156862744,1610612747,42,48,2021-10-30T03:28:58Z,2680000,112.0,130.0,1,right,MISS A. Davis 17' fadeaway Shot,[203076],1610612747.0,LAL,fadeaway,,,Davis,A. Davis,,,,,,,17.11,Missed,,,,,,,,,,,,,,,,,
271,PT04M34.00S,2021-10-30T03:28:55.9Z,2,REGULAR,rebound,offensive,[],2730,,,1610612747,42,48,2021-10-30T03:28:58Z,2690000,,,0,,D. Howard REBOUND (Off:1 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,270.0,2.0,1.0,1.0,,,,,,,,,
272,PT04M24.00S,2021-10-30T03:29:05.5Z,2,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",203145,77.973061760841,32.84313725490196,1610612747,42,48,2021-10-30T03:29:11Z,2700000,-86.0,155.0,1,right,MISS K. Bazemore 17' pullup Shot,[203145],1610612747.0,LAL,pullup,,,Bazemore,K. Bazemore,,,,,,,17.68,Missed,,,,,,,,,,,,,,,,,
273,PT04M21.00S,2021-10-30T03:29:08.5Z,2,REGULAR,rebound,defensive,[],1628386,,,1610612739,42,48,2021-10-30T03:29:11Z,2710000,,,0,,J. Allen REBOUND (Off:3 Def:3),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,272.0,6.0,3.0,3.0,,,,,,,,,
274,PT04M06.00S,2021-10-30T03:29:23.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630205,15.292378449408673,50.0,1610612739,42,48,2021-10-30T03:31:55Z,2720000,0.0,91.0,1,left,MISS L. Stevens 9' turnaround Shot,[1630205],1610612739.0,CLE,turnaround,,,Stevens,L. Stevens,,,,,,,9.12,Missed,,,,,,,,,,,,,,,,,
275,PT04M02.00S,2021-10-30T03:29:27.3Z,2,REGULAR,rebound,defensive,[],203076,,,1610612747,42,48,2021-10-30T03:29:27Z,2730000,,,0,,A. Davis REBOUND (Off:0 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,274.0,3.0,3.0,0.0,,,,,,,,,
