actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
63,PT06M53.00S,2022-03-15T02:51:21.0Z,1,REGULAR,substitution,in,[],202340,,,1610612747,2,19,2022-03-15T02:51:49Z,630000,,,0,,SUB in: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M53.00S,2022-03-15T02:51:21.0Z,1,REGULAR,substitution,in,[],201571,,,1610612747,2,19,2022-03-15T02:51:49Z,640000,,,0,,SUB in: D. Augustin,[201571],1610612747.0,LAL,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M53.00S,2022-03-15T02:51:21.0Z,1,REGULAR,substitution,in,[],1629117,,,1610612747,2,19,2022-03-15T02:51:49Z,650000,,,0,,SUB in: W. Gabriel,[1629117],1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M43.00S,2022-03-15T02:52:00.8Z,1,REGULAR,3pt,Jump Shot,[],1629117,90.71944809461235,4.901960784313729,1610612747,2,19,2022-03-15T02:52:05Z,660000,-225.0,35.0,1,right,MISS W. Gabriel 3PT,[1629117],1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,22.82,Missed,,,,,,,,,,,,,,,,,,,
67,PT06M40.00S,2022-03-15T02:52:03.8Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,2,19,2022-03-15T02:52:05Z,670000,,,0,,P. Achiuwa REBOUND (Off:1 Def:4),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,66.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
68,PT06M27.00S,2022-03-15T02:52:19.2Z,1,REGULAR,foul,personal,['2freethrow'],202340,,,1610612761,2,19,2022-03-15T02:52:30Z,680000,,,0,,A. Bradley shooting personal FOUL (1 PF) (Trent Jr. 2 FT),"[202340, 1629018]",1610612747.0,LAL,shooting,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,1627534.0,1.0,0.0,Trent Jr.,1629018.0,,,
70,PT06M27.00S,2022-03-15T02:52:41.4Z,1,REGULAR,freethrow,1 of 2,[],1629018,,,1610612761,2,20,2022-03-15T02:52:41Z,700000,,,0,,G. Trent Jr. Free Throw 1 of 2 (1 PTS),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
71,PT06M27.00S,2022-03-15T02:52:54.3Z,1,REGULAR,freethrow,2 of 2,[],1629018,,,1610612761,2,21,2022-03-15T02:52:54Z,710000,,,0,,G. Trent Jr. Free Throw 2 of 2 (2 PTS),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
72,PT06M13.00S,2022-03-15T02:53:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,92.42772667542707,48.774509803921575,1610612747,2,21,2022-03-15T02:53:18Z,720000,-6.0,19.0,1,right,MISS R. Westbrook cutting Layup,[201566],1610612747.0,LAL,cutting,,,Westbrook,R. Westbrook,,,,,1.97,Missed,,,,,,,,,,,,,,,,,,,
74,PT06M13.00S,2022-03-15T02:53:12.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,2,21,2022-03-15T02:53:18Z,740000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,
75,PT06M13.00S,2022-03-15T02:53:17.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,2,21,2022-03-15T02:53:18Z,750000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M13.00S,2022-03-15T02:53:18.6Z,1,REGULAR,substitution,out,[],201566,,,1610612761,2,21,2022-03-15T02:53:20Z,760000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M13.00S,2022-03-15T02:53:18.6Z,1,REGULAR,substitution,in,[],2546,,,1610612761,2,21,2022-03-15T02:53:20Z,770000,,,0,,SUB in: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M05.00S,2022-03-15T02:53:35.9Z,1,REGULAR,turnover,out-of-bounds,[],1627783,,,1610612761,2,21,2022-03-15T02:53:41Z,780000,,,0,,P. Siakam lost ball out-of-bounds TURNOVER (2 TO),[1627783],1610612761.0,TOR,lost ball,,,Siakam,P. Siakam,,,,,,,,,,,,,,,2.0,,,2002.0,,,,,,,
