actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
184,PT10M00.00S,2022-01-06T01:13:52.6Z,2,REGULAR,rebound,defensive,[],1629052,,,1610612754,43,36,2022-01-06T01:13:54Z,1830000,,,0,,O. Brissett REBOUND (Off:0 Def:3),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,183.0,,,,,,,,3.0,3.0,0.0,,,,,,,,
185,PT09M51.00S,2022-01-06T01:14:02.6Z,2,REGULAR,2pt,Jump Shot,[],202362,89.04402102496715,17.15686274509804,1610612754,43,36,2022-01-06T01:14:08Z,1840000,-164.0,50.0,1,right,MISS L. Stephenson 17' turnaround Shot,[202362],1610612754.0,IND,turnaround,,,Stephenson,L. Stephenson,,,,,17.18,Missed,,,,,,,,,,,,,,,,,,,
186,PT09M48.00S,2022-01-06T01:14:05.6Z,2,REGULAR,rebound,offensive,[],1629052,,,1610612754,43,36,2022-01-06T01:14:08Z,1850000,,,0,,O. Brissett REBOUND (Off:1 Def:3),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,185.0,,,,,,,,4.0,3.0,1.0,,,,,,,,
187,PT09M42.00S,2022-01-06T01:14:10.6Z,2,REGULAR,turnover,bad pass,[],1627734,,,1610612754,43,36,2022-01-06T01:14:13Z,1860000,,,0,,D. Sabonis bad pass TURNOVER (3 TO),"[1627734, 202681]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,3.0,Irving,202681.0,,,,,,,,,,,
188,PT09M42.00S,2022-01-06T01:14:10.6Z,2,REGULAR,steal,,[],202681,,,1610612751,43,36,2022-01-06T01:14:12Z,1870000,,,0,,K. Irving STEAL (2 STL),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT09M39.00S,2022-01-06T01:14:15.9Z,2,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612751,43,36,2022-01-06T01:14:23Z,1880000,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Irving 2 FT),"[1627734, 202681]",1610612754.0,IND,shooting,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Irving,202681.0,,,
191,PT09M39.00S,2022-01-06T01:14:52.1Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",202681,,,1610612751,43,37,2022-01-06T01:14:52Z,1900000,,,0,,K. Irving Free Throw 1 of 2 (5 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,Made,,5.0,,,,,,,,,,,,,,,,,
192,PT09M39.00S,2022-01-06T01:14:52.7Z,2,REGULAR,substitution,out,[],202362,,,1610612751,43,37,2022-01-06T01:14:59Z,1910000,,,0,,SUB out: L. Stephenson,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT09M39.00S,2022-01-06T01:14:52.7Z,2,REGULAR,substitution,out,[],201949,,,1610612751,43,37,2022-01-06T01:14:59Z,1920000,,,0,,SUB out: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT09M39.00S,2022-01-06T01:14:52.7Z,2,REGULAR,substitution,in,[],1626208,,,1610612751,43,37,2022-01-06T01:14:59Z,1930000,,,0,,SUB in: K. Sykes,[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT09M39.00S,2022-01-06T01:14:52.7Z,2,REGULAR,substitution,in,[],1630561,,,1610612751,43,37,2022-01-06T01:14:59Z,1940000,,,0,,SUB in: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT09M39.00S,2022-01-06T01:15:16.6Z,2,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",202681,,,1610612751,43,38,2022-01-06T01:15:16Z,1950000,,,0,,K. Irving Free Throw 2 of 2 (6 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,Made,,6.0,,,,,,,,,,,,,,,,,
197,PT09M18.00S,2022-01-06T01:15:40.2Z,2,REGULAR,2pt,Jump Shot,[],1627734,92.85479632063075,86.51960784313727,1610612754,43,38,2022-01-06T01:15:46Z,1960000,183.0,15.0,1,right,MISS D. Sabonis 18' Jump Shot,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,18.32,Missed,,,,,,,,,,,,,,,,,,,
198,PT09M15.00S,2022-01-06T01:15:43.2Z,2,REGULAR,rebound,defensive,[],202681,,,1610612751,43,38,2022-01-06T01:15:46Z,1970000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,197.0,,,,,,,,1.0,1.0,0.0,,,,,,,,
199,PT09M10.00S,2022-01-06T01:15:47.3Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",202681,8.360709592641262,45.34313725490196,1610612751,43,40,2022-01-06T01:16:02Z,1980000,23.0,26.0,1,left,K. Irving running pullup Jump Shot (8 PTS),[202681],1610612751.0,BKN,running pullup,,,Irving,K. Irving,,,,,3.5,Made,,8.0,,,,,,,,,,,,,,,,,
200,PT09M02.00S,2022-01-06T01:16:00.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,43,40,2022-01-06T01:16:00Z,1990000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT08M54.00S,2022-01-06T01:19:11.3Z,2,REGULAR,3pt,Jump Shot,[],1626208,83.13074901445466,95.58823529411765,1610612754,43,40,2022-01-06T01:19:15Z,2000000,228.0,106.0,1,right,MISS K. Sykes 25' 3PT,[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,25.14,Missed,,,,,,,,,,,,,,,,,,,
202,PT08M51.00S,2022-01-06T01:19:14.3Z,2,REGULAR,rebound,defensive,[],202681,,,1610612751,43,40,2022-01-06T01:19:15Z,2010000,,,0,,K. Irving REBOUND (Off:0 Def:2),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,201.0,,,,,,,,2.0,2.0,0.0,,,,,,,,
203,PT08M47.00S,2022-01-06T01:19:18.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201935,7.178055190538765,53.431372549019606,1610612751,43,40,2022-01-06T01:19:23Z,2020000,-17.0,15.0,1,left,MISS J. Harden running finger roll Layup,[201935],1610612751.0,BKN,running finger roll,,,Harden,J. Harden,,,,,2.28,Missed,,,,,,,,,,,,,,,,,,,
204,PT08M45.00S,2022-01-06T01:19:20.8Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612754,43,40,2022-01-06T01:19:23Z,2030000,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,203.0,,,,,,,,3.0,2.0,1.0,,,,,,,,
205,PT08M40.00S,2022-01-06T01:19:25.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629052,94.56307490144546,94.36274509803921,1610612754,46,40,2022-01-06T01:19:31Z,2040000,222.0,-1.0,1,right,O. Brissett 3PT running (3 PTS) (D. Sabonis 5 AST),"[1629052, 1627734]",1610612754.0,IND,running,,,Brissett,O. Brissett,,,,,22.18,Made,,3.0,D. Sabonis,1627734.0,5.0,,,,,,,,,,,,,,
207,PT08M17.00S,2022-01-06T01:19:48.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629651,10.200394218134035,40.931372549019606,1610612751,46,40,2022-01-06T01:19:55Z,2060000,45.0,43.0,1,left,MISS N. Claxton 6' driving bank Shot,[1629651],1610612751.0,BKN,driving bank,,,Claxton,N. Claxton,,,,,6.27,Missed,,,,,,,,,,,,,,,,,,,
208,PT08M14.00S,2022-01-06T01:19:51.2Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612754,46,40,2022-01-06T01:19:55Z,2070000,,,0,,D. Sabonis REBOUND (Off:1 Def:3),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,207.0,,,,,,,,4.0,3.0,1.0,,,,,,,,
209,PT08M05.00S,2022-01-06T01:19:59.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,93.38042049934296,54.65686274509803,1610612754,46,40,2022-01-06T01:20:03Z,2080000,23.0,10.0,1,right,MISS D. Sabonis Layup,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,2.52,Missed,,,,,,,,,,,,,,,,,,,
210,PT08M03.00S,2022-01-06T01:20:01.7Z,2,REGULAR,rebound,offensive,[],1629052,,,1610612754,46,40,2022-01-06T01:20:01Z,2090000,,,0,,O. Brissett REBOUND (Off:2 Def:3),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,209.0,,,,,,,,5.0,3.0,2.0,,,,,,,,
211,PT08M00.00S,2022-01-06T01:20:04.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629052,71.04139290407359,24.264705882352942,1610612754,49,40,2022-01-06T01:20:10Z,2100000,-129.0,220.0,1,right,O. Brissett 25' 3PT  (6 PTS) (J. Anderson 1 AST),"[1629052, 1626147]",1610612754.0,IND,,,,Brissett,O. Brissett,,,,,25.46,Made,,6.0,J. Anderson,1626147.0,1.0,,,,,,,,,,,,,,
213,PT07M42.00S,2022-01-06T01:20:26.5Z,2,REGULAR,foul,personal,['3freethrow'],1626147,,,1610612751,49,40,2022-01-06T01:20:32Z,2120000,,,0,,J. Anderson shooting personal FOUL (3 PF) (Harden 3 FT),"[1626147, 201935]",1610612754.0,IND,shooting,,,Anderson,J. Anderson,,,,,,,,,,,,,,,,,,203800.0,3.0,0.0,Harden,201935.0,,,
215,PT07M42.00S,2022-01-06T01:20:51.2Z,2,REGULAR,freethrow,1 of 3,[],201935,,,1610612751,49,41,2022-01-06T01:21:37Z,2140000,,,0,,J. Harden Free Throw 1 of 3 (5 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,,5.0,,,,,,,,,,,,,,,,,
216,PT07M42.00S,2022-01-06T01:20:51.2Z,2,REGULAR,freethrow,2 of 3,[],201935,,,1610612751,49,42,2022-01-06T01:21:37Z,2150000,,,0,,J. Harden Free Throw 2 of 3 (6 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,,6.0,,,,,,,,,,,,,,,,,
217,PT07M42.00S,2022-01-06T01:21:07.7Z,2,REGULAR,substitution,out,[],203200,,,1610612751,49,42,2022-01-06T01:21:11Z,2160000,,,0,,SUB out: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT07M42.00S,2022-01-06T01:21:07.7Z,2,REGULAR,substitution,in,[],1630613,,,1610612751,49,42,2022-01-06T01:21:11Z,2170000,,,0,,SUB in: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT07M42.00S,2022-01-06T01:21:15.1Z,2,REGULAR,substitution,out,[],1626147,,,1610612751,49,42,2022-01-06T01:21:18Z,2180000,,,0,,SUB out: J. Anderson,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT07M42.00S,2022-01-06T01:21:15.1Z,2,REGULAR,substitution,in,[],202362,,,1610612751,49,42,2022-01-06T01:21:18Z,2190000,,,0,,SUB in: L. Stephenson,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT07M42.00S,2022-01-06T01:20:51.2Z,2,REGULAR,freethrow,3 of 3,[],201935,,,1610612751,49,42,2022-01-06T01:21:37Z,2200000,,,0,,MISS J. Harden Free Throw 3 of 3,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Missed,,,,,,,,,,,,,,,,,,,
222,PT07M40.00S,2022-01-06T01:20:53.2Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612754,49,42,2022-01-06T01:21:37Z,2210000,,,0,,D. Sabonis REBOUND (Off:1 Def:4),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,221.0,,,,,,,,5.0,4.0,1.0,,,,,,,,
223,PT07M29.00S,2022-01-06T01:21:47.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630613,92.59198423127464,54.65686274509803,1610612754,49,42,2022-01-06T01:21:51Z,2220000,23.0,17.0,1,right,MISS D. Washington Jr. cutting Layup,[1630613],1610612754.0,IND,cutting,,,Washington Jr.,D. Washington Jr.,,,,,2.89,Missed,,,,,,,,,,,,,,,,,,,
224,PT07M25.00S,2022-01-06T01:21:51.1Z,2,REGULAR,rebound,defensive,[],201935,,,1610612751,49,42,2022-01-06T01:21:51Z,2230000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,223.0,,,,,,,,1.0,1.0,0.0,,,,,,,,
225,PT07M22.00S,2022-01-06T01:21:53.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630561,6.652431011826544,96.81372549019608,1610612751,49,42,2022-01-06T01:21:58Z,2240000,-234.0,10.0,1,left,MISS D. Duke Jr. running 3PT,[1630561],1610612751.0,BKN,running,,,Duke Jr.,D. Duke Jr.,,,,,23.43,Missed,,,,,,,,,,,,,,,,,,,
226,PT07M19.00S,2022-01-06T01:21:56.0Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612754,49,42,2022-01-06T01:21:58Z,2250000,,,0,,D. Sabonis REBOUND (Off:1 Def:5),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,225.0,,,,,,,,6.0,5.0,1.0,,,,,,,,
227,PT07M13.00S,2022-01-06T01:22:07.2Z,2,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612754,49,42,2022-01-06T01:22:14Z,2260000,,,0,,N. Claxton shooting personal FOUL (2 PF) (Sabonis 2 FT),"[1629651, 1627734]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,202058.0,2.0,0.0,Sabonis,1627734.0,,,
229,PT07M13.00S,2022-01-06T01:22:40.0Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1627734,,,1610612754,50,42,2022-01-06T01:22:40Z,2280000,,,0,,D. Sabonis Free Throw 1 of 2 (10 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,,10.0,,,,,,,,,,,,,,,,,
230,PT07M13.00S,2022-01-06T01:23:00.8Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1627734,,,1610612754,51,42,2022-01-06T01:23:00Z,2290000,,,0,,D. Sabonis Free Throw 2 of 2 (11 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,,11.0,,,,,,,,,,,,,,,,,
231,PT07M04.00S,2022-01-06T01:23:13.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,9.806176084099869,51.71568627450981,1610612751,51,44,2022-01-06T01:23:17Z,2300000,-9.0,40.0,1,left,N. Claxton Layup (4 PTS) (K. Irving 2 AST),"[1629651, 202681]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,4.06,Made,,4.0,K. Irving,202681.0,2.0,,,,,,,,,,,,,,
233,PT06M44.00S,2022-01-06T01:23:33.0Z,2,REGULAR,2pt,Hook,[],1627734,92.59198423127464,30.88235294117647,1610612754,51,44,2022-01-06T01:23:39Z,2320000,-96.0,17.0,1,right,MISS D. Sabonis 9' turnaround Hook,[1627734],1610612754.0,IND,turnaround,,,Sabonis,D. Sabonis,,,,,9.71,Missed,,,,,,,,,,,,,,,,,,,
234,PT06M41.00S,2022-01-06T01:23:36.0Z,2,REGULAR,rebound,defensive,[],1629651,,,1610612751,51,44,2022-01-06T01:23:39Z,2330000,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,233.0,,,,,,,,2.0,2.0,0.0,,,,,,,,
235,PT06M34.00S,2022-01-06T01:23:46.1Z,2,REGULAR,turnover,out-of-bounds,[],1630561,,,1610612751,51,44,2022-01-06T01:24:06Z,2340000,,,0,,D. Duke Jr. step out-of-bounds TURNOVER (1 TO),[1630561],1610612751.0,BKN,step,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,1.0,,,,,,203800.0,,,,,,,
236,PT06M34.00S,2022-01-06T01:23:55.7Z,2,REGULAR,stoppage,blood rule,[],0,,,1610612754,51,44,2022-01-06T01:23:55Z,2350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M19.00S,2022-01-06T01:25:17.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627734,89.56964520367937,50.245098039215684,1610612754,53,44,2022-01-06T01:25:20Z,2360000,1.0,46.0,1,right,D. Sabonis cutting finger roll Layup (13 PTS) (L. Stephenson 2 AST),"[1627734, 202362]",1610612754.0,IND,cutting finger roll,,,Sabonis,D. Sabonis,,,,,4.55,Made,,13.0,L. Stephenson,202362.0,2.0,,,,,,,,,,,,,,
239,PT06M01.00S,2022-01-06T01:25:36.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,15.719448094612352,40.19607843137255,1610612751,53,44,2022-01-06T01:25:41Z,2380000,49.0,95.0,1,left,MISS K. Irving 10' fadeaway Shot,[202681],1610612751.0,BKN,fadeaway,,,Irving,K. Irving,,,,,10.72,Missed,,,,,,,,,,,,,,,,,,,
240,PT05M57.00S,2022-01-06T01:25:40.1Z,2,REGULAR,rebound,defensive,[],1626208,,,1610612754,53,44,2022-01-06T01:25:41Z,2390000,,,0,,K. Sykes REBOUND (Off:0 Def:2),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,239.0,,,,,,,,2.0,2.0,0.0,,,,,,,,
241,PT05M43.00S,2022-01-06T01:25:53.4Z,2,REGULAR,3pt,Jump Shot,[],1626208,89.96386333771353,97.30392156862744,1610612754,56,44,2022-01-06T01:25:58Z,2400000,237.0,42.0,1,right,K. Sykes 24' 3PT  (7 PTS) (D. Sabonis 6 AST),"[1626208, 1627734]",1610612754.0,IND,,,,Sykes,K. Sykes,,,,,24.02,Made,,7.0,D. Sabonis,1627734.0,6.0,,,,,,,,,,,,,,
243,PT05M22.00S,2022-01-06T01:26:13.4Z,2,REGULAR,3pt,Jump Shot,[],201935,32.14520367936925,51.71568627450981,1610612751,56,44,2022-01-06T01:26:21Z,2420000,-9.0,250.0,1,left,MISS J. Harden 24' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,24.98,Missed,,,,,,,,,,,,,,,,,,,
244,PT05M21.00S,2022-01-06T01:26:14.4Z,2,REGULAR,rebound,offensive,[],1630561,,,1610612751,56,44,2022-01-06T01:26:38Z,2430000,,,0,,D. Duke Jr. REBOUND (Off:1 Def:2),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,243.0,,,,,,,,3.0,2.0,1.0,,,,,,,,
245,PT05M21.00S,2022-01-06T01:26:19.0Z,2,REGULAR,foul,personal,['2freethrow'],1629052,,,1610612751,56,44,2022-01-06T01:26:32Z,2440000,,,0,,O. Brissett shooting personal FOUL (2 PF) (Duke Jr. 2 FT),"[1629052, 1630561]",1610612754.0,IND,shooting,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,203800.0,2.0,0.0,Duke Jr.,1630561.0,,,
247,PT05M21.00S,2022-01-06T01:26:52.9Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630561,,,1610612751,56,45,2022-01-06T01:26:52Z,2460000,,,0,,D. Duke Jr. Free Throw 1 of 2 (1 PTS),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,Made,,1.0,,,,,,,,,,,,,,,,,
248,PT05M21.00S,2022-01-06T01:26:53.6Z,2,REGULAR,substitution,out,[],1627734,,,1610612751,56,45,2022-01-06T01:27:14Z,2470000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT05M21.00S,2022-01-06T01:26:53.6Z,2,REGULAR,substitution,out,[],201935,,,1610612751,56,45,2022-01-06T01:27:14Z,2480000,,,0,,SUB out: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT05M21.00S,2022-01-06T01:26:53.6Z,2,REGULAR,substitution,out,[],1629651,,,1610612751,56,45,2022-01-06T01:27:14Z,2490000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT05M21.00S,2022-01-06T01:26:53.6Z,2,REGULAR,substitution,in,[],1626167,,,1610612751,56,45,2022-01-06T01:27:14Z,2500000,,,0,,SUB in: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT05M21.00S,2022-01-06T01:26:53.6Z,2,REGULAR,substitution,in,[],201142,,,1610612751,56,45,2022-01-06T01:27:14Z,2510000,,,0,,SUB in: K. Durant,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT05M21.00S,2022-01-06T01:26:53.6Z,2,REGULAR,substitution,in,[],200746,,,1610612751,56,45,2022-01-06T01:27:14Z,2520000,,,0,,SUB in: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT05M21.00S,2022-01-06T01:27:19.2Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630561,,,1610612751,56,46,2022-01-06T01:27:19Z,2530000,,,0,,D. Duke Jr. Free Throw 2 of 2 (2 PTS),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,Made,,2.0,,,,,,,,,,,,,,,,,
255,PT05M12.00S,2022-01-06T01:27:30.7Z,2,REGULAR,3pt,Jump Shot,[],1630613,66.04796320630749,66.17647058823529,1610612754,56,46,2022-01-06T01:27:37Z,2540000,81.0,267.0,1,right,MISS D. Washington Jr. 27' 3PT,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,27.86,Missed,,,,,,,,,,,,,,,,,,,
256,PT05M10.00S,2022-01-06T01:27:32.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612751,56,46,2022-01-06T01:27:37Z,2550000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,,,,
257,PT05M10.00S,2022-01-06T01:27:35.3Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,56,46,2022-01-06T01:27:35Z,2560000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT05M10.00S,2022-01-06T01:27:35.8Z,2,REGULAR,substitution,out,[],1630561,,,1610612751,56,46,2022-01-06T01:27:40Z,2570000,,,0,,SUB out: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT05M10.00S,2022-01-06T01:27:35.8Z,2,REGULAR,substitution,in,[],201933,,,1610612751,56,46,2022-01-06T01:27:40Z,2580000,,,0,,SUB in: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT04M57.00S,2022-01-06T01:27:58.5Z,2,REGULAR,turnover,bad pass,[],201142,,,1610612751,56,46,2022-01-06T01:28:02Z,2590000,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 1629052]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,1.0,Brissett,1629052.0,,,,,,,,,,,
261,PT04M57.00S,2022-01-06T01:27:58.5Z,2,REGULAR,steal,,[],1629052,,,1610612754,56,46,2022-01-06T01:27:59Z,2600000,,,0,,O. Brissett STEAL (1 STL),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT04M56.00S,2022-01-06T01:28:02.0Z,2,REGULAR,turnover,double dribble,[],1629052,,,1610612754,56,46,2022-01-06T01:28:07Z,2610000,,,0,,O. Brissett double dribble TURNOVER (1 TO),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,1.0,,,,,,204059.0,,,,,,,
263,PT04M51.00S,2022-01-06T01:28:30.4Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],200746,25.04927726675427,64.4607843137255,1610612751,56,48,2022-01-06T01:28:35Z,2620000,-72.0,183.0,1,left,L. Aldridge 19' Jump Shot (7 PTS) (K. Irving 3 AST),"[200746, 202681]",1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,19.68,Made,,7.0,K. Irving,202681.0,3.0,,,,,,,,,,,,,,
265,PT04M34.00S,2022-01-06T01:28:50.4Z,2,REGULAR,foul,personal,['2freethrow'],202681,,,1610612754,56,48,2022-01-06T01:28:55Z,2640000,,,0,,K. Irving shooting personal FOUL (1 PF) (Sykes 2 FT),"[202681, 1626208]",1610612751.0,BKN,shooting,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,203800.0,1.0,0.0,Sykes,1626208.0,,,
267,PT04M34.00S,2022-01-06T01:29:15.6Z,2,REGULAR,freethrow,1 of 2,[],1626208,,,1610612754,57,48,2022-01-06T01:29:15Z,2660000,,,0,,K. Sykes Free Throw 1 of 2 (8 PTS),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,Made,,8.0,,,,,,,,,,,,,,,,,
268,PT04M34.00S,2022-01-06T01:29:35.5Z,2,REGULAR,freethrow,2 of 2,[],1626208,,,1610612754,58,48,2022-01-06T01:29:35Z,2670000,,,0,,K. Sykes Free Throw 2 of 2 (9 PTS),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,Made,,9.0,,,,,,,,,,,,,,,,,
269,PT04M23.00S,2022-01-06T01:29:49.1Z,2,REGULAR,2pt,Jump Shot,[],201142,21.107095926412615,30.392156862745097,1610612751,58,50,2022-01-06T01:29:54Z,2680000,98.0,146.0,1,left,K. Durant 17' Jump Shot (18 PTS) (K. Irving 4 AST),"[201142, 202681]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,17.58,Made,,18.0,K. Irving,202681.0,4.0,,,,,,,,,,,,,,
