actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
275,PT04M29.00S,2022-04-05T23:58:17.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202362,72.61826544021025,18.38235294117647,1610612754,51,63,2022-04-05T23:58:35Z,2740000,-158.0,205.0,1,right,L. Stephenson 25' 3PT step back (8 PTS),[202362],1610612754.0,IND,step back,,,Stephenson,L. Stephenson,,,,,25.88,Made,,,,,,,,,,,,8.0,,,,,,,
276,PT04M10.00S,2022-04-05T23:58:35.8Z,2,REGULAR,3pt,Jump Shot,[],1630178,7.966491458607096,96.32352941176471,1610612755,51,66,2022-04-05T23:58:42Z,2750000,-232.0,22.0,1,left,T. Maxey 3PT  (15 PTS) (T. Harris 4 AST),"[1630178, 202699]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,23.27,Made,,,,,,,,,,,,15.0,T. Harris,202699.0,4.0,,,,
278,PT03M54.00S,2022-04-05T23:58:52.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],204456,93.24901445466492,45.588235294117645,1610612754,51,66,2022-04-05T23:58:56Z,2770000,-22.0,11.0,1,right,MISS T. McConnell driving Layup - blocked,"[204456, 1630178]",1610612754.0,IND,driving,,,McConnell,T. McConnell,,,,,2.47,Missed,,,,,,,,,,Maxey,1630178.0,,,,,,,,
279,PT03M54.00S,2022-04-05T23:58:52.1Z,2,REGULAR,block,,[],1630178,,,1610612754,51,66,2022-04-05T23:58:54Z,2780000,,,0,,T. Maxey BLOCK (1 BLK),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
280,PT03M52.00S,2022-04-05T23:58:54.1Z,2,REGULAR,rebound,offensive,[],1630678,,,1610612754,51,66,2022-04-05T23:58:56Z,2790000,,,0,,T. Taylor REBOUND (Off:2 Def:0),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,278.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
282,PT03M50.00S,2022-04-05T23:58:57.1Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],202362,93.64323258869908,21.07843137254902,1610612754,53,66,2022-04-05T23:59:04Z,2810000,-145.0,7.0,1,right,L. Stephenson 14' turnaround fadeaway Jump Shot (10 PTS),[202362],1610612754.0,IND,turnaround fadeaway,,,Stephenson,L. Stephenson,,,,,14.48,Made,,,,,,,,,,,,10.0,,,,,,,
283,PT03M31.00S,2022-04-05T23:59:15.5Z,2,REGULAR,2pt,Jump Shot,[],203954,21.632720105124836,51.225490196078425,1610612755,53,68,2022-04-05T23:59:20Z,2820000,-6.0,151.0,1,left,J. Embiid 15' pullup Jump Shot (19 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,15.09,Made,,,,,,,,,,,,19.0,,,,,,,
284,PT03M19.00S,2022-04-05T23:59:27.7Z,2,REGULAR,turnover,bad pass,[],1630678,,,1610612754,53,68,2022-04-05T23:59:31Z,2830000,,,0,,T. Taylor bad pass TURNOVER (2 TO),"[1630678, 1629680]",1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,2.0,Thybulle,1629680.0,
285,PT03M19.00S,2022-04-05T23:59:27.7Z,2,REGULAR,steal,,[],1629680,,,1610612755,53,68,2022-04-05T23:59:29Z,2840000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT03M15.00S,2022-04-05T23:59:32.2Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630178,11.777266754270697,96.56862745098039,1610612755,53,71,2022-04-05T23:59:37Z,2850000,-233.0,58.0,1,left,T. Maxey 24' 3PT running (18 PTS) (M. Thybulle 1 AST),"[1630178, 1629680]",1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,24.0,Made,,,,,,,,,,,,18.0,M. Thybulle,1629680.0,1.0,,,,
288,PT03M06.00S,2022-04-05T23:59:43.8Z,2,REGULAR,timeout,full,['team'],0,,,1610612754,53,71,2022-04-05T23:59:43Z,2870000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT03M06.00S,2022-04-06T00:00:49.7Z,2,REGULAR,substitution,out,[],202362,,,1610612754,53,71,2022-04-06T00:01:14Z,2880000,,,0,,SUB out: L. Stephenson,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT03M06.00S,2022-04-06T00:00:49.7Z,2,REGULAR,substitution,out,[],204456,,,1610612754,53,71,2022-04-06T00:01:14Z,2890000,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
292,PT03M06.00S,2022-04-06T00:00:49.7Z,2,REGULAR,substitution,out,[],202699,,,1610612754,53,71,2022-04-06T00:01:14Z,2900000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
293,PT03M06.00S,2022-04-06T00:00:49.7Z,2,REGULAR,substitution,in,[],1630169,,,1610612754,53,71,2022-04-06T00:01:14Z,2910000,,,0,,SUB in: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT03M06.00S,2022-04-06T00:00:49.7Z,2,REGULAR,substitution,in,[],1629052,,,1610612754,53,71,2022-04-06T00:01:14Z,2920000,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT03M06.00S,2022-04-06T00:00:49.7Z,2,REGULAR,substitution,in,[],1627777,,,1610612754,53,71,2022-04-06T00:01:14Z,2930000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
296,PT02M59.00S,2022-04-06T00:01:35.0Z,2,REGULAR,2pt,Jump Shot,[],1627741,77.7431011826544,41.66666666666667,1610612754,53,71,2022-04-06T00:01:41Z,2940000,-42.0,157.0,1,right,MISS B. Hield 16' driving floating Shot,[1627741],1610612754.0,IND,driving floating,,,Hield,B. Hield,,,,,16.22,Missed,,,,,,,,,,,,,,,,,,,
297,PT02M56.00S,2022-04-06T00:01:38.0Z,2,REGULAR,rebound,offensive,[],1627741,,,1610612754,53,71,2022-04-06T00:01:41Z,2950000,,,0,,B. Hield REBOUND (Off:1 Def:2),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,296.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
298,PT02M55.00S,2022-04-06T00:01:37.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627741,93.38042049934296,48.77450980392157,1610612754,55,71,2022-04-06T00:01:43Z,2960000,-6.0,10.0,1,right,B. Hield tip Layup (10 PTS),[1627741],1610612754.0,IND,tip,,,Hield,B. Hield,,,,,1.15,Made,,,,,,,,,,,,10.0,,,,,,,
299,PT02M35.00S,2022-04-06T00:01:57.8Z,2,REGULAR,3pt,Jump Shot,[],1630178,31.750985545335087,41.911764705882355,1610612755,55,74,2022-04-06T00:04:05Z,2970000,40.0,246.0,1,left,T. Maxey 24' 3PT step back (21 PTS) (J. Harden 8 AST),"[1630178, 201935]",1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,24.93,Made,,,,,,,,,,,,21.0,J. Harden,201935.0,8.0,,,,
301,PT02M22.00S,2022-04-06T00:02:10.7Z,2,REGULAR,3pt,Jump Shot,[],1627741,80.6340341655716,93.62745098039215,1610612754,55,74,2022-04-06T00:02:15Z,2990000,218.0,130.0,1,right,MISS B. Hield 25' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,25.36,Missed,,,,,,,,,,,,,,,,,,,
302,PT02M22.00S,2022-04-06T00:02:10.7Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,55,74,2022-04-06T00:02:15Z,3000000,,,0,,J. Embiid REBOUND (Off:0 Def:5),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,301.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
303,PT02M14.00S,2022-04-06T00:02:21.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203954,9.149145860709593,50.98039215686274,1610612755,55,76,2022-04-06T00:04:48Z,3010000,-5.0,34.0,1,left,J. Embiid driving Layup (21 PTS),[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,3.39,Made,,,,,,,,,,,,21.0,,,,,,,
304,PT02M14.00S,2022-04-06T00:02:24.0Z,2,REGULAR,foul,personal,['1freethrow'],1627741,,,1610612755,55,76,2022-04-06T00:02:28Z,3020000,,,0,,B. Hield shooting personal FOUL (1 PF) (Embiid 1 FT),"[1627741, 203954]",1610612754.0,IND,shooting,,,Hield,B. Hield,,,,,,,,,,,2715.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,
306,PT02M14.00S,2022-04-06T00:02:45.4Z,2,REGULAR,freethrow,1 of 1,[],203954,,,1610612755,55,77,2022-04-06T00:02:45Z,3040000,,,0,,J. Embiid Free Throw 1 of 1 (22 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,,,,,,22.0,,,,,,,
307,PT02M04.00S,2022-04-06T00:02:58.3Z,2,REGULAR,3pt,Jump Shot,[],1630678,92.19776609724047,3.6764705882352944,1610612754,55,77,2022-04-06T00:03:10Z,3050000,-232.0,21.0,1,right,MISS T. Taylor 3PT,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,23.25,Missed,,,,,,,,,,,,,,,,,,,
308,PT02M02.00S,2022-04-06T00:03:00.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612754,55,77,2022-04-06T00:03:11Z,3060000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,307.0,,,,,,,,,,,,,,,,,,
309,PT02M02.00S,2022-04-06T00:03:12.8Z,2,REGULAR,foul,personal,[],1627777,,,1610612754,55,77,2022-04-06T00:04:04Z,3070000,,,0,,G. Niang loose ball personal FOUL (3 PF),"[1627777, 1630188]",1610612755.0,PHI,loose ball,,,Niang,G. Niang,,,,,,,,,,,201245.0,3.0,0.0,Smith,1630188.0,,,,,,,,,,
311,PT01M57.00S,2022-04-06T00:03:25.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629052,91.80354796320631,2.696078431372549,1610612754,55,77,2022-04-06T00:03:30Z,3090000,-237.0,25.0,1,right,MISS O. Brissett 3PT,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,23.78,Missed,,,,,,,,,,,,,,,,,,,
312,PT01M52.00S,2022-04-06T00:03:30.7Z,2,REGULAR,rebound,offensive,[],1629052,,,1610612754,55,77,2022-04-06T00:03:30Z,3100000,,,0,,O. Brissett REBOUND (Off:2 Def:3),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,311.0,5.0,3.0,2.0,,,,,,,,,,,,,,,
313,PT01M51.00S,2022-04-06T00:03:32.1Z,2,REGULAR,turnover,out-of-bounds,[],1629052,,,1610612754,55,77,2022-04-06T00:03:38Z,3110000,,,0,,O. Brissett bad pass out-of-bounds TURNOVER (1 TO),[1629052],1610612754.0,IND,bad pass,,,Brissett,O. Brissett,,,,,,,,,,,201245.0,,,,,,,,,,,1.0,,,
314,PT01M51.00S,2022-04-06T00:03:34.3Z,2,REGULAR,substitution,out,[],1627777,,,1610612755,55,77,2022-04-06T00:03:40Z,3120000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
315,PT01M51.00S,2022-04-06T00:03:34.3Z,2,REGULAR,substitution,in,[],201980,,,1610612755,55,77,2022-04-06T00:03:40Z,3130000,,,0,,SUB in: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
316,PT01M51.00S,2022-04-06T00:03:34.3Z,2,REGULAR,substitution,out,[],1629680,,,1610612755,55,77,2022-04-06T00:03:50Z,3140000,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT01M51.00S,2022-04-06T00:03:34.3Z,2,REGULAR,substitution,in,[],1629003,,,1610612755,55,77,2022-04-06T00:03:50Z,3150000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,
318,PT01M39.00S,2022-04-06T00:04:04.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203954,6.652431011826544,46.32352941176471,1610612755,55,79,2022-04-06T00:04:08Z,3160000,18.0,10.0,1,left,J. Embiid cutting Layup (24 PTS) (D. Green 2 AST),"[203954, 201980]",1610612755.0,PHI,cutting,,,Embiid,J. Embiid,,,,,2.09,Made,,,,,,,,,,,,24.0,D. Green,201980.0,2.0,,,,
320,PT01M22.00S,2022-04-06T00:04:21.4Z,2,REGULAR,2pt,Jump Shot,[],1630678,87.59855453350855,18.38235294117647,1610612754,57,79,2022-04-06T00:12:55Z,3180000,-158.0,64.0,1,right,T. Taylor 17' driving floating Jump Shot (6 PTS) (J. Smith 1 AST),"[1630678, 1630188]",1610612754.0,IND,driving floating,,,Taylor,T. Taylor,,,,,17.06,Made,,,,,,,,,,,,6.0,J. Smith,1630188.0,1.0,,,,
322,PT01M04.00S,2022-04-06T00:04:39.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203954,7.30946123521682,54.65686274509803,1610612755,57,79,2022-04-06T00:04:47Z,3200000,-23.0,16.0,1,left,MISS J. Embiid DUNK - blocked,"[203954, 1630188]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,2.84,Missed,,,,,,,,,,Smith,1630188.0,,,,,,,,
323,PT01M04.00S,2022-04-06T00:04:39.3Z,2,REGULAR,block,,[],1630188,,,1610612755,57,79,2022-04-06T00:04:41Z,3210000,,,0,,J. Smith BLOCK (1 BLK),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT01M00.00S,2022-04-06T00:04:43.3Z,2,REGULAR,rebound,offensive,[],203954,,,1610612755,57,79,2022-04-06T00:04:43Z,3220000,,,0,,J. Embiid REBOUND (Off:1 Def:5),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,322.0,6.0,5.0,1.0,,,,,,,,,,,,,,,
325,PT01M00.00S,2022-04-06T00:04:43.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203954,6.915243101182654,51.225490196078425,1610612755,57,81,2022-04-06T00:04:47Z,3230000,-6.0,13.0,1,left,J. Embiid putback Layup (26 PTS),[203954],1610612755.0,PHI,putback,,,Embiid,J. Embiid,,,,,1.39,Made,,,,,,,,,,,,26.0,,,,,,,
326,PT00M54.90S,2022-04-06T00:04:51.6Z,2,REGULAR,3pt,Jump Shot,[],1627741,67.09921156373193,38.23529411764706,1610612754,57,81,2022-04-06T00:04:59Z,3240000,-59.0,257.0,1,right,MISS B. Hield 26' pullup 3PT,[1627741],1610612754.0,IND,pullup,,,Hield,B. Hield,,,,,26.34,Missed,,,,,,,,,,,,,,,,,,,
327,PT00M51.60S,2022-04-06T00:04:54.9Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,57,81,2022-04-06T00:04:59Z,3250000,,,0,,J. Embiid REBOUND (Off:1 Def:6),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,326.0,7.0,6.0,1.0,,,,,,,,,,,,,,,
328,PT00M45.10S,2022-04-06T00:05:02.3Z,2,REGULAR,foul,personal,['2freethrow'],1630678,,,1610612755,57,81,2022-04-06T00:05:07Z,3260000,,,0,,T. Taylor shooting personal FOUL (1 PF) (Embiid 2 FT),"[1630678, 203954]",1610612754.0,IND,shooting,,,Taylor,T. Taylor,,,,,,,,,,,201245.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,
330,PT00M45.10S,2022-04-06T00:05:29.6Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],203954,,,1610612755,57,82,2022-04-06T00:05:53Z,3280000,,,0,,J. Embiid Free Throw 1 of 2 (27 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,,,,,,27.0,,,,,,,
331,PT00M45.10S,2022-04-06T00:05:29.6Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],203954,,,1610612755,57,82,2022-04-06T00:05:53Z,3290000,,,0,,MISS J. Embiid Free Throw 2 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Missed,,,,,,,,,,,,,,,,,,,
332,PT00M45.10S,2022-04-06T00:05:29.6Z,2,REGULAR,rebound,defensive,[],1627741,,,1610612754,57,82,2022-04-06T00:08:40Z,3300000,,,0,,B. Hield REBOUND (Off:1 Def:3),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,331.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
333,PT00M31.50S,2022-04-06T00:06:02.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630188,93.38042049934296,46.32352941176471,1610612754,59,82,2022-04-06T00:06:06Z,3310000,-18.0,10.0,1,right,J. Smith DUNK (13 PTS) (T. Taylor 2 AST),"[1630188, 1630678]",1610612754.0,IND,,,,Smith,J. Smith,,,,,2.08,Made,,,,,,,,,,,,13.0,T. Taylor,1630678.0,2.0,,,,
335,PT00M10.70S,2022-04-06T00:06:29.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203954,13.87976346911958,43.872549019607845,1610612755,59,82,2022-04-06T00:09:43Z,3330000,31.0,78.0,1,left,MISS J. Embiid 8' cutting Layup - blocked,"[203954, 1630678]",1610612755.0,PHI,cutting,,,Embiid,J. Embiid,,,,,8.38,Missed,,,,,,,,,,Taylor,1630678.0,,,,,,,,
336,PT00M10.70S,2022-04-06T00:06:29.3Z,2,REGULAR,block,,[],1630678,,,1610612755,59,82,2022-04-06T00:06:31Z,3340000,,,0,,T. Taylor BLOCK (1 BLK),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,
337,PT00M07.70S,2022-04-06T00:06:32.3Z,2,REGULAR,rebound,defensive,[],1630169,,,1610612754,59,82,2022-04-06T00:06:32Z,3350000,,,0,,T. Haliburton REBOUND (Off:1 Def:2),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,335.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
338,PT00M04.60S,2022-04-06T00:06:35.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629052,77.87450722733246,87.99019607843137,1610612754,59,82,2022-04-06T00:10:30Z,3360000,190.0,155.0,1,right,MISS O. Brissett 24' running 3PT,[1629052],1610612754.0,IND,running,,,Brissett,O. Brissett,,,,,24.55,Missed,,,,,,,,,,,,,,,,,,,
339,PT00M01.10S,2022-04-06T00:06:38.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612755,59,82,2022-04-06T00:10:30Z,3370000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,338.0,,,,,,,,,,,,,,,,,,
340,PT00M01.10S,2022-04-06T00:06:47.2Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,59,82,2022-04-06T00:06:47Z,3380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,PT00M00.70S,2022-04-06T00:06:57.7Z,2,REGULAR,turnover,bad pass,[],201935,,,1610612755,59,82,2022-04-06T00:07:04Z,3390000,,,0,,J. Harden bad pass TURNOVER (2 TO),"[201935, 1630678]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,2.0,Taylor,1630678.0,
342,PT00M00.70S,2022-04-06T00:06:57.7Z,2,REGULAR,steal,,[],1630678,,,1610612754,59,82,2022-04-06T00:06:59Z,3400000,,,0,,T. Taylor STEAL (1 STL),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,
343,PT00M00.00S,2022-04-06T00:07:00.5Z,2,REGULAR,period,end,[],0,,,1610612754,59,82,2022-04-06T00:07:00Z,3410000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,PT12M00.00S,2022-04-06T00:21:08.9Z,3,REGULAR,substitution,out,['startperiod'],1630188,,,1610612754,59,82,2022-04-06T00:22:07Z,3420000,,,0,,SUB out: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT12M00.00S,2022-04-06T00:21:08.9Z,3,REGULAR,substitution,out,['startperiod'],201980,,,1610612754,59,82,2022-04-06T00:22:07Z,3430000,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
346,PT12M00.00S,2022-04-06T00:21:08.9Z,3,REGULAR,substitution,out,['startperiod'],1629003,,,1610612754,59,82,2022-04-06T00:22:07Z,3440000,,,0,,SUB out: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,
347,PT12M00.00S,2022-04-06T00:21:08.9Z,3,REGULAR,substitution,in,['startperiod'],1630543,,,1610612754,59,82,2022-04-06T00:22:07Z,3450000,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
348,PT12M00.00S,2022-04-06T00:21:08.9Z,3,REGULAR,substitution,in,['startperiod'],202699,,,1610612754,59,82,2022-04-06T00:22:07Z,3460000,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
349,PT12M00.00S,2022-04-06T00:21:08.9Z,3,REGULAR,substitution,in,['startperiod'],1629680,,,1610612754,59,82,2022-04-06T00:22:07Z,3470000,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
350,PT12M00.00S,2022-04-06T00:22:18.1Z,3,REGULAR,period,start,[],0,,,1610612755,59,82,2022-04-06T00:22:18Z,3480000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,PT11M48.00S,2022-04-06T00:22:30.1Z,3,REGULAR,2pt,Jump Shot,[],203954,77.61169513797634,55.88235294117647,1610612755,59,84,2022-04-06T00:22:39Z,3490000,29.0,158.0,1,right,J. Embiid 16' Jump Shot (29 PTS) (J. Harden 9 AST),"[203954, 201935]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,16.07,Made,,,,,,,,,,,,29.0,J. Harden,201935.0,9.0,,,,
353,PT11M24.00S,2022-04-06T00:22:52.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629052,8.754927726675426,43.38235294117647,1610612754,59,84,2022-04-06T00:22:59Z,3510000,33.0,30.0,1,left,MISS O. Brissett driving Layup,[1629052],1610612754.0,IND,driving,,,Brissett,O. Brissett,,,,,4.45,Missed,,,,,,,,,,,,,,,,,,,
354,PT11M21.00S,2022-04-06T00:22:55.7Z,3,REGULAR,rebound,offensive,[],1630543,,,1610612754,59,84,2022-04-06T00:22:59Z,3520000,,,0,,I. Jackson REBOUND (Off:1 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,353.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
355,PT11M21.00S,2022-04-06T00:22:56.2Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630543,5.590000152587891,50.0,1610612754,61,84,2022-04-06T00:22:56Z,3530000,0.0,0.0,1,left,I. Jackson tip Layup (8 PTS),[1630543],1610612754.0,IND,tip,,,Jackson,I. Jackson,,,,,0.0,Made,,,,,,,,,,,,8.0,,,,,,,
356,PT11M08.00S,2022-04-06T00:23:08.9Z,3,REGULAR,3pt,Jump Shot,[],203954,79.45137976346912,89.70588235294117,1610612755,61,87,2022-04-06T00:23:12Z,3540000,199.0,141.0,1,right,J. Embiid 24' 3PT  (32 PTS) (J. Harden 10 AST),"[203954, 201935]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,24.33,Made,,,,,,,,,,,,32.0,J. Harden,201935.0,10.0,,,,
358,PT10M52.00S,2022-04-06T00:23:26.7Z,3,REGULAR,foul,personal,['2freethrow'],201935,,,1610612754,61,87,2022-04-06T00:23:35Z,3560000,,,0,,J. Harden shooting personal FOUL (1 PF) (Jackson 2 FT),"[201935, 1630543]",1610612755.0,PHI,shooting,,,Harden,J. Harden,,,,,,,,,,,204059.0,1.0,0.0,Jackson,1630543.0,,,,,,,,,,
360,PT10M52.00S,2022-04-06T00:23:58.1Z,3,REGULAR,freethrow,1 of 2,[],1630543,,,1610612754,62,87,2022-04-06T00:23:58Z,3580000,,,0,,I. Jackson Free Throw 1 of 2 (9 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,Made,,,,,,,,,,,,9.0,,,,,,,
361,PT10M52.00S,2022-04-06T00:24:16.6Z,3,REGULAR,freethrow,2 of 2,[],1630543,,,1610612754,63,87,2022-04-06T00:24:16Z,3590000,,,0,,I. Jackson Free Throw 2 of 2 (10 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,Made,,,,,,,,,,,,10.0,,,,,,,
362,PT10M33.00S,2022-04-06T00:24:39.2Z,3,REGULAR,3pt,Jump Shot,[],201935,86.15308804204993,3.6764705882352944,1610612755,63,90,2022-04-06T00:24:43Z,3600000,-232.0,78.0,1,right,J. Harden 24' 3PT pullup (9 PTS) (J. Embiid 1 AST),"[201935, 203954]",1610612755.0,PHI,pullup,,,Harden,J. Harden,,,,,24.43,Made,,,,,,,,,,,,9.0,J. Embiid,203954.0,1.0,,,,
364,PT10M23.00S,2022-04-06T00:24:50.7Z,3,REGULAR,foul,personal,['2freethrow'],1629680,,,1610612754,63,90,2022-04-06T00:24:56Z,3620000,,,0,,M. Thybulle shooting personal FOUL (1 PF) (Brissett 2 FT),"[1629680, 1629052]",1610612755.0,PHI,shooting,,,Thybulle,M. Thybulle,,,,,,,,,,,2715.0,1.0,0.0,Brissett,1629052.0,,,,,,,,,,
366,PT10M23.00S,2022-04-06T00:25:12.0Z,3,REGULAR,freethrow,1 of 2,[],1629052,,,1610612754,64,90,2022-04-06T00:25:12Z,3640000,,,0,,O. Brissett Free Throw 1 of 2 (3 PTS),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,Made,,,,,,,,,,,,3.0,,,,,,,
