actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
178,PT10M49.00S,2021-12-22T01:40:56.7Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203463,33.196452036793694,34.31372549019608,1610612757,26,21,2021-12-22T01:41:01Z,1770000,78.0,260.0,1,left,MISS B. McLemore 27' 3PT,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,Missed,,,,,,27.11,,,,,,,,,
179,PT10M47.00S,2021-12-22T01:40:58.7Z,2,REGULAR,rebound,offensive,[],203496,,,1610612757,26,21,2021-12-22T01:41:01Z,1780000,,,0,,R. Covington REBOUND (Off:2 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,178.0,3.0,1.0,2.0,,,,,,,,,,
180,PT10M46.00S,2021-12-22T01:41:00.1Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203463,30.699737187910642,34.31372549019608,1610612757,26,24,2021-12-22T01:43:04Z,1790000,78.0,236.0,1,left,B. McLemore 24' 3PT  (6 PTS) (R. Covington 1 AST),"[203463, 203496]",1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,Made,6.0,,,,,24.88,,,,,,R. Covington,203496.0,1.0,
182,PT10M30.00S,2021-12-22T01:41:16.2Z,2,REGULAR,3pt,Jump Shot,[],1628404,75.50919842312747,13.23529411764706,1610612740,26,24,2021-12-22T01:41:20Z,1810000,-184.0,178.0,1,right,MISS J. Hart 25' 3PT,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,Missed,,,,,,25.57,,,,,,,,,
183,PT10M28.00S,2021-12-22T01:41:18.5Z,2,REGULAR,rebound,defensive,[],1630570,,,1610612757,26,24,2021-12-22T01:41:18Z,1820000,,,0,,T. Watford REBOUND (Off:1 Def:1),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,182.0,2.0,1.0,1.0,,,,,,,,,,
184,PT10M19.00S,2021-12-22T01:41:27.3Z,2,REGULAR,2pt,Jump Shot,[],1629014,6.389618922470433,85.7843137254902,1610612757,26,24,2021-12-22T01:41:31Z,1830000,-179.0,8.0,1,left,MISS A. Simons 17' Jump Shot,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,Missed,,,,,,17.91,,,,,,,,,
185,PT10M16.00S,2021-12-22T01:41:29.7Z,2,REGULAR,rebound,defensive,[],1629638,,,1610612740,26,24,2021-12-22T01:41:29Z,1840000,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:2),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,184.0,2.0,2.0,0.0,,,,,,,,,,
186,PT10M13.00S,2021-12-22T01:41:40.0Z,2,REGULAR,foul,personal,[],1630570,,,1610612740,26,24,2021-12-22T01:41:52Z,1850000,,,0,,T. Watford personal FOUL (1 PF),"[1630570, 202685]",1610612757.0,POR,,,,Watford,T. Watford,,,,,1179.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,
188,PT10M08.00S,2021-12-22T01:41:54.9Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202685,88.64980289093299,50.245098039215684,1610612740,28,24,2021-12-22T01:42:06Z,1870000,1.0,54.0,1,right,J. Valanciunas driving Hook (4 PTS) (D. Graham 1 AST),"[202685, 1628984]",1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,,,,,,Made,4.0,,,,,5.42,,,,,,D. Graham,1628984.0,1.0,
190,PT09M55.00S,2021-12-22T01:42:08.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629014,7.5722733245729295,50.98039215686274,1610612757,28,24,2021-12-22T01:42:16Z,1890000,-5.0,19.0,1,left,MISS A. Simons driving Layup - blocked,"[1629014, 202685]",1610612757.0,POR,driving,,,Simons,A. Simons,,,,,,,,,,Missed,,,,,,1.93,,,,Valanciunas,202685.0,,,,
191,PT09M55.00S,2021-12-22T01:42:08.0Z,2,REGULAR,block,,[],202685,,,1610612757,28,24,2021-12-22T01:42:10Z,1900000,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT09M51.00S,2021-12-22T01:42:12.0Z,2,REGULAR,rebound,defensive,[],202066,,,1610612740,28,24,2021-12-22T01:42:16Z,1910000,,,0,,G. Temple REBOUND (Off:0 Def:1),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,190.0,1.0,1.0,0.0,,,,,,,,,,
193,PT09M45.00S,2021-12-22T01:42:18.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,93.51182654402102,54.166666666666664,1610612740,30,24,2021-12-22T01:42:24Z,1920000,21.0,8.0,1,right,J. Hart driving Layup (7 PTS),[1628404],1610612740.0,NOP,driving,,,Hart,J. Hart,,,,,,,,,,Made,7.0,,,,,2.25,,,,,,,,,
194,PT09M32.00S,2021-12-22T01:42:31.1Z,2,REGULAR,3pt,Jump Shot,[],203463,30.305519053876477,67.8921568627451,1610612757,30,24,2021-12-22T01:42:36Z,1930000,-89.0,232.0,1,left,MISS B. McLemore 24' 3PT,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,Missed,,,,,,24.9,,,,,,,,,
195,PT09M29.00S,2021-12-22T01:42:34.1Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,30,24,2021-12-22T01:42:36Z,1940000,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,194.0,3.0,3.0,0.0,,,,,,,,,,
196,PT09M17.00S,2021-12-22T01:42:46.2Z,2,REGULAR,turnover,bad pass,[],1629638,,,1610612740,30,24,2021-12-22T01:42:54Z,1950000,,,0,,N. Alexander-Walker bad pass TURNOVER (3 TO),"[1629638, 203496]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,3.0,Covington,203496.0,,,,,,
197,PT09M17.00S,2021-12-22T01:42:46.2Z,2,REGULAR,steal,,[],203496,,,1610612757,30,24,2021-12-22T01:42:51Z,1960000,,,0,,R. Covington STEAL (1 STL),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT09M12.00S,2021-12-22T01:42:54.6Z,2,REGULAR,foul,personal,[],202066,,,1610612757,30,24,2021-12-22T01:43:10Z,1970000,,,0,,G. Temple personal FOUL (1 PF),"[202066, 1629014]",1610612740.0,NOP,,,,Temple,G. Temple,,,,,1179.0,1.0,0.0,Simons,1629014.0,,,,,,,,,,,,,,,,
200,PT09M05.00S,2021-12-22T01:43:24.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203496,14.536793692509855,53.18627450980392,1610612757,30,26,2021-12-22T01:51:39Z,1990000,-16.0,84.0,1,left,R. Covington 8' floating Jump Shot (2 PTS),[203496],1610612757.0,POR,floating,,,Covington,R. Covington,,,,,,,,,,Made,2.0,,,,,8.56,,,,,,,,,
201,PT08M50.00S,2021-12-22T01:43:38.0Z,2,REGULAR,3pt,Jump Shot,[],202066,69.72733245729303,17.401960784313726,1610612740,30,26,2021-12-22T01:43:42Z,2000000,-163.0,232.0,1,right,MISS G. Temple 28' 3PT,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,Missed,,,,,,28.36,,,,,,,,,
202,PT08M48.00S,2021-12-22T01:43:40.0Z,2,REGULAR,rebound,defensive,[],1630570,,,1610612757,30,26,2021-12-22T01:43:42Z,2010000,,,0,,T. Watford REBOUND (Off:1 Def:2),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,201.0,3.0,2.0,1.0,,,,,,,,,,
203,PT08M38.00S,2021-12-22T01:43:54.3Z,2,REGULAR,foul,offensive,[],203496,,,1610612757,30,26,2021-12-22T01:44:04Z,2020000,,,0,,R. Covington offensive FOUL (2 PF),"[203496, 1629638]",1610612757.0,POR,,,,Covington,R. Covington,,,,,201246.0,2.0,0.0,Alexander-Walker,1629638.0,,,,,,,,,,,,,,,,
205,PT08M38.00S,2021-12-22T01:43:54.3Z,2,REGULAR,turnover,offensive foul,[],203496,,,1610612757,30,26,2021-12-22T01:43:54Z,2040000,,,0,,R. Covington offensive foul TURNOVER (1 TO),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,201246.0,,,,,,,,,,,,1.0,,,,,,,,
207,PT08M23.00S,2021-12-22T01:44:26.5Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,30,26,2021-12-22T01:44:26Z,2050000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT08M23.00S,2021-12-22T01:44:27.4Z,2,REGULAR,substitution,out,[],1628984,,,1610612740,30,26,2021-12-22T01:44:42Z,2060000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT08M23.00S,2021-12-22T01:44:27.4Z,2,REGULAR,substitution,out,[],1630570,,,1610612740,30,26,2021-12-22T01:44:42Z,2070000,,,0,,SUB out: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT08M23.00S,2021-12-22T01:44:27.4Z,2,REGULAR,substitution,out,[],203463,,,1610612740,30,26,2021-12-22T01:44:42Z,2080000,,,0,,SUB out: B. McLemore,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT08M23.00S,2021-12-22T01:44:27.4Z,2,REGULAR,substitution,in,[],1630529,,,1610612740,30,26,2021-12-22T01:44:42Z,2090000,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT08M23.00S,2021-12-22T01:44:27.4Z,2,REGULAR,substitution,in,[],203081,,,1610612740,30,26,2021-12-22T01:44:42Z,2100000,,,0,,SUB in: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT08M23.00S,2021-12-22T01:44:27.4Z,2,REGULAR,substitution,in,[],203994,,,1610612740,30,26,2021-12-22T01:44:42Z,2110000,,,0,,SUB in: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT08M17.00S,2021-12-22T01:44:54.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202685,74.72076215505913,86.76470588235294,1610612740,30,26,2021-12-22T01:44:59Z,2120000,184.0,185.0,1,right,MISS J. Valanciunas 26' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,Missed,,,,,,26.09,,,,,,,,,
215,PT08M14.00S,2021-12-22T01:44:57.4Z,2,REGULAR,rebound,defensive,[],203503,,,1610612757,30,26,2021-12-22T01:44:59Z,2130000,,,0,,T. Snell REBOUND (Off:0 Def:2),[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,214.0,2.0,2.0,0.0,,,,,,,,,,
216,PT08M07.00S,2021-12-22T01:45:14.8Z,2,REGULAR,foul,personal,['2freethrow'],1628404,,,1610612757,30,26,2021-12-22T01:45:25Z,2140000,,,0,,J. Hart shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1628404, 203994]",1610612740.0,NOP,shooting,,,Hart,J. Hart,,,,,1179.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,,,,,,,,
218,PT08M07.00S,2021-12-22T01:45:37.6Z,2,REGULAR,freethrow,1 of 2,[],203994,,,1610612757,30,27,2021-12-22T01:45:37Z,2160000,,,0,,J. Nurkic Free Throw 1 of 2 (8 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,
219,PT08M07.00S,2021-12-22T01:45:53.5Z,2,REGULAR,freethrow,2 of 2,[],203994,,,1610612757,30,28,2021-12-22T01:45:53Z,2170000,,,0,,J. Nurkic Free Throw 2 of 2 (9 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,
220,PT07M55.00S,2021-12-22T01:46:11.1Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,30,28,2021-12-22T01:47:25Z,2180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT07M48.00S,2021-12-22T01:46:50.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629638,87.46714848883047,49.01960784313725,1610612740,30,28,2021-12-22T01:55:13Z,2190000,-5.0,65.0,1,right,MISS N. Alexander-Walker 6' driving floating Shot,[1629638],1610612740.0,NOP,driving floating,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,Missed,,,,,,6.55,,,,,,,,,
222,PT07M47.00S,2021-12-22T01:46:52.4Z,2,REGULAR,rebound,offensive,[],1629638,,,1610612740,30,28,2021-12-22T01:46:52Z,2200000,,,0,,N. Alexander-Walker REBOUND (Off:1 Def:2),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,221.0,3.0,2.0,1.0,,,,,,,,,,
223,PT07M44.00S,2021-12-22T01:46:55.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629638,93.64323258869908,46.32352941176471,1610612740,30,28,2021-12-22T01:47:07Z,2210000,-18.0,7.0,1,right,MISS N. Alexander-Walker Layup - blocked,"[1629638, 203503]",1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,Missed,,,,,,1.98,,,,Snell,203503.0,,,,
224,PT07M44.00S,2021-12-22T01:46:55.1Z,2,REGULAR,block,,[],203503,,,1610612740,30,28,2021-12-22T01:46:57Z,2220000,,,0,,T. Snell BLOCK (1 BLK),[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M41.00S,2021-12-22T01:46:58.1Z,2,REGULAR,rebound,defensive,[],203503,,,1610612757,30,28,2021-12-22T01:47:07Z,2230000,,,0,,T. Snell REBOUND (Off:0 Def:3),[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,223.0,3.0,3.0,0.0,,,,,,,,,,
226,PT07M33.00S,2021-12-22T01:47:06.5Z,2,REGULAR,3pt,Jump Shot,[],203081,15.588042049934298,3.6764705882352944,1610612757,30,31,2021-12-22T01:47:10Z,2240000,232.0,94.0,1,left,D. Lillard 24' 3PT  (10 PTS) (J. Nurkic 3 AST),"[203081, 203994]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,Made,10.0,,,,,24.99,,,,,,J. Nurkic,203994.0,3.0,
228,PT07M21.00S,2021-12-22T01:47:23.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,30,31,2021-12-22T01:47:23Z,2260000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT07M21.00S,2021-12-22T01:49:54.9Z,2,REGULAR,substitution,out,[],1629638,,,1610612740,30,31,2021-12-22T01:50:11Z,2270000,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT07M21.00S,2021-12-22T01:49:54.9Z,2,REGULAR,substitution,out,[],202066,,,1610612740,30,31,2021-12-22T01:50:11Z,2280000,,,0,,SUB out: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT07M21.00S,2021-12-22T01:49:54.9Z,2,REGULAR,substitution,out,[],1629014,,,1610612740,30,31,2021-12-22T01:50:11Z,2290000,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT07M21.00S,2021-12-22T01:49:54.9Z,2,REGULAR,substitution,out,[],203496,,,1610612740,30,31,2021-12-22T01:50:11Z,2300000,,,0,,SUB out: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT07M21.00S,2021-12-22T01:49:54.9Z,2,REGULAR,substitution,in,[],203107,,,1610612740,30,31,2021-12-22T01:50:11Z,2310000,,,0,,SUB in: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT07M21.00S,2021-12-22T01:49:54.9Z,2,REGULAR,substitution,in,[],1627742,,,1610612740,30,31,2021-12-22T01:50:11Z,2320000,,,0,,SUB in: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT07M21.00S,2021-12-22T01:49:54.9Z,2,REGULAR,substitution,in,[],1626181,,,1610612740,30,31,2021-12-22T01:50:11Z,2330000,,,0,,SUB in: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT07M21.00S,2021-12-22T01:49:54.9Z,2,REGULAR,substitution,in,[],1626204,,,1610612740,30,31,2021-12-22T01:50:11Z,2340000,,,0,,SUB in: L. Nance Jr.,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT07M10.00S,2021-12-22T01:50:30.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,85.10183968462549,44.36274509803921,1610612740,32,31,2021-12-22T01:50:41Z,2350000,-28.0,88.0,1,right,B. Ingram 9' fadeaway Jump Shot (6 PTS),[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,,,,,,Made,6.0,,,,,9.19,,,,,,,,,
238,PT06M54.00S,2021-12-22T01:50:45.6Z,2,REGULAR,3pt,Jump Shot,[],203081,20.97568988173456,89.95098039215686,1610612757,32,34,2021-12-22T01:50:51Z,2360000,-200.0,145.0,1,left,D. Lillard 24' 3PT  (13 PTS) (L. Nance Jr. 1 AST),"[203081, 1626204]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,Made,13.0,,,,,24.67,,,,,,L. Nance Jr.,1626204.0,1.0,
240,PT06M26.00S,2021-12-22T01:51:13.6Z,2,REGULAR,2pt,Jump Shot,[],203107,80.89684625492772,74.26470588235294,1610612740,32,34,2021-12-22T01:51:36Z,2380000,121.0,127.0,1,right,MISS T. Satoransky 17' Jump Shot,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,Missed,,,,,,17.57,,,,,,,,,
241,PT06M23.00S,2021-12-22T01:51:16.6Z,2,REGULAR,rebound,defensive,[],203081,,,1610612757,32,34,2021-12-22T01:51:36Z,2390000,,,0,,D. Lillard REBOUND (Off:0 Def:2),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,240.0,2.0,2.0,0.0,,,,,,,,,,
242,PT06M19.00S,2021-12-22T01:51:25.7Z,2,REGULAR,foul,personal,[],1628404,,,1610612757,32,34,2021-12-22T01:51:29Z,2400000,,,0,,J. Hart personal FOUL (2 PF),"[1628404, 203081]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,1179.0,2.0,0.0,Lillard,203081.0,,,,,,,,,,,,,,,,
244,PT06M03.00S,2021-12-22T01:52:10.2Z,2,REGULAR,turnover,bad pass,[],203503,,,1610612757,32,34,2021-12-22T01:53:10Z,2420000,,,0,,T. Snell bad pass TURNOVER (1 TO),"[203503, 203107]",1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,1.0,Satoransky,203107.0,,,,,,
245,PT06M03.00S,2021-12-22T01:52:10.2Z,2,REGULAR,steal,,[],203107,,,1610612740,32,34,2021-12-22T01:53:10Z,2430000,,,0,,T. Satoransky STEAL (1 STL),[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT06M03.00S,2021-12-22T01:52:16.6Z,2,REGULAR,turnover,bad pass,[],203107,,,1610612740,32,34,2021-12-22T02:02:30Z,2435000,,,0,,T. Satoransky bad pass TURNOVER (1 TO),[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,1.0,,,,,,,,
246,PT06M03.00S,2021-12-22T01:52:23.1Z,2,REGULAR,foul,personal,[],1627742,,,1610612757,32,34,2021-12-22T02:02:30Z,2440000,,,0,,B. Ingram loose ball personal FOUL (1 PF),"[1627742, 203081]",1610612740.0,NOP,loose ball,,,Ingram,B. Ingram,,,,,1179.0,1.0,0.0,Lillard,203081.0,,,,,,,,,,,,,,,,
249,PT05M54.00S,2021-12-22T01:52:38.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626204,5.732588699080158,50.49019607843137,1610612757,32,36,2021-12-22T01:52:50Z,2470000,-2.0,1.0,1,left,L. Nance Jr. Layup (2 PTS) (D. Lillard 2 AST),"[1626204, 203081]",1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,Made,2.0,,,,,0.29,,,,,,D. Lillard,203081.0,2.0,
251,PT05M31.00S,2021-12-22T01:53:00.6Z,2,REGULAR,2pt,Jump Shot,[],1627742,79.58278580814718,25.245098039215684,1610612740,32,36,2021-12-22T01:57:44Z,2490000,-124.0,139.0,1,right,MISS B. Ingram 18' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,,,,,,Missed,,,,,,18.64,,,,,,,,,
252,PT05M27.00S,2021-12-22T01:53:05.1Z,2,REGULAR,rebound,offensive,[],202685,,,1610612740,32,36,2021-12-22T01:53:05Z,2500000,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,251.0,4.0,3.0,1.0,,,,,,,,,,
253,PT05M27.00S,2021-12-22T01:53:05.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,32,36,2021-12-22T01:53:05Z,2510000,0.0,0.0,1,right,MISS J. Valanciunas tip Layup,[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,,,,,,Missed,,,,,,0.0,,,,,,,,,
254,PT05M26.00S,2021-12-22T01:53:06.0Z,2,REGULAR,rebound,defensive,[],1626204,,,1610612757,32,36,2021-12-22T01:53:06Z,2520000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:3),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,253.0,3.0,3.0,0.0,,,,,,,,,,
255,PT05M19.00S,2021-12-22T01:53:13.0Z,2,REGULAR,3pt,Jump Shot,[],203081,31.750985545335087,25.735294117647058,1610612757,32,36,2021-12-22T01:58:31Z,2530000,121.0,246.0,1,left,MISS D. Lillard 27' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,,,,,,Missed,,,,,,27.43,,,,,,,,,
256,PT05M16.00S,2021-12-22T01:53:16.0Z,2,REGULAR,rebound,defensive,[],1627742,,,1610612740,32,36,2021-12-22T01:53:17Z,2540000,,,0,,B. Ingram REBOUND (Off:0 Def:4),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,255.0,4.0,4.0,0.0,,,,,,,,,,
257,PT05M10.00S,2021-12-22T01:53:21.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,93.77463863337714,52.20588235294118,1610612740,34,36,2021-12-22T02:01:44Z,2550000,11.0,6.0,1,right,J. Hart cutting Layup (9 PTS) (B. Ingram 4 AST),"[1628404, 1627742]",1610612740.0,NOP,cutting,,,Hart,J. Hart,,,,,,,,,,Made,9.0,,,,,1.25,,,,,,B. Ingram,1627742.0,4.0,
259,PT05M00.00S,2021-12-22T01:53:43.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630529,,,1610612757,34,36,2021-12-22T01:53:55Z,2570000,,,0,,H. Jones shooting personal FOUL (3 PF) (Lillard 2 FT),"[1630529, 203081]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,201246.0,3.0,0.0,Lillard,203081.0,,,,,,,,,,,,,,,,
261,PT05M00.00S,2021-12-22T01:54:08.5Z,2,REGULAR,freethrow,1 of 2,[],203081,,,1610612757,34,37,2021-12-22T01:54:08Z,2590000,,,0,,D. Lillard Free Throw 1 of 2 (14 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,Made,14.0,,,,,,,,,,,,,,
262,PT05M00.00S,2021-12-22T01:54:09.8Z,2,REGULAR,substitution,out,[],1630529,,,1610612757,34,37,2021-12-22T01:54:20Z,2600000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT05M00.00S,2021-12-22T01:54:09.8Z,2,REGULAR,substitution,out,[],203503,,,1610612757,34,37,2021-12-22T01:54:20Z,2610000,,,0,,SUB out: T. Snell,[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT05M00.00S,2021-12-22T01:54:09.8Z,2,REGULAR,substitution,in,[],1630530,,,1610612757,34,37,2021-12-22T01:54:20Z,2620000,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT05M00.00S,2021-12-22T01:54:09.8Z,2,REGULAR,substitution,in,[],1629014,,,1610612757,34,37,2021-12-22T01:54:20Z,2630000,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT05M00.00S,2021-12-22T01:54:31.5Z,2,REGULAR,freethrow,2 of 2,[],203081,,,1610612757,34,38,2021-12-22T01:54:31Z,2640000,,,0,,D. Lillard Free Throw 2 of 2 (15 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,Made,15.0,,,,,,,,,,,,,,
267,PT04M41.00S,2021-12-22T01:54:52.3Z,2,REGULAR,turnover,lost ball,[],1628404,,,1610612740,34,38,2021-12-22T01:54:56Z,2650000,,,0,,J. Hart lost ball TURNOVER (1 TO),"[1628404, 1629014]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,1.0,Simons,1629014.0,,,,,,
268,PT04M41.00S,2021-12-22T01:54:52.3Z,2,REGULAR,steal,,[],1629014,,,1610612757,34,38,2021-12-22T01:54:54Z,2660000,,,0,,A. Simons STEAL (1 STL),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
