actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
171,PT11M18.00S,2023-10-31T00:37:50.5Z,2,REGULAR,rebound,defensive,[],1630533,,,1610612763,38,30,2023-10-31T00:37:52Z,1710000,False,,,0,,Z. Williams REBOUND (Off:0 Def:2),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,Above the Break 3,24+ Right Center,,,170.0,2.0,2.0,0.0,,,,,,,,,,,,,
172,PT11M05.00S,2023-10-31T00:38:04.1Z,2,REGULAR,2pt,Jump Shot,[],1630533,15.193823915900131,27.450980392156865,1610612763,38,30,2023-10-31T00:38:07Z,1720000,False,113.0,90.0,1,left,MISS Z. Williams 14' pullup bank Shot,[1630533],1610612763.0,MEM,pullup bank,,,Williams,Z. Williams,,,,,,Mid-Range,8-16 Right,14.44,Missed,,,,,,,,,,,,,,,,,
173,PT11M02.00S,2023-10-31T00:38:06.4Z,2,REGULAR,rebound,defensive,[],203957,,,1610612742,38,30,2023-10-31T00:38:06Z,1730000,False,,,0,,D. Exum REBOUND (Off:0 Def:1),[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,Mid-Range,8-16 Right,,,172.0,1.0,1.0,0.0,,,,,,,,,,,,,
174,PT10M54.00S,2023-10-31T00:38:15.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203957,93.51182654402102,51.470588235294116,1610612742,38,30,2023-10-31T00:38:19Z,1740000,False,7.0,8.0,1,right,MISS D. Exum driving finger roll Layup,[203957],1610612742.0,DAL,driving finger roll,,,Exum,D. Exum,,,,,,Restricted Area,0-8 Center,1.13,Missed,,,,,,,,,,,,,,,,,
175,PT10M53.00S,2023-10-31T00:38:16.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612763,38,30,2023-10-31T00:38:19Z,1750000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,Restricted Area,0-8 Center,,,174.0,,,,,,,,,,,,,,,,
177,PT10M37.00S,2023-10-31T00:38:38.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201565,11.777266754270697,38.970588235294116,1610612763,38,30,2023-10-31T00:38:43Z,1770000,False,55.0,58.0,1,left,MISS D. Rose 8' driving floating Shot,[201565],1610612763.0,MEM,driving floating,,,Rose,D. Rose,,,,,,In The Paint (Non-RA),0-8 Center,8.01,Missed,,,,,,,,,,,,,,,,,
178,PT10M35.00S,2023-10-31T00:38:40.1Z,2,REGULAR,rebound,offensive,[],1629723,,,1610612763,38,30,2023-10-31T00:38:43Z,1780000,False,,,0,,J. Konchar REBOUND (Off:1 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,In The Paint (Non-RA),0-8 Center,,,177.0,2.0,1.0,1.0,,,,,,,,,,,,,
179,PT10M31.00S,2023-10-31T00:38:43.8Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201565,12.434296977660972,42.40196078431372,1610612763,38,30,2023-10-31T00:38:46Z,1790000,False,38.0,64.0,1,left,MISS D. Rose 7' bank Shot,[201565],1610612763.0,MEM,bank,,,Rose,D. Rose,,,,,,In The Paint (Non-RA),0-8 Center,7.48,Missed,,,,,,,,,,,,,,,,,
180,PT10M29.00S,2023-10-31T00:38:45.8Z,2,REGULAR,rebound,defensive,[],203552,,,1610612742,38,30,2023-10-31T00:38:46Z,1800000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612742.0,DAL,,,,Curry,S. Curry,,,,,,In The Paint (Non-RA),0-8 Center,,,179.0,1.0,1.0,0.0,,,,,,,,,,,,,
181,PT10M25.00S,2023-10-31T00:38:50.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627884,89.56964520367937,40.931372549019606,1610612742,38,32,2023-10-31T00:38:55Z,1810000,False,-45.0,46.0,1,right,D. Jones Jr. 6' driving floating bank Jump Shot (2 PTS) (S. Curry 1 AST),"[1627884, 203552]",1610612742.0,DAL,driving floating bank,,,Jones Jr.,D. Jones Jr.,,,,,,In The Paint (Non-RA),0-8 Center,6.42,Made,,,,,,,,,2.0,,S. Curry,203552.0,1.0,,,,
183,PT10M11.00S,2023-10-31T00:39:06.3Z,2,REGULAR,foul,personal,['2freethrow'],1628467,,,1610612763,38,32,2023-10-31T00:39:19Z,1830000,False,,,0,,M. Kleber shooting personal FOUL (2 PF) (Jackson Jr. 2 FT),"[1628467, 1628991]",1610612742.0,DAL,shooting,,,Kleber,M. Kleber,,,,,1627961.0,In The Paint (Non-RA),8-16 Right,,,,,,,2.0,0.0,Jackson Jr.,1628991.0,,,,,,,,,
185,PT10M11.00S,2023-10-31T00:39:33.8Z,2,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,39,32,2023-10-31T00:39:33Z,1850000,False,,,0,,J. Jackson Jr. Free Throw 1 of 2 (7 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,Made,,,,,,,,,7.0,,,,,,,,
186,PT10M11.00S,2023-10-31T00:39:34.5Z,2,REGULAR,substitution,out,[],1628467,,,1610612763,39,32,2023-10-31T00:39:38Z,1860000,False,,,0,,SUB out: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT10M11.00S,2023-10-31T00:39:34.5Z,2,REGULAR,substitution,in,[],203939,,,1610612763,39,32,2023-10-31T00:39:38Z,1870000,False,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT10M11.00S,2023-10-31T00:39:53.1Z,2,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,39,32,2023-10-31T00:39:53Z,1880000,False,,,0,,MISS J. Jackson Jr. Free Throw 2 of 2,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
189,PT10M07.00S,2023-10-31T00:39:56.4Z,2,REGULAR,rebound,defensive,[],203501,,,1610612742,39,32,2023-10-31T00:39:56Z,1890000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:2),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,188.0,2.0,2.0,0.0,,,,,,,,,,,,,
190,PT10M04.00S,2023-10-31T00:40:01.7Z,2,REGULAR,foul,personal,[],1631222,,,1610612742,39,32,2023-10-31T00:40:14Z,1900000,False,,,0,,J. LaRavia personal FOUL (1 PF),"[1631222, 203501]",1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,1627961.0,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,0.0,Hardaway Jr.,203501.0,,,,,,,,,
192,PT09M57.00S,2023-10-31T00:40:25.0Z,2,REGULAR,3pt,Jump Shot,[],1627884,68.28186596583443,32.35294117647059,1610612742,39,35,2023-10-31T00:40:30Z,1920000,False,-88.0,246.0,1,right,D. Jones Jr. 26' 3PT  (5 PTS) (D. Exum 1 AST),"[1627884, 203957]",1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,Above the Break 3,24+ Left Center,26.11,Made,,,,,,,,,5.0,,D. Exum,203957.0,1.0,,,,
194,PT09M43.00S,2023-10-31T00:40:40.1Z,2,REGULAR,3pt,Jump Shot,[],1628991,30.436925098554536,27.696078431372552,1610612763,39,35,2023-10-31T00:40:43Z,1940000,False,112.0,234.0,1,left,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Right Center,25.88,Missed,,,,,,,,,,,,,,,,,
195,PT09M39.00S,2023-10-31T00:40:44.1Z,2,REGULAR,rebound,defensive,[],1627884,,,1610612742,39,35,2023-10-31T00:40:43Z,1950000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:2),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,Above the Break 3,24+ Right Center,,,194.0,2.0,2.0,0.0,,,,,,,,,,,,,
196,PT09M35.00S,2023-10-31T00:40:49.4Z,2,REGULAR,foul,personal,['2freethrow'],1631222,,,1610612742,39,35,2023-10-31T00:40:59Z,1960000,False,,,0,,J. LaRavia shooting personal FOUL (2 PF) (Jones Jr. 2 FT),"[1631222, 1627884]",1610612763.0,MEM,shooting,,,LaRavia,J. LaRavia,,,,,200833.0,Restricted Area,0-8 Center,,,,,,,2.0,0.0,Jones Jr.,1627884.0,,,,,,,,,
198,PT09M35.00S,2023-10-31T00:41:19.9Z,2,REGULAR,freethrow,1 of 2,[],1627884,,,1610612742,39,36,2023-10-31T00:41:19Z,1980000,False,,,0,,D. Jones Jr. Free Throw 1 of 2 (6 PTS),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,Made,,,,,,,,,6.0,,,,,,,,
199,PT09M35.00S,2023-10-31T00:41:39.0Z,2,REGULAR,freethrow,2 of 2,[],1627884,,,1610612742,39,37,2023-10-31T00:41:39Z,1990000,False,,,0,,D. Jones Jr. Free Throw 2 of 2 (7 PTS),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,Made,,,,,,,,,7.0,,,,,,,,
200,PT09M21.00S,2023-10-31T00:41:55.5Z,2,REGULAR,3pt,Jump Shot,[],1631222,6.389618922470433,96.81372549019608,1610612763,39,37,2023-10-31T00:41:59Z,2000000,False,-234.0,8.0,1,left,MISS J. LaRavia 3PT,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,Left Corner 3,24+ Left,23.42,Missed,,,,,,,,,,,,,,,,,
201,PT09M18.00S,2023-10-31T00:41:58.5Z,2,REGULAR,rebound,defensive,[],203957,,,1610612742,39,37,2023-10-31T00:41:59Z,2010000,False,,,0,,D. Exum REBOUND (Off:0 Def:2),[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,Left Corner 3,24+ Left,,,200.0,2.0,2.0,0.0,,,,,,,,,,,,,
203,PT09M03.00S,2023-10-31T00:42:26.5Z,2,REGULAR,3pt,Jump Shot,[],1627884,69.46452036793693,73.0392156862745,1610612742,39,40,2023-10-31T00:42:30Z,2030000,False,115.0,235.0,1,right,D. Jones Jr. 26' 3PT  (10 PTS) (D. Exum 2 AST),"[1627884, 203957]",1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,Above the Break 3,24+ Right Center,26.13,Made,,,,,,,,,10.0,,D. Exum,203957.0,2.0,,,,
205,PT09M02.00S,2023-10-31T00:42:30.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,39,40,2023-10-31T00:42:31Z,2050000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT09M02.00S,2023-10-31T00:44:47.8Z,2,REGULAR,substitution,out,[],1629723,,,1610612763,39,40,2023-10-31T00:45:04Z,2060000,False,,,0,,SUB out: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT09M02.00S,2023-10-31T00:44:47.8Z,2,REGULAR,substitution,in,[],1631223,,,1610612763,39,40,2023-10-31T00:45:04Z,2070000,False,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT08M44.00S,2023-10-31T00:45:38.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,10.463206307490145,43.627450980392155,1610612763,41,40,2023-10-31T00:45:42Z,2080000,False,32.0,46.0,1,left,J. Jackson Jr. turnaround bank Hook (9 PTS) (Z. Williams 1 AST),"[1628991, 1630533]",1610612763.0,MEM,turnaround bank,,,Jackson Jr.,J. Jackson Jr.,,,,,,In The Paint (Non-RA),0-8 Center,5.59,Made,,,,,,,,,9.0,,Z. Williams,1630533.0,1.0,,,,
210,PT08M24.00S,2023-10-31T00:46:02.1Z,2,REGULAR,turnover,out-of-bounds,[],203939,,,1610612742,41,40,2023-10-31T00:46:08Z,2100000,False,,,0,,D. Powell step out-of-bounds TURNOVER (1 TO),[203939],1610612742.0,DAL,step,,,Powell,D. Powell,,,,,203591.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,,,,,,,
211,PT08M24.00S,2023-10-31T00:46:07.5Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612763,41,40,2023-10-31T00:46:12Z,2110000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612742.0,DAL,,,,,,,,,,203591.0,,,,,,,,,,,,,,,,,,,,,
212,PT08M10.00S,2023-10-31T00:46:26.9Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628991,12.565703022339028,36.76470588235294,1610612763,41,40,2023-10-31T00:46:31Z,2120000,False,66.0,66.0,1,left,MISS J. Jackson Jr. 9' driving floating Shot - blocked,"[1628991, 203939]",1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,,In The Paint (Non-RA),8-16 Right,9.32,Missed,,,,,,,,,,,,,,Powell,203939.0,,
213,PT08M10.00S,2023-10-31T00:46:26.9Z,2,REGULAR,block,,[],203939,,,1610612763,41,40,2023-10-31T00:46:29Z,2130000,False,,,0,,D. Powell BLOCK (1 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,
214,PT08M10.00S,2023-10-31T00:46:26.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612763,41,40,2023-10-31T00:46:31Z,2140000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,212.0,,,,,,,,,,,,,,,,
216,PT08M06.00S,2023-10-31T00:46:45.2Z,2,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1631223,4.02431011826544,9.313725490196079,1610612763,41,40,2023-10-31T00:46:49Z,2160000,False,203.0,-15.0,1,left,MISS D. Roddy 20' Jump Shot,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,Mid-Range,16-24 Right,20.39,Missed,,,,,,,,,,,,,,,,,
217,PT08M04.00S,2023-10-31T00:46:47.2Z,2,REGULAR,rebound,defensive,[],203939,,,1610612742,41,40,2023-10-31T00:46:49Z,2170000,False,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Mid-Range,16-24 Right,,,216.0,1.0,1.0,0.0,,,,,,,,,,,,,
218,PT07M51.00S,2023-10-31T00:47:00.2Z,2,REGULAR,2pt,Jump Shot,[],203552,76.82325886990802,76.22549019607843,1610612742,41,40,2023-10-31T00:47:03Z,2180000,False,131.0,165.0,1,right,MISS S. Curry 21' pullup Shot,[203552],1610612742.0,DAL,pullup,,,Curry,S. Curry,,,,,,Mid-Range,16-24 Right Center,21.11,Missed,,,,,,,,,,,,,,,,,
219,PT07M48.00S,2023-10-31T00:47:03.2Z,2,REGULAR,rebound,defensive,[],1628991,,,1610612763,41,40,2023-10-31T00:47:03Z,2190000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Mid-Range,16-24 Right Center,,,218.0,1.0,1.0,0.0,,,,,,,,,,,,,
220,PT07M45.00S,2023-10-31T00:47:09.3Z,2,REGULAR,turnover,out-of-bounds,[],1630533,,,1610612763,41,40,2023-10-31T00:47:16Z,2200000,False,,,0,,Z. Williams step out-of-bounds TURNOVER (1 TO),[1630533],1610612763.0,MEM,step,,,Williams,Z. Williams,,,,,1627961.0,Above the Break 3,24+ Left Center,,,,,,,,,,,,1.0,,,,,,,
221,PT07M35.00S,2023-10-31T00:47:30.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203501,64.86530880420499,58.08823529411765,1610612742,41,40,2023-10-31T00:47:33Z,2210000,False,40.0,278.0,1,right,MISS T. Hardaway Jr. 28' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,Above the Break 3,24+ Center,28.07,Missed,,,,,,,,,,,,,,,,,
222,PT07M33.00S,2023-10-31T00:47:32.5Z,2,REGULAR,rebound,defensive,[],201565,,,1610612763,41,40,2023-10-31T00:47:33Z,2220000,False,,,0,,D. Rose REBOUND (Off:0 Def:1),[201565],1610612763.0,MEM,,,,Rose,D. Rose,,,,,,Above the Break 3,24+ Center,,,221.0,1.0,1.0,0.0,,,,,,,,,,,,,
223,PT07M20.00S,2023-10-31T00:47:45.6Z,2,REGULAR,3pt,Jump Shot,[],1630533,11.514454664914586,3.9215686274509802,1610612763,41,40,2023-10-31T00:47:49Z,2230000,False,230.0,56.0,1,left,MISS Z. Williams 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,Right Corner 3,24+ Right,23.7,Missed,,,,,,,,,,,,,,,,,
224,PT07M17.00S,2023-10-31T00:47:48.6Z,2,REGULAR,rebound,defensive,[],203957,,,1610612742,41,40,2023-10-31T00:47:49Z,2240000,False,,,0,,D. Exum REBOUND (Off:0 Def:3),[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,Right Corner 3,24+ Right,,,223.0,3.0,3.0,0.0,,,,,,,,,,,,,
225,PT07M14.00S,2023-10-31T00:47:55.7Z,2,REGULAR,foul,personal,[],1631222,,,1610612742,41,40,2023-10-31T00:47:58Z,2250000,False,,,0,,J. LaRavia personal FOUL (3 PF),"[1631222, 203501]",1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,203591.0,Mid-Range,8-16 Left,,,,,,,3.0,0.0,Hardaway Jr.,203501.0,,,,,,,,,
227,PT07M14.00S,2023-10-31T00:48:09.0Z,2,REGULAR,substitution,out,[],1627884,,,1610612742,41,40,2023-10-31T00:48:12Z,2270000,False,,,0,,SUB out: D. Jones Jr.,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT07M14.00S,2023-10-31T00:48:09.0Z,2,REGULAR,substitution,in,[],1629684,,,1610612742,41,40,2023-10-31T00:48:12Z,2280000,False,,,0,,SUB in: G. Williams,[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT07M05.00S,2023-10-31T00:48:20.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203957,93.11760840998686,53.18627450980392,1610612742,41,40,2023-10-31T00:48:25Z,2290000,False,16.0,12.0,1,right,MISS D. Exum driving floating Shot,[203957],1610612742.0,DAL,driving floating,,,Exum,D. Exum,,,,,,Restricted Area,0-8 Center,2.0,Missed,,,,,,,,,,,,,,,,,
230,PT07M02.00S,2023-10-31T00:48:23.0Z,2,REGULAR,rebound,offensive,[],203939,,,1610612742,41,40,2023-10-31T00:48:25Z,2300000,False,,,0,,D. Powell REBOUND (Off:1 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Restricted Area,0-8 Center,,,229.0,2.0,1.0,1.0,,,,,,,,,,,,,
231,PT07M01.00S,2023-10-31T00:48:24.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203552,71.43561103810775,22.54901960784314,1610612742,41,43,2023-10-31T00:48:27Z,2310000,False,-137.0,216.0,1,right,S. Curry 25' 3PT  (3 PTS) (G. Williams 2 AST),"[203552, 1629684]",1610612742.0,DAL,,,,Curry,S. Curry,,,,,,Above the Break 3,24+ Left Center,25.59,Made,,,,,,,,,3.0,,G. Williams,1629684.0,2.0,,,,
233,PT06M46.00S,2023-10-31T00:48:38.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,9.806176084099869,49.26470588235294,1610612763,41,43,2023-10-31T00:51:52Z,2330000,False,4.0,40.0,1,left,MISS J. Jackson Jr. driving floating Shot - blocked,"[1628991, 203939]",1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,,Restricted Area,0-8 Center,3.99,Missed,,,,,,,,,,,,,,Powell,203939.0,,
234,PT06M46.00S,2023-10-31T00:48:38.1Z,2,REGULAR,block,,[],203939,,,1610612763,41,43,2023-10-31T00:48:40Z,2340000,False,,,0,,D. Powell BLOCK (2 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
235,PT06M43.00S,2023-10-31T00:48:41.1Z,2,REGULAR,rebound,defensive,[],203957,,,1610612742,41,43,2023-10-31T00:48:41Z,2350000,False,,,0,,D. Exum REBOUND (Off:0 Def:4),[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,Restricted Area,0-8 Center,,,233.0,4.0,4.0,0.0,,,,,,,,,,,,,
236,PT06M40.00S,2023-10-31T00:48:45.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203957,93.51182654402102,51.71568627450981,1610612742,41,45,2023-10-31T00:48:48Z,2360000,False,9.0,8.0,1,right,D. Exum running finger roll Layup (2 PTS),[203957],1610612742.0,DAL,running finger roll,,,Exum,D. Exum,,,,,,Restricted Area,0-8 Center,1.21,Made,,,,,,,,,2.0,,,,,,,,
237,PT06M22.00S,2023-10-31T00:49:03.4Z,2,REGULAR,foul,personal,['2freethrow'],203501,,,1610612763,41,45,2023-10-31T00:49:16Z,2370000,False,,,0,,T. Hardaway Jr. shooting personal FOUL (1 PF) (Rose 2 FT),"[203501, 201565]",1610612742.0,DAL,shooting,,,Hardaway Jr.,T. Hardaway Jr.,,,,,1627961.0,Restricted Area,0-8 Center,,,,,,,1.0,0.0,Rose,201565.0,,,,,,,,,
239,PT06M22.00S,2023-10-31T00:49:39.8Z,2,REGULAR,freethrow,1 of 2,[],201565,,,1610612763,42,45,2023-10-31T00:49:39Z,2390000,False,,,0,,D. Rose Free Throw 1 of 2 (1 PTS),[201565],1610612763.0,MEM,,,,Rose,D. Rose,,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,
240,PT06M22.00S,2023-10-31T00:49:40.3Z,2,REGULAR,substitution,out,[],1631222,,,1610612763,42,45,2023-10-31T00:49:46Z,2400000,False,,,0,,SUB out: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT06M22.00S,2023-10-31T00:49:40.3Z,2,REGULAR,substitution,out,[],203501,,,1610612763,42,45,2023-10-31T00:49:46Z,2410000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT06M22.00S,2023-10-31T00:49:40.3Z,2,REGULAR,substitution,in,[],1629723,,,1610612763,42,45,2023-10-31T00:49:46Z,2420000,False,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT06M22.00S,2023-10-31T00:49:40.3Z,2,REGULAR,substitution,in,[],1630182,,,1610612763,42,45,2023-10-31T00:49:46Z,2430000,False,,,0,,SUB in: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT06M22.00S,2023-10-31T00:50:05.5Z,2,REGULAR,freethrow,2 of 2,[],201565,,,1610612763,42,45,2023-10-31T00:50:05Z,2440000,False,,,0,,MISS D. Rose Free Throw 2 of 2,[201565],1610612763.0,MEM,,,,Rose,D. Rose,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
245,PT06M20.00S,2023-10-31T00:50:06.5Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612742,42,45,2023-10-31T00:50:06Z,2450000,False,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,,,,,,244.0,2.0,2.0,0.0,,,,,,,,,,,,,
246,PT06M11.00S,2023-10-31T00:50:15.2Z,2,REGULAR,3pt,Jump Shot,[],203552,75.50919842312747,13.970588235294118,1610612742,42,45,2023-10-31T00:50:19Z,2460000,False,-180.0,178.0,1,right,MISS S. Curry 25' 3PT,[203552],1610612742.0,DAL,,,,Curry,S. Curry,,,,,,Above the Break 3,24+ Left Center,25.3,Missed,,,,,,,,,,,,,,,,,
247,PT06M10.00S,2023-10-31T00:50:16.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612742,42,45,2023-10-31T00:50:19Z,2470000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,Above the Break 3,24+ Left Center,,,246.0,,,,,,,,,,,,,,,,
248,PT06M10.00S,2023-10-31T00:50:19.6Z,2,REGULAR,foul,personal,[],201565,,,1610612742,42,45,2023-10-31T00:50:32Z,2480000,False,,,0,,D. Rose loose ball personal FOUL (1 PF),"[201565, 203939]",1610612763.0,MEM,loose ball,,,Rose,D. Rose,,,,,1627961.0,Restricted Area,0-8 Center,,,,,,,1.0,0.0,Powell,203939.0,,,,,,,,,
250,PT06M10.00S,2023-10-31T00:50:34.2Z,2,REGULAR,substitution,out,[],1630533,,,1610612742,42,45,2023-10-31T00:50:41Z,2500000,False,,,0,,SUB out: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT06M10.00S,2023-10-31T00:50:34.2Z,2,REGULAR,substitution,out,[],201565,,,1610612742,42,45,2023-10-31T00:50:41Z,2510000,False,,,0,,SUB out: D. Rose,[201565],1610612763.0,MEM,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT06M10.00S,2023-10-31T00:50:34.2Z,2,REGULAR,substitution,out,[],203957,,,1610612742,42,45,2023-10-31T00:50:41Z,2520000,False,,,0,,SUB out: D. Exum,[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT06M10.00S,2023-10-31T00:50:34.2Z,2,REGULAR,substitution,in,[],203935,,,1610612742,42,45,2023-10-31T00:50:41Z,2530000,False,,,0,,SUB in: M. Smart,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT06M10.00S,2023-10-31T00:50:34.2Z,2,REGULAR,substitution,in,[],1630217,,,1610612742,42,45,2023-10-31T00:50:41Z,2540000,False,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT06M10.00S,2023-10-31T00:50:34.2Z,2,REGULAR,substitution,in,[],1629029,,,1610612742,42,45,2023-10-31T00:50:41Z,2550000,False,,,0,,SUB in: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,,
