actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
63,PT06M56.00S,2023-11-19T22:20:18.6Z,1,REGULAR,block,,[],1629048,,,1610612754,8,16,2023-11-19T22:20:20Z,630000,False,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT06M54.00S,2023-11-19T22:20:20.6Z,1,REGULAR,rebound,defensive,[],1641710,,,1610612753,8,16,2023-11-19T22:20:26Z,640000,False,,,0,,A. Black REBOUND (Off:0 Def:2),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Restricted Area,0-8 Center,,,62.0,2.0,2.0,0.0,,,,,,,,,,,,,,
65,PT06M45.00S,2023-11-19T22:20:30.8Z,1,REGULAR,foul,personal,['2freethrow'],1630169,,,1610612753,8,16,2023-11-19T22:20:35Z,650000,False,,,0,,T. Haliburton shooting personal FOUL (1 PF) (Bitadze 2 FT),"[1630169, 1629048]",1610612754.0,IND,shooting,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,,,,1627519.0,,,,,,,,,,1.0,0.0,Bitadze,1629048.0
67,PT06M45.00S,2023-11-19T22:20:59.8Z,1,REGULAR,freethrow,1 of 2,[],1629048,,,1610612753,8,17,2023-11-19T22:20:59Z,670000,False,,,0,,G. Bitadze Free Throw 1 of 2 (1 PTS),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
68,PT06M45.00S,2023-11-19T22:21:00.3Z,1,REGULAR,substitution,out,[],1630169,,,1610612753,8,17,2023-11-19T22:21:09Z,680000,False,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M45.00S,2023-11-19T22:21:00.3Z,1,REGULAR,substitution,out,[],1630591,,,1610612753,8,17,2023-11-19T22:21:09Z,690000,False,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M45.00S,2023-11-19T22:21:00.3Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,8,17,2023-11-19T22:21:09Z,700000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M45.00S,2023-11-19T22:21:00.3Z,1,REGULAR,substitution,in,[],1630167,,,1610612753,8,17,2023-11-19T22:21:09Z,710000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M45.00S,2023-11-19T22:21:00.3Z,1,REGULAR,substitution,in,[],204060,,,1610612753,8,17,2023-11-19T22:21:09Z,720000,False,,,0,,SUB in: J. Ingles,[204060],1610612753.0,ORL,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M45.00S,2023-11-19T22:21:00.3Z,1,REGULAR,substitution,in,[],203914,,,1610612753,8,17,2023-11-19T22:21:09Z,730000,False,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M45.00S,2023-11-19T22:21:25.7Z,1,REGULAR,freethrow,2 of 2,[],1629048,,,1610612753,8,18,2023-11-19T22:21:25Z,740000,False,,,0,,G. Bitadze Free Throw 2 of 2 (2 PTS),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
75,PT06M30.00S,2023-11-19T22:21:42.3Z,1,REGULAR,turnover,lost ball,[],1626167,,,1610612754,8,18,2023-11-19T22:42:42Z,750000,False,,,0,,M. Turner lost ball TURNOVER (1 TO),"[1626167, 204060]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,,Ingles,204060.0,,,,,,,,,
